Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
383.0,15.32,0.123,25.982,-0.227,-15.724,34.676,-1.313,-26.332,7.254,-4.527,-18.111,4.849,22.102,15.687,34.199,0.331,26.823,5.673,-2.452,16.707,4.708,24.121,0.0,0.0,0.0
384.0,15.36,0.126,25.977,-0.239,-15.72,34.667,-1.306,-26.319,7.247,-4.545,-18.087,4.807,22.075,15.693,34.189,0.303,26.813,5.66,-2.518,16.759,4.686,24.078,0.0,0.0,0.0
385.0,15.4,0.13,25.972,-0.25,-15.715,34.663,-1.298,-26.302,7.243,-4.559,-18.067,4.785,22.055,15.698,34.18,0.278,26.793,5.645,-2.582,16.817,4.663,24.044,0.0,0.0,0.0
386.0,15.44,0.132,25.965,-0.259,-15.712,34.659,-1.292,-26.29,7.238,-4.56,-18.045,4.775,22.051,15.702,34.168,0.255,26.777,5.63,-2.635,16.88,4.63,24.021,0.0,0.0,0.0
387.0,15.48,0.133,25.957,-0.267,-15.707,34.657,-1.29,-26.288,7.235,-4.549,-18.025,4.778,22.063,15.706,34.154,0.234,26.77,5.616,-2.676,16.933,4.589,24.003,0.0,0.0,0.0
388.0,15.52,0.136,25.95,-0.274,-15.699,34.655,-1.29,-26.291,7.234,-4.525,-18.004,4.793,22.082,15.711,34.142,0.216,26.78,5.605,-2.704,16.97,4.548,23.99,0.0,0.0,0.0
389.0,15.56,0.142,25.946,-0.283,-15.69,34.658,-1.292,-26.313,7.246,-4.497,-17.982,4.838,22.097,15.719,34.132,0.198,26.801,5.596,-2.721,16.987,4.504,23.978,0.0,0.0,0.0
390.0,15.6,0.151,25.945,-0.292,-15.677,34.664,-1.293,-26.349,7.265,-4.478,-17.953,4.911,22.094,15.728,34.125,0.185,26.828,5.59,-2.731,16.975,4.438,23.967,0.0,0.0,0.0
391.0,15.64,0.159,25.941,-0.306,-15.664,34.668,-1.297,-26.396,7.291,-4.463,-17.909,5.014,22.074,15.738,34.117,0.167,26.857,5.58,-2.741,16.949,4.329,23.957,0.0,0.0,0.0
392.0,15.68,0.164,25.936,-0.327,-15.655,34.683,-1.297,-26.512,7.358,-4.388,-17.86,5.211,22.083,15.744,34.112,0.146,26.902,5.578,-2.745,16.894,4.152,23.949,0.0,0.0,0.0
393.0,15.72,0.169,25.934,-0.367,-15.648,34.722,-1.299,-26.864,7.517,-4.002,-17.847,5.752,22.304,15.741,34.128,0.133,26.978,5.618,-2.708,16.77,3.829,23.958,0.0,0.0,0.0
394.0,15.76,0.195,25.936,-0.442,-15.602,34.767,-1.365,-27.701,7.825,-2.921,-17.885,7.221,22.981,15.748,34.184,0.141,27.135,5.722,-2.555,16.569,3.197,24.025,0.0,0.0,0.0
395.0,15.8,0.236,25.937,-0.554,-15.508,34.849,-1.618,-29.207,8.517,-0.687,-17.908,10.29,24.303,15.754,34.262,0.17,27.371,5.898,-2.185,16.243,1.977,24.141,0.0,0.0,0.0
396.0,15.84,0.283,25.928,-0.677,-15.368,34.971,-1.949,-31.262,10.019,2.752,-17.497,14.356,26.029,15.76,34.296,0.22,27.697,6.023,-1.515,15.831,-0.152,24.227,0.0,0.0,0.0
397.0,15.88,0.292,25.937,-0.749,-15.238,35.196,-2.015,-33.111,12.554,6.658,-16.981,18.991,27.884,15.751,34.295,0.264,28.02,6.061,-0.505,15.438,-3.162,24.161,0.0,0.0,0.0
