Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
131.0,5.24,0.022,25.841,-1.247,-15.888,34.405,-2.29,-26.41,6.756,-4.073,-18.405,6.955,22.598,15.64,34.048,-1.209,26.476,5.363,-3.044,17.246,7.017,23.553,0.0,0.0,0.0
132.0,5.28,0.022,25.84,-1.243,-15.887,34.404,-2.279,-26.406,6.754,-4.075,-18.403,6.963,22.592,15.641,34.046,-1.198,26.473,5.359,-3.046,17.242,7.026,23.548,0.0,0.0,0.0
133.0,5.32,0.022,25.841,-1.239,-15.887,34.407,-2.267,-26.408,6.76,-4.079,-18.405,6.97,22.587,15.644,34.041,-1.188,26.474,5.352,-3.053,17.244,7.022,23.539,0.0,0.0,0.0
134.0,5.36,0.024,25.84,-1.239,-15.883,34.41,-2.262,-26.41,6.766,-4.085,-18.405,6.973,22.583,15.649,34.035,-1.183,26.474,5.345,-3.062,17.25,7.009,23.53,0.0,0.0,0.0
135.0,5.4,0.025,25.837,-1.239,-15.881,34.408,-2.258,-26.409,6.766,-4.093,-18.407,6.97,22.574,15.65,34.03,-1.181,26.469,5.339,-3.077,17.258,6.993,23.519,0.0,0.0,0.0
136.0,5.44,0.026,25.835,-1.239,-15.88,34.408,-2.255,-26.407,6.767,-4.107,-18.415,6.976,22.563,15.652,34.026,-1.176,26.455,5.331,-3.097,17.259,6.978,23.51,0.0,0.0,0.0
137.0,5.48,0.027,25.834,-1.236,-15.878,34.409,-2.249,-26.405,6.769,-4.116,-18.419,6.989,22.555,15.652,34.023,-1.169,26.448,5.328,-3.108,17.257,6.979,23.502,0.0,0.0,0.0
138.0,5.52,0.028,25.832,-1.232,-15.879,34.406,-2.238,-26.401,6.763,-4.114,-18.412,7.001,22.556,15.653,34.023,-1.165,26.453,5.33,-3.116,17.263,6.992,23.489,0.0,0.0,0.0
139.0,5.56,0.028,25.831,-1.227,-15.879,34.403,-2.227,-26.397,6.756,-4.108,-18.404,7.015,22.56,15.653,34.023,-1.158,26.46,5.333,-3.119,17.268,7.01,23.482,0.0,0.0,0.0
140.0,5.6,0.03,25.829,-1.217,-15.877,34.402,-2.21,-26.394,6.754,-4.101,-18.396,7.027,22.566,15.654,34.019,-1.14,26.463,5.332,-3.115,17.262,7.022,23.481,0.0,0.0,0.0
141.0,5.64,0.037,25.828,-1.205,-15.87,34.405,-2.195,-26.39,6.759,-4.09,-18.382,7.045,22.574,15.662,34.013,-1.121,26.466,5.325,-3.114,17.261,7.045,23.472,0.0,0.0,0.0
142.0,5.68,0.044,25.827,-1.195,-15.863,34.407,-2.182,-26.391,6.765,-4.088,-18.366,7.062,22.571,15.669,34.009,-1.104,26.468,5.321,-3.116,17.248,7.082,23.456,0.0,0.0,0.0
143.0,5.72,0.048,25.822,-1.186,-15.859,34.392,-2.158,-26.396,6.756,-4.088,-18.332,7.148,22.539,15.674,33.998,-1.084,26.486,5.322,-3.129,17.188,7.215,23.391,0.0,0.0,0.0
144.0,5.76,0.06,25.813,-1.158,-15.847,34.367,-2.102,-26.502,6.796,-4.077,-18.284,7.787,22.353,15.679,33.989,-1.028,26.634,5.378,-3.141,16.766,7.722,23.112,0.0,0.0,0.0
145.0,5.8,0.059,25.827,-1.095,-15.843,34.421,-2.016,-26.869,7.053,-3.996,-18.04,9.384,21.993,15.649,34.044,-0.983,27.086,5.598,-3.027,15.547,8.802,22.562,0.0,0.0,0.0
