Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1082.0,43.28,-0.064,25.977,-0.607,-15.748,34.896,-1.893,-26.98,7.894,-5.391,-17.6,3.049,20.702,15.557,34.391,-0.306,26.792,6.27,-3.969,15.999,3.033,22.239,0.0,0.0,0.0
1083.0,43.32,-0.058,25.97,-0.633,-15.735,34.894,-1.914,-26.981,7.899,-5.392,-17.608,3.053,20.707,15.57,34.375,-0.355,26.793,6.251,-4.02,16.043,2.99,22.208,0.0,0.0,0.0
1084.0,43.36,-0.057,25.962,-0.656,-15.736,34.89,-1.938,-26.978,7.889,-5.392,-17.613,3.057,20.712,15.569,34.365,-0.399,26.788,6.234,-4.059,16.067,2.954,22.189,0.0,0.0,0.0
1085.0,43.4,-0.054,25.959,-0.681,-15.729,34.897,-1.969,-26.973,7.891,-5.381,-17.613,3.078,20.724,15.578,34.353,-0.433,26.783,6.215,-4.082,16.065,2.921,22.162,0.0,0.0,0.0
1086.0,43.44,-0.052,25.953,-0.698,-15.729,34.886,-1.994,-26.952,7.863,-5.377,-17.609,3.093,20.745,15.577,34.35,-0.45,26.788,6.215,-4.085,16.037,2.906,22.149,0.0,0.0,0.0
1087.0,43.48,-0.051,25.949,-0.716,-15.725,34.888,-2.019,-26.946,7.864,-5.381,-17.62,3.143,20.755,15.581,34.339,-0.47,26.782,6.196,-4.088,16.016,2.894,22.14,0.0,0.0,0.0
1088.0,43.52,-0.05,25.945,-0.728,-15.724,34.882,-2.039,-26.935,7.851,-5.388,-17.623,3.171,20.757,15.58,34.334,-0.481,26.775,6.187,-4.096,15.999,2.879,22.134,0.0,0.0,0.0
1089.0,43.56,-0.044,25.943,-0.737,-15.721,34.878,-2.062,-26.922,7.841,-5.395,-17.641,3.21,20.777,15.583,34.334,-0.495,26.777,6.185,-4.095,15.978,2.853,22.132,0.0,0.0,0.0
1090.0,43.6,-0.043,25.941,-0.744,-15.718,34.875,-2.072,-26.918,7.838,-5.407,-17.695,3.223,20.786,15.587,34.333,-0.494,26.793,6.183,-4.077,15.944,2.8,22.139,0.0,0.0,0.0
1091.0,43.64,-0.039,25.94,-0.745,-15.708,34.878,-2.074,-26.924,7.844,-5.385,-17.714,3.219,20.809,15.59,34.332,-0.479,26.834,6.193,-4.05,15.897,2.732,22.135,0.0,0.0,0.0
1092.0,43.68,-0.035,25.94,-0.744,-15.708,34.889,-2.07,-26.944,7.848,-5.254,-17.634,3.258,20.886,15.592,34.336,-0.455,26.906,6.215,-4.008,15.789,2.636,22.108,0.0,0.0,0.0
1093.0,43.72,-0.034,25.947,-0.725,-15.7,34.912,-2.079,-26.989,7.811,-4.784,-17.393,3.631,21.295,15.591,34.356,-0.366,27.058,6.3,-3.916,15.551,2.426,22.028,0.0,0.0,0.0
1094.0,43.76,-0.017,25.962,-0.692,-15.676,34.905,-2.128,-27.161,7.658,-3.642,-16.867,4.684,22.322,15.59,34.416,-0.194,27.322,6.486,-3.772,15.175,2.113,21.857,0.0,0.0,0.0
1095.0,43.8,-0.011,25.962,-0.626,-15.667,34.875,-2.19,-27.349,7.477,-1.751,-15.941,6.628,23.898,15.556,34.493,0.075,27.67,6.757,-3.544,14.647,1.632,21.591,0.0,0.0,0.0
1096.0,43.84,-0.029,25.971,-0.533,-15.691,34.859,-2.254,-27.409,7.41,0.78,-14.672,9.397,25.727,15.486,34.594,0.407,28.074,7.098,-3.231,13.944,0.902,21.151,0.0,0.0,0.0
1097.0,43.88,-0.079,25.977,-0.423,-15.772,34.847,-2.257,-27.241,7.574,3.658,-13.235,12.772,27.378,15.375,34.686,0.747,28.535,7.465,-2.875,13.153,0.077,20.492,0.0,0.0,0.0
1098.0,43.92,-0.168,25.978,-0.306,-15.873,34.855,-2.217,-26.867,8.041,6.566,-11.643,16.276,28.572,15.223,34.773,1.065,28.938,7.807,-2.482,12.32,-0.765,19.703,0.0,0.0,0.0
1099.0,43.96,-0.285,26.002,-0.176,-15.977,34.863,-2.109,-26.34,8.744,9.266,-9.98,19.541,29.178,15.055,34.873,1.351,29.185,8.084,-2.114,11.632,-1.469,18.937,0.0,0.0,0.0
1100.0,44.0,-0.387,26.028,-0.031,-16.095,34.877,-1.912,-25.777,9.546,11.542,-8.319,22.347,29.116,14.91,34.981,1.578,29.286,8.284,-1.761,11.171,-1.846,18.49,0.0,0.0,0.0
1101.0,44.04,-0.469,26.044,0.096,-16.195,34.885,-1.699,-25.286,10.296,13.351,-6.669,24.493,28.403,14.791,35.086,1.696,29.364,8.44,-1.364,10.829,-1.985,18.293,0.0,0.0,0.0
1102.0,44.08,-0.543,26.062,0.172,-16.264,34.903,-1.517,-24.872,10.915,14.685,-5.082,25.893,27.141,14.697,35.17,1.729,29.546,8.588,-0.932,10.468,-2.019,18.063,0.0,0.0,0.0
1103.0,44.12,-0.589,26.083,0.231,-16.31,34.902,-1.325,-24.606,11.381,15.684,-3.563,26.546,25.378,14.638,35.248,1.704,29.788,8.75,-0.589,10.391,-2.057,17.961,0.0,0.0,0.0
1104.0,44.16,-0.664,26.067,0.089,-16.355,34.882,-1.182,-24.51,11.762,16.449,-2.212,26.491,23.417,14.591,35.311,1.612,30.005,8.911,-0.469,10.538,-2.082,17.914,0.0,0.0,0.0
1105.0,44.2,-0.749,26.059,0.062,-16.388,34.887,-1.062,-24.294,11.923,16.872,-1.518,26.393,22.44,14.548,35.346,1.5,30.137,9.012,-0.554,10.695,-2.046,17.855,0.0,0.0,0.0
