Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
151.0,6.04,-0.257,26.019,-0.487,-16.242,34.547,-1.107,-26.689,7.099,-4.033,-19.573,-0.558,22.184,15.251,34.374,-0.652,27.08,6.029,-3.525,17.506,-0.601,22.554,0.0,0.0,0.0
152.0,6.08,-0.243,26.013,-0.49,-16.228,34.539,-1.104,-26.651,7.096,-4.078,-19.517,-0.497,22.144,15.265,34.363,-0.659,27.061,6.008,-3.54,17.522,-0.585,22.56,0.0,0.0,0.0
153.0,6.12,-0.23,26.009,-0.492,-16.208,34.533,-1.092,-26.622,7.094,-4.13,-19.447,-0.387,22.111,15.278,34.349,-0.652,27.034,5.987,-3.555,17.527,-0.612,22.565,0.0,0.0,0.0
154.0,6.16,-0.216,25.999,-0.496,-16.192,34.53,-1.08,-26.593,7.088,-4.167,-19.345,-0.118,22.112,15.296,34.339,-0.643,27.016,5.968,-3.572,17.572,-0.682,22.583,0.0,0.0,0.0
155.0,6.2,-0.205,25.979,-0.503,-16.179,34.534,-1.065,-26.583,7.096,-4.101,-19.16,0.517,22.262,15.31,34.319,-0.632,27.009,5.942,-3.591,17.679,-0.831,22.622,0.0,0.0,0.0
156.0,6.24,-0.164,25.984,-0.509,-16.127,34.585,-1.036,-26.695,7.123,-3.608,-18.692,1.945,22.834,15.361,34.329,-0.6,27.042,5.956,-3.617,17.844,-1.114,22.697,0.0,0.0,0.0
157.0,6.28,-0.13,26.008,-0.494,-16.064,34.674,-0.996,-27.056,7.167,-2.314,-17.872,4.692,24.04,15.398,34.358,-0.525,27.068,6.005,-3.599,18.024,-1.802,22.714,0.0,0.0,0.0
158.0,6.32,-0.107,26.027,-0.423,-15.997,34.812,-0.924,-27.49,7.308,-0.033,-16.646,9.031,25.642,15.428,34.367,-0.388,27.095,6.021,-3.477,18.196,-3.219,22.562,0.0,0.0,0.0
159.0,6.36,-0.088,26.045,-0.309,-15.915,35.023,-0.799,-27.834,7.764,3.319,-15.114,14.604,27.148,15.466,34.339,-0.185,27.113,5.981,-3.195,18.383,-5.392,22.158,0.0,0.0,0.0
