Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
230.0,9.2,-0.042,25.853,-0.421,-15.743,34.847,-1.627,-27.282,7.942,-4.55,-16.879,0.303,20.689,15.53,34.201,-0.054,28.166,6.109,-2.078,15.456,0.599,23.139,0.0,0.0,0.0
231.0,9.24,-0.041,25.863,-0.424,-15.739,34.871,-1.619,-27.303,7.971,-4.489,-16.872,0.408,20.761,15.538,34.202,-0.077,28.188,6.114,-2.099,15.516,0.621,23.141,0.0,0.0,0.0
232.0,9.28,-0.049,25.874,-0.428,-15.748,34.884,-1.616,-27.32,7.978,-4.446,-16.858,0.519,20.815,15.533,34.22,-0.102,28.205,6.142,-2.128,15.573,0.659,23.134,0.0,0.0,0.0
233.0,9.32,-0.05,25.874,-0.432,-15.749,34.883,-1.601,-27.334,7.979,-4.417,-16.852,0.64,20.852,15.536,34.22,-0.122,28.213,6.143,-2.157,15.61,0.656,23.122,0.0,0.0,0.0
234.0,9.36,-0.057,25.871,-0.443,-15.767,34.869,-1.582,-27.369,7.985,-4.432,-16.81,0.993,20.83,15.528,34.227,-0.159,28.229,6.16,-2.172,15.651,0.652,23.126,0.0,0.0,0.0
235.0,9.4,-0.065,25.873,-0.455,-15.787,34.883,-1.568,-27.393,8.001,-4.275,-16.662,2.054,21.008,15.51,34.256,-0.191,28.246,6.202,-2.182,15.685,0.618,23.154,0.0,0.0,0.0
236.0,9.44,-0.053,25.879,-0.455,-15.776,34.879,-1.56,-27.569,7.964,-3.487,-16.326,4.643,21.78,15.516,34.305,-0.157,28.306,6.282,-2.152,15.691,0.532,23.25,0.0,0.0,0.0
237.0,9.48,-0.036,25.879,-0.437,-15.748,34.901,-1.587,-27.881,7.925,-1.548,-15.848,9.25,23.242,15.509,34.343,-0.083,28.395,6.361,-2.01,15.596,0.182,23.366,0.0,0.0,0.0
238.0,9.52,-0.021,25.881,-0.413,-15.713,35.036,-1.602,-28.097,8.18,1.753,-15.583,15.406,24.966,15.514,34.348,-0.024,28.494,6.384,-1.727,15.418,-0.765,23.389,0.0,0.0,0.0
239.0,9.56,-0.006,25.886,-0.403,-15.656,35.249,-1.573,-28.179,9.136,6.111,-15.605,22.212,26.323,15.54,34.345,-0.003,28.517,6.359,-1.343,15.158,-2.51,23.192,0.0,0.0,0.0
240.0,9.6,0.006,25.884,-0.4,-15.579,35.488,-1.452,-28.091,11.102,10.944,-15.783,28.875,27.192,15.571,34.316,0.008,28.432,6.257,-0.944,14.86,-4.764,22.678,0.0,0.0,0.0
241.0,9.64,0.027,25.904,-0.348,-15.488,35.808,-1.185,-27.883,14.065,15.567,-15.972,35.06,27.671,15.627,34.277,-0.014,28.333,6.115,-0.658,14.663,-7.095,21.792,0.0,0.0,0.0
242.0,9.68,0.01,25.971,-0.256,-15.381,36.216,-0.798,-27.598,17.746,19.501,-16.116,40.704,27.901,15.672,34.265,-0.12,28.186,6.007,-0.525,14.564,-9.281,20.633,0.0,0.0,0.0
243.0,9.72,-0.018,26.04,-0.134,-15.197,36.674,-0.346,-27.31,21.644,22.501,-16.236,45.704,27.97,15.713,34.202,-0.285,28.093,5.878,-0.623,14.546,-11.157,19.257,0.0,0.0,0.0
244.0,9.76,-0.048,26.138,-0.01,-14.98,37.119,0.063,-27.082,25.311,24.569,-16.255,49.928,27.859,15.758,34.12,-0.498,28.048,5.742,-1.012,14.61,-12.534,17.867,0.0,0.0,0.0
245.0,9.8,-0.03,26.238,0.121,-14.752,37.484,0.427,-26.958,28.415,25.882,-16.128,53.225,27.622,15.824,34.023,-0.732,28.059,5.606,-1.692,14.736,-13.237,16.704,0.0,0.0,0.0
246.0,9.84,0.016,26.288,0.172,-14.534,37.716,0.692,-26.841,30.743,26.658,-15.926,55.612,27.249,15.895,33.986,-1.017,28.123,5.579,-2.445,15.035,-13.333,15.994,0.0,0.0,0.0
247.0,9.88,0.069,26.311,0.153,-14.372,37.822,0.833,-26.735,32.234,27.055,-15.762,57.109,26.865,15.952,33.984,-1.313,28.259,5.644,-3.002,15.343,-13.139,15.741,0.0,0.0,0.0
248.0,9.92,0.122,26.297,0.073,-14.293,37.812,0.873,-26.723,33.044,27.225,-15.726,57.923,26.539,15.996,33.987,-1.576,28.396,5.697,-3.333,15.656,-12.906,15.729,0.0,0.0,0.0
249.0,9.96,0.132,26.268,-0.038,-14.29,37.746,0.786,-26.769,33.236,27.158,-15.818,58.148,26.297,15.985,33.987,-1.785,28.475,5.738,-3.516,15.892,-12.7,15.813,0.0,0.0,0.0
250.0,10.0,0.11,26.211,-0.201,-14.343,37.63,0.524,-26.944,32.685,26.799,-16.022,57.588,26.139,15.943,33.954,-1.968,28.46,5.726,-3.647,15.992,-12.565,15.907,0.0,0.0,0.0
251.0,10.04,0.08,26.133,-0.42,-14.413,37.472,0.11,-27.225,30.965,26.015,-16.301,55.82,26.151,15.893,33.891,-2.155,28.354,5.657,-3.739,15.953,-12.506,15.994,0.0,0.0,0.0
252.0,10.08,0.093,26.043,-0.672,-14.523,37.25,-0.365,-27.454,27.572,24.624,-16.587,52.223,26.245,15.882,33.793,-2.366,28.242,5.52,-3.788,15.858,-12.476,16.111,0.0,0.0,0.0
253.0,10.12,0.145,25.961,-0.894,-14.752,36.886,-0.642,-27.251,22.441,22.309,-16.641,46.763,26.222,15.909,33.698,-2.56,28.155,5.353,-3.813,15.766,-12.393,16.312,0.0,0.0,0.0
254.0,10.16,0.165,25.845,-1.009,-15.036,36.251,-0.56,-25.965,16.396,18.898,-16.385,40.272,25.86,15.885,33.617,-2.67,28.114,5.202,-3.851,15.763,-12.255,16.54,0.0,0.0,0.0
255.0,10.2,0.111,25.696,-1.004,-15.312,35.473,-0.309,-24.074,12.192,15.92,-15.806,35.647,25.166,15.764,33.707,-2.606,28.07,5.277,-3.879,15.857,-12.046,16.721,0.0,0.0,0.0
