Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3132.0,125.28,-0.185,28.061,5.663,-16.055,36.81,6.299,-26.432,10.134,0.285,-16.079,5.032,25.735,15.396,36.288,5.918,25.533,8.404,-0.868,15.721,5.789,25.528,0.0,0.0,0.0
3133.0,125.32,-0.184,28.067,5.661,-16.053,36.817,6.298,-26.444,10.149,0.264,-16.096,5.029,25.717,15.397,36.293,5.918,25.52,8.409,-0.878,15.73,5.804,25.527,0.0,0.0,0.0
3134.0,125.36,-0.179,28.089,5.654,-16.046,36.843,6.3,-26.482,10.205,0.217,-16.158,5.082,25.693,15.408,36.314,5.927,25.501,8.435,-0.903,15.718,5.853,25.507,0.0,0.0,0.0
3135.0,125.4,-0.174,28.12,5.645,-16.042,36.891,6.322,-26.546,10.283,0.237,-16.188,5.3,25.728,15.419,36.352,5.948,25.509,8.485,-0.908,15.662,5.949,25.488,0.0,0.0,0.0
3136.0,125.44,-0.179,28.173,5.633,-16.046,36.969,6.373,-26.653,10.382,0.368,-16.131,5.807,25.835,15.418,36.425,5.988,25.52,8.574,-0.888,15.536,6.127,25.482,0.0,0.0,0.0
3137.0,125.48,-0.194,28.248,5.621,-16.062,37.073,6.458,-26.802,10.475,0.694,-15.88,6.785,26.071,15.408,36.547,6.053,25.545,8.712,-0.805,15.358,6.383,25.533,0.0,0.0,0.0
3138.0,125.52,-0.211,28.337,5.598,-16.083,37.202,6.566,-26.936,10.551,1.264,-15.423,8.399,26.434,15.392,36.718,6.131,25.639,8.909,-0.631,15.11,6.624,25.647,0.0,0.0,0.0
3139.0,125.56,-0.237,28.469,5.57,-16.117,37.392,6.716,-26.986,10.603,2.172,-14.852,10.735,26.971,15.365,36.973,6.261,25.828,9.206,-0.283,14.669,6.805,25.834,0.0,0.0,0.0
3140.0,125.6,-0.274,28.688,5.522,-16.161,37.708,6.922,-26.917,10.655,3.544,-14.233,13.742,27.697,15.324,37.336,6.489,26.114,9.629,0.271,13.953,6.859,26.015,0.0,0.0,0.0
