Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1362.0,54.48,-0.494,27.841,6.208,-16.485,36.181,7.362,-26.84,9.186,2.098,-14.655,5.924,27.004,14.816,36.546,6.502,27.125,8.87,1.221,14.421,6.64,26.635,0.0,0.0,0.0
1363.0,54.52,-0.478,27.833,6.216,-16.461,36.191,7.371,-26.846,9.218,2.07,-14.782,5.927,27.02,14.841,36.52,6.506,27.071,8.822,1.183,14.498,6.645,26.665,0.0,0.0,0.0
1364.0,54.56,-0.439,27.822,6.231,-16.398,36.229,7.397,-26.883,9.303,2.063,-15.082,5.997,27.119,14.905,36.46,6.505,26.916,8.701,1.075,14.677,6.658,26.726,0.0,0.0,0.0
1365.0,54.6,-0.416,27.821,6.24,-16.361,36.261,7.426,-26.964,9.37,2.132,-15.245,6.094,27.231,14.944,36.432,6.509,26.813,8.633,1.012,14.731,6.658,26.744,0.0,0.0,0.0
1366.0,54.64,-0.401,27.826,6.223,-16.337,36.282,7.421,-27.028,9.393,2.25,-15.315,6.226,27.366,14.966,36.431,6.478,26.755,8.61,0.945,14.735,6.664,26.715,0.0,0.0,0.0
1367.0,54.68,-0.38,27.827,6.186,-16.307,36.282,7.39,-27.068,9.396,2.368,-15.362,6.44,27.489,14.992,36.433,6.41,26.72,8.608,0.839,14.741,6.636,26.64,0.0,0.0,0.0
1368.0,54.72,-0.361,27.815,6.131,-16.283,36.246,7.346,-27.197,9.39,2.589,-15.375,7.003,27.604,15.009,36.435,6.325,26.688,8.645,0.642,14.787,6.498,26.514,0.0,0.0,0.0
1369.0,54.76,-0.366,27.805,6.084,-16.278,36.211,7.298,-27.605,9.455,3.083,-15.491,8.546,27.787,14.999,36.448,6.261,26.664,8.744,0.331,14.878,6.095,26.294,0.0,0.0,0.0
1370.0,54.8,-0.377,27.806,6.042,-16.271,36.244,7.236,-28.304,9.673,3.932,-15.965,11.39,28.109,14.981,36.457,6.203,26.69,8.89,-0.074,15.018,5.125,25.895,0.0,0.0,0.0
