Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
703.0,28.12,-0.56,26.102,-0.233,-16.439,34.683,-0.235,-27.192,7.537,-3.938,-16.179,3.038,21.399,14.936,34.62,-0.675,25.986,6.448,-5.697,16.116,6.439,20.762,0.0,0.0,0.0
704.0,28.16,-0.521,26.098,-0.26,-16.383,34.711,-0.293,-27.174,7.577,-3.983,-16.219,3.092,21.384,14.992,34.584,-0.684,26.005,6.386,-5.658,16.103,6.456,20.783,0.0,0.0,0.0
705.0,28.2,-0.49,26.094,-0.287,-16.341,34.735,-0.35,-27.157,7.612,-4.028,-16.277,3.154,21.376,15.035,34.556,-0.695,26.016,6.34,-5.632,16.108,6.463,20.808,0.0,0.0,0.0
706.0,28.24,-0.462,26.087,-0.308,-16.302,34.749,-0.401,-27.14,7.63,-4.066,-16.34,3.207,21.379,15.072,34.532,-0.699,26.033,6.3,-5.601,16.103,6.437,20.83,0.0,0.0,0.0
707.0,28.28,-0.433,26.082,-0.339,-16.265,34.759,-0.454,-27.131,7.652,-4.096,-16.378,3.256,21.377,15.11,34.511,-0.712,26.058,6.27,-5.587,16.116,6.412,20.841,0.0,0.0,0.0
708.0,28.32,-0.415,26.079,-0.367,-16.239,34.77,-0.501,-27.141,7.674,-4.133,-16.416,3.356,21.374,15.131,34.501,-0.74,26.071,6.249,-5.589,16.148,6.374,20.86,0.0,0.0,0.0
709.0,28.36,-0.395,26.072,-0.4,-16.216,34.786,-0.537,-27.165,7.722,-4.132,-16.418,3.592,21.403,15.152,34.499,-0.785,26.073,6.234,-5.611,16.245,6.284,20.911,0.0,0.0,0.0
710.0,28.4,-0.381,26.062,-0.447,-16.19,34.848,-0.593,-27.246,7.835,-3.9,-16.306,4.19,21.657,15.172,34.491,-0.849,26.087,6.221,-5.67,16.433,6.096,21.003,0.0,0.0,0.0
711.0,28.44,-0.356,26.052,-0.5,-16.129,34.926,-0.707,-27.458,7.965,-3.233,-16.195,5.39,22.382,15.2,34.473,-0.92,26.157,6.209,-5.695,16.589,5.482,21.154,0.0,0.0,0.0
712.0,28.48,-0.315,26.048,-0.543,-16.045,35.03,-0.888,-27.881,8.144,-1.787,-15.913,7.966,23.697,15.229,34.463,-0.917,26.274,6.211,-5.559,16.588,4.017,21.339,0.0,0.0,0.0
713.0,28.52,-0.283,26.064,-0.578,-15.967,35.197,-1.104,-28.401,8.52,0.637,-15.589,12.378,25.34,15.241,34.484,-0.782,26.41,6.257,-5.197,16.381,1.395,21.443,0.0,0.0,0.0
714.0,28.56,-0.26,26.082,-0.59,-15.886,35.442,-1.331,-28.86,9.394,4.05,-15.134,18.423,26.735,15.24,34.508,-0.546,26.576,6.26,-4.558,16.086,-2.078,21.265,0.0,0.0,0.0
715.0,28.6,-0.27,26.099,-0.602,-15.785,35.68,-1.591,-29.108,11.021,8.117,-14.727,25.259,27.35,15.204,34.517,-0.296,26.625,6.173,-3.664,15.982,-5.895,20.76,0.0,0.0,0.0
716.0,28.64,-0.327,26.117,-0.578,-15.729,35.913,-1.733,-29.078,13.445,12.241,-14.274,31.763,27.045,15.137,34.496,-0.039,26.539,6.018,-2.689,16.068,-9.526,19.876,0.0,0.0,0.0
717.0,28.68,-0.398,26.15,-0.501,-15.692,36.153,-1.711,-28.782,16.259,15.794,-13.74,37.237,25.999,15.067,34.484,0.151,26.406,5.878,-1.807,16.345,-12.661,18.681,0.0,0.0,0.0
718.0,28.72,-0.463,26.176,-0.415,-15.646,36.398,-1.563,-28.352,18.972,18.482,-13.218,41.319,24.678,15.024,34.484,0.226,26.244,5.744,-1.195,16.872,-15.2,17.311,0.0,0.0,0.0
719.0,28.76,-0.472,26.214,-0.346,-15.559,36.615,-1.379,-27.985,21.2,20.256,-12.714,44.053,23.495,15.039,34.49,0.213,26.14,5.662,-0.893,17.743,-16.912,16.131,0.0,0.0,0.0
720.0,28.8,-0.44,26.238,-0.314,-15.467,36.768,-1.251,-27.696,22.716,21.259,-12.292,45.631,22.551,15.096,34.491,0.124,26.149,5.64,-0.829,18.748,-18.006,15.156,0.0,0.0,0.0
721.0,28.84,-0.384,26.256,-0.318,-15.357,36.868,-1.179,-27.492,23.583,21.759,-11.885,46.384,21.895,15.172,34.483,-0.008,26.258,5.644,-0.906,19.667,-18.745,14.293,0.0,0.0,0.0
722.0,28.88,-0.344,26.255,-0.362,-15.285,36.907,-1.17,-27.311,23.986,21.995,-11.552,46.682,21.456,15.223,34.448,-0.155,26.411,5.641,-1.181,20.515,-19.286,13.461,0.0,0.0,0.0
723.0,28.92,-0.341,26.251,-0.422,-15.277,36.914,-1.171,-27.12,24.088,22.126,-11.281,46.742,21.178,15.225,34.431,-0.314,26.494,5.655,-1.578,21.256,-19.643,12.751,0.0,0.0,0.0
724.0,28.96,-0.349,26.236,-0.492,-15.29,36.881,-1.185,-26.887,23.993,22.197,-11.192,46.719,20.962,15.215,34.433,-0.483,26.485,5.689,-1.851,21.919,-19.937,12.131,0.0,0.0,0.0
725.0,29.0,-0.367,26.221,-0.567,-15.335,36.825,-1.22,-26.711,23.781,22.174,-11.163,46.615,20.852,15.186,34.429,-0.631,26.469,5.694,-2.054,22.454,-20.246,11.526,0.0,0.0,0.0
