Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
307.0,12.28,-0.115,25.729,-0.737,-15.948,34.523,-1.599,-26.329,6.809,-3.008,-17.584,6.095,23.398,15.427,34.15,-0.814,26.547,5.528,-2.732,17.292,5.69,24.024,0.0,0.0,0.0
308.0,12.32,-0.107,25.732,-0.748,-15.938,34.534,-1.625,-26.336,6.822,-3.036,-17.619,6.111,23.384,15.44,34.147,-0.824,26.56,5.522,-2.726,17.302,5.706,24.032,0.0,0.0,0.0
309.0,12.36,-0.1,25.738,-0.757,-15.929,34.543,-1.648,-26.334,6.839,-3.069,-17.652,6.118,23.363,15.451,34.147,-0.832,26.571,5.523,-2.725,17.306,5.728,24.03,0.0,0.0,0.0
310.0,12.4,-0.093,25.745,-0.758,-15.921,34.548,-1.665,-26.331,6.848,-3.095,-17.659,6.137,23.347,15.46,34.158,-0.84,26.596,5.539,-2.705,17.304,5.756,24.046,0.0,0.0,0.0
311.0,12.44,-0.08,25.75,-0.763,-15.903,34.559,-1.68,-26.343,6.865,-3.096,-17.641,6.164,23.334,15.475,34.162,-0.85,26.64,5.543,-2.684,17.268,5.768,24.044,0.0,0.0,0.0
312.0,12.48,-0.072,25.76,-0.763,-15.899,34.566,-1.676,-26.388,6.888,-3.057,-17.605,6.35,23.432,15.481,34.18,-0.85,26.718,5.582,-2.603,17.167,5.766,24.108,0.0,0.0,0.0
313.0,12.52,-0.065,25.782,-0.761,-15.906,34.602,-1.643,-26.715,7.01,-2.732,-17.107,6.894,23.532,15.475,34.248,-0.813,27.004,5.723,-2.167,16.568,5.765,24.402,0.0,0.0,0.0
314.0,12.56,-0.073,25.817,-0.771,-15.902,34.66,-1.571,-27.545,7.24,-1.71,-15.511,8.207,23.648,15.452,34.321,-0.732,27.683,5.937,-0.964,15.003,5.763,24.929,0.0,0.0,0.0
315.0,12.6,-0.109,25.843,-0.775,-15.914,34.721,-1.494,-28.502,7.508,0.389,-12.693,10.039,23.587,15.377,34.39,-0.607,28.464,6.247,1.08,12.686,5.36,25.576,0.0,0.0,0.0
316.0,12.64,-0.161,25.85,-0.77,-15.938,34.78,-1.373,-29.002,7.806,3.283,-9.478,11.81,23.24,15.282,34.389,-0.472,29.063,6.58,3.875,9.61,4.771,26.034,0.0,0.0,0.0
317.0,12.68,-0.2,25.859,-0.774,-15.958,34.889,-1.189,-28.745,8.214,6.445,-6.313,13.14,22.897,15.192,34.393,-0.337,29.188,7.051,6.968,6.549,4.26,26.09,0.0,0.0,0.0
318.0,12.72,-0.242,25.901,-0.757,-15.987,34.998,-0.942,-28.034,8.741,9.575,-3.472,14.148,22.58,15.09,34.427,-0.094,28.878,7.651,10.045,3.917,4.055,26.051,0.0,0.0,0.0
319.0,12.76,-0.263,25.97,-0.692,-15.966,35.149,-0.627,-27.268,9.567,12.426,-1.317,15.248,22.369,14.995,34.513,0.234,28.557,8.484,12.837,2.02,4.576,26.073,0.0,0.0,0.0
320.0,12.8,-0.28,26.068,-0.578,-15.883,35.456,-0.309,-26.85,10.806,14.715,-0.239,16.826,22.41,14.87,34.722,0.574,28.52,9.735,15.114,1.099,5.948,26.361,0.0,0.0,0.0
321.0,12.84,-0.27,26.245,-0.412,-15.759,35.849,0.03,-27.258,12.407,16.522,-0.416,18.812,22.784,14.786,35.015,0.979,29.108,11.246,16.842,1.28,7.911,27.0,0.0,0.0,0.0
322.0,12.88,-0.245,26.347,-0.23,-15.643,36.131,0.229,-28.523,14.303,17.857,-1.681,20.901,23.432,14.719,35.256,1.357,30.385,12.82,17.974,2.528,10.192,27.886,0.0,0.0,0.0
323.0,12.92,-0.24,26.365,-0.041,-15.572,36.301,0.283,-30.371,16.138,18.391,-3.729,22.828,24.255,14.663,35.398,1.615,32.139,14.227,18.233,4.634,12.576,28.831,0.0,0.0,0.0
324.0,12.96,-0.255,26.376,0.137,-15.55,36.409,0.345,-32.523,17.489,17.911,-6.362,24.372,25.064,14.632,35.468,1.821,34.133,15.171,17.464,7.363,14.905,29.445,0.0,0.0,0.0
325.0,13.0,-0.256,26.407,0.347,-15.549,36.445,0.507,-34.722,18.124,16.439,-9.456,25.397,25.712,14.654,35.481,2.047,36.012,15.407,15.626,10.54,17.111,29.662,0.0,0.0,0.0
326.0,13.04,-0.242,26.419,0.593,-15.579,36.374,0.76,-36.698,17.972,14.033,-12.88,25.692,26.091,14.75,35.409,2.253,37.411,15.011,12.9,14.036,18.797,29.483,0.0,0.0,0.0
327.0,13.08,-0.231,26.407,0.801,-15.682,36.137,1.014,-38.11,17.174,10.863,-16.391,25.087,26.115,14.879,35.235,2.323,38.091,14.155,9.586,17.621,19.583,28.963,0.0,0.0,0.0
328.0,13.12,-0.234,26.342,0.919,-15.812,35.766,1.149,-38.769,16.011,7.292,-19.649,23.472,25.825,14.997,34.974,2.298,38.078,13.051,6.056,21.052,19.183,28.203,0.0,0.0,0.0
329.0,13.16,-0.267,26.229,0.916,-15.983,35.362,1.231,-38.809,14.866,4.024,-22.325,21.003,25.361,15.07,34.716,2.213,37.59,12.041,2.864,24.102,17.682,27.419,0.0,0.0,0.0
330.0,13.2,-0.302,26.144,0.856,-16.094,35.055,1.279,-38.487,14.138,1.637,-24.09,18.313,24.922,15.075,34.536,2.146,37.007,11.469,0.544,26.47,15.59,26.831,0.0,0.0,0.0
331.0,13.24,-0.32,26.143,0.816,-16.113,34.983,1.219,-38.164,13.918,0.384,-24.747,16.235,24.602,15.056,34.522,2.122,36.568,11.319,-0.754,27.81,13.878,26.413,0.0,0.0,0.0
332.0,13.28,-0.285,26.174,0.781,-16.059,35.001,1.162,-38.006,13.957,-0.023,-24.658,15.168,24.346,15.07,34.572,2.071,36.416,11.392,-1.317,28.023,13.046,26.042,0.0,0.0,0.0
333.0,13.32,-0.243,26.193,0.749,-15.99,35.045,1.141,-37.99,14.125,-0.02,-24.318,14.844,24.184,15.099,34.607,1.963,36.499,11.532,-1.428,27.439,12.889,25.708,0.0,0.0,0.0
334.0,13.36,-0.216,26.195,0.706,-15.93,35.089,1.118,-38.06,14.332,0.164,-23.963,14.813,24.135,15.123,34.62,1.852,36.614,11.598,-1.24,26.651,12.977,25.558,0.0,0.0,0.0
335.0,13.4,-0.212,26.205,0.684,-15.904,35.13,1.127,-38.183,14.514,0.46,-23.749,14.857,24.228,15.129,34.614,1.796,36.684,11.585,-0.901,25.995,13.024,25.613,0.0,0.0,0.0
336.0,13.44,-0.227,26.215,0.665,-15.904,35.168,1.108,-38.342,14.673,0.737,-23.64,14.912,24.354,15.111,34.614,1.791,36.715,11.569,-0.548,25.565,13.024,25.791,0.0,0.0,0.0
337.0,13.48,-0.234,26.226,0.636,-15.904,35.204,1.071,-38.471,14.82,0.865,-23.61,14.983,24.399,15.103,34.63,1.79,36.724,11.561,-0.302,25.335,13.025,25.953,0.0,0.0,0.0
338.0,13.52,-0.236,26.234,0.595,-15.908,35.221,1.018,-38.588,14.958,0.811,-23.711,15.015,24.333,15.101,34.653,1.759,36.756,11.576,-0.19,25.225,13.056,26.001,0.0,0.0,0.0
339.0,13.56,-0.224,26.235,0.552,-15.896,35.238,0.946,-38.684,15.095,0.649,-23.892,15.04,24.216,15.119,34.664,1.712,36.852,11.631,-0.171,25.187,13.125,25.957,0.0,0.0,0.0
340.0,13.6,-0.201,26.228,0.515,-15.87,35.244,0.865,-38.732,15.182,0.469,-24.075,15.08,24.123,15.15,34.667,1.662,36.945,11.654,-0.156,25.155,13.189,25.913,0.0,0.0,0.0
341.0,13.64,-0.178,26.214,0.481,-15.843,35.243,0.757,-38.656,15.111,0.349,-24.13,15.2,24.086,15.176,34.666,1.605,36.902,11.571,-0.11,25.034,13.278,25.915,0.0,0.0,0.0
342.0,13.68,-0.168,26.202,0.461,-15.835,35.226,0.655,-38.375,14.803,0.303,-23.928,15.414,24.07,15.194,34.671,1.54,36.646,11.328,-0.047,24.715,13.41,25.945,0.0,0.0,0.0
343.0,13.72,-0.165,26.182,0.44,-15.841,35.193,0.536,-37.9,14.285,0.271,-23.489,15.662,23.994,15.203,34.679,1.434,36.071,10.859,0.043,24.107,13.546,25.988,0.0,0.0,0.0
344.0,13.76,-0.183,26.167,0.418,-15.873,35.171,0.382,-37.187,13.55,0.217,-22.89,15.785,23.883,15.183,34.687,1.334,35.234,10.294,0.13,23.24,13.535,25.987,0.0,0.0,0.0
345.0,13.8,-0.213,26.148,0.363,-15.915,35.147,0.212,-36.191,12.65,0.087,-22.23,15.738,23.771,15.167,34.685,1.192,34.19,9.589,0.092,22.422,13.246,25.891,0.0,0.0,0.0
346.0,13.84,-0.225,26.113,0.313,-15.95,35.069,0.04,-35.024,11.617,-0.089,-21.598,15.388,23.689,15.181,34.662,1.015,32.887,8.731,-0.055,21.606,12.841,25.781,0.0,0.0,0.0
347.0,13.88,-0.224,26.065,0.251,-15.98,34.971,-0.133,-33.644,10.514,-0.331,-20.869,14.735,23.661,15.209,34.619,0.822,31.36,7.837,-0.277,20.703,12.3,25.668,0.0,0.0,0.0
348.0,13.92,-0.242,26.034,0.166,-16.029,34.911,-0.311,-31.993,9.455,-0.695,-20.006,13.755,23.694,15.221,34.595,0.589,29.658,7.031,-0.57,19.74,11.494,25.532,0.0,0.0,0.0
349.0,13.96,-0.257,26.011,0.056,-16.078,34.857,-0.498,-30.182,8.47,-1.152,-19.123,12.421,23.769,15.244,34.568,0.319,27.986,6.346,-0.881,18.656,10.364,25.448,0.0,0.0,0.0
350.0,14.0,-0.281,25.981,-0.082,-16.142,34.774,-0.724,-28.394,7.616,-1.622,-18.228,10.823,23.853,15.244,34.529,0.047,26.605,5.836,-1.127,17.447,8.919,25.38,0.0,0.0,0.0
351.0,14.04,-0.305,25.958,-0.239,-16.199,34.697,-0.973,-26.836,6.965,-1.976,-17.397,8.941,24.03,15.229,34.484,-0.173,25.709,5.509,-1.23,16.139,7.309,25.338,0.0,0.0,0.0
352.0,14.08,-0.293,25.938,-0.402,-16.211,34.626,-1.2,-25.736,6.538,-2.207,-16.607,7.056,24.139,15.237,34.45,-0.317,25.398,5.354,-1.24,14.999,5.843,25.223,0.0,0.0,0.0
353.0,14.12,-0.252,25.925,-0.524,-16.188,34.539,-1.344,-25.295,6.291,-2.33,-16.03,5.483,24.127,15.269,34.453,-0.397,25.55,5.377,-1.195,14.305,4.753,25.016,0.0,0.0,0.0
354.0,14.16,-0.222,25.902,-0.621,-16.17,34.469,-1.446,-25.5,6.263,-2.451,-15.911,4.45,23.947,15.277,34.472,-0.45,25.965,5.531,-1.156,13.954,4.151,24.739,0.0,0.0,0.0
355.0,14.2,-0.22,25.867,-0.687,-16.163,34.422,-1.519,-26.019,6.395,-2.604,-16.14,3.931,23.65,15.26,34.459,-0.493,26.412,5.678,-1.195,13.856,3.859,24.425,0.0,0.0,0.0
356.0,14.24,-0.232,25.839,-0.74,-16.162,34.4,-1.602,-26.625,6.592,-2.827,-16.51,3.749,23.302,15.235,34.439,-0.539,26.814,5.813,-1.3,13.882,3.709,24.126,0.0,0.0,0.0
