Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1077.0,43.08,-0.227,26.215,-0.336,-15.904,35.246,-1.308,-27.805,8.702,-4.535,-16.366,2.768,20.728,15.324,34.664,-0.458,26.547,6.435,-4.272,15.415,3.539,21.946,0.0,0.0,0.0
1078.0,43.12,-0.222,26.202,-0.372,-15.901,35.233,-1.357,-27.787,8.678,-4.546,-16.398,2.872,20.768,15.326,34.653,-0.505,26.55,6.424,-4.286,15.482,3.747,21.97,0.0,0.0,0.0
1079.0,43.16,-0.219,26.194,-0.409,-15.896,35.222,-1.407,-27.78,8.66,-4.561,-16.454,2.986,20.802,15.327,34.642,-0.551,26.553,6.413,-4.306,15.542,3.975,21.979,0.0,0.0,0.0
1080.0,43.2,-0.219,26.188,-0.444,-15.889,35.213,-1.457,-27.79,8.661,-4.581,-16.549,3.122,20.839,15.33,34.628,-0.597,26.534,6.389,-4.327,15.581,4.223,21.994,0.0,0.0,0.0
1081.0,43.24,-0.215,26.177,-0.488,-15.886,35.21,-1.512,-27.8,8.658,-4.614,-16.647,3.281,20.866,15.334,34.614,-0.655,26.544,6.381,-4.338,15.624,4.502,22.007,0.0,0.0,0.0
1082.0,43.28,-0.212,26.167,-0.53,-15.875,35.206,-1.568,-27.823,8.661,-4.642,-16.737,3.46,20.89,15.338,34.599,-0.713,26.562,6.362,-4.333,15.632,4.759,22.014,0.0,0.0,0.0
1083.0,43.32,-0.202,26.16,-0.576,-15.862,35.204,-1.633,-27.856,8.673,-4.665,-16.788,3.713,20.911,15.349,34.587,-0.761,26.596,6.356,-4.317,15.606,5.047,22.033,0.0,0.0,0.0
1084.0,43.36,-0.194,26.148,-0.621,-15.85,35.198,-1.692,-27.916,8.7,-4.644,-16.694,4.113,20.906,15.357,34.562,-0.802,26.63,6.341,-4.292,15.575,5.413,22.067,0.0,0.0,0.0
1085.0,43.4,-0.189,26.132,-0.666,-15.843,35.205,-1.73,-28.142,8.777,-4.4,-16.169,4.991,20.919,15.363,34.521,-0.802,26.816,6.354,-4.098,15.632,6.105,22.215,0.0,0.0,0.0
1086.0,43.44,-0.183,26.126,-0.713,-15.809,35.238,-1.735,-28.705,8.933,-3.445,-15.373,6.546,21.297,15.367,34.459,-0.769,27.364,6.375,-3.402,15.927,7.637,22.761,0.0,0.0,0.0
1087.0,43.48,-0.184,26.112,-0.738,-15.766,35.282,-1.643,-29.495,9.215,-1.521,-14.778,8.981,22.306,15.364,34.432,-0.785,28.425,6.541,-1.875,16.54,10.24,23.801,0.0,0.0,0.0
1088.0,43.52,-0.186,26.102,-0.785,-15.718,35.377,-1.573,-30.355,9.813,1.321,-14.314,12.523,23.912,15.351,34.503,-0.881,29.797,7.078,0.455,17.209,13.823,25.135,0.0,0.0,0.0
1089.0,43.56,-0.179,26.092,-0.885,-15.663,35.517,-1.596,-31.068,10.87,4.838,-13.829,16.897,25.62,15.33,34.62,-1.009,31.166,8.085,3.284,17.759,17.898,26.448,0.0,0.0,0.0
1090.0,43.6,-0.151,26.091,-1.017,-15.595,35.692,-1.63,-31.484,12.53,8.587,-13.254,21.661,27.132,15.285,34.755,-1.155,32.301,9.508,6.264,17.988,22.077,27.516,0.0,0.0,0.0
1091.0,43.64,-0.156,26.088,-1.158,-15.496,35.872,-1.654,-31.626,14.746,12.18,-12.443,26.184,28.148,15.191,34.885,-1.372,33.067,11.245,9.002,17.914,25.841,28.325,0.0,0.0,0.0
1092.0,43.68,-0.194,26.11,-1.288,-15.429,36.099,-1.61,-31.576,17.294,15.267,-11.373,29.959,28.753,15.093,35.009,-1.637,33.51,13.019,11.254,17.629,28.926,28.941,0.0,0.0,0.0
1093.0,43.72,-0.239,26.14,-1.428,-15.357,36.373,-1.571,-31.417,19.858,17.616,-10.213,32.67,29.154,15.003,35.1,-1.898,33.772,14.599,12.861,17.354,31.2,29.416,0.0,0.0,0.0
1094.0,43.76,-0.309,26.181,-1.563,-15.312,36.621,-1.562,-31.32,22.154,19.247,-9.043,34.295,29.482,14.922,35.147,-2.099,34.135,15.882,13.832,17.141,32.65,29.653,0.0,0.0,0.0
1095.0,43.8,-0.35,26.226,-1.685,-15.256,36.814,-1.58,-31.286,24.016,20.274,-8.163,35.089,29.768,14.912,35.15,-2.25,34.704,16.835,14.26,17.17,33.385,29.719,0.0,0.0,0.0
1096.0,43.84,-0.355,26.253,-1.767,-15.191,36.927,-1.575,-31.392,25.395,20.871,-7.55,35.251,29.996,14.923,35.198,-2.347,35.368,17.505,14.234,17.387,33.621,29.643,0.0,0.0,0.0
1097.0,43.88,-0.349,26.284,-1.8,-15.158,37.001,-1.532,-31.591,26.277,21.154,-7.266,35.092,30.092,14.938,35.233,-2.412,35.966,17.897,13.943,17.727,33.597,29.493,0.0,0.0,0.0
1098.0,43.92,-0.353,26.303,-1.807,-15.149,37.033,-1.474,-31.789,26.762,21.259,-7.175,34.783,30.16,14.937,35.238,-2.467,36.434,18.1,13.553,18.051,33.465,29.261,0.0,0.0,0.0
1099.0,43.96,-0.372,26.304,-1.804,-15.164,37.024,-1.418,-31.931,26.994,21.326,-7.086,34.37,30.205,14.909,35.247,-2.492,36.677,18.156,13.219,18.19,33.322,28.983,0.0,0.0,0.0
1100.0,44.0,-0.412,26.303,-1.786,-15.218,36.987,-1.345,-32.012,27.05,21.412,-7.025,34.006,30.183,14.853,35.269,-2.474,36.719,18.108,13.003,18.165,33.168,28.76,0.0,0.0,0.0
1101.0,44.04,-0.482,26.305,-1.752,-15.306,36.944,-1.286,-32.065,26.995,21.489,-6.947,33.713,30.059,14.77,35.298,-2.4,36.631,17.999,12.914,17.988,32.996,28.606,0.0,0.0,0.0
1102.0,44.08,-0.545,26.305,-1.705,-15.389,36.895,-1.235,-32.12,26.968,21.565,-6.894,33.429,29.977,14.694,35.321,-2.296,36.502,17.89,12.923,17.708,32.852,28.458,0.0,0.0,0.0
1103.0,44.12,-0.597,26.307,-1.649,-15.462,36.855,-1.189,-32.242,26.992,21.595,-6.933,33.196,29.998,14.625,35.356,-2.169,36.408,17.874,13.017,17.394,32.732,28.372,0.0,0.0,0.0
1104.0,44.16,-0.639,26.301,-1.61,-15.523,36.82,-1.202,-32.438,26.931,21.466,-7.154,33.059,30.132,14.559,35.373,-2.063,36.365,17.936,13.105,17.049,32.634,28.265,0.0,0.0,0.0
1105.0,44.2,-0.666,26.284,-1.571,-15.581,36.757,-1.239,-32.746,26.698,21.202,-7.489,32.847,30.162,14.503,35.375,-1.947,36.382,18.06,13.192,16.664,32.601,28.017,0.0,0.0,0.0
1106.0,44.24,-0.684,26.254,-1.525,-15.644,36.664,-1.241,-33.197,26.367,20.862,-7.621,32.585,29.691,14.438,35.386,-1.82,36.407,18.232,13.299,16.281,32.616,27.72,0.0,0.0,0.0
1107.0,44.28,-0.701,26.237,-1.466,-15.703,36.564,-1.201,-33.786,26.006,20.453,-8.168,32.869,28.639,14.372,35.401,-1.705,36.496,18.505,13.371,15.922,32.501,27.478,0.0,0.0,0.0
1108.0,44.32,-0.734,26.215,-1.409,-15.783,36.449,-1.182,-34.599,25.579,19.788,-9.298,33.627,28.068,14.3,35.421,-1.586,36.662,18.803,13.333,15.946,32.226,27.691,0.0,0.0,0.0
1109.0,44.36,-0.749,26.184,-1.353,-15.858,36.345,-1.252,-35.732,25.305,18.732,-11.078,34.339,28.185,14.245,35.44,-1.458,36.981,19.088,13.113,16.457,31.884,28.252,0.0,0.0,0.0
1110.0,44.4,-0.763,26.158,-1.303,-15.919,36.276,-1.368,-37.127,25.171,17.322,-13.348,34.819,28.564,14.202,35.461,-1.356,37.401,19.381,12.65,17.499,31.309,29.147,0.0,0.0,0.0
1111.0,44.44,-0.777,26.142,-1.253,-15.949,36.238,-1.493,-38.617,25.095,15.572,-16.067,35.054,29.026,14.166,35.453,-1.273,37.813,19.468,11.931,19.382,30.697,30.333,0.0,0.0,0.0
1112.0,44.48,-0.787,26.124,-1.197,-15.974,36.197,-1.643,-40.044,24.901,13.509,-19.138,35.1,29.376,14.165,35.414,-1.173,38.17,19.211,10.945,22.088,30.454,31.213,0.0,0.0,0.0
