Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1686.0,67.44,0.065,25.991,-0.542,-15.752,34.882,-1.276,-26.22,7.508,-4.432,-17.592,3.204,21.852,15.771,33.958,-0.805,26.127,5.165,-4.263,18.15,2.809,22.932,0.0,0.0,0.0
1687.0,67.48,0.062,25.991,-0.54,-15.758,34.874,-1.276,-26.22,7.497,-4.434,-17.601,3.2,21.855,15.765,33.962,-0.798,26.133,5.171,-4.252,18.153,2.815,22.942,0.0,0.0,0.0
1688.0,67.52,0.059,25.99,-0.539,-15.762,34.865,-1.277,-26.22,7.486,-4.441,-17.614,3.195,21.853,15.759,33.965,-0.79,26.134,5.176,-4.241,18.151,2.812,22.952,0.0,0.0,0.0
1689.0,67.56,0.059,25.987,-0.541,-15.763,34.857,-1.279,-26.216,7.477,-4.457,-17.623,3.183,21.84,15.755,33.965,-0.784,26.134,5.178,-4.233,18.149,2.794,22.963,0.0,0.0,0.0
1690.0,67.6,0.06,25.982,-0.547,-15.764,34.845,-1.278,-26.207,7.466,-4.476,-17.618,3.163,21.822,15.751,33.963,-0.785,26.135,5.172,-4.224,18.159,2.735,22.975,0.0,0.0,0.0
1691.0,67.64,0.06,25.979,-0.549,-15.764,34.831,-1.267,-26.202,7.457,-4.505,-17.616,3.17,21.793,15.75,33.963,-0.785,26.146,5.171,-4.212,18.18,2.605,22.997,0.0,0.0,0.0
1692.0,67.68,0.059,25.967,-0.553,-15.77,34.792,-1.243,-26.21,7.447,-4.537,-17.608,3.425,21.751,15.742,33.972,-0.795,26.163,5.181,-4.202,18.224,2.325,23.046,0.0,0.0,0.0
1693.0,67.72,0.058,25.951,-0.555,-15.782,34.708,-1.237,-26.353,7.434,-4.456,-17.736,4.429,21.823,15.719,34.029,-0.792,26.215,5.262,-4.16,18.292,1.715,23.133,0.0,0.0,0.0
1694.0,67.76,0.054,25.951,-0.557,-15.814,34.602,-1.319,-26.75,7.403,-3.917,-18.119,6.787,22.339,15.662,34.171,-0.708,26.364,5.485,-3.991,18.322,0.458,23.201,0.0,0.0,0.0
1695.0,67.8,0.034,25.969,-0.534,-15.862,34.528,-1.531,-27.366,7.419,-2.696,-18.741,10.74,23.155,15.552,34.359,-0.478,26.64,5.812,-3.597,18.246,-1.754,23.097,0.0,0.0,0.0
1696.0,67.84,-0.034,25.992,-0.493,-15.948,34.513,-1.83,-28.141,7.594,-0.698,-19.274,15.917,23.731,15.385,34.534,-0.124,26.973,6.137,-2.887,18.098,-4.877,22.635,0.0,0.0,0.0
1697.0,67.88,-0.134,26.009,-0.44,-16.038,34.562,-2.148,-28.926,8.124,2.066,-19.382,21.497,23.623,15.194,34.632,0.307,27.239,6.323,-1.914,17.973,-8.373,21.719,0.0,0.0,0.0
1698.0,67.92,-0.237,26.007,-0.41,-16.098,34.622,-2.427,-29.525,9.103,5.284,-19.065,26.644,22.869,15.003,34.706,0.739,27.156,6.349,-0.777,18.145,-11.966,20.369,0.0,0.0,0.0
1699.0,67.96,-0.346,26.012,-0.375,-16.176,34.643,-2.601,-29.876,10.563,8.549,-18.143,30.828,21.663,14.815,34.756,1.139,26.782,6.269,0.367,18.459,-15.137,18.699,0.0,0.0,0.0
1700.0,68.0,-0.419,26.016,-0.344,-16.216,34.68,-2.665,-29.895,12.268,11.469,-16.772,33.824,20.331,14.693,34.798,1.413,26.403,6.15,1.274,18.779,-17.505,16.854,0.0,0.0,0.0
1701.0,68.04,-0.466,26.007,-0.368,-16.233,34.712,-2.678,-29.663,13.864,13.737,-15.267,35.669,19.066,14.627,34.836,1.427,26.079,6.075,1.815,19.029,-19.122,14.997,0.0,0.0,0.0
1702.0,68.08,-0.475,25.996,-0.411,-16.22,34.721,-2.659,-29.3,15.112,15.318,-13.764,36.6,18.028,14.625,34.858,1.291,25.929,6.037,1.831,19.394,-19.988,13.529,0.0,0.0,0.0
1703.0,68.12,-0.442,25.988,-0.472,-16.173,34.733,-2.616,-28.806,15.851,16.295,-12.515,36.921,17.456,14.677,34.874,1.063,25.979,6.068,1.492,19.943,-20.182,12.929,0.0,0.0,0.0
1704.0,68.16,-0.385,25.995,-0.553,-16.122,34.776,-2.508,-28.175,15.945,16.749,-11.938,37.067,17.564,14.77,34.874,0.737,26.184,6.122,0.961,20.502,-20.113,12.672,0.0,0.0,0.0
1705.0,68.2,-0.352,25.997,-0.654,-16.116,34.811,-2.354,-27.315,15.48,16.876,-11.575,36.943,18.166,14.85,34.837,0.344,26.451,6.145,0.437,20.934,-19.997,12.571,0.0,0.0,0.0
1706.0,68.24,-0.347,25.984,-0.761,-16.147,34.833,-2.118,-26.258,14.671,16.887,-11.079,36.432,19.242,14.906,34.769,-0.124,26.619,6.094,-0.114,21.273,-19.905,12.539,0.0,0.0,0.0
1707.0,68.28,-0.363,25.951,-0.864,-16.197,34.823,-1.786,-24.957,13.679,16.919,-10.232,35.569,20.672,14.943,34.67,-0.642,26.614,5.955,-0.657,21.611,-19.87,12.576,0.0,0.0,0.0
1708.0,68.32,-0.41,25.925,-0.926,-16.27,34.788,-1.346,-23.501,12.725,17.085,-9.052,34.67,22.171,14.937,34.594,-1.113,26.46,5.803,-1.16,21.899,-19.831,12.632,0.0,0.0,0.0
1709.0,68.36,-0.482,25.918,-0.932,-16.351,34.769,-0.857,-22.119,12.062,17.465,-7.557,33.928,23.594,14.888,34.567,-1.473,26.286,5.716,-1.575,22.189,-19.808,12.583,0.0,0.0,0.0
1710.0,68.4,-0.545,25.92,-0.868,-16.385,34.798,-0.359,-21.054,11.797,18.052,-5.681,33.207,24.793,14.837,34.544,-1.702,26.138,5.65,-1.955,22.336,-19.863,12.323,0.0,0.0,0.0
1711.0,68.44,-0.592,25.929,-0.763,-16.375,34.878,0.094,-20.401,12.017,18.926,-3.507,32.658,25.074,14.801,34.503,-1.825,26.066,5.587,-2.29,22.477,-19.96,11.987,0.0,0.0,0.0
1712.0,68.48,-0.63,25.94,-0.642,-16.322,34.991,0.487,-19.905,12.529,19.933,-1.504,32.347,24.422,14.784,34.447,-1.87,26.029,5.513,-2.579,22.607,-20.142,11.541,0.0,0.0,0.0
1713.0,68.52,-0.652,25.954,-0.536,-16.246,35.111,0.807,-19.439,13.197,20.944,-0.093,32.457,23.127,14.789,34.392,-1.876,25.983,5.438,-2.817,22.764,-20.403,10.985,0.0,0.0,0.0
1714.0,68.56,-0.663,25.972,-0.438,-16.167,35.216,1.081,-18.923,13.842,21.832,0.597,32.941,21.638,14.804,34.347,-1.853,25.918,5.37,-2.955,22.93,-20.714,10.4,0.0,0.0,0.0
1715.0,68.6,-0.664,25.991,-0.367,-16.101,35.3,1.271,-18.47,14.389,22.497,0.644,33.618,20.293,14.824,34.318,-1.821,25.86,5.317,-3.025,23.107,-21.018,9.828,0.0,0.0,0.0
1716.0,68.64,-0.651,26.001,-0.331,-16.056,35.356,1.37,-18.145,14.76,22.902,0.275,34.271,19.15,14.846,34.3,-1.795,25.832,5.284,-3.093,23.298,-21.274,9.291,0.0,0.0,0.0
1717.0,68.68,-0.643,26.019,-0.309,-16.036,35.407,1.389,-17.996,14.98,23.051,-0.296,34.814,18.375,14.867,34.293,-1.753,25.839,5.28,-3.16,23.491,-21.445,8.851,0.0,0.0,0.0
1718.0,68.72,-0.644,26.037,-0.298,-16.044,35.441,1.341,-18.065,15.137,23.05,-0.636,35.07,18.042,14.876,34.299,-1.674,25.874,5.305,-3.21,23.653,-21.539,8.532,0.0,0.0,0.0
1719.0,68.76,-0.644,26.044,-0.306,-16.04,35.474,1.254,-18.265,15.258,22.974,-0.712,35.065,18.065,14.884,34.315,-1.577,25.93,5.353,-3.212,23.797,-21.572,8.35,0.0,0.0,0.0
1720.0,68.8,-0.641,26.042,-0.3,-16.05,35.471,1.175,-18.453,15.271,22.887,-0.894,35.063,17.997,14.892,34.321,-1.472,25.999,5.381,-3.142,23.923,-21.572,8.348,0.0,0.0,0.0
1721.0,68.84,-0.639,26.023,-0.316,-16.083,35.423,1.032,-18.628,15.173,22.676,-0.95,34.991,18.179,14.888,34.315,-1.374,26.089,5.407,-3.015,24.005,-21.505,8.594,0.0,0.0,0.0
1722.0,68.88,-0.655,26.008,-0.348,-16.133,35.356,0.873,-18.888,14.904,22.316,-0.954,34.726,18.61,14.868,34.326,-1.312,26.198,5.451,-2.796,24.041,-21.347,9.096,0.0,0.0,0.0
1723.0,68.92,-0.649,25.972,-0.401,-16.175,35.284,0.682,-19.407,14.402,21.708,-0.867,33.996,19.388,14.857,34.335,-1.277,26.32,5.484,-2.501,24.077,-21.104,9.853,0.0,0.0,0.0
1724.0,68.96,-0.634,25.946,-0.473,-16.197,35.2,0.471,-20.327,13.609,20.732,-0.786,32.508,20.573,14.865,34.327,-1.271,26.429,5.499,-2.223,24.1,-20.746,10.881,0.0,0.0,0.0
1725.0,69.0,-0.568,25.92,-0.55,-16.158,35.097,0.281,-21.66,12.577,19.293,-1.075,30.292,21.787,14.916,34.307,-1.284,26.549,5.496,-2.118,24.071,-20.13,12.212,0.0,0.0,0.0
1726.0,69.04,-0.495,25.902,-0.585,-16.099,34.989,0.161,-23.346,11.414,17.44,-2.025,27.647,22.891,14.983,34.288,-1.292,26.698,5.525,-2.246,23.909,-19.069,13.831,0.0,0.0,0.0
1727.0,69.08,-0.416,25.898,-0.565,-16.049,34.893,0.11,-25.236,10.315,15.156,-3.694,24.878,23.811,15.05,34.283,-1.269,26.905,5.621,-2.622,23.578,-17.356,15.637,0.0,0.0,0.0
1728.0,69.12,-0.349,25.901,-0.491,-16.011,34.83,0.124,-27.209,9.521,12.537,-5.944,22.175,24.432,15.111,34.281,-1.23,27.203,5.771,-3.189,23.055,-14.876,17.487,0.0,0.0,0.0
1729.0,69.16,-0.294,25.914,-0.397,-15.975,34.822,0.133,-29.058,9.174,9.686,-8.515,19.553,24.762,15.168,34.271,-1.203,27.569,5.966,-3.837,22.441,-11.669,19.152,0.0,0.0,0.0
1730.0,69.2,-0.236,25.934,-0.3,-15.922,34.872,0.161,-30.528,9.214,6.722,-11.186,16.957,24.749,15.24,34.248,-1.201,27.929,6.159,-4.428,21.81,-8.016,20.466,0.0,0.0,0.0
1731.0,69.24,-0.174,25.964,-0.204,-15.85,34.936,0.238,-31.558,9.554,3.86,-13.648,14.375,24.288,15.319,34.241,-1.201,28.225,6.34,-4.821,21.204,-4.29,21.37,0.0,0.0,0.0
1732.0,69.28,-0.117,25.993,-0.123,-15.782,35.003,0.295,-32.141,9.996,1.28,-15.713,11.972,23.481,15.394,34.232,-1.162,28.433,6.465,-4.998,20.562,-0.845,21.892,0.0,0.0,0.0
1733.0,69.32,-0.059,26.026,-0.056,-15.71,35.093,0.278,-32.121,10.328,-0.964,-17.249,10.021,22.507,15.483,34.214,-1.066,28.471,6.48,-5.056,19.833,2.106,22.073,0.0,0.0,0.0
