Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1279.0,51.16,-1.047,27.364,-1.296,-17.025,35.763,-0.667,-27.688,8.315,-2.3,-15.543,8.669,22.834,14.41,35.608,-1.198,26.723,7.362,-3.297,15.758,10.224,22.667,0.0,0.0,0.0
1280.0,51.2,-1.046,27.371,-1.297,-17.023,35.771,-0.667,-27.676,8.326,-2.293,-15.527,8.694,22.829,14.412,35.613,-1.21,26.708,7.367,-3.324,15.769,10.282,22.637,0.0,0.0,0.0
1281.0,51.24,-1.045,27.375,-1.297,-17.021,35.777,-0.667,-27.67,8.324,-2.28,-15.501,8.727,22.84,14.414,35.617,-1.223,26.681,7.362,-3.353,15.785,10.33,22.617,0.0,0.0,0.0
1282.0,51.28,-1.044,27.378,-1.297,-17.017,35.785,-0.667,-27.683,8.337,-2.262,-15.5,8.775,22.845,14.418,35.614,-1.232,26.671,7.355,-3.375,15.794,10.354,22.593,0.0,0.0,0.0
1283.0,51.32,-1.042,27.379,-1.298,-17.013,35.792,-0.669,-27.713,8.353,-2.212,-15.506,8.841,22.883,14.42,35.611,-1.242,26.673,7.35,-3.381,15.799,10.391,22.581,0.0,0.0,0.0
1284.0,51.36,-1.04,27.376,-1.301,-17.007,35.798,-0.667,-27.746,8.369,-2.149,-15.519,8.888,22.943,14.425,35.602,-1.254,26.674,7.339,-3.387,15.816,10.426,22.57,0.0,0.0,0.0
1285.0,51.4,-1.039,27.371,-1.31,-17.003,35.797,-0.67,-27.77,8.368,-2.077,-15.528,8.928,23.011,14.425,35.596,-1.27,26.677,7.332,-3.396,15.842,10.467,22.565,0.0,0.0,0.0
1286.0,51.44,-1.036,27.367,-1.314,-17.0,35.794,-0.661,-27.784,8.359,-2.014,-15.558,8.988,23.078,14.427,35.585,-1.287,26.681,7.319,-3.4,15.881,10.514,22.563,0.0,0.0,0.0
1287.0,51.48,-1.032,27.358,-1.32,-16.993,35.782,-0.648,-27.806,8.346,-1.944,-15.612,9.11,23.156,14.431,35.566,-1.294,26.705,7.299,-3.376,15.941,10.574,22.587,0.0,0.0,0.0
