Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
322.0,12.88,-0.22,26.096,-0.544,-16.022,34.864,-1.287,-26.748,7.762,-4.938,-17.249,2.55,20.803,15.409,34.376,-0.214,27.061,5.973,-3.016,16.276,4.297,23.091,0.0,0.0,0.0
323.0,12.92,-0.213,26.092,-0.554,-16.014,34.861,-1.299,-26.748,7.755,-4.946,-17.264,2.567,20.801,15.417,34.373,-0.215,27.065,5.968,-3.016,16.282,4.309,23.088,0.0,0.0,0.0
324.0,12.96,-0.209,26.087,-0.561,-16.008,34.86,-1.307,-26.738,7.758,-4.959,-17.28,2.591,20.804,15.422,34.359,-0.215,27.073,5.957,-3.012,16.28,4.305,23.086,0.0,0.0,0.0
325.0,13.0,-0.206,26.083,-0.574,-16.001,34.866,-1.324,-26.742,7.77,-4.977,-17.288,2.608,20.783,15.428,34.348,-0.227,27.077,5.94,-3.021,16.263,4.301,23.074,0.0,0.0,0.0
326.0,13.04,-0.202,26.076,-0.588,-15.997,34.862,-1.338,-26.731,7.764,-4.988,-17.267,2.607,20.772,15.431,34.333,-0.242,27.079,5.927,-3.028,16.254,4.294,23.065,0.0,0.0,0.0
327.0,13.08,-0.194,26.075,-0.605,-15.988,34.862,-1.361,-26.729,7.766,-5.007,-17.267,2.625,20.758,15.442,34.327,-0.264,27.069,5.908,-3.041,16.239,4.313,23.053,0.0,0.0,0.0
328.0,13.12,-0.19,26.066,-0.625,-15.982,34.851,-1.381,-26.728,7.757,-5.027,-17.238,2.654,20.732,15.446,34.314,-0.291,27.058,5.891,-3.053,16.209,4.346,23.037,0.0,0.0,0.0
329.0,13.16,-0.183,26.059,-0.649,-15.972,34.847,-1.393,-26.729,7.76,-5.052,-17.166,2.807,20.688,15.458,34.313,-0.322,27.045,5.88,-3.072,16.185,4.468,23.024,0.0,0.0,0.0
330.0,13.2,-0.181,26.048,-0.664,-15.966,34.865,-1.39,-26.751,7.81,-4.963,-16.862,3.333,20.736,15.464,34.303,-0.351,27.036,5.883,-3.066,16.041,4.793,23.029,0.0,0.0,0.0
331.0,13.24,-0.17,26.045,-0.675,-15.939,34.919,-1.413,-26.869,7.886,-4.619,-16.104,4.69,20.955,15.482,34.291,-0.373,27.087,5.901,-3.017,15.57,5.442,22.967,0.0,0.0,0.0
332.0,13.28,-0.154,26.042,-0.692,-15.888,35.004,-1.459,-27.092,7.973,-3.904,-15.007,6.599,21.3,15.518,34.235,-0.421,27.13,5.878,-2.827,14.913,6.4,22.973,0.0,0.0,0.0
333.0,13.32,-0.133,26.037,-0.707,-15.816,35.13,-1.434,-27.339,8.11,-2.886,-13.823,8.548,21.612,15.565,34.152,-0.544,27.156,5.754,-2.22,14.438,7.932,23.392,0.0,0.0,0.0
334.0,13.36,-0.117,26.037,-0.731,-15.744,35.224,-1.326,-27.63,8.286,-1.802,-12.666,9.981,21.78,15.608,34.083,-0.783,27.182,5.606,-1.004,14.683,10.31,24.368,0.0,0.0,0.0
335.0,13.4,-0.081,26.002,-0.786,-15.658,35.262,-1.22,-27.98,8.472,-0.826,-11.525,10.545,21.688,15.656,34.033,-1.12,27.401,5.662,0.938,15.567,13.53,25.758,0.0,0.0,0.0
336.0,13.44,-0.04,25.976,-0.87,-15.573,35.296,-1.108,-28.192,8.631,-0.1,-10.406,10.23,21.442,15.688,34.031,-1.427,27.915,6.192,3.488,16.81,17.413,27.245,0.0,0.0,0.0
337.0,13.48,0.017,25.968,-0.929,-15.483,35.308,-0.966,-28.236,8.703,0.379,-9.411,9.371,21.119,15.728,34.079,-1.626,28.666,7.259,6.253,18.143,21.723,28.497,0.0,0.0,0.0
338.0,13.52,0.081,25.966,-0.945,-15.416,35.272,-0.82,-28.242,8.683,0.614,-8.626,8.438,20.665,15.731,34.219,-1.767,29.478,8.811,8.919,19.377,26.089,29.264,0.0,0.0,0.0
339.0,13.56,0.129,25.978,-0.931,-15.378,35.247,-0.699,-28.212,8.638,0.687,-8.033,7.652,20.218,15.714,34.378,-1.843,30.251,10.639,11.222,20.402,30.117,29.606,0.0,0.0,0.0
340.0,13.6,0.148,25.995,-0.902,-15.364,35.246,-0.601,-28.239,8.633,0.818,-7.7,7.144,20.02,15.702,34.453,-1.884,30.917,12.568,13.223,21.233,33.73,29.728,0.0,0.0,0.0
341.0,13.64,0.155,26.007,-0.867,-15.347,35.264,-0.529,-28.375,8.704,1.147,-7.55,6.896,20.047,15.678,34.543,-1.88,31.472,14.509,14.942,21.902,36.991,29.666,0.0,0.0,0.0
342.0,13.68,0.176,26.019,-0.838,-15.324,35.292,-0.485,-28.548,8.83,1.565,-7.449,6.837,20.165,15.661,34.662,-1.862,31.864,16.293,16.275,22.388,39.792,29.381,0.0,0.0,0.0
343.0,13.72,0.198,26.037,-0.808,-15.328,35.321,-0.475,-28.684,9.008,2.107,-7.291,7.066,20.344,15.609,34.802,-1.849,32.084,17.669,17.093,22.628,41.79,28.989,0.0,0.0,0.0
344.0,13.76,0.189,26.045,-0.779,-15.334,35.39,-0.512,-28.907,9.324,3.187,-7.28,8.389,21.1,15.543,34.794,-1.859,32.13,18.178,17.408,22.437,42.475,28.721,0.0,0.0,0.0
345.0,13.8,0.119,26.042,-0.815,-15.33,35.601,-0.732,-29.504,10.208,5.493,-7.979,12.365,23.212,15.478,34.712,-1.828,32.009,17.363,16.95,21.429,41.04,28.665,0.0,0.0,0.0
346.0,13.84,0.034,26.055,-0.87,-15.314,35.943,-1.174,-30.459,12.215,8.932,-9.78,19.387,26.178,15.435,34.641,-1.678,31.739,15.197,15.393,19.417,36.995,28.898,0.0,0.0,0.0
347.0,13.88,-0.055,26.092,-0.889,-15.292,36.36,-1.604,-31.395,15.484,12.733,-12.487,28.337,28.617,15.419,34.493,-1.487,31.178,12.488,12.874,16.518,30.689,29.114,0.0,0.0,0.0
348.0,13.92,-0.205,26.162,-0.81,-15.261,36.866,-1.824,-31.867,19.736,16.298,-15.226,37.859,29.303,15.37,34.239,-1.209,30.749,10.17,10.276,13.182,22.984,28.8,0.0,0.0,0.0
349.0,13.96,-0.373,26.203,-0.681,-15.159,37.312,-1.793,-31.835,24.455,19.305,-17.396,46.453,28.415,15.339,33.896,-0.838,30.851,8.608,8.389,10.27,15.183,27.329,0.0,0.0,0.0
350.0,14.0,-0.445,26.265,-0.549,-14.965,37.673,-1.619,-31.468,28.755,21.29,-18.907,53.033,26.891,15.311,33.745,-0.643,31.107,8.011,7.315,8.338,8.817,25.192,0.0,0.0,0.0
351.0,14.04,-0.434,26.306,-0.482,-14.819,37.825,-1.532,-31.125,31.737,22.269,-19.925,57.15,25.408,15.305,33.76,-0.62,31.393,7.958,6.997,7.585,5.051,23.5,0.0,0.0,0.0
352.0,14.08,-0.393,26.309,-0.473,-14.755,37.815,-1.526,-31.032,32.929,22.509,-20.267,58.676,24.517,15.336,33.801,-0.705,31.78,8.249,7.177,7.868,4.47,23.325,0.0,0.0,0.0
353.0,14.12,-0.352,26.276,-0.548,-14.794,37.664,-1.6,-31.193,32.176,22.229,-19.915,57.626,24.517,15.335,33.91,-0.932,32.114,8.914,7.831,8.994,7.027,25.36,0.0,0.0,0.0
354.0,14.16,-0.344,26.235,-0.692,-14.934,37.437,-1.749,-31.389,29.629,21.447,-18.815,54.145,25.57,15.276,34.081,-1.208,32.33,10.077,9.263,11.113,12.469,28.836,0.0,0.0,0.0
355.0,14.2,-0.368,26.195,-0.839,-15.152,37.133,-1.829,-31.462,25.738,20.101,-16.986,48.363,27.303,15.201,34.295,-1.47,32.568,12.061,11.657,14.007,20.405,32.168,0.0,0.0,0.0
