Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
82.0,3.28,-0.964,27.245,-1.628,-16.812,35.984,-0.12,-25.408,7.688,1.412,-17.642,9.846,27.999,14.574,35.481,-2.697,24.475,6.382,-2.565,20.03,9.64,25.204,0.0,0.0,0.0
83.0,3.32,-0.97,27.239,-1.639,-16.819,35.98,-0.129,-25.41,7.678,1.417,-17.646,9.861,27.999,14.567,35.48,-2.705,24.477,6.386,-2.569,20.031,9.646,25.201,0.0,0.0,0.0
84.0,3.36,-0.972,27.235,-1.641,-16.823,35.972,-0.129,-25.413,7.671,1.422,-17.65,9.867,28.001,14.561,35.479,-2.708,24.48,6.385,-2.581,20.035,9.63,25.194,0.0,0.0,0.0
85.0,3.4,-0.974,27.231,-1.646,-16.827,35.968,-0.134,-25.415,7.664,1.414,-17.65,9.894,27.991,14.558,35.48,-2.712,24.478,6.388,-2.589,20.048,9.616,25.188,0.0,0.0,0.0
86.0,3.44,-0.976,27.224,-1.651,-16.828,35.958,-0.127,-25.426,7.661,1.402,-17.645,9.965,27.961,14.553,35.478,-2.721,24.492,6.389,-2.593,20.058,9.584,25.193,0.0,0.0,0.0
87.0,3.48,-0.983,27.222,-1.652,-16.834,35.96,-0.141,-25.503,7.717,1.454,-17.639,10.295,27.962,14.54,35.488,-2.735,24.527,6.409,-2.587,20.041,9.494,25.221,0.0,0.0,0.0
88.0,3.52,-0.979,27.22,-1.664,-16.822,35.973,-0.224,-25.774,7.852,1.77,-17.734,11.509,28.07,14.529,35.509,-2.731,24.642,6.457,-2.564,19.956,9.223,25.294,0.0,0.0,0.0
89.0,3.56,-0.951,27.213,-1.683,-16.791,36.025,-0.429,-26.408,8.158,2.707,-17.864,14.285,28.398,14.525,35.54,-2.667,24.886,6.566,-2.481,19.711,8.487,25.467,0.0,0.0,0.0
90.0,3.6,-0.901,27.206,-1.747,-16.729,36.18,-0.82,-27.422,8.923,4.567,-17.843,18.783,28.699,14.544,35.547,-2.549,25.279,6.707,-2.299,19.198,7.047,25.692,0.0,0.0,0.0
91.0,3.64,-0.861,27.204,-1.835,-16.622,36.435,-1.275,-28.626,10.383,7.214,-17.7,24.373,28.543,14.573,35.509,-2.426,25.769,6.823,-2.067,18.43,4.993,25.783,0.0,0.0,0.0
92.0,3.68,-0.848,27.214,-1.917,-16.485,36.758,-1.652,-29.638,12.605,10.318,-17.386,30.175,27.812,14.581,35.461,-2.38,26.274,6.935,-1.728,17.475,2.307,25.634,0.0,0.0,0.0
93.0,3.72,-0.833,27.248,-1.992,-16.347,37.08,-1.943,-30.229,15.412,13.452,-16.78,35.589,26.615,14.593,35.425,-2.376,26.734,7.036,-1.183,16.52,-0.935,25.148,0.0,0.0,0.0
94.0,3.76,-0.839,27.278,-2.02,-16.255,37.302,-2.098,-30.364,18.464,16.359,-15.948,40.17,25.246,14.588,35.371,-2.307,27.097,7.074,-0.39,15.642,-4.294,24.279,0.0,0.0,0.0
95.0,3.8,-0.876,27.295,-2.012,-16.215,37.49,-2.146,-30.117,21.436,18.772,-14.962,43.828,23.857,14.545,35.341,-2.205,27.192,7.112,0.477,14.892,-7.378,23.092,0.0,0.0,0.0
96.0,3.84,-0.909,27.318,-1.975,-16.145,37.677,-2.117,-29.579,23.987,20.555,-14.017,46.553,22.607,14.503,35.363,-2.137,26.997,7.126,1.255,14.352,-10.087,21.713,0.0,0.0,0.0
97.0,3.88,-0.945,27.365,-1.922,-16.092,37.858,-2.059,-28.983,25.891,21.745,-13.227,48.403,21.524,14.479,35.423,-2.138,26.594,7.102,1.736,14.369,-11.767,20.964,0.0,0.0,0.0
