Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
80.0,3.2,-0.656,27.504,-0.753,-16.511,35.824,0.606,-27.654,8.157,-0.429,-12.362,8.529,22.959,14.952,35.53,-0.167,26.649,7.085,-2.669,14.491,8.553,22.833,0.0,0.0,0.0
81.0,3.24,-0.654,27.515,-0.759,-16.513,35.834,0.599,-27.656,8.173,-0.417,-12.359,8.57,22.966,14.955,35.538,-0.176,26.659,7.089,-2.658,14.495,8.554,22.845,0.0,0.0,0.0
82.0,3.28,-0.651,27.521,-0.762,-16.505,35.849,0.59,-27.666,8.192,-0.407,-12.364,8.615,22.962,14.959,35.541,-0.183,26.678,7.096,-2.639,14.492,8.52,22.864,0.0,0.0,0.0
83.0,3.32,-0.643,27.525,-0.765,-16.498,35.849,0.587,-27.687,8.207,-0.395,-12.355,8.666,22.95,14.968,35.547,-0.188,26.696,7.097,-2.615,14.496,8.416,22.905,0.0,0.0,0.0
84.0,3.36,-0.641,27.534,-0.774,-16.495,35.867,0.565,-27.694,8.276,-0.294,-12.351,8.889,23.039,14.971,35.577,-0.212,26.743,7.137,-2.592,14.497,8.155,22.976,0.0,0.0,0.0
85.0,3.4,-0.607,27.555,-0.802,-16.454,35.926,0.447,-27.741,8.416,0.282,-12.624,9.801,23.677,14.997,35.649,-0.25,26.832,7.245,-2.52,14.546,7.296,23.152,0.0,0.0,0.0
86.0,3.44,-0.54,27.581,-0.851,-16.386,36.012,0.251,-28.085,8.67,1.685,-13.556,12.191,25.11,15.043,35.721,-0.302,26.939,7.339,-2.316,14.668,5.568,23.457,0.0,0.0,0.0
87.0,3.48,-0.464,27.582,-0.936,-16.284,36.202,-0.031,-28.698,9.343,4.003,-15.004,16.315,27.138,15.112,35.724,-0.374,27.103,7.363,-1.851,14.69,2.83,23.73,0.0,0.0,0.0
88.0,3.52,-0.388,27.615,-1.02,-16.149,36.506,-0.229,-29.459,10.67,7.059,-16.531,21.345,29.105,15.204,35.703,-0.465,27.239,7.298,-1.06,14.711,-0.705,23.79,0.0,0.0,0.0
89.0,3.56,-0.304,27.617,-1.088,-15.959,36.839,-0.31,-30.139,12.604,10.492,-17.829,26.731,30.853,15.326,35.593,-0.585,27.345,7.139,0.011,14.707,-4.268,23.546,0.0,0.0,0.0
90.0,3.6,-0.238,27.641,-1.134,-15.742,37.241,-0.279,-30.604,15.136,13.875,-18.46,31.846,32.342,15.449,35.445,-0.774,27.479,6.955,1.005,14.529,-7.298,22.865,0.0,0.0,0.0
91.0,3.64,-0.197,27.679,-1.148,-15.528,37.639,-0.144,-30.751,17.966,17.001,-18.326,36.487,33.495,15.547,35.356,-1.035,27.581,6.825,1.684,14.292,-9.627,21.865,0.0,0.0,0.0
92.0,3.68,-0.206,27.729,-1.127,-15.391,37.961,0.059,-30.516,20.809,19.768,-17.404,40.468,34.403,15.577,35.373,-1.324,27.589,6.897,1.91,14.314,-9.954,21.824,0.0,0.0,0.0
93.0,3.72,-0.273,27.767,-1.119,-15.325,38.18,0.274,-29.839,23.259,22.035,-15.865,43.519,35.069,15.511,35.445,-1.692,27.673,7.137,2.104,14.332,-9.721,22.018,0.0,0.0,0.0
94.0,3.76,-0.427,27.802,-1.145,-15.359,38.338,0.45,-28.846,25.029,23.727,-13.908,45.485,35.475,15.355,35.487,-2.014,27.64,7.268,2.178,14.303,-9.963,21.821,0.0,0.0,0.0
95.0,3.8,-0.543,27.805,-1.104,-15.388,38.408,0.643,-27.69,25.977,24.923,-11.725,46.226,35.792,15.227,35.475,-2.151,27.483,7.256,2.116,14.373,-10.123,21.806,0.0,0.0,0.0
96.0,3.84,-0.599,27.801,-1.065,-15.386,38.405,0.858,-26.552,26.053,25.644,-9.471,45.693,36.092,15.158,35.488,-2.229,27.352,7.246,1.992,14.456,-10.131,21.835,0.0,0.0,0.0
97.0,3.88,-0.618,27.801,-1.052,-15.377,38.316,1.054,-25.558,25.244,25.843,-7.425,43.945,36.385,15.126,35.518,-2.272,27.288,7.247,1.883,14.485,-10.14,21.799,0.0,0.0,0.0
98.0,3.92,-0.581,27.778,-1.045,-15.372,38.118,1.195,-24.895,23.655,25.491,-5.875,41.118,36.679,15.149,35.539,-2.261,27.259,7.235,1.847,14.495,-10.132,21.81,0.0,0.0,0.0
99.0,3.96,-0.497,27.746,-1.031,-15.353,37.876,1.304,-24.686,21.557,24.533,-5.06,37.495,36.936,15.227,35.554,-2.229,27.276,7.213,1.82,14.495,-10.099,21.826,0.0,0.0,0.0
100.0,4.0,-0.375,27.715,-0.991,-15.313,37.644,1.383,-25.01,19.263,22.97,-5.306,33.589,37.131,15.356,35.549,-2.11,27.316,7.139,1.782,14.504,-10.106,21.819,0.0,0.0,0.0
101.0,4.04,-0.224,27.703,-0.902,-15.262,37.459,1.428,-25.774,17.191,20.953,-6.68,29.969,37.306,15.522,35.535,-1.858,27.403,7.042,1.736,14.524,-10.087,21.826,0.0,0.0,0.0
102.0,4.08,-0.089,27.726,-0.757,-15.216,37.405,1.416,-26.749,15.741,18.778,-9.08,27.216,37.55,15.674,35.538,-1.504,27.505,6.968,1.755,14.512,-10.11,21.801,0.0,0.0,0.0
103.0,4.12,0.016,27.749,-0.615,-15.163,37.46,1.355,-27.884,15.145,16.984,-12.113,25.797,37.858,15.799,35.521,-1.155,27.592,6.899,1.838,14.488,-10.145,21.824,0.0,0.0,0.0
104.0,4.16,0.097,27.76,-0.496,-15.114,37.56,1.286,-29.103,15.394,16.072,-15.224,26.09,38.251,15.894,35.492,-0.834,27.672,6.855,1.992,14.435,-10.204,21.853,0.0,0.0,0.0
105.0,4.2,0.165,27.783,-0.391,-15.022,37.728,1.247,-30.045,16.318,16.2,-17.781,28.16,38.728,15.974,35.472,-0.555,27.773,6.837,2.174,14.355,-10.255,21.872,0.0,0.0,0.0
106.0,4.24,0.216,27.81,-0.307,-14.91,37.926,1.266,-30.48,17.675,17.28,-19.374,31.59,39.17,16.053,35.44,-0.377,27.872,6.815,2.341,14.301,-10.287,21.914,0.0,0.0,0.0
107.0,4.28,0.217,27.825,-0.257,-14.828,38.125,1.335,-30.39,19.333,19.019,-19.719,35.658,39.355,16.075,35.401,-0.36,27.92,6.788,2.425,14.269,-10.314,21.933,0.0,0.0,0.0
108.0,4.32,0.161,27.839,-0.243,-14.788,38.304,1.446,-29.79,21.133,21.038,-18.739,39.527,39.247,16.037,35.354,-0.498,27.884,6.742,2.331,14.289,-10.329,21.911,0.0,0.0,0.0
109.0,4.36,0.049,27.848,-0.255,-14.776,38.455,1.609,-28.815,22.815,22.964,-16.506,42.477,38.839,15.937,35.306,-0.74,27.756,6.684,2.094,14.365,-10.337,21.866,0.0,0.0,0.0
110.0,4.4,-0.098,27.833,-0.291,-14.812,38.555,1.766,-27.661,24.065,24.51,-13.319,43.92,38.282,15.791,35.261,-1.041,27.562,6.629,1.79,14.481,-10.35,21.807,0.0,0.0,0.0
111.0,4.44,-0.243,27.805,-0.352,-14.861,38.584,1.874,-26.448,24.538,25.458,-9.744,43.552,37.623,15.632,35.236,-1.339,27.376,6.606,1.49,14.618,-10.353,21.731,0.0,0.0,0.0
112.0,4.48,-0.356,27.769,-0.431,-14.862,38.497,1.974,-25.352,23.979,25.766,-6.476,41.459,37.034,15.501,35.219,-1.595,27.256,6.603,1.248,14.749,-10.333,21.675,0.0,0.0,0.0
113.0,4.52,-0.416,27.726,-0.493,-14.938,38.265,2.151,-24.523,22.345,25.389,-4.321,38.247,36.733,15.417,35.235,-1.81,27.191,6.621,1.097,14.841,-10.308,21.632,0.0,0.0,0.0
114.0,4.56,-0.444,27.703,-0.52,-15.118,37.988,2.371,-24.066,20.226,24.442,-3.715,35.067,37.029,15.341,35.278,-1.905,27.144,6.671,1.012,14.894,-10.264,21.6,0.0,0.0,0.0
115.0,4.6,-0.508,27.708,-0.453,-15.317,37.805,2.397,-23.855,18.556,23.335,-4.221,32.901,37.7,15.237,35.36,-1.762,27.121,6.775,1.028,14.876,-10.206,21.591,0.0,0.0,0.0
116.0,4.64,-0.554,27.734,-0.379,-15.458,37.724,2.283,-23.92,17.713,22.494,-4.998,31.885,37.975,15.168,35.469,-1.448,27.147,6.911,1.208,14.807,-10.201,21.599,0.0,0.0,0.0
117.0,4.68,-0.552,27.748,-0.345,-15.528,37.662,2.088,-24.236,17.361,21.938,-5.623,31.579,37.702,15.15,35.565,-1.15,27.234,7.049,1.565,14.689,-10.226,21.688,0.0,0.0,0.0
118.0,4.72,-0.491,27.753,-0.363,-15.518,37.623,1.846,-24.602,17.063,21.309,-6.205,31.329,37.183,15.204,35.613,-0.947,27.351,7.143,1.913,14.583,-10.252,21.802,0.0,0.0,0.0
119.0,4.76,-0.379,27.743,-0.387,-15.439,37.583,1.658,-24.925,16.5,20.41,-6.87,30.835,36.561,15.328,35.597,-0.807,27.437,7.15,2.037,14.554,-10.217,21.866,0.0,0.0,0.0
120.0,4.8,-0.245,27.727,-0.358,-15.328,37.521,1.604,-25.312,15.632,19.219,-7.708,29.98,35.727,15.467,35.538,-0.683,27.495,7.046,1.827,14.588,-9.928,21.985,0.0,0.0,0.0
121.0,4.84,-0.132,27.705,-0.297,-15.223,37.465,1.635,-25.889,14.626,17.669,-8.598,28.671,34.681,15.602,35.455,-0.579,27.483,6.864,1.243,14.696,-9.161,22.244,0.0,0.0,0.0
122.0,4.88,-0.073,27.692,-0.226,-15.168,37.434,1.68,-26.672,13.627,15.703,-9.545,26.892,33.432,15.679,35.402,-0.517,27.368,6.744,0.427,14.735,-7.761,22.593,0.0,0.0,0.0
123.0,4.92,-0.043,27.705,-0.162,-15.15,37.4,1.687,-27.466,12.715,13.328,-10.54,24.791,31.977,15.719,35.417,-0.478,27.19,6.695,-0.508,14.713,-5.752,22.919,0.0,0.0,0.0
124.0,4.96,-0.039,27.715,-0.079,-15.226,37.289,1.686,-28.243,11.924,10.832,-11.51,22.525,30.344,15.702,35.493,-0.385,26.996,6.783,-1.393,14.691,-3.274,23.134,0.0,0.0,0.0
