Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1115.0,44.6,-0.738,27.523,-1.075,-16.63,35.952,-0.7,-27.449,8.645,-3.5,-17.222,8.038,22.367,14.823,35.564,-0.483,27.029,7.303,-2.661,15.762,12.181,22.615,0.0,0.0,0.0
1116.0,44.64,-0.728,27.511,-1.078,-16.613,35.951,-0.698,-27.451,8.649,-3.47,-17.198,8.257,22.37,14.837,35.548,-0.491,27.045,7.289,-2.684,15.755,12.096,22.611,0.0,0.0,0.0
1117.0,44.68,-0.72,27.503,-1.091,-16.605,35.963,-0.683,-27.47,8.681,-3.35,-17.089,8.576,22.412,14.844,35.543,-0.523,27.062,7.282,-2.717,15.758,11.944,22.615,0.0,0.0,0.0
1118.0,44.72,-0.733,27.499,-1.11,-16.614,35.99,-0.656,-27.526,8.723,-2.937,-16.868,9.318,22.619,14.83,35.547,-0.55,27.072,7.295,-2.752,15.765,11.656,22.679,0.0,0.0,0.0
1119.0,44.76,-0.744,27.508,-1.13,-16.617,36.034,-0.641,-27.68,8.727,-1.884,-16.525,11.05,23.227,14.809,35.579,-0.572,27.095,7.348,-2.749,15.779,11.058,22.895,0.0,0.0,0.0
1120.0,44.8,-0.755,27.518,-1.155,-16.629,36.109,-0.656,-27.845,8.741,0.077,-16.098,14.115,24.283,14.777,35.634,-0.61,27.141,7.445,-2.651,15.755,9.818,23.294,0.0,0.0,0.0
1121.0,44.84,-0.748,27.532,-1.204,-16.615,36.237,-0.674,-27.807,8.951,3.008,-15.489,18.3,25.483,14.774,35.655,-0.664,27.262,7.496,-2.464,15.652,7.991,23.686,0.0,0.0,0.0
1122.0,44.88,-0.751,27.526,-1.284,-16.603,36.39,-0.678,-27.51,9.593,6.722,-14.822,23.17,26.489,14.766,35.64,-0.816,27.449,7.503,-2.207,15.439,5.653,23.889,0.0,0.0,0.0
1123.0,44.92,-0.769,27.504,-1.4,-16.587,36.51,-0.605,-26.862,10.83,10.875,-14.071,28.126,27.197,14.735,35.636,-1.1,27.617,7.503,-1.862,15.115,2.652,23.841,0.0,0.0,0.0
1124.0,44.96,-0.829,27.504,-1.47,-16.597,36.656,-0.345,-25.9,12.685,15.049,-13.271,32.811,27.702,14.67,35.648,-1.424,27.717,7.505,-1.404,14.746,-0.737,23.423,0.0,0.0,0.0
1125.0,45.0,-0.947,27.518,-1.477,-16.623,36.875,0.084,-24.717,14.981,18.805,-12.458,36.958,28.172,14.556,35.615,-1.797,27.668,7.454,-0.886,14.452,-3.996,22.645,0.0,0.0,0.0
1126.0,45.04,-1.095,27.555,-1.401,-16.619,37.179,0.673,-23.368,17.398,21.959,-11.6,40.538,28.664,14.417,35.565,-2.18,27.472,7.362,-0.487,14.277,-6.632,21.689,0.0,0.0,0.0
1127.0,45.08,-1.262,27.623,-1.266,-16.595,37.516,1.39,-21.906,19.566,24.518,-10.735,43.44,28.966,14.252,35.566,-2.6,27.268,7.287,-0.319,14.233,-8.433,20.792,0.0,0.0,0.0
1128.0,45.12,-1.36,27.693,-1.111,-16.494,37.799,2.112,-20.261,21.306,26.5,-9.659,45.645,29.054,14.131,35.609,-2.992,27.258,7.426,-0.193,14.307,-8.468,20.922,0.0,0.0,0.0
1129.0,45.16,-1.467,27.739,-0.997,-16.39,37.996,2.736,-18.506,22.555,27.912,-8.481,47.163,28.932,13.982,35.658,-3.333,27.421,7.657,-0.041,14.27,-7.986,21.122,0.0,0.0,0.0
1130.0,45.2,-1.573,27.78,-0.913,-16.335,38.12,3.213,-16.809,23.373,28.814,-7.25,48.167,28.556,13.834,35.687,-3.547,27.478,7.744,-0.025,14.196,-7.954,20.985,0.0,0.0,0.0
1131.0,45.24,-1.628,27.812,-0.776,-16.25,38.215,3.606,-15.363,23.878,29.392,-6.06,48.767,27.891,13.753,35.695,-3.603,27.396,7.729,-0.018,14.107,-8.273,20.785,0.0,0.0,0.0
1132.0,45.28,-1.643,27.845,-0.641,-16.153,38.286,3.935,-14.189,24.109,29.78,-5.307,49.081,27.003,13.732,35.718,-3.585,27.252,7.714,-0.075,14.211,-8.363,20.857,0.0,0.0,0.0
1133.0,45.32,-1.662,27.879,-0.54,-16.081,38.327,4.204,-13.175,23.967,29.929,-5.375,49.325,26.35,13.702,35.748,-3.562,27.142,7.693,-0.183,14.323,-8.429,20.87,0.0,0.0,0.0
1134.0,45.36,-1.671,27.901,-0.476,-16.076,38.311,4.325,-12.52,23.643,29.786,-5.254,49.391,26.807,13.679,35.77,-3.538,27.103,7.679,-0.277,14.403,-8.507,20.806,0.0,0.0,0.0
1135.0,45.4,-1.627,27.901,-0.464,-16.044,38.304,4.302,-12.333,23.386,29.578,-4.591,49.045,27.181,13.727,35.77,-3.498,27.118,7.667,-0.315,14.436,-8.5,20.795,0.0,0.0,0.0
1136.0,45.44,-1.587,27.899,-0.468,-15.999,38.297,4.305,-12.272,23.05,29.33,-4.427,48.581,26.633,13.781,35.755,-3.464,27.159,7.638,-0.27,14.427,-8.524,20.82,0.0,0.0,0.0
1137.0,45.48,-1.55,27.883,-0.503,-16.012,38.259,4.221,-12.268,22.732,28.927,-4.305,48.171,26.189,13.832,35.729,-3.43,27.212,7.611,-0.2,14.41,-8.569,20.844,0.0,0.0,0.0
1138.0,45.52,-1.512,27.878,-0.543,-16.016,38.219,4.108,-12.216,22.49,28.714,-4.551,48.077,26.225,13.879,35.742,-3.379,27.258,7.622,-0.137,14.382,-8.566,20.861,0.0,0.0,0.0
1139.0,45.56,-1.491,27.884,-0.554,-16.013,38.21,4.054,-12.272,22.36,28.649,-5.037,48.117,26.522,13.904,35.762,-3.332,27.292,7.654,-0.042,14.321,-8.536,20.899,0.0,0.0,0.0
1140.0,45.6,-1.49,27.883,-0.586,-16.061,38.206,3.92,-12.577,22.431,28.563,-5.049,48.075,26.313,13.913,35.767,-3.302,27.333,7.677,0.003,14.299,-8.529,20.896,0.0,0.0,0.0
1141.0,45.64,-1.489,27.868,-0.647,-16.084,38.196,3.752,-12.895,22.505,28.468,-4.952,48.001,25.998,13.927,35.76,-3.295,27.35,7.678,0.015,14.29,-8.533,20.893,0.0,0.0,0.0
1142.0,45.68,-1.482,27.848,-0.708,-16.103,38.171,3.603,-13.155,22.391,28.313,-4.978,47.828,25.933,13.942,35.747,-3.316,27.359,7.666,0.037,14.288,-8.526,20.918,0.0,0.0,0.0
1143.0,45.72,-1.479,27.823,-0.774,-16.148,38.113,3.455,-13.498,22.146,28.072,-4.959,47.487,25.816,13.941,35.738,-3.348,27.362,7.672,0.048,14.275,-8.515,20.927,0.0,0.0,0.0
1144.0,45.76,-1.478,27.793,-0.841,-16.193,38.052,3.291,-13.997,21.726,27.752,-5.031,46.964,25.863,13.937,35.74,-3.37,27.359,7.688,0.02,14.28,-8.489,20.913,0.0,0.0,0.0
1145.0,45.8,-1.459,27.762,-0.912,-16.238,37.982,3.08,-14.865,21.018,27.21,-5.205,46.05,26.029,13.954,35.727,-3.395,27.348,7.684,-0.038,14.312,-8.419,20.935,0.0,0.0,0.0
1146.0,45.84,-1.416,27.719,-0.996,-16.302,37.873,2.817,-16.208,19.973,26.358,-5.566,44.682,26.308,14.002,35.69,-3.395,27.349,7.639,-0.17,14.417,-8.232,21.03,0.0,0.0,0.0
