Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3728.0,149.12,-0.018,25.836,-0.964,-15.945,34.441,-1.632,-25.414,6.629,-3.91,-22.386,1.063,23.695,15.591,34.092,-1.303,25.297,5.212,-3.957,22.112,0.729,23.886,0.0,0.0,0.0
3729.0,149.16,-0.001,25.834,-0.967,-15.922,34.451,-1.628,-25.409,6.65,-3.934,-22.424,1.099,23.679,15.614,34.075,-1.3,25.311,5.19,-3.944,22.155,0.722,23.904,0.0,0.0,0.0
3730.0,149.2,0.008,25.833,-0.969,-15.908,34.459,-1.624,-25.415,6.67,-3.964,-22.467,1.095,23.648,15.624,34.063,-1.302,25.337,5.173,-3.936,22.203,0.684,23.915,0.0,0.0,0.0
3731.0,149.24,0.011,25.829,-0.971,-15.901,34.461,-1.613,-25.434,6.684,-3.973,-22.497,1.062,23.622,15.627,34.054,-1.303,25.383,5.165,-3.919,22.246,0.595,23.939,0.0,0.0,0.0
3732.0,149.28,0.006,25.825,-0.97,-15.906,34.473,-1.583,-25.464,6.726,-3.954,-22.477,1.044,23.61,15.62,34.056,-1.3,25.469,5.179,-3.905,22.286,0.405,23.96,0.0,0.0,0.0
3733.0,149.32,-0.003,25.834,-0.968,-15.915,34.532,-1.552,-25.499,6.804,-3.693,-22.103,1.31,23.853,15.607,34.088,-1.271,25.646,5.25,-3.885,22.281,-0.012,23.979,0.0,0.0,0.0
3734.0,149.36,-0.012,25.867,-0.96,-15.915,34.596,-1.577,-25.768,6.84,-2.787,-20.953,2.751,24.864,15.575,34.179,-1.176,25.973,5.446,-3.751,22.099,-0.907,24.013,0.0,0.0,0.0
3735.0,149.4,-0.027,25.89,-0.932,-15.917,34.634,-1.655,-26.341,6.86,-0.885,-19.136,5.542,26.602,15.514,34.285,-0.976,26.418,5.688,-3.4,21.706,-2.611,23.939,0.0,0.0,0.0
3736.0,149.44,-0.056,25.913,-0.852,-15.925,34.677,-1.641,-26.853,7.055,1.793,-17.026,9.075,28.38,15.438,34.38,-0.674,26.813,5.871,-2.727,21.292,-5.233,23.615,0.0,0.0,0.0
3737.0,149.48,-0.097,25.936,-0.743,-15.946,34.765,-1.51,-27.148,7.617,4.931,-14.686,13.386,29.712,15.36,34.469,-0.365,26.847,5.92,-1.732,21.102,-8.708,22.933,0.0,0.0,0.0
3738.0,149.52,-0.159,25.952,-0.646,-15.967,34.887,-1.427,-27.086,8.628,8.365,-12.229,18.252,30.38,15.279,34.513,-0.118,26.512,5.804,-0.496,21.18,-12.663,21.683,0.0,0.0,0.0
3739.0,149.56,-0.222,25.954,-0.57,-15.941,35.03,-1.345,-26.729,10.064,11.63,-10.185,22.902,30.427,15.237,34.447,0.07,26.009,5.48,0.779,21.32,-16.475,19.741,0.0,0.0,0.0
3740.0,149.6,-0.265,25.965,-0.525,-15.902,35.251,-1.25,-26.116,11.736,14.405,-8.606,27.17,29.994,15.234,34.346,0.169,25.46,5.104,1.863,21.586,-19.584,17.117,0.0,0.0,0.0
3741.0,149.64,-0.273,25.986,-0.523,-15.803,35.507,-1.191,-25.448,13.449,16.582,-7.401,30.76,29.171,15.266,34.261,0.167,24.907,4.867,2.49,21.991,-21.553,14.129,0.0,0.0,0.0
3742.0,149.68,-0.225,26.024,-0.532,-15.667,35.744,-1.134,-24.871,14.997,18.188,-6.479,33.544,28.069,15.346,34.267,0.101,24.663,4.828,2.062,22.504,-22.286,11.561,0.0,0.0,0.0
3743.0,149.72,-0.163,26.067,-0.581,-15.538,35.916,-1.075,-24.439,16.221,19.272,-5.832,35.551,26.816,15.433,34.325,-0.167,24.873,4.91,0.926,23.231,-22.33,9.886,0.0,0.0,0.0
3744.0,149.76,-0.136,26.089,-0.65,-15.465,36.025,-1.004,-24.089,17.067,20.01,-5.442,36.914,25.547,15.468,34.347,-0.533,25.187,5.04,-0.195,23.966,-22.252,8.826,0.0,0.0,0.0
3745.0,149.8,-0.149,26.088,-0.708,-15.438,36.084,-0.917,-23.726,17.606,20.552,-5.058,37.752,24.369,15.462,34.298,-0.873,25.405,5.074,-1.147,24.437,-22.217,8.301,0.0,0.0,0.0
3746.0,149.84,-0.178,26.079,-0.755,-15.445,36.125,-0.817,-23.365,17.97,20.985,-4.613,38.197,23.252,15.444,34.23,-1.181,25.491,5.043,-1.901,24.736,-22.157,8.218,0.0,0.0,0.0
3747.0,149.88,-0.22,26.067,-0.792,-15.464,36.146,-0.72,-23.073,18.273,21.363,-4.05,38.287,22.055,15.413,34.169,-1.432,25.491,4.99,-2.425,24.972,-22.031,8.464,0.0,0.0,0.0
3748.0,149.92,-0.25,26.054,-0.82,-15.471,36.154,-0.624,-22.786,18.563,21.721,-3.426,38.161,20.802,15.389,34.133,-1.625,25.495,4.961,-2.675,25.176,-21.813,8.972,0.0,0.0,0.0
3749.0,149.96,-0.259,26.048,-0.843,-15.469,36.146,-0.56,-22.463,18.772,22.003,-2.935,37.994,19.691,15.378,34.127,-1.751,25.562,4.968,-2.734,25.361,-21.571,9.507,0.0,0.0,0.0
