Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1371.0,54.84,-0.016,26.055,-0.481,-15.662,35.144,-1.461,-26.525,8.113,-5.295,-18.97,0.68,21.01,15.727,34.319,-0.416,26.697,6.016,-4.018,17.138,-0.034,22.409,0.0,0.0,0.0
1372.0,54.88,-0.016,26.051,-0.488,-15.662,35.135,-1.47,-26.507,8.097,-5.306,-18.956,0.683,21.004,15.726,34.319,-0.413,26.704,6.015,-4.006,17.088,-0.05,22.396,0.0,0.0,0.0
1373.0,54.92,-0.024,26.046,-0.496,-15.672,35.123,-1.476,-26.492,8.073,-5.29,-18.939,0.683,21.026,15.716,34.316,-0.419,26.71,6.016,-3.998,17.047,-0.052,22.387,0.0,0.0,0.0
1374.0,54.96,-0.043,26.038,-0.506,-15.691,35.111,-1.487,-26.487,8.043,-5.273,-18.936,0.699,21.057,15.694,34.307,-0.421,26.706,6.005,-3.975,16.999,-0.073,22.396,0.0,0.0,0.0
1375.0,55.0,-0.051,26.027,-0.52,-15.698,35.096,-1.505,-26.487,8.015,-5.256,-18.95,0.728,21.089,15.684,34.294,-0.432,26.702,5.989,-3.965,16.996,-0.107,22.405,0.0,0.0,0.0
1376.0,55.04,-0.06,26.019,-0.536,-15.711,35.085,-1.525,-26.49,7.992,-5.245,-18.958,0.742,21.116,15.67,34.286,-0.453,26.696,5.982,-3.986,17.009,-0.138,22.392,0.0,0.0,0.0
1377.0,55.08,-0.058,26.011,-0.547,-15.707,35.076,-1.524,-26.482,7.983,-5.245,-18.965,0.75,21.119,15.674,34.275,-0.471,26.697,5.971,-4.023,17.037,-0.164,22.359,0.0,0.0,0.0
1378.0,55.12,-0.056,26.005,-0.555,-15.709,35.065,-1.521,-26.471,7.974,-5.25,-18.979,0.757,21.127,15.67,34.269,-0.492,26.691,5.967,-4.068,17.07,-0.167,22.329,0.0,0.0,0.0
1379.0,55.16,-0.056,25.997,-0.56,-15.71,35.051,-1.519,-26.453,7.953,-5.267,-18.998,0.742,21.12,15.67,34.264,-0.501,26.697,5.972,-4.102,17.109,-0.158,22.305,0.0,0.0,0.0
1380.0,55.2,-0.056,25.996,-0.563,-15.713,35.046,-1.515,-26.452,7.954,-5.282,-19.009,0.734,21.108,15.668,34.267,-0.504,26.701,5.982,-4.124,17.15,-0.152,22.295,0.0,0.0,0.0
1381.0,55.24,-0.056,25.99,-0.564,-15.713,35.037,-1.508,-26.439,7.942,-5.305,-19.01,0.721,21.085,15.667,34.264,-0.5,26.712,5.984,-4.146,17.183,-0.156,22.277,0.0,0.0,0.0
1382.0,55.28,-0.056,25.987,-0.562,-15.714,35.033,-1.504,-26.434,7.937,-5.326,-18.999,0.745,21.069,15.667,34.257,-0.493,26.724,5.985,-4.167,17.219,-0.126,22.263,0.0,0.0,0.0
1383.0,55.32,-0.056,25.982,-0.567,-15.711,35.025,-1.518,-26.432,7.933,-5.355,-18.986,0.812,21.059,15.666,34.25,-0.495,26.752,5.988,-4.182,17.237,-0.036,22.259,0.0,0.0,0.0
1384.0,55.36,-0.055,25.974,-0.568,-15.709,35.019,-1.521,-26.443,7.932,-5.377,-18.967,0.953,21.048,15.664,34.236,-0.485,26.789,5.983,-4.176,17.236,0.147,22.274,0.0,0.0,0.0
1385.0,55.4,-0.045,25.972,-0.569,-15.701,35.018,-1.522,-26.5,7.953,-5.365,-18.923,1.254,21.084,15.67,34.225,-0.482,26.897,6.008,-4.117,17.261,0.497,22.343,0.0,0.0,0.0
1386.0,55.44,-0.042,25.967,-0.583,-15.68,35.04,-1.539,-26.844,8.072,-5.157,-18.838,1.968,21.277,15.66,34.218,-0.493,27.255,6.095,-3.799,17.362,1.261,22.642,0.0,0.0,0.0
1387.0,55.48,-0.035,25.986,-0.605,-15.619,35.151,-1.568,-27.865,8.502,-4.437,-18.722,3.494,21.847,15.63,34.265,-0.53,28.257,6.389,-2.861,17.597,2.686,23.385,0.0,0.0,0.0
1388.0,55.52,-0.04,26.019,-0.665,-15.538,35.351,-1.65,-29.777,9.437,-2.93,-18.709,5.997,22.858,15.572,34.403,-0.592,30.013,7.143,-0.99,17.995,5.013,24.68,0.0,0.0,0.0
1389.0,55.56,-0.02,26.059,-0.768,-15.399,35.603,-1.85,-32.136,11.012,-0.614,-18.764,9.35,24.125,15.519,34.602,-0.629,32.142,8.483,1.667,18.322,8.14,26.297,0.0,0.0,0.0
1390.0,55.6,-0.008,26.087,-0.899,-15.247,35.862,-2.178,-34.44,13.285,2.238,-18.669,13.347,25.377,15.44,34.83,-0.622,34.178,10.495,4.764,18.336,11.565,27.941,0.0,0.0,0.0
1391.0,55.64,-0.029,26.122,-1.045,-15.136,36.124,-2.531,-36.308,16.17,5.236,-18.22,17.319,26.357,15.279,35.069,-0.579,35.801,13.044,7.906,17.899,14.703,29.351,0.0,0.0,0.0
1392.0,55.68,-0.062,26.156,-1.182,-15.053,36.325,-2.862,-37.543,19.371,8.003,-17.507,20.789,27.0,15.07,35.324,-0.57,36.897,15.854,10.781,17.347,17.167,30.682,0.0,0.0,0.0
1393.0,55.72,-0.124,26.182,-1.293,-15.013,36.483,-3.158,-38.118,22.477,10.261,-16.682,23.484,27.551,14.859,35.547,-0.534,37.479,18.591,13.151,17.018,19.056,32.078,0.0,0.0,0.0
1394.0,55.76,-0.192,26.201,-1.376,-14.992,36.599,-3.397,-38.236,25.108,11.88,-16.004,25.221,28.152,14.664,35.765,-0.476,37.796,21.038,14.936,16.814,20.701,33.295,0.0,0.0,0.0
1395.0,55.8,-0.223,26.218,-1.428,-14.976,36.67,-3.547,-38.154,26.925,12.851,-15.561,26.237,28.789,14.535,35.944,-0.452,38.0,23.082,16.142,16.698,22.306,34.11,0.0,0.0,0.0
1396.0,55.84,-0.221,26.229,-1.442,-14.964,36.698,-3.603,-38.102,27.938,13.333,-15.497,26.931,29.505,14.459,36.071,-0.468,38.227,24.659,16.807,16.698,24.118,34.553,0.0,0.0,0.0
1397.0,55.88,-0.204,26.228,-1.441,-14.977,36.701,-3.561,-38.139,28.318,13.556,-15.716,27.697,30.259,14.425,36.161,-0.526,38.508,25.797,17.028,16.802,26.284,34.579,0.0,0.0,0.0
1398.0,55.92,-0.175,26.229,-1.433,-14.991,36.677,-3.476,-38.171,28.397,13.664,-16.165,28.354,31.056,14.429,36.197,-0.617,38.807,26.645,16.979,16.865,28.325,34.128,0.0,0.0,0.0
1399.0,55.96,-0.146,26.226,-1.435,-14.967,36.716,-3.363,-38.186,28.554,13.754,-16.294,28.218,31.321,14.454,36.168,-0.764,39.014,27.357,16.869,16.515,29.684,33.084,0.0,0.0,0.0
1400.0,56.0,-0.134,26.221,-1.453,-14.92,36.781,-3.269,-38.148,28.909,13.929,-16.218,27.618,31.379,14.487,36.099,-0.951,39.094,27.908,16.767,16.357,30.448,32.434,0.0,0.0,0.0
1401.0,56.04,-0.127,26.211,-1.482,-14.87,36.837,-3.186,-38.107,29.218,14.146,-16.159,27.682,31.609,14.53,36.022,-1.116,39.198,28.043,16.547,16.946,31.468,32.828,0.0,0.0,0.0
1402.0,56.08,-0.125,26.209,-1.486,-14.839,36.879,-3.111,-38.074,29.461,14.345,-16.183,28.349,31.917,14.581,35.983,-1.178,39.389,28.025,16.289,17.681,32.283,33.242,0.0,0.0,0.0
1403.0,56.12,-0.111,26.215,-1.458,-14.824,36.884,-3.052,-38.052,29.733,14.509,-15.883,28.316,31.71,14.601,35.992,-1.178,39.532,28.145,16.128,17.693,32.246,32.83,0.0,0.0,0.0
1404.0,56.16,-0.135,26.205,-1.464,-14.844,36.865,-3.028,-38.006,29.901,14.666,-15.708,28.026,31.602,14.57,35.997,-1.241,39.586,28.06,15.922,17.878,32.386,32.723,0.0,0.0,0.0
1405.0,56.2,-0.176,26.197,-1.457,-14.918,36.818,-2.975,-38.038,29.765,14.765,-15.817,28.511,31.904,14.528,36.006,-1.256,39.658,27.811,15.664,18.192,32.614,32.714,0.0,0.0,0.0
1406.0,56.24,-0.212,26.193,-1.449,-14.987,36.797,-2.934,-38.072,29.523,14.768,-16.001,28.937,32.148,14.489,35.998,-1.249,39.648,27.673,15.537,17.862,32.228,32.147,0.0,0.0,0.0
1407.0,56.28,-0.256,26.18,-1.455,-15.042,36.775,-2.922,-38.087,29.424,14.767,-15.911,28.521,31.995,14.442,35.969,-1.285,39.526,27.5,15.524,17.725,31.928,32.121,0.0,0.0,0.0
1408.0,56.32,-0.278,26.171,-1.462,-15.07,36.757,-2.915,-38.096,29.335,14.787,-15.966,28.518,32.073,14.425,35.963,-1.292,39.476,27.279,15.501,17.996,31.903,32.56,0.0,0.0,0.0
1409.0,56.36,-0.26,26.175,-1.443,-15.06,36.759,-2.907,-38.111,29.233,14.745,-16.152,29.056,32.267,14.445,35.964,-1.228,39.46,27.177,15.555,17.885,31.538,32.527,0.0,0.0,0.0
1410.0,56.4,-0.247,26.176,-1.421,-15.04,36.776,-2.91,-38.149,29.28,14.669,-16.064,28.89,32.035,14.461,35.95,-1.18,39.404,27.056,15.671,17.736,31.263,32.54,0.0,0.0,0.0
1411.0,56.44,-0.233,26.176,-1.411,-14.999,36.792,-2.908,-38.133,29.362,14.647,-15.953,28.469,31.84,14.499,35.921,-1.157,39.395,26.809,15.68,17.887,31.223,32.747,0.0,0.0,0.0
1412.0,56.48,-0.202,26.172,-1.406,-14.955,36.799,-2.937,-38.145,29.264,14.545,-16.108,28.776,31.95,14.545,35.902,-1.12,39.404,26.542,15.644,17.907,31.114,32.686,0.0,0.0,0.0
1413.0,56.52,-0.173,26.17,-1.404,-14.923,36.804,-2.954,-38.166,29.055,14.378,-16.267,28.948,31.973,14.584,35.883,-1.101,39.375,26.215,15.589,17.851,30.814,32.575,0.0,0.0,0.0
1414.0,56.56,-0.153,26.164,-1.415,-14.896,36.795,-2.989,-38.208,28.841,14.144,-16.238,28.407,31.637,14.623,35.862,-1.102,39.299,25.778,15.52,17.857,30.454,32.641,0.0,0.0,0.0
1415.0,56.6,-0.118,26.159,-1.419,-14.854,36.779,-3.001,-38.241,28.422,13.902,-16.353,28.103,31.461,14.677,35.838,-1.103,39.218,25.12,15.311,18.035,29.984,32.757,0.0,0.0,0.0
1416.0,56.64,-0.094,26.15,-1.411,-14.819,36.752,-2.988,-38.325,27.641,13.456,-16.654,28.016,31.264,14.725,35.797,-1.093,39.088,24.094,14.918,18.327,29.401,32.85,0.0,0.0,0.0
1417.0,56.68,-0.065,26.134,-1.371,-14.798,36.678,-2.943,-38.405,26.397,12.722,-16.96,27.327,30.791,14.801,35.731,-1.08,38.809,22.493,14.241,18.784,28.605,32.861,0.0,0.0,0.0
1418.0,56.72,-0.032,26.122,-1.299,-14.826,36.563,-2.893,-38.362,24.593,11.698,-17.377,26.181,30.257,14.901,35.62,-1.026,38.281,20.313,13.144,19.346,27.398,32.685,0.0,0.0,0.0
1419.0,56.76,-0.017,26.109,-1.206,-14.899,36.393,-2.827,-38.089,22.36,10.443,-17.836,24.854,29.749,15.007,35.437,-0.95,37.583,17.927,11.737,19.837,25.604,32.24,0.0,0.0,0.0
1420.0,56.8,0.008,26.081,-1.119,-14.983,36.165,-2.729,-37.543,19.914,9.061,-18.325,23.328,29.258,15.136,35.241,-0.873,36.685,15.526,10.057,20.233,23.261,31.622,0.0,0.0,0.0
1421.0,56.84,0.018,26.054,-1.031,-15.058,35.917,-2.621,-36.75,17.474,7.552,-18.852,21.535,28.813,15.266,35.068,-0.803,35.671,13.378,8.312,20.41,20.611,30.919,0.0,0.0,0.0
1422.0,56.88,0.018,26.046,-0.94,-15.14,35.682,-2.461,-35.813,15.288,6.04,-19.276,19.473,28.297,15.366,34.941,-0.772,34.508,11.539,6.514,20.381,18.006,30.113,0.0,0.0,0.0
1423.0,56.92,0.014,26.033,-0.855,-15.248,35.477,-2.247,-34.734,13.343,4.46,-19.469,17.169,27.643,15.428,34.818,-0.778,33.182,9.959,4.733,20.202,15.621,29.228,0.0,0.0,0.0
