Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
994.0,39.76,-0.152,26.199,-0.158,-15.971,35.067,-0.931,-26.654,7.916,-4.508,-19.762,1.712,21.969,15.436,34.496,0.393,26.741,5.957,-2.679,17.963,1.108,24.017,0.0,0.0,0.0
995.0,39.8,-0.147,26.192,-0.169,-15.964,35.068,-0.938,-26.651,7.917,-4.531,-19.757,1.715,21.947,15.443,34.483,0.383,26.732,5.938,-2.677,17.945,1.179,24.027,0.0,0.0,0.0
996.0,39.84,-0.133,26.189,-0.186,-15.942,35.068,-0.951,-26.639,7.924,-4.554,-19.744,1.734,21.931,15.461,34.473,0.363,26.735,5.919,-2.693,17.934,1.232,24.018,0.0,0.0,0.0
997.0,39.88,-0.121,26.176,-0.201,-15.929,35.061,-0.968,-26.621,7.918,-4.592,-19.719,1.746,21.895,15.476,34.457,0.341,26.737,5.894,-2.714,17.925,1.251,24.009,0.0,0.0,0.0
998.0,39.92,-0.107,26.165,-0.219,-15.912,35.049,-0.984,-26.599,7.909,-4.616,-19.673,1.777,21.885,15.49,34.44,0.313,26.738,5.876,-2.746,17.918,1.233,23.984,0.0,0.0,0.0
999.0,39.96,-0.097,26.155,-0.233,-15.897,35.038,-0.996,-26.579,7.893,-4.634,-19.609,1.837,21.883,15.498,34.423,0.287,26.748,5.858,-2.773,17.9,1.196,23.978,0.0,0.0,0.0
1000.0,40.0,-0.082,26.133,-0.257,-15.882,35.024,-1.018,-26.557,7.879,-4.627,-19.515,1.977,21.919,15.514,34.397,0.247,26.777,5.834,-2.798,17.864,1.117,23.975,0.0,0.0,0.0
1001.0,40.04,-0.07,26.122,-0.283,-15.864,35.03,-1.032,-26.529,7.865,-4.556,-19.373,2.226,22.049,15.527,34.388,0.204,26.859,5.845,-2.799,17.719,0.98,23.964,0.0,0.0,0.0
1002.0,40.08,-0.047,26.101,-0.311,-15.848,35.02,-1.016,-26.529,7.855,-4.32,-19.175,2.735,22.329,15.552,34.375,0.153,27.021,5.872,-2.763,17.429,0.679,23.889,0.0,0.0,0.0
1003.0,40.12,0.013,26.094,-0.355,-15.764,35.056,-0.997,-26.782,7.906,-3.569,-18.87,4.181,23.161,15.608,34.389,0.099,27.255,5.933,-2.662,16.973,0.056,23.738,0.0,0.0,0.0
1004.0,40.16,0.151,26.062,-0.399,-15.549,35.123,-1.062,-27.461,8.107,-1.925,-18.841,7.372,24.79,15.755,34.355,0.07,27.519,5.936,-2.414,16.473,-1.167,23.521,0.0,0.0,0.0
1005.0,40.2,0.334,26.057,-0.441,-15.254,35.342,-1.22,-28.569,8.829,0.683,-19.058,12.69,26.824,15.961,34.293,0.057,27.68,5.839,-2.05,16.208,-3.107,23.219,0.0,0.0,0.0
1006.0,40.24,0.524,26.037,-0.506,-14.899,35.716,-1.427,-29.917,10.416,4.062,-19.397,19.745,28.372,16.211,34.128,0.045,27.697,5.566,-1.66,16.178,-5.606,22.765,0.0,0.0,0.0
1007.0,40.28,0.721,26.038,-0.537,-14.433,36.213,-1.622,-31.268,13.097,7.835,-19.792,27.595,28.872,16.49,33.902,0.05,27.673,5.198,-1.31,16.287,-8.276,22.06,0.0,0.0,0.0
1008.0,40.32,0.904,26.047,-0.546,-13.963,36.756,-1.777,-32.335,16.764,11.411,-20.096,35.379,28.263,16.763,33.674,0.036,27.655,4.839,-1.047,16.505,-10.892,21.088,0.0,0.0,0.0
1009.0,40.36,1.064,26.081,-0.519,-13.506,37.258,-1.861,-33.102,21.177,14.472,-19.948,42.398,26.862,17.015,33.476,0.023,27.665,4.537,-0.9,16.848,-13.187,19.922,0.0,0.0,0.0
1010.0,40.4,1.207,26.136,-0.452,-13.052,37.783,-1.816,-33.449,25.864,16.801,-19.4,48.44,25.059,17.25,33.314,0.016,27.671,4.282,-0.921,17.313,-15.05,18.714,0.0,0.0,0.0
1011.0,40.44,1.33,26.216,-0.37,-12.594,38.262,-1.743,-33.448,30.421,18.304,-18.427,53.315,23.261,17.459,33.179,-0.007,27.65,4.071,-1.046,17.924,-16.613,17.543,0.0,0.0,0.0
1012.0,40.48,1.43,26.313,-0.293,-12.172,38.649,-1.676,-33.191,34.379,19.11,-17.179,57.026,21.484,17.634,33.034,-0.06,27.601,3.849,-1.218,18.593,-17.925,16.485,0.0,0.0,0.0
1013.0,40.52,1.521,26.356,-0.257,-11.779,38.959,-1.654,-32.82,37.469,19.417,-15.91,59.545,19.852,17.785,32.892,-0.121,27.556,3.644,-1.426,19.253,-18.963,15.544,0.0,0.0,0.0
1014.0,40.56,1.616,26.384,-0.246,-11.45,39.152,-1.686,-32.483,39.63,19.408,-14.669,60.95,18.593,17.926,32.783,-0.195,27.531,3.493,-1.618,19.899,-19.783,14.748,0.0,0.0,0.0
1015.0,40.6,1.696,26.396,-0.261,-11.226,39.265,-1.72,-32.274,40.888,19.292,-13.642,61.372,17.708,18.039,32.709,-0.257,27.528,3.386,-1.764,20.521,-20.411,14.102,0.0,0.0,0.0
1016.0,40.64,1.775,26.397,-0.283,-11.106,39.297,-1.738,-32.237,41.397,19.153,-12.997,61.236,17.212,18.133,32.674,-0.292,27.541,3.327,-1.845,21.051,-20.845,13.652,0.0,0.0,0.0
1017.0,40.68,1.817,26.387,-0.299,-11.087,39.274,-1.737,-32.363,41.393,19.007,-12.634,60.737,17.109,18.178,32.678,-0.293,27.591,3.335,-1.869,21.514,-21.11,13.353,0.0,0.0,0.0
1018.0,40.72,1.828,26.378,-0.328,-11.124,39.222,-1.802,-32.494,40.948,18.854,-12.623,60.2,17.392,18.179,32.697,-0.29,27.669,3.385,-1.843,21.922,-21.239,13.224,0.0,0.0,0.0
1019.0,40.76,1.827,26.359,-0.372,-11.194,39.125,-1.907,-32.625,40.175,18.708,-12.75,59.444,17.957,18.16,32.725,-0.276,27.747,3.449,-1.785,22.319,-21.279,13.235,0.0,0.0,0.0
