Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1396.0,55.84,-0.139,26.002,-0.586,-16.033,34.652,-1.46,-26.804,7.559,-5.606,-19.389,3.709,21.345,15.436,34.23,-0.425,26.424,5.777,-4.572,17.679,2.34,22.545,0.0,0.0,0.0
1397.0,55.88,-0.144,26.002,-0.594,-16.037,34.651,-1.467,-26.806,7.556,-5.604,-19.399,3.718,21.35,15.431,34.23,-0.441,26.417,5.777,-4.588,17.702,2.351,22.538,0.0,0.0,0.0
1398.0,55.92,-0.149,26.001,-0.603,-16.044,34.647,-1.475,-26.818,7.556,-5.616,-19.412,3.714,21.34,15.426,34.229,-0.453,26.403,5.773,-4.599,17.702,2.356,22.534,0.0,0.0,0.0
1399.0,55.96,-0.149,26.0,-0.611,-16.045,34.647,-1.481,-26.821,7.556,-5.626,-19.426,3.708,21.337,15.425,34.227,-0.463,26.395,5.768,-4.606,17.702,2.362,22.532,0.0,0.0,0.0
1400.0,56.0,-0.149,26.002,-0.618,-16.047,34.649,-1.486,-26.814,7.554,-5.631,-19.434,3.71,21.332,15.424,34.233,-0.479,26.397,5.773,-4.614,17.708,2.367,22.52,0.0,0.0,0.0
1401.0,56.04,-0.15,25.999,-0.62,-16.05,34.647,-1.487,-26.812,7.552,-5.639,-19.439,3.711,21.33,15.422,34.232,-0.477,26.401,5.775,-4.606,17.713,2.364,22.515,0.0,0.0,0.0
1402.0,56.08,-0.15,25.997,-0.626,-16.053,34.636,-1.492,-26.806,7.536,-5.631,-19.418,3.716,21.331,15.42,34.233,-0.491,26.404,5.776,-4.617,17.733,2.368,22.503,0.0,0.0,0.0
1403.0,56.12,-0.151,25.999,-0.636,-16.052,34.641,-1.506,-26.804,7.544,-5.641,-19.424,3.721,21.31,15.42,34.232,-0.501,26.398,5.769,-4.611,17.742,2.38,22.507,0.0,0.0,0.0
1404.0,56.16,-0.151,25.997,-0.64,-16.055,34.632,-1.521,-26.797,7.526,-5.657,-19.428,3.707,21.292,15.416,34.234,-0.502,26.402,5.774,-4.6,17.757,2.394,22.522,0.0,0.0,0.0
1405.0,56.2,-0.152,25.995,-0.653,-16.052,34.635,-1.535,-26.802,7.531,-5.663,-19.431,3.69,21.274,15.419,34.228,-0.51,26.409,5.763,-4.589,17.779,2.391,22.533,0.0,0.0,0.0
1406.0,56.24,-0.152,25.995,-0.662,-16.053,34.636,-1.555,-26.801,7.53,-5.664,-19.437,3.623,21.25,15.416,34.228,-0.515,26.424,5.764,-4.555,17.811,2.399,22.568,0.0,0.0,0.0
1407.0,56.28,-0.153,25.994,-0.677,-16.052,34.63,-1.571,-26.774,7.515,-5.669,-19.583,3.512,21.18,15.419,34.215,-0.521,26.428,5.749,-4.503,17.867,2.429,22.633,0.0,0.0,0.0
1408.0,56.32,-0.153,25.982,-0.687,-16.058,34.592,-1.57,-26.754,7.448,-5.56,-19.995,3.538,21.297,15.417,34.179,-0.53,26.431,5.707,-4.305,18.155,2.579,22.848,0.0,0.0,0.0
1409.0,56.36,-0.159,25.964,-0.674,-16.062,34.575,-1.527,-27.007,7.401,-4.873,-20.444,3.942,22.01,15.418,34.149,-0.511,26.66,5.675,-3.623,18.884,3.186,23.605,0.0,0.0,0.0
1410.0,56.4,-0.165,25.953,-0.66,-16.054,34.599,-1.468,-27.562,7.387,-3.397,-21.016,5.147,23.548,15.424,34.149,-0.486,27.305,5.697,-2.158,19.8,4.579,25.115,0.0,0.0,0.0
1411.0,56.44,-0.16,25.938,-0.644,-16.03,34.637,-1.429,-28.288,7.491,-1.255,-21.581,7.381,25.695,15.431,34.198,-0.447,28.148,5.912,-0.038,20.616,7.098,27.104,0.0,0.0,0.0
1412.0,56.48,-0.144,25.94,-0.64,-15.998,34.727,-1.405,-28.969,7.83,1.35,-21.847,10.562,28.024,15.436,34.287,-0.418,28.972,6.399,2.512,21.152,10.488,29.193,0.0,0.0,0.0
1413.0,56.52,-0.125,25.946,-0.648,-15.964,34.842,-1.38,-29.493,8.454,4.245,-21.681,14.317,30.158,15.434,34.373,-0.38,29.648,7.139,5.268,21.304,14.327,31.067,0.0,0.0,0.0
