Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
697.0,27.88,-0.078,26.09,-0.306,-15.658,35.309,-1.425,-26.758,8.842,-6.568,-17.61,3.149,19.485,15.625,34.332,-0.19,25.765,6.584,-6.132,18.034,3.806,21.024,0.0,0.0,0.0
698.0,27.92,-0.078,26.091,-0.334,-15.652,35.314,-1.456,-26.769,8.855,-6.59,-17.616,3.173,19.455,15.628,34.329,-0.222,25.771,6.572,-6.136,18.057,3.852,21.025,0.0,0.0,0.0
699.0,27.96,-0.073,26.091,-0.354,-15.648,35.315,-1.48,-26.778,8.866,-6.615,-17.628,3.213,19.438,15.633,34.326,-0.247,25.789,6.568,-6.137,18.07,3.905,21.022,0.0,0.0,0.0
700.0,28.0,-0.07,26.089,-0.377,-15.643,35.313,-1.508,-26.777,8.865,-6.633,-17.628,3.245,19.428,15.636,34.32,-0.273,25.801,6.56,-6.145,18.072,3.952,21.014,0.0,0.0,0.0
701.0,28.04,-0.067,26.089,-0.4,-15.639,35.313,-1.54,-26.765,8.857,-6.653,-17.606,3.269,19.412,15.641,34.317,-0.299,25.808,6.552,-6.152,18.066,4.011,21.011,0.0,0.0,0.0
702.0,28.08,-0.071,26.085,-0.422,-15.644,35.306,-1.575,-26.766,8.837,-6.656,-17.612,3.285,19.421,15.635,34.319,-0.322,25.826,6.552,-6.139,18.06,4.064,21.021,0.0,0.0,0.0
703.0,28.12,-0.07,26.082,-0.444,-15.648,35.298,-1.607,-26.758,8.823,-6.649,-17.617,3.29,19.434,15.632,34.32,-0.344,25.845,6.553,-6.124,18.064,4.129,21.029,0.0,0.0,0.0
704.0,28.16,-0.069,26.082,-0.465,-15.64,35.303,-1.64,-26.757,8.825,-6.659,-17.631,3.327,19.438,15.635,34.318,-0.368,25.85,6.551,-6.125,18.09,4.277,21.044,0.0,0.0,0.0
705.0,28.2,-0.064,26.088,-0.483,-15.635,35.311,-1.68,-26.754,8.834,-6.689,-17.649,3.417,19.433,15.638,34.319,-0.391,25.89,6.562,-6.137,18.118,4.552,21.031,0.0,0.0,0.0
706.0,28.24,-0.061,26.089,-0.505,-15.623,35.324,-1.693,-26.777,8.87,-6.687,-17.612,3.629,19.45,15.641,34.312,-0.43,25.989,6.58,-6.135,18.148,5.065,21.043,0.0,0.0,0.0
707.0,28.28,-0.064,26.107,-0.528,-15.627,35.367,-1.667,-26.899,8.987,-6.55,-17.327,4.35,19.512,15.635,34.353,-0.47,26.24,6.676,-5.909,18.174,6.114,21.238,0.0,0.0,0.0
708.0,28.32,-0.067,26.162,-0.538,-15.629,35.457,-1.571,-27.283,9.166,-5.996,-16.6,6.193,19.788,15.614,34.474,-0.458,26.791,6.85,-5.199,17.984,7.73,21.672,0.0,0.0,0.0
