Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
139.0,5.56,-0.431,25.959,-0.347,-16.322,34.634,-0.829,-26.45,7.145,-3.678,-17.14,2.758,22.632,15.047,34.522,-0.64,26.642,6.22,-3.958,16.548,3.64,22.67,0.0,0.0,0.0
140.0,5.6,-0.419,25.95,-0.378,-16.305,34.633,-0.875,-26.45,7.154,-3.761,-17.177,2.74,22.551,15.063,34.5,-0.664,26.655,6.194,-3.976,16.56,3.616,22.657,0.0,0.0,0.0
141.0,5.64,-0.403,25.943,-0.401,-16.282,34.636,-0.907,-26.442,7.173,-3.807,-17.199,2.735,22.51,15.084,34.482,-0.688,26.648,6.173,-4.013,16.589,3.583,22.639,0.0,0.0,0.0
142.0,5.68,-0.387,25.94,-0.425,-16.261,34.643,-0.94,-26.437,7.189,-3.857,-17.237,2.74,22.469,15.109,34.468,-0.709,26.638,6.152,-4.068,16.589,3.562,22.582,0.0,0.0,0.0
143.0,5.72,-0.376,25.935,-0.448,-16.243,34.646,-0.969,-26.434,7.196,-3.892,-17.282,2.791,22.461,15.122,34.453,-0.731,26.613,6.133,-4.131,16.575,3.528,22.529,0.0,0.0,0.0
144.0,5.76,-0.365,25.928,-0.467,-16.227,34.65,-0.988,-26.433,7.203,-3.916,-17.318,2.842,22.447,15.138,34.435,-0.748,26.57,6.1,-4.184,16.559,3.492,22.481,0.0,0.0,0.0
145.0,5.8,-0.359,25.923,-0.49,-16.217,34.652,-1.006,-26.432,7.211,-3.924,-17.347,2.917,22.452,15.151,34.414,-0.765,26.546,6.07,-4.215,16.539,3.471,22.451,0.0,0.0,0.0
146.0,5.84,-0.357,25.917,-0.515,-16.208,34.657,-1.031,-26.439,7.214,-3.932,-17.357,3.035,22.47,15.157,34.387,-0.792,26.517,6.029,-4.247,16.538,3.485,22.44,0.0,0.0,0.0
147.0,5.88,-0.352,25.908,-0.537,-16.202,34.647,-1.044,-26.433,7.2,-3.942,-17.398,3.273,22.514,15.166,34.371,-0.821,26.499,5.99,-4.261,16.601,3.609,22.488,0.0,0.0,0.0
148.0,5.92,-0.346,25.895,-0.556,-16.194,34.623,-1.038,-26.413,7.169,-3.969,-17.51,3.815,22.628,15.175,34.351,-0.845,26.48,5.947,-4.267,16.784,3.907,22.65,0.0,0.0,0.0
149.0,5.96,-0.326,25.882,-0.562,-16.179,34.598,-0.987,-26.384,7.15,-3.999,-17.584,4.956,22.841,15.197,34.338,-0.876,26.469,5.904,-4.273,17.053,4.463,22.95,0.0,0.0,0.0
150.0,6.0,-0.308,25.874,-0.559,-16.158,34.614,-0.922,-26.338,7.149,-3.92,-17.732,7.076,23.079,15.221,34.336,-0.923,26.483,5.875,-4.228,17.42,5.308,23.214,0.0,0.0,0.0
151.0,6.04,-0.282,25.877,-0.554,-16.118,34.682,-0.911,-26.278,7.151,-3.461,-18.061,10.009,23.387,15.26,34.318,-0.971,26.546,5.827,-4.098,17.84,6.318,23.455,0.0,0.0,0.0
152.0,6.08,-0.228,25.87,-0.541,-16.036,34.776,-0.925,-26.286,7.136,-2.398,-18.346,13.454,23.829,15.336,34.292,-0.994,26.71,5.782,-3.824,18.121,7.159,23.734,0.0,0.0,0.0
153.0,6.12,-0.152,25.866,-0.532,-15.923,34.909,-0.951,-26.326,7.191,-0.688,-18.556,17.02,24.38,15.436,34.248,-0.983,26.986,5.73,-3.438,18.2,7.69,24.015,0.0,0.0,0.0
154.0,6.16,-0.057,25.858,-0.524,-15.789,35.063,-0.961,-26.328,7.381,1.508,-18.576,20.471,24.97,15.558,34.184,-0.962,27.282,5.655,-3.017,18.048,7.822,24.27,0.0,0.0,0.0
155.0,6.2,0.04,25.848,-0.521,-15.632,35.243,-0.934,-26.201,7.749,3.945,-18.375,23.546,25.59,15.687,34.095,-0.957,27.507,5.532,-2.649,17.748,7.556,24.489,0.0,0.0,0.0
156.0,6.24,0.123,25.841,-0.499,-15.479,35.416,-0.875,-25.93,8.296,6.416,-17.824,26.297,26.149,15.804,33.982,-0.91,27.527,5.356,-2.426,17.508,7.129,24.661,0.0,0.0,0.0
157.0,6.28,0.172,25.831,-0.464,-15.364,35.577,-0.8,-25.472,8.994,8.808,-16.924,28.674,26.662,15.883,33.878,-0.854,27.384,5.173,-2.313,17.577,6.855,24.883,0.0,0.0,0.0
