Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
702.0,28.08,-0.274,25.615,-2.465,-16.255,34.45,-3.323,-24.446,6.332,1.831,-16.025,14.631,27.042,15.341,33.964,-3.377,24.839,5.309,1.912,15.671,13.903,27.469,0.0,0.0,0.0
703.0,28.12,-0.275,25.619,-2.469,-16.255,34.458,-3.306,-24.446,6.343,1.859,-15.995,14.641,27.058,15.343,33.963,-3.4,24.841,5.305,1.885,15.729,13.939,27.448,0.0,0.0,0.0
704.0,28.16,-0.277,25.626,-2.465,-16.258,34.469,-3.284,-24.453,6.356,1.878,-15.971,14.661,27.065,15.339,33.968,-3.412,24.838,5.309,1.851,15.784,13.953,27.431,0.0,0.0,0.0
705.0,28.2,-0.287,25.633,-2.456,-16.273,34.47,-3.265,-24.456,6.351,1.888,-15.986,14.679,27.062,15.325,33.981,-3.406,24.834,5.319,1.833,15.829,13.981,27.423,0.0,0.0,0.0
706.0,28.24,-0.289,25.644,-2.448,-16.276,34.479,-3.251,-24.469,6.365,1.89,-16.008,14.723,27.056,15.323,33.993,-3.403,24.833,5.329,1.824,15.864,14.022,27.416,0.0,0.0,0.0
707.0,28.28,-0.295,25.648,-2.443,-16.283,34.48,-3.244,-24.474,6.363,1.885,-16.037,14.746,27.049,15.317,34.0,-3.408,24.835,5.34,1.816,15.87,14.047,27.396,0.0,0.0,0.0
708.0,28.32,-0.298,25.655,-2.443,-16.289,34.476,-3.245,-24.472,6.356,1.885,-16.081,14.758,27.056,15.309,34.013,-3.406,24.838,5.356,1.822,15.844,14.088,27.383,0.0,0.0,0.0
709.0,28.36,-0.298,25.667,-2.431,-16.292,34.479,-3.23,-24.473,6.352,1.879,-16.125,14.758,27.062,15.308,34.032,-3.402,24.854,5.375,1.82,15.832,14.118,27.368,0.0,0.0,0.0
710.0,28.4,-0.297,25.677,-2.423,-16.294,34.482,-3.216,-24.491,6.356,1.855,-16.175,14.765,27.048,15.308,34.046,-3.402,24.88,5.391,1.82,15.826,14.128,27.36,0.0,0.0,0.0
711.0,28.44,-0.297,25.683,-2.411,-16.293,34.491,-3.205,-24.512,6.37,1.845,-16.206,14.822,27.035,15.307,34.048,-3.398,24.928,5.397,1.81,15.833,14.074,27.369,0.0,0.0,0.0
712.0,28.48,-0.291,25.687,-2.387,-16.282,34.503,-3.165,-24.576,6.422,1.856,-16.161,14.998,27.0,15.313,34.045,-3.39,25.043,5.39,1.737,15.901,13.883,27.393,0.0,0.0,0.0
