Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2051.0,82.04,-0.06,26.024,-0.457,-15.799,34.875,-1.197,-27.199,7.594,-3.39,-15.425,8.688,21.655,15.631,34.44,-0.045,27.059,6.021,-1.391,14.66,9.093,23.758,0.0,0.0,0.0
2052.0,82.08,-0.063,26.02,-0.473,-15.801,34.868,-1.218,-27.192,7.579,-3.383,-15.429,8.713,21.662,15.63,34.436,-0.065,27.045,6.009,-1.41,14.652,9.113,23.736,0.0,0.0,0.0
2053.0,82.12,-0.064,26.011,-0.507,-15.801,34.856,-1.254,-27.177,7.557,-3.383,-15.443,8.77,21.666,15.627,34.425,-0.11,27.023,5.988,-1.42,14.641,9.171,23.724,0.0,0.0,0.0
2054.0,82.16,-0.056,26.007,-0.53,-15.791,34.856,-1.277,-27.184,7.562,-3.39,-15.49,8.832,21.674,15.639,34.414,-0.14,27.017,5.966,-1.386,14.645,9.24,23.741,0.0,0.0,0.0
2055.0,82.2,-0.053,26.002,-0.55,-15.782,34.853,-1.285,-27.201,7.569,-3.38,-15.525,8.872,21.687,15.646,34.407,-0.17,27.029,5.954,-1.372,14.664,9.319,23.748,0.0,0.0,0.0
2056.0,82.24,-0.042,25.995,-0.564,-15.767,34.861,-1.294,-27.22,7.587,-3.376,-15.569,8.897,21.698,15.662,34.388,-0.199,27.041,5.93,-1.361,14.705,9.39,23.754,0.0,0.0,0.0
2057.0,82.28,-0.04,25.99,-0.58,-15.758,34.864,-1.297,-27.24,7.599,-3.372,-15.588,8.903,21.705,15.67,34.373,-0.226,27.047,5.91,-1.382,14.737,9.438,23.738,0.0,0.0,0.0
2058.0,82.32,-0.033,25.983,-0.604,-15.744,34.862,-1.308,-27.256,7.611,-3.363,-15.589,8.918,21.71,15.682,34.353,-0.262,27.038,5.88,-1.437,14.802,9.47,23.702,0.0,0.0,0.0
2059.0,82.36,-0.031,25.975,-0.633,-15.738,34.862,-1.335,-27.264,7.616,-3.372,-15.596,8.934,21.704,15.689,34.337,-0.306,27.015,5.854,-1.521,14.858,9.499,23.648,0.0,0.0,0.0
2060.0,82.4,-0.028,25.969,-0.677,-15.739,34.852,-1.365,-27.237,7.598,-3.381,-15.645,8.983,21.71,15.694,34.316,-0.355,26.96,5.818,-1.626,15.021,9.558,23.614,0.0,0.0,0.0
2061.0,82.44,-0.024,25.963,-0.719,-15.736,34.839,-1.394,-27.242,7.598,-3.305,-15.961,9.326,21.845,15.701,34.279,-0.398,26.865,5.763,-1.651,15.489,9.803,23.746,0.0,0.0,0.0
2062.0,82.48,-0.037,25.951,-0.755,-15.731,34.845,-1.433,-27.509,7.69,-2.852,-16.684,10.358,22.32,15.698,34.222,-0.44,26.89,5.698,-1.275,16.512,10.652,24.314,0.0,0.0,0.0
2063.0,82.52,-0.038,25.923,-0.78,-15.706,34.884,-1.493,-28.071,7.901,-1.791,-18.048,12.538,23.299,15.717,34.201,-0.48,26.993,5.693,-0.292,18.292,12.607,25.389,0.0,0.0,0.0
2064.0,82.56,-0.022,25.91,-0.796,-15.672,34.981,-1.556,-28.831,8.292,-0.094,-19.709,15.729,24.563,15.742,34.262,-0.517,27.178,5.867,1.31,20.369,15.646,26.535,0.0,0.0,0.0
2065.0,82.6,-0.004,25.904,-0.811,-15.643,35.088,-1.616,-29.5,8.842,2.063,-21.405,19.637,25.718,15.761,34.354,-0.57,27.401,6.216,3.388,22.289,19.443,27.322,0.0,0.0,0.0
2066.0,82.64,0.019,25.892,-0.821,-15.607,35.221,-1.638,-29.991,9.576,4.494,-22.589,23.629,26.574,15.78,34.4,-0.614,27.542,6.766,5.776,23.682,23.353,27.652,0.0,0.0,0.0
2067.0,82.68,0.025,25.877,-0.841,-15.577,35.345,-1.609,-30.153,10.386,6.979,-23.174,27.29,27.014,15.758,34.428,-0.649,27.541,7.506,8.249,24.273,26.994,27.635,0.0,0.0,0.0
2068.0,82.72,0.024,25.865,-0.869,-15.548,35.461,-1.599,-29.987,11.228,9.254,-22.999,30.311,27.114,15.739,34.461,-0.692,27.373,8.36,10.48,23.986,29.975,27.342,0.0,0.0,0.0
2069.0,82.76,0.025,25.855,-0.925,-15.523,35.533,-1.659,-29.503,11.941,11.139,-22.028,32.431,27.118,15.727,34.513,-0.749,27.084,9.149,12.209,22.847,32.08,26.951,0.0,0.0,0.0
2070.0,82.8,0.021,25.845,-1.001,-15.518,35.544,-1.759,-28.84,12.36,12.441,-20.402,33.487,27.032,15.708,34.56,-0.824,26.699,9.687,13.27,21.031,33.155,26.602,0.0,0.0,0.0
2071.0,82.84,0.016,25.828,-1.088,-15.522,35.508,-1.836,-28.087,12.36,13.086,-18.235,33.474,26.811,15.701,34.554,-0.927,26.264,9.813,13.665,18.745,33.19,26.243,0.0,0.0,0.0
2072.0,82.88,-0.004,25.81,-1.188,-15.537,35.415,-1.862,-27.34,11.969,13.191,-15.653,32.417,26.439,15.69,34.505,-1.032,25.835,9.553,13.487,16.173,32.247,25.898,0.0,0.0,0.0
2073.0,82.92,-0.017,25.786,-1.247,-15.556,35.274,-1.849,-26.74,11.332,12.897,-12.841,30.569,25.922,15.693,34.426,-1.08,25.455,9.028,12.944,13.61,30.657,25.53,0.0,0.0,0.0
2074.0,82.96,-0.011,25.775,-1.281,-15.554,35.155,-1.804,-26.29,10.708,12.432,-10.167,28.336,25.293,15.7,34.379,-1.093,25.222,8.518,12.279,11.209,28.777,25.084,0.0,0.0,0.0
2075.0,83.0,-0.012,25.786,-1.295,-15.545,35.085,-1.736,-26.044,10.262,12.023,-8.28,26.375,24.781,15.702,34.339,-1.055,25.138,8.129,11.734,9.551,27.163,24.642,0.0,0.0,0.0
2076.0,83.04,-0.011,25.793,-1.254,-15.546,35.064,-1.574,-26.01,9.977,11.739,-8.255,25.801,24.733,15.708,34.298,-0.991,25.169,7.882,11.443,9.482,26.605,24.58,0.0,0.0,0.0
2077.0,83.08,-0.014,25.801,-1.19,-15.558,35.121,-1.501,-26.204,10.08,11.695,-9.799,26.867,25.249,15.702,34.328,-0.948,25.367,7.939,11.336,10.791,27.165,25.011,0.0,0.0,0.0
2078.0,83.12,-0.032,25.812,-1.148,-15.589,35.206,-1.539,-26.644,10.53,11.958,-11.958,28.445,25.963,15.671,34.4,-0.944,25.828,8.285,11.52,12.681,28.188,25.581,0.0,0.0,0.0
2079.0,83.16,-0.049,25.821,-1.11,-15.61,35.307,-1.563,-27.184,11.137,12.381,-13.888,30.017,26.574,15.633,34.473,-0.933,26.298,8.731,11.891,14.527,29.349,26.075,0.0,0.0,0.0
2080.0,83.2,-0.059,25.83,-1.071,-15.601,35.418,-1.532,-27.617,11.723,12.845,-15.189,31.259,26.872,15.624,34.502,-0.927,26.607,9.103,12.304,15.968,30.375,26.384,0.0,0.0,0.0
2081.0,83.24,-0.058,25.837,-1.032,-15.588,35.483,-1.498,-27.772,12.026,13.127,-15.686,31.943,26.916,15.624,34.515,-0.896,26.688,9.298,12.606,16.744,31.008,26.518,0.0,0.0,0.0
2082.0,83.28,-0.043,25.831,-1.03,-15.574,35.489,-1.5,-27.606,11.976,13.183,-15.387,31.957,26.778,15.649,34.497,-0.895,26.596,9.248,12.625,16.771,31.039,26.466,0.0,0.0,0.0
2083.0,83.32,-0.026,25.815,-1.065,-15.554,35.427,-1.538,-27.227,11.591,12.905,-14.481,31.23,26.472,15.685,34.462,-0.929,26.372,8.953,12.285,16.014,30.393,26.287,0.0,0.0,0.0
2084.0,83.36,0.003,25.797,-1.12,-15.535,35.329,-1.575,-26.763,10.961,12.306,-13.102,29.863,26.013,15.722,34.42,-0.991,26.043,8.445,11.543,14.669,29.122,25.907,0.0,0.0,0.0
2085.0,83.4,0.029,25.78,-1.18,-15.529,35.211,-1.628,-26.301,10.243,11.494,-11.451,28.111,25.37,15.761,34.353,-1.031,25.651,7.802,10.576,13.057,27.501,25.365,0.0,0.0,0.0
2086.0,83.44,0.041,25.764,-1.225,-15.511,35.123,-1.681,-25.932,9.659,10.714,-9.654,26.325,24.607,15.798,34.27,-1.044,25.339,7.231,9.693,11.471,25.914,24.699,0.0,0.0,0.0
2087.0,83.48,0.054,25.76,-1.266,-15.486,35.076,-1.724,-25.71,9.318,10.212,-8.084,24.871,23.827,15.827,34.221,-1.036,25.258,6.93,9.208,10.208,24.79,24.097,0.0,0.0,0.0
2088.0,83.52,0.08,25.755,-1.288,-15.452,35.052,-1.737,-25.606,9.146,10.021,-7.493,24.309,23.39,15.852,34.213,-1.02,25.446,6.921,9.204,9.708,24.432,23.797,0.0,0.0,0.0
2089.0,83.56,0.098,25.757,-1.275,-15.435,35.074,-1.757,-25.625,9.231,10.024,-7.871,24.767,23.526,15.85,34.267,-1.036,25.764,7.2,9.452,9.91,24.784,23.887,0.0,0.0,0.0
2090.0,83.6,0.101,25.759,-1.272,-15.423,35.109,-1.833,-25.984,9.632,10.43,-8.096,25.211,23.705,15.821,34.337,-1.043,26.238,7.672,10.046,9.978,25.229,24.09,0.0,0.0,0.0
2091.0,83.64,0.098,25.768,-1.253,-15.389,35.164,-1.837,-26.332,10.012,10.82,-8.308,25.641,23.852,15.808,34.353,-0.981,26.571,7.985,10.57,10.094,25.605,24.3,0.0,0.0,0.0
2092.0,83.68,0.087,25.788,-1.195,-15.364,35.234,-1.777,-26.606,10.254,10.971,-8.6,25.915,23.948,15.787,34.348,-0.888,26.724,8.1,10.835,10.168,25.731,24.506,0.0,0.0,0.0
2093.0,83.72,0.087,25.809,-1.129,-15.348,35.265,-1.707,-26.801,10.248,10.781,-9.044,25.947,24.071,15.789,34.336,-0.777,26.714,7.972,10.699,10.343,25.577,24.66,0.0,0.0,0.0
2094.0,83.76,0.091,25.831,-1.043,-15.348,35.271,-1.598,-26.949,9.975,10.205,-9.816,25.66,24.285,15.8,34.335,-0.674,26.588,7.654,10.161,10.734,25.213,24.811,0.0,0.0,0.0
2095.0,83.8,0.1,25.844,-0.945,-15.353,35.24,-1.485,-27.25,9.616,9.326,-10.699,24.878,24.537,15.826,34.329,-0.6,26.508,7.253,9.33,11.3,24.551,25.024,0.0,0.0,0.0
2096.0,83.84,0.102,25.849,-0.852,-15.375,35.176,-1.377,-27.792,9.283,8.192,-11.625,23.612,24.726,15.843,34.324,-0.542,26.587,6.883,8.276,11.978,23.444,25.282,0.0,0.0,0.0
2097.0,83.88,0.087,25.865,-0.753,-15.422,35.119,-1.26,-28.478,9.03,6.85,-12.596,21.972,24.774,15.833,34.337,-0.479,26.894,6.603,7.044,12.742,21.996,25.453,0.0,0.0,0.0
2098.0,83.92,0.064,25.887,-0.632,-15.473,35.068,-1.137,-29.269,8.931,5.364,-13.529,19.981,24.685,15.806,34.366,-0.387,27.379,6.421,5.611,13.535,20.308,25.447,0.0,0.0,0.0
2099.0,83.96,0.025,25.914,-0.501,-15.531,35.018,-1.008,-30.07,8.955,3.835,-14.364,17.717,24.423,15.751,34.389,-0.264,27.929,6.343,4.059,14.236,18.283,25.289,0.0,0.0,0.0
