Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2908.0,116.32,-0.753,27.793,0.225,-16.581,36.405,1.083,-26.947,8.793,-1.158,-13.93,11.284,22.963,14.817,35.866,0.705,26.468,7.4,-1.568,14.292,10.955,23.611,0.0,0.0,0.0
2909.0,116.36,-0.752,27.795,0.223,-16.58,36.406,1.08,-26.945,8.794,-1.155,-13.93,11.29,22.966,14.817,35.868,0.702,26.469,7.402,-1.572,14.291,10.946,23.609,0.0,0.0,0.0
2910.0,116.4,-0.75,27.804,0.205,-16.579,36.42,1.053,-26.944,8.807,-1.141,-13.94,11.33,22.98,14.822,35.87,0.676,26.495,7.413,-1.587,14.3,10.899,23.596,0.0,0.0,0.0
2911.0,116.44,-0.748,27.808,0.186,-16.571,36.442,1.022,-26.965,8.835,-1.128,-13.985,11.391,22.997,14.828,35.865,0.649,26.524,7.41,-1.588,14.287,10.83,23.585,0.0,0.0,0.0
2912.0,116.48,-0.744,27.811,0.167,-16.561,36.454,0.995,-26.986,8.858,-1.113,-14.031,11.45,23.022,14.832,35.861,0.623,26.56,7.419,-1.61,14.268,10.737,23.562,0.0,0.0,0.0
2913.0,116.52,-0.742,27.811,0.159,-16.554,36.467,0.982,-27.012,8.882,-1.091,-14.104,11.533,23.056,14.839,35.856,0.605,26.592,7.425,-1.637,14.212,10.609,23.523,0.0,0.0,0.0
2914.0,116.56,-0.74,27.817,0.149,-16.548,36.485,0.972,-27.042,8.91,-1.059,-14.184,11.636,23.102,14.84,35.858,0.58,26.642,7.439,-1.67,14.131,10.447,23.455,0.0,0.0,0.0
2915.0,116.6,-0.737,27.822,0.131,-16.538,36.508,0.947,-27.072,8.939,-1.009,-14.27,11.777,23.159,14.844,35.854,0.529,26.738,7.458,-1.711,14.0,10.241,23.355,0.0,0.0,0.0
2916.0,116.64,-0.734,27.829,0.114,-16.533,36.519,0.94,-27.098,8.962,-0.936,-14.383,11.958,23.247,14.843,35.852,0.486,26.898,7.5,-1.737,13.812,9.981,23.229,0.0,0.0,0.0
2917.0,116.68,-0.732,27.829,0.096,-16.526,36.535,0.937,-27.137,8.989,-0.809,-14.528,12.198,23.366,14.842,35.848,0.446,27.118,7.558,-1.76,13.566,9.631,23.066,0.0,0.0,0.0
2918.0,116.72,-0.73,27.829,0.079,-16.525,36.545,0.94,-27.207,9.016,-0.639,-14.776,12.582,23.545,14.833,35.846,0.398,27.385,7.636,-1.782,13.271,9.211,22.828,0.0,0.0,0.0
2919.0,116.76,-0.723,27.828,0.061,-16.508,36.567,0.939,-27.334,9.081,-0.382,-15.087,13.131,23.779,14.835,35.837,0.341,27.716,7.717,-1.727,12.891,8.689,22.505,0.0,0.0,0.0
