Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3122.0,124.88,-0.958,27.7,-0.328,-16.889,36.103,0.334,-27.38,8.671,-2.769,-14.213,10.092,21.523,14.526,35.939,-0.021,26.837,7.934,-4.235,14.214,8.119,21.551,0.0,0.0,0.0
3123.0,124.92,-0.956,27.696,-0.33,-16.887,36.099,0.329,-27.406,8.675,-2.751,-14.257,10.17,21.536,14.529,35.935,-0.023,26.834,7.928,-4.24,14.226,8.132,21.558,0.0,0.0,0.0
3124.0,124.96,-0.951,27.693,-0.327,-16.878,36.093,0.342,-27.447,8.681,-2.713,-14.329,10.266,21.573,14.533,35.937,-0.015,26.842,7.929,-4.231,14.243,8.115,21.577,0.0,0.0,0.0
3125.0,125.0,-0.943,27.686,-0.329,-16.865,36.086,0.333,-27.686,8.75,-2.533,-14.506,10.565,21.674,14.537,35.931,-0.014,26.866,7.933,-4.161,14.267,8.066,21.65,0.0,0.0,0.0
3126.0,125.04,-0.892,27.678,-0.347,-16.782,36.106,0.288,-28.574,9.072,-1.884,-14.961,11.45,21.984,14.583,35.954,-0.002,27.018,7.991,-3.799,14.223,8.048,21.912,0.0,0.0,0.0
3127.0,125.08,-0.796,27.698,-0.369,-16.626,36.219,0.176,-30.443,9.949,-0.437,-15.877,13.313,22.645,14.669,36.024,0.071,27.304,8.028,-2.858,13.906,8.106,22.489,0.0,0.0,0.0
3128.0,125.12,-0.662,27.736,-0.397,-16.394,36.486,-0.004,-33.114,11.759,1.787,-17.189,16.449,23.576,14.807,36.107,0.198,27.548,8.005,-1.388,13.499,8.229,23.49,0.0,0.0,0.0
3129.0,125.16,-0.518,27.791,-0.447,-16.112,36.882,-0.269,-36.02,14.751,4.595,-18.415,20.651,24.546,14.983,36.143,0.371,27.666,7.907,0.405,12.779,8.36,24.823,0.0,0.0,0.0
3130.0,125.2,-0.366,27.839,-0.499,-15.818,37.371,-0.51,-38.568,18.964,7.643,-19.026,25.423,25.333,15.178,36.13,0.54,27.608,7.797,2.413,11.615,8.769,26.164,0.0,0.0,0.0
3131.0,125.24,-0.233,27.893,-0.526,-15.463,37.97,-0.666,-40.326,24.197,10.516,-18.786,30.18,25.789,15.366,36.082,0.629,27.272,7.693,4.404,10.269,9.431,27.483,0.0,0.0,0.0
3132.0,125.28,-0.162,27.962,-0.474,-15.074,38.61,-0.732,-41.125,29.937,12.876,-17.853,34.424,25.829,15.519,36.003,0.684,26.718,7.605,6.158,8.851,10.255,28.548,0.0,0.0,0.0
3133.0,125.32,-0.156,28.08,-0.378,-14.701,39.258,-0.722,-40.974,35.588,14.565,-16.487,37.868,25.617,15.631,35.931,0.725,25.967,7.528,7.455,7.55,11.27,29.27,0.0,0.0,0.0
3134.0,125.36,-0.176,28.22,-0.249,-14.329,39.854,-0.651,-40.112,40.614,15.678,-14.992,40.36,25.275,15.715,35.859,0.774,25.186,7.426,8.32,6.447,12.387,29.61,0.0,0.0,0.0
3135.0,125.4,-0.206,28.349,-0.099,-13.974,40.339,-0.534,-38.87,44.637,16.389,-13.589,42.009,25.037,15.78,35.783,0.843,24.515,7.314,8.904,5.561,13.457,29.675,0.0,0.0,0.0
3136.0,125.44,-0.19,28.446,0.023,-13.66,40.679,-0.406,-37.557,47.532,16.868,-12.401,42.917,24.973,15.86,35.733,0.874,24.07,7.266,9.292,4.916,14.295,29.577,0.0,0.0,0.0
3137.0,125.48,-0.158,28.498,0.104,-13.449,40.849,-0.287,-36.401,49.405,17.271,-11.501,43.258,25.1,15.924,35.719,0.872,23.856,7.294,9.538,4.462,14.914,29.368,0.0,0.0,0.0
3138.0,125.52,-0.116,28.531,0.159,-13.311,40.943,-0.159,-35.482,50.552,17.672,-10.905,43.152,25.442,15.971,35.751,0.851,23.854,7.396,9.697,4.215,15.305,29.169,0.0,0.0,0.0
3139.0,125.56,-0.11,28.566,0.194,-13.256,40.989,-0.03,-34.81,51.231,18.046,-10.634,42.767,26.027,15.973,35.809,0.82,23.949,7.524,9.765,4.068,15.582,28.918,0.0,0.0,0.0
3140.0,125.6,-0.112,28.592,0.227,-13.236,41.017,0.097,-34.366,51.623,18.349,-10.585,42.328,26.674,15.963,35.86,0.792,24.038,7.611,9.732,4.041,15.806,28.693,0.0,0.0,0.0
3141.0,125.64,-0.105,28.606,0.246,-13.215,41.04,0.182,-34.083,51.795,18.558,-10.629,41.961,27.243,15.969,35.881,0.765,24.1,7.63,9.606,4.076,15.971,28.482,0.0,0.0,0.0
3142.0,125.68,-0.068,28.605,0.242,-13.151,41.052,0.223,-33.846,51.819,18.719,-10.664,41.485,27.742,16.012,35.868,0.721,24.144,7.596,9.486,4.17,16.097,28.32,0.0,0.0,0.0
3143.0,125.72,-0.006,28.591,0.214,-13.053,41.055,0.234,-33.596,51.736,18.931,-10.587,40.804,28.063,16.088,35.819,0.656,24.184,7.54,9.425,4.248,16.201,28.232,0.0,0.0,0.0
3144.0,125.76,0.06,28.568,0.174,-12.966,41.046,0.244,-33.441,51.571,19.228,-10.155,39.987,27.702,16.171,35.765,0.591,24.211,7.487,9.397,4.338,16.291,28.195,0.0,0.0,0.0
3145.0,125.8,0.116,28.553,0.129,-12.896,41.034,0.239,-33.33,51.226,19.59,-9.36,40.449,27.527,16.244,35.723,0.548,24.215,7.439,9.376,4.391,16.389,28.146,0.0,0.0,0.0
3146.0,125.84,0.164,28.535,0.08,-12.837,41.035,0.212,-33.187,50.96,19.802,-9.016,41.187,28.299,16.298,35.696,0.508,24.218,7.401,9.342,4.394,16.524,28.018,0.0,0.0,0.0
3147.0,125.88,0.183,28.544,0.044,-12.767,41.083,0.235,-32.91,51.031,19.955,-8.997,40.674,28.273,16.335,35.669,0.44,24.219,7.374,9.297,4.355,16.687,27.821,0.0,0.0,0.0
3148.0,125.92,0.219,28.527,-0.008,-12.669,41.094,0.201,-32.509,51.006,20.095,-9.031,39.738,28.237,16.39,35.608,0.341,24.199,7.305,9.19,4.346,16.785,27.627,0.0,0.0,0.0
3149.0,125.96,0.257,28.502,-0.092,-12.6,41.085,0.142,-32.114,50.86,20.332,-8.987,38.95,28.494,16.441,35.554,0.215,24.152,7.238,9.083,4.325,16.896,27.465,0.0,0.0,0.0
3150.0,126.0,0.274,28.479,-0.157,-12.546,41.074,0.159,-31.828,50.615,20.757,-8.597,38.168,28.384,16.473,35.499,0.079,24.118,7.206,9.037,4.316,16.978,27.385,0.0,0.0,0.0
3151.0,126.04,0.29,28.458,-0.216,-12.523,41.059,0.157,-31.696,50.06,21.196,-7.967,38.074,28.552,16.496,35.461,-0.042,24.102,7.187,8.979,4.351,17.03,27.36,0.0,0.0,0.0
3152.0,126.08,0.316,28.437,-0.271,-12.521,41.027,0.151,-31.666,49.479,21.463,-7.744,38.172,29.307,16.52,35.452,-0.128,24.089,7.179,8.915,4.393,17.04,27.346,0.0,0.0,0.0
3153.0,126.12,0.317,28.429,-0.285,-12.538,41.005,0.191,-31.597,49.235,21.618,-7.887,37.342,29.25,16.515,35.444,-0.183,24.116,7.186,8.877,4.434,16.995,27.361,0.0,0.0,0.0
3154.0,126.16,0.331,28.416,-0.299,-12.516,40.987,0.171,-31.453,49.024,21.68,-8.076,36.476,29.109,16.531,35.427,-0.211,24.155,7.172,8.837,4.494,16.929,27.377,0.0,0.0,0.0
3155.0,126.2,0.344,28.396,-0.305,-12.509,40.945,0.196,-31.423,48.804,21.82,-7.997,36.078,28.738,16.54,35.418,-0.211,24.177,7.155,8.807,4.545,16.865,27.405,0.0,0.0,0.0
3156.0,126.24,0.352,28.388,-0.286,-12.499,40.936,0.253,-31.52,48.531,22.026,-7.436,36.481,28.208,16.549,35.397,-0.19,24.183,7.135,8.829,4.548,16.84,27.426,0.0,0.0,0.0
3157.0,126.28,0.367,28.381,-0.273,-12.502,40.923,0.295,-31.631,48.1,22.174,-7.123,36.954,28.573,16.567,35.387,-0.171,24.173,7.106,8.817,4.553,16.81,27.432,0.0,0.0,0.0
3158.0,126.32,0.393,28.371,-0.277,-12.483,40.913,0.306,-31.519,48.005,22.215,-7.471,35.835,28.405,16.593,35.363,-0.179,24.159,7.063,8.777,4.55,16.769,27.407,0.0,0.0,0.0
3159.0,126.36,0.408,28.355,-0.303,-12.443,40.899,0.287,-31.285,47.817,22.313,-7.945,34.574,28.849,16.618,35.327,-0.208,24.162,7.019,8.747,4.562,16.711,27.397,0.0,0.0,0.0
3160.0,126.4,0.41,28.343,-0.315,-12.477,40.857,0.333,-31.453,47.413,22.458,-7.547,35.13,28.738,16.611,35.326,-0.21,24.167,7.013,8.734,4.578,16.686,27.416,0.0,0.0,0.0
3161.0,126.44,0.384,28.331,-0.306,-12.54,40.83,0.351,-31.688,47.043,22.507,-7.119,36.28,28.99,16.579,35.342,-0.199,24.179,7.027,8.707,4.63,16.689,27.419,0.0,0.0,0.0
3162.0,126.48,0.36,28.331,-0.302,-12.574,40.825,0.347,-31.682,47.078,22.499,-7.316,35.712,28.715,16.551,35.348,-0.208,24.18,7.04,8.686,4.642,16.726,27.399,0.0,0.0,0.0
3163.0,126.52,0.339,28.331,-0.341,-12.565,40.825,0.3,-31.496,46.979,22.567,-7.474,34.915,28.631,16.533,35.332,-0.243,24.161,7.033,8.689,4.629,16.793,27.356,0.0,0.0,0.0
3164.0,126.56,0.342,28.311,-0.365,-12.592,40.775,0.255,-31.551,46.591,22.646,-7.231,35.253,29.068,16.523,35.329,-0.234,24.148,7.042,8.736,4.59,16.86,27.34,0.0,0.0,0.0
3165.0,126.6,0.346,28.304,-0.383,-12.603,40.754,0.254,-31.633,46.234,22.691,-7.384,34.815,29.422,16.521,35.34,-0.227,24.148,7.063,8.778,4.555,16.924,27.308,0.0,0.0,0.0
3166.0,126.64,0.332,28.305,-0.386,-12.619,40.711,0.294,-31.849,45.596,22.754,-7.629,34.237,29.429,16.509,35.34,-0.235,24.164,7.062,8.745,4.571,16.936,27.259,0.0,0.0,0.0
3167.0,126.68,0.342,28.283,-0.397,-12.681,40.594,0.332,-32.526,44.483,22.567,-7.9,34.211,29.36,16.507,35.325,-0.266,24.207,7.022,8.611,4.709,16.898,27.223,0.0,0.0,0.0
3168.0,126.72,0.357,28.245,-0.385,-12.817,40.438,0.391,-33.552,42.963,22.119,-8.447,34.179,28.931,16.498,35.311,-0.304,24.366,6.998,8.397,5.06,16.835,27.224,0.0,0.0,0.0
3169.0,126.76,0.345,28.205,-0.349,-13.005,40.247,0.432,-34.792,40.982,21.368,-9.244,34.332,28.56,16.454,35.323,-0.297,24.71,7.022,8.093,5.664,16.721,27.235,0.0,0.0,0.0
3170.0,126.8,0.34,28.177,-0.327,-13.203,40.052,0.416,-36.101,38.487,20.19,-10.357,34.356,28.3,16.404,35.343,-0.29,25.304,7.105,7.663,6.479,16.6,27.14,0.0,0.0,0.0
3171.0,126.84,0.354,28.142,-0.297,-13.417,39.838,0.392,-37.274,35.552,18.594,-11.715,33.761,28.052,16.365,35.367,-0.282,26.073,7.222,7.091,7.472,16.501,26.905,0.0,0.0,0.0
3172.0,126.88,0.344,28.107,-0.232,-13.678,39.592,0.422,-38.187,32.294,16.612,-13.192,32.163,27.828,16.293,35.404,-0.249,26.905,7.367,6.335,8.507,16.412,26.354,0.0,0.0,0.0
3173.0,126.92,0.301,28.085,-0.134,-13.975,39.271,0.521,-38.718,28.863,14.344,-14.569,29.734,27.435,16.171,35.48,-0.145,27.717,7.538,5.308,9.448,15.957,25.653,0.0,0.0,0.0
3174.0,126.96,0.215,28.057,-0.006,-14.333,38.877,0.661,-38.789,25.308,11.778,-15.728,26.898,26.708,16.013,35.556,-0.002,28.362,7.684,3.983,10.63,15.13,25.056,0.0,0.0,0.0
3175.0,127.0,0.087,28.012,0.141,-14.717,38.437,0.74,-38.295,21.882,9.018,-16.671,23.685,25.942,15.818,35.644,0.09,28.857,7.882,2.443,12.017,14.242,24.463,0.0,0.0,0.0
3176.0,127.04,-0.064,27.971,0.258,-15.134,37.984,0.846,-37.237,18.649,6.149,-17.345,20.314,25.126,15.584,35.767,0.173,29.121,8.117,0.84,13.404,13.383,23.837,0.0,0.0,0.0
3177.0,127.08,-0.244,27.96,0.361,-15.58,37.54,0.979,-35.523,15.678,3.261,-17.631,17.054,24.243,15.314,35.911,0.273,29.159,8.423,-0.695,14.601,12.44,23.22,0.0,0.0,0.0
3178.0,127.12,-0.444,27.951,0.437,-16.024,37.09,1.081,-33.169,13.077,0.549,-17.613,14.138,23.378,15.032,36.067,0.373,28.987,8.706,-2.021,15.522,11.389,22.673,0.0,0.0,0.0
3179.0,127.16,-0.63,27.925,0.479,-16.422,36.647,1.119,-30.349,10.953,-1.839,-17.5,11.627,22.636,14.774,36.204,0.471,28.597,8.914,-3.145,16.267,10.274,22.236,0.0,0.0,0.0
3180.0,127.2,-0.793,27.91,0.494,-16.796,36.216,1.093,-27.614,9.474,-3.625,-17.223,9.604,22.014,14.541,36.368,0.6,27.96,9.078,-4.021,16.814,9.195,21.931,0.0,0.0,0.0
3181.0,127.24,-0.896,27.922,0.464,-17.064,35.865,1.021,-25.641,8.535,-4.63,-16.758,8.252,21.58,14.373,36.555,0.744,27.202,9.192,-4.591,17.012,8.372,21.749,0.0,0.0,0.0
3182.0,127.28,-0.947,27.971,0.445,-17.225,35.641,0.972,-24.968,8.048,-4.854,-16.448,7.635,21.455,14.263,36.782,0.939,26.411,9.332,-4.912,16.951,8.007,21.686,0.0,0.0,0.0
3183.0,127.32,-0.972,27.996,0.441,-17.296,35.534,0.915,-25.549,7.938,-4.643,-16.511,7.627,21.53,14.194,36.949,1.096,25.792,9.42,-5.017,16.674,7.987,21.695,0.0,0.0,0.0
3184.0,127.36,-0.974,27.998,0.43,-17.295,35.533,0.914,-26.297,8.052,-4.323,-16.799,7.835,21.662,14.192,36.99,1.135,25.536,9.401,-4.955,16.39,8.101,21.747,0.0,0.0,0.0
3185.0,127.4,-0.995,28.0,0.389,-17.291,35.595,0.946,-26.795,8.217,-4.071,-17.103,8.006,21.816,14.196,36.94,1.066,25.608,9.301,-4.775,16.179,8.181,21.833,0.0,0.0,0.0
