Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3146.0,125.84,0.081,25.908,-0.893,-15.709,34.679,-1.944,-26.856,7.198,-3.39,-15.929,5.255,22.26,15.77,34.039,-0.792,27.239,5.46,-2.345,14.532,6.534,22.941,0.0,0.0,0.0
3147.0,125.88,0.078,25.908,-0.912,-15.71,34.684,-1.942,-26.903,7.21,-3.369,-15.931,5.324,22.262,15.764,34.04,-0.849,27.254,5.473,-2.429,14.624,6.591,22.891,0.0,0.0,0.0
3148.0,125.92,0.074,25.903,-0.943,-15.714,34.683,-1.957,-26.958,7.228,-3.349,-15.953,5.43,22.271,15.76,34.033,-0.912,27.248,5.463,-2.507,14.724,6.666,22.856,0.0,0.0,0.0
3149.0,125.96,0.073,25.895,-0.976,-15.714,34.669,-1.975,-27.038,7.242,-3.316,-16.001,5.609,22.295,15.762,34.015,-0.97,27.219,5.431,-2.568,14.834,6.783,22.844,0.0,0.0,0.0
3150.0,126.0,0.083,25.884,-1.013,-15.703,34.646,-1.985,-27.275,7.304,-3.204,-16.171,5.967,22.389,15.772,33.984,-1.005,27.205,5.387,-2.581,15.037,7.055,22.911,0.0,0.0,0.0
3151.0,126.04,0.096,25.869,-1.043,-15.671,34.619,-1.981,-27.995,7.513,-2.774,-16.562,6.804,22.664,15.79,33.944,-1.023,27.384,5.359,-2.296,15.429,7.727,23.228,0.0,0.0,0.0
3152.0,126.08,0.101,25.846,-1.061,-15.617,34.623,-1.963,-29.501,8.098,-1.702,-17.167,8.437,23.331,15.792,33.933,-1.01,27.891,5.452,-1.432,15.894,9.077,23.934,0.0,0.0,0.0
3153.0,126.12,0.123,25.846,-1.068,-15.526,34.717,-1.965,-31.688,9.334,0.108,-17.837,11.186,24.286,15.804,33.991,-0.963,28.685,5.755,0.049,16.27,11.222,24.924,0.0,0.0,0.0
3154.0,126.16,0.13,25.874,-1.046,-15.446,34.926,-1.991,-34.213,11.436,2.575,-18.352,15.07,25.281,15.784,34.097,-0.861,29.559,6.288,1.976,16.607,13.937,26.023,0.0,0.0,0.0
3155.0,126.2,0.111,25.926,-1.004,-15.377,35.246,-2.037,-36.655,14.549,5.39,-18.361,19.576,25.924,15.727,34.22,-0.732,30.364,7.042,4.073,16.896,16.861,27.032,0.0,0.0,0.0
3156.0,126.24,0.054,25.986,-0.954,-15.313,35.656,-2.044,-38.673,18.551,8.182,-17.888,23.829,26.009,15.631,34.366,-0.626,31.022,7.948,5.994,17.118,19.448,27.881,0.0,0.0,0.0
3157.0,126.28,-0.028,26.064,-0.886,-15.205,36.132,-1.992,-40.012,22.984,10.575,-17.185,27.493,25.738,15.526,34.505,-0.543,31.574,8.882,7.599,16.944,21.459,28.399,0.0,0.0,0.0
3158.0,126.32,-0.104,26.165,-0.792,-15.04,36.601,-1.903,-40.639,27.344,12.427,-16.335,30.38,25.29,15.443,34.618,-0.508,32.038,9.743,8.848,16.553,23.077,28.509,0.0,0.0,0.0
3159.0,126.36,-0.124,26.281,-0.681,-14.824,37.024,-1.79,-40.665,31.255,13.736,-15.388,32.5,24.71,15.437,34.674,-0.511,32.359,10.383,9.758,15.833,24.185,28.152,0.0,0.0,0.0
