Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2825.0,113.0,-0.377,26.274,-0.7,-16.229,34.986,-1.253,-27.026,7.516,-3.046,-17.049,6.616,23.074,15.193,34.698,-0.683,26.975,6.234,-3.078,15.894,7.88,22.977,0.0,0.0,0.0
2826.0,113.04,-0.387,26.283,-0.69,-16.247,34.981,-1.268,-27.03,7.505,-3.058,-17.072,6.657,23.071,15.177,34.721,-0.654,26.988,6.267,-3.012,15.869,7.909,23.025,0.0,0.0,0.0
2827.0,113.08,-0.397,26.287,-0.685,-16.262,34.98,-1.274,-27.05,7.507,-3.078,-17.101,6.687,23.054,15.166,34.734,-0.64,27.003,6.292,-2.988,15.881,7.91,23.046,0.0,0.0,0.0
2828.0,113.12,-0.4,26.295,-0.687,-16.268,34.981,-1.295,-27.05,7.508,-3.112,-17.106,6.705,23.019,15.159,34.746,-0.632,27.031,6.318,-2.972,15.87,7.92,23.046,0.0,0.0,0.0
2829.0,113.16,-0.401,26.3,-0.695,-16.273,34.974,-1.322,-27.045,7.496,-3.136,-17.106,6.702,22.994,15.153,34.766,-0.64,27.073,6.352,-2.968,15.867,7.953,23.038,0.0,0.0,0.0
2830.0,113.2,-0.402,26.301,-0.703,-16.272,34.98,-1.332,-27.057,7.506,-3.152,-17.087,6.69,22.97,15.155,34.762,-0.658,27.086,6.351,-2.994,15.86,7.969,23.003,0.0,0.0,0.0
2831.0,113.24,-0.403,26.305,-0.716,-16.275,34.975,-1.355,-27.063,7.503,-3.16,-17.068,6.692,22.954,15.154,34.762,-0.678,27.114,6.353,-2.998,15.896,8.065,22.997,0.0,0.0,0.0
2832.0,113.28,-0.403,26.303,-0.724,-16.272,34.974,-1.356,-27.081,7.509,-3.154,-17.076,6.722,22.958,15.163,34.716,-0.668,27.201,6.275,-2.891,16.216,8.261,23.149,0.0,0.0,0.0
2833.0,113.32,-0.401,26.294,-0.727,-16.268,34.963,-1.281,-27.293,7.544,-2.934,-17.208,6.939,23.139,15.178,34.642,-0.678,27.448,6.147,-2.485,17.137,8.635,23.71,0.0,0.0,0.0
2834.0,113.36,-0.401,26.265,-0.722,-16.25,34.936,-1.184,-27.954,7.67,-2.2,-17.673,7.658,23.771,15.18,34.599,-0.711,28.065,6.167,-1.514,18.34,9.401,24.772,0.0,0.0,0.0
2835.0,113.4,-0.366,26.237,-0.749,-16.19,34.944,-1.16,-29.009,8.006,-0.841,-18.463,9.255,24.968,15.216,34.588,-0.743,29.059,6.419,-0.025,19.483,11.065,26.164,0.0,0.0,0.0
