Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1507.0,60.28,-0.316,26.246,-0.739,-16.161,34.964,-1.857,-26.228,8.343,-7.4,-18.889,-2.466,17.949,15.244,34.763,-0.976,25.587,6.395,-5.78,18.299,-3.583,20.204,0.0,0.0,0.0
1508.0,60.32,-0.303,26.256,-0.709,-16.146,34.975,-1.83,-26.194,8.349,-7.402,-18.935,-2.45,17.977,15.258,34.771,-0.926,25.605,6.399,-5.726,18.263,-3.587,20.244,0.0,0.0,0.0
1509.0,60.36,-0.285,26.266,-0.661,-16.125,34.991,-1.786,-26.138,8.363,-7.378,-19.007,-2.401,18.052,15.279,34.771,-0.854,25.635,6.396,-5.63,18.207,-3.602,20.315,0.0,0.0,0.0
1510.0,60.4,-0.271,26.27,-0.629,-16.107,35.005,-1.763,-26.108,8.369,-7.341,-19.059,-2.335,18.126,15.298,34.774,-0.802,25.667,6.387,-5.545,18.19,-3.653,20.384,0.0,0.0,0.0
1511.0,60.44,-0.251,26.278,-0.611,-16.084,35.023,-1.754,-26.095,8.381,-7.303,-19.085,-2.253,18.203,15.321,34.778,-0.779,25.701,6.376,-5.468,18.213,-3.75,20.447,0.0,0.0,0.0
1512.0,60.48,-0.241,26.285,-0.605,-16.071,35.054,-1.758,-26.09,8.408,-7.269,-19.108,-2.16,18.258,15.337,34.767,-0.778,25.73,6.354,-5.425,18.241,-3.938,20.47,0.0,0.0,0.0
1513.0,60.52,-0.232,26.288,-0.615,-16.049,35.098,-1.758,-26.057,8.449,-7.256,-19.144,-2.067,18.301,15.364,34.73,-0.805,25.782,6.315,-5.458,18.254,-4.202,20.398,0.0,0.0,0.0
1514.0,60.56,-0.21,26.29,-0.621,-16.012,35.147,-1.718,-26.014,8.514,-7.231,-19.313,-1.869,18.422,15.408,34.666,-0.851,25.86,6.266,-5.605,18.241,-4.554,20.207,0.0,0.0,0.0
1515.0,60.6,-0.164,26.262,-0.648,-15.934,35.179,-1.651,-26.247,8.663,-7.071,-19.763,-1.234,18.798,15.479,34.567,-0.926,25.955,6.17,-5.835,18.249,-5.177,19.838,0.0,0.0,0.0
1516.0,60.64,-0.046,26.251,-0.655,-15.732,35.275,-1.572,-27.362,9.117,-6.386,-20.91,0.529,19.856,15.635,34.45,-0.96,26.067,6.056,-6.017,18.216,-6.245,19.284,0.0,0.0,0.0
1517.0,60.68,0.131,26.252,-0.662,-15.417,35.512,-1.544,-29.611,10.254,-5.061,-23.099,4.531,21.812,15.863,34.319,-0.983,26.206,5.901,-6.027,18.185,-7.991,18.457,0.0,0.0,0.0
1518.0,60.72,0.332,26.252,-0.672,-14.997,35.947,-1.622,-32.732,12.562,-3.104,-25.71,11.462,24.06,16.138,34.149,-1.026,26.329,5.644,-5.806,18.295,-10.467,17.332,0.0,0.0,0.0
1519.0,60.76,0.544,26.272,-0.686,-14.504,36.519,-1.826,-36.004,16.129,-0.628,-27.918,20.673,25.636,16.436,33.936,-1.068,26.424,5.279,-5.371,18.566,-13.391,15.841,0.0,0.0,0.0
1520.0,60.8,0.749,26.289,-0.683,-14.009,37.116,-1.997,-38.696,20.582,2.136,-29.141,30.908,25.89,16.712,33.705,-1.071,26.634,4.886,-4.894,19.021,-16.006,14.184,0.0,0.0,0.0
1521.0,60.84,0.886,26.33,-0.628,-13.569,37.684,-2.012,-40.431,25.465,4.877,-29.199,40.784,24.737,16.903,33.549,-1.071,27.063,4.658,-4.331,19.463,-17.903,12.701,0.0,0.0,0.0
1522.0,60.88,0.97,26.375,-0.523,-13.199,38.163,-1.884,-41.01,30.11,7.571,-28.553,49.354,22.534,17.045,33.446,-1.114,27.557,4.552,-3.881,20.082,-18.799,12.036,0.0,0.0,0.0
1523.0,60.92,1.05,26.425,-0.426,-12.836,38.548,-1.684,-40.545,34.079,10.169,-27.867,56.111,20.155,17.184,33.388,-1.24,27.852,4.507,-3.676,20.417,-18.88,12.159,0.0,0.0,0.0
1524.0,60.96,1.118,26.47,-0.375,-12.504,38.832,-1.523,-39.451,37.19,12.542,-27.139,60.894,18.168,17.307,33.348,-1.411,27.856,4.402,-3.599,20.16,-18.839,12.274,0.0,0.0,0.0
1525.0,61.0,1.187,26.491,-0.361,-12.22,39.014,-1.378,-37.985,39.306,14.733,-26.524,63.955,16.719,17.424,33.274,-1.553,27.571,4.198,-3.589,19.921,-18.962,12.394,0.0,0.0,0.0
1526.0,61.04,1.261,26.504,-0.379,-12.003,39.132,-1.268,-36.378,40.534,16.645,-26.083,65.718,15.944,17.54,33.189,-1.691,27.271,3.976,-3.623,19.912,-19.183,12.483,0.0,0.0,0.0
1527.0,61.08,1.317,26.512,-0.457,-11.829,39.204,-1.239,-35.047,41.151,17.936,-25.621,66.642,16.395,17.627,33.124,-1.863,27.162,3.831,-3.664,19.943,-19.344,12.499,0.0,0.0,0.0
1528.0,61.12,1.37,26.489,-0.582,-11.734,39.186,-1.335,-34.343,41.512,18.435,-24.775,67.094,18.157,17.684,33.085,-2.056,27.199,3.764,-3.719,19.96,-19.333,12.536,0.0,0.0,0.0
1529.0,61.16,1.417,26.444,-0.732,-11.678,39.127,-1.492,-34.075,41.799,18.435,-23.743,67.137,20.268,17.724,33.056,-2.261,27.275,3.724,-3.797,19.97,-19.282,12.574,0.0,0.0,0.0
1530.0,61.2,1.432,26.428,-0.835,-11.679,39.1,-1.58,-33.859,41.942,18.417,-22.596,66.749,21.444,17.733,33.053,-2.407,27.292,3.714,-3.869,20.013,-19.255,12.586,0.0,0.0,0.0
1531.0,61.24,1.403,26.431,-0.867,-11.745,39.082,-1.577,-33.736,42.022,18.43,-20.956,65.856,22.315,17.697,33.065,-2.523,27.246,3.726,-3.981,20.071,-19.231,12.55,0.0,0.0,0.0
1532.0,61.28,1.388,26.429,-0.874,-11.783,39.069,-1.485,-33.506,41.75,18.892,-20.953,65.734,22.329,17.675,33.065,-2.593,27.197,3.726,-4.164,20.112,-19.191,12.461,0.0,0.0,0.0
1533.0,61.32,1.357,26.438,-0.834,-11.859,39.053,-1.304,-33.027,40.969,19.717,-22.601,66.16,20.837,17.633,33.078,-2.611,27.171,3.73,-4.293,20.157,-19.187,12.362,0.0,0.0,0.0
1534.0,61.36,1.304,26.432,-0.776,-11.968,39.006,-1.113,-32.649,40.347,20.412,-23.778,66.1,19.471,17.567,33.099,-2.614,27.154,3.77,-4.335,20.221,-19.184,12.307,0.0,0.0,0.0
1535.0,61.4,1.273,26.442,-0.726,-12.006,38.988,-0.925,-32.273,40.114,21.085,-24.37,65.899,18.185,17.525,33.15,-2.611,27.135,3.821,-4.342,20.246,-19.169,12.272,0.0,0.0,0.0
