Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1143.0,45.72,-0.114,25.876,-0.901,-16.016,34.585,-1.891,-26.864,7.024,-3.364,-18.013,2.068,22.893,15.474,34.102,-1.423,26.525,5.385,-3.372,17.523,2.757,23.491,0.0,0.0,0.0
1144.0,45.76,-0.118,25.872,-0.907,-16.023,34.568,-1.879,-26.84,6.999,-3.334,-17.934,2.075,22.913,15.465,34.105,-1.444,26.535,5.395,-3.404,17.562,2.794,23.468,0.0,0.0,0.0
1145.0,45.8,-0.122,25.863,-0.919,-16.027,34.56,-1.872,-26.832,6.983,-3.302,-17.861,2.084,22.924,15.458,34.096,-1.478,26.531,5.389,-3.458,17.639,2.81,23.44,0.0,0.0,0.0
1146.0,45.84,-0.124,25.852,-0.933,-16.033,34.543,-1.869,-26.824,6.957,-3.276,-17.809,2.107,22.946,15.45,34.087,-1.518,26.531,5.386,-3.512,17.712,2.801,23.409,0.0,0.0,0.0
1147.0,45.88,-0.126,25.843,-0.952,-16.036,34.531,-1.874,-26.822,6.941,-3.246,-17.773,2.15,22.973,15.444,34.079,-1.558,26.531,5.378,-3.571,17.791,2.781,23.377,0.0,0.0,0.0
1148.0,45.92,-0.125,25.835,-0.975,-16.031,34.524,-1.883,-26.82,6.934,-3.22,-17.76,2.185,23.002,15.445,34.066,-1.601,26.534,5.372,-3.627,17.879,2.731,23.349,0.0,0.0,0.0
1149.0,45.96,-0.123,25.829,-0.994,-16.029,34.512,-1.881,-26.786,6.918,-3.19,-17.84,2.254,23.083,15.445,34.06,-1.643,26.549,5.363,-3.659,17.974,2.632,23.361,0.0,0.0,0.0
1150.0,46.0,-0.108,25.816,-1.0,-16.009,34.465,-1.868,-26.798,6.882,-3.084,-18.329,2.558,23.372,15.448,34.064,-1.663,26.567,5.364,-3.662,18.061,2.474,23.453,0.0,0.0,0.0
1151.0,46.04,-0.055,25.799,-0.99,-15.954,34.37,-1.912,-27.149,6.892,-2.643,-19.531,3.756,24.203,15.478,34.116,-1.618,26.604,5.428,-3.585,18.187,2.129,23.643,0.0,0.0,0.0
1152.0,46.08,0.008,25.792,-0.976,-15.893,34.298,-2.023,-27.995,7.127,-1.792,-21.429,6.213,25.471,15.503,34.23,-1.49,26.737,5.592,-3.341,18.264,1.175,23.854,0.0,0.0,0.0
1153.0,46.12,0.014,25.799,-0.937,-15.87,34.304,-2.147,-29.265,7.72,-0.621,-23.67,10.11,26.719,15.472,34.338,-1.307,26.941,5.777,-2.871,18.262,-0.716,23.989,0.0,0.0,0.0
1154.0,46.16,-0.011,25.818,-0.861,-15.86,34.415,-2.285,-30.62,8.638,0.806,-25.98,15.48,27.46,15.409,34.41,-1.031,27.224,5.941,-2.131,18.299,-3.607,23.878,0.0,0.0,0.0
1155.0,46.2,-0.065,25.835,-0.778,-15.859,34.575,-2.515,-31.938,9.834,2.533,-27.822,21.88,27.237,15.318,34.449,-0.679,27.403,6.021,-1.174,18.462,-7.241,23.319,0.0,0.0,0.0
1156.0,46.24,-0.11,25.85,-0.7,-15.83,34.72,-2.836,-33.141,11.345,4.51,-28.714,28.427,25.862,15.23,34.475,-0.238,27.316,6.009,-0.124,18.831,-11.138,22.16,0.0,0.0,0.0
1157.0,46.28,-0.135,25.873,-0.626,-15.758,34.82,-3.185,-34.102,13.195,6.636,-28.514,34.322,23.526,15.155,34.511,0.241,27.012,5.95,0.94,19.458,-14.775,20.416,0.0,0.0,0.0
