Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3640.0,145.6,-0.256,26.28,-0.148,-16.081,34.852,-0.919,-27.084,7.493,-4.144,-18.737,3.072,22.322,15.257,34.771,0.472,27.456,6.421,-2.037,16.986,4.804,24.372,0.0,0.0,0.0
3641.0,145.64,-0.256,26.278,-0.15,-16.084,34.844,-0.916,-27.082,7.484,-4.144,-18.785,3.08,22.336,15.25,34.769,0.47,27.438,6.414,-2.042,16.983,4.83,24.367,0.0,0.0,0.0
3642.0,145.68,-0.255,26.271,-0.165,-16.084,34.832,-0.934,-27.07,7.468,-4.171,-18.856,3.108,22.34,15.249,34.761,0.454,27.413,6.401,-2.09,16.996,4.851,24.334,0.0,0.0,0.0
3643.0,145.72,-0.253,26.263,-0.177,-16.078,34.822,-0.957,-27.037,7.452,-4.211,-18.914,3.132,22.329,15.252,34.747,0.447,27.394,6.387,-2.141,17.006,4.867,24.285,0.0,0.0,0.0
3644.0,145.76,-0.252,26.255,-0.192,-16.08,34.806,-0.979,-26.993,7.426,-4.255,-18.933,3.138,22.307,15.252,34.739,0.443,27.4,6.392,-2.185,17.013,4.906,24.235,0.0,0.0,0.0
3645.0,145.8,-0.251,26.247,-0.204,-16.08,34.79,-0.992,-26.96,7.397,-4.288,-18.932,3.142,22.286,15.249,34.727,0.439,27.411,6.39,-2.235,17.063,5.02,24.18,0.0,0.0,0.0
3646.0,145.84,-0.249,26.235,-0.221,-16.085,34.772,-0.979,-26.955,7.378,-4.303,-18.986,3.193,22.282,15.254,34.708,0.44,27.428,6.404,-2.202,17.099,5.351,24.19,0.0,0.0,0.0
3647.0,145.88,-0.241,26.222,-0.23,-16.068,34.768,-0.918,-27.122,7.424,-4.119,-19.181,3.481,22.465,15.277,34.666,0.417,27.538,6.388,-1.946,17.21,6.118,24.376,0.0,0.0,0.0
3648.0,145.92,-0.238,26.188,-0.251,-16.046,34.736,-0.864,-27.702,7.536,-3.514,-19.518,4.326,23.013,15.287,34.636,0.357,27.858,6.443,-1.256,17.32,7.548,24.865,0.0,0.0,0.0
