Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1576.0,63.04,-0.282,26.328,-0.463,-16.046,35.263,-1.301,-27.152,8.36,-4.429,-18.49,1.493,21.5,15.335,34.689,-0.881,26.6,6.167,-3.667,16.377,3.018,22.689,0.0,0.0,0.0
1577.0,63.08,-0.27,26.325,-0.474,-16.028,35.272,-1.322,-27.186,8.391,-4.466,-18.576,1.554,21.488,15.35,34.677,-0.885,26.63,6.163,-3.7,16.426,3.009,22.663,0.0,0.0,0.0
1578.0,63.12,-0.255,26.327,-0.483,-16.011,35.282,-1.337,-27.199,8.424,-4.541,-18.671,1.622,21.442,15.367,34.669,-0.898,26.653,6.169,-3.798,16.52,2.962,22.579,0.0,0.0,0.0
1579.0,63.16,-0.248,26.328,-0.487,-16.006,35.286,-1.345,-27.177,8.435,-4.615,-18.711,1.656,21.397,15.37,34.661,-0.913,26.655,6.171,-3.907,16.592,2.911,22.485,0.0,0.0,0.0
1580.0,63.2,-0.248,26.329,-0.488,-16.005,35.282,-1.337,-27.126,8.431,-4.663,-18.715,1.664,21.362,15.372,34.656,-0.921,26.656,6.183,-4.037,16.679,2.841,22.384,0.0,0.0,0.0
1581.0,63.24,-0.252,26.325,-0.488,-16.015,35.265,-1.312,-27.082,8.4,-4.687,-18.672,1.646,21.338,15.359,34.658,-0.926,26.672,6.207,-4.133,16.746,2.786,22.295,0.0,0.0,0.0
1582.0,63.28,-0.266,26.321,-0.487,-16.036,35.251,-1.295,-27.051,8.372,-4.683,-18.599,1.647,21.335,15.338,34.659,-0.939,26.688,6.227,-4.189,16.795,2.792,22.245,0.0,0.0,0.0
1583.0,63.32,-0.286,26.315,-0.492,-16.061,35.233,-1.267,-27.032,8.337,-4.664,-18.536,1.647,21.348,15.311,34.664,-0.964,26.699,6.243,-4.237,16.849,2.825,22.219,0.0,0.0,0.0
1584.0,63.36,-0.302,26.304,-0.494,-16.084,35.214,-1.242,-27.017,8.303,-4.624,-18.486,1.679,21.396,15.285,34.658,-0.998,26.673,6.235,-4.272,16.894,2.891,22.224,0.0,0.0,0.0
1585.0,63.4,-0.323,26.298,-0.504,-16.112,35.193,-1.222,-26.998,8.262,-4.575,-18.456,1.76,21.471,15.26,34.657,-1.034,26.637,6.228,-4.313,16.969,3.002,22.24,0.0,0.0,0.0
1586.0,63.44,-0.334,26.282,-0.527,-16.122,35.175,-1.231,-26.965,8.22,-4.527,-18.498,1.96,21.61,15.251,34.635,-1.079,26.599,6.197,-4.335,17.022,3.194,22.286,0.0,0.0,0.0
1587.0,63.48,-0.342,26.268,-0.563,-16.134,35.156,-1.25,-26.947,8.175,-4.482,-18.559,2.377,21.816,15.24,34.621,-1.143,26.555,6.177,-4.349,17.124,3.56,22.381,0.0,0.0,0.0
1588.0,63.52,-0.348,26.253,-0.613,-16.15,35.148,-1.267,-26.933,8.146,-4.362,-18.49,3.163,22.114,15.234,34.623,-1.212,26.554,6.193,-4.256,17.199,4.218,22.601,0.0,0.0,0.0
1589.0,63.56,-0.353,26.247,-0.671,-16.157,35.175,-1.257,-26.913,8.117,-3.987,-18.231,4.582,22.677,15.235,34.623,-1.247,26.71,6.204,-3.898,17.103,5.576,23.072,0.0,0.0,0.0
1590.0,63.6,-0.349,26.255,-0.702,-16.145,35.228,-1.191,-26.912,8.015,-3.099,-17.636,7.027,23.605,15.255,34.657,-1.203,27.017,6.212,-3.031,16.771,7.689,23.831,0.0,0.0,0.0
1591.0,63.64,-0.328,26.264,-0.719,-16.114,35.293,-1.123,-26.767,7.829,-1.51,-16.738,10.398,24.754,15.288,34.714,-1.155,27.196,6.144,-1.529,16.407,10.46,24.79,0.0,0.0,0.0
1592.0,63.68,-0.306,26.254,-0.724,-16.076,35.355,-1.053,-26.335,7.607,0.825,-15.529,14.292,25.94,15.341,34.736,-1.102,26.958,5.985,0.535,15.711,13.864,25.752,0.0,0.0,0.0
1593.0,63.72,-0.282,26.214,-0.728,-16.05,35.387,-0.974,-25.67,7.53,3.733,-13.966,18.324,26.797,15.397,34.69,-1.05,26.499,5.934,3.029,14.789,17.603,26.429,0.0,0.0,0.0
1594.0,63.76,-0.274,26.176,-0.725,-16.04,35.429,-0.863,-24.835,7.74,6.798,-12.26,22.174,27.166,15.44,34.625,-0.975,25.951,6.078,5.657,13.797,21.12,26.7,0.0,0.0,0.0
1595.0,63.8,-0.276,26.166,-0.712,-16.03,35.499,-0.735,-23.985,8.271,9.524,-10.676,25.309,27.153,15.458,34.634,-0.863,25.485,6.479,7.927,12.913,24.018,26.545,0.0,0.0,0.0
1596.0,63.84,-0.273,26.181,-0.69,-15.979,35.597,-0.598,-23.249,8.939,11.646,-9.372,27.611,26.981,15.474,34.696,-0.759,25.16,6.969,9.589,12.34,26.222,26.1,0.0,0.0,0.0
1597.0,63.88,-0.277,26.188,-0.664,-15.956,35.65,-0.508,-22.7,9.488,13.059,-8.521,29.198,26.707,15.481,34.729,-0.736,24.953,7.378,10.607,12.11,27.792,25.496,0.0,0.0,0.0
1598.0,63.92,-0.28,26.184,-0.664,-15.95,35.664,-0.445,-22.313,9.807,13.867,-8.113,30.223,26.38,15.476,34.76,-0.78,24.849,7.625,11.054,12.263,28.791,24.966,0.0,0.0,0.0
1599.0,63.96,-0.286,26.189,-0.666,-15.957,35.674,-0.41,-22.091,9.993,14.281,-7.951,30.887,25.997,15.475,34.775,-0.84,24.844,7.728,11.113,12.611,29.324,24.597,0.0,0.0,0.0
1600.0,64.0,-0.296,26.188,-0.68,-15.964,35.661,-0.423,-22.097,10.102,14.466,-7.759,31.107,25.734,15.464,34.783,-0.883,24.989,7.741,10.946,12.907,29.471,24.287,0.0,0.0,0.0
