Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1841.0,73.64,-0.167,26.0,-1.024,-16.051,34.617,-1.901,-26.869,7.152,-3.53,-17.965,5.472,23.01,15.4,34.263,-1.231,26.27,5.471,-2.433,16.388,6.307,24.18,0.0,0.0,0.0
1842.0,73.68,-0.172,26.007,-1.016,-16.057,34.622,-1.902,-26.864,7.155,-3.526,-17.977,5.472,23.019,15.395,34.273,-1.224,26.288,5.485,-2.426,16.36,6.329,24.167,0.0,0.0,0.0
1843.0,73.72,-0.173,26.012,-1.013,-16.055,34.63,-1.91,-26.876,7.167,-3.512,-17.96,5.499,23.026,15.396,34.275,-1.224,26.32,5.494,-2.418,16.327,6.338,24.15,0.0,0.0,0.0
1844.0,73.76,-0.167,26.014,-1.012,-16.043,34.645,-1.921,-26.925,7.196,-3.489,-17.893,5.501,23.013,15.407,34.266,-1.217,26.349,5.493,-2.405,16.297,6.357,24.137,0.0,0.0,0.0
1845.0,73.8,-0.15,26.016,-1.018,-16.017,34.665,-1.925,-26.943,7.228,-3.453,-17.865,5.508,23.04,15.435,34.248,-1.222,26.402,5.49,-2.385,16.267,6.475,24.114,0.0,0.0,0.0
1846.0,73.84,-0.136,26.016,-1.04,-15.995,34.696,-1.924,-26.918,7.276,-3.354,-17.961,5.535,23.177,15.464,34.223,-1.271,26.524,5.505,-2.254,16.093,6.868,24.111,0.0,0.0,0.0
1847.0,73.88,-0.122,26.008,-1.082,-15.976,34.725,-1.959,-26.827,7.278,-2.911,-18.31,6.131,23.725,15.481,34.214,-1.338,26.769,5.586,-1.686,15.486,7.649,24.313,0.0,0.0,0.0
1848.0,73.92,-0.096,25.978,-1.14,-15.94,34.732,-2.05,-26.784,7.238,-1.719,-18.229,7.625,24.678,15.499,34.229,-1.39,27.148,5.764,-0.492,14.531,8.639,24.854,0.0,0.0,0.0
1849.0,73.96,-0.073,25.942,-1.197,-15.911,34.736,-2.13,-26.841,7.291,0.342,-17.332,10.36,25.725,15.51,34.249,-1.401,27.464,6.03,1.326,13.872,10.129,25.975,0.0,0.0,0.0
1850.0,74.0,-0.064,25.919,-1.232,-15.88,34.809,-2.092,-26.737,7.556,2.867,-15.969,13.502,26.825,15.523,34.242,-1.377,27.523,6.341,3.493,13.384,12.404,27.37,0.0,0.0,0.0
1851.0,74.04,-0.044,25.898,-1.245,-15.819,34.921,-1.977,-26.372,8.0,5.234,-14.777,16.668,28.012,15.568,34.218,-1.41,27.363,6.759,5.807,12.853,15.391,28.623,0.0,0.0,0.0
1852.0,74.08,-0.003,25.869,-1.258,-15.729,35.003,-1.922,-25.986,8.612,7.573,-13.369,20.011,28.952,15.626,34.198,-1.453,27.029,7.369,8.141,12.243,18.653,29.532,0.0,0.0,0.0
1853.0,74.12,0.03,25.834,-1.286,-15.651,35.042,-1.904,-25.669,9.497,10.008,-11.772,23.356,29.242,15.653,34.196,-1.49,26.65,8.194,10.381,11.513,21.857,30.014,0.0,0.0,0.0
1854.0,74.16,0.062,25.807,-1.34,-15.552,35.1,-1.906,-25.354,10.622,12.267,-10.286,26.314,29.058,15.672,34.224,-1.563,26.369,9.216,12.387,10.651,24.764,30.01,0.0,0.0,0.0
1855.0,74.2,0.086,25.796,-1.412,-15.474,35.191,-1.962,-25.188,11.875,14.159,-8.778,28.551,28.616,15.689,34.264,-1.639,26.165,10.288,14.032,9.765,27.196,29.595,0.0,0.0,0.0
1856.0,74.24,0.089,25.771,-1.498,-15.41,35.243,-2.043,-25.074,13.011,15.581,-7.553,30.069,28.106,15.675,34.279,-1.745,26.029,11.231,15.235,8.956,29.028,28.904,0.0,0.0,0.0
1857.0,74.28,0.091,25.752,-1.601,-15.371,35.287,-2.137,-24.975,13.87,16.506,-6.676,31.006,27.721,15.67,34.271,-1.879,25.977,11.935,15.989,8.348,30.231,28.107,0.0,0.0,0.0
1858.0,74.32,0.092,25.735,-1.715,-15.352,35.302,-2.246,-24.915,14.406,16.978,-6.178,31.479,27.547,15.67,34.247,-2.044,25.985,12.392,16.332,7.923,30.945,27.325,0.0,0.0,0.0
1859.0,74.36,0.088,25.716,-1.829,-15.346,35.286,-2.376,-24.918,14.672,17.117,-5.948,31.581,27.564,15.658,34.237,-2.204,26.043,12.631,16.386,7.71,31.262,26.726,0.0,0.0,0.0
1860.0,74.4,0.089,25.705,-1.934,-15.353,35.254,-2.493,-24.942,14.713,17.05,-5.932,31.56,27.539,15.649,34.232,-2.359,26.09,12.67,16.217,7.755,31.32,26.523,0.0,0.0,0.0
1861.0,74.44,0.083,25.689,-2.012,-15.364,35.218,-2.582,-24.984,14.681,16.924,-5.936,31.488,27.406,15.631,34.225,-2.471,26.19,12.65,16.026,7.849,31.197,26.521,0.0,0.0,0.0
