Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3487.000;139.480;0.061;7.248;-0.182;0.055;14.073;-0.305;-0.038;26.150;-0.461;-0.232;42.031;-1.234;-0.387;46.305;1.793;-0.216;52.765;2.915;-7.148;56.763;3.578;6.627;56.962;3.138;-3.344;59.014;10.883;3.233;59.108;10.674;-1.678;36.809;-2.627;-15.717;35.142;-1.699;-20.718;22.212;-3.361;-26.245;7.921;-5.197;-22.126;5.448;6.863;-17.539;2.483;21.007;-18.385;0.999;21.833;-16.079;-1.401;28.518;-15.098;-1.300;30.789;-14.228;-1.554;33.250;-13.618;-1.359;34.794;-18.284;1.836;21.900;-16.474;1.051;29.129;-14.321;1.190;32.611;-13.091;1.470;35.252;-12.209;1.603;37.092;-17.219;3.012;21.477;-15.914;3.488;29.448;-13.992;3.533;33.013;-12.007;3.766;35.746;-10.934;3.836;37.626;-17.277;4.067;21.271;-15.173;5.685;28.795;-12.853;5.641;31.923;-11.156;5.596;34.164;-10.026;5.226;35.852;-15.998;4.451;22.914;-14.752;7.500;24.363;-12.986;8.324;26.172;-12.357;10.848;27.195;1.542;36.859;-2.417;15.626;34.522;-0.159;21.202;21.159;-1.739;27.365;6.389;-3.486;21.933;5.369;8.133;15.620;3.780;22.385;15.281;1.962;23.205;13.130;-0.206;29.232;11.760;-1.277;31.654;10.074;-1.766;33.355;8.768;-2.087;34.404;15.356;2.851;23.402;14.057;2.008;29.888;12.115;1.241;33.739;9.664;0.926;36.001;7.998;0.896;37.274;14.897;4.087;23.649;14.156;4.258;30.747;12.222;3.739;34.951;9.859;3.543;36.827;7.938;3.617;37.866;14.970;5.000;23.547;13.770;6.768;30.535;11.579;6.953;33.683;9.420;6.668;35.115;7.412;6.505;36.067;14.467;5.906;24.043;14.008;9.136;26.081;12.685;10.142;28.951;11.706;12.437;30.111;0.000;0.000;0.000;-7.664;-12.197;-1.055;-10.586;-32.906;-0.165;-14.016;-57.217;0.881;-14.548;-101.424;-7.407;7.545;-12.409;-1.224;9.467;-33.071;-0.203;11.722;-57.326;0.995;11.434;-101.710;-8.111
3488.000;139.520;0.061;7.251;-0.182;0.055;14.078;-0.302;-0.038;26.158;-0.448;-0.237;42.039;-1.214;-0.394;46.309;1.809;-0.232;52.765;2.927;-7.166;56.759;3.596;6.608;56.968;3.136;-3.353;59.019;10.894;3.224;59.119;10.674;-1.682;36.818;-2.610;-15.720;35.145;-1.677;-20.720;22.214;-3.356;-26.245;7.923;-5.213;-22.113;5.434;6.844;-17.513;2.446;20.981;-18.364;0.966;21.805;-16.052;-1.442;28.489;-15.059;-1.360;30.754;-14.208;-1.625;33.213;-13.594;-1.439;34.757;-18.266;1.803;21.874;-16.452;0.998;29.104;-14.292;1.117;32.580;-13.056;1.407;35.220;-12.174;1.532;37.061;-17.211;2.969;21.459;-15.897;3.457;29.425;-13.984;3.467;33.000;-12.018;3.721;35.723;-10.911;3.771;37.584;-17.267;4.020;21.252;-15.151;5.640;28.772;-12.835;5.558;31.908;-11.128;5.506;34.130;-9.976;5.104;35.796;-15.978;4.418;22.898;-14.718;7.449;24.352;-12.985;8.276;26.182;-12.300;10.797;27.174;1.538;36.868;-2.400;15.625;34.534;-0.147;21.197;21.170;-1.738;27.356;6.399;-3.496;21.910;5.372;8.115;15.580;3.770;22.357;15.230;1.954;23.176;13.069;-0.215;29.196;11.701;-1.282;31.619;10.009;-1.771;33.319;8.705;-2.085;34.374;15.310;2.843;23.375;14.011;1.997;29.855;12.050;1.233;33.696;9.602;0.922;35.966;7.936;0.900;37.240;14.861;4.081;23.622;14.111;4.219;30.720;12.175;3.704;34.920;9.808;3.528;36.794;7.883;3.608;37.826;14.940;4.993;23.522;13.748;6.761;30.515;11.529;6.932;33.660;9.376;6.642;35.075;7.361;6.496;36.017;14.435;5.903;24.032;13.987;9.133;26.061;12.628;10.126;28.934;11.699;12.436;30.107;0.000;0.000;0.000;-7.664;-12.197;-1.053;-10.586;-32.906;-0.155;-14.017;-57.217;0.899;-14.549;-101.423;-7.387;7.545;-12.409;-1.226;9.467;-33.068;-0.198;11.724;-57.321;1.007;11.433;-101.705;-8.096
3489.000;139.560;0.061;7.253;-0.181;0.054;14.083;-0.298;-0.039;26.168;-0.436;-0.241;42.049;-1.193;-0.400;46.313;1.827;-0.245;52.763;2.941;-7.181;56.750;3.621;6.591;56.972;3.132;-3.356;59.021;10.909;3.221;59.127;10.675;-1.686;36.829;-2.590;-15.726;35.150;-1.649;-20.728;22.223;-3.336;-26.257;7.936;-5.202;-22.107;5.428;6.845;-17.482;2.421;20.972;-18.306;0.931;21.791;-16.016;-1.487;28.461;-15.037;-1.398;30.731;-14.158;-1.687;33.178;-13.522;-1.505;34.713;-18.196;1.767;21.861;-16.398;0.961;29.085;-14.226;1.065;32.550;-12.966;1.350;35.189;-12.089;1.463;37.033;-17.168;2.968;21.442;-15.860;3.396;29.419;-13.930;3.435;32.974;-11.930;3.651;35.702;-10.846;3.723;37.575;-17.233;4.022;21.244;-15.081;5.591;28.757;-12.749;5.497;31.879;-11.047;5.413;34.096;-9.882;5.008;35.752;-15.941;4.387;22.882;-14.682;7.412;24.350;-12.907;8.236;26.183;-12.278;10.765;27.192;1.535;36.880;-2.383;15.622;34.551;-0.136;21.194;21.189;-1.743;27.352;6.420;-3.518;21.896;5.379;8.088;15.551;3.762;22.324;15.206;1.936;23.133;13.031;-0.235;29.158;11.654;-1.312;31.564;9.977;-1.793;33.271;8.669;-2.115;34.319;15.279;2.825;23.333;13.972;1.960;29.813;11.994;1.195;33.645;9.552;0.879;35.912;7.884;0.866;37.184;14.830;4.075;23.589;14.086;4.190;30.686;12.132;3.673;34.881;9.758;3.493;36.742;7.833;3.577;37.773;14.910;4.987;23.491;13.690;6.713;30.488;11.515;6.894;33.622;9.329;6.582;35.006;7.285;6.444;35.884;14.399;5.892;23.983;13.964;9.108;26.051;12.605;10.094;28.892;11.673;12.367;30.132;0.000;0.000;0.000;-7.664;-12.197;-1.048;-10.590;-32.907;-0.145;-14.025;-57.218;0.915;-14.571;-101.425;-7.363;7.545;-12.409;-1.229;9.464;-33.069;-0.198;11.715;-57.323;1.013;11.413;-101.716;-8.065
3490.000;139.600;0.060;7.255;-0.181;0.053;14.087;-0.295;-0.042;26.176;-0.425;-0.247;42.057;-1.182;-0.408;46.318;1.837;-0.261;52.763;2.953;-7.198;56.747;3.652;6.572;56.978;3.116;-3.350;59.028;10.924;3.226;59.138;10.668;-1.692;36.836;-2.579;-15.731;35.157;-1.627;-20.741;22.234;-3.324;-26.278;7.950;-5.200;-22.110;5.430;6.839;-17.463;2.403;20.960;-18.297;0.913;21.776;-15.988;-1.511;28.450;-15.022;-1.405;30.719;-14.148;-1.704;33.160;-13.508;-1.530;34.695;-18.188;1.749;21.846;-16.399;0.952;29.070;-14.231;1.047;32.550;-13.012;1.330;35.197;-12.136;1.410;37.043;-17.150;2.932;21.424;-15.833;3.368;29.404;-13.945;3.407;32.978;-11.960;3.627;35.714;-10.874;3.707;37.586;-17.206;3.985;21.231;-15.067;5.563;28.756;-12.710;5.463;31.860;-11.007;5.365;34.076;-9.847;4.966;35.737;-15.905;4.372;22.888;-14.662;7.393;24.346;-12.872;8.200;26.176;-12.245;10.726;27.193;1.529;36.887;-2.372;15.618;34.560;-0.127;21.199;21.201;-1.741;27.367;6.435;-3.526;21.894;5.384;8.073;15.527;3.757;22.301;15.191;1.924;23.104;13.013;-0.258;29.120;11.633;-1.337;31.533;9.956;-1.831;33.237;8.655;-2.149;34.294;15.266;2.812;23.306;13.950;1.946;29.783;11.976;1.166;33.619;9.538;0.858;35.886;7.876;0.822;37.166;14.805;4.062;23.567;14.059;4.163;30.660;12.124;3.634;34.864;9.734;3.458;36.720;7.820;3.532;37.771;14.885;4.974;23.472;13.658;6.686;30.470;11.516;6.855;33.604;9.328;6.563;34.993;7.271;6.412;35.839;14.374;5.877;23.953;13.929;9.106;26.018;12.536;10.068;28.907;11.602;12.379;30.071;0.000;0.000;0.000;-7.663;-12.198;-1.045;-10.590;-32.906;-0.139;-14.026;-57.215;0.924;-14.575;-101.426;-7.350;7.545;-12.408;-1.230;9.466;-33.070;-0.195;11.720;-57.325;1.021;11.420;-101.716;-8.046
3491.000;139.640;0.059;7.256;-0.181;0.049;14.088;-0.293;-0.053;26.178;-0.418;-0.259;42.059;-1.172;-0.420;46.318;1.847;-0.278;52.762;2.961;-7.211;56.743;3.709;6.554;56.979;3.075;-3.312;59.027;10.953;3.261;59.140;10.650;-1.703;36.839;-2.569;-15.745;35.159;-1.617;-20.758;22.240;-3.320;-26.298;7.961;-5.202;-22.137;5.440;6.840;-17.500;2.416;20.961;-18.332;0.909;21.770;-16.002;-1.499;28.441;-15.022;-1.425;30.694;-14.134;-1.721;33.149;-13.504;-1.537;34.688;-18.223;1.745;21.838;-16.412;0.948;29.066;-14.240;1.055;32.535;-12.997;1.318;35.178;-12.114;1.436;37.019;-17.184;2.952;21.440;-15.864;3.374;29.400;-13.930;3.400;32.964;-11.926;3.652;35.675;-10.845;3.711;37.551;-17.242;4.006;21.242;-15.091;5.572;28.745;-12.682;5.453;31.829;-10.994;5.325;34.045;-9.828;4.917;35.700;-15.955;4.377;22.868;-14.691;7.397;24.355;-12.911;8.203;26.182;-12.282;10.733;27.187;1.517;36.890;-2.363;15.608;34.562;-0.119;21.197;21.204;-1.734;27.375;6.440;-3.520;21.898;5.383;8.076;15.528;3.747;22.298;15.182;1.920;23.101;13.004;-0.266;29.114;11.637;-1.345;31.534;9.961;-1.843;33.242;8.669;-2.165;34.308;15.260;2.808;23.304;13.943;1.931;29.781;11.961;1.170;33.613;9.517;0.829;35.875;7.852;0.812;37.151;14.818;4.047;23.565;14.045;4.139;30.659;12.105;3.609;34.855;9.723;3.435;36.719;7.806;3.503;37.766;14.897;4.959;23.471;13.655;6.672;30.474;11.469;6.811;33.607;9.311;6.515;34.983;7.255;6.373;35.832;14.374;5.870;23.972;13.923;9.082;26.045;12.542;10.054;28.897;11.553;12.326;30.095;0.000;0.000;0.000;-7.663;-12.199;-1.043;-10.591;-32.907;-0.134;-14.029;-57.216;0.933;-14.583;-101.425;-7.331;7.546;-12.408;-1.230;9.468;-33.069;-0.191;11.725;-57.323;1.029;11.426;-101.715;-8.031
3492.000;139.680;0.058;7.257;-0.181;0.046;14.090;-0.293;-0.061;26.181;-0.417;-0.268;42.062;-1.172;-0.430;46.322;1.852;-0.288;52.766;2.979;-7.214;56.746;3.800;6.544;56.985;3.010;-3.234;59.040;10.996;3.336;59.155;10.619;-1.712;36.841;-2.569;-15.750;35.161;-1.606;-20.776;22.245;-3.313;-26.330;7.970;-5.200;-22.171;5.450;6.842;-17.535;2.429;20.965;-18.373;0.949;21.783;-16.052;-1.482;28.452;-15.082;-1.379;30.711;-14.182;-1.697;33.161;-13.552;-1.517;34.700;-18.272;1.786;21.856;-16.455;0.951;29.071;-14.301;1.074;32.552;-13.053;1.341;35.196;-12.190;1.449;37.047;-17.224;2.964;21.440;-15.901;3.385;29.403;-13.965;3.429;32.963;-12.005;3.668;35.708;-10.938;3.744;37.591;-17.289;4.013;21.239;-15.128;5.588;28.750;-12.728;5.448;31.819;-10.994;5.322;34.025;-9.794;4.936;35.660;-15.988;4.389;22.871;-14.718;7.412;24.358;-12.932;8.211;26.179;-12.280;10.737;27.181;1.509;36.893;-2.363;15.601;34.567;-0.119;21.195;21.210;-1.733;27.377;6.447;-3.517;21.901;5.392;8.081;15.529;3.756;22.307;15.172;1.928;23.105;13.012;-0.265;29.106;11.647;-1.334;31.543;9.994;-1.832;33.269;8.710;-2.150;34.346;15.252;2.816;23.310;13.949;1.913;29.777;12.002;1.141;33.623;9.561;0.826;35.901;7.901;0.791;37.183;14.811;4.082;23.571;14.069;4.140;30.669;12.138;3.584;34.873;9.746;3.416;36.728;7.829;3.506;37.774;14.901;4.994;23.482;13.676;6.667;30.485;11.509;6.811;33.621;9.329;6.508;34.988;7.256;6.362;35.794;14.412;5.879;23.999;13.927;9.101;26.052;12.545;10.060;28.922;11.554;12.343;30.094;0.000;0.000;0.000;-7.661;-12.199;-1.044;-10.588;-32.906;-0.130;-14.024;-57.213;0.944;-14.573;-101.424;-7.316;7.548;-12.407;-1.228;9.466;-33.069;-0.185;11.719;-57.324;1.039;11.414;-101.713;-8.016
3493.000;139.720;0.057;7.257;-0.182;0.043;14.089;-0.295;-0.068;26.180;-0.419;-0.281;42.061;-1.170;-0.442;46.322;1.856;-0.296;52.765;2.984;-7.213;56.746;3.872;6.537;56.984;2.947;-3.162;59.043;11.028;3.404;59.156;10.587;-1.724;36.840;-2.568;-15.761;35.156;-1.601;-20.788;22.242;-3.312;-26.345;7.969;-5.204;-22.199;5.453;6.845;-17.578;2.436;20.973;-18.420;0.944;21.785;-16.087;-1.461;28.468;-15.153;-1.363;30.720;-14.242;-1.675;33.166;-13.593;-1.494;34.697;-18.316;1.781;21.855;-16.515;0.960;29.080;-14.353;1.091;32.556;-13.108;1.360;35.194;-12.240;1.465;37.043;-17.274;2.960;21.451;-15.966;3.423;29.408;-14.044;3.428;32.987;-12.063;3.700;35.715;-11.017;3.763;37.610;-17.329;4.007;21.247;-15.176;5.599;28.752;-12.801;5.466;31.826;-11.064;5.339;34.040;-9.843;5.000;35.670;-16.028;4.392;22.880;-14.776;7.423;24.366;-12.974;8.219;26.199;-12.335;10.751;27.194;1.497;36.893;-2.363;15.591;34.572;-0.124;21.188;21.217;-1.741;27.373;6.457;-3.529;21.916;5.413;8.078;15.569;3.791;22.313;15.219;1.970;23.107;13.026;-0.223;29.114;11.683;-1.248;31.565;10.026;-1.717;33.309;8.749;-2.016;34.401;15.314;2.855;23.317;13.980;1.972;29.791;12.024;1.183;33.623;9.598;0.898;35.907;7.923;0.880;37.168;14.860;4.103;23.583;14.127;4.172;30.682;12.193;3.637;34.876;9.810;3.472;36.734;7.893;3.567;37.781;14.954;5.015;23.494;13.787;6.686;30.506;11.612;6.834;33.645;9.431;6.526;35.008;7.355;6.416;35.813;14.452;5.924;24.004;14.030;9.141;26.078;12.675;10.101;29.003;11.643;12.408;30.091;0.000;0.000;0.000;-7.660;-12.200;-1.044;-10.585;-32.907;-0.127;-14.019;-57.214;0.949;-14.565;-101.428;-7.300;7.549;-12.407;-1.228;9.470;-33.068;-0.184;11.725;-57.322;1.042;11.426;-101.716;-8.014
3494.000;139.760;0.055;7.256;-0.183;0.040;14.088;-0.299;-0.074;26.177;-0.432;-0.291;42.058;-1.188;-0.451;46.322;1.838;-0.303;52.770;2.965;-7.206;56.764;3.897;6.536;56.977;2.873;-3.100;59.062;11.021;3.462;59.164;10.532;-1.733;36.836;-2.584;-15.767;35.151;-1.612;-20.795;22.236;-3.324;-26.353;7.962;-5.217;-22.227;5.465;6.837;-17.635;2.465;20.973;-18.481;0.975;21.785;-16.157;-1.430;28.475;-15.188;-1.370;30.728;-14.317;-1.650;33.180;-13.675;-1.472;34.714;-18.381;1.813;21.856;-16.574;1.001;29.085;-14.427;1.119;32.566;-13.192;1.396;35.211;-12.339;1.519;37.065;-17.351;2.972;21.461;-16.053;3.435;29.420;-14.123;3.463;32.997;-12.156;3.741;35.735;-11.119;3.795;37.635;-17.389;4.027;21.254;-15.253;5.622;28.762;-12.861;5.480;31.848;-11.136;5.381;34.039;-9.934;4.989;35.672;-16.078;4.419;22.884;-14.830;7.445;24.373;-13.060;8.242;26.210;-12.418;10.768;27.218;1.488;36.890;-2.380;15.586;34.569;-0.146;21.178;21.213;-1.772;27.359;6.452;-3.570;21.937;5.439;8.054;15.625;3.856;22.310;15.265;2.038;23.103;13.084;-0.134;29.117;11.673;-1.149;31.553;10.018;-1.594;33.301;8.745;-1.877;34.400;15.375;2.920;23.316;14.034;2.032;29.787;12.039;1.265;33.607;9.611;1.030;35.883;7.947;1.033;37.160;14.926;4.157;23.585;14.197;4.229;30.682;12.267;3.697;34.878;9.887;3.570;36.739;7.973;3.682;37.788;15.029;5.067;23.497;13.918;6.729;30.516;11.721;6.903;33.657;9.539;6.621;35.023;7.450;6.546;35.795;14.534;5.994;23.990;14.160;9.204;26.102;12.817;10.179;29.001;11.809;12.481;30.121;0.000;0.000;0.000;-7.658;-12.201;-1.041;-10.580;-32.907;-0.124;-14.009;-57.213;0.953;-14.551;-101.426;-7.292;7.550;-12.405;-1.229;9.476;-33.066;-0.185;11.735;-57.319;1.041;11.441;-101.714;-8.016
3495.000;139.800;0.055;7.253;-0.184;0.038;14.083;-0.303;-0.078;26.168;-0.443;-0.300;42.049;-1.200;-0.458;46.317;1.826;-0.303;52.773;2.947;-7.196;56.776;3.915;6.540;56.972;2.811;-3.047;59.077;11.013;3.513;59.170;10.486;-1.741;36.826;-2.595;-15.775;35.136;-1.620;-20.796;22.218;-3.338;-26.346;7.941;-5.236;-22.242;5.460;6.830;-17.673;2.489;20.977;-18.514;0.994;21.784;-16.187;-1.421;28.484;-15.254;-1.295;30.743;-14.385;-1.599;33.197;-13.742;-1.430;34.731;-18.419;1.831;21.854;-16.627;1.037;29.084;-14.498;1.159;32.583;-13.255;1.433;35.231;-12.432;1.568;37.099;-17.358;3.014;21.451;-16.113;3.490;29.422;-14.180;3.499;32.999;-12.256;3.768;35.767;-11.225;3.847;37.669;-17.418;4.062;21.245;-15.326;5.657;28.765;-12.917;5.529;31.848;-11.220;5.412;34.062;-10.031;5.046;35.709;-16.118;4.438;22.885;-14.898;7.470;24.382;-13.133;8.261;26.254;-12.468;10.794;27.229;1.480;36.881;-2.392;15.576;34.565;-0.166;21.164;21.210;-1.797;27.341;6.449;-3.599;21.955;5.468;8.041;15.678;3.921;22.316;15.284;2.109;23.102;13.140;-0.040;29.126;11.715;-1.074;31.557;10.046;-1.527;33.302;8.779;-1.804;34.409;15.407;2.988;23.319;14.087;2.111;29.792;12.083;1.315;33.608;9.635;1.105;35.878;8.000;1.152;37.191;14.993;4.207;23.598;14.271;4.275;30.699;12.362;3.761;34.893;9.990;3.650;36.771;8.071;3.803;37.807;15.101;5.118;23.513;14.039;6.782;30.540;11.868;6.967;33.688;9.634;6.692;35.024;7.567;6.637;35.857;14.645;6.068;24.020;14.311;9.269;26.142;12.993;10.259;29.048;12.007;12.565;30.182;0.000;0.000;0.000;-7.658;-12.202;-1.036;-10.576;-32.908;-0.117;-14.002;-57.214;0.963;-14.539;-101.425;-7.289;7.551;-12.405;-1.230;9.479;-33.066;-0.182;11.743;-57.320;1.048;11.451;-101.715;-8.005
