Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3452.000;138.080;0.024;7.196;-0.265;-0.004;13.973;-0.470;-0.119;25.965;-0.779;-0.612;41.840;-1.538;-0.674;46.078;1.501;-0.314;52.473;2.690;-7.127;56.504;4.033;6.570;56.604;2.503;-2.731;58.479;11.081;3.810;58.527;10.350;-2.003;36.594;-2.895;-16.099;34.361;-1.399;-21.060;21.207;-2.471;-26.543;6.669;-3.655;-22.529;4.323;8.435;-18.059;1.484;22.715;-18.670;-0.171;23.195;-14.970;-4.333;28.250;-13.774;-5.325;30.195;-12.763;-6.883;31.975;-11.943;-7.481;33.304;-18.596;0.615;23.498;-15.353;-2.237;29.702;-13.069;-3.326;32.919;-11.422;-4.070;35.297;-10.418;-4.752;36.943;-17.900;1.940;23.351;-14.637;0.181;30.740;-12.406;-0.571;33.993;-10.541;-1.155;36.725;-9.445;-1.526;38.555;-17.998;3.007;23.511;-14.233;2.557;30.768;-11.814;1.955;33.736;-10.132;1.513;35.920;-8.876;0.965;37.464;-16.379;3.141;24.911;-14.798;5.592;27.180;-12.888;6.394;29.010;-13.150;8.676;30.601;1.220;36.700;-2.771;15.415;34.291;-0.590;21.003;20.732;-1.692;27.179;5.745;-2.911;22.674;3.445;8.997;17.588;0.311;23.516;17.395;-1.544;24.269;15.332;-4.331;30.091;13.821;-5.650;32.312;12.072;-6.322;33.819;10.731;-6.699;34.802;17.473;-0.675;24.544;16.320;-2.154;30.945;13.669;-3.120;34.347;10.871;-3.551;36.136;9.065;-3.668;37.198;16.867;0.473;24.834;16.388;0.096;31.886;13.894;-0.716;35.752;11.421;-0.962;37.491;9.467;-0.990;38.470;16.897;1.393;24.798;16.094;2.679;31.921;14.283;2.590;35.342;12.416;2.207;37.111;10.627;1.943;38.415;16.478;2.281;25.348;16.241;5.430;27.437;15.595;6.581;30.381;15.155;9.152;31.258;0.000;0.000;0.000;-7.630;-12.243;-0.702;-9.843;-33.083;0.352;-12.436;-57.549;1.585;-11.606;-101.812;-6.112;7.569;-12.387;-1.304;9.469;-33.197;0.128;11.704;-57.625;1.809;11.111;-102.120;-6.876
3453.000;138.120;0.024;7.198;-0.265;-0.005;13.976;-0.471;-0.121;25.969;-0.779;-0.612;41.844;-1.546;-0.672;46.082;1.491;-0.312;52.476;2.679;-7.124;56.511;4.021;6.573;56.604;2.493;-2.728;58.484;11.069;3.813;58.529;10.340;-2.005;36.597;-2.900;-16.100;34.367;-1.394;-21.067;21.214;-2.459;-26.557;6.678;-3.637;-22.535;4.331;8.450;-18.056;1.491;22.726;-18.670;-0.172;23.200;-14.962;-4.318;28.265;-13.761;-5.308;30.218;-12.752;-6.876;31.988;-11.934;-7.487;33.312;-18.590;0.615;23.499;-15.356;-2.230;29.713;-13.059;-3.331;32.929;-11.404;-4.063;35.299;-10.384;-4.760;36.929;-17.902;1.932;23.367;-14.582;0.204;30.746;-12.404;-0.561;34.008;-10.511;-1.173;36.722;-9.400;-1.540;38.544;-17.991;3.004;23.523;-14.233;2.562;30.781;-11.804;1.959;33.744;-10.150;1.494;35.939;-8.879;0.925;37.463;-16.325;3.142;24.916;-14.782;5.603;27.186;-12.869;6.400;29.023;-13.127;8.689;30.604;1.219;36.703;-2.777;15.415;34.291;-0.602;21.001;20.730;-1.699;27.176;5.741;-2.911;22.674;3.448;8.998;17.596;0.325;23.520;17.406;-1.535;24.270;15.365;-4.311;30.099;13.822;-5.634;32.315;12.090;-6.311;33.827;10.731;-6.691;34.785;17.484;-0.666;24.544;16.330;-2.128;30.953;13.666;-3.110;34.348;10.872;-3.535;36.140;9.070;-3.652;37.207;16.873;0.497;24.838;16.395;0.123;31.895;13.884;-0.684;35.749;11.427;-0.940;37.499;9.469;-0.968;38.470;16.907;1.417;24.802;16.103;2.690;31.925;14.308;2.606;35.351;12.426;2.232;37.123;10.637;1.958;38.424;16.489;2.287;25.340;16.250;5.436;27.432;15.600;6.592;30.398;15.165;9.172;31.252;0.000;0.000;0.000;-7.629;-12.244;-0.699;-9.840;-33.086;0.362;-12.432;-57.553;1.603;-11.594;-101.813;-6.096;7.569;-12.386;-1.306;9.472;-33.195;0.131;11.710;-57.622;1.818;11.120;-102.118;-6.858
3454.000;138.160;0.023;7.199;-0.265;-0.007;13.978;-0.471;-0.124;25.973;-0.779;-0.620;41.847;-1.553;-0.680;46.084;1.481;-0.322;52.476;2.665;-7.134;56.508;4.007;6.563;56.605;2.476;-2.738;58.484;11.054;3.803;58.531;10.323;-2.012;36.600;-2.903;-16.106;34.366;-1.391;-21.071;21.214;-2.452;-26.559;6.679;-3.625;-22.535;4.332;8.461;-18.052;1.494;22.736;-18.672;-0.149;23.228;-14.955;-4.329;28.265;-13.751;-5.307;30.222;-12.750;-6.872;31.979;-11.901;-7.465;33.293;-18.603;0.637;23.534;-15.362;-2.224;29.724;-13.071;-3.330;32.944;-11.391;-4.057;35.293;-10.347;-4.779;36.897;-17.907;1.938;23.374;-14.609;0.181;30.754;-12.432;-0.552;34.034;-10.515;-1.179;36.717;-9.356;-1.556;38.507;-17.995;3.014;23.529;-14.237;2.561;30.792;-11.792;1.977;33.750;-10.136;1.499;35.938;-8.863;0.931;37.461;-16.373;3.158;24.926;-14.775;5.609;27.186;-12.873;6.399;29.033;-13.104;8.704;30.596;1.212;36.706;-2.782;15.409;34.298;-0.612;20.997;20.737;-1.707;27.174;5.749;-2.917;22.676;3.455;8.993;17.603;0.332;23.516;17.410;-1.512;24.275;15.397;-4.303;30.095;13.837;-5.622;32.315;12.100;-6.303;33.824;10.743;-6.685;34.784;17.494;-0.645;24.552;16.344;-2.119;30.951;13.678;-3.106;34.346;10.880;-3.528;36.138;9.080;-3.653;37.206;16.880;0.502;24.833;16.398;0.126;31.888;13.894;-0.669;35.745;11.430;-0.941;37.494;9.483;-0.968;38.487;16.914;1.422;24.797;16.112;2.700;31.918;14.316;2.611;35.348;12.438;2.236;37.120;10.654;1.970;38.427;16.479;2.297;25.325;16.258;5.441;27.434;15.610;6.600;30.399;15.177;9.184;31.240;0.000;0.000;0.000;-7.628;-12.245;-0.694;-9.836;-33.088;0.369;-12.424;-57.556;1.613;-11.584;-101.813;-6.080;7.570;-12.385;-1.307;9.477;-33.196;0.134;11.720;-57.625;1.826;11.130;-102.120;-6.846
3455.000;138.200;0.023;7.199;-0.266;-0.007;13.979;-0.473;-0.125;25.975;-0.782;-0.620;41.849;-1.560;-0.679;46.087;1.472;-0.318;52.477;2.655;-7.129;56.509;4.003;6.566;56.607;2.457;-2.725;58.489;11.045;3.815;58.535;10.307;-2.013;36.602;-2.909;-16.107;34.371;-1.391;-21.081;21.220;-2.445;-26.578;6.685;-3.611;-22.551;4.342;8.474;-18.064;1.505;22.746;-18.690;-0.137;23.244;-14.954;-4.302;28.280;-13.712;-5.300;30.211;-12.720;-6.835;31.975;-11.847;-7.411;33.279;-18.618;0.649;23.550;-15.360;-2.217;29.729;-13.060;-3.307;32.952;-11.358;-4.033;35.284;-10.277;-4.761;36.860;-17.927;1.948;23.391;-14.610;0.218;30.771;-12.415;-0.548;34.042;-10.441;-1.181;36.666;-9.224;-1.575;38.413;-18.017;3.018;23.547;-14.243;2.572;30.803;-11.781;1.976;33.748;-10.126;1.495;35.898;-8.768;0.934;37.349;-16.393;3.176;24.960;-14.737;5.630;27.173;-12.778;6.411;28.982;-12.969;8.735;30.521;1.211;36.708;-2.789;15.409;34.298;-0.624;20.998;20.740;-1.716;27.175;5.754;-2.922;22.676;3.459;8.987;17.602;0.331;23.507;17.403;-1.525;24.263;15.338;-4.311;30.090;13.835;-5.617;32.319;12.096;-6.306;33.815;10.737;-6.686;34.773;17.482;-0.656;24.538;16.332;-2.127;30.941;13.672;-3.100;34.340;10.875;-3.533;36.127;9.072;-3.653;37.193;16.880;0.517;24.824;16.392;0.126;31.886;13.898;-0.677;35.745;11.425;-0.935;37.479;9.469;-0.953;38.455;16.919;1.437;24.790;16.104;2.703;31.912;14.323;2.609;35.342;12.428;2.251;37.116;10.644;1.970;38.422;16.477;2.302;25.328;16.256;5.445;27.427;15.610;6.600;30.373;15.194;9.173;31.256;0.000;0.000;0.000;-7.628;-12.245;-0.692;-9.832;-33.087;0.373;-12.414;-57.554;1.619;-11.568;-101.818;-6.071;7.570;-12.385;-1.310;9.482;-33.193;0.134;11.729;-57.620;1.830;11.145;-102.120;-6.837
3456.000;138.240;0.022;7.199;-0.268;-0.008;13.979;-0.476;-0.128;25.976;-0.787;-0.624;41.849;-1.571;-0.683;46.088;1.461;-0.323;52.478;2.647;-7.134;56.513;3.993;6.561;56.605;2.445;-2.728;58.496;11.032;3.812;58.540;10.293;-2.016;36.601;-2.918;-16.112;34.371;-1.398;-21.085;21.218;-2.442;-26.580;6.681;-3.595;-22.557;4.335;8.490;-18.080;1.498;22.762;-18.690;-0.158;23.253;-14.941;-4.312;28.286;-13.664;-5.307;30.196;-12.611;-6.830;31.950;-11.710;-7.417;33.231;-18.615;0.630;23.554;-15.350;-2.215;29.743;-13.073;-3.385;32.960;-11.269;-4.104;35.219;-10.125;-4.842;36.745;-17.943;1.938;23.405;-14.599;0.206;30.794;-12.400;-0.653;34.068;-10.329;-1.288;36.582;-8.976;-1.730;38.214;-18.026;3.004;23.557;-14.251;2.560;30.803;-11.807;1.927;33.746;-10.050;1.383;35.837;-8.667;0.779;37.247;-16.413;3.187;25.020;-14.551;5.618;27.105;-12.461;6.356;28.773;-12.458;8.726;30.252;1.207;36.708;-2.798;15.403;34.304;-0.633;20.997;20.744;-1.717;27.180;5.756;-2.915;22.681;3.456;8.993;17.601;0.324;23.515;17.401;-1.532;24.268;15.337;-4.324;30.091;13.828;-5.641;32.308;12.101;-6.323;33.814;10.736;-6.695;34.766;17.477;-0.663;24.543;16.339;-2.129;30.951;13.658;-3.109;34.336;10.860;-3.554;36.119;9.058;-3.674;37.185;16.875;0.500;24.832;16.386;0.113;31.892;13.866;-0.697;35.732;11.389;-0.940;37.460;9.445;-0.980;38.458;16.911;1.420;24.797;16.097;2.684;31.918;14.292;2.589;35.338;12.418;2.226;37.111;10.617;1.960;38.397;16.484;2.290;25.336;16.235;5.441;27.431;15.595;6.587;30.386;15.162;9.159;31.263;0.000;0.000;0.000;-7.627;-12.246;-0.687;-9.831;-33.087;0.380;-12.415;-57.554;1.630;-11.570;-101.819;-6.053;7.571;-12.385;-1.305;9.485;-33.194;0.142;11.734;-57.621;1.841;11.152;-102.119;-6.825
3457.000;138.280;0.023;7.198;-0.270;-0.006;13.977;-0.478;-0.121;25.972;-0.789;-0.617;41.845;-1.568;-0.675;46.084;1.468;-0.315;52.475;2.658;-7.127;56.509;4.005;6.568;56.605;2.456;-2.721;58.491;11.045;3.819;58.537;10.305;-2.010;36.598;-2.916;-16.104;34.364;-1.389;-21.071;21.211;-2.429;-26.562;6.673;-3.579;-22.556;4.308;8.509;-18.101;1.449;22.781;-18.730;-0.233;23.260;-14.904;-4.335;28.304;-13.595;-5.292;30.187;-12.443;-6.796;31.898;-11.460;-7.346;33.134;-18.643;0.557;23.551;-15.405;-2.264;29.770;-13.151;-3.572;32.974;-11.118;-4.333;35.014;-9.777;-5.044;36.385;-17.956;1.897;23.417;-14.668;0.129;30.837;-12.550;-0.839;34.150;-10.204;-1.576;36.399;-8.608;-2.084;37.772;-18.043;2.963;23.567;-14.312;2.500;30.808;-11.865;1.838;33.783;-10.060;1.265;35.787;-8.607;0.589;37.089;-16.426;3.189;25.107;-14.104;5.492;26.907;-11.761;5.975;28.332;-11.210;8.384;29.635;1.214;36.704;-2.797;15.412;34.301;-0.636;21.007;20.744;-1.719;27.191;5.761;-2.917;22.690;3.429;8.989;17.612;0.260;23.508;17.416;-1.591;24.257;15.365;-4.410;30.071;13.847;-5.745;32.273;12.118;-6.434;33.775;10.754;-6.819;34.724;17.490;-0.724;24.537;16.341;-2.235;30.921;13.660;-3.208;34.306;10.859;-3.664;36.079;9.049;-3.794;37.131;16.875;0.424;24.830;16.391;0.014;31.876;13.867;-0.818;35.715;11.354;-1.086;37.410;9.419;-1.130;38.425;16.905;1.344;24.798;16.088;2.577;31.917;14.267;2.476;35.330;12.401;2.091;37.094;10.589;1.813;38.360;16.480;2.215;25.318;16.214;5.350;27.445;15.559;6.481;30.410;15.095;9.046;31.292;0.000;0.000;0.000;-7.628;-12.246;-0.682;-9.826;-33.088;0.386;-12.404;-57.555;1.634;-11.549;-101.820;-6.045;7.570;-12.386;-1.306;9.488;-33.194;0.146;11.742;-57.622;1.850;11.163;-102.122;-6.809
3458.000;138.320;0.024;7.196;-0.270;-0.001;13.972;-0.483;-0.105;25.963;-0.808;-0.594;41.837;-1.577;-0.645;46.074;1.458;-0.270;52.464;2.643;-7.086;56.491;3.989;6.611;56.598;2.452;-2.688;58.469;11.034;3.853;58.520;10.301;-1.991;36.591;-2.927;-16.090;34.358;-1.374;-21.039;21.206;-2.401;-26.508;6.670;-3.536;-22.574;4.258;8.565;-18.200;1.368;22.848;-18.876;-0.324;23.360;-15.007;-4.381;28.444;-13.525;-5.295;30.276;-12.204;-6.745;31.874;-11.148;-7.246;33.070;-18.793;0.468;23.646;-15.598;-2.276;29.915;-13.343;-3.676;33.090;-10.996;-4.360;34.768;-9.284;-4.942;35.723;-18.094;1.792;23.481;-14.874;0.087;30.979;-12.973;-1.035;34.400;-10.145;-1.918;36.033;-8.215;-2.450;36.858;-18.135;2.880;23.602;-14.471;2.462;30.856;-12.235;1.781;33.956;-10.270;1.133;35.847;-8.704;0.453;37.008;-16.399;3.099;25.169;-13.511;5.044;26.586;-10.903;4.986;27.665;-9.517;7.145;28.771;1.233;36.696;-2.810;15.440;34.309;-0.670;21.028;20.748;-1.761;27.204;5.759;-2.966;22.706;3.345;8.940;17.625;0.076;23.463;17.437;-1.798;24.172;15.411;-4.667;29.966;13.881;-6.022;32.151;12.155;-6.728;33.639;10.787;-7.112;34.583;17.513;-0.932;24.455;16.388;-2.528;30.830;13.692;-3.510;34.211;10.855;-3.981;35.920;9.030;-4.122;36.944;16.905;0.188;24.792;16.407;-0.249;31.821;13.902;-1.139;35.655;11.328;-1.426;37.262;9.368;-1.487;38.227;16.925;1.109;24.767;16.091;2.283;31.887;14.262;2.102;35.287;12.372;1.686;37.025;10.559;1.386;38.285;16.444;1.998;25.326;16.079;5.071;27.498;15.367;6.119;30.505;14.800;8.656;31.407;0.000;0.000;0.000;-7.629;-12.245;-0.679;-9.825;-33.091;0.382;-12.399;-57.562;1.624;-11.532;-101.825;-6.038;7.569;-12.386;-1.312;9.495;-33.194;0.144;11.759;-57.621;1.852;11.189;-102.127;-6.801
3459.000;138.360;0.022;7.193;-0.286;0.010;13.967;-0.510;-0.052;25.953;-0.849;-0.545;41.829;-1.590;-0.579;46.056;1.444;-0.166;52.440;2.624;-6.988;56.461;3.953;6.713;56.579;2.457;-2.612;58.437;11.013;3.931;58.493;10.298;-1.943;36.584;-2.947;-16.044;34.387;-1.349;-20.908;21.224;-2.199;-26.285;6.677;-3.139;-22.579;4.311;9.021;-18.486;1.475;23.367;-19.161;-0.238;23.899;-15.143;-4.266;28.990;-13.640;-5.209;30.751;-12.239;-6.631;32.300;-11.118;-7.139;33.432;-19.082;0.555;24.185;-15.871;-2.160;30.461;-13.689;-3.606;33.695;-11.197;-4.265;35.182;-9.344;-4.768;35.884;-18.382;1.886;23.998;-15.187;0.185;31.567;-13.542;-1.082;35.127;-10.553;-1.956;36.446;-8.462;-2.402;36.795;-18.399;2.990;24.088;-14.791;2.597;31.381;-12.844;1.912;34.640;-10.801;1.259;36.479;-9.135;0.539;37.464;-16.582;3.253;25.774;-13.412;4.839;26.892;-10.715;4.300;27.623;-8.815;6.090;28.621;1.282;36.690;-2.835;15.501;34.351;-0.776;21.079;20.801;-1.823;27.244;5.825;-2.980;22.716;2.989;8.869;17.613;-0.765;23.320;17.557;-2.696;23.959;15.713;-5.708;29.699;14.120;-7.156;31.846;12.384;-7.949;33.303;11.033;-8.428;34.228;17.577;-1.829;24.249;16.520;-3.486;30.642;13.779;-4.622;33.954;10.847;-5.141;35.494;8.956;-5.308;36.386;16.888;-0.849;24.683;16.411;-1.315;31.636;13.894;-2.300;35.440;11.240;-2.720;36.895;9.213;-2.883;37.696;16.822;0.069;24.658;15.923;1.182;31.750;14.078;0.848;35.121;12.179;0.323;36.803;10.341;-0.166;37.964;16.243;0.972;25.210;15.540;3.881;27.570;14.720;4.708;30.627;13.717;7.012;31.749;0.000;0.000;0.000;-7.615;-12.256;-0.650;-9.805;-33.106;0.396;-12.372;-57.582;1.619;-11.492;-101.850;-6.014;7.583;-12.380;-1.281;9.514;-33.198;0.169;11.784;-57.636;1.872;11.225;-102.150;-6.780
3460.000;138.400;0.035;7.191;-0.291;0.036;13.963;-0.515;-0.002;25.947;-0.849;-0.483;41.824;-1.563;-0.492;46.055;1.489;-0.039;52.447;2.691;-6.865;56.477;3.972;6.844;56.581;2.549;-2.525;58.469;11.050;4.021;58.519;10.371;-1.891;36.583;-2.922;-15.988;34.372;-1.233;-20.780;21.117;-1.503;-26.076;6.466;-1.801;-22.684;4.903;10.532;-18.981;2.996;25.078;-19.506;1.320;25.685;-15.393;-2.404;30.902;-13.834;-3.501;32.563;-12.348;-5.008;33.969;-11.156;-5.528;35.021;-19.488;2.120;25.961;-16.190;-0.278;32.303;-14.113;-1.951;35.493;-11.515;-2.500;36.900;-9.570;-2.808;37.450;-18.908;3.453;25.714;-15.637;2.121;33.360;-14.096;0.998;37.017;-11.039;0.332;38.268;-8.892;0.076;38.397;-18.987;4.556;25.765;-15.481;4.670;33.092;-13.766;4.059;36.480;-11.640;3.556;38.261;-9.825;3.027;39.092;-17.135;5.023;27.440;-14.074;6.837;28.451;-11.399;6.383;29.151;-9.430;8.245;29.831;1.334;36.685;-2.823;15.559;34.367;-0.842;21.095;20.805;-1.816;27.212;5.815;-2.892;22.707;2.133;8.796;17.551;-2.725;22.981;17.755;-4.701;23.458;16.004;-8.358;28.824;14.572;-10.128;30.801;12.868;-11.243;32.098;11.556;-11.954;32.924;17.608;-3.864;23.794;16.373;-6.112;29.958;13.722;-7.723;33.121;10.777;-8.776;34.397;8.861;-9.216;35.129;16.806;-3.031;24.282;15.856;-4.052;31.128;13.481;-5.549;34.833;10.832;-6.451;36.084;8.768;-6.929;36.624;16.588;-2.136;24.306;14.999;-1.733;31.390;13.049;-2.521;34.566;11.033;-3.529;35.878;9.129;-4.371;36.673;15.863;-1.390;24.901;14.216;1.009;27.476;12.948;1.289;30.495;11.317;3.126;31.734;0.000;0.000;0.000;-7.630;-12.245;-0.668;-9.831;-33.097;0.411;-12.410;-57.576;1.673;-11.497;-101.854;-5.916;7.570;-12.393;-1.239;9.494;-33.203;0.252;11.756;-57.633;2.002;11.223;-102.146;-6.676
