Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1336.000;53.440;-0.340;7.322;-1.831;-0.590;14.465;-2.188;-0.942;27.424;-1.089;-1.522;43.313;-1.223;-1.589;47.367;2.087;-1.519;53.528;3.882;-8.458;57.540;4.368;5.322;57.724;4.145;-4.769;59.908;11.695;1.811;59.996;11.589;-2.941;38.115;-2.729;-16.918;35.676;-0.855;-21.715;22.697;-2.446;-27.016;8.352;-4.205;-21.968;7.775;7.162;-16.977;8.054;21.706;-17.313;6.376;22.539;-14.503;4.951;29.278;-13.342;5.334;31.423;-12.003;5.444;33.721;-11.158;5.731;35.135;-17.375;7.220;22.566;-15.806;7.210;29.834;-13.883;7.911;33.426;-11.866;8.557;35.563;-10.442;8.850;37.002;-16.778;8.531;22.232;-15.859;9.706;30.121;-13.965;10.084;33.733;-11.377;10.675;35.828;-9.613;10.894;37.064;-17.050;9.539;21.961;-15.661;11.968;29.374;-13.272;12.374;32.400;-11.039;12.528;34.189;-9.430;12.378;35.475;-16.067;10.401;23.557;-15.606;13.721;24.917;-14.068;14.970;26.834;-13.952;17.574;27.841;0.285;38.233;-2.716;14.515;35.750;-0.873;20.020;22.411;-2.779;26.104;7.667;-4.885;20.967;7.926;6.621;15.428;8.417;21.315;15.160;6.675;22.326;13.386;5.145;28.645;12.241;4.325;31.220;10.605;3.869;33.161;9.594;3.749;34.530;15.250;7.579;22.430;14.480;7.392;29.043;12.754;6.959;33.061;10.369;6.888;35.428;8.851;6.983;36.872;14.815;8.941;22.541;14.625;9.572;29.706;13.001;9.312;34.066;10.623;9.341;36.013;8.807;9.610;37.199;14.917;9.841;22.375;14.520;12.133;29.447;13.423;12.534;33.074;11.715;12.361;35.031;10.002;12.408;36.455;14.405;10.740;22.847;14.574;14.085;24.697;14.151;15.602;27.625;14.309;18.231;28.424;0.000;0.000;0.000;-6.924;-12.299;3.005;-8.210;-25.581;20.202;-9.717;-41.172;40.390;-3.800;-70.077;4.928;8.025;-11.873;1.985;9.918;-29.847;12.566;12.141;-50.947;24.987;8.674;-94.769;35.830
1337.000;53.480;-0.342;7.322;-1.831;-0.595;14.464;-2.188;-0.954;27.421;-1.089;-1.538;43.310;-1.214;-1.605;47.364;2.101;-1.533;53.527;3.900;-8.469;57.542;4.399;5.310;57.722;4.142;-4.762;59.918;11.715;1.818;60.004;11.592;-2.955;38.113;-2.723;-16.931;35.669;-0.849;-21.725;22.689;-2.441;-27.024;8.342;-4.201;-21.971;7.783;7.162;-16.971;8.086;21.700;-17.309;6.409;22.538;-14.481;4.999;29.278;-13.327;5.395;31.413;-11.985;5.505;33.717;-11.146;5.795;35.134;-17.371;7.253;22.563;-15.787;7.260;29.828;-13.832;7.977;33.403;-11.828;8.633;35.544;-10.400;8.931;36.976;-16.811;8.500;22.248;-15.832;9.760;30.105;-13.909;10.151;33.704;-11.296;10.763;35.777;-9.539;10.988;37.022;-17.046;9.513;21.968;-15.632;12.020;29.356;-13.238;12.437;32.374;-10.999;12.621;34.157;-9.387;12.470;35.438;-16.021;10.436;23.525;-15.593;13.762;24.889;-14.055;15.020;26.797;-13.936;17.624;27.804;0.270;38.232;-2.709;14.501;35.754;-0.870;20.025;22.421;-2.776;26.131;7.685;-4.883;20.999;7.954;6.624;15.465;8.459;21.320;15.189;6.701;22.325;13.425;5.183;28.647;12.287;4.383;31.230;10.658;3.931;33.182;9.648;3.817;34.553;15.273;7.605;22.427;14.529;7.426;29.046;12.794;7.000;33.064;10.410;6.936;35.430;8.889;7.027;36.872;14.855;8.997;22.540;14.666;9.605;29.708;13.046;9.368;34.065;10.704;9.414;36.029;8.874;9.663;37.198;14.962;9.897;22.377;14.574;12.169;29.454;13.476;12.566;33.078;11.787;12.410;35.043;10.071;12.467;36.463;14.465;10.781;22.866;14.645;14.135;24.694;14.252;15.665;27.623;14.397;18.301;28.397;0.000;0.000;0.000;-6.922;-12.301;3.004;-8.212;-25.581;20.202;-9.724;-41.171;40.391;-3.800;-70.081;4.933;8.027;-11.872;1.983;9.918;-29.846;12.566;12.138;-50.945;24.989;8.668;-94.767;35.836
1338.000;53.520;-0.343;7.321;-1.832;-0.598;14.462;-2.190;-0.963;27.418;-1.093;-1.559;43.307;-1.213;-1.627;47.362;2.106;-1.553;53.529;3.910;-8.485;57.546;4.445;5.292;57.722;4.100;-4.731;59.934;11.733;1.848;60.018;11.568;-2.972;38.109;-2.724;-16.945;35.653;-0.853;-21.744;22.675;-2.447;-27.048;8.331;-4.209;-21.993;7.806;7.149;-16.991;8.148;21.684;-17.346;6.491;22.538;-14.470;5.101;29.264;-13.316;5.510;31.388;-11.956;5.639;33.688;-11.129;5.944;35.108;-17.419;7.334;22.565;-15.778;7.355;29.814;-13.759;8.099;33.350;-11.739;8.768;35.476;-10.323;9.076;36.918;-16.836;8.566;22.230;-15.835;9.857;30.074;-13.832;10.286;33.628;-11.214;10.908;35.689;-9.461;11.138;36.938;-17.074;9.577;21.948;-15.636;12.115;29.320;-13.223;12.572;32.321;-11.014;12.770;34.121;-9.403;12.630;35.405;-16.005;10.493;23.469;-15.635;13.834;24.838;-14.093;15.115;26.755;-13.996;17.729;27.738;0.253;38.230;-2.709;14.484;35.768;-0.872;20.038;22.446;-2.772;26.177;7.721;-4.873;21.048;8.033;6.632;15.513;8.587;21.328;15.241;6.823;22.330;13.498;5.321;28.660;12.377;4.569;31.267;10.763;4.132;33.236;9.766;4.035;34.617;15.324;7.728;22.430;14.623;7.536;29.052;12.871;7.162;33.076;10.526;7.115;35.466;9.000;7.229;36.900;14.914;9.132;22.548;14.756;9.722;29.709;13.163;9.522;34.089;10.817;9.575;36.061;9.004;9.850;37.250;15.026;10.031;22.384;14.674;12.307;29.464;13.608;12.710;33.096;11.937;12.573;35.075;10.234;12.647;36.512;14.551;10.912;22.867;14.762;14.269;24.700;14.427;15.826;27.617;14.612;18.469;28.362;0.000;0.000;0.000;-6.922;-12.301;3.006;-8.212;-25.580;20.205;-9.725;-41.169;40.395;-3.805;-70.077;4.941;8.027;-11.871;1.985;9.915;-29.846;12.568;12.132;-50.947;24.992;8.656;-94.769;35.838
1339.000;53.560;-0.345;7.318;-1.834;-0.602;14.458;-2.194;-0.972;27.411;-1.102;-1.580;43.300;-1.225;-1.649;47.359;2.100;-1.569;53.529;3.915;-8.494;57.552;4.504;5.280;57.718;4.043;-4.677;59.947;11.756;1.901;60.026;11.536;-2.989;38.101;-2.735;-16.960;35.643;-0.864;-21.780;22.681;-2.445;-27.108;8.354;-4.192;-22.038;7.861;7.159;-17.011;8.246;21.684;-17.363;6.604;22.544;-14.484;5.202;29.257;-13.316;5.613;31.379;-11.960;5.773;33.679;-11.139;6.080;35.103;-17.436;7.446;22.572;-15.761;7.446;29.812;-13.695;8.223;33.318;-11.691;8.879;35.458;-10.307;9.210;36.927;-16.850;8.663;22.235;-15.833;9.963;30.057;-13.700;10.392;33.548;-11.060;11.028;35.584;-9.343;11.278;36.879;-17.085;9.676;21.951;-15.615;12.230;29.304;-13.183;12.698;32.275;-10.981;12.888;34.112;-9.409;12.758;35.445;-16.010;10.592;23.464;-15.672;13.937;24.830;-14.121;15.226;26.760;-14.054;17.845;27.731;0.236;38.224;-2.720;14.464;35.780;-0.877;20.056;22.475;-2.747;26.236;7.768;-4.814;21.076;8.162;6.675;15.504;8.786;21.359;15.168;7.032;22.349;13.436;5.524;28.678;12.318;4.816;31.301;10.719;4.445;33.289;9.742;4.368;34.685;15.284;7.932;22.460;14.635;7.679;29.081;12.937;7.351;33.119;10.589;7.359;35.541;9.092;7.513;37.002;14.939;9.358;22.577;14.843;9.857;29.751;13.286;9.688;34.146;11.000;9.803;36.172;9.215;10.141;37.388;15.094;10.253;22.423;14.868;12.433;29.535;13.837;12.843;33.192;12.204;12.773;35.194;10.526;12.888;36.657;14.684;11.121;22.930;15.041;14.456;24.803;14.782;16.032;27.709;15.132;18.660;28.448;0.000;0.000;0.000;-6.920;-12.300;3.011;-8.211;-25.579;20.210;-9.724;-41.166;40.400;-3.818;-70.077;4.947;8.029;-11.869;1.990;9.913;-29.846;12.576;12.124;-50.949;25.002;8.637;-94.769;35.847
1340.000;53.600;-0.346;7.317;-1.839;-0.606;14.456;-2.203;-0.981;27.409;-1.119;-1.602;43.297;-1.245;-1.666;47.359;2.087;-1.562;53.527;3.919;-8.476;57.561;4.548;5.295;57.705;4.006;-4.614;59.951;11.777;1.963;60.020;11.518;-3.006;38.097;-2.755;-16.966;35.664;-0.881;-21.857;22.736;-2.338;-27.263;8.447;-3.948;-22.098;8.029;7.343;-16.928;8.528;21.804;-17.305;6.919;22.691;-14.371;5.506;29.389;-13.166;5.907;31.491;-11.828;6.053;33.818;-11.033;6.332;35.262;-17.359;7.763;22.713;-15.569;7.775;29.940;-13.439;8.533;33.411;-11.482;9.128;35.612;-10.153;9.426;37.137;-16.729;9.021;22.322;-15.557;10.301;30.150;-13.299;10.730;33.562;-10.674;11.335;35.637;-8.995;11.562;36.985;-16.977;10.041;22.044;-15.294;12.586;29.371;-12.806;13.036;32.302;-10.649;13.246;34.210;-9.175;13.104;35.649;-15.843;10.884;23.543;-15.461;14.246;24.893;-13.880;15.523;26.809;-13.804;18.155;27.743;0.219;38.223;-2.739;14.448;35.811;-0.884;20.109;22.525;-2.615;26.366;7.839;-4.527;21.065;8.424;6.897;15.327;9.168;21.525;14.689;7.475;22.445;12.873;5.843;28.679;11.702;5.221;31.332;10.117;5.002;33.359;9.184;4.985;34.787;14.925;8.344;22.606;14.293;7.777;29.175;12.612;7.569;33.236;10.399;7.812;35.755;8.997;8.089;37.290;14.861;9.787;22.751;14.823;9.894;29.960;13.359;9.826;34.394;11.277;10.116;36.594;9.625;10.639;37.926;15.158;10.652;22.645;15.184;12.428;29.880;14.271;12.880;33.587;12.711;12.947;35.675;11.187;13.206;37.280;14.835;11.515;23.219;15.725;14.684;25.234;15.709;16.148;28.211;16.470;18.654;29.054;0.000;0.000;0.000;-6.918;-12.299;3.020;-8.213;-25.574;20.219;-9.730;-41.158;40.411;-3.828;-70.076;4.962;8.031;-11.867;1.997;9.912;-29.843;12.588;12.120;-50.946;25.021;8.627;-94.766;35.865
1341.000;53.640;-0.344;7.315;-1.851;-0.603;14.453;-2.229;-0.980;27.409;-1.173;-1.605;43.296;-1.307;-1.666;47.357;2.036;-1.537;53.516;3.896;-8.442;57.561;4.546;5.328;57.681;3.973;-4.559;59.933;11.770;2.017;59.991;11.497;-3.006;38.095;-2.817;-16.947;35.710;-0.934;-22.023;22.810;-1.922;-27.634;8.552;-3.014;-22.249;8.539;8.098;-16.649;9.652;22.336;-17.163;8.169;23.342;-14.036;6.723;30.001;-12.795;7.075;32.092;-11.560;7.102;34.471;-10.807;7.308;35.950;-17.106;9.013;23.310;-14.823;9.210;30.448;-12.606;9.830;33.880;-10.787;10.355;36.205;-9.542;10.561;37.815;-16.364;10.237;22.772;-14.468;11.704;30.524;-12.051;12.073;33.821;-9.519;12.544;36.023;-7.942;12.706;37.498;-16.523;11.280;22.461;-13.995;13.931;29.590;-11.346;14.302;32.432;-9.388;14.493;34.496;-8.011;14.347;36.028;-15.199;12.027;23.920;-14.317;15.386;25.012;-12.532;16.618;26.702;-12.224;19.305;27.405;0.220;38.222;-2.796;14.448;35.880;-0.898;20.220;22.584;-2.232;26.600;7.888;-3.705;20.994;8.846;7.546;14.834;9.818;22.004;13.716;8.405;22.791;11.304;6.557;28.749;10.031;5.913;31.365;8.503;5.802;33.434;7.639;5.809;34.905;14.181;9.138;23.073;13.098;8.063;29.449;11.596;7.821;33.580;9.676;8.244;36.293;8.516;8.601;38.003;14.508;10.435;23.252;14.105;9.845;30.489;13.059;9.634;35.032;11.433;10.092;37.561;10.182;10.735;39.233;15.031;11.193;23.255;15.100;12.143;30.713;14.434;12.486;34.514;13.165;12.624;36.837;12.033;12.967;38.726;14.903;12.046;23.964;16.596;14.623;26.276;16.916;15.747;29.384;18.350;17.820;30.489;0.000;0.000;0.000;-6.922;-12.294;3.034;-8.227;-25.566;20.235;-9.756;-41.146;40.428;-3.839;-70.077;4.993;8.027;-11.866;2.017;9.906;-29.839;12.611;12.112;-50.938;25.046;8.618;-94.763;35.896
1342.000;53.680;-0.338;7.310;-1.871;-0.585;14.446;-2.277;-0.931;27.402;-1.282;-1.541;43.290;-1.476;-1.614;47.363;1.884;-1.499;53.507;3.801;-8.396;57.561;4.482;5.373;57.659;3.893;-4.500;59.887;11.715;2.076;59.933;11.433;-2.941;38.085;-2.972;-16.863;35.799;-1.095;-22.254;22.941;-1.041;-28.213;8.729;-0.981;-22.430;9.738;9.723;-16.018;12.281;23.376;-16.742;11.079;24.598;-13.536;9.695;31.252;-12.426;9.992;33.424;-11.579;10.038;35.961;-11.075;10.293;37.535;-16.484;11.868;24.437;-13.379;12.369;31.314;-11.182;12.911;34.740;-9.716;13.535;37.261;-8.737;13.823;39.033;-15.624;12.920;23.675;-12.415;14.695;31.073;-10.002;15.019;34.377;-7.698;15.535;36.807;-6.373;15.797;38.499;-15.566;13.935;23.251;-11.562;16.625;29.852;-8.855;17.010;32.629;-7.069;17.432;34.778;-5.888;17.452;36.471;-13.910;14.562;24.566;-12.224;17.724;25.099;-10.105;18.866;26.346;-9.503;21.593;26.422;0.285;38.209;-2.940;14.509;35.982;-0.896;20.317;22.622;-1.499;26.737;7.855;-2.165;20.867;9.312;8.867;14.249;10.646;23.097;12.620;9.660;23.635;9.062;8.066;29.111;7.562;7.214;31.481;5.992;6.912;33.512;5.134;6.739;34.976;13.238;10.189;24.059;11.070;8.928;30.107;9.450;8.319;34.138;7.892;8.370;37.080;6.942;8.466;38.948;14.031;11.291;24.330;12.445;10.195;31.471;11.505;9.345;35.955;10.408;9.374;38.793;9.717;9.661;40.846;14.763;11.826;24.492;14.037;11.957;32.124;13.455;11.822;35.993;12.542;11.649;38.479;11.846;11.662;40.596;14.728;12.563;25.325;16.919;14.187;28.101;17.386;14.855;31.333;19.460;16.113;32.632;0.000;0.000;0.000;-6.927;-12.286;3.055;-8.247;-25.554;20.258;-9.795;-41.131;40.452;-3.841;-70.072;5.030;8.024;-11.862;2.051;9.901;-29.831;12.648;12.105;-50.925;25.088;8.615;-94.754;35.936
1343.000;53.720;-0.328;7.303;-1.896;-0.550;14.436;-2.347;-0.830;27.390;-1.456;-1.369;43.277;-1.796;-1.471;47.378;1.577;-1.412;53.503;3.564;-8.322;57.529;4.290;5.448;57.674;3.704;-4.433;59.784;11.549;2.143;59.853;11.269;-2.781;38.065;-3.256;-16.705;35.995;-1.385;-22.473;23.315;0.347;-28.848;9.300;2.261;-22.448;11.856;12.123;-14.895;16.415;24.534;-15.813;15.617;25.978;-12.742;14.634;32.727;-11.920;15.076;34.968;-11.536;15.485;37.536;-11.205;15.942;39.110;-15.340;16.233;25.644;-11.522;16.931;32.220;-9.452;17.669;35.649;-8.469;18.797;38.208;-7.910;19.473;40.055;-14.396;17.030;24.696;-9.892;18.820;31.547;-7.641;19.431;34.886;-5.589;20.453;37.447;-4.545;21.169;39.204;-14.044;17.892;24.088;-8.657;20.207;30.045;-5.885;20.994;32.680;-4.219;21.956;34.762;-3.339;22.512;36.545;-12.135;18.369;25.227;-9.596;20.938;25.129;-7.171;21.841;25.847;-6.379;24.410;25.088;0.445;38.175;-3.201;14.652;36.070;-0.869;20.299;22.610;-0.432;26.542;7.734;0.051;20.488;9.790;10.846;13.441;11.686;24.808;11.553;11.218;25.127;6.983;10.365;29.982;5.096;9.403;31.942;3.267;8.822;33.693;2.260;8.388;35.000;12.229;11.519;25.662;8.935;10.685;31.244;6.820;9.796;34.977;5.264;9.146;37.815;4.341;8.767;39.660;13.342;12.400;26.062;10.390;11.391;32.870;9.080;9.837;37.030;8.096;9.077;39.809;7.608;8.607;41.887;14.167;12.671;26.371;12.250;12.508;33.917;11.424;11.769;37.658;10.504;11.070;40.068;9.897;10.508;42.137;14.095;13.312;27.273;16.305;13.985;30.413;16.774;14.221;33.681;19.149;14.558;35.030;0.000;0.000;0.000;-6.930;-12.278;3.078;-8.271;-25.546;20.277;-9.843;-41.120;40.467;-3.839;-70.064;5.053;8.022;-11.857;2.088;9.897;-29.825;12.678;12.098;-50.918;25.110;8.618;-94.751;35.958
1344.000;53.760;-0.317;7.299;-1.923;-0.505;14.431;-2.426;-0.701;27.383;-1.664;-1.121;43.269;-2.197;-1.260;47.394;1.165;-1.286;53.486;3.202;-8.247;57.414;3.970;5.522;57.738;3.439;-4.412;59.591;11.282;2.163;59.745;11.028;-2.557;38.050;-3.608;-16.489;36.299;-1.721;-22.543;24.116;2.096;-29.233;10.649;6.314;-22.123;14.780;14.861;-13.402;21.299;25.399;-14.419;20.975;26.981;-11.345;20.497;33.756;-10.676;21.205;35.932;-10.459;22.046;38.427;-10.214;22.800;39.899;-13.836;21.388;26.528;-9.520;22.279;32.802;-7.491;23.568;36.061;-6.612;25.345;38.227;-6.076;26.537;39.800;-12.824;21.850;25.461;-7.468;23.522;31.834;-5.188;24.692;34.931;-3.215;26.365;37.229;-2.330;27.575;38.791;-12.288;22.466;24.709;-6.034;24.381;30.102;-3.132;25.611;32.338;-1.359;27.092;33.998;-0.361;28.128;35.479;-10.176;22.709;25.678;-7.181;24.686;25.092;-4.612;25.311;25.423;-3.715;27.575;24.054;0.668;38.138;-3.525;14.846;36.117;-0.833;20.133;22.587;0.854;25.976;7.632;2.719;19.689;10.378;13.218;12.193;13.045;26.823;10.286;12.872;27.055;5.226;12.906;31.466;3.113;11.975;33.160;1.147;11.332;34.705;-0.016;10.842;35.853;10.961;13.026;27.652;7.063;12.982;32.853;4.718;12.125;36.382;3.039;11.081;39.058;2.063;10.405;40.787;12.135;13.789;28.059;8.518;13.356;34.603;6.795;11.829;38.584;5.714;10.643;41.165;5.186;9.777;43.101;12.963;13.923;28.439;10.373;14.143;35.847;9.247;13.311;39.488;8.197;12.353;41.744;7.486;11.535;43.691;12.890;14.575;29.382;14.909;14.778;32.681;15.325;14.775;35.922;17.707;14.572;37.285;0.000;0.000;0.000;-6.933;-12.273;3.094;-8.291;-25.546;20.286;-9.884;-41.129;40.469;-3.834;-70.060;5.056;8.020;-11.853;2.119;9.898;-29.826;12.694;12.103;-50.924;25.108;8.625;-94.754;35.951
