Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
494.000;19.760;-0.114;7.322;-1.827;-0.209;14.455;-2.227;-0.360;27.385;-1.263;-0.626;43.276;-1.755;-0.464;47.466;1.699;0.106;53.636;3.828;-6.706;57.802;4.669;7.060;57.647;4.027;-2.739;59.813;11.957;3.835;59.738;11.651;-2.163;38.075;-3.127;-16.138;36.026;-0.648;-21.470;23.045;-1.290;-27.362;8.698;-2.000;-21.389;8.999;9.349;-14.535;9.291;22.711;-14.544;7.574;23.535;-10.589;6.629;29.769;-9.169;7.317;31.693;-7.570;7.751;33.733;-6.560;8.310;34.943;-14.809;8.372;23.631;-12.328;8.386;30.630;-9.846;9.418;33.789;-7.694;10.364;35.676;-6.215;10.842;37.005;-14.416;9.824;23.208;-12.844;10.900;30.953;-10.390;11.603;34.157;-8.042;12.646;36.422;-6.725;13.149;38.066;-14.924;10.749;23.028;-13.225;13.273;30.300;-10.540;14.245;32.972;-8.447;14.755;34.548;-6.839;15.186;35.770;-13.927;11.708;24.492;-14.262;14.949;26.025;-12.842;16.856;28.113;-14.004;19.170;29.163;1.064;38.128;-3.149;15.171;35.372;-1.289;20.998;21.971;-2.809;27.439;7.160;-4.490;22.250;7.654;7.176;16.236;7.917;21.506;15.825;6.231;22.553;14.020;4.912;28.873;12.480;4.448;31.456;10.563;4.458;32.987;9.255;4.647;34.066;16.012;7.120;22.653;15.317;7.036;29.272;12.994;6.968;33.052;10.254;7.345;34.962;8.485;7.725;36.022;15.628;8.501;22.748;15.689;9.264;29.807;13.496;9.432;33.944;11.050;9.842;35.687;9.134;10.353;36.607;15.824;9.381;22.561;15.768;11.840;29.449;14.283;12.486;32.927;12.377;12.526;34.704;10.572;12.715;35.997;15.438;10.311;22.949;16.068;13.674;24.649;15.876;15.398;27.397;16.434;17.998;28.102;0.000;0.000;0.000;-7.372;-12.084;2.869;-8.606;-24.614;20.598;-10.052;-39.322;41.410;-9.652;-77.112;18.323;7.817;-12.130;2.043;8.696;-29.984;13.022;9.729;-50.944;25.910;5.573;-93.942;37.733
495.000;19.800;-0.113;7.321;-1.827;-0.208;14.454;-2.226;-0.358;27.385;-1.259;-0.622;43.276;-1.751;-0.459;47.467;1.702;0.111;53.639;3.828;-6.701;57.805;4.672;7.065;57.649;4.023;-2.730;59.817;11.958;3.844;59.742;11.648;-2.161;38.075;-3.123;-16.134;36.027;-0.644;-21.471;23.047;-1.282;-27.370;8.702;-1.988;-21.399;9.005;9.362;-14.549;9.300;22.725;-14.571;7.592;23.554;-10.587;6.639;29.782;-9.199;7.311;31.714;-7.569;7.756;33.744;-6.574;8.301;34.971;-14.838;8.388;23.652;-12.342;8.388;30.642;-9.856;9.421;33.811;-7.723;10.375;35.698;-6.227;10.850;37.009;-14.428;9.832;23.226;-12.855;10.905;30.968;-10.431;11.611;34.184;-8.057;12.633;36.446;-6.749;13.162;38.088;-14.946;10.756;23.045;-13.239;13.289;30.311;-10.561;14.251;32.983;-8.458;14.786;34.562;-6.846;15.197;35.784;-13.916;11.721;24.508;-14.264;14.961;26.033;-12.851;16.867;28.121;-14.010;19.177;29.184;1.067;38.128;-3.145;15.175;35.367;-1.285;21.001;21.966;-2.796;27.440;7.155;-4.466;22.255;7.655;7.199;16.242;7.927;21.528;15.840;6.231;22.574;14.031;4.922;28.902;12.500;4.444;31.472;10.553;4.471;33.004;9.249;4.656;34.088;16.028;7.121;22.672;15.339;7.057;29.300;12.976;6.996;33.067;10.244;7.362;34.972;8.468;7.742;36.021;15.639;8.527;22.766;15.702;9.279;29.832;13.501;9.449;33.967;11.043;9.858;35.698;9.119;10.366;36.601;15.843;9.405;22.580;15.777;11.855;29.469;14.285;12.482;32.948;12.382;12.550;34.720;10.579;12.747;36.016;15.449;10.319;22.969;16.078;13.684;24.665;15.879;15.410;27.423;16.436;18.014;28.116;0.000;0.000;0.000;-7.373;-12.084;2.870;-8.604;-24.613;20.598;-10.048;-39.321;41.409;-9.649;-77.110;18.322;7.816;-12.130;2.044;8.695;-29.986;13.019;9.727;-50.947;25.903;5.568;-93.947;37.719
496.000;19.840;-0.113;7.322;-1.826;-0.208;14.455;-2.223;-0.357;27.384;-1.253;-0.621;43.275;-1.738;-0.458;47.466;1.718;0.114;53.640;3.845;-6.699;57.805;4.689;7.067;57.652;4.035;-2.726;59.822;11.972;3.848;59.749;11.660;-2.159;38.075;-3.112;-16.132;36.029;-0.632;-21.473;23.052;-1.275;-27.376;8.710;-1.984;-21.405;9.008;9.366;-14.553;9.296;22.731;-14.560;7.584;23.553;-10.601;6.631;29.785;-9.193;7.313;31.714;-7.587;7.747;33.746;-6.578;8.297;34.961;-14.824;8.382;23.649;-12.348;8.407;30.645;-9.863;9.425;33.810;-7.709;10.378;35.694;-6.224;10.827;37.025;-14.429;9.833;23.228;-12.847;10.908;30.968;-10.434;11.610;34.185;-8.062;12.641;36.443;-6.743;13.167;38.077;-14.936;10.756;23.048;-13.240;13.282;30.317;-10.553;14.237;32.987;-8.458;14.782;34.568;-6.841;15.193;35.785;-13.924;11.722;24.519;-14.274;14.962;26.033;-12.844;16.866;28.117;-14.006;19.169;29.190;1.068;38.128;-3.134;15.176;35.367;-1.275;20.998;21.963;-2.782;27.433;7.147;-4.447;22.245;7.654;7.219;16.233;7.931;21.548;15.835;6.276;22.609;14.016;4.935;28.919;12.492;4.469;31.503;10.555;4.490;33.028;9.250;4.685;34.109;16.037;7.162;22.712;15.327;7.053;29.320;12.959;7.012;33.079;10.241;7.389;34.986;8.461;7.771;36.028;15.632;8.531;22.787;15.699;9.292;29.850;13.492;9.467;33.981;11.038;9.885;35.712;9.108;10.387;36.608;15.833;9.410;22.600;15.783;11.873;29.483;14.312;12.510;32.966;12.395;12.560;34.745;10.598;12.770;36.045;15.459;10.320;22.967;16.074;13.701;24.671;15.883;15.419;27.445;16.441;18.028;28.118;0.000;0.000;0.000;-7.373;-12.085;2.865;-8.602;-24.613;20.594;-10.044;-39.321;41.407;-9.645;-77.113;18.319;7.816;-12.131;2.040;8.695;-29.988;13.013;9.727;-50.949;25.896;5.569;-93.948;37.709
497.000;19.880;-0.113;7.322;-1.825;-0.207;14.455;-2.220;-0.356;27.384;-1.244;-0.617;43.275;-1.722;-0.453;47.465;1.735;0.121;53.640;3.862;-6.692;57.805;4.707;7.074;57.652;4.052;-2.718;59.821;11.990;3.856;59.747;11.678;-2.156;38.076;-3.099;-16.129;36.031;-0.616;-21.477;23.057;-1.261;-27.387;8.717;-1.973;-21.417;9.016;9.377;-14.568;9.309;22.740;-14.574;7.603;23.566;-10.626;6.650;29.804;-9.224;7.320;31.734;-7.609;7.774;33.768;-6.601;8.317;34.987;-14.837;8.402;23.662;-12.369;8.408;30.659;-9.891;9.444;33.829;-7.749;10.400;35.716;-6.281;10.875;37.058;-14.448;9.833;23.240;-12.876;10.920;30.981;-10.451;11.635;34.193;-8.104;12.667;36.465;-6.798;13.200;38.109;-14.956;10.760;23.056;-13.263;13.300;30.325;-10.587;14.256;33.002;-8.483;14.778;34.578;-6.873;15.199;35.801;-13.968;11.733;24.535;-14.288;14.975;26.040;-12.871;16.874;28.135;-14.021;19.192;29.190;1.071;38.129;-3.121;15.179;35.365;-1.268;20.994;21.959;-2.776;27.421;7.142;-4.442;22.242;7.654;7.226;16.237;7.939;21.559;15.840;6.285;22.620;14.020;4.959;28.934;12.491;4.486;31.513;10.559;4.508;33.044;9.248;4.691;34.120;16.039;7.171;22.724;15.330;7.076;29.330;12.961;7.034;33.087;10.215;7.403;34.982;8.450;7.772;36.052;15.630;8.556;22.796;15.692;9.305;29.856;13.484;9.486;33.985;11.027;9.896;35.711;9.097;10.404;36.602;15.836;9.434;22.609;15.780;11.881;29.491;14.298;12.518;32.972;12.386;12.576;34.747;10.587;12.778;36.048;15.460;10.334;22.994;16.070;13.712;24.682;15.897;15.426;27.436;16.437;18.033;28.130;0.000;0.000;0.000;-7.373;-12.085;2.864;-8.601;-24.614;20.593;-10.041;-39.322;41.406;-9.643;-77.111;18.319;7.815;-12.132;2.039;8.694;-29.988;13.012;9.725;-50.950;25.894;5.567;-93.949;37.708
498.000;19.920;-0.112;7.322;-1.824;-0.206;14.454;-2.216;-0.354;27.384;-1.237;-0.612;43.275;-1.708;-0.447;47.464;1.750;0.130;53.639;3.879;-6.680;57.808;4.725;7.086;57.646;4.069;-2.704;59.820;12.008;3.869;59.742;11.695;-2.152;38.077;-3.087;-16.124;36.040;-0.604;-21.475;23.066;-1.253;-27.389;8.726;-1.970;-21.426;9.027;9.383;-14.584;9.317;22.749;-14.588;7.623;23.581;-10.647;6.657;29.812;-9.228;7.344;31.740;-7.635;7.785;33.778;-6.621;8.346;34.984;-14.855;8.419;23.679;-12.369;8.428;30.663;-9.896;9.471;33.830;-7.755;10.426;35.718;-6.281;10.888;37.059;-14.462;9.836;23.253;-12.875;10.944;30.983;-10.476;11.656;34.200;-8.109;12.673;36.446;-6.758;13.231;38.044;-14.968;10.763;23.068;-13.269;13.316;30.329;-10.573;14.278;32.994;-8.468;14.812;34.567;-6.863;15.236;35.794;-13.977;11.743;24.517;-14.296;14.991;26.037;-12.882;16.896;28.106;-14.012;19.206;29.199;1.075;38.129;-3.109;15.185;35.360;-1.256;20.992;21.949;-2.762;27.409;7.127;-4.426;22.231;7.649;7.242;16.229;7.946;21.574;15.821;6.283;22.630;14.003;4.960;28.947;12.476;4.489;31.526;10.540;4.512;33.052;9.235;4.706;34.133;16.018;7.170;22.732;15.314;7.084;29.345;12.946;7.040;33.104;10.202;7.407;34.991;8.424;7.784;36.038;15.623;8.551;22.812;15.686;9.317;29.872;13.466;9.492;33.996;11.002;9.912;35.715;9.075;10.422;36.611;15.824;9.430;22.625;15.771;11.890;29.505;14.297;12.534;32.981;12.379;12.600;34.761;10.582;12.801;36.064;15.460;10.339;23.008;16.075;13.715;24.693;15.896;15.435;27.453;16.431;18.047;28.135;0.000;0.000;0.000;-7.374;-12.084;2.864;-8.602;-24.613;20.592;-10.041;-39.321;41.403;-9.645;-77.110;18.315;7.815;-12.132;2.039;8.693;-29.989;13.012;9.723;-50.951;25.893;5.563;-93.949;37.709
499.000;19.960;-0.112;7.322;-1.823;-0.205;14.454;-2.215;-0.351;27.384;-1.231;-0.609;43.275;-1.698;-0.444;47.464;1.763;0.134;53.638;3.896;-6.675;57.809;4.745;7.091;57.645;4.084;-2.696;59.819;12.027;3.877;59.740;11.712;-2.149;38.077;-3.078;-16.122;36.037;-0.596;-21.476;23.065;-1.244;-27.394;8.728;-1.959;-21.431;9.036;9.393;-14.589;9.339;22.760;-14.608;7.634;23.592;-10.658;6.682;29.826;-9.245;7.387;31.757;-7.655;7.822;33.793;-6.630;8.384;34.989;-14.877;8.430;23.688;-12.378;8.462;30.673;-9.929;9.510;33.844;-7.776;10.479;35.734;-6.320;10.956;37.089;-14.472;9.867;23.256;-12.889;10.973;30.991;-10.479;11.695;34.200;-8.120;12.720;36.454;-6.780;13.274;38.063;-14.974;10.793;23.072;-13.278;13.346;30.333;-10.596;14.311;32.995;-8.496;14.836;34.577;-6.879;15.262;35.789;-13.981;11.766;24.529;-14.312;15.013;26.038;-12.883;16.927;28.098;-14.027;19.234;29.182;1.078;38.129;-3.101;15.186;35.359;-1.245;20.986;21.946;-2.754;27.396;7.121;-4.422;22.221;7.643;7.244;16.221;7.942;21.575;15.816;6.266;22.629;13.982;4.963;28.949;12.456;4.495;31.529;10.529;4.522;33.062;9.225;4.722;34.144;16.010;7.154;22.728;15.305;7.091;29.350;12.952;7.046;33.118;10.191;7.425;34.996;8.415;7.808;36.043;15.614;8.550;22.814;15.676;9.315;29.875;13.455;9.499;33.994;10.991;9.930;35.710;9.057;10.440;36.590;15.818;9.428;22.626;15.767;11.889;29.505;14.301;12.546;32.987;12.390;12.608;34.769;10.595;12.820;36.072;15.440;10.343;23.014;16.065;13.712;24.696;15.898;15.433;27.445;16.436;18.041;28.136;0.000;0.000;0.000;-7.375;-12.084;2.863;-8.602;-24.615;20.591;-10.041;-39.325;41.402;-9.646;-77.111;18.313;7.814;-12.133;2.038;8.691;-29.990;13.010;9.720;-50.953;25.890;5.559;-93.950;37.705
500.000;20.000;-0.112;7.321;-1.823;-0.203;14.454;-2.213;-0.348;27.383;-1.227;-0.604;43.275;-1.687;-0.438;47.463;1.775;0.140;53.639;3.906;-6.668;57.810;4.760;7.097;57.643;4.093;-2.686;59.816;12.042;3.888;59.737;11.723;-2.145;38.078;-3.069;-16.117;36.038;-0.591;-21.473;23.066;-1.240;-27.392;8.730;-1.958;-21.434;9.038;9.398;-14.598;9.339;22.767;-14.610;7.643;23.601;-10.676;6.698;29.837;-9.268;7.394;31.767;-7.665;7.832;33.800;-6.638;8.393;34.995;-14.877;8.441;23.696;-12.400;8.465;30.689;-9.929;9.520;33.850;-7.802;10.490;35.747;-6.326;10.978;37.076;-14.478;9.863;23.270;-12.907;10.980;31.001;-10.500;11.708;34.208;-8.109;12.768;36.451;-6.789;13.296;38.085;-14.983;10.787;23.082;-13.287;13.358;30.337;-10.603;14.317;33.003;-8.518;14.850;34.577;-6.882;15.265;35.767;-14.003;11.764;24.529;-14.316;15.023;26.040;-12.890;16.940;28.101;-14.027;19.254;29.180;1.082;38.130;-3.091;15.190;35.356;-1.235;20.982;21.941;-2.747;27.383;7.113;-4.419;22.206;7.636;7.248;16.203;7.936;21.579;15.792;6.264;22.634;13.954;4.939;28.943;12.442;4.483;31.531;10.501;4.515;33.057;9.197;4.700;34.141;15.990;7.151;22.733;15.282;7.074;29.349;12.910;7.035;33.106;10.163;7.417;34.987;8.385;7.793;36.035;15.600;8.556;22.812;15.657;9.313;29.878;13.429;9.485;33.995;10.949;9.919;35.697;9.022;10.436;36.589;15.809;9.433;22.627;15.750;11.877;29.511;14.284;12.527;32.994;12.371;12.595;34.771;10.574;12.799;36.073;15.429;10.336;23.018;16.052;13.707;24.701;15.878;15.427;27.455;16.423;18.037;28.136;0.000;0.000;0.000;-7.375;-12.084;2.862;-8.602;-24.615;20.589;-10.041;-39.326;41.399;-9.647;-77.113;18.306;7.814;-12.133;2.037;8.691;-29.991;13.008;9.720;-50.954;25.886;5.560;-93.952;37.699
501.000;20.040;-0.114;7.320;-1.822;-0.205;14.452;-2.210;-0.349;27.380;-1.220;-0.600;43.272;-1.673;-0.434;47.459;1.792;0.145;53.635;3.928;-6.662;57.807;4.787;7.104;57.637;4.120;-2.679;59.803;12.070;3.895;59.722;11.752;-2.142;38.076;-3.058;-16.116;36.037;-0.583;-21.471;23.066;-1.240;-27.389;8.729;-1.966;-21.440;9.028;9.395;-14.616;9.318;22.771;-14.622;7.618;23.598;-10.697;6.658;29.840;-9.286;7.358;31.772;-7.681;7.788;33.803;-6.678;8.361;35.013;-14.884;8.417;23.692;-12.412;8.435;30.687;-9.965;9.498;33.857;-7.820;10.460;35.752;-6.352;10.926;37.097;-14.493;9.834;23.274;-12.939;10.949;31.010;-10.512;11.657;34.216;-8.142;12.692;36.466;-6.794;13.235;38.072;-14.993;10.763;23.085;-13.307;13.320;30.344;-10.627;14.279;33.012;-8.537;14.798;34.590;-6.905;15.218;35.783;-14.015;11.740;24.538;-14.321;14.997;26.045;-12.890;16.912;28.122;-14.037;19.222;29.196;1.085;38.127;-3.080;15.191;35.348;-1.221;20.982;21.933;-2.744;27.382;7.105;-4.427;22.204;7.620;7.242;16.201;7.907;21.576;15.792;6.233;22.626;13.970;4.927;28.949;12.437;4.448;31.523;10.501;4.476;33.053;9.194;4.656;34.134;15.988;7.121;22.727;15.276;7.037;29.344;12.906;6.991;33.103;10.143;7.373;34.975;8.365;7.750;36.021;15.593;8.514;22.815;15.653;9.267;29.875;13.416;9.446;33.987;10.932;9.872;35.689;9.007;10.391;36.584;15.797;9.392;22.630;15.744;11.842;29.510;14.273;12.486;32.992;12.370;12.552;34.768;10.562;12.744;36.058;15.454;10.289;23.019;16.048;13.673;24.700;15.866;15.385;27.459;16.399;17.995;28.147;0.000;0.000;0.000;-7.370;-12.086;2.865;-8.599;-24.618;20.593;-10.040;-39.329;41.403;-9.636;-77.116;18.311;7.818;-12.130;2.038;8.696;-29.991;13.008;9.726;-50.958;25.884;5.571;-93.954;37.706
502.000;20.080;-0.114;7.320;-1.822;-0.205;14.452;-2.210;-0.347;27.379;-1.219;-0.596;43.272;-1.669;-0.428;47.458;1.797;0.153;53.631;3.937;-6.653;57.804;4.798;7.112;57.633;4.132;-2.671;59.794;12.084;3.903;59.712;11.765;-2.139;38.076;-3.055;-16.114;36.043;-0.580;-21.474;23.074;-1.240;-27.399;8.740;-1.970;-21.453;9.035;9.391;-14.632;9.318;22.766;-14.634;7.616;23.593;-10.715;6.662;29.840;-9.307;7.353;31.770;-7.701;7.777;33.807;-6.702;8.340;35.024;-14.896;8.415;23.687;-12.456;8.435;30.693;-9.976;9.490;33.853;-7.842;10.458;35.749;-6.371;10.923;37.091;-14.514;9.833;23.269;-12.952;10.946;31.004;-10.507;11.644;34.205;-8.127;12.730;36.450;-6.814;13.225;38.100;-15.012;10.761;23.082;-13.326;13.313;30.346;-10.632;14.277;33.008;-8.553;14.779;34.587;-6.920;15.213;35.774;-14.030;11.740;24.539;-14.329;14.998;26.037;-12.909;16.898;28.115;-14.029;19.219;29.195;1.088;38.126;-3.077;15.195;35.345;-1.219;20.990;21.931;-2.744;27.395;7.106;-4.429;22.220;7.618;7.242;16.226;7.903;21.577;15.816;6.226;22.628;13.970;4.910;28.940;12.461;4.438;31.523;10.515;4.460;33.051;9.208;4.645;34.131;16.010;7.114;22.727;15.299;7.030;29.349;12.919;6.988;33.100;10.159;7.360;34.971;8.374;7.735;36.007;15.617;8.505;22.814;15.677;9.267;29.877;13.421;9.434;33.982;10.942;9.865;35.679;9.011;10.377;36.566;15.822;9.383;22.628;15.766;11.840;29.512;14.294;12.476;32.994;12.392;12.540;34.775;10.595;12.750;36.076;15.476;10.278;22.992;16.066;13.669;24.708;15.893;15.383;27.455;16.415;17.994;28.149;0.000;0.000;0.000;-7.370;-12.086;2.866;-8.599;-24.619;20.593;-10.038;-39.332;41.403;-9.635;-77.116;18.310;7.818;-12.130;2.039;8.696;-29.991;13.009;9.727;-50.958;25.888;5.571;-93.954;37.705
