Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1984.000;79.360;0.049;7.148;-0.163;0.075;13.876;-0.380;0.094;25.778;-0.845;-0.071;41.660;-1.590;-0.173;45.996;1.409;0.244;52.593;2.352;-6.601;56.682;3.303;7.159;56.672;2.506;-2.572;58.673;10.563;3.999;58.668;10.182;-1.511;36.444;-3.007;-15.665;34.643;-2.171;-20.728;21.693;-3.860;-26.324;7.381;-5.727;-22.883;5.369;6.540;-19.109;2.909;20.943;-19.826;1.366;21.725;-16.853;-1.349;28.119;-15.628;-1.604;30.175;-14.056;-2.235;32.227;-12.999;-2.252;33.523;-19.816;2.201;21.858;-17.782;0.979;28.996;-15.341;0.915;32.336;-13.086;0.908;34.315;-11.482;0.782;35.577;-18.943;3.350;21.486;-17.306;3.526;29.438;-14.919;3.322;32.720;-12.509;3.098;35.070;-11.057;2.881;36.662;-19.028;4.435;21.349;-16.874;5.862;28.945;-14.619;5.828;32.051;-12.676;5.639;34.100;-11.183;5.219;35.464;-17.795;4.990;22.908;-16.914;8.112;24.534;-15.213;9.396;26.419;-15.643;11.885;27.615;1.708;36.488;-2.766;15.679;33.896;-0.376;21.187;20.345;-1.372;27.274;5.368;-2.474;22.018;3.999;9.227;16.040;2.044;23.571;16.086;0.295;24.619;14.213;-1.568;30.872;12.834;-2.582;33.330;10.987;-3.109;34.819;9.568;-3.452;35.702;16.028;1.202;24.716;14.937;0.873;31.311;12.538;0.202;34.972;9.671;-0.232;36.705;7.792;-0.341;37.630;15.292;2.209;24.892;14.640;3.208;31.840;12.260;2.759;35.848;9.590;2.386;37.333;7.560;2.207;38.123;15.141;3.092;24.678;13.904;5.593;31.380;11.667;5.671;34.493;9.543;5.160;35.917;7.596;4.678;36.887;14.593;4.100;24.937;13.994;7.523;26.476;13.291;9.122;29.225;12.631;11.758;29.660;0.000;0.000;0.000;-7.609;-12.220;-1.180;-9.666;-33.042;-0.798;-12.080;-57.486;-0.349;-10.650;-101.577;-8.887;7.601;-12.364;-1.327;9.294;-33.188;-0.429;11.281;-57.634;0.625;10.477;-101.913;-8.790
1985.000;79.400;0.048;7.149;-0.160;0.073;13.880;-0.371;0.093;25.785;-0.820;-0.074;41.668;-1.562;-0.172;46.001;1.441;0.244;52.594;2.393;-6.588;56.688;3.415;7.164;56.667;2.486;-2.488;58.668;10.638;4.079;58.657;10.194;-1.516;36.451;-2.977;-15.670;34.650;-2.125;-20.734;21.703;-3.812;-26.330;7.393;-5.676;-22.889;5.401;6.591;-19.118;2.957;20.991;-19.828;1.416;21.782;-16.833;-1.293;28.169;-15.586;-1.510;30.221;-13.990;-2.136;32.264;-12.927;-2.156;33.555;-19.815;2.252;21.912;-17.738;1.055;29.039;-15.304;1.021;32.378;-13.027;1.014;34.340;-11.432;0.885;35.612;-18.992;3.364;21.553;-17.315;3.605;29.482;-14.883;3.428;32.755;-12.472;3.203;35.093;-10.988;3.003;36.657;-19.063;4.450;21.408;-16.873;5.943;28.983;-14.605;5.897;32.096;-12.652;5.711;34.146;-11.165;5.308;35.521;-17.805;5.052;22.954;-16.907;8.181;24.563;-15.195;9.453;26.452;-15.603;11.955;27.626;1.703;36.496;-2.741;15.677;33.905;-0.374;21.176;20.353;-1.379;27.254;5.374;-2.491;22.009;4.010;9.220;16.045;2.060;23.575;16.108;0.326;24.624;14.254;-1.548;30.873;12.860;-2.571;33.334;11.012;-3.091;34.832;9.596;-3.416;35.725;16.053;1.233;24.724;14.960;0.894;31.314;12.572;0.226;34.985;9.708;-0.209;36.722;7.828;-0.318;37.646;15.276;2.287;24.879;14.661;3.226;31.843;12.285;2.786;35.856;9.626;2.410;37.349;7.590;2.242;38.127;15.151;3.175;24.669;13.937;5.612;31.385;11.672;5.685;34.482;9.544;5.186;35.911;7.603;4.693;36.889;14.668;4.127;24.957;14.010;7.545;26.471;13.305;9.142;29.227;12.649;11.779;29.661;0.000;0.000;0.000;-7.609;-12.220;-1.176;-9.658;-33.045;-0.798;-12.064;-57.492;-0.354;-10.627;-101.575;-8.876;7.601;-12.364;-1.333;9.299;-33.187;-0.434;11.292;-57.631;0.621;10.497;-101.916;-8.778
1986.000;79.440;0.048;7.151;-0.156;0.072;13.883;-0.361;0.091;25.792;-0.799;-0.072;41.674;-1.542;-0.164;46.007;1.464;0.260;52.594;2.426;-6.557;56.696;3.510;7.185;56.660;2.459;-2.391;58.666;10.698;4.171;58.648;10.196;-1.516;36.458;-2.956;-15.669;34.665;-2.084;-20.743;21.719;-3.760;-26.350;7.411;-5.611;-22.897;5.436;6.654;-19.110;3.015;21.053;-19.815;1.478;21.852;-16.808;-1.226;28.219;-15.518;-1.426;30.277;-13.912;-2.042;32.309;-12.849;-2.057;33.599;-19.808;2.314;21.982;-17.715;1.131;29.107;-15.253;1.108;32.425;-12.959;1.111;34.371;-11.349;0.996;35.627;-18.969;3.443;21.603;-17.268;3.690;29.536;-14.836;3.576;32.801;-12.408;3.341;35.125;-10.917;3.166;36.686;-19.049;4.537;21.458;-16.845;6.003;29.033;-14.588;6.013;32.134;-12.640;5.818;34.204;-11.133;5.463;35.570;-17.803;5.121;23.006;-16.897;8.257;24.591;-15.171;9.515;26.477;-15.544;12.025;27.648;1.703;36.502;-2.723;15.682;33.908;-0.376;21.168;20.351;-1.387;27.232;5.366;-2.504;21.996;4.003;9.212;16.046;2.050;23.574;16.095;0.302;24.617;14.239;-1.567;30.872;12.853;-2.596;33.327;11.010;-3.113;34.823;9.594;-3.446;35.715;16.035;1.209;24.715;14.953;0.885;31.313;12.556;0.200;34.969;9.691;-0.239;36.703;7.809;-0.348;37.621;15.280;2.268;24.881;14.657;3.206;31.836;12.270;2.758;35.846;9.613;2.390;37.340;7.580;2.214;38.121;15.150;3.155;24.671;13.935;5.588;31.382;11.651;5.675;34.479;9.544;5.163;35.903;7.597;4.666;36.866;14.620;4.112;24.954;14.015;7.531;26.475;13.309;9.131;29.239;12.658;11.772;29.660;0.000;0.000;0.000;-7.609;-12.220;-1.180;-9.652;-33.045;-0.805;-12.050;-57.492;-0.365;-10.607;-101.579;-8.877;7.601;-12.363;-1.343;9.307;-33.187;-0.445;11.310;-57.632;0.610;10.531;-101.916;-8.781
1987.000;79.480;0.047;7.153;-0.152;0.070;13.888;-0.352;0.087;25.800;-0.774;-0.073;41.683;-1.516;-0.159;46.011;1.490;0.271;52.592;2.455;-6.531;56.704;3.589;7.203;56.645;2.436;-2.309;58.669;10.746;4.250;58.641;10.195;-1.520;36.467;-2.928;-15.675;34.679;-2.043;-20.753;21.733;-3.702;-26.366;7.424;-5.536;-22.898;5.466;6.727;-19.096;3.064;21.121;-19.792;1.524;21.925;-16.778;-1.157;28.295;-15.484;-1.347;30.349;-13.873;-1.957;32.374;-12.790;-1.964;33.648;-19.777;2.360;22.052;-17.670;1.174;29.168;-15.220;1.173;32.494;-12.910;1.181;34.430;-11.320;1.059;35.711;-18.946;3.502;21.665;-17.245;3.773;29.607;-14.858;3.661;32.901;-12.435;3.448;35.220;-10.890;3.287;36.729;-19.025;4.583;21.522;-16.813;6.072;29.097;-14.540;6.085;32.190;-12.628;5.884;34.281;-11.125;5.532;35.653;-17.780;5.174;23.074;-16.838;8.305;24.643;-15.111;9.553;26.535;-15.448;12.085;27.669;1.699;36.510;-2.699;15.678;33.914;-0.369;21.163;20.356;-1.388;27.226;5.371;-2.513;22.000;3.997;9.207;16.059;2.032;23.575;16.105;0.285;24.617;14.262;-1.599;30.870;12.873;-2.623;33.326;11.039;-3.155;34.820;9.629;-3.493;35.718;16.046;1.192;24.717;14.971;0.840;31.309;12.590;0.170;34.982;9.716;-0.267;36.709;7.833;-0.369;37.627;15.303;2.228;24.892;14.673;3.183;31.840;12.295;2.730;35.853;9.630;2.361;37.332;7.597;2.180;38.113;15.167;3.114;24.681;13.941;5.551;31.388;11.673;5.643;34.477;9.549;5.114;35.894;7.600;4.628;36.858;14.657;4.076;24.927;14.040;7.510;26.485;13.338;9.109;29.253;12.670;11.747;29.661;0.000;0.000;0.000;-7.610;-12.219;-1.179;-9.643;-33.046;-0.809;-12.030;-57.495;-0.374;-10.574;-101.579;-8.880;7.600;-12.362;-1.351;9.308;-33.189;-0.453;11.313;-57.637;0.601;10.535;-101.920;-8.778
1988.000;79.520;0.046;7.157;-0.147;0.069;13.894;-0.338;0.084;25.813;-0.743;-0.073;41.695;-1.483;-0.155;46.020;1.518;0.281;52.597;2.477;-6.514;56.715;3.642;7.215;56.645;2.429;-2.258;58.675;10.780;4.298;58.642;10.201;-1.523;36.480;-2.895;-15.676;34.698;-1.992;-20.764;21.750;-3.634;-26.387;7.440;-5.449;-22.905;5.503;6.811;-19.087;3.122;21.203;-19.786;1.584;22.012;-16.751;-1.083;28.381;-15.456;-1.272;30.426;-13.822;-1.879;32.446;-12.736;-1.871;33.718;-19.771;2.421;22.137;-17.662;1.259;29.264;-15.173;1.256;32.571;-12.873;1.270;34.505;-11.270;1.172;35.771;-18.938;3.565;21.746;-17.235;3.837;29.695;-14.838;3.717;32.990;-12.404;3.500;35.301;-10.872;3.352;36.824;-19.014;4.648;21.602;-16.795;6.143;29.175;-14.539;6.172;32.284;-12.648;5.961;34.390;-11.155;5.599;35.769;-17.760;5.248;23.159;-16.814;8.371;24.717;-15.087;9.617;26.599;-15.404;12.151;27.734;1.696;36.523;-2.669;15.679;33.929;-0.355;21.170;20.371;-1.378;27.238;5.387;-2.509;22.021;3.989;9.212;16.092;1.993;23.582;16.144;0.246;24.618;14.292;-1.653;30.866;12.905;-2.686;33.324;11.065;-3.217;34.809;9.660;-3.575;35.708;16.080;1.152;24.721;15.002;0.787;31.312;12.621;0.109;34.982;9.733;-0.345;36.697;7.854;-0.463;37.621;15.351;2.157;24.905;14.700;3.123;31.847;12.316;2.673;35.857;9.643;2.285;37.327;7.605;2.091;38.095;15.203;3.041;24.694;13.969;5.515;31.395;11.684;5.558;34.479;9.564;5.027;35.892;7.609;4.549;36.850;14.716;4.055;24.974;14.055;7.465;26.500;13.371;9.054;29.284;12.705;11.692;29.696;0.000;0.000;0.000;-7.610;-12.219;-1.183;-9.634;-33.046;-0.810;-12.010;-57.495;-0.372;-10.539;-101.580;-8.876;7.599;-12.362;-1.361;9.319;-33.187;-0.462;11.337;-57.633;0.594;10.578;-101.922;-8.777
1989.000;79.560;0.045;7.159;-0.145;0.068;13.899;-0.330;0.083;25.821;-0.721;-0.071;41.704;-1.461;-0.149;46.025;1.538;0.291;52.595;2.494;-6.496;56.721;3.672;7.230;56.636;2.431;-2.224;58.678;10.801;4.331;58.637;10.209;-1.524;36.489;-2.871;-15.676;34.718;-1.957;-20.771;21.770;-3.587;-26.403;7.459;-5.389;-22.914;5.543;6.872;-19.093;3.188;21.262;-19.794;1.656;22.077;-16.734;-0.983;28.454;-15.457;-1.185;30.496;-13.812;-1.772;32.506;-12.712;-1.768;33.764;-19.783;2.493;22.200;-17.652;1.352;29.323;-15.164;1.360;32.631;-12.872;1.374;34.564;-11.265;1.266;35.824;-18.928;3.660;21.785;-17.244;3.933;29.751;-14.940;3.869;33.113;-12.430;3.686;35.395;-10.935;3.529;36.954;-19.023;4.746;21.642;-16.802;6.241;29.231;-14.579;6.339;32.353;-12.693;6.198;34.467;-11.218;5.851;35.870;-17.765;5.314;23.205;-16.798;8.446;24.761;-15.040;9.689;26.634;-15.353;12.227;27.762;1.696;36.531;-2.647;15.681;33.937;-0.343;21.181;20.383;-1.360;27.259;5.402;-2.484;22.044;3.969;9.240;16.113;1.938;23.611;16.184;0.199;24.645;14.337;-1.724;30.882;12.915;-2.780;33.327;11.083;-3.334;34.813;9.670;-3.692;35.701;16.126;1.105;24.754;15.007;0.711;31.336;12.595;-0.004;34.977;9.716;-0.463;36.676;7.837;-0.609;37.596;15.349;2.096;24.941;14.693;3.028;31.873;12.311;2.546;35.878;9.624;2.153;37.314;7.578;1.951;38.056;15.202;2.981;24.731;13.978;5.419;31.428;11.674;5.443;34.509;9.556;4.913;35.916;7.588;4.421;36.840;14.708;3.980;25.003;14.064;7.390;26.541;13.360;8.966;29.319;12.672;11.596;29.743;0.000;0.000;0.000;-7.607;-12.221;-1.182;-9.624;-33.050;-0.809;-11.991;-57.501;-0.372;-10.507;-101.570;-8.880;7.603;-12.359;-1.365;9.330;-33.185;-0.466;11.357;-57.633;0.589;10.615;-101.925;-8.773
1990.000;79.600;0.045;7.162;-0.141;0.070;13.904;-0.320;0.088;25.831;-0.699;-0.066;41.714;-1.434;-0.143;46.031;1.562;0.293;52.597;2.518;-6.493;56.724;3.700;7.232;56.637;2.452;-2.218;58.678;10.827;4.337;58.636;10.232;-1.519;36.499;-2.845;-15.670;34.723;-1.927;-20.773;21.779;-3.549;-26.413;7.472;-5.342;-22.926;5.599;6.924;-19.106;3.297;21.319;-19.817;1.761;22.141;-16.745;-0.840;28.530;-15.455;-1.037;30.575;-13.821;-1.616;32.581;-12.719;-1.598;33.839;-19.802;2.598;22.259;-17.654;1.497;29.387;-15.183;1.515;32.701;-12.879;1.552;34.624;-11.283;1.457;35.898;-18.926;3.780;21.836;-17.267;4.104;29.810;-15.023;4.040;33.211;-12.503;3.916;35.472;-10.962;3.743;36.984;-19.017;4.842;21.683;-16.829;6.389;29.275;-14.614;6.559;32.402;-12.721;6.461;34.513;-11.231;6.140;35.907;-17.771;5.432;23.259;-16.781;8.570;24.794;-15.012;9.786;26.648;-15.254;12.341;27.753;1.701;36.541;-2.623;15.690;33.951;-0.322;21.198;20.397;-1.336;27.287;5.417;-2.457;22.086;3.933;9.269;16.174;1.841;23.646;16.244;0.085;24.664;14.390;-1.872;30.888;12.968;-2.936;33.330;11.140;-3.512;34.805;9.725;-3.870;35.687;16.182;0.990;24.773;15.048;0.574;31.362;12.630;-0.183;34.986;9.698;-0.655;36.624;7.810;-0.795;37.527;15.363;2.071;24.952;14.757;2.879;31.921;12.323;2.367;35.891;9.604;1.948;37.275;7.542;1.739;37.970;15.245;2.962;24.754;14.027;5.276;31.475;11.680;5.276;34.543;9.596;4.739;35.952;7.622;4.233;36.853;14.737;3.859;24.998;14.107;7.274;26.608;13.390;8.838;29.382;12.699;11.465;29.818;0.000;0.000;0.000;-7.607;-12.221;-1.184;-9.615;-33.050;-0.817;-11.973;-57.501;-0.387;-10.483;-101.576;-8.889;7.603;-12.358;-1.376;9.339;-33.186;-0.476;11.376;-57.635;0.580;10.646;-101.928;-8.787
1991.000;79.640;0.045;7.164;-0.139;0.070;13.908;-0.316;0.089;25.838;-0.689;-0.065;41.720;-1.429;-0.140;46.034;1.566;0.295;52.592;2.525;-6.489;56.718;3.720;7.235;56.630;2.459;-2.206;58.661;10.846;4.348;58.619;10.243;-1.519;36.506;-2.838;-15.668;34.738;-1.903;-20.797;21.804;-3.523;-26.466;7.508;-5.313;-22.972;5.706;6.952;-19.142;3.497;21.350;-19.852;1.970;22.187;-16.794;-0.610;28.582;-15.477;-0.790;30.626;-13.873;-1.378;32.640;-12.764;-1.346;33.891;-19.842;2.808;22.303;-17.697;1.732;29.431;-15.221;1.760;32.744;-12.924;1.810;34.678;-11.336;1.716;35.963;-18.987;3.963;21.856;-17.310;4.356;29.838;-15.116;4.289;33.290;-12.576;4.178;35.524;-11.007;4.041;37.011;-19.076;5.036;21.700;-16.861;6.616;29.297;-14.709;6.862;32.443;-12.812;6.781;34.578;-11.411;6.433;36.054;-17.801;5.639;23.275;-16.785;8.780;24.792;-14.984;9.996;26.619;-15.190;12.554;27.725;1.701;36.547;-2.617;15.691;33.964;-0.326;21.205;20.410;-1.335;27.300;5.429;-2.451;22.132;3.866;9.287;16.257;1.675;23.679;16.319;-0.049;24.695;14.466;-2.117;30.887;13.067;-3.208;33.315;11.210;-3.799;34.763;9.798;-4.179;35.641;16.264;0.855;24.819;15.134;0.291;31.388;12.643;-0.485;34.957;9.631;-0.984;36.458;7.705;-1.111;37.279;15.442;1.938;24.968;14.812;2.646;31.957;12.326;2.056;35.876;9.558;1.618;37.159;7.466;1.405;37.756;15.339;2.833;24.781;14.075;5.032;31.539;11.776;5.010;34.618;9.649;4.445;36.005;7.678;3.921;36.902;14.799;3.680;25.066;14.145;7.074;26.688;13.408;8.604;29.487;12.700;11.222;29.953;0.000;0.000;0.000;-7.608;-12.220;-1.184;-9.608;-33.051;-0.822;-11.957;-57.504;-0.397;-10.456;-101.594;-8.897;7.602;-12.358;-1.381;9.343;-33.186;-0.486;11.387;-57.636;0.565;10.670;-101.931;-8.796
1992.000;79.680;0.045;7.165;-0.139;0.070;13.910;-0.315;0.094;25.843;-0.682;-0.068;41.725;-1.425;-0.144;46.035;1.568;0.293;52.587;2.529;-6.493;56.707;3.737;7.231;56.629;2.470;-2.208;58.635;10.866;4.346;58.598;10.261;-1.520;36.509;-2.832;-15.665;34.735;-1.886;-20.886;21.841;-3.495;-26.657;7.589;-5.274;-23.135;5.951;6.989;-19.276;3.933;21.381;-19.968;2.413;22.245;-16.869;-0.078;28.665;-15.571;-0.275;30.697;-13.998;-0.819;32.730;-12.852;-0.771;33.947;-19.949;3.252;22.351;-17.767;2.255;29.480;-15.319;2.315;32.816;-13.060;2.386;34.770;-11.454;2.301;36.032;-19.093;4.447;21.859;-17.408;4.903;29.877;-15.327;4.858;33.404;-12.816;4.733;35.658;-11.255;4.592;37.152;-19.206;5.504;21.699;-17.006;7.139;29.302;-15.023;7.412;32.551;-13.191;7.351;34.757;-11.803;7.055;36.257;-17.935;6.116;23.309;-16.790;9.248;24.737;-14.891;10.444;26.525;-15.037;13.027;27.580;1.700;36.552;-2.612;15.692;33.990;-0.333;21.210;20.434;-1.321;27.309;5.451;-2.412;22.195;3.737;9.345;16.380;1.366;23.760;16.440;-0.388;24.737;14.625;-2.575;30.871;13.143;-3.736;33.247;11.253;-4.341;34.652;9.807;-4.731;35.469;16.371;0.513;24.875;15.220;-0.188;31.449;12.512;-1.047;34.853;9.415;-1.559;36.098;7.410;-1.705;36.696;15.571;1.589;25.049;14.854;2.145;32.037;12.182;1.442;35.790;9.390;0.976;36.928;7.255;0.749;37.338;15.459;2.487;24.880;14.094;4.561;31.655;11.785;4.452;34.716;9.645;3.821;36.056;7.668;3.242;36.906;14.887;3.338;25.211;14.051;6.670;26.858;13.128;8.076;29.706;12.274;10.644;30.203;0.000;0.000;0.000;-7.605;-12.222;-1.180;-9.596;-33.053;-0.821;-11.933;-57.506;-0.399;-10.418;-101.583;-8.895;7.604;-12.357;-1.380;9.352;-33.187;-0.483;11.405;-57.640;0.569;10.700;-101.934;-8.799
