Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2982.000;119.280;0.038;7.224;-0.188;0.099;14.023;-0.384;0.240;26.053;-0.754;0.179;41.929;-1.642;0.162;46.184;1.273;0.317;52.611;2.191;-6.677;56.477;2.974;7.081;56.937;2.304;-2.795;58.794;10.217;3.775;59.014;9.897;-1.382;36.713;-2.930;-15.453;35.096;-1.544;-21.001;22.210;-2.628;-27.133;7.968;-3.825;-22.564;6.600;8.182;-17.420;4.938;22.353;-17.763;3.210;23.010;-13.977;0.623;28.927;-12.744;0.691;31.106;-11.813;0.336;33.439;-11.079;0.453;34.937;-17.841;4.029;23.211;-14.896;2.633;29.974;-12.769;2.776;33.432;-11.545;2.867;36.089;-10.626;2.911;37.915;-17.331;5.369;22.925;-14.861;5.167;30.727;-12.834;5.145;34.204;-11.083;5.181;37.098;-10.171;5.134;39.062;-17.599;6.445;22.905;-14.796;7.525;30.410;-12.460;7.604;33.474;-10.629;7.544;35.650;-9.240;7.272;37.152;-16.240;7.001;24.396;-15.484;9.993;26.369;-13.840;11.300;28.259;-14.534;13.595;29.693;1.845;36.729;-2.861;15.989;34.013;-0.970;21.107;20.329;-2.220;26.764;5.203;-3.601;22.841;4.658;8.622;18.363;3.608;23.576;17.868;1.893;24.380;15.432;-0.450;30.283;14.190;-1.747;32.639;12.870;-2.576;34.448;11.799;-3.059;35.684;18.109;2.736;24.639;16.613;1.637;31.048;14.532;0.906;34.857;12.239;0.700;37.279;10.780;0.686;38.786;17.729;3.964;24.865;17.022;3.792;32.032;14.926;3.341;36.174;12.792;3.364;38.306;11.157;3.561;39.743;17.920;4.863;24.817;17.148;6.389;32.021;15.455;6.696;35.506;13.779;6.646;37.514;12.179;6.699;39.064;17.556;5.890;25.350;17.919;9.090;27.402;17.409;10.391;30.356;17.503;12.992;31.249;0.000;0.000;0.000;-7.620;-12.249;-0.710;-9.455;-33.098;0.031;-11.610;-57.572;0.900;-10.190;-101.659;-7.292;7.561;-12.349;-1.654;9.513;-33.196;-0.523;11.804;-57.668;0.805;11.072;-101.959;-8.400
2983.000;119.320;0.038;7.220;-0.188;0.097;14.017;-0.387;0.231;26.041;-0.768;0.167;41.916;-1.660;0.150;46.179;1.263;0.315;52.614;2.193;-6.669;56.489;3.019;7.086;56.931;2.271;-2.742;58.794;10.242;3.826;59.005;9.884;-1.391;36.700;-2.948;-15.464;35.075;-1.577;-21.002;22.186;-2.669;-27.123;7.940;-3.875;-22.576;6.547;8.140;-17.459;4.855;22.320;-17.812;3.138;22.981;-14.016;0.518;28.881;-12.797;0.590;31.060;-11.860;0.215;33.389;-11.121;0.340;34.883;-17.899;3.954;23.189;-14.951;2.527;29.943;-12.812;2.651;33.390;-11.570;2.728;36.045;-10.655;2.757;37.874;-17.381;5.244;22.902;-14.886;5.052;30.702;-12.873;5.024;34.170;-11.093;5.009;37.045;-10.178;4.991;39.008;-17.626;6.310;22.877;-14.840;7.414;30.384;-12.500;7.464;33.457;-10.670;7.421;35.624;-9.292;7.100;37.128;-16.298;6.917;24.386;-15.511;9.893;26.357;-13.862;11.205;28.227;-14.564;13.478;29.692;1.836;36.717;-2.876;15.977;34.006;-0.973;21.108;20.320;-2.206;26.778;5.194;-3.569;22.839;4.585;8.652;18.343;3.457;23.603;17.861;1.726;24.392;15.430;-0.633;30.293;14.165;-1.966;32.617;12.837;-2.805;34.416;11.757;-3.303;35.639;18.092;2.571;24.652;16.562;1.470;31.072;14.441;0.718;34.840;12.079;0.501;37.199;10.578;0.467;38.663;17.696;3.811;24.896;16.968;3.607;32.053;14.809;3.137;36.158;12.619;3.163;38.236;10.930;3.354;39.610;17.882;4.712;24.854;17.072;6.204;32.050;15.341;6.463;35.514;13.635;6.412;37.505;12.027;6.445;39.049;17.524;5.719;25.390;17.886;8.911;27.468;17.314;10.210;30.391;17.396;12.802;31.313;0.000;0.000;0.000;-7.623;-12.247;-0.722;-9.470;-33.093;0.014;-11.638;-57.565;0.878;-10.247;-101.654;-7.318;7.560;-12.351;-1.649;9.496;-33.196;-0.526;11.768;-57.666;0.791;11.013;-101.950;-8.425
2984.000;119.360;0.038;7.217;-0.188;0.096;14.010;-0.391;0.226;26.028;-0.785;0.157;41.903;-1.681;0.142;46.173;1.249;0.324;52.619;2.187;-6.648;56.509;3.038;7.105;56.919;2.246;-2.693;58.800;10.250;3.875;58.996;9.872;-1.398;36.686;-2.969;-15.468;35.054;-1.609;-21.008;22.167;-2.708;-27.131;7.924;-3.923;-22.597;6.487;8.096;-17.496;4.742;22.279;-17.838;3.013;22.925;-14.050;0.369;28.813;-12.814;0.420;30.995;-11.890;0.039;33.327;-11.161;0.146;34.828;-17.921;3.828;23.135;-14.976;2.364;29.882;-12.839;2.490;33.338;-11.611;2.521;35.989;-10.677;2.559;37.808;-17.421;5.113;22.863;-14.896;4.885;30.662;-12.899;4.818;34.132;-11.107;4.800;36.990;-10.172;4.760;38.943;-17.653;6.170;22.840;-14.876;7.242;30.365;-12.526;7.264;33.452;-10.750;7.200;35.627;-9.351;6.896;37.115;-16.357;6.798;24.378;-15.537;9.753;26.351;-13.877;11.042;28.251;-14.586;13.322;29.704;1.829;36.704;-2.895;15.969;33.997;-0.992;21.118;20.316;-2.201;26.810;5.195;-3.537;22.858;4.452;8.683;18.354;3.164;23.633;17.902;1.407;24.405;15.482;-1.025;30.279;14.210;-2.383;32.585;12.859;-3.244;34.359;11.773;-3.763;35.568;18.110;2.258;24.666;16.585;1.113;31.089;14.356;0.334;34.795;11.915;0.100;37.051;10.322;0.075;38.415;17.695;3.478;24.934;16.942;3.250;32.071;14.629;2.761;36.088;12.396;2.750;38.100;10.627;2.920;39.373;17.856;4.384;24.895;16.966;5.845;32.084;15.183;6.058;35.509;13.419;5.947;37.433;11.744;5.940;38.904;17.498;5.385;25.431;17.737;8.584;27.515;17.173;9.855;30.475;17.134;12.458;31.365;0.000;0.000;0.000;-7.622;-12.247;-0.730;-9.485;-33.092;-0.003;-11.672;-57.563;0.851;-10.311;-101.655;-7.353;7.561;-12.350;-1.646;9.482;-33.196;-0.537;11.738;-57.667;0.766;10.957;-101.947;-8.456
2985.000;119.400;0.038;7.215;-0.187;0.094;14.006;-0.393;0.219;26.020;-0.799;0.145;41.895;-1.702;0.134;46.172;1.233;0.337;52.624;2.178;-6.626;56.529;3.040;7.127;56.910;2.234;-2.658;58.804;10.250;3.909;58.987;9.865;-1.408;36.677;-2.988;-15.476;35.037;-1.628;-21.020;22.155;-2.740;-27.147;7.917;-3.968;-22.623;6.422;8.050;-17.535;4.609;22.235;-17.877;2.880;22.869;-14.055;0.173;28.719;-12.810;0.217;30.900;-11.879;-0.175;33.226;-11.161;-0.078;34.733;-17.967;3.692;23.090;-14.996;2.179;29.818;-12.853;2.277;33.268;-11.623;2.297;35.921;-10.686;2.290;37.739;-17.454;5.017;22.814;-14.931;4.706;30.619;-12.881;4.600;34.071;-11.095;4.579;36.950;-10.194;4.500;38.918;-17.718;6.082;22.811;-14.925;7.039;30.350;-12.613;7.050;33.447;-10.839;6.974;35.630;-9.418;6.657;37.094;-16.423;6.653;24.359;-15.610;9.592;26.363;-13.947;10.866;28.282;-14.666;13.134;29.749;1.818;36.696;-2.913;15.959;34.007;-1.016;21.140;20.331;-2.187;26.867;5.215;-3.482;22.909;4.197;8.743;18.402;2.574;23.695;18.006;0.779;24.428;15.685;-1.778;30.268;14.367;-3.185;32.531;12.994;-4.076;34.277;11.882;-4.626;35.448;18.179;1.637;24.694;16.681;0.349;31.108;14.296;-0.446;34.723;11.720;-0.716;36.829;10.036;-0.724;38.079;17.719;2.852;25.002;16.933;2.520;32.107;14.455;1.951;36.020;12.089;1.899;37.881;10.231;2.009;39.027;17.846;3.764;24.973;16.858;5.091;32.137;14.935;5.198;35.493;13.026;4.984;37.285;11.274;4.887;38.659;17.477;4.728;25.519;17.533;7.908;27.636;16.926;9.122;30.599;16.752;11.708;31.522;0.000;0.000;0.000;-7.623;-12.245;-0.739;-9.498;-33.090;-0.016;-11.699;-57.560;0.833;-10.363;-101.663;-7.376;7.561;-12.351;-1.648;9.468;-33.196;-0.548;11.708;-57.667;0.743;10.904;-101.948;-8.482
2986.000;119.440;0.038;7.213;-0.185;0.094;14.003;-0.396;0.219;26.014;-0.815;0.138;41.888;-1.723;0.132;46.171;1.216;0.354;52.630;2.166;-6.602;56.546;3.036;7.151;56.903;2.222;-2.627;58.807;10.246;3.941;58.978;9.857;-1.413;36.669;-3.007;-15.477;35.026;-1.643;-21.024;22.148;-2.768;-27.155;7.915;-4.013;-22.652;6.362;8.009;-17.583;4.482;22.199;-17.910;2.745;22.810;-14.080;0.005;28.631;-12.848;0.040;30.821;-11.898;-0.371;33.142;-11.204;-0.302;34.662;-18.005;3.553;23.040;-15.031;2.001;29.756;-12.895;2.058;33.208;-11.661;2.042;35.859;-10.730;2.047;37.680;-17.523;4.852;22.787;-14.960;4.509;30.585;-12.981;4.380;34.042;-11.136;4.348;36.909;-10.232;4.248;38.875;-17.774;5.915;22.788;-15.007;6.830;30.348;-12.692;6.832;33.458;-10.947;6.722;35.656;-9.548;6.429;37.146;-16.495;6.517;24.353;-15.697;9.427;26.396;-14.040;10.707;28.300;-14.774;12.933;29.820;1.813;36.690;-2.933;15.953;34.014;-1.042;21.188;20.351;-2.159;26.974;5.249;-3.393;23.036;3.790;8.841;18.473;1.553;23.730;18.182;-0.289;24.403;15.915;-3.097;30.132;14.619;-4.585;32.358;13.224;-5.548;34.059;12.113;-6.151;35.205;18.294;0.571;24.692;16.813;-0.946;31.064;14.314;-1.884;34.564;11.653;-2.285;36.543;9.936;-2.390;37.743;17.769;1.755;25.045;16.930;1.201;32.105;14.289;0.471;35.873;11.829;0.245;37.607;9.914;0.265;38.660;17.846;2.672;25.041;16.717;3.738;32.204;14.649;3.660;35.468;12.651;3.259;37.125;10.823;3.045;38.383;17.415;3.596;25.591;17.246;6.694;27.822;16.571;7.769;30.827;16.241;10.310;31.832;0.000;0.000;0.000;-7.624;-12.245;-0.740;-9.508;-33.087;-0.024;-11.719;-57.554;0.817;-10.403;-101.660;-7.403;7.560;-12.350;-1.660;9.460;-33.194;-0.565;11.690;-57.664;0.721;10.862;-101.941;-8.510
2987.000;119.480;0.041;7.211;-0.184;0.099;13.998;-0.398;0.228;26.004;-0.831;0.141;41.878;-1.743;0.141;46.166;1.201;0.378;52.630;2.157;-6.576;56.547;3.033;7.178;56.901;2.217;-2.598;58.799;10.245;3.970;58.968;9.855;-1.409;36.658;-3.025;-15.473;35.011;-1.645;-21.020;22.140;-2.785;-27.150;7.914;-4.044;-22.676;6.317;7.984;-17.638;4.384;22.182;-17.945;2.643;22.769;-14.106;-0.137;28.559;-12.885;-0.135;30.748;-11.926;-0.577;33.069;-11.229;-0.525;34.588;-18.046;3.448;23.009;-15.073;1.824;29.705;-12.945;1.830;33.173;-11.758;1.827;35.836;-10.824;1.785;37.655;-17.600;4.747;22.778;-15.062;4.341;30.581;-13.077;4.150;34.051;-11.242;4.117;36.921;-10.347;3.978;38.888;-17.859;5.809;22.794;-15.100;6.639;30.375;-12.820;6.622;33.512;-11.111;6.501;35.730;-9.730;6.179;37.231;-16.564;6.400;24.367;-15.802;9.288;26.466;-14.177;10.557;28.399;-14.944;12.758;29.940;1.818;36.680;-2.952;15.954;34.029;-1.076;21.253;20.378;-2.117;27.110;5.291;-3.268;23.147;3.086;8.911;18.569;-0.049;23.709;18.403;-1.972;24.254;16.289;-5.215;29.776;15.024;-6.799;31.941;13.592;-7.870;33.568;12.476;-8.554;34.661;18.447;-1.120;24.582;17.034;-3.064;30.855;14.411;-4.266;34.179;11.699;-4.935;36.001;9.930;-5.184;37.099;17.830;-0.032;25.048;16.973;-0.981;31.997;14.256;-2.066;35.620;11.713;-2.495;37.197;9.763;-2.660;38.171;17.828;0.888;25.085;16.553;1.507;32.240;14.414;1.074;35.419;12.394;0.466;36.968;10.525;0.029;38.100;17.278;1.770;25.657;16.804;4.626;28.166;16.014;5.407;31.228;15.386;7.808;32.418;0.000;0.000;0.000;-7.629;-12.242;-0.735;-9.516;-33.085;-0.024;-11.731;-57.552;0.811;-10.435;-101.655;-7.422;7.553;-12.352;-1.677;9.451;-33.194;-0.581;11.679;-57.661;0.705;10.829;-101.937;-8.530
2988.000;119.520;0.039;7.205;-0.192;0.103;13.987;-0.414;0.252;25.984;-0.856;0.153;41.858;-1.763;0.164;46.146;1.185;0.428;52.610;2.148;-6.528;56.524;3.027;7.227;56.883;2.221;-2.555;58.763;10.245;4.013;58.934;9.861;-1.395;36.637;-3.044;-15.450;34.984;-1.618;-21.035;22.133;-2.749;-27.208;7.930;-3.999;-22.772;6.344;8.039;-17.776;4.431;22.254;-18.071;2.676;22.802;-14.280;-0.186;28.581;-13.087;-0.247;30.779;-12.167;-0.751;33.104;-11.513;-0.728;34.643;-18.167;3.479;23.050;-15.225;1.753;29.745;-13.165;1.678;33.246;-12.031;1.627;35.941;-11.167;1.542;37.793;-17.744;4.791;22.854;-15.233;4.242;30.662;-13.275;4.028;34.182;-11.569;3.914;37.100;-10.716;3.756;39.085;-18.003;5.855;22.889;-15.234;6.547;30.514;-13.113;6.444;33.751;-11.518;6.276;36.050;-10.233;5.907;37.624;-16.660;6.399;24.468;-15.955;9.231;26.678;-14.375;10.481;28.665;-15.219;12.648;30.215;1.832;36.661;-2.976;15.969;34.036;-1.131;21.313;20.383;-2.047;27.221;5.293;-3.059;23.260;1.996;8.963;18.699;-2.441;23.548;18.711;-4.414;23.892;16.800;-8.291;29.043;15.556;-10.086;31.044;14.075;-11.304;32.519;12.940;-12.108;33.507;18.682;-3.595;24.294;17.347;-6.234;30.319;14.640;-7.905;33.340;11.852;-8.940;34.887;10.046;-9.412;35.844;17.962;-2.684;24.874;17.085;-4.286;31.635;14.388;-5.943;35.040;11.830;-6.743;36.444;9.880;-7.166;37.336;17.852;-1.777;24.988;16.419;-1.907;32.124;14.314;-2.889;35.183;12.324;-3.836;36.577;10.476;-4.612;37.554;17.167;-1.004;25.621;16.096;1.353;28.512;15.066;1.559;31.592;13.915;3.558;33.093;0.000;0.000;0.000;-7.621;-12.248;-0.713;-9.519;-33.095;-0.014;-11.746;-57.567;0.808;-10.471;-101.669;-7.441;7.560;-12.349;-1.666;9.450;-33.197;-0.580;11.670;-57.671;0.694;10.800;-101.946;-8.549
2989.000;119.560;0.042;7.199;-0.203;0.114;13.975;-0.436;0.286;25.962;-0.899;0.178;41.838;-1.784;0.204;46.121;1.175;0.498;52.580;2.161;-6.461;56.489;3.034;7.294;56.856;2.261;-2.507;58.710;10.268;4.062;58.885;9.898;-1.371;36.618;-3.068;-15.407;34.945;-1.561;-21.175;22.159;-2.584;-27.550;8.027;-3.716;-23.320;6.718;8.377;-18.565;5.170;22.686;-18.887;3.420;23.152;-15.101;0.094;28.671;-14.039;-0.223;30.873;-13.248;-1.021;33.179;-12.709;-1.174;34.755;-18.952;4.210;23.446;-15.825;2.032;29.932;-13.992;1.507;33.495;-13.164;1.193;36.292;-12.589;0.868;38.228;-18.534;5.563;23.297;-15.656;4.410;31.031;-14.125;3.879;34.716;-13.005;3.484;37.877;-12.535;3.158;39.966;-18.766;6.641;23.421;-15.611;6.664;31.043;-14.080;6.261;34.577;-13.053;5.868;37.145;-12.187;5.302;38.933;-17.182;6.975;24.934;-16.359;9.515;27.525;-14.924;10.764;29.577;-16.019;12.879;31.038;1.856;36.644;-3.008;15.992;34.032;-1.212;21.327;20.344;-1.923;27.223;5.215;-2.710;23.345;0.464;8.939;18.908;-5.698;23.050;19.142;-7.681;23.118;17.451;-12.364;27.605;16.265;-14.473;29.296;14.787;-15.948;30.511;13.651;-16.926;31.325;19.021;-6.930;23.628;17.781;-10.503;29.154;15.147;-12.823;31.781;12.403;-14.292;33.010;10.605;-15.053;33.776;18.156;-6.162;24.308;17.273;-8.791;30.719;14.735;-11.165;33.780;12.267;-12.422;34.999;10.372;-13.178;35.784;17.963;-5.293;24.544;16.354;-6.608;31.529;14.372;-8.240;34.358;12.503;-9.608;35.533;10.737;-10.700;36.344;17.145;-4.789;25.239;15.429;-3.259;28.419;14.101;-3.850;31.356;12.434;-2.501;33.081;0.000;0.000;0.000;-7.622;-12.248;-0.697;-9.529;-33.099;-0.003;-11.768;-57.575;0.813;-10.502;-101.675;-7.450;7.559;-12.352;-1.645;9.439;-33.201;-0.562;11.646;-57.677;0.710;10.759;-101.953;-8.552
2990.000;119.600;0.051;7.193;-0.216;0.138;13.964;-0.461;0.338;25.940;-0.945;0.256;41.817;-1.810;0.294;46.101;1.181;0.604;52.555;2.235;-6.353;56.470;3.108;7.406;56.820;2.368;-2.412;58.656;10.359;4.158;58.823;10.006;-1.304;36.602;-3.099;-15.319;34.947;-1.541;-21.375;22.220;-2.092;-28.069;8.154;-2.700;-24.491;7.895;9.591;-20.466;7.687;24.192;-20.862;6.025;24.448;-17.467;1.775;29.391;-16.590;0.953;31.512;-15.969;-0.378;33.670;-15.608;-0.907;35.214;-20.906;6.757;24.869;-18.037;3.456;30.939;-16.623;1.876;34.353;-16.471;0.766;37.045;-16.372;-0.125;38.883;-20.527;8.058;24.880;-17.713;5.581;32.432;-16.953;4.090;36.068;-16.952;2.967;39.221;-17.124;2.211;41.243;-20.671;9.131;25.165;-17.572;7.745;32.791;-16.999;6.576;36.385;-16.834;5.651;39.018;-16.639;4.682;40.831;-18.907;9.210;26.613;-18.042;11.118;29.833;-16.854;12.162;32.088;-18.208;14.148;33.514;1.923;36.621;-3.043;16.056;33.986;-1.259;21.289;20.228;-1.714;27.074;5.022;-2.217;23.374;-1.428;8.727;19.206;-9.596;21.995;19.678;-11.486;21.775;18.437;-17.035;25.210;17.427;-19.521;26.434;16.090;-21.335;27.258;15.016;-22.545;27.799;19.449;-10.866;22.408;18.459;-15.500;27.049;16.119;-18.576;29.072;13.596;-20.597;29.901;11.916;-21.732;30.437;18.476;-10.333;23.116;17.677;-14.203;28.877;15.517;-17.382;31.419;13.308;-19.204;32.369;11.557;-20.364;32.975;18.170;-9.549;23.491;16.462;-12.339;30.035;14.754;-14.715;32.471;13.133;-16.510;33.354;11.538;-17.966;33.905;17.268;-9.340;24.203;14.997;-9.012;27.429;13.586;-10.454;29.995;11.530;-9.999;31.766;0.000;0.000;0.000;-7.633;-12.242;-0.689;-9.559;-33.090;0.012;-11.819;-57.563;0.834;-10.573;-101.665;-7.413;7.550;-12.362;-1.608;9.410;-33.204;-0.510;11.593;-57.671;0.779;10.687;-101.944;-8.513
