Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2968.000;118.720;0.001;7.191;-0.121;-0.047;13.961;-0.247;-0.194;25.938;-0.482;-0.673;41.805;-1.403;-0.775;46.093;1.577;-0.683;52.542;2.630;-7.610;56.477;3.636;6.130;56.792;2.595;-3.507;58.688;10.790;3.055;58.838;10.293;-2.094;36.548;-2.682;-16.115;34.439;-1.151;-21.687;21.366;-1.372;-27.847;6.917;-1.617;-21.842;7.268;9.732;-14.978;7.639;23.170;-15.191;5.960;23.936;-10.768;3.656;29.593;-9.331;3.507;31.611;-8.005;2.794;33.650;-6.949;2.832;34.946;-15.225;6.796;24.063;-11.655;5.917;30.659;-9.196;6.037;33.915;-6.978;6.248;35.885;-5.369;6.250;37.148;-14.828;8.174;23.688;-11.427;8.469;31.221;-8.973;8.472;34.428;-6.538;8.476;36.727;-5.039;8.452;38.289;-15.124;9.226;23.633;-11.479;10.887;30.732;-8.828;11.280;33.542;-6.780;11.440;35.446;-5.163;11.334;36.725;-13.638;9.913;24.937;-12.638;13.057;26.651;-10.912;14.474;28.250;-11.378;16.897;29.562;1.132;36.649;-2.609;15.295;34.396;-0.701;21.113;20.920;-1.592;27.544;6.026;-2.577;22.120;7.022;8.973;15.769;7.882;23.205;15.136;6.236;24.053;12.350;4.312;29.848;10.536;3.543;32.138;8.362;3.646;33.256;6.763;3.916;33.787;15.354;7.092;24.288;13.514;6.269;30.593;10.853;5.897;34.083;8.052;5.981;35.911;6.256;6.201;36.972;15.029;8.307;24.423;13.862;8.519;31.490;11.293;8.242;35.374;8.818;8.464;37.111;6.898;8.799;38.101;15.239;9.199;24.342;14.009;11.050;31.418;12.223;11.407;34.820;10.369;11.477;36.658;8.621;11.594;38.035;14.748;10.226;24.702;14.887;13.418;26.958;14.220;14.674;29.934;14.086;17.246;30.901;0.000;0.000;0.000;-7.603;-12.248;-0.888;-9.688;-33.113;-0.300;-12.132;-57.607;0.387;-11.123;-101.824;-7.570;7.587;-12.329;-1.685;9.630;-33.174;-0.687;12.031;-57.645;0.485;11.594;-102.126;-8.325
2969.000;118.760;0.001;7.189;-0.121;-0.047;13.958;-0.247;-0.193;25.932;-0.482;-0.665;41.800;-1.385;-0.758;46.089;1.601;-0.650;52.544;2.655;-7.568;56.489;3.681;6.169;56.784;2.603;-3.442;58.691;10.825;3.117;58.832;10.310;-2.089;36.545;-2.668;-16.111;34.437;-1.122;-21.623;21.346;-1.392;-27.715;6.877;-1.690;-21.738;7.230;9.670;-14.906;7.604;23.122;-15.086;5.905;23.875;-10.697;3.627;29.550;-9.262;3.457;31.567;-7.926;2.738;33.600;-6.892;2.777;34.913;-15.125;6.741;24.000;-11.590;5.880;30.610;-9.117;5.986;33.855;-6.889;6.224;35.824;-5.284;6.203;37.091;-14.754;8.124;23.645;-11.389;8.445;31.176;-8.892;8.430;34.370;-6.445;8.438;36.649;-4.931;8.421;38.198;-15.049;9.175;23.588;-11.398;10.860;30.679;-8.743;11.233;33.484;-6.704;11.382;35.376;-5.060;11.307;36.624;-13.556;9.882;24.891;-12.579;13.021;26.604;-10.844;14.448;28.196;-11.322;16.871;29.503;1.136;36.645;-2.599;15.300;34.378;-0.713;21.082;20.893;-1.656;27.474;5.989;-2.699;22.081;6.972;8.866;15.765;7.820;23.115;15.125;6.176;23.962;12.340;4.252;29.760;10.520;3.482;32.053;8.351;3.592;33.171;6.754;3.855;33.710;15.351;7.029;24.202;13.528;6.223;30.504;10.885;5.822;34.012;8.084;5.915;35.842;6.288;6.136;36.903;15.026;8.256;24.334;13.890;8.441;31.409;11.308;8.163;35.283;8.851;8.404;37.031;6.936;8.725;38.034;15.245;9.147;24.258;14.041;10.959;31.343;12.279;11.324;34.756;10.436;11.391;36.600;8.674;11.514;37.959;14.763;10.153;24.658;14.922;13.343;26.891;14.275;14.587;29.853;14.150;17.144;30.863;0.000;0.000;0.000;-7.603;-12.248;-0.884;-9.688;-33.112;-0.296;-12.132;-57.604;0.391;-11.125;-101.819;-7.577;7.586;-12.329;-1.688;9.630;-33.175;-0.685;12.033;-57.645;0.493;11.590;-102.130;-8.318
2970.000;118.800;0.000;7.187;-0.123;-0.048;13.953;-0.254;-0.194;25.922;-0.504;-0.664;41.791;-1.401;-0.749;46.085;1.592;-0.627;52.550;2.653;-7.535;56.504;3.715;6.198;56.780;2.576;-3.374;58.690;10.843;3.184;58.822;10.299;-2.090;36.536;-2.685;-16.114;34.423;-1.131;-21.556;21.313;-1.451;-27.570;6.824;-1.804;-21.629;7.179;9.570;-14.835;7.546;23.039;-15.012;5.840;23.791;-10.585;3.576;29.439;-9.146;3.397;31.435;-7.790;2.703;33.480;-6.744;2.728;34.784;-15.052;6.676;23.917;-11.493;5.815;30.518;-8.950;5.940;33.728;-6.722;6.164;35.675;-5.119;6.178;36.944;-14.698;8.068;23.567;-11.284;8.384;31.087;-8.773;8.362;34.266;-6.323;8.391;36.544;-4.807;8.372;38.091;-14.995;9.117;23.513;-11.314;10.800;30.592;-8.658;11.183;33.366;-6.537;11.321;35.203;-4.868;11.232;36.416;-13.498;9.829;24.817;-12.533;12.972;26.531;-10.821;14.402;28.131;-11.300;16.820;29.446;1.135;36.635;-2.618;15.299;34.359;-0.751;21.052;20.868;-1.745;27.410;5.957;-2.843;22.048;6.921;8.737;15.769;7.743;23.005;15.138;6.107;23.854;12.340;4.159;29.636;10.530;3.405;31.940;8.370;3.502;33.060;6.772;3.780;33.591;15.374;6.956;24.098;13.531;6.109;30.386;10.897;5.732;33.904;8.096;5.844;35.728;6.297;6.071;36.782;15.035;8.180;24.225;13.909;8.347;31.304;11.352;8.067;35.200;8.859;8.316;36.918;6.944;8.653;37.917;15.258;9.071;24.151;14.071;10.857;31.243;12.292;11.218;34.654;10.435;11.290;36.491;8.687;11.412;37.869;14.771;10.082;24.548;14.950;13.261;26.794;14.278;14.511;29.758;14.197;17.068;30.773;0.000;0.000;0.000;-7.603;-12.249;-0.882;-9.685;-33.113;-0.296;-12.126;-57.605;0.388;-11.114;-101.809;-7.591;7.587;-12.328;-1.691;9.633;-33.173;-0.688;12.039;-57.643;0.489;11.595;-102.122;-8.330
2971.000;118.840;0.000;7.182;-0.124;-0.047;13.944;-0.259;-0.192;25.907;-0.521;-0.664;41.775;-1.415;-0.743;46.074;1.585;-0.604;52.547;2.655;-7.505;56.501;3.755;6.222;56.775;2.548;-3.307;58.679;10.865;3.248;58.810;10.288;-2.091;36.520;-2.699;-16.115;34.400;-1.145;-21.518;21.282;-1.498;-27.491;6.782;-1.889;-21.557;7.130;9.491;-14.773;7.497;22.967;-14.964;5.794;23.717;-10.535;3.514;29.367;-9.098;3.331;31.379;-7.755;2.609;33.411;-6.710;2.634;34.716;-14.998;6.630;23.844;-11.453;5.740;30.445;-8.909;5.838;33.658;-6.691;6.038;35.621;-5.083;6.043;36.884;-14.642;7.999;23.502;-11.216;8.295;31.017;-8.725;8.269;34.202;-6.254;8.292;36.468;-4.742;8.264;38.017;-14.936;9.061;23.446;-11.257;10.718;30.534;-8.586;11.079;33.294;-6.454;11.201;35.106;-4.750;11.086;36.266;-13.437;9.769;24.749;-12.453;12.907;26.468;-10.731;14.336;28.085;-11.223;16.758;29.388;1.135;36.620;-2.634;15.299;34.338;-0.782;21.043;20.847;-1.807;27.391;5.936;-2.939;22.044;6.879;8.652;15.785;7.677;22.932;15.149;6.038;23.772;12.348;4.073;29.549;10.496;3.331;31.839;8.331;3.420;32.942;6.739;3.694;33.490;15.387;6.885;24.019;13.537;6.023;30.312;10.857;5.632;33.793;8.052;5.771;35.594;6.225;5.999;36.600;15.052;8.105;24.154;13.923;8.243;31.230;11.335;7.959;35.112;8.804;8.229;36.789;6.878;8.561;37.768;15.274;8.996;24.084;14.083;10.775;31.177;12.291;11.126;34.574;10.427;11.194;36.392;8.639;11.309;37.717;14.791;10.013;24.478;14.990;13.182;26.733;14.311;14.423;29.711;14.239;16.983;30.718;0.000;0.000;0.000;-7.601;-12.250;-0.879;-9.681;-33.115;-0.292;-12.120;-57.610;0.394;-11.101;-101.812;-7.599;7.588;-12.328;-1.693;9.637;-33.173;-0.691;12.046;-57.643;0.486;11.604;-102.121;-8.345
2972.000;118.880;0.000;7.181;-0.126;-0.045;13.941;-0.265;-0.184;25.900;-0.536;-0.649;41.769;-1.422;-0.726;46.074;1.585;-0.584;52.556;2.662;-7.476;56.511;3.813;6.242;56.783;2.507;-3.228;58.688;10.892;3.323;58.818;10.268;-2.079;36.516;-2.708;-16.102;34.399;-1.146;-21.499;21.280;-1.520;-27.463;6.779;-1.933;-21.538;7.115;9.452;-14.761;7.464;22.935;-14.949;5.748;23.676;-10.524;3.471;29.320;-9.088;3.298;31.329;-7.707;2.568;33.350;-6.673;2.595;34.664;-14.974;6.585;23.799;-11.426;5.688;30.399;-8.860;5.796;33.597;-6.625;6.005;35.549;-5.019;6.009;36.815;-14.620;7.982;23.463;-11.177;8.236;30.971;-8.643;8.248;34.116;-6.146;8.218;36.349;-4.596;8.179;37.860;-14.912;9.045;23.409;-11.215;10.684;30.485;-8.549;11.025;33.238;-6.383;11.121;35.037;-4.681;11.008;36.200;-13.410;9.738;24.712;-12.433;12.874;26.430;-10.699;14.300;28.034;-11.192;16.724;29.335;1.147;36.614;-2.644;15.308;34.323;-0.800;21.064;20.834;-1.844;27.425;5.924;-2.998;22.074;6.857;8.590;15.809;7.639;22.868;15.174;5.999;23.703;12.369;4.036;29.481;10.528;3.280;31.765;8.359;3.371;32.860;6.759;3.638;33.387;15.410;6.847;23.948;13.554;5.978;30.245;10.859;5.577;33.708;8.024;5.723;35.475;6.190;5.962;36.463;15.074;8.085;24.090;13.952;8.190;31.163;11.312;7.894;35.020;8.767;8.175;36.675;6.844;8.524;37.654;15.301;8.975;24.022;14.105;10.737;31.115;12.309;11.097;34.511;10.433;11.131;36.335;8.667;11.255;37.688;14.818;9.980;24.427;15.016;13.146;26.682;14.336;14.380;29.652;14.268;16.930;30.684;0.000;0.000;0.000;-7.601;-12.250;-0.878;-9.680;-33.113;-0.291;-12.117;-57.605;0.395;-11.093;-101.802;-7.619;7.588;-12.327;-1.695;9.638;-33.170;-0.693;12.048;-57.637;0.484;11.606;-102.112;-8.369
2973.000;118.920;0.001;7.179;-0.127;-0.041;13.938;-0.264;-0.171;25.896;-0.531;-0.635;41.766;-1.401;-0.708;46.072;1.612;-0.555;52.558;2.694;-7.441;56.511;3.890;6.267;56.788;2.487;-3.144;58.694;10.938;3.402;58.827;10.268;-2.065;36.514;-2.692;-16.085;34.395;-1.126;-21.491;21.281;-1.517;-27.466;6.785;-1.948;-21.549;7.108;9.438;-14.785;7.440;22.925;-14.974;5.741;23.675;-10.496;3.478;29.279;-9.041;3.324;31.283;-7.649;2.614;33.303;-6.604;2.645;34.608;-15.007;6.576;23.803;-11.394;5.674;30.367;-8.780;5.791;33.529;-6.537;5.999;35.452;-4.915;6.022;36.697;-14.645;7.962;23.460;-11.148;8.244;30.932;-8.528;8.229;34.009;-5.966;8.202;36.157;-4.361;8.190;37.611;-14.946;9.030;23.414;-11.207;10.661;30.457;-8.502;10.997;33.185;-6.315;11.110;34.950;-4.603;10.944;36.092;-13.425;9.723;24.703;-12.460;12.852;26.422;-10.732;14.288;28.014;-11.238;16.700;29.330;1.161;36.612;-2.628;15.322;34.313;-0.788;21.101;20.834;-1.843;27.489;5.936;-3.010;22.122;6.869;8.568;15.839;7.653;22.832;15.192;6.018;23.672;12.380;4.043;29.442;10.542;3.278;31.717;8.386;3.379;32.826;6.781;3.658;33.333;15.425;6.866;23.918;13.571;5.982;30.210;10.883;5.590;33.680;8.030;5.732;35.432;6.202;5.976;36.430;15.104;8.085;24.055;13.959;8.217;31.130;11.290;7.918;34.959;8.764;8.196;36.620;6.827;8.541;37.571;15.328;8.976;23.985;14.119;10.748;31.075;12.320;11.104;34.470;10.437;11.156;36.282;8.658;11.275;37.620;14.839;9.998;24.370;15.035;13.162;26.636;14.384;14.389;29.610;14.268;16.941;30.634;0.000;0.000;0.000;-7.601;-12.250;-0.874;-9.679;-33.111;-0.282;-12.116;-57.601;0.410;-11.089;-101.798;-7.606;7.588;-12.328;-1.692;9.638;-33.170;-0.684;12.049;-57.636;0.499;11.608;-102.108;-8.355
2974.000;118.960;0.002;7.178;-0.127;-0.037;13.936;-0.265;-0.156;25.891;-0.531;-0.614;41.762;-1.391;-0.682;46.069;1.627;-0.519;52.560;2.713;-7.398;56.517;3.936;6.303;56.789;2.467;-3.067;58.712;10.959;3.476;58.842;10.257;-2.046;36.511;-2.685;-16.064;34.396;-1.114;-21.510;21.295;-1.512;-27.528;6.815;-1.952;-21.599;7.150;9.429;-14.823;7.494;22.909;-15.010;5.798;23.665;-10.488;3.537;29.236;-8.987;3.465;31.216;-7.540;2.803;33.216;-6.477;2.879;34.504;-15.053;6.632;23.800;-11.401;5.756;30.338;-8.762;5.911;33.476;-6.520;6.141;35.397;-4.903;6.181;36.647;-14.695;8.030;23.440;-11.172;8.294;30.902;-8.543;8.296;33.973;-5.993;8.282;36.130;-4.373;8.271;37.567;-15.008;9.105;23.400;-11.241;10.716;30.434;-8.527;11.063;33.155;-6.341;11.172;34.919;-4.637;11.012;36.074;-13.483;9.775;24.673;-12.519;12.910;26.404;-10.802;14.357;27.994;-11.334;16.763;29.311;1.180;36.608;-2.622;15.340;34.301;-0.783;21.142;20.828;-1.835;27.555;5.936;-2.998;22.180;6.899;8.574;15.873;7.714;22.830;15.200;6.093;23.661;12.266;4.143;29.388;10.389;3.407;31.629;8.245;3.572;32.743;6.648;3.914;33.235;15.460;6.931;23.917;13.498;6.091;30.181;10.757;5.710;33.607;7.879;5.920;35.326;6.048;6.249;36.295;15.153;8.169;24.042;13.925;8.285;31.111;11.230;8.026;34.929;8.668;8.372;36.534;6.725;8.732;37.468;15.401;9.054;23.983;14.163;10.802;31.077;12.350;11.198;34.455;10.445;11.268;36.258;8.666;11.441;37.589;14.957;10.060;24.410;15.214;13.214;26.652;14.547;14.462;29.623;14.603;17.014;30.650;0.000;0.000;0.000;-7.601;-12.250;-0.875;-9.680;-33.111;-0.285;-12.118;-57.601;0.403;-11.091;-101.796;-7.620;7.588;-12.328;-1.693;9.637;-33.171;-0.686;12.047;-57.638;0.495;11.606;-102.108;-8.365
2975.000;119.000;0.004;7.176;-0.126;-0.032;13.932;-0.262;-0.144;25.885;-0.525;-0.596;41.756;-1.374;-0.659;46.066;1.651;-0.483;52.564;2.741;-7.354;56.529;3.983;6.342;56.786;2.468;-2.997;58.727;10.989;3.543;58.849;10.265;-2.030;36.507;-2.672;-16.044;34.400;-1.099;-21.528;21.308;-1.506;-27.589;6.838;-1.957;-21.665;7.229;9.418;-14.892;7.625;22.898;-15.005;5.972;23.658;-10.376;3.757;29.135;-8.820;3.708;31.044;-7.268;3.149;33.002;-6.121;3.262;34.214;-15.082;6.799;23.818;-11.347;5.898;30.274;-8.629;6.162;33.340;-6.369;6.478;35.240;-4.718;6.506;36.446;-14.802;8.114;23.457;-11.185;8.466;30.857;-8.485;8.507;33.862;-5.973;8.540;36.011;-4.251;8.573;37.323;-15.130;9.184;23.419;-11.335;10.861;30.425;-8.611;11.247;33.110;-6.394;11.390;34.862;-4.683;11.278;36.013;-13.598;9.927;24.681;-12.733;13.066;26.441;-11.057;14.541;28.021;-11.638;16.914;29.377;1.195;36.603;-2.608;15.354;34.284;-0.768;21.187;20.816;-1.804;27.634;5.930;-2.949;22.263;6.954;8.616;15.938;7.821;22.863;15.099;6.265;23.639;11.859;4.417;29.239;9.855;3.816;31.417;7.686;4.130;32.468;6.107;4.580;32.928;15.425;7.069;23.928;13.255;6.229;30.127;10.353;6.010;33.447;7.410;6.460;35.038;5.596;6.925;35.983;15.232;8.325;24.070;13.807;8.313;31.093;11.048;8.259;34.860;8.496;8.802;36.426;6.567;9.344;37.300;15.564;9.184;24.046;14.307;10.853;31.173;12.541;11.324;34.531;10.626;11.528;36.325;8.850;11.850;37.632;15.254;10.192;24.497;15.850;13.247;26.828;15.254;14.503;29.791;15.612;17.019;30.846;0.000;0.000;0.000;-7.602;-12.249;-0.877;-9.683;-33.112;-0.281;-12.123;-57.603;0.414;-11.099;-101.799;-7.596;7.587;-12.328;-1.694;9.640;-33.170;-0.684;12.055;-57.636;0.500;11.616;-102.107;-8.351
2976.000;119.040;0.004;7.175;-0.123;-0.030;13.930;-0.256;-0.139;25.880;-0.513;-0.585;41.752;-1.352;-0.645;46.064;1.679;-0.457;52.566;2.776;-7.320;56.542;4.029;6.375;56.776;2.491;-2.948;58.733;11.028;3.591;58.845;10.294;-2.021;36.505;-2.653;-16.034;34.405;-1.079;-21.545;21.323;-1.498;-27.636;6.863;-1.960;-21.735;7.369;9.412;-14.989;7.892;22.900;-14.997;6.208;23.618;-10.070;4.186;28.915;-8.369;4.181;30.725;-6.637;3.699;32.559;-5.455;3.852;33.733;-15.131;7.022;23.808;-11.213;6.190;30.157;-8.387;6.505;33.134;-6.089;6.987;34.964;-4.404;7.088;36.119;-14.936;8.331;23.479;-11.177;8.743;30.795;-8.365;8.878;33.708;-5.765;9.070;35.783;-4.106;9.139;37.174;-15.322;9.385;23.474;-11.501;11.121;30.446;-8.753;11.629;33.078;-6.518;11.889;34.812;-4.821;11.845;35.987;-13.790;10.213;24.714;-13.165;13.344;26.562;-11.544;14.931;28.173;-12.385;17.171;29.615;1.205;36.599;-2.589;15.360;34.264;-0.739;21.256;20.798;-1.742;27.772;5.914;-2.849;22.372;7.046;8.695;15.971;7.996;22.903;14.805;6.603;23.562;11.010;5.107;28.906;8.859;4.767;30.981;6.778;5.441;32.047;5.317;6.190;32.509;15.266;7.308;23.917;12.706;6.492;29.960;9.753;6.697;33.216;6.923;7.626;34.789;5.192;8.412;35.675;15.321;8.507;24.122;13.653;8.410;31.104;10.855;8.724;34.797;8.407;9.605;36.378;6.600;10.462;37.261;15.806;9.289;24.159;14.666;10.717;31.360;12.930;11.421;34.744;11.083;11.857;36.532;9.412;12.432;37.890;15.696;10.342;24.655;16.877;13.060;27.197;16.574;14.248;30.233;17.506;16.569;31.379;0.000;0.000;0.000;-7.599;-12.251;-0.884;-9.683;-33.113;-0.285;-12.127;-57.603;0.415;-11.111;-101.799;-7.585;7.590;-12.325;-1.698;9.640;-33.169;-0.685;12.049;-57.636;0.503;11.604;-102.108;-8.338
