Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2272.000;90.880;0.015;7.237;-0.249;-0.070;14.052;-0.432;-0.343;26.110;-0.693;-0.798;41.980;-1.570;-0.868;46.370;1.547;-0.522;52.960;2.770;-7.399;56.960;3.859;6.347;57.118;2.867;-3.290;58.927;11.080;3.274;59.003;10.606;-2.200;36.728;-2.890;-16.152;34.866;-1.823;-21.096;21.825;-3.064;-26.560;7.411;-4.435;-23.443;6.789;8.104;-19.957;6.001;22.926;-19.392;4.278;23.200;-15.423;2.404;29.263;-14.290;2.715;31.409;-12.465;3.478;33.131;-11.458;4.409;34.088;-19.870;4.911;23.495;-17.583;3.395;30.420;-15.515;3.982;33.969;-13.446;5.274;35.736;-11.900;6.163;36.736;-20.106;6.204;23.566;-18.842;5.407;31.463;-16.740;5.715;35.021;-14.436;6.796;37.199;-12.907;7.465;38.578;-20.829;6.977;23.624;-19.953;7.583;31.521;-17.781;8.249;34.641;-15.738;9.084;36.393;-13.987;9.556;37.380;-20.173;7.876;25.412;-20.583;10.624;27.781;-18.908;11.723;30.013;-17.586;12.728;32.260;1.024;36.827;-2.763;15.196;34.568;-0.800;20.468;21.016;-2.172;26.296;6.037;-3.689;22.798;5.349;8.688;18.742;4.123;23.821;18.076;2.495;24.553;16.700;-0.438;30.339;15.564;-1.423;32.964;14.248;-1.664;34.951;13.139;-1.693;36.247;18.560;3.201;24.876;18.493;1.068;30.989;17.257;0.156;35.117;15.511;0.078;37.953;14.380;0.161;39.717;18.491;4.410;25.257;19.531;2.927;32.122;18.637;2.029;36.592;17.079;2.042;39.197;15.874;2.290;41.004;18.894;5.237;25.276;20.125;5.355;32.474;19.199;5.326;36.212;17.728;5.263;38.414;16.387;5.337;40.192;18.871;6.076;26.003;20.158;8.779;28.468;19.741;9.224;31.860;19.225;10.875;34.001;0.000;0.000;0.000;-7.656;-12.228;-0.674;-10.046;-32.874;0.493;-12.850;-57.111;1.863;-12.559;-101.402;-6.453;7.537;-12.397;-1.385;9.604;-33.002;-0.259;12.031;-57.191;1.061;11.733;-101.584;-8.150
2273.000;90.920;0.015;7.237;-0.253;-0.068;14.051;-0.440;-0.337;26.109;-0.708;-0.787;41.979;-1.599;-0.853;46.372;1.514;-0.504;52.962;2.733;-7.379;56.965;3.824;6.366;57.118;2.820;-3.263;58.937;11.040;3.301;59.010;10.561;-2.192;36.726;-2.913;-16.144;34.872;-1.834;-21.095;21.832;-3.058;-26.567;7.419;-4.412;-23.444;6.816;8.126;-19.949;6.053;22.946;-19.398;4.333;23.228;-15.430;2.453;29.281;-14.276;2.763;31.434;-12.443;3.543;33.145;-11.433;4.470;34.102;-19.880;4.963;23.523;-17.580;3.452;30.444;-15.489;4.056;33.983;-13.415;5.366;35.731;-11.873;6.251;36.742;-20.098;6.274;23.585;-18.833;5.483;31.491;-16.709;5.795;35.029;-14.401;6.872;37.198;-12.856;7.528;38.566;-20.825;7.040;23.644;-19.938;7.649;31.534;-17.769;8.323;34.652;-15.719;9.172;36.405;-13.959;9.611;37.391;-20.171;7.925;25.436;-20.576;10.680;27.787;-18.901;11.789;30.021;-17.587;12.790;32.274;1.032;36.824;-2.788;15.203;34.561;-0.836;20.472;21.007;-2.200;26.295;6.027;-3.708;22.815;5.354;8.675;18.783;4.149;23.818;18.118;2.524;24.556;16.768;-0.410;30.334;15.607;-1.378;32.974;14.292;-1.612;34.962;13.184;-1.649;36.258;18.602;3.230;24.878;18.548;1.102;30.992;17.305;0.200;35.122;15.551;0.142;37.950;14.408;0.230;39.707;18.539;4.433;25.252;19.575;2.967;32.122;18.686;2.055;36.587;17.117;2.094;39.193;15.913;2.349;40.999;18.942;5.261;25.269;20.191;5.385;32.461;19.265;5.379;36.210;17.777;5.304;38.417;16.467;5.379;40.218;18.883;6.118;25.997;20.216;8.807;28.457;19.813;9.271;31.833;19.307;10.904;33.989;0.000;0.000;0.000;-7.655;-12.230;-0.663;-10.041;-32.874;0.510;-12.841;-57.108;1.888;-12.548;-101.403;-6.421;7.538;-12.397;-1.379;9.607;-33.001;-0.247;12.035;-57.189;1.082;11.739;-101.588;-8.127
2274.000;90.960;0.015;7.237;-0.257;-0.066;14.052;-0.448;-0.331;26.111;-0.718;-0.778;41.979;-1.624;-0.840;46.374;1.485;-0.485;52.963;2.698;-7.356;56.971;3.794;6.388;57.115;2.777;-3.233;58.942;11.006;3.331;59.011;10.521;-2.185;36.725;-2.932;-16.136;34.881;-1.845;-21.094;21.841;-3.052;-26.574;7.428;-4.385;-23.446;6.843;8.152;-19.948;6.101;22.970;-19.386;4.380;23.252;-15.422;2.515;29.316;-14.275;2.812;31.459;-12.428;3.604;33.166;-11.423;4.531;34.128;-19.869;5.011;23.544;-17.571;3.514;30.475;-15.484;4.129;34.004;-13.392;5.441;35.746;-11.846;6.320;36.755;-20.091;6.320;23.612;-18.830;5.541;31.514;-16.698;5.858;35.055;-14.385;6.936;37.217;-12.845;7.605;38.584;-20.816;7.086;23.669;-19.930;7.714;31.559;-17.746;8.396;34.672;-15.705;9.224;36.420;-13.954;9.683;37.413;-20.158;7.982;25.458;-20.561;10.738;27.810;-18.874;11.857;30.019;-17.584;12.847;32.292;1.039;36.823;-2.809;15.215;34.562;-0.864;20.479;21.005;-2.224;26.298;6.020;-3.727;22.828;5.354;8.660;18.807;4.156;23.808;18.160;2.548;24.564;16.783;-0.391;30.340;15.645;-1.369;32.967;14.320;-1.591;34.960;13.227;-1.652;36.269;18.655;3.245;24.886;18.575;1.107;30.977;17.346;0.210;35.113;15.582;0.147;37.939;14.443;0.230;39.698;18.564;4.429;25.238;19.608;2.962;32.100;18.724;2.068;36.573;17.143;2.099;39.183;15.959;2.361;41.002;18.962;5.259;25.256;20.215;5.396;32.447;19.283;5.400;36.197;17.825;5.318;38.393;16.477;5.410;40.165;18.901;6.133;25.989;20.229;8.824;28.444;19.820;9.285;31.815;19.299;10.907;33.975;0.000;0.000;0.000;-7.653;-12.232;-0.652;-10.032;-32.877;0.531;-12.825;-57.114;1.920;-12.519;-101.392;-6.392;7.541;-12.396;-1.373;9.614;-33.001;-0.230;12.048;-57.190;1.110;11.757;-101.585;-8.099
2275.000;91.000;0.015;7.239;-0.260;-0.064;14.055;-0.451;-0.323;26.117;-0.720;-0.767;41.985;-1.642;-0.831;46.379;1.460;-0.483;52.964;2.664;-7.352;56.974;3.764;6.391;57.114;2.738;-3.224;58.946;10.973;3.339;59.013;10.482;-2.175;36.730;-2.944;-16.128;34.887;-1.857;-21.086;21.844;-3.048;-26.567;7.429;-4.366;-23.440;6.859;8.173;-19.942;6.127;22.991;-19.379;4.403;23.272;-15.425;2.534;29.323;-14.280;2.840;31.491;-12.419;3.636;33.185;-11.411;4.563;34.144;-19.860;5.035;23.563;-17.566;3.552;30.500;-15.472;4.157;34.027;-13.380;5.463;35.763;-11.823;6.351;36.749;-20.083;6.332;23.634;-18.823;5.573;31.540;-16.688;5.900;35.073;-14.374;6.974;37.231;-12.826;7.643;38.590;-20.806;7.106;23.689;-19.923;7.742;31.580;-17.734;8.416;34.689;-15.693;9.269;36.440;-13.940;9.706;37.439;-20.164;8.004;25.468;-20.559;10.771;27.828;-18.893;11.875;30.059;-17.558;12.889;32.295;1.049;36.827;-2.822;15.222;34.565;-0.876;20.484;21.008;-2.226;26.300;6.023;-3.718;22.835;5.362;8.668;18.819;4.171;23.816;18.153;2.541;24.547;16.820;-0.388;30.336;15.650;-1.358;32.974;14.339;-1.592;34.969;13.232;-1.634;36.266;18.634;3.249;24.869;18.582;1.133;30.993;17.337;0.235;35.118;15.586;0.168;37.949;14.446;0.257;39.707;18.581;4.460;25.245;19.629;2.986;32.116;18.721;2.081;36.587;17.141;2.129;39.187;15.949;2.388;41.000;18.984;5.288;25.262;20.221;5.413;32.459;19.282;5.405;36.206;17.812;5.336;38.404;16.485;5.414;40.193;18.938;6.136;26.008;20.230;8.850;28.447;19.817;9.304;31.830;19.272;10.936;33.977;0.000;0.000;0.000;-7.653;-12.232;-0.646;-10.034;-32.874;0.544;-12.828;-57.106;1.941;-12.525;-101.404;-6.364;7.540;-12.397;-1.365;9.613;-33.002;-0.207;12.046;-57.189;1.153;11.758;-101.589;-8.036
2276.000;91.040;0.017;7.242;-0.261;-0.059;14.060;-0.452;-0.311;26.127;-0.719;-0.745;41.994;-1.650;-0.805;46.387;1.447;-0.455;52.969;2.647;-7.323;56.982;3.748;6.420;57.116;2.714;-3.189;58.956;10.953;3.374;59.020;10.459;-2.156;36.739;-2.949;-16.112;34.910;-1.852;-21.078;21.868;-3.031;-26.567;7.454;-4.335;-23.437;6.892;8.205;-19.935;6.169;23.024;-19.376;4.456;23.312;-15.400;2.588;29.363;-14.263;2.889;31.519;-12.405;3.687;33.213;-11.400;4.615;34.176;-19.861;5.085;23.605;-17.546;3.599;30.528;-15.463;4.184;34.052;-13.345;5.532;35.772;-11.792;6.412;36.769;-20.070;6.388;23.666;-18.810;5.607;31.560;-16.663;5.940;35.099;-14.335;7.058;37.238;-12.790;7.716;38.605;-20.794;7.159;23.720;-19.907;7.798;31.610;-17.730;8.475;34.715;-15.679;9.338;36.461;-13.917;9.772;37.445;-20.145;8.060;25.508;-20.544;10.821;27.849;-18.862;11.921;30.081;-17.537;12.953;32.314;1.068;36.834;-2.828;15.242;34.568;-0.885;20.500;21.009;-2.235;26.312;6.022;-3.727;22.841;5.357;8.659;18.819;4.159;23.804;18.170;2.549;24.556;16.808;-0.402;30.322;15.645;-1.366;32.963;14.336;-1.599;34.955;13.240;-1.636;36.262;18.663;3.248;24.879;18.582;1.119;30.984;17.345;0.219;35.108;15.598;0.147;37.939;14.449;0.233;39.692;18.581;4.457;25.237;19.623;2.980;32.113;18.715;2.062;36.570;17.154;2.109;39.178;15.961;2.362;40.992;18.989;5.283;25.254;20.229;5.396;32.449;19.291;5.381;36.198;17.826;5.321;38.396;16.493;5.397;40.181;18.932;6.128;26.001;20.232;8.831;28.439;19.837;9.290;31.826;19.268;10.920;33.969;0.000;0.000;0.000;-7.658;-12.229;-0.643;-10.033;-32.871;0.553;-12.822;-57.104;1.956;-12.512;-101.403;-6.342;7.535;-12.400;-1.365;9.613;-33.002;-0.204;12.051;-57.187;1.160;11.766;-101.586;-8.042
2277.000;91.080;0.018;7.244;-0.261;-0.057;14.064;-0.450;-0.306;26.134;-0.713;-0.743;42.001;-1.646;-0.802;46.390;1.444;-0.451;52.968;2.632;-7.319;56.980;3.729;6.424;57.117;2.690;-3.183;58.969;10.929;3.379;59.034;10.433;-2.153;36.746;-2.944;-16.109;34.914;-1.843;-21.076;21.872;-3.017;-26.565;7.456;-4.314;-23.425;6.912;8.220;-19.909;6.213;23.036;-19.349;4.500;23.327;-15.377;2.640;29.376;-14.238;2.946;31.530;-12.371;3.736;33.216;-11.358;4.666;34.168;-19.831;5.131;23.619;-17.518;3.648;30.547;-15.426;4.251;34.058;-13.299;5.603;35.768;-11.722;6.457;36.750;-20.047;6.432;23.678;-18.768;5.684;31.580;-16.633;5.993;35.110;-14.304;7.122;37.243;-12.750;7.781;38.599;-20.776;7.210;23.732;-19.876;7.856;31.617;-17.683;8.544;34.718;-15.660;9.399;36.472;-13.882;9.855;37.418;-20.119;8.105;25.519;-20.515;10.868;27.862;-18.835;11.993;30.066;-17.510;12.983;32.318;1.071;36.842;-2.823;15.250;34.579;-0.881;20.509;21.020;-2.231;26.321;6.034;-3.724;22.849;5.361;8.660;18.825;4.155;23.803;18.155;2.537;24.547;16.804;-0.408;30.321;15.656;-1.386;32.957;14.331;-1.622;34.949;13.243;-1.666;36.262;18.642;3.240;24.869;18.585;1.113;30.982;17.335;0.206;35.106;15.584;0.125;37.933;14.435;0.220;39.685;18.577;4.439;25.238;19.630;2.977;32.109;18.719;2.044;36.570;17.144;2.092;39.176;15.947;2.344;40.987;18.980;5.267;25.256;20.212;5.399;32.454;19.271;5.390;36.201;17.786;5.302;38.399;16.490;5.385;40.210;18.940;6.120;25.994;20.224;8.832;28.441;19.800;9.285;31.830;19.234;10.919;33.971;0.000;0.000;0.000;-7.657;-12.230;-0.640;-10.030;-32.873;0.566;-12.816;-57.107;1.982;-12.498;-101.407;-6.305;7.536;-12.400;-1.363;9.616;-33.002;-0.190;12.058;-57.187;1.186;11.779;-101.592;-7.993
2278.000;91.120;0.018;7.245;-0.260;-0.056;14.067;-0.448;-0.304;26.139;-0.708;-0.737;42.006;-1.650;-0.797;46.394;1.433;-0.446;52.968;2.611;-7.313;56.985;3.701;6.430;57.114;2.664;-3.178;58.982;10.899;3.385;59.044;10.404;-2.149;36.750;-2.945;-16.105;34.922;-1.844;-21.075;21.880;-3.014;-26.568;7.466;-4.307;-23.422;6.946;8.224;-19.903;6.273;23.034;-19.350;4.561;23.331;-15.320;2.716;29.379;-14.219;3.028;31.532;-12.356;3.817;33.212;-11.350;4.756;34.163;-19.833;5.191;23.624;-17.500;3.719;30.551;-15.379;4.327;34.049;-13.276;5.688;35.751;-11.688;6.586;36.676;-20.042;6.477;23.676;-18.758;5.764;31.581;-16.592;6.091;35.092;-14.253;7.197;37.224;-12.711;7.868;38.589;-20.761;7.251;23.726;-19.856;7.933;31.618;-17.660;8.623;34.709;-15.585;9.465;36.432;-13.834;9.892;37.439;-20.118;8.165;25.516;-20.501;10.940;27.852;-18.799;12.077;30.042;-17.517;13.055;32.324;1.075;36.845;-2.824;15.253;34.587;-0.877;20.517;21.027;-2.218;26.336;6.040;-3.699;22.856;5.353;8.684;18.824;4.128;23.825;18.145;2.492;24.547;16.782;-0.445;30.333;15.628;-1.423;32.965;14.315;-1.666;34.950;13.216;-1.704;36.254;18.623;3.202;24.869;18.572;1.076;31.001;17.268;0.175;35.118;15.524;0.110;37.937;14.376;0.195;39.690;18.575;4.396;25.256;19.607;2.934;32.129;18.676;2.004;36.590;17.093;2.058;39.186;15.880;2.300;40.987;18.971;5.227;25.276;20.205;5.358;32.476;19.261;5.344;36.221;17.773;5.275;38.420;16.443;5.350;40.206;18.925;6.095;26.019;20.209;8.800;28.473;19.770;9.257;31.853;19.201;10.878;34.002;0.000;0.000;0.000;-7.659;-12.228;-0.645;-10.031;-32.876;0.562;-12.816;-57.115;1.979;-12.486;-101.409;-6.307;7.534;-12.401;-1.365;9.616;-33.004;-0.192;12.060;-57.190;1.186;11.786;-101.596;-7.994
2279.000;91.160;0.019;7.248;-0.258;-0.055;14.072;-0.444;-0.303;26.149;-0.701;-0.733;42.015;-1.653;-0.791;46.400;1.423;-0.435;52.969;2.596;-7.298;56.991;3.694;6.444;57.110;2.637;-3.151;58.989;10.885;3.411;59.045;10.380;-2.145;36.759;-2.946;-16.101;34.935;-1.844;-21.071;21.895;-3.017;-26.565;7.482;-4.314;-23.433;7.002;8.220;-19.932;6.375;23.032;-19.391;4.665;23.341;-15.380;2.833;29.387;-14.246;3.122;31.536;-12.364;3.934;33.208;-11.348;4.872;34.149;-19.872;5.296;23.633;-17.517;3.838;30.556;-15.348;4.458;34.031;-13.199;5.855;35.655;-11.599;6.765;36.547;-20.072;6.601;23.672;-18.775;5.910;31.581;-16.594;6.229;35.090;-14.235;7.345;37.190;-12.677;8.043;38.523;-20.797;7.367;23.722;-19.866;8.079;31.604;-17.672;8.787;34.702;-15.619;9.620;36.430;-13.861;10.101;37.400;-20.140;8.280;25.505;-20.510;11.067;27.833;-18.807;12.211;30.012;-17.520;13.209;32.282;1.079;36.853;-2.824;15.259;34.589;-0.874;20.528;21.029;-2.200;26.352;6.042;-3.666;22.867;5.320;8.717;18.831;4.055;23.861;18.162;2.427;24.586;16.793;-0.538;30.349;15.625;-1.531;32.975;14.318;-1.792;34.964;13.211;-1.843;36.261;18.642;3.133;24.912;18.576;0.994;31.029;17.262;0.078;35.139;15.504;0.004;37.948;14.343;0.083;39.693;18.584;4.332;25.292;19.602;2.843;32.160;18.660;1.917;36.618;17.057;1.957;39.202;15.827;2.204;40.992;18.983;5.162;25.316;20.197;5.276;32.517;19.245;5.250;36.260;17.730;5.171;38.459;16.442;5.253;40.276;18.940;6.012;26.045;20.200;8.715;28.528;19.747;9.148;31.936;19.173;10.829;34.038;0.000;0.000;0.000;-7.659;-12.228;-0.649;-10.024;-32.877;0.557;-12.801;-57.116;1.973;-12.456;-101.403;-6.297;7.535;-12.401;-1.364;9.620;-33.004;-0.189;12.068;-57.191;1.191;11.803;-101.595;-7.989
2280.000;91.200;0.019;7.248;-0.258;-0.054;14.073;-0.441;-0.300;26.150;-0.689;-0.730;42.015;-1.648;-0.787;46.400;1.427;-0.423;52.965;2.602;-7.278;56.989;3.744;6.456;57.107;2.595;-3.083;58.991;10.906;3.476;59.047;10.357;-2.141;36.759;-2.939;-16.098;34.923;-1.836;-21.077;21.885;-2.996;-26.580;7.475;-4.278;-23.505;7.102;8.251;-20.071;6.605;23.060;-19.531;4.861;23.391;-15.558;3.038;29.437;-14.399;3.304;31.596;-12.472;4.036;33.257;-11.402;4.914;34.196;-19.975;5.529;23.661;-17.665;4.199;30.636;-15.318;4.715;34.024;-13.063;6.129;35.467;-11.390;7.056;36.189;-20.223;6.854;23.687;-18.850;6.330;31.636;-16.661;6.562;35.150;-14.167;7.624;37.133;-12.540;8.333;38.374;-20.936;7.645;23.730;-19.873;8.559;31.597;-17.731;9.214;34.720;-15.633;10.019;36.462;-13.880;10.440;37.468;-20.194;8.571;25.496;-20.462;11.446;27.745;-18.708;12.584;29.895;-17.391;13.635;32.124;1.083;36.853;-2.816;15.260;34.594;-0.862;20.535;21.033;-2.175;26.365;6.044;-3.626;22.888;5.253;8.763;18.865;3.904;23.910;18.185;2.265;24.623;16.830;-0.727;30.390;15.685;-1.758;32.988;14.351;-2.035;34.966;13.249;-2.067;36.268;18.661;2.973;24.951;18.616;0.802;31.065;17.315;-0.121;35.169;15.511;-0.209;37.966;14.337;-0.133;39.702;18.609;4.167;25.350;19.642;2.651;32.207;18.675;1.693;36.657;17.044;1.738;39.218;15.786;1.987;40.989;19.003;4.998;25.378;20.208;5.080;32.576;19.225;5.013;36.312;17.746;4.950;38.501;16.420;5.020;40.290;18.953;5.859;26.098;20.207;8.549;28.609;19.761;8.971;31.992;19.153;10.577;34.142;0.000;0.000;0.000;-7.658;-12.229;-0.651;-10.029;-32.877;0.553;-12.813;-57.116;1.967;-12.472;-101.413;-6.282;7.536;-12.401;-1.360;9.620;-33.005;-0.178;12.066;-57.193;1.209;11.800;-101.602;-7.974
