Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1978.000;79.120;0.040;7.222;-0.252;-0.003;14.026;-0.359;-0.179;26.067;-0.383;-0.553;41.951;-1.016;-0.769;46.249;2.080;-0.624;52.784;3.263;-7.455;56.881;4.281;6.298;56.852;3.379;-3.368;58.840;11.517;3.200;58.826;11.086;-1.926;36.726;-2.468;-15.995;34.761;-1.454;-21.157;21.697;-2.438;-26.863;7.257;-3.526;-22.722;5.496;8.634;-18.106;3.350;22.903;-18.398;1.635;23.661;-15.414;-0.456;30.293;-14.618;-0.421;32.624;-13.931;-0.826;35.049;-13.381;-0.736;36.625;-18.511;2.465;23.782;-16.497;1.800;30.989;-15.083;2.490;34.739;-14.266;2.933;37.535;-13.688;3.184;39.481;-18.023;3.789;23.397;-16.727;4.318;31.500;-15.735;4.830;35.411;-14.704;5.398;38.598;-14.389;5.656;40.725;-18.316;4.812;23.245;-16.641;6.606;31.000;-14.959;7.241;34.394;-13.577;7.644;36.806;-12.409;7.710;38.507;-17.286;5.608;24.955;-16.848;8.826;26.499;-15.297;10.012;28.289;-15.252;12.477;29.603;1.292;36.811;-2.229;15.407;34.690;0.313;20.961;21.265;-0.582;27.100;6.426;-1.572;22.697;5.331;10.510;17.722;3.643;25.238;17.306;1.929;26.266;15.870;0.218;32.667;14.734;-0.513;35.390;13.240;-0.667;37.301;12.051;-0.712;38.523;17.521;2.805;26.416;17.116;2.339;33.017;15.618;2.094;37.178;13.414;2.325;39.700;11.991;2.584;41.220;17.156;4.088;26.535;17.682;4.501;33.689;16.403;4.505;38.214;14.537;4.726;40.580;12.976;5.120;42.058;17.328;4.979;26.378;17.738;7.060;33.448;17.072;7.770;37.170;15.618;7.909;39.321;14.110;8.143;40.946;17.043;5.912;26.936;17.632;9.249;28.641;17.422;10.938;31.413;17.562;13.643;31.899;0.000;0.000;0.000;-7.620;-12.231;-0.974;-10.498;-32.893;0.345;-13.877;-57.149;1.893;-14.172;-101.418;-6.052;7.590;-12.406;-0.942;9.546;-33.040;0.528;11.842;-57.262;2.253;11.800;-101.698;-6.757
1979.000;79.160;0.040;7.221;-0.255;-0.003;14.023;-0.366;-0.178;26.062;-0.399;-0.547;41.945;-1.036;-0.761;46.249;2.062;-0.615;52.791;3.242;-7.438;56.895;4.282;6.312;56.853;3.329;-3.323;58.856;11.501;3.243;58.836;11.046;-1.922;36.720;-2.486;-15.989;34.759;-1.464;-21.157;21.696;-2.441;-26.870;7.259;-3.521;-22.750;5.517;8.648;-18.156;3.394;22.927;-18.443;1.674;23.684;-15.495;-0.396;30.331;-14.702;-0.356;32.668;-14.019;-0.788;35.086;-13.465;-0.685;36.660;-18.553;2.504;23.801;-16.565;1.862;31.018;-15.152;2.552;34.771;-14.344;3.025;37.563;-13.780;3.284;39.512;-18.067;3.853;23.416;-16.803;4.388;31.521;-15.794;4.922;35.430;-14.773;5.492;38.615;-14.474;5.757;40.743;-18.367;4.876;23.261;-16.708;6.664;31.019;-15.040;7.297;34.418;-13.664;7.734;36.841;-12.523;7.764;38.562;-17.309;5.675;24.980;-16.910;8.878;26.511;-15.363;10.058;28.308;-15.305;12.521;29.627;1.296;36.805;-2.249;15.412;34.673;0.286;20.955;21.242;-0.602;27.080;6.397;-1.584;22.686;5.329;10.502;17.721;3.676;25.239;17.308;1.992;26.282;15.873;0.271;32.676;14.740;-0.452;35.402;13.239;-0.615;37.306;12.046;-0.656;38.524;17.533;2.865;26.432;17.113;2.388;33.016;15.613;2.157;37.177;13.417;2.391;39.702;11.988;2.665;41.212;17.147;4.131;26.536;17.683;4.564;33.688;16.394;4.563;38.211;14.525;4.796;40.573;12.961;5.190;42.048;17.319;5.022;26.377;17.727;7.113;33.444;17.070;7.831;37.158;15.597;7.983;39.311;14.094;8.204;40.941;17.031;5.953;26.939;17.635;9.292;28.623;17.424;10.987;31.405;17.548;13.697;31.866;0.000;0.000;0.000;-7.619;-12.232;-0.971;-10.504;-32.892;0.349;-13.891;-57.145;1.898;-14.200;-101.413;-6.049;7.591;-12.406;-0.939;9.541;-33.040;0.537;11.830;-57.263;2.270;11.772;-101.697;-6.739
1980.000;79.200;0.040;7.218;-0.255;-0.002;14.017;-0.368;-0.176;26.052;-0.406;-0.546;41.935;-1.042;-0.757;46.243;2.056;-0.610;52.793;3.229;-7.431;56.897;4.283;6.315;56.857;3.285;-3.292;58.874;11.485;3.272;58.854;11.008;-1.922;36.710;-2.492;-15.990;34.750;-1.457;-21.153;21.685;-2.426;-26.859;7.244;-3.496;-22.748;5.512;8.677;-18.165;3.400;22.961;-18.451;1.682;23.719;-15.494;-0.388;30.371;-14.729;-0.339;32.704;-14.045;-0.766;35.120;-13.477;-0.654;36.688;-18.559;2.513;23.836;-16.580;1.878;31.055;-15.170;2.554;34.794;-14.344;3.022;37.599;-13.789;3.313;39.546;-18.093;3.843;23.454;-16.812;4.404;31.556;-15.787;4.940;35.457;-14.752;5.489;38.651;-14.461;5.789;40.776;-18.388;4.867;23.297;-16.722;6.699;31.043;-15.040;7.322;34.443;-13.674;7.730;36.866;-12.487;7.789;38.555;-17.272;5.670;25.007;-16.925;8.892;26.540;-15.377;10.079;28.331;-15.313;12.539;29.656;1.296;36.794;-2.257;15.414;34.665;0.266;20.941;21.226;-0.631;27.049;6.374;-1.622;22.672;5.317;10.472;17.727;3.679;25.220;17.312;1.967;26.249;15.895;0.258;32.653;14.769;-0.464;35.380;13.273;-0.616;37.294;12.083;-0.673;38.516;17.528;2.843;26.395;17.122;2.391;32.996;15.654;2.137;37.161;13.461;2.373;39.688;12.025;2.653;41.191;17.159;4.126;26.518;17.702;4.562;33.664;16.418;4.572;38.182;14.547;4.801;40.552;12.976;5.195;42.019;17.327;5.017;26.360;17.753;7.112;33.417;17.095;7.836;37.133;15.634;7.977;39.290;14.117;8.211;40.907;17.047;5.956;26.924;17.645;9.292;28.601;17.435;10.983;31.363;17.619;13.678;31.884;0.000;0.000;0.000;-7.619;-12.232;-0.966;-10.503;-32.892;0.353;-13.889;-57.144;1.902;-14.201;-101.413;-6.055;7.591;-12.406;-0.943;9.540;-33.040;0.532;11.828;-57.263;2.263;11.761;-101.694;-6.753
1981.000;79.240;0.039;7.216;-0.256;-0.002;14.013;-0.370;-0.175;26.043;-0.411;-0.546;41.927;-1.039;-0.758;46.236;2.062;-0.619;52.791;3.236;-7.440;56.894;4.296;6.305;56.858;3.269;-3.287;58.886;11.485;3.277;58.869;10.995;-1.923;36.703;-2.490;-15.991;34.738;-1.446;-21.148;21.668;-2.414;-26.849;7.223;-3.484;-22.731;5.496;8.688;-18.138;3.392;22.971;-18.422;1.680;23.732;-15.467;-0.397;30.374;-14.690;-0.344;32.714;-14.008;-0.769;35.135;-13.461;-0.662;36.712;-18.538;2.510;23.851;-16.555;1.865;31.063;-15.128;2.573;34.807;-14.333;3.043;37.601;-13.748;3.306;39.543;-18.051;3.841;23.463;-16.788;4.393;31.560;-15.788;4.934;35.466;-14.738;5.497;38.657;-14.457;5.801;40.783;-18.349;4.864;23.306;-16.701;6.678;31.053;-15.003;7.299;34.450;-13.628;7.710;36.848;-12.439;7.785;38.534;-17.330;5.688;25.046;-16.907;8.879;26.546;-15.359;10.074;28.328;-15.312;12.523;29.673;1.295;36.787;-2.258;15.414;34.654;0.248;20.926;21.213;-0.669;27.017;6.357;-1.682;22.657;5.294;10.418;17.734;3.647;25.171;17.326;1.930;26.197;15.909;0.222;32.606;14.778;-0.510;35.330;13.285;-0.664;37.241;12.095;-0.713;38.462;17.542;2.806;26.343;17.145;2.351;32.948;15.664;2.096;37.109;13.453;2.344;39.626;12.027;2.611;41.141;17.166;4.093;26.470;17.706;4.528;33.620;16.423;4.533;38.135;14.557;4.753;40.504;12.980;5.145;41.965;17.338;4.984;26.312;17.774;7.070;33.372;17.110;7.784;37.091;15.651;7.920;39.246;14.124;8.143;40.853;17.064;5.919;26.865;17.652;9.254;28.555;17.433;10.954;31.341;17.618;13.658;31.818;0.000;0.000;0.000;-7.619;-12.233;-0.961;-10.502;-32.892;0.358;-13.886;-57.145;1.907;-14.203;-101.414;-6.052;7.592;-12.405;-0.948;9.542;-33.040;0.525;11.831;-57.263;2.255;11.760;-101.691;-6.754
1982.000;79.280;0.039;7.214;-0.256;0.000;14.009;-0.375;-0.166;26.037;-0.429;-0.531;41.921;-1.057;-0.739;46.233;2.042;-0.599;52.794;3.209;-7.418;56.898;4.275;6.324;56.861;3.229;-3.256;58.897;11.457;3.307;58.879;10.957;-1.911;36.697;-2.507;-15.976;34.734;-1.457;-21.132;21.665;-2.425;-26.831;7.221;-3.494;-22.703;5.501;8.672;-18.101;3.401;22.948;-18.377;1.675;23.713;-15.412;-0.374;30.350;-14.621;-0.322;32.690;-13.941;-0.745;35.115;-13.387;-0.642;36.690;-18.485;2.507;23.829;-16.494;1.873;31.044;-15.041;2.609;34.783;-14.253;3.067;37.572;-13.671;3.331;39.515;-18.007;3.855;23.445;-16.731;4.400;31.540;-15.689;4.939;35.438;-14.618;5.520;38.618;-14.319;5.830;40.741;-18.310;4.869;23.292;-16.647;6.703;31.028;-14.939;7.302;34.418;-13.536;7.721;36.819;-12.359;7.793;38.514;-17.290;5.675;24.997;-16.862;8.896;26.523;-15.301;10.090;28.314;-15.252;12.550;29.637;1.307;36.780;-2.278;15.430;34.638;0.216;20.925;21.192;-0.717;26.998;6.331;-1.748;22.649;5.263;10.356;17.740;3.611;25.113;17.323;1.898;26.138;15.897;0.185;32.546;14.772;-0.545;35.269;13.280;-0.702;37.184;12.095;-0.760;38.410;17.542;2.774;26.285;17.144;2.312;32.888;15.659;2.055;37.053;13.445;2.301;39.562;12.011;2.574;41.068;17.168;4.075;26.409;17.716;4.486;33.561;16.431;4.483;38.079;14.553;4.716;40.441;12.989;5.110;41.916;17.345;4.966;26.253;17.779;7.026;33.322;17.116;7.743;37.038;15.649;7.874;39.193;14.139;8.098;40.817;17.062;5.888;26.823;17.672;9.217;28.508;17.487;10.902;31.279;17.645;13.604;31.774;0.000;0.000;0.000;-7.619;-12.233;-0.961;-10.505;-32.891;0.355;-13.893;-57.141;1.901;-14.224;-101.409;-6.056;7.591;-12.405;-0.955;9.542;-33.037;0.510;11.831;-57.259;2.231;11.761;-101.694;-6.765
1983.000;79.320;0.039;7.212;-0.257;0.001;14.005;-0.380;-0.162;26.028;-0.449;-0.518;41.912;-1.080;-0.721;46.228;2.022;-0.577;52.795;3.187;-7.392;56.904;4.260;6.350;56.858;3.198;-3.220;58.902;11.436;3.342;58.880;10.929;-1.903;36.689;-2.527;-15.968;34.730;-1.466;-21.123;21.662;-2.432;-26.820;7.219;-3.499;-22.672;5.511;8.665;-18.045;3.429;22.940;-18.315;1.702;23.701;-15.333;-0.334;30.336;-14.550;-0.266;32.672;-13.850;-0.688;35.090;-13.309;-0.553;36.666;-18.424;2.534;23.818;-16.426;1.894;31.028;-14.951;2.630;34.753;-14.132;3.125;37.540;-13.554;3.359;39.487;-17.961;3.872;23.436;-16.654;4.433;31.520;-15.592;4.974;35.410;-14.487;5.547;38.572;-14.160;5.868;40.689;-18.262;4.890;23.281;-16.569;6.733;31.006;-14.857;7.343;34.385;-13.474;7.737;36.795;-12.261;7.812;38.464;-17.174;5.699;24.988;-16.812;8.923;26.506;-15.254;10.116;28.286;-15.196;12.571;29.619;1.316;36.770;-2.300;15.437;34.622;0.179;20.922;21.175;-0.769;26.984;6.313;-1.817;22.649;5.242;10.290;17.757;3.585;25.050;17.347;1.864;26.077;15.937;0.148;32.484;14.818;-0.581;35.215;13.330;-0.746;37.132;12.143;-0.804;38.356;17.565;2.740;26.223;17.178;2.269;32.829;15.711;2.016;37.000;13.495;2.255;39.511;12.064;2.516;41.023;17.194;4.014;26.353;17.764;4.458;33.505;16.467;4.450;38.023;14.600;4.674;40.394;13.034;5.067;41.867;17.362;4.906;26.195;17.824;6.997;33.254;17.150;7.704;36.978;15.693;7.841;39.137;14.180;8.067;40.758;17.086;5.855;26.762;17.688;9.187;28.450;17.499;10.872;31.239;17.658;13.577;31.716;0.000;0.000;0.000;-7.620;-12.233;-0.958;-10.502;-32.890;0.355;-13.886;-57.141;1.896;-14.217;-101.409;-6.059;7.591;-12.405;-0.959;9.542;-33.036;0.505;11.831;-57.256;2.223;11.760;-101.694;-6.760
1984.000;79.360;0.040;7.209;-0.258;0.004;14.000;-0.386;-0.155;26.019;-0.468;-0.506;41.903;-1.102;-0.704;46.223;2.001;-0.552;52.794;3.167;-7.362;56.908;4.253;6.378;56.851;3.167;-3.175;58.902;11.422;3.386;58.875;10.904;-1.894;36.680;-2.547;-15.961;34.730;-1.472;-21.113;21.659;-2.435;-26.807;7.211;-3.500;-22.631;5.527;8.656;-17.972;3.471;22.922;-18.236;1.739;23.685;-15.241;-0.283;30.309;-14.436;-0.206;32.641;-13.726;-0.606;35.065;-13.165;-0.492;36.636;-18.343;2.571;23.799;-16.314;1.958;31.007;-14.820;2.694;34.721;-13.971;3.172;37.499;-13.378;3.415;39.441;-17.888;3.913;23.421;-16.551;4.498;31.498;-15.455;5.036;35.372;-14.319;5.634;38.517;-13.953;5.923;40.632;-18.189;4.930;23.265;-16.477;6.784;30.985;-14.760;7.397;34.366;-13.366;7.801;36.768;-12.171;7.892;38.449;-17.173;5.757;24.968;-16.735;8.967;26.483;-15.198;10.169;28.273;-15.119;12.640;29.577;1.325;36.760;-2.323;15.448;34.609;0.138;20.922;21.158;-0.821;26.973;6.292;-1.881;22.658;5.211;10.234;17.792;3.539;25.003;17.379;1.836;26.029;15.980;0.093;32.431;14.846;-0.648;35.155;13.360;-0.815;37.074;12.176;-0.879;38.301;17.605;2.709;26.178;17.220;2.219;32.780;15.736;1.964;36.945;13.520;2.206;39.455;12.086;2.476;40.962;17.230;3.979;26.304;17.805;4.404;33.458;16.505;4.380;37.977;14.637;4.604;40.345;13.071;4.996;41.819;17.402;4.870;26.147;17.859;6.937;33.213;17.210;7.640;36.942;15.747;7.774;39.103;14.242;8.002;40.731;17.108;5.815;26.718;17.722;9.138;28.415;17.536;10.822;31.203;17.692;13.527;31.681;0.000;0.000;0.000;-7.620;-12.232;-0.955;-10.501;-32.891;0.354;-13.883;-57.143;1.890;-14.216;-101.410;-6.070;7.590;-12.405;-0.962;9.542;-33.037;0.496;11.833;-57.258;2.208;11.762;-101.694;-6.774
1985.000;79.400;0.041;7.207;-0.260;0.006;13.996;-0.394;-0.149;26.012;-0.489;-0.493;41.896;-1.133;-0.684;46.222;1.975;-0.521;52.798;3.150;-7.328;56.915;4.243;6.410;56.851;3.144;-3.134;58.905;11.408;3.427;58.875;10.883;-1.885;36.673;-2.573;-15.950;34.729;-1.480;-21.103;21.658;-2.439;-26.799;7.211;-3.500;-22.594;5.570;8.648;-17.901;3.564;22.906;-18.164;1.841;23.671;-15.151;-0.165;30.297;-14.319;-0.089;32.626;-13.629;-0.468;35.048;-13.068;-0.328;36.617;-18.273;2.672;23.784;-16.205;2.083;30.988;-14.709;2.798;34.696;-13.871;3.293;37.472;-13.260;3.549;39.407;-17.825;4.005;23.406;-16.472;4.637;31.478;-15.358;5.169;35.340;-14.221;5.756;38.479;-13.823;6.057;40.587;-18.119;5.024;23.248;-16.384;6.898;30.956;-14.664;7.520;34.324;-13.256;7.930;36.736;-12.083;7.995;38.434;-17.103;5.845;24.934;-16.660;9.074;26.441;-15.094;10.280;28.229;-15.057;12.750;29.535;1.335;36.751;-2.353;15.458;34.590;0.090;20.919;21.134;-0.868;26.956;6.262;-1.926;22.666;5.169;10.200;17.830;3.485;24.981;17.422;1.758;25.997;16.030;0.023;32.402;14.897;-0.729;35.123;13.402;-0.906;37.039;12.217;-0.965;38.264;17.641;2.633;26.144;17.263;2.151;32.755;15.793;1.888;36.925;13.522;2.116;39.397;12.082;2.387;40.897;17.263;3.929;26.286;17.840;4.322;33.433;16.543;4.305;37.951;14.667;4.522;40.310;13.089;4.918;41.769;17.435;4.821;26.131;17.921;6.876;33.185;17.257;7.566;36.929;15.788;7.682;39.083;14.277;7.914;40.704;17.160;5.756;26.698;17.761;9.080;28.406;17.561;10.755;31.189;17.699;13.456;31.697;0.000;0.000;0.000;-7.620;-12.233;-0.954;-10.499;-32.890;0.345;-13.879;-57.139;1.870;-14.210;-101.402;-6.106;7.590;-12.405;-0.963;9.542;-33.035;0.485;11.834;-57.254;2.185;11.765;-101.687;-6.807
1986.000;79.440;0.041;7.205;-0.262;0.007;13.991;-0.402;-0.144;26.001;-0.517;-0.490;41.885;-1.164;-0.677;46.216;1.948;-0.507;52.797;3.127;-7.312;56.914;4.228;6.425;56.850;3.114;-3.110;58.903;11.389;3.450;58.873;10.857;-1.883;36.661;-2.601;-15.951;34.712;-1.479;-21.102;21.642;-2.446;-26.796;7.197;-3.515;-22.557;5.683;8.622;-17.819;3.827;22.872;-18.053;2.101;23.638;-15.018;0.156;30.258;-14.182;0.241;32.588;-13.483;-0.118;35.007;-12.922;0.026;36.576;-18.169;2.931;23.752;-16.116;2.352;30.948;-14.611;3.091;34.655;-13.768;3.564;37.439;-13.175;3.842;39.376;-17.786;4.280;23.361;-16.397;4.878;31.439;-15.267;5.446;35.303;-14.101;6.051;38.449;-13.728;6.346;40.562;-18.094;5.293;23.208;-16.337;7.175;30.915;-14.621;7.806;34.300;-13.250;8.216;36.725;-12.078;8.284;38.423;-17.044;6.110;24.887;-16.640;9.354;26.420;-15.096;10.576;28.209;-15.080;13.056;29.497;1.337;36.740;-2.384;15.461;34.586;0.039;20.925;21.127;-0.906;26.964;6.252;-1.951;22.698;5.120;10.186;17.883;3.395;24.988;17.491;1.655;25.983;16.094;-0.126;32.377;14.955;-0.906;35.087;13.453;-1.096;36.987;12.259;-1.156;38.204;17.706;2.531;26.134;17.324;1.978;32.747;15.803;1.705;36.894;13.504;1.928;39.331;12.027;2.226;40.790;17.318;3.799;26.302;17.885;4.197;33.435;16.568;4.131;37.945;14.636;4.348;40.260;13.027;4.716;41.692;17.480;4.693;26.151;17.937;6.717;33.224;17.230;7.367;36.940;15.751;7.451;39.085;14.224;7.652;40.696;17.213;5.631;26.704;17.747;8.958;28.476;17.492;10.587;31.275;17.590;13.278;31.841;0.000;0.000;0.000;-7.620;-12.232;-0.957;-10.499;-32.893;0.342;-13.880;-57.146;1.866;-14.206;-101.400;-6.130;7.590;-12.404;-0.967;9.544;-33.034;0.476;11.836;-57.251;2.171;11.769;-101.683;-6.837
