Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2118.000;84.720;0.012;7.181;-0.277;0.011;13.939;-0.601;-0.007;25.892;-1.254;-0.278;41.745;-2.451;-0.290;46.063;0.519;0.077;52.455;1.661;-6.789;56.463;2.790;6.933;56.633;1.503;-2.535;58.630;9.869;4.018;58.711;9.254;-1.751;36.484;-3.654;-15.840;34.610;-2.260;-20.831;21.499;-3.091;-26.348;7.009;-4.008;-23.464;7.267;8.427;-20.241;7.575;23.090;-20.743;5.990;23.728;-18.786;3.311;30.462;-18.446;2.770;32.801;-18.152;1.614;35.082;-17.871;1.327;36.705;-20.818;6.821;23.867;-19.804;5.666;31.177;-18.668;5.614;35.123;-17.627;5.663;37.908;-16.903;5.598;39.819;-20.309;7.961;23.669;-19.699;8.233;31.839;-18.440;8.230;35.706;-16.818;8.342;38.652;-15.932;8.255;40.627;-20.451;9.036;23.525;-19.441;10.607;31.462;-18.043;10.875;35.055;-16.838;11.003;37.559;-15.785;10.743;39.315;-19.319;9.741;25.205;-19.141;12.905;27.245;-18.008;14.338;29.420;-19.038;16.719;30.457;1.474;36.547;-3.550;15.654;33.967;-1.525;20.773;20.345;-2.668;26.430;5.288;-3.932;23.533;5.918;8.409;20.401;6.353;23.487;20.239;4.774;24.689;19.320;3.351;31.282;18.973;2.185;33.938;18.237;1.390;36.124;17.622;0.893;37.636;20.402;5.672;24.741;20.332;5.741;31.383;19.643;5.643;35.719;18.419;5.677;38.802;17.534;5.840;40.696;19.940;6.771;24.828;20.648;8.115;31.861;20.278;8.532;36.461;19.005;8.884;39.212;17.929;9.322;41.063;19.962;7.655;24.569;20.479;10.736;31.325;19.917;12.039;34.949;19.248;12.586;37.426;18.504;13.103;39.462;19.682;8.762;24.989;20.013;12.346;26.377;20.059;14.265;28.929;20.020;17.015;29.021;0.000;0.000;0.000;-7.599;-12.267;-0.623;-9.314;-33.162;0.179;-11.323;-57.691;1.120;-9.599;-101.858;-7.222;7.587;-12.354;-1.497;8.822;-33.277;-0.167;10.276;-57.839;1.393;7.894;-102.151;-7.310
2119.000;84.760;0.012;7.181;-0.275;0.010;13.940;-0.597;-0.010;25.894;-1.243;-0.279;41.747;-2.444;-0.290;46.064;0.525;0.075;52.454;1.668;-6.790;56.461;2.804;6.931;56.632;1.509;-2.532;58.623;9.882;4.020;58.705;9.263;-1.754;36.486;-3.645;-15.841;34.616;-2.245;-20.845;21.507;-3.060;-26.376;7.018;-3.960;-23.501;7.309;8.477;-20.290;7.657;23.142;-20.795;6.076;23.782;-18.830;3.412;30.532;-18.493;2.849;32.861;-18.212;1.682;35.128;-17.930;1.400;36.752;-20.869;6.908;23.918;-19.852;5.761;31.228;-18.689;5.724;35.174;-17.635;5.790;37.954;-16.906;5.727;39.864;-20.341;8.052;23.719;-19.729;8.323;31.882;-18.454;8.329;35.750;-16.780;8.470;38.686;-15.899;8.376;40.662;-20.485;9.124;23.572;-19.487;10.707;31.493;-18.035;10.969;35.090;-16.826;11.059;37.598;-15.770;10.854;39.361;-19.352;9.822;25.243;-19.164;12.996;27.286;-18.012;14.429;29.447;-19.026;16.818;30.482;1.472;36.548;-3.543;15.652;33.966;-1.524;20.783;20.347;-2.657;26.453;5.294;-3.909;23.539;5.992;8.416;20.394;6.509;23.475;20.254;4.945;24.693;19.385;3.517;31.284;19.027;2.326;33.935;18.320;1.514;36.120;17.716;0.993;37.628;20.397;5.847;24.740;20.325;5.942;31.386;19.647;5.818;35.724;18.406;5.831;38.807;17.516;5.994;40.699;19.957;6.928;24.795;20.613;8.326;31.847;20.235;8.762;36.457;18.936;9.100;39.202;17.866;9.524;41.060;19.961;7.810;24.533;20.375;10.947;31.306;19.774;12.250;34.935;19.094;12.815;37.384;18.334;13.318;39.418;19.596;8.934;24.984;19.863;12.530;26.363;19.822;14.470;28.901;19.667;17.216;28.980;0.000;0.000;0.000;-7.602;-12.265;-0.621;-9.316;-33.161;0.178;-11.324;-57.691;1.116;-9.607;-101.859;-7.221;7.583;-12.355;-1.504;8.817;-33.278;-0.174;10.270;-57.839;1.387;7.880;-102.151;-7.309
2120.000;84.800;0.011;7.182;-0.275;0.009;13.940;-0.594;-0.011;25.895;-1.236;-0.279;41.748;-2.434;-0.292;46.065;0.536;0.070;52.453;1.682;-6.796;56.459;2.822;6.924;56.632;1.523;-2.536;58.620;9.899;4.016;58.703;9.278;-1.755;36.488;-3.636;-15.841;34.616;-2.234;-20.856;21.509;-3.034;-26.400;7.023;-3.917;-23.542;7.348;8.520;-20.349;7.735;23.185;-20.861;6.161;23.831;-18.908;3.522;30.591;-18.562;2.957;32.921;-18.279;1.775;35.185;-17.998;1.490;36.809;-20.935;6.993;23.964;-19.886;5.872;31.281;-18.730;5.859;35.223;-17.698;5.938;37.998;-16.948;5.906;39.900;-20.405;8.143;23.760;-19.763;8.423;31.919;-18.497;8.463;35.787;-16.789;8.616;38.705;-15.892;8.526;40.674;-20.548;9.209;23.606;-19.531;10.819;31.528;-18.081;11.089;35.104;-16.834;11.181;37.595;-15.718;10.989;39.322;-19.405;9.911;25.274;-19.200;13.090;27.299;-18.044;14.536;29.468;-19.064;16.933;30.478;1.471;36.550;-3.534;15.651;33.963;-1.520;20.804;20.352;-2.632;26.499;5.307;-3.860;23.566;6.097;8.449;20.398;6.733;23.495;20.299;5.182;24.726;19.485;3.761;31.311;19.163;2.521;33.958;18.490;1.656;36.137;17.914;1.097;37.643;20.421;6.087;24.769;20.341;6.227;31.409;19.669;6.087;35.748;18.407;6.066;38.826;17.502;6.204;40.714;19.949;7.161;24.805;20.597;8.598;31.848;20.183;9.038;36.472;18.886;9.378;39.202;17.783;9.765;41.049;19.934;8.042;24.537;20.251;11.232;31.291;19.599;12.546;34.914;18.910;13.109;37.360;18.124;13.591;39.389;19.542;9.159;24.964;19.645;12.778;26.345;19.488;14.738;28.876;19.209;17.475;28.927;0.000;0.000;0.000;-7.599;-12.267;-0.619;-9.316;-33.162;0.180;-11.327;-57.691;1.118;-9.605;-101.859;-7.217;7.586;-12.353;-1.506;8.819;-33.277;-0.176;10.271;-57.839;1.384;7.877;-102.155;-7.310
2121.000;84.840;0.010;7.181;-0.273;0.007;13.940;-0.590;-0.013;25.895;-1.226;-0.281;41.749;-2.420;-0.293;46.065;0.552;0.068;52.453;1.705;-6.797;56.457;2.850;6.922;56.633;1.543;-2.534;58.614;9.926;4.018;58.699;9.302;-1.757;36.489;-3.623;-15.841;34.620;-2.220;-20.873;21.515;-3.005;-26.436;7.031;-3.872;-23.595;7.394;8.565;-20.423;7.826;23.229;-20.936;6.252;23.882;-18.961;3.627;30.664;-18.641;3.071;32.979;-18.368;1.890;35.244;-18.089;1.600;36.866;-21.003;7.085;24.011;-19.963;5.992;31.330;-18.792;5.981;35.270;-17.740;6.069;38.042;-16.977;6.043;39.939;-20.481;8.231;23.798;-19.813;8.569;31.957;-18.504;8.584;35.814;-16.772;8.742;38.700;-15.796;8.672;40.632;-20.622;9.301;23.643;-19.574;10.954;31.559;-18.080;11.224;35.119;-16.779;11.347;37.570;-15.632;11.096;39.268;-19.464;10.009;25.320;-19.252;13.199;27.311;-18.093;14.634;29.485;-19.077;17.045;30.499;1.469;36.551;-3.522;15.648;33.963;-1.511;20.839;20.360;-2.587;26.577;5.327;-3.775;23.608;6.227;8.513;20.400;7.005;23.542;20.351;5.435;24.776;19.606;4.074;31.369;19.321;2.810;34.018;18.690;1.910;36.194;18.139;1.335;37.703;20.432;6.345;24.807;20.348;6.564;31.456;19.705;6.434;35.801;18.432;6.386;38.875;17.514;6.493;40.758;19.921;7.476;24.833;20.571;8.954;31.868;20.104;9.410;36.503;18.790;9.742;39.221;17.652;10.110;41.051;19.896;8.354;24.556;20.098;11.582;31.306;19.392;12.914;34.906;18.678;13.481;37.339;17.878;13.979;39.359;19.482;9.432;24.989;19.423;13.069;26.346;19.156;15.041;28.867;18.735;17.760;28.885;0.000;0.000;0.000;-7.598;-12.268;-0.617;-9.314;-33.163;0.188;-11.326;-57.692;1.132;-9.609;-101.860;-7.190;7.587;-12.352;-1.508;8.819;-33.275;-0.170;10.269;-57.837;1.400;7.867;-102.157;-7.283
2122.000;84.880;0.010;7.181;-0.273;0.006;13.939;-0.588;-0.019;25.894;-1.220;-0.287;41.747;-2.410;-0.300;46.066;0.568;0.064;52.457;1.728;-6.800;56.462;2.880;6.919;56.636;1.565;-2.532;58.614;9.955;4.019;58.697;9.327;-1.763;36.487;-3.614;-15.846;34.623;-2.211;-20.900;21.526;-2.988;-26.485;7.050;-3.847;-23.656;7.457;8.591;-20.500;7.938;23.256;-21.019;6.377;23.910;-19.042;3.722;30.685;-18.740;3.148;33.000;-18.470;1.952;35.277;-18.251;1.635;36.904;-21.082;7.211;24.038;-20.038;6.109;31.360;-18.865;6.079;35.298;-17.813;6.123;38.073;-17.055;6.072;39.972;-20.557;8.332;23.840;-19.897;8.675;31.983;-18.551;8.715;35.836;-16.791;8.853;38.717;-15.821;8.787;40.652;-20.679;9.400;23.677;-19.636;11.078;31.568;-18.063;11.339;35.127;-16.749;11.436;37.560;-15.605;11.213;39.264;-19.567;10.127;25.350;-19.268;13.306;27.331;-18.100;14.737;29.492;-19.047;17.158;30.517;1.463;36.550;-3.513;15.641;33.962;-1.498;20.897;20.375;-2.519;26.707;5.359;-3.647;23.691;6.399;8.616;20.435;7.357;23.618;20.426;5.790;24.864;19.700;4.451;31.456;19.495;3.159;34.100;18.901;2.188;36.255;18.388;1.552;37.752;20.471;6.703;24.887;20.354;6.988;31.537;19.696;6.859;35.885;18.404;6.772;38.949;17.474;6.874;40.826;19.908;7.875;24.898;20.503;9.379;31.928;20.011;9.877;36.555;18.660;10.184;39.266;17.481;10.530;41.074;19.874;8.750;24.614;19.929;11.988;31.337;19.123;13.347;34.910;18.345;13.916;37.327;17.501;14.401;39.332;19.440;9.770;25.037;19.193;13.423;26.369;18.730;15.399;28.864;18.226;18.105;28.841;0.000;0.000;0.000;-7.597;-12.268;-0.619;-9.317;-33.163;0.186;-11.333;-57.692;1.131;-9.619;-101.861;-7.187;7.588;-12.352;-1.506;8.817;-33.275;-0.169;10.263;-57.836;1.400;7.862;-102.157;-7.279
2123.000;84.920;0.010;7.181;-0.273;0.005;13.939;-0.588;-0.022;25.893;-1.219;-0.292;41.747;-2.407;-0.303;46.066;0.575;0.063;52.458;1.742;-6.799;56.465;2.901;6.919;56.635;1.579;-2.526;58.609;9.976;4.024;58.690;9.344;-1.767;36.487;-3.612;-15.847;34.619;-2.210;-20.920;21.527;-2.974;-26.527;7.056;-3.818;-23.702;7.506;8.616;-20.548;8.042;23.280;-21.080;6.485;23.935;-19.131;3.834;30.692;-18.782;3.208;33.010;-18.521;1.988;35.264;-18.279;1.655;36.884;-21.141;7.319;24.063;-20.060;6.225;31.391;-18.903;6.179;35.318;-17.842;6.220;38.089;-17.078;6.166;39.985;-20.610;8.436;23.855;-19.909;8.806;32.003;-18.583;8.840;35.856;-16.820;8.951;38.717;-15.812;8.879;40.633;-20.738;9.499;23.696;-19.645;11.209;31.582;-18.100;11.456;35.126;-16.770;11.512;37.573;-15.608;11.269;39.262;-19.620;10.220;25.362;-19.294;13.416;27.352;-18.089;14.834;29.499;-19.006;17.262;30.534;1.459;36.549;-3.510;15.634;33.967;-1.493;20.972;20.399;-2.433;26.873;5.404;-3.472;23.800;6.594;8.754;20.481;7.748;23.718;20.519;6.179;24.981;19.825;4.888;31.574;19.663;3.576;34.209;19.129;2.588;36.367;18.639;1.917;37.857;20.519;7.093;24.991;20.351;7.458;31.644;19.703;7.331;35.990;18.384;7.213;39.053;17.444;7.289;40.927;19.942;8.254;24.993;20.392;9.874;32.014;19.894;10.377;36.640;18.538;10.673;39.346;17.336;10.991;41.143;19.870;9.124;24.699;19.725;12.432;31.395;18.800;13.770;34.946;17.937;14.329;37.341;17.040;14.806;39.324;19.494;10.176;25.186;18.941;13.798;26.385;18.388;15.780;28.876;17.700;18.444;28.818;0.000;0.000;0.000;-7.599;-12.267;-0.617;-9.313;-33.162;0.189;-11.322;-57.691;1.135;-9.599;-101.858;-7.184;7.586;-12.352;-1.509;8.821;-33.273;-0.170;10.273;-57.833;1.403;7.878;-102.153;-7.275
2124.000;84.960;0.010;7.179;-0.273;0.007;13.936;-0.590;-0.016;25.888;-1.224;-0.286;41.742;-2.411;-0.298;46.064;0.576;0.069;52.460;1.752;-6.790;56.469;2.917;6.928;56.633;1.590;-2.514;58.605;9.991;4.037;58.684;9.358;-1.760;36.482;-3.618;-15.840;34.613;-2.222;-20.930;21.525;-2.977;-26.556;7.060;-3.811;-23.745;7.556;8.622;-20.612;8.144;23.283;-21.148;6.587;23.940;-19.174;3.940;30.696;-18.834;3.309;33.011;-18.565;2.048;35.243;-18.315;1.715;36.862;-21.202;7.422;24.067;-20.091;6.328;31.389;-18.901;6.273;35.313;-17.829;6.306;38.079;-17.046;6.251;39.968;-20.650;8.544;23.863;-19.932;8.911;32.004;-18.587;8.903;35.851;-16.730;8.996;38.682;-15.705;8.935;40.589;-20.777;9.607;23.704;-19.631;11.320;31.576;-18.034;11.559;35.096;-16.657;11.648;37.517;-15.461;11.404;39.183;-19.688;10.337;25.373;-19.295;13.514;27.348;-18.057;14.927;29.492;-18.951;17.366;30.520;1.465;36.545;-3.514;15.635;33.960;-1.485;21.061;20.416;-2.332;27.059;5.446;-3.268;23.912;6.791;8.917;20.509;8.142;23.841;20.622;6.582;25.124;19.928;5.350;31.722;19.839;4.052;34.370;19.359;3.048;36.519;18.894;2.369;38.013;20.576;7.495;25.121;20.333;7.915;31.771;19.687;7.850;36.116;18.377;7.696;39.181;17.427;7.759;41.050;19.956;8.642;25.102;20.253;10.381;32.113;19.743;10.896;36.731;18.398;11.160;39.437;17.178;11.438;41.229;19.844;9.504;24.796;19.499;12.882;31.459;18.490;14.240;34.987;17.604;14.756;37.374;16.661;15.196;39.344;19.276;10.537;25.255;18.692;14.169;26.436;18.038;16.160;28.907;17.192;18.775;28.769;0.000;0.000;0.000;-7.599;-12.267;-0.617;-9.318;-33.160;0.188;-11.332;-57.688;1.133;-9.614;-101.854;-7.189;7.586;-12.353;-1.509;8.817;-33.274;-0.170;10.266;-57.833;1.401;7.864;-102.152;-7.279
2125.000;85.000;0.010;7.177;-0.274;0.008;13.933;-0.592;-0.010;25.881;-1.233;-0.280;41.735;-2.415;-0.293;46.060;0.577;0.080;52.459;1.758;-6.779;56.467;2.924;6.938;56.633;1.597;-2.503;58.602;9.999;4.047;58.681;9.365;-1.753;36.476;-3.624;-15.832;34.605;-2.234;-20.941;21.526;-2.982;-26.589;7.070;-3.808;-23.791;7.626;8.616;-20.677;8.285;23.271;-21.223;6.726;23.933;-19.214;4.062;30.680;-18.878;3.426;32.995;-18.612;2.151;35.219;-18.363;1.770;36.828;-21.268;7.562;24.056;-20.117;6.468;31.379;-18.895;6.390;35.304;-17.823;6.398;38.066;-17.036;6.324;39.952;-20.707;8.694;23.853;-19.896;9.056;31.997;-18.524;9.041;35.829;-16.678;9.084;38.644;-15.618;9.011;40.531;-20.827;9.755;23.692;-19.596;11.464;31.559;-17.964;11.696;35.065;-16.565;11.750;37.474;-15.349;11.548;39.131;-19.704;10.481;25.363;-19.250;13.650;27.314;-17.985;15.060;29.449;-18.836;17.510;30.488;1.472;36.538;-3.518;15.638;33.948;-1.483;21.154;20.430;-2.222;27.251;5.489;-3.040;24.038;7.017;9.093;20.563;8.605;23.968;20.744;7.067;25.261;20.044;5.895;31.885;20.022;4.574;34.511;19.620;3.535;36.649;19.182;2.828;38.139;20.652;7.977;25.244;20.317;8.473;31.898;19.656;8.398;36.245;18.331;8.179;39.301;17.368;8.201;41.164;19.977;9.120;25.208;20.115;10.926;32.233;19.609;11.421;36.844;18.220;11.609;39.544;16.976;11.824;41.327;19.832;9.972;24.892;19.245;13.386;31.534;18.142;14.671;35.060;17.198;15.141;37.450;16.210;15.549;39.406;19.130;10.969;25.344;18.394;14.589;26.488;17.593;16.553;28.923;16.599;19.113;28.753;0.000;0.000;0.000;-7.600;-12.266;-0.620;-9.322;-33.159;0.189;-11.340;-57.684;1.137;-9.627;-101.851;-7.182;7.585;-12.353;-1.509;8.811;-33.274;-0.167;10.254;-57.834;1.408;7.845;-102.155;-7.269
2126.000;85.040;0.011;7.177;-0.275;0.011;13.932;-0.594;-0.003;25.879;-1.235;-0.269;41.735;-2.401;-0.280;46.057;0.591;0.096;52.459;1.767;-6.766;56.465;2.928;6.953;56.635;1.611;-2.495;58.601;10.006;4.056;58.683;9.377;-1.743;36.477;-3.615;-15.817;34.610;-2.229;-21.017;21.568;-2.913;-26.764;7.154;-3.669;-23.958;7.822;8.730;-20.839;8.628;23.361;-21.433;7.099;24.044;-19.415;4.378;30.759;-19.051;3.625;33.031;-18.799;2.305;35.240;-18.545;1.875;36.835;-21.456;7.937;24.164;-20.206;6.823;31.478;-18.944;6.633;35.383;-17.839;6.581;38.141;-17.026;6.449;40.012;-20.821;9.086;23.924;-19.889;9.417;32.091;-18.467;9.304;35.910;-16.556;9.275;38.693;-15.456;9.125;40.552;-20.930;10.144;23.770;-19.485;11.808;31.625;-17.817;11.986;35.115;-16.365;11.988;37.504;-15.131;11.711;39.136;-19.745;10.798;25.430;-19.106;13.952;27.363;-17.744;15.322;29.461;-18.464;17.807;30.516;1.483;36.539;-3.509;15.639;33.936;-1.481;21.312;20.475;-2.027;27.582;5.597;-2.630;24.269;7.418;9.414;20.673;9.378;24.200;20.982;7.902;25.512;20.311;6.732;32.136;20.384;5.363;34.737;20.096;4.244;36.849;19.738;3.469;38.326;20.814;8.800;25.482;20.328;9.349;32.139;19.674;9.137;36.491;18.370;8.779;39.534;17.409;8.681;41.396;20.051;9.906;25.405;19.943;11.783;32.441;19.404;12.208;37.082;18.027;12.262;39.791;16.776;12.363;41.580;19.846;10.742;25.076;18.821;14.165;31.715;17.585;15.398;35.233;16.603;15.815;37.619;15.603;16.198;39.574;19.007;11.670;25.577;17.885;15.219;26.631;16.875;17.103;29.003;15.635;19.554;28.847;0.000;0.000;0.000;-7.600;-12.266;-0.620;-9.320;-33.156;0.194;-11.336;-57.679;1.150;-9.616;-101.850;-7.164;7.585;-12.354;-1.502;8.814;-33.274;-0.154;10.259;-57.832;1.427;7.858;-102.153;-7.253
