Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2542.000;101.680;0.020;7.235;-0.349;-0.045;14.049;-0.629;-0.266;26.106;-1.063;-0.588;41.982;-1.880;-0.557;46.321;1.218;-0.122;52.841;2.435;-6.930;56.900;3.724;6.762;56.965;2.145;-2.509;59.008;10.718;4.029;59.039;9.964;-2.063;36.748;-3.191;-15.983;35.083;-1.775;-21.104;22.188;-3.132;-26.764;7.935;-4.631;-22.884;5.110;7.487;-18.543;1.744;21.718;-19.193;0.071;22.295;-16.513;-2.993;28.581;-15.210;-3.128;30.750;-13.993;-3.884;32.863;-13.104;-3.927;34.278;-19.174;0.895;22.488;-17.470;-0.830;29.549;-15.541;-1.171;33.161;-13.784;-1.341;35.575;-12.561;-1.561;37.199;-18.395;2.155;22.265;-17.156;1.668;30.301;-15.456;1.186;33.969;-13.487;0.943;36.657;-12.240;0.716;38.414;-18.518;3.224;22.217;-16.848;3.969;30.032;-15.414;3.777;33.569;-13.929;3.494;35.957;-12.696;3.043;37.550;-17.206;3.527;23.892;-16.235;6.389;25.974;-14.684;7.156;28.047;-14.221;9.651;29.217;1.164;36.817;-3.122;15.288;34.388;-1.449;20.678;20.838;-2.865;26.636;5.862;-4.430;22.449;4.264;7.665;17.720;1.985;22.434;17.686;0.183;23.286;16.100;-2.446;29.327;15.127;-3.821;31.786;13.810;-4.771;33.642;12.853;-5.401;34.907;17.706;1.068;23.517;16.803;-0.098;30.011;15.241;-1.145;33.980;13.349;-1.800;36.631;12.095;-2.135;38.279;17.084;2.124;23.746;16.745;2.109;30.917;15.334;1.368;35.287;13.674;0.913;37.779;12.419;0.688;39.554;17.019;3.039;23.661;16.235;4.619;30.911;15.066;4.770;34.627;14.093;4.518;37.021;13.108;4.353;39.014;16.510;3.999;24.226;16.198;7.215;26.244;15.783;8.572;29.107;15.350;11.216;29.737;0.000;0.000;0.000;-7.660;-12.236;-0.459;-9.575;-32.977;0.730;-11.823;-57.324;2.126;-10.411;-101.455;-6.474;7.529;-12.415;-1.260;9.456;-33.042;0.236;11.719;-57.257;1.992;11.002;-101.725;-7.579
2543.000;101.720;0.020;7.233;-0.355;-0.047;14.044;-0.645;-0.273;26.097;-1.102;-0.596;41.972;-1.932;-0.567;46.313;1.168;-0.133;52.833;2.392;-6.941;56.891;3.680;6.751;56.956;2.110;-2.525;58.993;10.678;4.014;59.024;9.928;-2.070;36.736;-3.240;-15.991;35.071;-1.831;-21.113;22.176;-3.186;-26.774;7.923;-4.684;-22.902;5.092;7.437;-18.569;1.722;21.669;-19.230;0.042;22.246;-16.556;-3.003;28.545;-15.220;-3.194;30.680;-14.008;-3.886;32.812;-13.112;-3.935;34.223;-19.208;0.866;22.438;-17.535;-0.839;29.502;-15.614;-1.188;33.126;-13.824;-1.351;35.522;-12.586;-1.571;37.134;-18.437;2.120;22.217;-17.198;1.661;30.258;-15.537;1.186;33.941;-13.539;0.945;36.617;-12.292;0.686;38.369;-18.553;3.192;22.167;-16.899;3.940;29.986;-15.423;3.790;33.511;-13.913;3.473;35.906;-12.732;2.995;37.531;-17.259;3.503;23.847;-16.225;6.355;25.929;-14.654;7.115;27.983;-14.146;9.589;29.178;1.156;36.806;-3.169;15.279;34.380;-1.486;20.674;20.832;-2.899;26.638;5.858;-4.461;22.450;4.253;7.632;17.711;1.966;22.401;17.690;0.166;23.253;16.099;-2.467;29.288;15.124;-3.849;31.744;13.816;-4.802;33.602;12.846;-5.419;34.863;17.708;1.049;23.487;16.797;-0.135;29.968;15.233;-1.186;33.936;13.326;-1.840;36.586;12.078;-2.177;38.237;17.065;2.122;23.711;16.725;2.095;30.887;15.314;1.333;35.246;13.656;0.857;37.733;12.399;0.653;39.510;17.004;3.038;23.631;16.229;4.577;30.874;15.076;4.737;34.597;14.086;4.482;37.000;13.130;4.310;39.007;16.499;3.971;24.188;16.183;7.183;26.218;15.751;8.555;29.110;15.339;11.213;29.690;0.000;0.000;0.000;-7.659;-12.237;-0.456;-9.580;-32.976;0.718;-11.836;-57.322;2.097;-10.433;-101.443;-6.575;7.531;-12.416;-1.246;9.450;-33.042;0.210;11.702;-57.255;1.919;10.984;-101.713;-7.670
2544.000;101.760;0.019;7.232;-0.361;-0.049;14.043;-0.658;-0.278;26.095;-1.132;-0.604;41.969;-1.983;-0.576;46.313;1.114;-0.140;52.831;2.339;-6.950;56.885;3.631;6.743;56.957;2.061;-2.534;58.982;10.631;4.005;59.017;9.881;-2.077;36.731;-3.283;-15.997;35.067;-1.874;-21.119;22.170;-3.212;-26.779;7.915;-4.691;-22.912;5.084;7.433;-18.585;1.714;21.669;-19.243;0.041;22.249;-16.571;-3.011;28.546;-15.223;-3.190;30.678;-14.003;-3.883;32.798;-13.089;-3.912;34.198;-19.231;0.865;22.443;-17.552;-0.848;29.504;-15.630;-1.191;33.125;-13.827;-1.352;35.515;-12.563;-1.591;37.104;-18.452;2.125;22.218;-17.219;1.650;30.258;-15.563;1.157;33.945;-13.541;0.948;36.605;-12.284;0.684;38.349;-18.576;3.196;22.170;-16.909;3.935;29.988;-15.433;3.754;33.513;-13.927;3.440;35.898;-12.722;2.977;37.509;-17.278;3.494;23.844;-16.206;6.336;25.931;-14.598;7.070;27.970;-14.070;9.532;29.182;1.149;36.801;-3.213;15.275;34.376;-1.529;20.676;20.830;-2.929;26.647;5.857;-4.476;22.461;4.255;7.620;17.730;1.971;22.393;17.709;0.171;23.242;16.124;-2.459;29.283;15.145;-3.850;31.735;13.833;-4.792;33.594;12.871;-5.425;34.853;17.728;1.056;23.473;16.825;-0.127;29.964;15.244;-1.177;33.929;13.336;-1.847;36.575;12.096;-2.200;38.229;17.087;2.130;23.701;16.740;2.100;30.881;15.319;1.336;35.237;13.651;0.862;37.716;12.385;0.631;39.483;17.026;3.046;23.620;16.241;4.592;30.865;15.076;4.740;34.590;14.095;4.479;36.988;13.115;4.302;38.981;16.528;3.974;24.185;16.186;7.189;26.208;15.766;8.552;29.080;15.335;11.197;29.707;0.000;0.000;0.000;-7.659;-12.237;-0.448;-9.584;-32.976;0.699;-11.843;-57.322;2.045;-10.449;-101.431;-6.688;7.530;-12.416;-1.241;9.439;-33.037;0.158;11.680;-57.243;1.801;10.942;-101.697;-7.779
2545.000;101.800;0.018;7.229;-0.357;-0.049;14.036;-0.659;-0.275;26.080;-1.147;-0.603;41.953;-2.020;-0.573;46.302;1.073;-0.138;52.823;2.294;-6.947;56.882;3.575;6.748;56.945;2.021;-2.538;58.980;10.580;4.001;59.010;9.838;-2.076;36.714;-3.312;-15.994;35.054;-1.894;-21.119;22.156;-3.212;-26.784;7.902;-4.669;-22.914;5.071;7.459;-18.585;1.701;21.698;-19.252;0.041;22.282;-16.577;-3.023;28.576;-15.239;-3.197;30.702;-13.995;-3.881;32.823;-13.080;-3.914;34.223;-19.247;0.864;22.477;-17.567;-0.850;29.529;-15.618;-1.184;33.151;-13.812;-1.339;35.524;-12.536;-1.578;37.105;-18.435;2.142;22.237;-17.219;1.628;30.279;-15.569;1.164;33.973;-13.514;0.933;36.597;-12.207;0.678;38.305;-18.575;3.211;22.191;-16.930;3.917;30.012;-15.481;3.756;33.529;-13.912;3.429;35.898;-12.681;2.949;37.485;-17.296;3.490;23.894;-16.123;6.312;25.965;-14.483;7.000;27.970;-13.819;9.440;29.158;1.150;36.784;-3.244;15.274;34.363;-1.565;20.680;20.815;-2.939;26.656;5.841;-4.458;22.468;4.256;7.638;17.736;1.995;22.412;17.709;0.215;23.273;16.117;-2.427;29.310;15.150;-3.817;31.761;13.848;-4.770;33.607;12.865;-5.400;34.850;17.732;1.098;23.506;16.812;-0.091;29.985;15.225;-1.155;33.945;13.309;-1.821;36.590;12.079;-2.169;38.253;17.085;2.169;23.719;16.737;2.132;30.898;15.290;1.356;35.249;13.603;0.897;37.717;12.327;0.666;39.477;17.025;3.084;23.639;16.230;4.635;30.886;15.063;4.767;34.596;14.059;4.497;36.984;13.048;4.314;38.962;16.510;3.999;24.190;16.171;7.217;26.219;15.708;8.583;29.109;15.309;11.242;29.697;0.000;0.000;0.000;-7.659;-12.237;-0.448;-9.586;-32.979;0.670;-11.849;-57.328;1.982;-10.478;-101.428;-6.809;7.530;-12.415;-1.261;9.435;-33.039;0.088;11.672;-57.249;1.672;10.914;-101.699;-7.893
2546.000;101.840;0.017;7.226;-0.347;-0.048;14.029;-0.645;-0.263;26.067;-1.136;-0.592;41.940;-2.021;-0.555;46.293;1.070;-0.111;52.818;2.286;-6.923;56.878;3.546;6.773;56.942;2.010;-2.525;58.999;10.550;4.016;59.030;9.816;-2.067;36.699;-3.307;-15.982;35.045;-1.867;-21.121;22.150;-3.164;-26.800;7.899;-4.598;-22.914;5.074;7.528;-18.564;1.721;21.766;-19.221;0.024;22.337;-16.564;-2.999;28.653;-15.212;-3.166;30.778;-13.961;-3.850;32.886;-13.030;-3.873;34.275;-19.198;0.849;22.525;-17.560;-0.831;29.601;-15.603;-1.149;33.218;-13.740;-1.317;35.565;-12.462;-1.528;37.147;-18.411;2.165;22.304;-17.224;1.665;30.347;-15.572;1.188;34.048;-13.367;0.990;36.575;-12.016;0.720;38.246;-18.548;3.238;22.258;-16.927;3.942;30.066;-15.463;3.750;33.585;-13.881;3.365;35.922;-12.568;2.920;37.452;-17.295;3.527;24.003;-15.882;6.264;25.997;-14.107;6.826;27.983;-13.192;9.189;29.162;1.160;36.769;-3.244;15.287;34.352;-1.587;20.694;20.799;-2.939;26.670;5.820;-4.433;22.489;4.259;7.673;17.762;2.030;22.461;17.742;0.229;23.311;16.159;-2.396;29.354;15.188;-3.785;31.804;13.872;-4.732;33.657;12.908;-5.369;34.912;17.761;1.114;23.537;16.856;-0.057;30.034;15.246;-1.110;33.986;13.329;-1.776;36.628;12.083;-2.120;38.280;17.077;2.270;23.753;16.772;2.171;30.936;15.292;1.428;35.284;13.563;0.937;37.725;12.259;0.689;39.461;17.046;3.188;23.676;16.255;4.677;30.923;15.079;4.821;34.628;14.005;4.518;36.993;12.970;4.317;38.957;16.542;4.036;24.245;16.194;7.244;26.272;15.724;8.610;29.119;15.307;11.258;29.744;0.000;0.000;0.000;-7.656;-12.239;-0.454;-9.580;-32.983;0.626;-11.839;-57.334;1.893;-10.498;-101.434;-6.926;7.531;-12.410;-1.297;9.439;-33.044;0.006;11.679;-57.265;1.537;10.895;-101.714;-7.997
2547.000;101.880;0.016;7.224;-0.337;-0.046;14.027;-0.626;-0.253;26.063;-1.100;-0.585;41.936;-1.973;-0.537;46.289;1.124;-0.073;52.812;2.346;-6.886;56.893;3.534;6.821;56.921;2.092;-2.531;59.049;10.554;4.014;59.063;9.866;-2.062;36.696;-3.260;-15.970;35.065;-1.786;-21.170;22.192;-2.965;-26.917;7.963;-4.270;-22.928;5.137;7.822;-18.455;1.788;22.009;-19.167;0.113;22.611;-16.582;-2.808;29.018;-15.203;-2.955;31.111;-13.885;-3.630;33.210;-12.921;-3.647;34.576;-19.139;0.941;22.781;-17.596;-0.582;29.919;-15.616;-0.918;33.539;-13.649;-1.084;35.798;-12.289;-1.323;37.306;-18.299;2.258;22.536;-17.242;1.906;30.612;-15.648;1.420;34.358;-13.270;1.206;36.708;-11.715;0.905;38.185;-18.424;3.340;22.467;-16.889;4.155;30.254;-15.370;3.942;33.772;-13.712;3.492;36.033;-12.344;2.998;37.498;-17.193;3.616;24.246;-15.299;6.214;26.130;-13.371;6.568;27.995;-11.996;8.759;29.051;1.164;36.767;-3.203;15.301;34.357;-1.573;20.708;20.801;-2.906;26.685;5.819;-4.379;22.515;4.263;7.736;17.795;2.040;22.542;17.778;0.247;23.388;16.228;-2.404;29.415;15.256;-3.810;31.865;13.915;-4.749;33.696;12.939;-5.378;34.947;17.796;1.131;23.617;16.921;-0.061;30.107;15.265;-1.152;34.032;13.301;-1.798;36.629;12.009;-2.145;38.244;17.126;2.281;23.831;16.824;2.165;31.012;15.302;1.373;35.339;13.457;0.901;37.701;12.047;0.678;39.357;17.091;3.198;23.758;16.294;4.641;30.995;15.059;4.732;34.679;13.853;4.404;36.954;12.671;4.168;38.828;16.577;4.034;24.338;16.201;7.235;26.364;15.758;8.575;29.226;15.295;11.204;29.895;0.000;0.000;0.000;-7.654;-12.240;-0.456;-9.573;-32.986;0.587;-11.827;-57.340;1.812;-10.511;-101.446;-7.015;7.531;-12.406;-1.331;9.445;-33.051;-0.072;11.693;-57.286;1.406;10.880;-101.720;-8.083
2548.000;101.920;0.017;7.222;-0.325;-0.036;14.022;-0.601;-0.221;26.054;-1.052;-0.558;41.930;-1.882;-0.501;46.272;1.227;-0.020;52.788;2.470;-6.835;56.918;3.456;6.902;56.857;2.338;-2.635;59.121;10.556;3.925;59.093;10.022;-2.036;36.693;-3.181;-15.921;35.037;-1.629;-21.383;22.212;-2.359;-27.420;8.037;-3.165;-23.167;5.487;8.882;-18.361;2.508;22.993;-19.396;1.008;23.762;-17.280;-1.299;30.568;-15.876;-1.385;32.644;-14.463;-1.950;34.718;-13.339;-1.870;35.954;-19.236;1.836;23.823;-18.123;1.086;31.157;-16.471;0.694;34.923;-14.234;0.436;36.945;-12.584;0.090;38.103;-18.097;2.936;23.474;-17.505;3.643;31.562;-16.271;3.379;35.494;-13.615;2.806;37.494;-11.777;2.254;38.496;-18.030;3.978;23.227;-16.668;5.689;30.864;-15.341;5.600;34.431;-13.501;5.036;36.519;-11.933;4.357;37.677;-16.738;4.312;25.036;-14.137;6.517;26.559;-12.093;6.400;28.294;-10.076;8.137;29.144;1.191;36.764;-3.129;15.331;34.401;-1.531;20.742;20.845;-2.852;26.724;5.862;-4.311;22.560;4.282;7.819;17.843;2.035;22.651;17.815;0.217;23.454;16.362;-2.540;29.438;15.384;-4.009;31.850;13.974;-4.943;33.618;12.905;-5.562;34.794;17.822;1.100;23.691;17.046;-0.199;30.178;15.318;-1.384;34.044;13.099;-2.076;36.429;11.632;-2.433;37.884;17.213;2.161;23.967;16.875;2.008;31.115;15.213;1.073;35.359;13.125;0.556;37.488;11.454;0.321;38.877;17.143;3.077;23.900;16.299;4.457;31.128;14.887;4.307;34.725;13.436;3.871;36.818;12.023;3.461;38.492;16.519;3.950;24.472;15.979;7.043;26.677;15.378;8.188;29.653;14.681;10.721;30.472;0.000;0.000;0.000;-7.652;-12.240;-0.480;-9.574;-32.995;0.551;-11.830;-57.358;1.760;-10.540;-101.466;-7.058;7.533;-12.403;-1.349;9.444;-33.057;-0.137;11.687;-57.303;1.286;10.850;-101.743;-8.127
2549.000;101.960;0.023;7.217;-0.308;-0.015;14.013;-0.566;-0.157;26.038;-0.979;-0.502;41.915;-1.775;-0.449;46.259;1.378;0.026;52.772;2.709;-6.791;56.973;3.308;6.982;56.780;2.840;-2.910;59.255;10.562;3.667;59.163;10.339;-1.977;36.680;-3.085;-15.820;34.998;-1.486;-21.751;22.282;-1.254;-28.305;8.228;-0.997;-23.865;6.704;11.089;-18.825;4.950;25.202;-20.183;3.776;26.241;-18.725;2.894;33.510;-17.412;3.110;35.677;-15.965;2.790;37.815;-14.773;2.968;38.974;-19.819;4.528;26.105;-18.969;5.461;33.448;-17.706;5.830;37.361;-15.225;5.438;39.118;-13.428;4.912;39.942;-18.600;5.212;25.732;-17.860;7.864;33.273;-16.750;8.545;37.237;-14.091;7.721;39.116;-12.246;6.744;39.693;-18.197;6.081;25.199;-16.576;9.422;32.170;-15.376;9.936;35.751;-13.454;9.307;37.787;-11.919;8.441;38.862;-16.809;6.714;26.937;-13.644;8.263;28.078;-11.639;7.825;29.895;-9.128;8.913;30.461;1.249;36.753;-3.032;15.379;34.459;-1.441;20.811;20.923;-2.766;26.815;5.961;-4.230;22.607;4.318;7.915;17.803;1.999;22.790;17.888;0.161;23.492;16.632;-2.885;29.329;15.518;-4.458;31.641;13.941;-5.399;33.234;12.717;-6.011;34.253;17.857;1.033;23.763;17.192;-0.605;30.180;15.159;-2.025;33.816;12.586;-2.874;35.767;10.904;-3.310;36.942;17.127;2.067;24.147;16.887;1.585;31.196;14.948;0.297;35.230;12.509;-0.383;36.935;10.633;-0.754;37.994;17.030;2.982;24.121;16.202;3.959;31.317;14.530;3.420;34.748;12.858;2.661;36.580;11.246;2.014;37.976;16.363;3.705;24.661;15.292;6.445;27.248;14.391;7.094;30.317;13.177;9.228;31.558;0.000;0.000;0.000;-7.648;-12.240;-0.539;-9.595;-32.998;0.494;-11.880;-57.365;1.707;-10.592;-101.482;-7.041;7.541;-12.400;-1.338;9.429;-33.054;-0.165;11.645;-57.301;1.212;10.810;-101.750;-8.117
2550.000;102.000;0.030;7.216;-0.289;0.006;14.010;-0.524;-0.105;26.034;-0.894;-0.408;41.911;-1.688;-0.380;46.261;1.511;0.005;52.762;2.954;-6.792;57.036;3.050;6.980;56.706;3.482;-3.366;59.386;10.509;3.210;59.228;10.716;-1.896;36.681;-3.000;-15.719;35.111;-1.357;-22.243;22.687;0.283;-29.453;8.955;2.096;-24.910;9.249;14.179;-19.708;9.617;28.259;-21.279;8.925;29.463;-20.179;9.922;36.784;-18.979;10.616;38.875;-17.412;10.651;40.933;-16.063;10.797;41.910;-20.779;9.538;29.162;-20.020;12.358;36.016;-18.586;13.757;39.609;-16.127;13.289;41.323;-14.407;12.426;42.016;-19.581;9.922;28.833;-18.489;14.454;35.287;-17.440;16.101;38.993;-14.916;15.047;40.936;-13.283;13.768;41.558;-18.982;10.486;28.106;-17.064;15.423;33.920;-15.931;16.743;37.274;-14.028;16.198;39.325;-12.579;15.172;40.379;-17.463;11.407;29.620;-14.117;12.676;30.628;-12.331;12.379;32.662;-9.646;12.950;33.188;1.331;36.745;-2.945;15.428;34.460;-1.333;20.928;20.954;-2.671;27.007;6.026;-4.151;22.645;4.240;7.960;17.617;1.746;22.820;17.871;-0.077;23.409;16.833;-3.516;29.018;15.656;-5.262;31.160;13.917;-6.299;32.535;12.583;-6.956;33.369;17.777;0.773;23.730;17.238;-1.290;30.034;14.901;-3.154;33.258;12.108;-4.339;34.703;10.266;-4.847;35.568;16.989;1.671;24.211;16.763;0.800;31.141;14.528;-0.926;34.819;11.952;-1.920;36.120;9.961;-2.465;36.835;16.808;2.574;24.230;15.846;3.054;31.379;14.027;2.046;34.588;12.222;0.947;36.098;10.484;0.058;37.174;16.081;3.192;24.774;14.344;5.320;27.666;13.149;5.278;30.778;11.431;6.834;32.262;0.000;0.000;0.000;-7.648;-12.237;-0.620;-9.635;-32.997;0.400;-11.969;-57.367;1.598;-10.684;-101.509;-6.991;7.547;-12.399;-1.317;9.388;-33.064;-0.154;11.550;-57.322;1.210;10.714;-101.782;-8.055
