Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3272.000;130.880;0.031;7.212;-0.118;-0.012;14.002;-0.190;-0.179;26.016;-0.267;-0.421;41.888;-1.183;-0.510;46.265;1.940;-0.295;52.807;3.227;-7.298;56.689;3.842;6.476;57.108;3.583;-3.624;58.919;11.220;2.953;59.119;11.097;-1.888;36.652;-2.495;-15.884;35.017;-1.231;-21.413;22.198;-2.453;-27.523;8.030;-3.805;-22.542;4.593;7.772;-16.940;0.497;21.382;-17.417;-1.242;21.997;-13.851;-4.291;27.875;-12.194;-4.502;29.694;-10.089;-4.988;31.282;-8.811;-5.036;32.360;-17.429;-0.419;22.192;-14.910;-2.051;29.064;-11.727;-2.298;31.764;-8.982;-2.194;32.914;-7.035;-2.248;33.535;-16.676;0.810;21.979;-14.634;0.489;29.646;-11.538;-0.009;32.305;-8.264;-0.028;33.116;-6.151;-0.185;33.564;-16.864;1.867;21.933;-14.362;2.900;29.280;-11.266;2.682;31.527;-8.539;2.324;32.255;-6.567;1.735;32.428;-15.692;2.440;23.465;-14.772;5.426;25.176;-12.946;6.295;26.931;-12.495;8.705;28.272;1.337;36.709;-2.357;15.439;34.428;-0.433;21.288;21.044;-1.430;27.752;6.251;-2.533;22.112;3.924;8.938;15.603;0.767;23.006;15.475;-1.165;23.710;12.993;-3.900;29.376;11.146;-5.399;31.259;8.951;-6.008;32.211;7.347;-6.354;32.677;15.396;-0.281;23.929;13.657;-1.578;30.331;10.422;-2.814;33.146;7.135;-3.284;33.795;5.060;-3.400;34.080;14.733;0.962;24.240;13.343;0.674;31.163;10.211;-0.369;34.477;7.271;-0.787;35.158;5.087;-0.869;35.180;14.697;1.880;24.183;12.711;3.147;30.915;9.798;2.729;33.407;7.333;1.947;33.952;5.161;1.457;34.050;14.114;2.695;24.587;13.117;5.875;26.456;11.349;6.661;29.202;9.984;8.821;30.225;0.000;0.000;0.000;-7.642;-12.211;-1.046;-10.322;-32.938;-0.331;-13.469;-57.269;0.509;-13.638;-101.430;-7.991;7.563;-12.372;-1.467;9.702;-33.041;-0.573;12.212;-57.304;0.477;12.300;-101.709;-8.672
3273.000;130.920;0.034;7.212;-0.118;-0.007;14.001;-0.188;-0.171;26.015;-0.260;-0.408;41.888;-1.172;-0.494;46.262;1.950;-0.275;52.800;3.236;-7.273;56.688;3.865;6.501;57.094;3.588;-3.587;58.907;11.240;2.991;59.101;11.107;-1.877;36.652;-2.485;-15.873;35.018;-1.221;-21.376;22.194;-2.463;-27.458;8.019;-3.836;-22.449;4.558;7.723;-16.818;0.432;21.315;-17.292;-1.316;21.920;-13.706;-4.363;27.779;-12.049;-4.578;29.595;-9.928;-5.074;31.168;-8.639;-5.131;32.231;-17.304;-0.493;22.117;-14.763;-2.146;28.985;-11.548;-2.381;31.647;-8.799;-2.290;32.785;-6.842;-2.333;33.377;-16.545;0.730;21.917;-14.484;0.395;29.568;-11.381;-0.126;32.223;-8.080;-0.147;32.982;-5.966;-0.307;33.422;-16.726;1.782;21.873;-14.228;2.813;29.212;-11.105;2.575;31.439;-8.377;2.190;32.179;-6.394;1.644;32.356;-15.580;2.380;23.400;-14.637;5.350;25.121;-12.830;6.208;26.885;-12.342;8.613;28.222;1.347;36.708;-2.348;15.450;34.423;-0.424;21.299;21.038;-1.428;27.765;6.244;-2.537;22.111;3.906;8.922;15.587;0.738;22.976;15.466;-1.196;23.678;12.957;-3.961;29.325;11.112;-5.460;31.200;8.915;-6.073;32.140;7.312;-6.424;32.607;15.383;-0.312;23.898;13.612;-1.611;30.297;10.365;-2.887;33.091;7.079;-3.354;33.717;5.000;-3.472;33.970;14.714;0.915;24.209;13.286;0.621;31.123;10.127;-0.426;34.412;7.193;-0.854;35.078;5.009;-0.952;35.050;14.675;1.833;24.150;12.656;3.107;30.875;9.723;2.672;33.351;7.261;1.878;33.882;5.092;1.372;33.970;14.066;2.656;24.567;13.067;5.832;26.425;11.275;6.610;29.150;9.932;8.776;30.188;0.000;0.000;0.000;-7.646;-12.209;-1.045;-10.327;-32.935;-0.337;-13.474;-57.266;0.494;-13.648;-101.435;-8.016;7.559;-12.375;-1.466;9.696;-33.042;-0.582;12.204;-57.304;0.456;12.290;-101.702;-8.706
3274.000;130.960;0.034;7.213;-0.117;-0.005;14.004;-0.185;-0.164;26.020;-0.252;-0.395;41.893;-1.162;-0.480;46.264;1.958;-0.259;52.799;3.244;-7.254;56.690;3.886;6.520;57.090;3.583;-3.553;58.908;11.254;3.024;59.099;11.109;-1.866;36.658;-2.476;-15.865;35.027;-1.211;-21.351;22.198;-2.465;-27.414;8.019;-3.852;-22.379;4.536;7.690;-16.715;0.386;21.261;-17.192;-1.358;21.868;-13.575;-4.426;27.706;-11.898;-4.640;29.508;-9.796;-5.152;31.065;-8.493;-5.195;32.112;-17.208;-0.537;22.071;-14.636;-2.207;28.914;-11.393;-2.469;31.542;-8.624;-2.366;32.643;-6.669;-2.424;33.240;-16.455;0.678;21.866;-14.358;0.307;29.503;-11.225;-0.239;32.110;-7.925;-0.250;32.871;-5.809;-0.415;33.306;-16.638;1.721;21.827;-14.099;2.739;29.158;-10.969;2.481;31.370;-8.269;2.087;32.091;-6.277;1.553;32.185;-15.436;2.293;23.327;-14.518;5.278;25.078;-12.695;6.132;26.838;-12.218;8.534;28.185;1.358;36.713;-2.339;15.460;34.422;-0.416;21.307;21.036;-1.427;27.769;6.241;-2.543;22.114;3.895;8.915;15.587;0.714;22.967;15.462;-1.223;23.666;12.986;-3.975;29.326;11.118;-5.498;31.181;8.924;-6.116;32.120;7.320;-6.468;32.579;15.376;-0.340;23.885;13.625;-1.659;30.285;10.359;-2.931;33.061;7.082;-3.391;33.684;4.999;-3.488;33.905;14.710;0.893;24.201;13.284;0.586;31.112;10.110;-0.458;34.392;7.178;-0.898;35.041;4.995;-0.997;34.978;14.669;1.811;24.143;12.651;3.063;30.868;9.687;2.627;33.327;7.251;1.841;33.870;5.084;1.328;33.949;14.063;2.632;24.559;13.047;5.797;26.418;11.290;6.582;29.203;9.946;8.773;30.187;0.000;0.000;0.000;-7.647;-12.208;-1.046;-10.330;-32.935;-0.338;-13.480;-57.266;0.493;-13.663;-101.434;-8.030;7.558;-12.375;-1.467;9.695;-33.043;-0.586;12.203;-57.305;0.448;12.287;-101.700;-8.723
3275.000;131.000;0.035;7.215;-0.114;-0.003;14.009;-0.179;-0.156;26.029;-0.240;-0.382;41.902;-1.145;-0.464;46.270;1.975;-0.240;52.803;3.261;-7.229;56.701;3.914;6.544;57.087;3.588;-3.514;58.916;11.275;3.063;59.100;11.120;-1.855;36.668;-2.460;-15.854;35.041;-1.193;-21.337;22.211;-2.453;-27.397;8.030;-3.844;-22.333;4.530;7.680;-16.632;0.361;21.232;-17.106;-1.387;21.831;-13.505;-4.458;27.657;-11.801;-4.685;29.452;-9.694;-5.191;31.017;-8.392;-5.258;32.064;-17.117;-0.566;22.034;-14.541;-2.246;28.873;-11.309;-2.532;31.508;-8.535;-2.436;32.601;-6.576;-2.527;33.181;-16.370;0.642;21.835;-14.259;0.275;29.472;-11.124;-0.280;32.074;-7.842;-0.340;32.843;-5.726;-0.481;33.280;-16.545;1.677;21.794;-13.997;2.693;29.127;-10.868;2.434;31.335;-8.162;2.033;32.065;-6.175;1.478;32.145;-15.374;2.272;23.293;-14.421;5.241;25.057;-12.603;6.079;26.830;-12.106;8.487;28.157;1.370;36.721;-2.324;15.472;34.425;-0.408;21.311;21.036;-1.430;27.765;6.238;-2.560;22.123;3.893;8.904;15.606;0.717;22.966;15.494;-1.220;23.663;13.062;-3.992;29.331;11.177;-5.507;31.184;8.985;-6.128;32.126;7.379;-6.489;32.575;15.407;-0.337;23.884;13.669;-1.667;30.283;10.399;-2.956;33.056;7.100;-3.428;33.637;5.019;-3.539;33.875;14.737;0.887;24.203;13.307;0.571;31.106;10.160;-0.499;34.391;7.215;-0.954;35.030;5.032;-1.060;35.002;14.692;1.805;24.145;12.672;3.053;30.877;9.730;2.601;33.341;7.288;1.797;33.874;5.120;1.288;33.971;14.085;2.618;24.540;13.048;5.778;26.427;11.294;6.551;29.209;9.940;8.724;30.218;0.000;0.000;0.000;-7.647;-12.208;-1.048;-10.337;-32.932;-0.337;-13.494;-57.260;0.496;-13.693;-101.423;-8.034;7.557;-12.375;-1.469;9.688;-33.041;-0.592;12.190;-57.302;0.438;12.261;-101.695;-8.739
3276.000;131.040;0.035;7.214;-0.114;0.000;14.006;-0.179;-0.147;26.024;-0.240;-0.364;41.897;-1.139;-0.444;46.266;1.983;-0.215;52.800;3.269;-7.200;56.705;3.929;6.573;57.078;3.589;-3.475;58.917;11.287;3.102;59.096;11.124;-1.840;36.665;-2.456;-15.839;35.043;-1.187;-21.328;22.214;-2.448;-27.395;8.035;-3.841;-22.313;4.527;7.676;-16.593;0.346;21.219;-17.066;-1.414;21.812;-13.485;-4.492;27.635;-11.759;-4.695;29.440;-9.658;-5.231;30.985;-8.348;-5.280;32.024;-17.071;-0.592;22.014;-14.509;-2.289;28.857;-11.283;-2.569;31.497;-8.512;-2.468;32.598;-6.551;-2.568;33.168;-16.310;0.641;21.821;-14.219;0.253;29.460;-11.081;-0.340;32.054;-7.805;-0.380;32.832;-5.695;-0.536;33.298;-16.490;1.669;21.785;-13.950;2.657;29.116;-10.822;2.388;31.322;-8.106;2.020;32.028;-6.134;1.416;32.134;-15.271;2.250;23.280;-14.366;5.217;25.044;-12.551;6.052;26.812;-12.048;8.448;28.159;1.385;36.717;-2.320;15.485;34.412;-0.402;21.309;21.019;-1.431;27.745;6.217;-2.569;22.116;3.878;8.902;15.614;0.711;22.970;15.502;-1.216;23.677;13.066;-3.997;29.336;11.222;-5.525;31.205;9.010;-6.140;32.135;7.406;-6.499;32.593;15.414;-0.333;23.898;13.684;-1.665;30.291;10.415;-2.961;33.061;7.116;-3.429;33.629;5.033;-3.549;33.844;14.762;0.863;24.208;13.313;0.573;31.112;10.157;-0.509;34.374;7.215;-0.984;35.017;5.031;-1.076;34.980;14.708;1.780;24.146;12.678;3.048;30.878;9.727;2.617;33.341;7.303;1.792;33.882;5.136;1.278;33.964;14.083;2.617;24.547;13.056;5.771;26.437;11.300;6.552;29.196;9.911;8.708;30.193;0.000;0.000;0.000;-7.648;-12.207;-1.053;-10.344;-32.932;-0.341;-13.509;-57.262;0.495;-13.721;-101.421;-8.048;7.557;-12.375;-1.473;9.684;-33.044;-0.597;12.181;-57.307;0.433;12.243;-101.705;-8.745
3277.000;131.080;0.036;7.214;-0.114;0.003;14.006;-0.179;-0.139;26.023;-0.241;-0.347;41.897;-1.138;-0.423;46.267;1.983;-0.190;52.804;3.265;-7.172;56.715;3.930;6.602;57.076;3.574;-3.437;58.930;11.282;3.140;59.102;11.112;-1.827;36.665;-2.455;-15.825;35.052;-1.177;-21.326;22.228;-2.431;-27.407;8.055;-3.818;-22.317;4.539;7.695;-16.594;0.344;21.230;-17.072;-1.401;21.830;-13.455;-4.470;27.646;-11.737;-4.715;29.430;-9.642;-5.225;30.996;-8.328;-5.285;32.029;-17.081;-0.580;22.034;-14.498;-2.276;28.871;-11.256;-2.546;31.497;-8.466;-2.466;32.568;-6.507;-2.525;33.153;-16.330;0.634;21.837;-14.204;0.258;29.476;-11.085;-0.340;32.086;-7.799;-0.397;32.857;-5.684;-0.561;33.295;-16.511;1.676;21.800;-13.934;2.660;29.123;-10.802;2.372;31.329;-8.090;1.984;32.051;-6.103;1.431;32.139;-15.318;2.271;23.293;-14.335;5.214;25.056;-12.502;6.043;26.811;-11.995;8.436;28.162;1.398;36.715;-2.320;15.500;34.401;-0.416;21.317;21.007;-1.448;27.746;6.202;-2.589;22.130;3.878;8.892;15.649;0.726;22.974;15.535;-1.202;23.680;13.108;-3.973;29.345;11.251;-5.491;31.214;9.057;-6.115;32.154;7.451;-6.466;32.609;15.449;-0.319;23.899;13.733;-1.635;30.301;10.470;-2.937;33.076;7.174;-3.384;33.647;5.089;-3.488;33.846;14.787;0.894;24.213;13.375;0.600;31.119;10.212;-0.472;34.392;7.266;-0.925;35.020;5.083;-1.010;34.962;14.737;1.812;24.152;12.725;3.079;30.884;9.778;2.650;33.347;7.353;1.812;33.896;5.184;1.308;33.990;14.128;2.631;24.552;13.087;5.788;26.442;11.340;6.573;29.180;9.979;8.728;30.219;0.000;0.000;0.000;-7.649;-12.207;-1.050;-10.345;-32.930;-0.340;-13.511;-57.258;0.494;-13.729;-101.420;-8.055;7.556;-12.375;-1.475;9.681;-33.043;-0.600;12.177;-57.304;0.427;12.228;-101.697;-8.750
3278.000;131.120;0.038;7.213;-0.114;0.008;14.005;-0.180;-0.127;26.022;-0.243;-0.325;41.897;-1.132;-0.397;46.267;1.993;-0.165;52.804;3.283;-7.142;56.722;3.956;6.631;57.071;3.578;-3.394;58.939;11.300;3.183;59.105;11.119;-1.809;36.666;-2.451;-15.807;35.060;-1.162;-21.332;22.245;-2.413;-27.440;8.082;-3.797;-22.348;4.558;7.715;-16.618;0.354;21.251;-17.117;-1.374;21.857;-13.488;-4.486;27.654;-11.783;-4.711;29.447;-9.678;-5.221;30.989;-8.350;-5.250;32.004;-17.133;-0.555;22.066;-14.531;-2.281;28.882;-11.292;-2.548;31.510;-8.492;-2.462;32.566;-6.534;-2.531;33.152;-16.339;0.669;21.852;-14.238;0.249;29.489;-11.114;-0.347;32.091;-7.825;-0.399;32.844;-5.715;-0.591;33.290;-16.527;1.701;21.819;-13.967;2.665;29.141;-10.841;2.359;31.354;-8.134;1.972;32.050;-6.147;1.416;32.135;-15.401;2.270;23.313;-14.336;5.215;25.073;-12.501;6.027;26.828;-11.934;8.424;28.147;1.416;36.714;-2.318;15.516;34.389;-0.423;21.323;20.990;-1.461;27.742;6.180;-2.607;22.137;3.858;8.879;15.669;0.710;22.969;15.565;-1.225;23.676;13.156;-3.986;29.362;11.299;-5.505;31.225;9.113;-6.141;32.162;7.500;-6.476;32.605;15.473;-0.342;23.892;13.780;-1.663;30.301;10.505;-2.964;33.072;7.202;-3.397;33.632;5.117;-3.514;33.825;14.805;0.875;24.212;13.393;0.580;31.116;10.248;-0.490;34.393;7.295;-0.932;34.989;5.112;-1.029;34.931;14.753;1.792;24.150;12.752;3.066;30.879;9.822;2.606;33.355;7.387;1.798;33.902;5.224;1.268;33.992;14.140;2.613;24.554;13.092;5.763;26.436;11.352;6.548;29.195;9.955;8.702;30.184;0.000;0.000;0.000;-7.650;-12.206;-1.049;-10.349;-32.930;-0.336;-13.517;-57.258;0.502;-13.742;-101.415;-8.058;7.555;-12.376;-1.476;9.678;-33.042;-0.602;12.170;-57.303;0.423;12.212;-101.689;-8.756
3279.000;131.160;0.040;7.212;-0.116;0.014;14.002;-0.186;-0.112;26.016;-0.261;-0.306;41.891;-1.152;-0.374;46.265;1.979;-0.137;52.808;3.273;-7.109;56.732;3.959;6.663;57.070;3.538;-3.336;58.962;11.287;3.241;59.123;11.085;-1.793;36.661;-2.468;-15.789;35.061;-1.163;-21.332;22.252;-2.405;-27.458;8.095;-3.779;-22.368;4.563;7.731;-16.638;0.361;21.268;-17.142;-1.398;21.859;-13.528;-4.489;27.663;-11.798;-4.706;29.458;-9.694;-5.195;31.023;-8.380;-5.265;32.056;-17.153;-0.577;22.064;-14.559;-2.290;28.892;-11.321;-2.576;31.518;-8.534;-2.475;32.594;-6.571;-2.552;33.161;-16.371;0.641;21.875;-14.271;0.230;29.507;-11.162;-0.360;32.123;-7.870;-0.444;32.865;-5.748;-0.606;33.262;-16.547;1.673;21.838;-13.991;2.636;29.161;-10.867;2.338;31.369;-8.155;1.942;32.080;-6.172;1.374;32.176;-15.434;2.275;23.361;-14.231;5.190;25.092;-12.323;5.952;26.799;-11.696;8.346;28.096;1.432;36.708;-2.338;15.532;34.377;-0.457;21.329;20.976;-1.488;27.736;6.164;-2.628;22.155;3.823;8.868;15.718;0.657;22.969;15.628;-1.279;23.680;13.233;-4.057;29.359;11.402;-5.582;31.239;9.206;-6.208;32.179;7.596;-6.558;32.623;15.532;-0.396;23.895;13.843;-1.722;30.307;10.573;-3.007;33.071;7.262;-3.492;33.597;5.174;-3.600;33.766;14.856;0.812;24.211;13.464;0.531;31.121;10.302;-0.550;34.386;7.337;-1.013;34.964;5.157;-1.130;34.865;14.800;1.729;24.146;12.786;3.009;30.871;9.869;2.524;33.353;7.441;1.687;33.904;5.285;1.133;34.010;14.181;2.546;24.574;13.116;5.696;26.433;11.350;6.462;29.183;9.948;8.608;30.184;0.000;0.000;0.000;-7.653;-12.205;-1.044;-10.356;-32.928;-0.332;-13.529;-57.255;0.504;-13.769;-101.412;-8.069;7.551;-12.378;-1.480;9.674;-33.043;-0.607;12.165;-57.303;0.417;12.186;-101.695;-8.763
3280.000;131.200;0.042;7.209;-0.117;0.020;13.996;-0.191;-0.098;26.005;-0.278;-0.279;41.880;-1.167;-0.340;46.260;1.974;-0.096;52.808;3.286;-7.055;56.754;3.978;6.717;57.053;3.503;-3.248;59.012;11.280;3.328;59.154;11.053;-1.772;36.651;-2.482;-15.768;35.059;-1.164;-21.326;22.255;-2.399;-27.469;8.105;-3.764;-22.394;4.563;7.758;-16.678;0.363;21.308;-17.176;-1.406;21.891;-13.562;-4.483;27.677;-11.822;-4.692;29.473;-9.736;-5.174;31.036;-8.405;-5.191;32.049;-17.200;-0.587;22.102;-14.636;-2.310;28.927;-11.381;-2.621;31.540;-8.590;-2.518;32.601;-6.624;-2.574;33.165;-16.418;0.680;21.896;-14.355;0.220;29.550;-11.259;-0.384;32.178;-7.969;-0.451;32.894;-5.839;-0.613;33.248;-16.615;1.695;21.869;-14.084;2.607;29.207;-10.970;2.280;31.421;-8.248;1.893;32.119;-6.264;1.327;32.205;-15.435;2.256;23.428;-13.802;5.045;25.125;-11.689;5.602;26.684;-10.714;7.945;27.851;1.453;36.695;-2.356;15.550;34.360;-0.494;21.339;20.950;-1.520;27.738;6.129;-2.655;22.185;3.730;8.850;15.781;0.496;22.962;15.729;-1.459;23.655;13.360;-4.260;29.335;11.557;-5.810;31.218;9.355;-6.451;32.155;7.747;-6.821;32.588;15.618;-0.577;23.867;13.947;-1.901;30.310;10.664;-3.246;33.029;7.361;-3.733;33.521;5.271;-3.863;33.637;14.919;0.604;24.220;13.531;0.320;31.103;10.358;-0.765;34.343;7.398;-1.294;34.883;5.219;-1.415;34.780;14.844;1.520;24.152;12.850;2.819;30.880;9.933;2.285;33.358;7.517;1.417;33.905;5.362;0.857;34.001;14.218;2.363;24.547;13.112;5.479;26.453;11.346;6.212;29.215;9.909;8.326;30.233;0.000;0.000;0.000;-7.656;-12.203;-1.039;-10.358;-32.926;-0.326;-13.531;-57.253;0.510;-13.778;-101.410;-8.079;7.548;-12.379;-1.485;9.674;-33.042;-0.618;12.169;-57.299;0.399;12.176;-101.682;-8.783
