Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
383.000;15.320;0.021;7.148;-0.170;0.056;13.877;-0.388;0.138;25.780;-0.845;-0.082;41.648;-1.832;-0.133;45.985;1.205;0.264;52.466;2.376;-6.520;56.503;3.847;7.133;56.605;1.963;-1.947;58.568;10.755;4.572;58.617;9.855;-1.542;36.407;-3.134;-15.711;34.500;-1.894;-20.697;21.330;-2.790;-26.208;6.774;-3.779;-22.770;4.837;8.580;-18.853;2.287;23.052;-19.054;0.531;23.685;-15.678;-1.823;30.014;-14.678;-1.888;32.273;-13.706;-2.511;34.582;-13.000;-2.455;36.097;-19.199;1.347;23.855;-16.903;0.330;30.936;-14.933;0.649;34.506;-13.217;1.086;36.911;-11.943;1.186;38.508;-18.828;2.635;23.679;-17.034;2.891;31.509;-14.706;3.296;34.796;-12.582;3.764;37.397;-11.397;3.911;39.204;-19.128;3.647;23.582;-17.053;5.330;31.057;-14.036;5.924;33.527;-11.827;6.238;35.262;-10.148;6.226;36.463;-18.085;4.551;25.165;-17.703;7.696;26.820;-16.020;9.002;28.779;-16.542;11.294;30.290;1.681;36.462;-2.969;15.805;33.839;-0.719;21.238;20.263;-1.686;27.244;5.259;-2.756;21.960;4.644;8.965;15.905;3.560;23.324;15.687;1.869;24.306;13.459;-0.235;30.357;12.172;-1.331;32.804;10.453;-1.872;34.388;9.097;-2.166;35.380;15.789;2.759;24.488;14.444;2.018;30.911;12.570;1.455;34.847;10.179;1.189;37.189;8.597;1.129;38.565;15.180;3.884;24.588;14.559;4.367;31.669;12.822;4.130;36.003;10.609;4.112;38.096;8.814;4.226;39.337;15.214;4.792;24.436;14.209;6.998;31.339;12.128;7.762;34.534;10.213;7.789;36.250;8.309;7.763;37.407;14.750;5.750;24.880;14.560;9.109;26.661;14.014;10.599;29.541;13.667;13.292;29.991;0.000;0.000;0.000;-7.570;-12.262;-0.971;-9.455;-33.156;-0.608;-11.669;-57.682;-0.182;-10.075;-101.899;-8.460;7.632;-12.325;-1.503;9.335;-33.242;-0.451;11.334;-57.797;0.782;10.346;-102.170;-7.971
384.000;15.360;0.021;7.146;-0.173;0.058;13.874;-0.394;0.143;25.774;-0.857;-0.074;41.642;-1.838;-0.118;45.982;1.202;0.285;52.467;2.373;-6.491;56.510;3.859;7.157;56.599;1.940;-1.899;58.575;10.754;4.618;58.618;9.838;-1.537;36.402;-3.140;-15.705;34.501;-1.882;-20.689;21.328;-2.765;-26.199;6.769;-3.740;-22.726;4.832;8.611;-18.766;2.283;23.074;-18.965;0.520;23.700;-15.569;-1.828;30.020;-14.562;-1.889;32.273;-13.580;-2.501;34.583;-12.856;-2.455;36.090;-19.106;1.337;23.868;-16.780;0.332;30.948;-14.796;0.647;34.503;-13.075;1.091;36.904;-11.787;1.196;38.489;-18.726;2.650;23.695;-16.919;2.887;31.522;-14.585;3.312;34.796;-12.426;3.764;37.384;-11.251;3.896;39.199;-19.029;3.654;23.601;-16.942;5.327;31.064;-13.911;5.915;33.531;-11.708;6.213;35.267;-10.022;6.203;36.458;-17.988;4.550;25.180;-17.617;7.696;26.836;-15.929;9.003;28.789;-16.449;11.297;30.296;1.687;36.456;-2.979;15.812;33.828;-0.744;21.241;20.250;-1.715;27.243;5.243;-2.789;21.969;4.643;8.936;15.924;3.575;23.299;15.710;1.887;24.283;13.483;-0.203;30.339;12.179;-1.295;32.783;10.466;-1.833;34.369;9.106;-2.119;35.359;15.811;2.777;24.464;14.463;2.054;30.892;12.573;1.489;34.819;10.199;1.224;37.168;8.603;1.166;38.527;15.205;3.905;24.566;14.577;4.398;31.646;12.835;4.166;35.976;10.614;4.161;38.060;8.826;4.272;39.311;15.241;4.812;24.412;14.239;7.028;31.312;12.141;7.794;34.506;10.228;7.821;36.210;8.326;7.808;37.371;14.771;5.771;24.851;14.585;9.132;26.628;14.044;10.626;29.504;13.695;13.317;29.960;0.000;0.000;0.000;-7.570;-12.263;-0.960;-9.454;-33.156;-0.594;-11.666;-57.683;-0.164;-10.067;-101.899;-8.444;7.631;-12.325;-1.503;9.336;-33.241;-0.449;11.336;-57.794;0.789;10.343;-102.172;-7.956
385.000;15.400;0.021;7.145;-0.175;0.057;13.871;-0.399;0.141;25.768;-0.870;-0.072;41.637;-1.851;-0.111;45.978;1.190;0.301;52.467;2.359;-6.470;56.514;3.857;7.174;56.595;1.913;-1.864;58.576;10.744;4.651;58.615;9.816;-1.538;36.397;-3.151;-15.704;34.498;-1.875;-20.689;21.325;-2.748;-26.199;6.766;-3.712;-22.703;4.833;8.631;-18.716;2.289;23.086;-18.905;0.516;23.713;-15.490;-1.801;30.033;-14.494;-1.882;32.275;-13.488;-2.489;34.589;-12.771;-2.453;36.100;-19.040;1.335;23.878;-16.706;0.337;30.959;-14.714;0.660;34.505;-12.980;1.112;36.899;-11.688;1.213;38.482;-18.686;2.653;23.707;-16.846;2.892;31.527;-14.487;3.336;34.787;-12.312;3.794;37.356;-11.127;3.940;39.163;-18.995;3.667;23.613;-16.873;5.342;31.072;-13.824;5.925;33.527;-11.632;6.225;35.250;-9.937;6.184;36.427;-17.971;4.563;25.190;-17.573;7.705;26.838;-15.884;9.020;28.790;-16.397;11.312;30.303;1.686;36.450;-2.993;15.811;33.820;-0.777;21.241;20.241;-1.745;27.242;5.232;-2.814;21.975;4.660;8.914;15.936;3.625;23.283;15.736;1.943;24.274;13.509;-0.141;30.335;12.210;-1.222;32.787;10.494;-1.749;34.379;9.141;-2.037;35.378;15.838;2.833;24.454;14.487;2.119;30.884;12.610;1.560;34.813;10.233;1.333;37.165;8.640;1.277;38.528;15.223;3.949;24.556;14.603;4.463;31.630;12.856;4.246;35.961;10.639;4.248;38.050;8.853;4.372;39.304;15.256;4.856;24.398;14.264;7.087;31.287;12.173;7.866;34.480;10.234;7.891;36.178;8.338;7.897;37.349;14.794;5.827;24.837;14.597;9.194;26.598;14.057;10.687;29.458;13.710;13.375;29.939;0.000;0.000;0.000;-7.570;-12.263;-0.954;-9.455;-33.156;-0.587;-11.667;-57.683;-0.156;-10.076;-101.898;-8.442;7.631;-12.325;-1.508;9.336;-33.239;-0.452;11.338;-57.791;0.788;10.342;-102.171;-7.950
386.000;15.440;0.020;7.144;-0.177;0.053;13.868;-0.404;0.130;25.763;-0.885;-0.086;41.632;-1.870;-0.120;45.977;1.172;0.299;52.469;2.341;-6.470;56.517;3.848;7.172;56.596;1.887;-1.855;58.579;10.729;4.660;58.617;9.792;-1.553;36.392;-3.168;-15.717;34.493;-1.874;-20.701;21.319;-2.737;-26.209;6.758;-3.691;-22.698;4.834;8.649;-18.691;2.301;23.099;-18.877;0.526;23.732;-15.454;-1.785;30.045;-14.453;-1.856;32.286;-13.455;-2.463;34.600;-12.730;-2.422;36.107;-19.017;1.344;23.898;-16.671;0.358;30.970;-14.670;0.687;34.512;-12.934;1.129;36.903;-11.646;1.245;38.487;-18.670;2.658;23.722;-16.818;2.899;31.536;-14.442;3.355;34.787;-12.269;3.805;37.351;-11.069;3.977;39.146;-18.982;3.679;23.627;-16.840;5.355;31.079;-13.801;5.943;33.532;-11.607;6.238;35.254;-9.895;6.244;36.409;-17.964;4.576;25.203;-17.554;7.719;26.840;-15.869;9.033;28.797;-16.376;11.334;30.298;1.670;36.445;-3.013;15.799;33.813;-0.811;21.231;20.234;-1.771;27.236;5.225;-2.832;21.982;4.683;8.903;15.959;3.686;23.280;15.756;2.003;24.274;13.533;-0.064;30.344;12.242;-1.130;32.805;10.527;-1.650;34.402;9.182;-1.941;35.411;15.857;2.894;24.451;14.525;2.203;30.888;12.652;1.660;34.818;10.283;1.443;37.180;8.691;1.399;38.545;15.242;4.022;24.554;14.641;4.546;31.625;12.893;4.347;35.959;10.696;4.358;38.060;8.905;4.483;39.307;15.277;4.928;24.395;14.296;7.179;31.277;12.219;7.955;34.468;10.272;7.978;36.167;8.380;8.000;37.344;14.823;5.892;24.826;14.624;9.266;26.581;14.089;10.772;29.459;13.719;13.465;29.888;0.000;0.000;0.000;-7.570;-12.264;-0.950;-9.456;-33.156;-0.582;-11.669;-57.681;-0.150;-10.085;-101.896;-8.435;7.631;-12.325;-1.509;9.335;-33.238;-0.450;11.335;-57.789;0.793;10.331;-102.169;-7.942
387.000;15.480;0.019;7.142;-0.180;0.050;13.865;-0.413;0.120;25.758;-0.905;-0.096;41.626;-1.890;-0.129;45.973;1.153;0.289;52.470;2.319;-6.477;56.520;3.831;7.163;56.594;1.857;-1.855;58.582;10.708;4.659;58.617;9.765;-1.564;36.386;-3.186;-15.727;34.483;-1.882;-20.711;21.308;-2.733;-26.221;6.747;-3.675;-22.706;4.830;8.664;-18.698;2.305;23.115;-18.882;0.534;23.752;-15.450;-1.774;30.060;-14.437;-1.817;32.307;-13.432;-2.426;34.618;-12.707;-2.384;36.124;-19.024;1.351;23.918;-16.662;0.372;30.989;-14.649;0.719;34.521;-12.904;1.170;36.907;-11.618;1.263;38.494;-18.673;2.668;23.734;-16.809;2.923;31.549;-14.418;3.386;34.782;-12.230;3.866;37.336;-11.026;4.015;39.130;-18.987;3.683;23.640;-16.842;5.363;31.093;-13.821;5.957;33.542;-11.603;6.264;35.252;-9.887;6.275;36.401;-17.989;4.584;25.212;-17.562;7.727;26.852;-15.884;9.056;28.802;-16.406;11.356;30.301;1.660;36.440;-3.034;15.787;33.809;-0.841;21.218;20.229;-1.795;27.220;5.220;-2.849;21.991;4.705;8.895;15.999;3.740;23.284;15.789;2.061;24.284;13.579;0.007;30.359;12.290;-1.054;32.823;10.574;-1.565;34.426;9.221;-1.863;35.421;15.893;2.952;24.459;14.559;2.294;30.898;12.694;1.746;34.828;10.313;1.512;37.184;8.714;1.493;38.541;15.297;4.051;24.565;14.695;4.609;31.631;12.945;4.430;35.965;10.729;4.433;38.058;8.941;4.577;39.307;15.326;4.956;24.401;14.345;7.254;31.280;12.270;8.021;34.474;10.347;8.055;36.177;8.439;8.062;37.328;14.857;5.948;24.819;14.675;9.324;26.578;14.135;10.835;29.447;13.785;13.529;29.888;0.000;0.000;0.000;-7.570;-12.265;-0.941;-9.452;-33.156;-0.573;-11.661;-57.681;-0.141;-10.074;-101.897;-8.426;7.631;-12.325;-1.507;9.337;-33.237;-0.447;11.340;-57.786;0.798;10.337;-102.165;-7.937
388.000;15.520;0.018;7.141;-0.184;0.048;13.863;-0.422;0.114;25.753;-0.926;-0.108;41.621;-1.911;-0.141;45.971;1.133;0.276;52.473;2.299;-6.487;56.526;3.818;7.151;56.595;1.825;-1.855;58.592;10.686;4.658;58.625;9.734;-1.575;36.380;-3.207;-15.735;34.473;-1.894;-20.722;21.298;-2.736;-26.233;6.736;-3.667;-22.720;4.826;8.675;-18.712;2.305;23.127;-18.899;0.539;23.766;-15.446;-1.760;30.079;-14.436;-1.806;32.319;-13.434;-2.392;34.631;-12.704;-2.336;36.134;-19.049;1.355;23.932;-16.683;0.389;31.004;-14.671;0.742;34.537;-12.930;1.208;36.922;-11.639;1.309;38.504;-18.681;2.680;23.743;-16.827;2.934;31.556;-14.426;3.401;34.783;-12.236;3.893;37.332;-11.034;4.057;39.126;-19.000;3.696;23.648;-16.868;5.374;31.101;-13.819;5.966;33.549;-11.636;6.263;35.267;-9.904;6.306;36.390;-17.987;4.584;25.212;-17.584;7.741;26.851;-15.895;9.066;28.809;-16.420;11.382;30.281;1.649;36.435;-3.056;15.781;33.808;-0.871;21.209;20.229;-1.822;27.209;5.221;-2.873;21.999;4.722;8.881;16.031;3.773;23.281;15.820;2.102;24.283;13.649;0.066;30.369;12.351;-1.004;32.835;10.639;-1.507;34.445;9.294;-1.806;35.451;15.927;2.993;24.457;14.624;2.322;30.897;12.776;1.799;34.841;10.383;1.582;37.197;8.800;1.570;38.573;15.325;4.102;24.561;14.764;4.660;31.629;13.027;4.485;35.975;10.820;4.502;38.072;9.031;4.647;39.320;15.358;5.007;24.396;14.427;7.320;31.273;12.355;8.087;34.475;10.435;8.119;36.192;8.534;8.140;37.354;14.906;5.987;24.820;14.733;9.367;26.579;14.208;10.883;29.449;13.863;13.578;29.882;0.000;0.000;0.000;-7.570;-12.265;-0.931;-9.453;-33.155;-0.565;-11.665;-57.677;-0.135;-10.086;-101.892;-8.422;7.631;-12.326;-1.506;9.336;-33.237;-0.445;11.339;-57.784;0.800;10.328;-102.164;-7.932
389.000;15.560;0.017;7.140;-0.187;0.044;13.861;-0.430;0.107;25.749;-0.948;-0.123;41.617;-1.939;-0.156;45.970;1.105;0.260;52.475;2.269;-6.501;56.528;3.796;7.133;56.598;1.783;-1.860;58.596;10.657;4.651;58.629;9.696;-1.587;36.376;-3.232;-15.747;34.461;-1.915;-20.734;21.287;-2.752;-26.245;6.725;-3.677;-22.741;4.825;8.669;-18.741;2.317;23.127;-18.930;0.552;23.766;-15.468;-1.728;30.080;-14.410;-1.769;32.329;-13.417;-2.350;34.623;-12.663;-2.302;36.114;-19.082;1.368;23.932;-16.728;0.395;31.006;-14.704;0.761;34.533;-12.963;1.226;36.918;-11.670;1.344;38.497;-18.686;2.703;23.744;-16.870;2.941;31.558;-14.454;3.422;34.777;-12.248;3.909;37.300;-11.024;4.070;39.079;-19.003;3.704;23.648;-16.924;5.383;31.100;-13.891;5.964;33.563;-11.675;6.266;35.266;-9.958;6.247;36.414;-18.021;4.592;25.211;-17.587;7.754;26.849;-15.886;9.081;28.791;-16.388;11.428;30.223;1.636;36.432;-3.082;15.768;33.813;-0.901;21.198;20.233;-1.852;27.200;5.224;-2.902;22.010;4.740;8.860;16.065;3.811;23.271;15.851;2.130;24.270;13.681;0.116;30.373;12.380;-0.948;32.832;10.672;-1.452;34.445;9.327;-1.747;35.452;15.952;3.022;24.442;14.666;2.361;30.886;12.818;1.848;34.834;10.419;1.635;37.188;8.834;1.619;38.562;15.360;4.152;24.548;14.812;4.714;31.620;13.070;4.546;35.963;10.863;4.562;38.060;9.066;4.723;39.295;15.398;5.057;24.384;14.472;7.369;31.255;12.406;8.143;34.453;10.477;8.181;36.167;8.581;8.201;37.339;14.959;6.024;24.821;14.786;9.412;26.555;14.277;10.928;29.432;13.921;13.624;29.852;0.000;0.000;0.000;-7.570;-12.266;-0.927;-9.457;-33.153;-0.564;-11.672;-57.674;-0.137;-10.103;-101.889;-8.427;7.630;-12.326;-1.507;9.333;-33.235;-0.446;11.331;-57.781;0.799;10.312;-102.163;-7.932
390.000;15.600;0.017;7.139;-0.188;0.043;13.859;-0.436;0.101;25.745;-0.962;-0.137;41.613;-1.960;-0.171;45.968;1.083;0.246;52.475;2.244;-6.513;56.531;3.773;7.119;56.598;1.744;-1.864;58.609;10.626;4.646;58.640;9.657;-1.599;36.370;-3.251;-15.757;34.452;-1.930;-20.741;21.277;-2.768;-26.250;6.716;-3.694;-22.758;4.822;8.657;-18.768;2.326;23.121;-18.947;0.527;23.752;-15.500;-1.690;30.080;-14.403;-1.711;32.316;-13.338;-2.280;34.570;-12.523;-2.185;36.027;-19.091;1.345;23.912;-16.784;0.404;31.006;-14.753;0.755;34.535;-12.996;1.232;36.907;-11.704;1.345;38.487;-18.736;2.715;23.731;-16.946;2.976;31.559;-14.497;3.389;34.773;-12.254;3.921;37.264;-11.003;4.077;39.025;-19.052;3.707;23.634;-17.008;5.408;31.094;-13.993;5.973;33.577;-11.747;6.276;35.266;-10.076;6.253;36.478;-18.056;4.600;25.240;-17.525;7.775;26.844;-15.763;9.083;28.725;-16.221;11.498;30.052;1.625;36.427;-3.102;15.756;33.817;-0.924;21.195;20.242;-1.870;27.206;5.238;-2.917;22.027;4.752;8.851;16.099;3.821;23.267;15.886;2.146;24.269;13.706;0.117;30.364;12.411;-0.925;32.832;10.698;-1.422;34.447;9.354;-1.717;35.455;15.991;3.037;24.441;14.697;2.397;30.889;12.852;1.875;34.836;10.455;1.677;37.186;8.857;1.677;38.544;15.394;4.158;24.547;14.854;4.728;31.615;13.094;4.586;35.950;10.909;4.594;38.058;9.119;4.756;39.301;15.431;5.063;24.382;14.521;7.373;31.252;12.444;8.166;34.443;10.500;8.218;36.146;8.606;8.231;37.320;14.999;6.036;24.809;14.826;9.427;26.539;14.319;10.951;29.413;13.972;13.647;29.842;0.000;0.000;0.000;-7.571;-12.265;-0.925;-9.456;-33.152;-0.560;-11.669;-57.672;-0.132;-10.097;-101.890;-8.419;7.629;-12.327;-1.506;9.331;-33.235;-0.442;11.330;-57.780;0.808;10.307;-102.162;-7.928
391.000;15.640;0.015;7.138;-0.191;0.040;13.857;-0.443;0.098;25.741;-0.979;-0.146;41.608;-1.981;-0.181;45.965;1.062;0.235;52.475;2.221;-6.524;56.530;3.751;7.107;56.599;1.715;-1.872;58.613;10.600;4.638;58.646;9.628;-1.606;36.364;-3.270;-15.761;34.441;-1.945;-20.741;21.264;-2.783;-26.245;6.700;-3.710;-22.777;4.809;8.654;-18.814;2.326;23.129;-18.988;0.521;23.756;-15.477;-1.663;30.091;-14.405;-1.660;32.275;-13.164;-2.178;34.495;-12.295;-2.011;35.914;-19.159;1.332;23.922;-16.839;0.403;31.008;-14.807;0.729;34.543;-13.044;1.175;36.901;-11.727;1.324;38.458;-18.802;2.637;23.758;-17.071;2.953;31.584;-14.663;3.355;34.839;-12.367;3.863;37.264;-11.009;4.041;38.941;-19.116;3.642;23.653;-17.169;5.367;31.128;-14.199;5.933;33.649;-11.937;6.214;35.327;-10.249;6.168;36.516;-18.194;4.621;25.304;-17.347;7.773;26.876;-15.476;9.008;28.650;-15.776;11.505;29.867;1.617;36.423;-3.121;15.751;33.821;-0.947;21.191;20.245;-1.884;27.204;5.240;-2.920;22.042;4.729;8.857;16.131;3.767;23.285;15.918;2.083;24.283;13.769;0.036;30.378;12.479;-1.026;32.842;10.750;-1.519;34.440;9.396;-1.796;35.440;16.019;2.975;24.455;14.756;2.315;30.903;12.889;1.786;34.850;10.463;1.573;37.168;8.860;1.570;38.520;15.425;4.110;24.564;14.882;4.656;31.637;13.160;4.483;35.977;10.910;4.495;38.040;9.110;4.629;39.273;15.463;5.016;24.402;14.537;7.280;31.280;12.462;8.046;34.481;10.529;8.081;36.180;8.626;8.085;37.340;15.013;5.973;24.816;14.824;9.358;26.582;14.274;10.872;29.473;13.912;13.568;29.890;0.000;0.000;0.000;-7.568;-12.268;-0.918;-9.455;-33.154;-0.553;-11.670;-57.673;-0.124;-10.101;-101.887;-8.422;7.632;-12.325;-1.504;9.335;-33.235;-0.438;11.334;-57.781;0.813;10.308;-102.162;-7.924
