Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1345.000;53.800;-0.133;7.800;-0.930;-0.241;15.205;0.004;-0.412;28.397;3.949;-1.062;44.249;5.005;-0.932;48.083;8.123;-0.358;54.421;9.151;-6.861;58.966;10.389;6.761;58.076;8.495;-2.135;61.127;17.164;4.370;60.702;16.259;-2.483;39.170;3.140;-16.481;36.624;4.796;-20.639;23.836;1.425;-25.235;9.701;-2.301;-22.214;7.633;10.066;-18.897;5.086;24.544;-18.857;3.217;25.178;-15.735;2.281;31.775;-14.530;3.311;33.758;-13.400;4.102;35.971;-12.638;4.901;37.227;-19.329;3.905;25.320;-17.750;3.478;32.513;-15.105;5.020;35.318;-13.648;5.967;37.676;-12.582;6.566;39.316;-18.980;5.603;25.104;-18.882;5.705;32.863;-16.101;6.640;35.619;-13.981;7.894;37.975;-12.689;8.420;39.632;-19.619;6.393;24.952;-19.627;8.007;32.438;-17.102;8.825;35.302;-15.183;9.489;37.312;-13.675;9.636;38.715;-19.016;7.253;26.687;-19.340;10.403;28.219;-17.884;11.599;30.401;-17.422;13.610;32.286;0.742;39.305;3.111;15.034;36.909;4.231;19.686;23.640;0.891;24.827;8.975;-2.800;22.415;6.787;9.691;19.785;3.721;24.867;19.180;1.877;25.571;17.683;-0.248;31.751;16.442;-0.463;34.424;14.971;-0.362;36.537;14.147;-0.198;38.022;19.563;2.674;25.803;19.483;1.231;32.293;17.562;1.133;36.242;15.477;1.413;38.830;14.150;1.693;40.430;19.482;4.056;26.274;20.448;3.193;33.215;18.712;2.948;37.524;16.750;3.195;39.804;15.266;3.716;41.322;19.825;4.910;26.243;20.856;5.694;33.372;19.542;5.641;37.012;17.976;5.403;39.100;16.579;5.458;40.835;19.620;5.715;26.870;21.045;8.327;29.251;21.682;9.225;32.370;22.806;11.480;33.477;0.000;0.000;0.000;-7.390;-12.261;1.917;-9.381;-25.029;19.560;-11.714;-40.020;40.270;-10.178;-71.745;6.693;7.751;-12.334;0.457;12.475;-25.669;17.967;18.017;-41.324;38.522;12.075;-71.706;4.927
1346.000;53.840;-0.133;7.797;-0.938;-0.241;15.202;-0.010;-0.409;28.395;3.922;-1.047;44.249;4.959;-0.910;48.089;8.079;-0.324;54.430;9.112;-6.816;58.989;10.359;6.805;58.068;8.464;-2.085;61.125;17.138;4.419;60.685;16.233;-2.473;39.168;3.101;-16.471;36.634;4.769;-20.651;23.844;1.427;-25.271;9.707;-2.268;-22.252;7.717;10.109;-18.941;5.265;24.596;-18.874;3.385;25.238;-15.743;2.546;31.835;-14.718;3.593;33.842;-13.424;4.438;36.000;-12.655;5.272;37.228;-19.345;4.075;25.372;-17.776;3.719;32.572;-15.131;5.305;35.335;-13.650;6.306;37.671;-12.593;6.926;39.309;-19.026;5.767;25.155;-18.934;5.935;32.908;-16.100;6.988;35.592;-14.044;8.182;37.972;-12.720;8.780;39.579;-19.660;6.557;24.997;-19.696;8.223;32.463;-17.156;9.101;35.299;-15.232;9.802;37.275;-13.704;9.960;38.654;-19.090;7.444;26.763;-19.188;10.626;28.281;-17.616;11.774;30.391;-17.155;13.903;32.141;0.752;39.300;3.069;15.036;36.886;4.184;19.767;23.605;0.935;24.997;8.925;-2.656;22.477;6.774;9.824;19.710;3.755;24.996;19.116;1.911;25.685;17.508;-0.255;31.835;16.238;-0.488;34.484;14.725;-0.402;36.562;13.853;-0.240;38.019;19.491;2.708;25.929;19.272;1.238;32.413;17.262;1.140;36.322;15.084;1.398;38.831;13.721;1.669;40.402;19.388;4.071;26.395;20.211;3.204;33.353;18.395;2.960;37.626;16.371;3.164;39.855;14.851;3.678;41.340;19.726;4.927;26.372;20.630;5.703;33.537;19.294;5.622;37.155;17.700;5.381;39.234;16.271;5.422;40.944;19.522;5.734;27.018;20.881;8.354;29.410;21.441;9.238;32.555;22.532;11.488;33.705;0.000;0.000;0.000;-7.387;-12.260;1.930;-9.381;-25.026;19.576;-11.718;-40.014;40.291;-10.173;-71.746;6.722;7.754;-12.332;0.471;12.479;-25.662;17.982;18.024;-41.312;38.538;12.069;-71.704;4.949
1347.000;53.880;-0.133;7.794;-0.947;-0.240;15.199;-0.031;-0.407;28.394;3.879;-1.029;44.250;4.893;-0.881;48.098;8.016;-0.274;54.441;9.056;-6.748;59.017;10.330;6.864;58.059;8.396;-1.992;61.123;17.101;4.508;60.665;16.178;-2.462;39.168;3.045;-16.457;36.656;4.738;-20.679;23.862;1.448;-25.346;9.722;-2.188;-22.283;7.833;10.192;-18.919;5.503;24.683;-18.847;3.629;25.338;-15.672;2.866;31.928;-14.555;3.986;33.875;-13.320;4.830;36.045;-12.563;5.676;37.273;-19.326;4.314;25.471;-17.722;4.018;32.667;-15.067;5.681;35.368;-13.549;6.714;37.681;-12.490;7.353;39.310;-19.005;6.030;25.241;-18.889;6.222;32.982;-16.048;7.348;35.622;-13.963;8.571;37.969;-12.637;9.200;39.562;-19.651;6.806;25.078;-19.668;8.523;32.517;-17.106;9.442;35.322;-15.174;10.172;37.280;-13.634;10.365;38.641;-19.080;7.696;26.853;-18.982;10.898;28.370;-17.306;11.985;30.395;-16.823;14.214;32.010;0.763;39.297;3.009;15.038;36.866;4.116;19.870;23.567;1.002;25.211;8.868;-2.440;22.535;6.774;10.018;19.574;3.823;25.175;18.972;1.984;25.854;17.275;-0.225;31.945;15.940;-0.450;34.571;14.369;-0.399;36.614;13.463;-0.252;38.051;19.332;2.785;26.109;19.012;1.312;32.578;16.856;1.133;36.434;14.705;1.350;38.923;13.313;1.594;40.472;19.237;4.151;26.556;19.877;3.266;33.548;18.010;2.961;37.788;15.966;3.153;39.981;14.389;3.631;41.417;19.573;5.008;26.544;20.283;5.761;33.756;18.907;5.622;37.365;17.283;5.334;39.413;15.836;5.340;41.107;19.328;5.807;27.179;20.606;8.424;29.659;21.067;9.308;32.806;22.100;11.566;33.991;0.000;0.000;0.000;-7.386;-12.258;1.947;-9.379;-25.022;19.591;-11.714;-40.007;40.304;-10.168;-71.741;6.737;7.754;-12.331;0.481;12.488;-25.655;17.990;18.041;-41.297;38.545;12.069;-71.694;4.968
1348.000;53.920;-0.134;7.791;-0.958;-0.237;15.195;-0.055;-0.392;28.394;3.825;-0.995;44.252;4.814;-0.838;48.107;7.938;-0.221;54.454;8.980;-6.682;59.040;10.287;6.922;58.059;8.301;-1.897;61.123;17.044;4.599;60.655;16.096;-2.436;39.169;2.975;-16.426;36.680;4.700;-20.716;23.883;1.494;-25.457;9.739;-2.049;-22.296;7.989;10.321;-18.819;5.824;24.806;-18.730;3.961;25.481;-15.476;3.269;32.026;-14.418;4.369;33.963;-13.060;5.323;36.060;-12.272;6.211;37.238;-19.219;4.638;25.616;-17.526;4.399;32.791;-14.817;6.149;35.413;-13.279;7.187;37.685;-12.192;7.872;39.276;-18.909;6.365;25.355;-18.714;6.615;33.093;-15.826;7.795;35.658;-13.721;9.047;37.965;-12.374;9.706;39.528;-19.567;7.123;25.192;-19.521;8.911;32.603;-16.914;9.867;35.356;-14.956;10.640;37.283;-13.400;10.842;38.625;-18.963;8.017;26.956;-18.659;11.230;28.507;-16.935;12.269;30.460;-16.394;14.638;31.840;0.789;39.294;2.936;15.055;36.850;4.041;20.002;23.530;1.102;25.470;8.808;-2.146;22.585;6.790;10.284;19.373;3.945;25.423;18.782;2.084;26.076;16.953;-0.159;32.119;15.599;-0.406;34.711;13.975;-0.373;36.724;13.009;-0.236;38.123;19.117;2.893;26.338;18.649;1.417;32.803;16.448;1.147;36.618;14.209;1.346;39.053;12.766;1.568;40.558;18.995;4.284;26.800;19.464;3.367;33.805;17.501;3.017;38.004;15.394;3.186;40.140;13.761;3.617;41.527;19.322;5.145;26.800;19.818;5.868;34.034;18.375;5.694;37.598;16.689;5.351;39.608;15.200;5.350;41.266;19.057;5.927;27.430;20.199;8.569;29.941;20.530;9.452;33.121;21.505;11.719;34.339;0.000;0.000;0.000;-7.383;-12.257;1.967;-9.369;-25.018;19.612;-11.695;-40.001;40.326;-10.159;-71.732;6.751;7.756;-12.330;0.491;12.503;-25.648;18.001;18.073;-41.283;38.556;12.078;-71.686;4.986
1349.000;53.960;-0.133;7.784;-0.971;-0.235;15.185;-0.089;-0.387;28.383;3.746;-0.987;44.243;4.713;-0.818;48.105;7.839;-0.176;54.454;8.886;-6.626;59.049;10.213;6.971;58.049;8.191;-1.821;61.120;16.960;4.672;60.643;15.995;-2.430;39.157;2.883;-16.410;36.703;4.670;-20.785;23.920;1.590;-25.620;9.793;-1.815;-22.271;8.277;10.524;-18.566;6.374;24.977;-18.411;4.538;25.674;-15.072;4.001;32.165;-13.955;5.191;34.065;-12.602;6.235;36.100;-11.793;7.190;37.209;-18.916;5.203;25.814;-17.106;5.064;32.949;-14.433;6.897;35.482;-12.832;8.093;37.679;-11.734;8.829;39.240;-18.658;6.852;25.541;-18.374;7.249;33.242;-15.462;8.528;35.718;-13.334;9.917;37.948;-11.990;10.647;39.482;-19.326;7.608;25.373;-19.232;9.505;32.752;-16.614;10.605;35.423;-14.640;11.406;37.290;-13.066;11.737;38.583;-18.740;8.582;27.159;-18.180;11.772;28.734;-16.346;12.729;30.592;-15.774;15.184;31.799;0.795;39.282;2.840;15.056;36.853;3.943;20.173;23.525;1.283;25.829;8.793;-1.657;22.612;6.844;10.720;18.987;4.081;25.811;18.366;2.226;26.445;16.393;-0.080;32.395;14.928;-0.308;34.957;13.280;-0.283;36.931;12.280;-0.162;38.308;18.688;3.036;26.720;18.079;1.502;33.167;15.724;1.222;36.901;13.388;1.440;39.242;11.883;1.661;40.686;18.568;4.389;27.176;18.848;3.491;34.198;16.740;3.074;38.338;14.559;3.266;40.396;12.843;3.691;41.682;18.881;5.255;27.188;19.142;5.978;34.444;17.548;5.777;37.954;15.776;5.396;39.888;14.219;5.384;41.482;18.585;6.069;27.790;19.644;8.704;30.406;19.821;9.566;33.578;20.649;11.832;34.900;0.000;0.000;0.000;-7.383;-12.253;1.988;-9.362;-25.012;19.633;-11.681;-39.991;40.346;-10.150;-71.723;6.770;7.755;-12.329;0.505;12.510;-25.642;18.015;18.088;-41.271;38.571;12.089;-71.679;5.001
1350.000;54.000;-0.136;7.781;-0.992;-0.247;15.184;-0.140;-0.421;28.392;3.629;-1.033;44.252;4.599;-0.854;48.113;7.729;-0.190;54.460;8.783;-6.613;59.086;10.134;6.972;58.020;8.067;-1.776;61.130;16.866;4.711;60.621;15.879;-2.476;39.165;2.772;-16.446;36.816;4.669;-20.981;24.022;1.913;-25.994;9.882;-1.134;-22.080;8.972;11.066;-17.694;7.782;25.372;-17.399;6.014;26.104;-13.767;5.777;32.463;-12.588;7.101;34.281;-11.284;8.254;36.268;-10.512;9.242;37.373;-17.947;6.640;26.255;-15.871;6.716;33.303;-13.215;8.810;35.689;-11.623;10.091;37.821;-10.531;10.910;39.343;-17.809;8.205;25.936;-17.246;8.824;33.586;-14.332;10.344;35.952;-12.222;11.873;38.111;-10.881;12.691;39.602;-18.521;8.937;25.772;-18.283;11.020;33.105;-15.608;12.264;35.690;-13.671;13.264;37.520;-12.066;13.689;38.748;-17.859;9.975;27.568;-17.031;13.119;29.181;-14.998;13.906;30.953;-14.229;16.294;32.183;0.749;39.292;2.721;15.009;36.938;3.852;20.458;23.616;1.719;26.482;8.891;-0.640;22.604;7.000;11.594;18.152;4.311;26.549;17.477;2.431;27.075;15.185;0.010;32.849;13.541;-0.316;35.303;11.741;-0.361;37.175;10.682;-0.251;38.508;17.751;3.247;27.385;16.726;1.569;33.767;14.241;1.243;37.394;11.695;1.348;39.531;10.066;1.549;40.837;17.636;4.532;27.888;17.379;3.565;34.915;15.085;2.999;38.935;12.744;3.083;40.849;10.959;3.463;42.051;17.922;5.406;27.937;17.598;6.014;35.238;15.741;5.666;38.616;13.863;5.248;40.415;12.170;5.159;41.861;17.544;6.274;28.531;18.308;8.859;31.338;18.147;9.563;34.601;18.606;11.715;36.255;0.000;0.000;0.000;-7.383;-12.249;2.015;-9.365;-24.998;19.659;-11.687;-39.967;40.371;-10.163;-71.702;6.803;7.755;-12.328;0.533;12.501;-25.635;18.043;18.068;-41.257;38.599;12.080;-71.667;5.031
1351.000;54.040;-0.143;7.787;-1.028;-0.271;15.203;-0.220;-0.490;28.445;3.456;-1.118;44.305;4.407;-0.932;48.157;7.542;-0.256;54.472;8.637;-6.617;59.166;10.050;6.940;57.954;7.878;-1.706;61.135;16.751;4.767;60.556;15.714;-2.559;39.214;2.589;-16.495;36.966;4.624;-21.355;24.064;2.719;-26.727;9.804;0.613;-21.544;10.198;12.315;-15.652;10.580;26.081;-15.248;8.879;26.926;-10.980;9.254;32.861;-9.720;10.734;34.446;-8.221;12.137;36.155;-7.371;13.247;37.073;-15.815;9.483;27.097;-13.011;10.175;33.849;-10.226;12.580;35.741;-8.531;14.086;37.636;-7.345;15.069;38.981;-15.708;11.026;26.621;-14.422;12.255;34.085;-11.375;14.051;36.025;-9.167;15.828;37.875;-7.743;16.817;39.173;-16.440;11.723;26.468;-15.624;14.356;33.569;-12.771;15.918;35.775;-10.694;17.109;37.328;-9.038;17.713;38.404;-15.543;12.830;28.133;-14.294;15.939;29.586;-11.988;16.622;31.069;-10.965;18.985;32.153;0.666;39.345;2.532;14.919;37.094;3.796;20.897;23.796;2.655;27.504;9.099;1.394;22.528;7.289;13.294;16.707;4.703;27.900;16.082;2.817;28.277;13.022;0.013;33.512;11.015;-0.525;35.657;9.001;-0.792;37.231;7.748;-0.824;38.388;16.267;3.630;28.654;14.301;1.613;34.735;11.260;0.910;37.867;8.442;0.760;39.607;6.628;0.781;40.659;15.960;4.879;29.165;14.544;3.597;36.046;11.828;2.616;39.693;9.263;2.442;41.289;7.317;2.622;42.266;16.181;5.765;29.285;14.529;6.027;36.488;12.214;5.327;39.493;10.078;4.709;40.957;8.215;4.389;42.137;15.683;6.559;29.855;15.443;9.043;32.909;14.426;9.508;36.078;14.168;11.500;37.958;0.000;0.000;0.000;-7.380;-12.243;2.064;-9.365;-24.980;19.703;-11.691;-39.935;40.408;-10.183;-71.699;6.867;7.758;-12.325;0.576;12.482;-25.628;18.086;18.025;-41.246;38.640;12.070;-71.669;5.084
1352.000;54.080;-0.153;7.785;-1.081;-0.300;15.213;-0.336;-0.564;28.489;3.212;-1.225;44.354;4.025;-1.035;48.229;7.174;-0.345;54.521;8.339;-6.588;59.319;9.916;6.906;57.871;7.513;-1.536;61.097;16.565;4.908;60.405;15.418;-2.657;39.245;2.253;-16.568;37.131;4.505;-21.585;24.029;4.191;-27.131;9.547;3.843;-20.302;11.871;14.378;-12.468;14.563;26.816;-11.911;12.888;27.818;-6.869;14.172;32.943;-5.443;15.879;34.088;-3.727;17.536;35.314;-2.792;18.770;35.947;-12.445;13.529;27.960;-8.762;15.273;34.049;-5.766;17.856;35.125;-3.872;19.620;36.547;-2.505;20.747;37.569;-12.405;14.995;27.373;-10.162;17.331;34.188;-6.943;19.350;35.387;-4.512;21.341;36.646;-2.939;22.469;37.617;-13.153;15.735;27.166;-11.467;19.312;33.581;-8.383;21.151;35.087;-6.120;22.556;36.142;-4.339;23.285;36.890;-12.045;16.875;28.470;-10.246;19.977;29.533;-7.809;20.655;30.635;-6.531;23.048;31.305;0.568;39.383;2.192;14.801;37.257;3.716;21.323;24.066;4.157;28.532;9.486;4.643;22.106;7.752;15.945;14.380;5.177;29.754;13.776;3.302;29.978;9.824;0.149;34.301;7.408;-0.602;35.912;5.068;-1.082;36.902;3.577;-1.235;37.717;13.834;4.108;30.405;10.678;1.717;35.844;6.981;0.689;38.060;3.860;0.244;39.060;1.859;0.085;39.670;13.432;5.262;30.850;10.474;3.743;37.215;7.105;2.343;40.122;4.258;1.910;41.078;2.156;1.869;41.677;13.554;6.158;31.024;10.185;6.160;37.677;7.243;5.174;39.995;4.949;4.404;40.917;2.845;3.978;41.515;12.814;6.991;31.470;11.649;9.378;34.432;9.745;9.650;37.181;8.830;11.612;38.880;0.000;0.000;0.000;-7.370;-12.236;2.139;-9.353;-24.946;19.780;-11.676;-39.869;40.489;-10.187;-71.653;6.960;7.768;-12.315;0.646;12.482;-25.611;18.151;18.014;-41.220;38.701;12.079;-71.662;5.158
1353.000;54.120;-0.167;7.769;-1.145;-0.341;15.195;-0.486;-0.670;28.487;2.873;-1.375;44.361;3.450;-1.170;48.288;6.615;-0.436;54.571;7.859;-6.515;59.482;9.702;6.875;57.759;6.930;-1.259;60.976;16.262;5.136;60.154;14.938;-2.796;39.222;1.758;-16.675;37.234;4.323;-21.392;24.013;6.236;-26.604;9.401;8.351;-18.251;13.742;16.945;-8.612;18.864;27.116;-7.962;17.363;28.370;-2.289;19.567;32.396;-0.712;21.441;32.931;1.077;23.304;33.565;2.063;24.635;33.791;-8.485;18.022;28.464;-3.994;20.841;33.484;-0.955;23.593;33.582;1.034;25.557;34.449;2.482;26.884;35.018;-8.485;19.406;27.582;-5.438;22.920;33.423;-2.115;25.100;33.681;0.360;27.307;34.271;2.010;28.585;34.851;-9.252;20.111;27.315;-6.841;24.732;32.662;-3.594;26.806;33.318;-1.283;28.353;33.837;0.568;29.192;34.200;-7.922;21.235;28.159;-5.827;24.339;28.622;-3.202;25.011;29.428;-1.742;27.393;29.435;0.428;39.367;1.687;14.633;37.376;3.507;21.489;24.469;6.066;29.067;10.203;8.894;20.862;8.465;19.103;10.984;5.881;31.610;10.426;3.962;31.704;5.524;0.821;34.970;2.821;0.053;35.898;0.283;-0.316;36.155;-1.403;-0.388;36.405;10.368;4.778;32.113;5.969;2.370;36.661;1.835;1.320;37.762;-1.456;0.974;37.753;-3.547;0.832;37.659;9.834;5.932;32.466;5.396;4.424;37.923;1.414;2.995;39.842;-1.585;2.521;39.974;-3.768;2.529;39.871;9.880;6.833;32.648;4.976;6.798;38.267;1.551;5.774;39.753;-0.910;4.938;40.027;-3.080;4.436;40.116;9.028;7.667;32.904;7.085;10.022;35.459;4.564;10.249;37.620;3.162;12.136;39.052;0.000;0.000;0.000;-7.357;-12.229;2.223;-9.339;-24.907;19.869;-11.661;-39.791;40.584;-10.181;-71.584;7.062;7.781;-12.302;0.734;12.485;-25.595;18.227;18.003;-41.201;38.761;12.087;-71.640;5.210
