Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2595.000;103.800;0.095;7.188;-0.199;0.157;13.957;-0.326;0.236;25.935;-0.473;0.120;41.817;-1.226;0.117;46.119;1.785;0.503;52.641;2.803;-6.362;56.581;4.156;7.310;56.884;2.445;-1.912;58.770;11.105;4.617;58.915;10.288;-1.395;36.606;-2.585;-15.491;34.891;-1.223;-20.568;21.792;-2.050;-26.180;7.315;-2.964;-22.396;7.097;9.293;-18.170;6.816;23.743;-18.520;5.054;24.489;-15.205;3.135;30.897;-13.848;3.371;32.938;-12.097;3.193;34.900;-10.925;3.460;36.062;-18.596;5.892;24.579;-16.477;5.320;31.778;-14.001;5.578;35.053;-11.821;5.965;37.017;-10.174;6.082;38.224;-18.191;7.278;24.282;-16.583;7.884;32.220;-14.268;7.783;35.619;-11.678;8.135;37.765;-10.134;8.181;39.283;-18.461;8.316;24.135;-16.573;10.224;31.692;-14.488;10.577;34.873;-12.378;10.615;36.794;-10.705;10.427;37.990;-17.238;9.073;25.703;-16.531;12.245;27.427;-15.209;13.530;29.235;-14.949;16.153;30.162;1.830;36.636;-2.460;15.947;34.094;-0.427;21.333;20.490;-1.298;27.286;5.454;-2.260;22.620;6.044;9.665;17.261;6.444;24.316;16.943;4.780;25.287;15.135;2.789;31.454;13.661;1.850;33.944;11.707;1.740;35.428;10.220;1.743;36.264;17.143;5.651;25.477;16.325;4.925;31.987;14.355;4.348;35.895;11.751;4.362;38.003;10.062;4.555;39.232;16.668;6.840;25.633;16.635;7.133;32.766;14.982;6.801;37.115;12.558;6.907;39.001;10.621;7.135;39.989;16.800;7.741;25.499;16.604;9.704;32.605;15.324;10.010;36.266;13.873;9.924;38.416;12.418;9.895;40.105;16.358;8.686;26.029;16.231;11.978;28.135;15.834;13.506;30.884;15.438;16.189;31.348;0.000;0.000;0.000;-7.722;-12.176;-0.849;-10.042;-33.022;0.242;-12.766;-57.494;1.523;-12.085;-101.680;-6.260;7.478;-12.436;-1.355;9.277;-33.223;-0.072;11.385;-57.625;1.435;10.544;-101.992;-7.106
2596.000;103.840;0.094;7.187;-0.198;0.156;13.955;-0.324;0.233;25.932;-0.470;0.118;41.815;-1.212;0.119;46.116;1.805;0.510;52.639;2.832;-6.353;56.577;4.199;7.318;56.882;2.472;-1.894;58.754;11.147;4.634;58.900;10.322;-1.398;36.606;-2.573;-15.492;34.888;-1.200;-20.567;21.789;-2.025;-26.177;7.312;-2.938;-22.384;7.093;9.316;-18.146;6.811;23.762;-18.497;5.058;24.513;-15.178;3.153;30.931;-13.811;3.359;32.944;-12.040;3.201;34.901;-10.889;3.465;36.085;-18.572;5.896;24.604;-16.473;5.299;31.796;-13.982;5.570;35.073;-11.783;5.962;37.025;-10.141;6.080;38.239;-18.166;7.280;24.296;-16.558;7.883;32.235;-14.252;7.792;35.639;-11.677;8.133;37.807;-10.147;8.182;39.339;-18.440;8.312;24.151;-16.553;10.221;31.707;-14.456;10.585;34.891;-12.342;10.645;36.810;-10.678;10.456;38.017;-17.262;9.084;25.734;-16.510;12.242;27.446;-15.172;13.525;29.266;-14.922;16.155;30.179;1.827;36.635;-2.451;15.942;34.091;-0.435;21.334;20.489;-1.317;27.292;5.456;-2.292;22.632;6.037;9.639;17.285;6.425;24.296;16.958;4.752;25.260;15.184;2.765;31.438;13.697;1.828;33.924;11.767;1.712;35.415;10.276;1.715;36.244;17.149;5.626;25.450;16.365;4.915;31.965;14.406;4.308;35.873;11.798;4.330;37.985;10.108;4.525;39.211;16.692;6.829;25.614;16.684;7.123;32.736;15.019;6.782;37.087;12.601;6.889;38.989;10.688;7.114;40.024;16.824;7.730;25.482;16.629;9.691;32.580;15.334;9.983;36.233;13.891;9.895;38.408;12.486;9.871;40.138;16.377;8.667;25.998;16.243;11.954;28.116;15.769;13.448;30.891;15.373;16.126;31.385;0.000;0.000;0.000;-7.723;-12.176;-0.846;-10.042;-33.021;0.241;-12.765;-57.491;1.518;-12.091;-101.679;-6.270;7.478;-12.436;-1.362;9.274;-33.223;-0.082;11.378;-57.625;1.419;10.523;-101.992;-7.124
2597.000;103.880;0.093;7.186;-0.197;0.153;13.953;-0.322;0.226;25.928;-0.467;0.108;41.811;-1.202;0.111;46.111;1.820;0.506;52.632;2.856;-6.356;56.568;4.236;7.313;56.877;2.498;-1.891;58.734;11.184;4.637;58.881;10.354;-1.408;36.601;-2.565;-15.501;34.880;-1.184;-20.571;21.780;-2.005;-26.175;7.301;-2.913;-22.378;7.087;9.339;-18.138;6.810;23.785;-18.496;5.086;24.544;-15.168;3.137;30.954;-13.845;3.381;32.987;-12.021;3.204;34.928;-10.898;3.459;36.141;-18.592;5.921;24.642;-16.458;5.318;31.814;-14.010;5.572;35.110;-11.786;5.988;37.061;-10.157;6.086;38.294;-18.165;7.259;24.322;-16.552;7.870;32.271;-14.264;7.796;35.666;-11.694;8.132;37.846;-10.161;8.182;39.375;-18.432;8.293;24.173;-16.540;10.220;31.730;-14.439;10.560;34.912;-12.369;10.619;36.856;-10.686;10.452;38.040;-17.209;9.075;25.746;-16.504;12.237;27.463;-15.184;13.520;29.294;-14.928;16.151;30.202;1.817;36.631;-2.444;15.936;34.084;-0.432;21.336;20.486;-1.323;27.305;5.456;-2.308;22.649;6.029;9.623;17.301;6.402;24.279;16.977;4.750;25.252;15.203;2.742;31.424;13.740;1.791;33.914;11.814;1.679;35.415;10.328;1.680;36.254;17.178;5.621;25.445;16.389;4.884;31.949;14.464;4.294;35.879;11.853;4.310;37.992;10.165;4.491;39.223;16.720;6.815;25.591;16.694;7.098;32.727;15.053;6.751;37.077;12.665;6.861;38.995;10.729;7.079;39.985;16.857;7.716;25.459;16.659;9.663;32.571;15.371;9.961;36.227;13.943;9.870;38.404;12.529;9.852;40.127;16.401;8.647;25.997;16.284;11.933;28.108;15.811;13.419;30.905;15.441;16.100;31.401;0.000;0.000;0.000;-7.722;-12.176;-0.848;-10.041;-33.021;0.232;-12.763;-57.492;1.500;-12.092;-101.679;-6.294;7.478;-12.435;-1.366;9.274;-33.224;-0.093;11.378;-57.628;1.402;10.522;-101.993;-7.142
2598.000;103.920;0.093;7.185;-0.196;0.153;13.951;-0.322;0.225;25.925;-0.467;0.110;41.808;-1.197;0.116;46.111;1.830;0.515;52.636;2.873;-6.344;56.574;4.261;7.323;56.877;2.511;-1.872;58.735;11.206;4.655;58.880;10.370;-1.408;36.600;-2.561;-15.499;34.882;-1.179;-20.574;21.781;-1.992;-26.184;7.301;-2.890;-22.385;7.100;9.360;-18.142;6.838;23.803;-18.509;5.124;24.571;-15.176;3.191;30.982;-13.826;3.435;33.004;-12.034;3.235;34.944;-10.881;3.510;36.123;-18.609;5.958;24.670;-16.461;5.352;31.840;-14.007;5.647;35.127;-11.780;6.018;37.075;-10.147;6.152;38.299;-18.156;7.297;24.341;-16.581;7.894;32.282;-14.265;7.838;35.686;-11.699;8.166;37.864;-10.164;8.233;39.390;-18.429;8.326;24.192;-16.535;10.264;31.742;-14.464;10.608;34.933;-12.361;10.689;36.867;-10.700;10.513;38.080;-17.223;9.110;25.762;-16.504;12.274;27.482;-15.160;13.554;29.301;-14.915;16.182;30.218;1.818;36.629;-2.441;15.936;34.079;-0.436;21.331;20.479;-1.338;27.294;5.448;-2.334;22.649;6.023;9.602;17.315;6.397;24.262;16.976;4.722;25.227;15.227;2.729;31.401;13.786;1.798;33.917;11.854;1.697;35.428;10.378;1.698;36.283;17.171;5.595;25.414;16.414;4.879;31.936;14.485;4.294;35.859;11.884;4.327;37.986;10.213;4.502;39.242;16.743;6.798;25.578;16.726;7.089;32.711;15.104;6.745;37.072;12.702;6.876;38.977;10.781;7.095;39.997;16.875;7.700;25.446;16.700;9.661;32.562;15.466;9.968;36.221;14.032;9.887;38.404;12.605;9.862;40.115;16.429;8.645;25.989;16.323;11.932;28.088;15.865;13.424;30.863;15.496;16.101;31.382;0.000;0.000;0.000;-7.722;-12.176;-0.848;-10.040;-33.020;0.227;-12.761;-57.488;1.490;-12.092;-101.676;-6.309;7.478;-12.435;-1.366;9.274;-33.222;-0.095;11.378;-57.624;1.398;10.522;-101.990;-7.148
2599.000;103.960;0.092;7.185;-0.195;0.152;13.951;-0.320;0.224;25.924;-0.468;0.110;41.807;-1.193;0.117;46.111;1.839;0.517;52.637;2.888;-6.338;56.581;4.279;7.329;56.873;2.520;-1.860;58.740;11.220;4.666;58.879;10.381;-1.409;36.599;-2.558;-15.500;34.882;-1.165;-20.578;21.779;-1.972;-26.190;7.298;-2.864;-22.380;7.110;9.384;-18.127;6.865;23.823;-18.481;5.131;24.586;-15.133;3.201;30.988;-13.764;3.428;33.001;-11.992;3.280;34.962;-10.853;3.534;36.159;-18.572;5.967;24.680;-16.420;5.387;31.856;-13.953;5.679;35.133;-11.710;6.069;37.067;-10.095;6.201;38.315;-18.146;7.317;24.358;-16.512;7.933;32.296;-14.221;7.872;35.687;-11.628;8.210;37.847;-10.087;8.274;39.367;-18.415;8.346;24.208;-16.517;10.275;31.755;-14.401;10.655;34.940;-12.324;10.731;36.871;-10.659;10.541;38.078;-17.246;9.123;25.764;-16.468;12.297;27.492;-15.119;13.593;29.277;-14.901;16.210;30.230;1.817;36.628;-2.440;15.934;34.078;-0.444;21.317;20.475;-1.361;27.267;5.440;-2.375;22.651;6.019;9.571;17.353;6.401;24.244;17.017;4.732;25.208;15.287;2.757;31.398;13.814;1.855;33.906;11.902;1.722;35.425;10.435;1.720;36.296;17.217;5.604;25.394;16.467;4.892;31.912;14.531;4.314;35.840;11.923;4.371;37.974;10.259;4.571;39.234;16.775;6.829;25.558;16.778;7.104;32.689;15.145;6.776;37.042;12.764;6.896;38.965;10.843;7.125;39.981;16.917;7.729;25.426;16.739;9.681;32.545;15.503;9.993;36.196;14.065;9.905;38.371;12.650;9.892;40.092;16.475;8.653;25.975;16.351;11.948;28.058;15.895;13.441;30.816;15.488;16.110;31.348;0.000;0.000;0.000;-7.722;-12.176;-0.851;-10.040;-33.018;0.221;-12.761;-57.484;1.480;-12.094;-101.675;-6.319;7.479;-12.434;-1.369;9.275;-33.220;-0.098;11.381;-57.621;1.394;10.526;-101.989;-7.149
2600.000;104.000;0.092;7.183;-0.193;0.151;13.948;-0.317;0.222;25.918;-0.466;0.111;41.801;-1.186;0.121;46.106;1.849;0.524;52.635;2.902;-6.332;56.576;4.297;7.334;56.873;2.536;-1.853;58.731;11.240;4.673;58.873;10.399;-1.409;36.594;-2.553;-15.499;34.879;-1.158;-20.579;21.779;-1.963;-26.193;7.301;-2.853;-22.379;7.117;9.392;-18.117;6.879;23.828;-18.482;5.147;24.596;-15.128;3.223;30.994;-13.733;3.452;33.003;-11.970;3.287;34.956;-10.820;3.552;36.141;-18.571;5.983;24.691;-16.405;5.392;31.861;-13.901;5.672;35.117;-11.672;6.062;37.048;-10.030;6.190;38.260;-18.139;7.315;24.372;-16.509;7.945;32.301;-14.197;7.875;35.688;-11.598;8.213;37.832;-10.035;8.274;39.330;-18.400;8.342;24.218;-16.489;10.302;31.756;-14.378;10.663;34.935;-12.293;10.741;36.868;-10.638;10.548;38.087;-17.251;9.124;25.745;-16.453;12.312;27.487;-15.109;13.586;29.329;-14.829;16.224;30.204;1.817;36.622;-2.435;15.934;34.062;-0.445;21.312;20.458;-1.376;27.256;5.421;-2.405;22.652;6.011;9.548;17.368;6.409;24.229;17.030;4.727;25.188;15.291;2.783;31.389;13.832;1.850;33.891;11.931;1.721;35.421;10.456;1.721;36.278;17.227;5.600;25.373;16.480;4.911;31.901;14.580;4.326;35.839;11.959;4.371;37.957;10.289;4.572;39.210;16.785;6.829;25.549;16.815;7.124;32.676;15.182;6.783;37.031;12.794;6.911;38.949;10.861;7.159;39.939;16.927;7.729;25.415;16.772;9.680;32.515;15.516;10.000;36.174;14.101;9.916;38.361;12.707;9.905;40.100;16.490;8.658;25.962;16.323;11.959;28.037;15.764;13.447;30.823;15.291;16.113;31.312;0.000;0.000;0.000;-7.721;-12.176;-0.856;-10.045;-33.019;0.213;-12.773;-57.486;1.467;-12.122;-101.676;-6.327;7.479;-12.433;-1.374;9.273;-33.222;-0.110;11.376;-57.627;1.374;10.515;-101.991;-7.183
2601.000;104.040;0.092;7.183;-0.193;0.151;13.947;-0.318;0.221;25.917;-0.470;0.107;41.801;-1.189;0.116;46.105;1.847;0.518;52.635;2.905;-6.336;56.578;4.302;7.330;56.871;2.536;-1.853;58.732;11.243;4.673;58.872;10.399;-1.413;36.593;-2.556;-15.502;34.878;-1.157;-20.583;21.778;-1.962;-26.199;7.298;-2.853;-22.378;7.121;9.390;-18.110;6.888;23.828;-18.470;5.171;24.595;-15.104;3.233;30.977;-13.744;3.495;33.009;-11.936;3.292;34.927;-10.774;3.556;36.100;-18.568;6.006;24.692;-16.374;5.382;31.850;-13.837;5.662;35.093;-11.592;6.042;36.978;-9.890;6.188;38.102;-18.140;7.325;24.369;-16.450;7.978;32.279;-14.132;7.872;35.668;-11.491;8.223;37.767;-9.929;8.272;39.266;-18.401;8.359;24.215;-16.453;10.328;31.737;-14.335;10.672;34.912;-12.237;10.743;36.851;-10.597;10.570;38.092;-17.212;9.155;25.758;-16.403;12.327;27.466;-15.017;13.582;29.282;-14.705;16.202;30.200;1.813;36.622;-2.439;15.933;34.061;-0.454;21.316;20.460;-1.384;27.266;5.427;-2.413;22.670;6.022;9.539;17.398;6.428;24.222;17.083;4.749;25.183;15.284;2.797;31.369;13.857;1.866;33.880;11.944;1.735;35.403;10.471;1.744;36.264;17.284;5.622;25.368;16.511;4.929;31.896;14.574;4.349;35.821;11.948;4.401;37.919;10.266;4.608;39.154;16.813;6.836;25.551;16.842;7.141;32.666;15.209;6.799;37.023;12.805;6.947;38.924;10.863;7.189;39.898;16.950;7.736;25.414;16.782;9.719;32.499;15.493;10.042;36.146;14.092;9.952;38.351;12.733;9.934;40.117;16.520;8.684;25.974;16.223;11.991;28.035;15.491;13.413;30.808;14.882;16.037;31.372;0.000;0.000;0.000;-7.721;-12.176;-0.857;-10.045;-33.017;0.206;-12.772;-57.484;1.453;-12.123;-101.674;-6.352;7.479;-12.433;-1.379;9.274;-33.221;-0.119;11.377;-57.624;1.360;10.515;-101.988;-7.203
2602.000;104.080;0.091;7.182;-0.192;0.150;13.945;-0.319;0.219;25.913;-0.473;0.103;41.797;-1.184;0.112;46.101;1.854;0.511;52.631;2.911;-6.344;56.571;4.311;7.322;56.869;2.542;-1.861;58.724;11.252;4.665;58.867;10.407;-1.417;36.590;-2.552;-15.509;34.866;-1.148;-20.591;21.767;-1.959;-26.208;7.290;-2.855;-22.393;7.132;9.386;-18.133;6.922;23.820;-18.472;5.157;24.575;-15.088;3.262;30.971;-13.688;3.484;32.977;-11.961;3.318;34.956;-10.819;3.575;36.151;-18.543;5.996;24.659;-16.375;5.437;31.845;-13.811;5.616;35.057;-11.390;6.017;36.790;-9.634;6.142;37.831;-18.143;7.399;24.359;-16.454;8.040;32.265;-14.044;7.925;35.589;-11.382;8.271;37.640;-9.770;8.304;39.086;-18.429;8.434;24.206;-16.476;10.409;31.707;-14.316;10.746;34.859;-12.261;10.862;36.814;-10.627;10.693;38.064;-17.209;9.199;25.760;-16.265;12.355;27.426;-14.775;13.529;29.252;-14.263;16.132;30.129;1.809;36.619;-2.437;15.928;34.052;-0.456;21.326;20.454;-1.377;27.293;5.424;-2.394;22.702;6.041;9.556;17.447;6.478;24.231;17.150;4.766;25.178;15.272;2.875;31.365;13.861;1.853;33.856;11.954;1.694;35.396;10.501;1.642;36.288;17.342;5.642;25.356;16.548;5.002;31.916;14.555;4.402;35.812;11.906;4.470;37.870;10.200;4.687;39.071;16.852;6.864;25.574;16.879;7.237;32.675;15.215;6.912;37.012;12.801;7.043;38.900;10.844;7.303;39.837;16.980;7.765;25.428;16.795;9.808;32.471;15.372;10.093;36.091;14.043;10.028;38.346;12.784;10.005;40.185;16.570;8.732;26.020;16.079;12.037;28.035;15.198;13.329;30.834;14.390;15.874;31.497;0.000;0.000;0.000;-7.721;-12.176;-0.855;-10.044;-33.018;0.204;-12.770;-57.485;1.447;-12.125;-101.673;-6.364;7.479;-12.433;-1.381;9.275;-33.220;-0.123;11.380;-57.623;1.355;10.516;-101.988;-7.206
2603.000;104.120;0.090;7.178;-0.192;0.149;13.938;-0.319;0.218;25.899;-0.475;0.092;41.784;-1.168;0.101;46.087;1.872;0.504;52.621;2.927;-6.351;56.563;4.326;7.314;56.858;2.556;-1.867;58.719;11.265;4.658;58.860;10.419;-1.425;36.578;-2.542;-15.513;34.855;-1.137;-20.627;21.781;-1.904;-26.278;7.331;-2.752;-22.462;7.294;9.486;-18.204;7.239;23.912;-18.581;5.430;24.693;-15.292;3.843;31.224;-13.859;4.034;33.194;-12.165;3.942;35.201;-11.021;4.208;36.391;-18.643;6.273;24.738;-16.655;5.958;32.009;-13.746;6.163;34.971;-10.842;6.717;35.574;-8.831;7.068;35.687;-18.176;7.771;24.429;-16.729;8.613;32.300;-13.990;8.641;35.412;-10.935;8.933;36.768;-8.959;8.994;37.652;-18.489;8.785;24.244;-16.715;10.976;31.641;-14.453;11.278;34.750;-12.533;11.406;36.834;-11.023;11.246;38.234;-17.255;9.565;25.866;-15.877;12.610;27.299;-14.045;13.460;29.129;-12.874;15.792;30.128;1.801;36.608;-2.427;15.920;34.022;-0.453;21.395;20.451;-1.269;27.446;5.451;-2.172;22.835;6.192;9.751;17.571;6.808;24.398;17.355;5.093;25.376;15.503;3.338;31.614;14.020;2.167;34.020;12.175;1.816;35.570;10.733;1.662;36.468;17.550;5.974;25.525;16.814;5.496;32.151;14.559;4.997;35.941;11.619;5.213;37.557;9.744;5.550;38.436;16.941;7.247;25.768;17.167;7.814;32.800;15.339;7.548;37.086;12.832;7.735;38.846;10.846;7.981;39.723;17.067;8.141;25.586;16.971;10.398;32.474;15.365;10.714;36.031;14.163;10.644;38.365;13.093;10.619;40.320;16.665;9.099;26.219;15.582;12.376;27.993;14.300;13.289;30.881;12.843;15.498;31.635;0.000;0.000;0.000;-7.719;-12.178;-0.854;-10.035;-33.019;0.204;-12.753;-57.486;1.445;-12.096;-101.674;-6.370;7.481;-12.431;-1.383;9.281;-33.221;-0.127;11.391;-57.627;1.348;10.531;-101.989;-7.213
