Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2237.000;89.480;-0.024;7.177;-0.279;-0.101;13.938;-0.425;-0.304;25.904;-0.537;-0.781;41.779;-1.296;-0.810;46.132;1.777;-0.360;52.725;2.870;-7.160;56.897;3.781;6.586;56.752;2.792;-3.014;59.095;10.914;3.551;59.025;10.442;-2.181;36.535;-2.649;-16.273;34.467;-1.122;-21.239;21.358;-2.018;-26.728;6.868;-3.009;-23.025;5.760;9.235;-18.858;4.229;23.623;-19.181;2.547;24.309;-15.094;-0.335;30.039;-14.163;-0.899;32.216;-13.395;-1.895;34.467;-12.896;-2.219;36.030;-19.226;3.367;24.511;-15.636;1.842;31.078;-13.511;1.733;34.537;-12.369;1.647;37.255;-11.542;1.435;39.114;-18.773;4.724;24.178;-15.411;4.375;31.834;-13.283;4.355;35.260;-11.258;4.343;38.013;-10.229;4.251;39.916;-19.010;5.792;24.203;-15.459;6.708;31.559;-13.173;6.949;34.663;-11.353;6.968;36.872;-10.015;6.752;38.430;-17.647;6.427;25.716;-16.618;9.488;27.496;-14.893;10.979;29.086;-15.695;13.402;30.223;1.043;36.637;-2.533;15.174;34.291;-0.495;20.883;20.789;-1.419;27.193;5.866;-2.440;22.134;5.199;9.322;16.359;4.044;23.731;16.006;2.335;24.721;13.795;0.433;30.862;12.899;-0.740;33.435;11.864;-1.551;35.473;11.068;-2.156;36.855;16.109;3.229;24.878;14.566;2.760;31.349;13.007;2.393;35.393;11.223;2.211;38.229;10.098;2.216;39.999;15.640;4.482;24.925;14.691;4.999;32.062;13.006;5.098;36.369;11.291;5.209;38.854;10.016;5.362;40.622;15.731;5.386;24.772;14.473;7.623;31.717;12.580;8.384;35.114;11.390;8.724;37.421;10.382;9.008;39.388;15.270;6.321;25.298;15.198;9.778;26.833;14.471;11.447;29.619;14.271;14.168;29.978;0.000;0.000;0.000;-7.554;-12.296;-0.591;-9.481;-33.148;0.628;-11.742;-57.626;2.058;-10.099;-101.768;-5.479;7.643;-12.346;-1.258;9.552;-33.147;0.471;11.794;-57.566;2.499;11.123;-102.088;-5.771
2238.000;89.520;-0.027;7.176;-0.286;-0.107;13.935;-0.441;-0.317;25.898;-0.571;-0.797;41.773;-1.346;-0.819;46.132;1.726;-0.364;52.729;2.818;-7.159;56.905;3.753;6.583;56.753;2.709;-2.983;59.108;10.867;3.580;59.035;10.368;-2.199;36.527;-2.691;-16.287;34.458;-1.133;-21.249;21.346;-1.997;-26.732;6.855;-2.953;-23.015;5.775;9.288;-18.831;4.277;23.674;-19.145;2.583;24.350;-15.065;-0.266;30.093;-14.099;-0.839;32.264;-13.340;-1.851;34.510;-12.841;-2.177;36.073;-19.179;3.406;24.546;-15.601;1.897;31.131;-13.466;1.765;34.597;-12.314;1.631;37.292;-11.477;1.417;39.146;-18.751;4.752;24.239;-15.366;4.447;31.878;-13.186;4.423;35.274;-11.213;4.402;38.037;-10.166;4.330;39.931;-18.980;5.828;24.257;-15.421;6.788;31.595;-13.144;7.011;34.712;-11.410;7.053;36.945;-10.029;6.854;38.466;-17.607;6.487;25.776;-16.585;9.542;27.543;-14.863;11.024;29.128;-15.643;13.461;30.251;1.025;36.630;-2.581;15.159;34.291;-0.568;20.880;20.793;-1.482;27.203;5.875;-2.493;22.194;5.228;9.288;16.482;4.101;23.720;16.134;2.389;24.714;13.941;0.505;30.875;13.054;-0.669;33.446;12.021;-1.472;35.486;11.213;-2.071;36.864;16.235;3.285;24.867;14.733;2.827;31.352;13.161;2.468;35.394;11.372;2.308;38.229;10.241;2.320;39.996;15.770;4.541;24.918;14.850;5.076;32.057;13.148;5.164;36.364;11.408;5.266;38.835;10.125;5.440;40.596;15.862;5.444;24.763;14.643;7.688;31.708;12.777;8.454;35.119;11.608;8.799;37.439;10.587;9.082;39.400;15.407;6.380;25.286;15.331;9.841;26.822;14.611;11.506;29.601;14.425;14.224;29.985;0.000;0.000;0.000;-7.551;-12.299;-0.570;-9.469;-33.152;0.661;-11.721;-57.630;2.106;-10.070;-101.761;-5.437;7.645;-12.345;-1.256;9.561;-33.137;0.480;11.810;-57.546;2.518;11.141;-102.085;-5.729
2239.000;89.560;-0.029;7.174;-0.292;-0.111;13.932;-0.456;-0.324;25.893;-0.605;-0.807;41.766;-1.400;-0.823;46.131;1.669;-0.364;52.731;2.754;-7.152;56.914;3.706;6.587;56.749;2.620;-2.952;59.119;10.805;3.609;59.040;10.286;-2.211;36.519;-2.736;-16.298;34.454;-1.150;-21.260;21.341;-1.986;-26.745;6.848;-2.911;-23.016;5.783;9.327;-18.818;4.303;23.710;-19.124;2.609;24.389;-15.024;-0.234;30.128;-14.049;-0.768;32.312;-13.279;-1.788;34.546;-12.764;-2.121;36.102;-19.164;3.432;24.584;-15.579;1.934;31.169;-13.428;1.786;34.637;-12.297;1.638;37.326;-11.427;1.434;39.166;-18.731;4.810;24.265;-15.341;4.506;31.908;-13.156;4.489;35.310;-11.192;4.457;38.073;-10.156;4.373;39.973;-18.975;5.885;24.288;-15.398;6.845;31.625;-13.138;7.097;34.735;-11.416;7.113;36.981;-10.048;6.952;38.519;-17.611;6.524;25.820;-16.559;9.588;27.540;-14.790;11.081;29.099;-15.583;13.517;30.215;1.014;36.622;-2.631;15.150;34.289;-0.644;20.883;20.793;-1.551;27.219;5.877;-2.552;22.263;5.251;9.253;16.618;4.149;23.713;16.274;2.435;24.711;14.101;0.566;30.885;13.215;-0.604;33.458;12.168;-1.405;35.498;11.365;-2.004;36.879;16.374;3.331;24.861;14.900;2.907;31.355;13.326;2.540;35.401;11.542;2.385;38.235;10.404;2.402;39.997;15.914;4.592;24.913;15.026;5.136;32.057;13.323;5.215;36.365;11.580;5.316;38.831;10.290;5.489;40.588;16.005;5.495;24.756;14.817;7.761;31.703;12.960;8.540;35.108;11.793;8.887;37.435;10.794;9.167;39.408;15.539;6.427;25.262;15.483;9.900;26.797;14.785;11.565;29.554;14.581;14.278;29.965;0.000;0.000;0.000;-7.549;-12.301;-0.554;-9.460;-33.151;0.689;-11.703;-57.627;2.148;-10.041;-101.761;-5.404;7.646;-12.344;-1.255;9.569;-33.131;0.487;11.826;-57.532;2.533;11.163;-102.083;-5.697
2240.000;89.600;-0.030;7.172;-0.298;-0.113;13.928;-0.470;-0.331;25.885;-0.639;-0.814;41.757;-1.454;-0.824;46.128;1.611;-0.357;52.731;2.692;-7.140;56.920;3.656;6.596;56.744;2.535;-2.920;59.130;10.742;3.639;59.046;10.207;-2.220;36.508;-2.781;-16.305;34.448;-1.172;-21.274;21.336;-1.993;-26.766;6.843;-2.900;-23.029;5.790;9.340;-18.823;4.329;23.724;-19.120;2.609;24.394;-15.025;-0.193;30.144;-14.026;-0.716;32.325;-13.242;-1.740;34.561;-12.742;-2.051;36.126;-19.149;3.434;24.580;-15.583;1.985;31.184;-13.422;1.851;34.639;-12.243;1.742;37.326;-11.355;1.529;39.156;-18.727;4.847;24.273;-15.352;4.544;31.917;-13.143;4.546;35.311;-11.174;4.530;38.074;-10.128;4.461;39.969;-18.981;5.917;24.299;-15.412;6.879;31.634;-13.156;7.143;34.746;-11.441;7.184;36.994;-10.060;6.999;38.517;-17.606;6.555;25.825;-16.518;9.625;27.540;-14.715;11.106;29.066;-15.463;13.563;30.166;1.004;36.611;-2.681;15.143;34.281;-0.714;20.888;20.790;-1.619;27.239;5.878;-2.620;22.326;5.269;9.205;16.733;4.188;23.689;16.393;2.470;24.688;14.245;0.618;30.876;13.375;-0.543;33.466;12.323;-1.348;35.502;11.516;-1.941;36.883;16.493;3.367;24.836;15.049;2.965;31.343;13.512;2.611;35.400;11.721;2.461;38.232;10.576;2.494;39.990;16.031;4.619;24.898;15.186;5.192;32.035;13.485;5.278;36.348;11.741;5.400;38.814;10.469;5.564;40.584;16.118;5.522;24.738;14.968;7.811;31.682;13.140;8.596;35.100;11.983;8.953;37.426;10.988;9.246;39.399;15.661;6.474;25.248;15.631;9.945;26.758;14.960;11.610;29.520;14.744;14.319;29.947;0.000;0.000;0.000;-7.549;-12.301;-0.539;-9.456;-33.151;0.711;-11.693;-57.628;2.179;-10.028;-101.760;-5.375;7.645;-12.345;-1.257;9.573;-33.122;0.486;11.836;-57.513;2.532;11.179;-102.082;-5.670
2241.000;89.640;-0.030;7.170;-0.303;-0.113;13.925;-0.484;-0.331;25.879;-0.673;-0.811;41.751;-1.504;-0.816;46.126;1.560;-0.347;52.731;2.638;-7.123;56.927;3.613;6.610;56.738;2.461;-2.886;59.142;10.686;3.672;59.052;10.136;-2.220;36.500;-2.824;-16.300;34.444;-1.198;-21.278;21.336;-2.003;-26.780;6.848;-2.892;-23.034;5.802;9.345;-18.812;4.351;23.730;-19.106;2.623;24.391;-15.034;-0.140;30.170;-14.008;-0.697;32.333;-13.222;-1.714;34.563;-12.696;-2.022;36.120;-19.133;3.449;24.573;-15.592;2.016;31.201;-13.462;1.864;34.663;-12.200;1.734;37.325;-11.291;1.524;39.145;-18.727;4.852;24.284;-15.369;4.593;31.928;-13.185;4.556;35.330;-11.155;4.555;38.053;-10.070;4.480;39.926;-18.968;5.925;24.301;-15.419;6.908;31.640;-13.170;7.147;34.753;-11.461;7.164;36.997;-10.067;6.940;38.503;-17.590;6.584;25.830;-16.464;9.657;27.541;-14.639;11.108;29.043;-15.316;13.599;30.113;1.005;36.603;-2.728;15.142;34.274;-0.785;20.898;20.786;-1.689;27.259;5.878;-2.687;22.382;5.276;9.153;16.832;4.205;23.655;16.497;2.486;24.652;14.373;0.631;30.845;13.500;-0.529;33.437;12.432;-1.345;35.469;11.625;-1.912;36.861;16.597;3.383;24.800;15.185;2.972;31.317;13.656;2.619;35.375;11.867;2.479;38.211;10.722;2.512;39.968;16.136;4.634;24.867;15.319;5.198;32.008;13.645;5.290;36.335;11.903;5.407;38.801;10.628;5.575;40.569;16.224;5.537;24.706;15.096;7.829;31.657;13.265;8.594;35.083;12.091;8.903;37.405;11.096;9.197;39.377;15.773;6.490;25.226;15.738;9.961;26.728;15.077;11.614;29.494;14.848;14.322;29.930;0.000;0.000;0.000;-7.550;-12.302;-0.525;-9.450;-33.149;0.731;-11.679;-57.623;2.205;-10.010;-101.759;-5.351;7.644;-12.345;-1.260;9.577;-33.111;0.482;11.847;-57.489;2.528;11.195;-102.084;-5.644
2242.000;89.680;-0.030;7.169;-0.306;-0.112;13.922;-0.496;-0.325;25.874;-0.707;-0.800;41.744;-1.556;-0.800;46.124;1.506;-0.319;52.729;2.583;-7.091;56.932;3.565;6.640;56.730;2.391;-2.840;59.150;10.630;3.717;59.053;10.069;-2.212;36.493;-2.868;-16.291;34.447;-1.226;-21.280;21.344;-2.023;-26.795;6.862;-2.905;-23.041;5.805;9.336;-18.804;4.343;23.723;-19.098;2.616;24.383;-15.054;-0.111;30.202;-13.983;-0.633;32.352;-13.130;-1.643;34.569;-12.561;-1.941;36.113;-19.135;3.442;24.562;-15.683;2.024;31.229;-13.527;1.826;34.691;-12.071;1.659;37.266;-11.058;1.434;39.028;-18.733;4.825;24.273;-15.442;4.603;31.943;-13.239;4.585;35.345;-11.124;4.589;37.981;-9.920;4.534;39.781;-18.975;5.897;24.279;-15.528;6.911;31.642;-13.334;7.116;34.789;-11.553;7.095;37.011;-10.180;6.836;38.531;-17.611;6.586;25.825;-16.385;9.663;27.469;-14.473;11.040;28.951;-14.996;13.574;30.007;1.012;36.595;-2.775;15.150;34.259;-0.847;20.917;20.775;-1.748;27.291;5.871;-2.744;22.431;5.263;9.104;16.903;4.184;23.615;16.552;2.455;24.605;14.451;0.584;30.799;13.557;-0.600;33.375;12.452;-1.416;35.387;11.598;-1.984;36.750;16.649;3.352;24.753;15.268;2.937;31.277;13.772;2.549;35.350;11.926;2.403;38.150;10.748;2.433;39.885;16.204;4.616;24.825;15.439;5.177;31.983;13.862;5.208;36.350;12.085;5.289;38.800;10.730;5.447;40.508;16.295;5.518;24.667;15.206;7.798;31.642;13.400;8.525;35.075;12.181;8.825;37.361;11.090;9.064;39.289;15.850;6.473;25.196;15.831;9.935;26.713;15.170;11.585;29.478;14.934;14.291;29.920;0.000;0.000;0.000;-7.550;-12.302;-0.511;-9.445;-33.151;0.749;-11.669;-57.627;2.228;-9.999;-101.759;-5.338;7.642;-12.345;-1.270;9.579;-33.105;0.475;11.853;-57.475;2.524;11.208;-102.083;-5.634
2243.000;89.720;-0.030;7.166;-0.308;-0.110;13.917;-0.505;-0.317;25.864;-0.733;-0.787;41.734;-1.595;-0.780;46.116;1.464;-0.293;52.723;2.534;-7.056;56.937;3.525;6.673;56.712;2.335;-2.794;59.146;10.585;3.763;59.039;10.017;-2.203;36.482;-2.901;-16.281;34.447;-1.240;-21.279;21.350;-2.035;-26.804;6.874;-2.915;-23.044;5.790;9.339;-18.782;4.299;23.736;-19.097;2.572;24.409;-15.125;-0.074;30.335;-13.941;-0.470;32.486;-12.948;-1.394;34.645;-12.267;-1.613;36.156;-19.154;3.398;24.583;-15.914;2.068;31.352;-13.727;1.883;34.799;-11.980;1.819;37.193;-10.715;1.626;38.788;-18.722;4.739;24.297;-15.760;4.657;32.040;-13.579;4.700;35.461;-11.132;4.700;37.803;-9.642;4.662;39.373;-18.957;5.802;24.269;-15.820;6.951;31.688;-13.645;7.130;34.848;-11.675;7.113;36.939;-10.229;6.845;38.388;-17.613;6.558;25.841;-16.223;9.614;27.375;-14.117;10.845;28.824;-14.365;13.422;29.874;1.022;36.583;-2.812;15.160;34.240;-0.899;20.942;20.756;-1.797;27.332;5.853;-2.788;22.461;5.230;9.058;16.910;4.138;23.566;16.553;2.407;24.548;14.445;0.501;30.738;13.504;-0.747;33.276;12.282;-1.535;35.226;11.333;-2.101;36.525;16.662;3.302;24.700;15.303;2.833;31.221;13.826;2.394;35.306;11.871;2.233;38.026;10.593;2.233;39.689;16.215;4.542;24.784;15.488;5.076;31.953;14.073;5.028;36.378;12.184;5.050;38.756;10.679;5.182;40.336;16.303;5.446;24.631;15.286;7.683;31.633;13.578;8.371;35.081;12.217;8.574;37.309;10.947;8.765;39.130;15.871;6.410;25.152;15.847;9.873;26.698;15.195;11.492;29.467;14.921;14.182;29.978;0.000;0.000;0.000;-7.551;-12.302;-0.500;-9.442;-33.152;0.759;-11.662;-57.628;2.237;-9.997;-101.761;-5.327;7.641;-12.345;-1.280;9.582;-33.103;0.465;11.861;-57.471;2.513;11.216;-102.085;-5.619
2244.000;89.760;-0.030;7.165;-0.310;-0.108;13.915;-0.512;-0.307;25.860;-0.753;-0.767;41.730;-1.622;-0.747;46.111;1.433;-0.243;52.713;2.500;-7.001;56.935;3.492;6.728;56.693;2.303;-2.736;59.136;10.554;3.820;59.020;9.986;-2.189;36.479;-2.923;-16.262;34.445;-1.230;-21.258;21.352;-2.037;-26.780;6.882;-2.928;-23.027;5.749;9.345;-18.776;4.234;23.764;-19.104;2.526;24.476;-15.293;0.070;30.572;-13.994;-0.111;32.678;-12.751;-0.776;34.830;-11.912;-0.852;36.274;-19.186;3.352;24.637;-16.310;2.229;31.555;-13.999;2.306;34.944;-11.966;2.468;37.091;-10.489;2.494;38.506;-18.698;4.648;24.321;-16.300;4.881;32.174;-14.102;4.955;35.591;-11.337;5.040;37.523;-9.483;5.029;38.643;-18.930;5.696;24.239;-16.325;7.097;31.736;-14.177;7.279;34.898;-12.030;7.283;36.821;-10.417;7.014;38.081;-17.749;6.531;25.874;-16.195;9.568;27.305;-14.014;10.679;28.732;-13.982;13.298;29.706;1.036;36.577;-2.839;15.177;34.225;-0.956;20.970;20.741;-1.845;27.374;5.838;-2.827;22.480;5.180;9.019;16.896;4.050;23.531;16.531;2.300;24.483;14.431;0.322;30.650;13.404;-0.940;33.155;11.994;-1.669;35.004;10.883;-2.161;36.201;16.631;3.194;24.645;15.334;2.643;31.169;13.823;2.080;35.235;11.656;1.937;37.790;10.205;1.949;39.305;16.213;4.441;24.754;15.531;4.896;31.930;14.164;4.712;36.381;12.101;4.714;38.615;10.375;4.842;39.950;16.306;5.346;24.612;15.333;7.475;31.651;13.660;8.049;35.129;12.154;8.154;37.245;10.669;8.253;38.904;15.846;6.291;25.116;15.732;9.740;26.763;14.934;11.268;29.595;14.466;13.912;30.198;0.000;0.000;0.000;-7.551;-12.303;-0.487;-9.440;-33.155;0.770;-11.657;-57.634;2.246;-9.993;-101.763;-5.318;7.639;-12.345;-1.290;9.587;-33.099;0.447;11.874;-57.464;2.485;11.222;-102.087;-5.611
2245.000;89.800;-0.028;7.165;-0.311;-0.101;13.914;-0.518;-0.289;25.858;-0.773;-0.743;41.729;-1.637;-0.708;46.102;1.414;-0.182;52.693;2.481;-6.933;56.928;3.468;6.797;56.660;2.297;-2.673;59.113;10.538;3.884;58.985;9.978;-2.171;36.478;-2.936;-16.243;34.442;-1.196;-21.215;21.348;-2.021;-26.710;6.876;-2.933;-22.949;5.702;9.353;-18.778;4.275;23.809;-19.130;2.500;24.545;-15.639;0.557;30.966;-14.276;0.650;33.013;-12.656;0.397;35.029;-11.609;0.616;36.314;-19.234;3.333;24.657;-16.958;2.665;31.805;-14.792;3.023;35.284;-12.463;3.454;37.097;-10.731;3.659;38.164;-18.755;4.662;24.357;-17.064;5.243;32.335;-15.050;5.456;35.858;-11.961;5.678;37.237;-9.876;5.731;37.821;-18.993;5.699;24.200;-17.089;7.450;31.774;-15.047;7.714;34.994;-12.755;7.792;36.686;-10.928;7.534;37.613;-17.844;6.613;25.893;-16.228;9.619;27.231;-13.966;10.546;28.772;-13.564;13.162;29.667;1.055;36.575;-2.861;15.201;34.218;-1.025;21.011;20.732;-1.907;27.432;5.826;-2.882;22.502;5.105;8.974;16.857;3.901;23.514;16.513;2.110;24.405;14.416;-0.030;30.516;13.204;-1.260;32.959;11.460;-1.822;34.580;10.141;-2.165;35.605;16.604;3.002;24.585;15.371;2.271;31.100;13.587;1.610;35.056;11.004;1.486;37.192;9.268;1.516;38.368;16.175;4.262;24.754;15.513;4.532;31.904;14.053;4.179;36.327;11.649;4.169;38.238;9.718;4.305;39.252;16.266;5.171;24.635;15.283;7.099;31.680;13.472;7.425;35.112;11.729;7.342;36.984;9.961;7.311;38.341;15.744;6.090;25.143;15.346;9.457;26.955;14.165;10.659;29.866;13.063;13.020;30.751;0.000;0.000;0.000;-7.554;-12.301;-0.476;-9.436;-33.155;0.776;-11.646;-57.635;2.247;-9.984;-101.766;-5.316;7.635;-12.346;-1.303;9.593;-33.097;0.421;11.891;-57.456;2.446;11.232;-102.089;-5.611
