Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
383.000;15.320;0.036;7.203;-0.033;0.068;13.985;-0.090;0.122;25.982;-0.227;-0.197;41.869;-0.812;-0.319;46.065;2.148;0.016;52.493;3.109;-6.704;56.636;4.579;6.954;56.518;2.740;-2.121;58.588;11.513;4.402;58.531;10.634;-1.599;36.653;-2.270;-15.724;34.676;-1.313;-20.763;21.651;-2.840;-26.332;7.254;-4.527;-22.467;6.155;7.712;-18.111;4.849;22.102;-18.743;3.262;22.805;-16.436;0.782;29.531;-15.417;0.461;31.787;-14.409;-0.337;33.973;-13.520;-0.406;35.388;-18.777;4.099;22.924;-17.534;3.121;30.211;-16.074;2.943;34.044;-14.078;2.987;36.324;-12.656;2.872;37.789;-18.032;5.237;22.667;-17.372;5.702;30.737;-16.055;5.778;34.620;-13.824;5.638;37.167;-12.378;5.560;38.777;-18.150;6.298;22.472;-16.929;8.057;30.222;-15.217;8.228;33.637;-13.270;8.106;35.682;-11.669;7.689;36.917;-17.011;6.920;24.157;-16.339;10.035;25.993;-14.812;11.267;28.123;-15.246;13.680;29.463;1.621;36.726;-2.053;15.687;34.199;0.331;20.976;20.650;-0.991;26.823;5.674;-2.452;22.115;5.394;9.489;16.707;4.708;24.121;16.368;3.055;25.059;14.645;0.803;31.183;13.557;-0.436;33.665;12.127;-1.064;35.497;10.957;-1.396;36.693;16.608;3.911;25.274;15.868;2.948;31.742;14.262;2.286;35.781;11.964;2.211;38.233;10.466;2.313;39.697;16.169;4.992;25.489;16.338;5.204;32.568;14.965;4.938;37.036;12.932;5.070;39.287;11.229;5.302;40.637;16.295;5.895;25.362;16.227;7.896;32.390;14.623;8.647;35.838;12.952;8.831;37.796;11.226;8.974;39.199;15.947;6.889;25.880;16.112;10.133;27.975;15.709;11.324;31.054;15.410;13.869;32.058;0.000;0.000;0.000;-7.592;-12.219;-1.285;-9.803;-33.137;-0.905;-12.399;-57.693;-0.459;-11.562;-101.848;-8.997;7.615;-12.321;-1.616;9.356;-33.275;-0.789;11.399;-57.873;0.181;10.636;-102.153;-8.941
384.000;15.360;0.036;7.202;-0.033;0.069;13.982;-0.094;0.126;25.977;-0.239;-0.190;41.864;-0.818;-0.308;46.063;2.150;0.030;52.493;3.124;-6.685;56.634;4.622;6.966;56.520;2.725;-2.072;58.588;11.536;4.447;58.534;10.630;-1.595;36.649;-2.276;-15.720;34.668;-1.306;-20.755;21.643;-2.845;-26.319;7.248;-4.545;-22.449;6.133;7.690;-18.087;4.808;22.075;-18.725;3.224;22.780;-16.400;0.727;29.490;-15.372;0.403;31.748;-14.346;-0.413;33.921;-13.453;-0.483;35.333;-18.760;4.061;22.902;-17.494;3.065;30.182;-16.014;2.879;34.008;-14.010;2.919;36.282;-12.576;2.806;37.736;-18.021;5.186;22.644;-17.306;5.648;30.715;-15.958;5.698;34.578;-13.686;5.566;37.093;-12.250;5.456;38.710;-18.134;6.249;22.452;-16.885;8.003;30.198;-15.164;8.168;33.608;-13.208;8.047;35.647;-11.607;7.623;36.880;-16.980;6.874;24.129;-16.295;9.986;25.972;-14.763;11.215;28.093;-15.186;13.627;29.438;1.625;36.721;-2.063;15.693;34.189;0.303;20.975;20.638;-1.037;26.813;5.661;-2.518;22.134;5.377;9.434;16.759;4.686;24.078;16.421;3.030;25.016;14.709;0.774;31.138;13.626;-0.461;33.626;12.187;-1.096;35.452;11.018;-1.425;36.650;16.660;3.886;25.230;15.943;2.928;31.702;14.322;2.255;35.738;12.018;2.187;38.179;10.513;2.293;39.636;16.223;4.970;25.446;16.411;5.171;32.526;15.038;4.909;36.995;12.992;5.030;39.242;11.287;5.268;40.589;16.350;5.873;25.320;16.296;7.870;32.349;14.694;8.588;35.801;13.021;8.776;37.761;11.298;8.924;39.166;16.002;6.868;25.850;16.176;10.108;27.939;15.782;11.297;31.028;15.479;13.845;32.022;0.000;0.000;0.000;-7.593;-12.220;-1.281;-9.800;-33.137;-0.903;-12.391;-57.693;-0.459;-11.548;-101.847;-9.024;7.614;-12.321;-1.622;9.357;-33.273;-0.803;11.404;-57.869;0.159;10.640;-102.148;-8.971
385.000;15.400;0.036;7.200;-0.034;0.070;13.979;-0.098;0.130;25.972;-0.250;-0.183;41.859;-0.825;-0.297;46.060;2.151;0.047;52.493;3.138;-6.659;56.634;4.671;6.981;56.519;2.700;-2.009;58.591;11.559;4.504;58.536;10.618;-1.591;36.645;-2.283;-15.715;34.662;-1.298;-20.743;21.638;-2.847;-26.301;7.243;-4.559;-22.429;6.120;7.673;-18.067;4.785;22.055;-18.709;3.201;22.762;-16.373;0.709;29.462;-15.322;0.367;31.717;-14.293;-0.445;33.887;-13.394;-0.514;35.295;-18.741;4.037;22.885;-17.458;3.032;30.160;-15.972;2.852;33.982;-13.964;2.891;36.254;-12.528;2.785;37.706;-18.003;5.161;22.627;-17.271;5.616;30.698;-15.901;5.651;34.553;-13.604;5.520;37.051;-12.167;5.403;38.667;-18.115;6.223;22.437;-16.853;7.969;30.180;-15.120;8.134;33.592;-13.160;8.013;35.630;-11.574;7.586;36.882;-16.945;6.842;24.110;-16.255;9.958;25.952;-14.708;11.178;28.075;-15.132;13.587;29.428;1.629;36.716;-2.073;15.699;34.180;0.278;20.969;20.626;-1.081;26.794;5.645;-2.582;22.149;5.358;9.384;16.817;4.663;24.044;16.482;3.001;24.979;14.787;0.748;31.106;13.701;-0.489;33.597;12.261;-1.118;35.423;11.091;-1.441;36.622;16.720;3.857;25.193;16.030;2.900;31.670;14.388;2.229;35.703;12.077;2.182;38.134;10.558;2.288;39.576;16.283;4.950;25.411;16.489;5.148;32.492;15.124;4.875;36.963;13.074;4.992;39.208;11.364;5.231;40.547;16.413;5.853;25.285;16.386;7.836;32.314;14.784;8.548;35.773;13.114;8.736;37.732;11.395;8.882;39.144;16.057;6.844;25.821;16.246;10.082;27.908;15.859;11.272;30.997;15.565;13.821;31.992;0.000;0.000;0.000;-7.592;-12.221;-1.275;-9.793;-33.138;-0.901;-12.378;-57.693;-0.462;-11.529;-101.842;-9.057;7.615;-12.320;-1.628;9.362;-33.271;-0.816;11.413;-57.866;0.136;10.651;-102.145;-9.004
386.000;15.440;0.036;7.198;-0.034;0.070;13.975;-0.100;0.132;25.965;-0.260;-0.180;41.852;-0.830;-0.288;46.056;2.151;0.063;52.492;3.147;-6.634;56.636;4.713;6.996;56.515;2.674;-1.949;58.590;11.578;4.560;58.532;10.604;-1.589;36.639;-2.288;-15.712;34.659;-1.292;-20.736;21.634;-2.844;-26.290;7.238;-4.560;-22.413;6.113;7.671;-18.045;4.775;22.051;-18.685;3.190;22.758;-16.350;0.703;29.458;-15.278;0.342;31.703;-14.247;-0.468;33.869;-13.340;-0.538;35.273;-18.719;4.026;22.881;-17.437;3.024;30.157;-15.949;2.842;33.979;-13.944;2.887;36.252;-12.509;2.780;37.706;-17.976;5.152;22.623;-17.241;5.609;30.693;-15.871;5.634;34.550;-13.565;5.499;37.039;-12.110;5.384;38.639;-18.087;6.214;22.433;-16.828;7.956;30.175;-15.092;8.124;33.587;-13.129;7.995;35.629;-11.559;7.568;36.899;-16.913;6.829;24.105;-16.223;9.948;25.945;-14.664;11.155;28.068;-15.078;13.561;29.427;1.631;36.709;-2.081;15.702;34.168;0.255;20.962;20.612;-1.118;26.777;5.630;-2.635;22.167;5.335;9.345;16.880;4.630;24.020;16.550;2.966;24.955;14.863;0.714;31.085;13.775;-0.525;33.576;12.324;-1.139;35.396;11.149;-1.451;36.592;16.788;3.822;25.168;16.119;2.853;31.649;14.427;2.205;35.669;12.099;2.174;38.071;10.552;2.285;39.484;16.350;4.921;25.390;16.567;5.115;32.472;15.200;4.838;36.936;13.154;4.956;39.175;11.428;5.196;40.495;16.481;5.824;25.265;16.481;7.795;32.293;14.888;8.510;35.760;13.223;8.683;37.718;11.508;8.824;39.134;16.122;6.809;25.801;16.324;10.045;27.889;15.935;11.232;30.973;15.667;13.776;31.987;0.000;0.000;0.000;-7.592;-12.221;-1.271;-9.790;-33.137;-0.903;-12.371;-57.691;-0.470;-11.522;-101.836;-9.086;7.615;-12.319;-1.634;9.365;-33.269;-0.829;11.420;-57.863;0.117;10.660;-102.141;-9.032
387.000;15.480;0.035;7.196;-0.034;0.070;13.971;-0.102;0.133;25.957;-0.268;-0.175;41.845;-0.837;-0.279;46.051;2.149;0.079;52.491;3.150;-6.611;56.640;4.734;7.014;56.510;2.659;-1.907;58.591;11.587;4.599;58.528;10.596;-1.587;36.632;-2.294;-15.707;34.657;-1.291;-20.733;21.631;-2.838;-26.288;7.235;-4.549;-22.402;6.112;7.682;-18.025;4.778;22.063;-18.665;3.199;22.769;-16.328;0.697;29.463;-15.249;0.327;31.710;-14.194;-0.498;33.852;-13.262;-0.567;35.239;-18.702;4.035;22.892;-17.413;3.031;30.168;-15.919;2.829;33.987;-13.902;2.868;36.247;-12.453;2.753;37.685;-17.957;5.154;22.634;-17.203;5.628;30.701;-15.820;5.641;34.552;-13.513;5.501;37.033;-12.035;5.380;38.610;-18.067;6.213;22.443;-16.800;7.960;30.183;-15.057;8.132;33.592;-13.103;7.989;35.630;-11.507;7.601;36.882;-16.897;6.833;24.112;-16.195;9.955;25.951;-14.634;11.156;28.066;-15.029;13.567;29.424;1.634;36.701;-2.089;15.706;34.154;0.234;20.961;20.598;-1.149;26.770;5.616;-2.676;22.187;5.309;9.315;16.933;4.589;24.003;16.605;2.926;24.939;14.929;0.665;31.068;13.837;-0.571;33.559;12.356;-1.167;35.365;11.171;-1.464;36.557;16.846;3.781;25.153;16.193;2.788;31.632;14.447;2.161;35.638;12.092;2.146;37.994;10.504;2.268;39.360;16.406;4.878;25.375;16.634;5.070;32.457;15.253;4.790;36.909;13.194;4.909;39.137;11.463;5.147;40.449;16.536;5.781;25.251;16.550;7.743;32.281;14.963;8.454;35.749;13.299;8.614;37.706;11.584;8.755;39.123;16.174;6.766;25.783;16.388;9.999;27.880;16.004;11.180;30.960;15.748;13.718;31.990;0.000;0.000;0.000;-7.592;-12.221;-1.271;-9.789;-33.138;-0.907;-12.368;-57.692;-0.480;-11.521;-101.832;-9.114;7.615;-12.318;-1.640;9.367;-33.268;-0.841;11.424;-57.861;0.096;10.665;-102.136;-9.061
388.000;15.520;0.036;7.194;-0.034;0.071;13.968;-0.104;0.137;25.951;-0.275;-0.167;41.838;-0.845;-0.268;46.048;2.145;0.095;52.492;3.152;-6.592;56.645;4.741;7.032;56.506;2.659;-1.882;58.591;11.592;4.623;58.524;10.597;-1.581;36.625;-2.301;-15.699;34.655;-1.291;-20.730;21.630;-2.827;-26.290;7.234;-4.525;-22.395;6.119;7.703;-18.003;4.794;22.082;-18.639;3.222;22.790;-16.286;0.697;29.476;-15.208;0.297;31.718;-14.080;-0.554;33.803;-13.100;-0.629;35.156;-18.677;4.059;22.909;-17.389;3.055;30.187;-15.885;2.806;34.001;-13.836;2.822;36.221;-12.336;2.691;37.605;-17.936;5.175;22.653;-17.155;5.667;30.708;-15.723;5.684;34.543;-13.415;5.577;37.006;-11.925;5.452;38.573;-18.046;6.233;22.461;-16.769;7.992;30.192;-15.012;8.171;33.599;-13.060;8.027;35.636;-11.449;7.666;36.875;-16.880;6.859;24.132;-16.154;9.978;25.947;-14.582;11.186;28.055;-14.969;13.601;29.407;1.639;36.694;-2.098;15.711;34.143;0.216;20.969;20.587;-1.171;26.780;5.605;-2.704;22.210;5.284;9.293;16.971;4.548;23.989;16.639;2.878;24.922;14.976;0.620;31.056;13.865;-0.609;33.542;12.346;-1.176;35.328;11.145;-1.441;36.511;16.875;3.735;25.135;16.243;2.728;31.618;14.461;2.107;35.608;12.048;2.116;37.907;10.421;2.251;39.223;16.443;4.825;25.367;16.672;5.018;32.441;15.277;4.727;36.890;13.183;4.850;39.086;11.434;5.092;40.375;16.568;5.729;25.243;16.588;7.688;32.269;14.973;8.379;35.727;13.304;8.523;37.675;11.566;8.655;39.064;16.205;6.727;25.756;16.421;9.957;27.867;16.041;11.130;30.948;15.775;13.663;31.990;0.000;0.000;0.000;-7.591;-12.222;-1.268;-9.785;-33.137;-0.908;-12.361;-57.690;-0.485;-11.514;-101.827;-9.134;7.615;-12.318;-1.644;9.370;-33.267;-0.851;11.429;-57.860;0.079;10.671;-102.133;-9.083
389.000;15.560;0.037;7.193;-0.035;0.074;13.965;-0.107;0.143;25.946;-0.283;-0.156;41.833;-0.854;-0.254;46.046;2.140;0.112;52.493;3.154;-6.574;56.647;4.741;7.051;56.505;2.665;-1.867;58.589;11.594;4.639;58.521;10.603;-1.573;36.621;-2.309;-15.689;34.657;-1.292;-20.735;21.637;-2.814;-26.313;7.246;-4.497;-22.398;6.146;7.725;-17.982;4.838;22.097;-18.607;3.264;22.804;-16.238;0.740;29.509;-15.197;0.264;31.717;-13.950;-0.620;33.743;-12.949;-0.707;35.079;-18.644;4.101;22.922;-17.367;3.115;30.199;-15.868;2.820;34.021;-13.773;2.831;36.197;-12.220;2.689;37.519;-17.897;5.225;22.668;-17.105;5.729;30.709;-15.641;5.790;34.535;-13.317;5.711;36.983;-11.821;5.590;38.545;-18.007;6.283;22.473;-16.731;8.051;30.190;-14.966;8.229;33.594;-12.999;8.115;35.626;-11.394;7.713;36.861;-16.843;6.908;24.146;-16.094;10.026;25.950;-14.489;11.230;28.039;-14.845;13.659;29.373;1.648;36.689;-2.108;15.719;34.132;0.198;20.983;20.577;-1.188;26.801;5.596;-2.721;22.228;5.259;9.278;16.987;4.504;23.977;16.652;2.835;24.908;14.993;0.575;31.039;13.832;-0.632;33.520;12.264;-1.149;35.275;11.023;-1.378;36.423;16.886;3.692;25.123;16.262;2.680;31.607;14.414;2.057;35.564;11.911;2.096;37.785;10.254;2.264;39.060;16.456;4.772;25.357;16.685;4.958;32.422;15.255;4.665;36.867;13.126;4.798;39.021;11.331;5.043;40.244;16.577;5.676;25.234;16.592;7.633;32.251;14.942;8.292;35.695;13.237;8.401;37.618;11.473;8.521;38.975;16.231;6.677;25.737;16.427;9.911;27.850;16.029;11.081;30.927;15.746;13.610;31.975;0.000;0.000;0.000;-7.593;-12.221;-1.263;-9.783;-33.135;-0.908;-12.354;-57.687;-0.491;-11.501;-101.815;-9.158;7.613;-12.319;-1.646;9.371;-33.266;-0.859;11.434;-57.857;0.065;10.679;-102.129;-9.107
390.000;15.600;0.038;7.193;-0.036;0.077;13.964;-0.110;0.151;25.944;-0.292;-0.141;41.832;-0.861;-0.237;46.046;2.137;0.131;52.493;3.159;-6.557;56.645;4.745;7.069;56.507;2.675;-1.853;58.585;11.602;4.653;58.519;10.613;-1.561;36.620;-2.316;-15.677;34.663;-1.293;-20.746;21.649;-2.806;-26.348;7.265;-4.478;-22.403;6.189;7.735;-17.952;4.910;22.094;-18.586;3.338;22.810;-16.203;0.817;29.514;-15.186;0.301;31.692;-13.820;-0.559;33.681;-12.767;-0.644;34.977;-18.619;4.175;22.926;-17.324;3.195;30.200;-15.807;2.897;34.019;-13.652;2.896;36.139;-12.041;2.769;37.392;-17.864;5.310;22.657;-17.040;5.833;30.694;-15.536;5.984;34.500;-13.220;5.887;36.954;-11.706;5.811;38.500;-17.979;6.365;22.461;-16.670;8.145;30.174;-14.900;8.322;33.574;-12.954;8.224;35.609;-11.333;7.822;36.822;-16.807;6.982;24.135;-15.995;10.101;25.931;-14.343;11.289;27.992;-14.657;13.749;29.279;1.660;36.687;-2.116;15.728;34.124;0.185;21.001;20.570;-1.200;26.828;5.590;-2.731;22.240;5.226;9.266;16.975;4.438;23.967;16.643;2.769;24.893;14.989;0.495;31.004;13.709;-0.679;33.475;12.067;-1.109;35.173;10.749;-1.292;36.240;16.877;3.625;25.109;16.242;2.600;31.594;14.267;1.988;35.493;11.626;2.073;37.559;9.908;2.309;38.738;16.439;4.706;25.347;16.659;4.874;32.408;15.140;4.538;36.816;12.944;4.693;38.898;11.094;4.938;40.036;16.559;5.611;25.228;16.547;7.543;32.234;14.844;8.152;35.652;13.052;8.216;37.515;11.249;8.314;38.821;16.224;6.604;25.729;16.395;9.839;27.837;15.987;10.995;30.926;15.662;13.525;31.959;0.000;0.000;0.000;-7.595;-12.220;-1.261;-9.783;-33.135;-0.908;-12.352;-57.687;-0.495;-11.497;-101.809;-9.183;7.611;-12.319;-1.649;9.370;-33.265;-0.867;11.435;-57.854;0.051;10.681;-102.125;-9.130
391.000;15.640;0.039;7.192;-0.036;0.080;13.962;-0.113;0.159;25.941;-0.306;-0.128;41.829;-0.871;-0.222;46.043;2.134;0.147;52.491;3.169;-6.542;56.640;4.757;7.084;56.506;2.685;-1.838;58.579;11.614;4.668;58.515;10.625;-1.550;36.618;-2.327;-15.664;34.668;-1.297;-20.762;21.664;-2.801;-26.396;7.291;-4.463;-22.408;6.251;7.735;-17.909;5.014;22.075;-18.548;3.459;22.815;-16.141;0.923;29.501;-15.111;0.399;31.665;-13.608;-0.442;33.582;-12.499;-0.513;34.832;-18.573;4.297;22.927;-17.230;3.329;30.196;-15.633;3.025;33.982;-13.377;3.028;35.990;-11.688;2.933;37.140;-17.829;5.428;22.625;-16.944;5.982;30.660;-15.370;6.208;34.442;-13.072;6.144;36.901;-11.563;6.078;38.453;-17.948;6.486;22.427;-16.556;8.303;30.129;-14.821;8.501;33.545;-12.922;8.397;35.623;-11.315;8.027;36.865;-16.752;7.096;24.115;-15.812;10.206;25.871;-14.125;11.364;27.914;-14.330;13.890;29.092;1.671;36.683;-2.128;15.738;34.117;0.167;21.020;20.562;-1.214;26.857;5.580;-2.741;22.246;5.171;9.254;16.949;4.329;23.957;16.613;2.643;24.861;14.966;0.344;30.952;13.552;-0.812;33.388;11.789;-1.115;34.992;10.377;-1.218;35.945;16.840;3.501;25.080;16.194;2.408;31.567;14.005;1.848;35.375;11.203;1.983;37.201;9.361;2.309;38.149;16.402;4.592;25.343;16.583;4.734;32.390;14.928;4.314;36.744;12.546;4.516;38.643;10.630;4.774;39.661;16.523;5.498;25.230;16.471;7.386;32.215;14.640;7.925;35.579;12.723;7.929;37.322;10.845;8.000;38.520;16.182;6.485;25.720;16.330;9.711;27.830;15.879;10.840;30.930;15.518;13.355;31.987;0.000;0.000;0.000;-7.595;-12.220;-1.261;-9.783;-33.135;-0.911;-12.352;-57.686;-0.500;-11.500;-101.819;-9.200;7.610;-12.319;-1.654;9.369;-33.265;-0.875;11.434;-57.853;0.039;10.677;-102.123;-9.147
