Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2516.000;100.640;0.043;7.217;-0.186;0.024;14.014;-0.269;-0.085;26.041;-0.298;-0.463;41.933;-0.664;-0.583;46.205;2.315;-0.202;52.857;3.074;-7.034;56.862;4.404;6.655;57.027;2.808;-2.617;58.941;11.409;3.920;59.020;10.647;-1.846;36.732;-2.194;-15.899;34.658;-1.137;-21.067;21.536;-2.135;-26.778;7.033;-3.237;-22.219;8.195;8.629;-17.000;9.585;22.645;-17.372;7.982;23.424;-14.281;6.039;29.852;-13.017;6.272;31.943;-11.583;6.014;34.053;-10.527;6.330;35.311;-17.486;8.813;23.534;-15.568;8.110;30.675;-13.265;8.386;34.046;-11.436;8.732;36.376;-10.088;8.855;37.909;-17.069;10.015;23.182;-15.615;10.714;31.132;-13.524;10.849;34.637;-11.222;11.097;37.071;-9.820;11.198;38.718;-17.313;11.061;23.018;-15.602;13.015;30.692;-13.931;13.337;34.073;-12.159;13.498;36.298;-10.719;13.369;37.772;-15.907;11.809;24.483;-15.734;14.957;26.552;-14.573;16.290;28.444;-15.060;18.803;29.565;1.373;36.814;-1.976;15.471;34.380;0.454;21.324;20.970;-0.837;27.794;6.148;-2.264;22.058;6.995;9.110;15.330;7.731;23.136;15.235;6.109;24.115;13.972;3.918;30.259;13.311;2.787;32.930;12.031;2.137;34.906;10.999;1.721;36.199;15.305;7.000;24.306;14.700;6.170;30.767;13.338;5.401;34.845;11.402;4.947;37.515;10.074;4.762;39.128;14.728;8.107;24.428;14.706;8.402;31.571;13.489;7.870;36.021;11.699;7.527;38.439;10.211;7.423;40.037;14.740;9.019;24.302;14.354;10.908;31.480;13.284;11.126;35.186;11.940;10.874;37.392;10.553;10.690;39.127;14.281;9.932;24.762;14.499;13.153;26.836;14.595;14.683;29.748;14.773;17.366;30.332;0.000;0.000;0.000;-7.629;-12.221;-1.025;-9.738;-33.002;0.149;-12.218;-57.396;1.527;-10.949;-101.547;-6.138;7.580;-12.393;-1.173;9.213;-33.138;0.260;11.134;-57.491;1.943;10.195;-101.851;-6.894
2517.000;100.680;0.043;7.218;-0.186;0.024;14.014;-0.269;-0.085;26.043;-0.296;-0.463;41.934;-0.660;-0.582;46.205;2.320;-0.199;52.855;3.084;-7.030;56.861;4.416;6.659;57.024;2.820;-2.613;58.937;11.422;3.924;59.015;10.660;-1.846;36.734;-2.190;-15.897;34.659;-1.132;-21.066;21.535;-2.131;-26.778;7.030;-3.234;-22.239;8.210;8.636;-17.042;9.620;22.659;-17.418;8.001;23.433;-14.313;6.101;29.861;-13.027;6.305;31.938;-11.603;6.067;34.066;-10.558;6.364;35.337;-17.527;8.833;23.541;-15.592;8.149;30.680;-13.271;8.419;34.045;-11.444;8.768;36.379;-10.102;8.876;37.918;-17.118;10.044;23.195;-15.640;10.735;31.143;-13.526;10.859;34.642;-11.209;11.107;37.075;-9.819;11.235;38.730;-17.362;11.092;23.033;-15.636;13.038;30.707;-13.968;13.372;34.079;-12.169;13.544;36.295;-10.729;13.365;37.764;-15.955;11.849;24.509;-15.781;14.992;26.573;-14.600;16.337;28.429;-15.104;18.834;29.577;1.373;36.816;-1.973;15.470;34.381;0.461;21.322;20.969;-0.827;27.791;6.145;-2.249;22.054;6.994;9.123;15.323;7.732;23.147;15.221;6.112;24.126;13.961;3.923;30.271;13.293;2.785;32.938;12.028;2.152;34.922;10.981;1.740;36.205;15.294;7.003;24.317;14.689;6.181;30.780;13.343;5.401;34.856;11.380;4.955;37.522;10.064;4.774;39.144;14.724;8.132;24.432;14.696;8.391;31.582;13.481;7.869;36.031;11.696;7.527;38.448;10.196;7.428;40.035;14.745;9.044;24.309;14.355;10.912;31.489;13.297;11.120;35.198;11.929;10.860;37.404;10.563;10.694;39.157;14.274;9.947;24.805;14.503;13.147;26.850;14.602;14.687;29.766;14.790;17.369;30.350;0.000;0.000;0.000;-7.629;-12.221;-1.025;-9.739;-33.003;0.149;-12.218;-57.399;1.527;-10.952;-101.565;-6.135;7.580;-12.393;-1.173;9.213;-33.139;0.261;11.134;-57.492;1.943;10.195;-101.851;-6.894
2518.000;100.720;0.043;7.218;-0.186;0.026;14.016;-0.265;-0.077;26.045;-0.282;-0.458;41.938;-0.623;-0.578;46.204;2.368;-0.188;52.853;3.150;-7.016;56.863;4.481;6.674;57.015;2.889;-2.599;58.935;11.488;3.938;59.007;10.728;-1.838;36.740;-2.162;-15.890;34.647;-1.110;-21.065;21.518;-2.103;-26.785;7.008;-3.199;-22.399;8.296;8.698;-17.385;9.839;22.765;-17.738;8.192;23.522;-14.472;6.202;29.845;-13.114;6.386;31.892;-11.581;6.093;33.951;-10.518;6.353;35.215;-17.837;9.024;23.635;-15.710;8.315;30.741;-13.317;8.533;34.057;-11.431;8.827;36.342;-10.054;8.938;37.850;-17.444;10.283;23.307;-15.777;10.882;31.244;-13.600;10.953;34.710;-11.203;11.192;37.072;-9.779;11.271;38.702;-17.697;11.309;23.166;-15.784;13.218;30.816;-14.044;13.480;34.167;-12.182;13.625;36.360;-10.739;13.448;37.826;-16.299;12.080;24.639;-16.054;15.188;26.718;-14.867;16.536;28.562;-15.414;19.057;29.637;1.381;36.822;-1.941;15.479;34.386;0.511;21.326;20.968;-0.769;27.789;6.139;-2.184;22.064;6.996;9.192;15.347;7.739;23.219;15.225;6.147;24.207;13.902;3.918;30.319;13.219;2.799;32.990;11.925;2.168;34.961;10.878;1.767;36.247;15.316;7.034;24.405;14.654;6.183;30.846;13.272;5.413;34.916;11.298;4.965;37.567;9.964;4.800;39.176;14.737;8.148;24.504;14.690;8.395;31.660;13.446;7.863;36.095;11.646;7.561;38.503;10.128;7.460;40.072;14.768;9.061;24.384;14.373;10.915;31.573;13.311;11.134;35.273;11.949;10.879;37.474;10.557;10.736;39.209;14.298;9.971;24.872;14.569;13.162;26.932;14.659;14.688;29.813;14.903;17.352;30.459;0.000;0.000;0.000;-7.627;-12.222;-1.029;-9.740;-33.004;0.156;-12.223;-57.399;1.547;-10.947;-101.568;-6.123;7.582;-12.392;-1.168;9.213;-33.138;0.272;11.132;-57.493;1.961;10.197;-101.855;-6.867
2519.000;100.760;0.042;7.218;-0.189;0.027;14.016;-0.262;-0.069;26.046;-0.258;-0.464;41.938;-0.560;-0.599;46.195;2.442;-0.217;52.836;3.250;-7.046;56.848;4.570;6.647;56.996;3.009;-2.645;58.910;11.589;3.894;58.981;10.844;-1.834;36.743;-2.117;-15.889;34.626;-1.124;-21.175;21.499;-1.970;-27.017;6.991;-2.905;-22.872;8.522;9.015;-18.122;10.370;23.145;-18.534;8.733;23.839;-15.061;6.242;29.783;-13.370;6.228;31.644;-11.596;5.714;33.432;-10.396;5.827;34.591;-18.601;9.562;23.995;-16.092;8.367;30.910;-13.308;8.231;33.933;-11.199;8.265;36.013;-9.669;8.174;37.368;-18.192;10.811;23.736;-16.007;10.928;31.567;-13.545;10.580;34.817;-11.010;10.509;37.028;-9.445;10.387;38.520;-18.393;11.874;23.656;-15.955;13.285;31.280;-13.800;13.093;34.475;-11.964;12.903;36.617;-10.494;12.515;38.014;-16.931;12.558;25.063;-16.530;15.556;27.308;-15.381;16.901;29.129;-16.020;19.409;30.184;1.384;36.827;-1.885;15.468;34.393;0.628;21.340;21.007;-0.658;27.831;6.211;-2.080;22.110;7.044;9.305;15.399;7.745;23.338;15.214;6.152;24.313;13.765;3.899;30.394;13.055;2.810;33.065;11.698;2.186;34.999;10.620;1.796;36.262;15.328;7.035;24.521;14.585;6.131;30.938;13.126;5.367;34.992;11.100;4.969;37.603;9.715;4.838;39.173;14.766;8.162;24.623;14.681;8.353;31.780;13.352;7.808;36.196;11.527;7.553;38.582;9.985;7.481;40.129;14.821;9.075;24.513;14.432;10.848;31.708;13.335;11.055;35.404;11.923;10.814;37.587;10.522;10.698;39.316;14.415;9.968;24.956;14.721;13.151;27.093;14.815;14.659;29.999;15.128;17.312;30.658;0.000;0.000;0.000;-7.619;-12.226;-1.038;-9.740;-32.996;0.162;-12.234;-57.377;1.571;-10.953;-101.560;-6.077;7.591;-12.389;-1.136;9.210;-33.140;0.312;11.114;-57.499;2.011;10.182;-101.865;-6.822
2520.000;100.800;0.044;7.224;-0.194;0.032;14.028;-0.263;-0.060;26.069;-0.241;-0.461;41.962;-0.502;-0.636;46.199;2.503;-0.282;52.820;3.334;-7.134;56.802;4.629;6.569;57.004;3.172;-2.792;58.831;11.695;3.752;58.928;10.999;-1.811;36.770;-2.089;-15.854;34.708;-1.294;-21.432;21.621;-1.655;-27.597;7.157;-2.055;-23.800;8.919;9.944;-19.458;11.074;24.217;-20.031;9.465;24.740;-16.200;5.897;29.683;-14.110;5.518;31.006;-11.966;4.692;32.206;-10.507;4.528;33.006;-20.002;10.264;25.016;-16.889;7.779;31.287;-13.449;6.801;33.334;-10.981;6.170;34.842;-9.280;5.635;35.842;-19.472;11.415;24.937;-16.446;10.219;32.278;-13.377;9.002;34.687;-10.504;8.178;36.262;-8.720;7.596;37.342;-19.524;12.493;25.011;-16.149;12.529;32.361;-13.419;11.344;34.826;-11.283;10.486;36.499;-9.744;9.597;37.549;-17.922;12.951;26.267;-17.019;15.463;28.934;-15.781;16.578;30.835;-16.315;19.051;32.021;1.405;36.856;-1.821;15.429;34.469;0.896;21.433;21.208;-0.468;28.068;6.552;-1.975;22.365;7.234;9.432;15.649;7.730;23.486;15.305;6.059;24.358;13.444;3.778;30.307;12.467;2.739;32.922;11.009;2.225;34.793;9.860;1.934;36.020;15.461;6.928;24.596;14.404;5.924;30.975;12.685;5.167;34.911;10.440;4.895;37.394;9.016;4.839;38.932;15.028;8.183;24.751;14.653;7.997;31.894;13.066;7.507;36.230;11.120;7.333;38.518;9.495;7.331;39.979;15.175;9.090;24.687;14.586;10.508;31.931;13.259;10.536;35.566;11.786;10.273;37.706;10.345;10.131;39.400;14.705;9.980;25.135;15.273;13.001;27.444;15.283;14.423;30.385;15.926;16.990;31.139;0.000;0.000;0.000;-7.606;-12.229;-1.099;-9.757;-32.961;0.134;-12.285;-57.298;1.581;-11.007;-101.576;-6.028;7.604;-12.390;-1.044;9.187;-33.145;0.409;11.049;-57.509;2.115;10.139;-101.885;-6.757
2521.000;100.840;0.051;7.248;-0.193;0.039;14.074;-0.244;-0.059;26.155;-0.169;-0.441;42.049;-0.413;-0.684;46.246;2.559;-0.366;52.817;3.373;-7.265;56.741;4.589;6.465;57.039;3.419;-3.080;58.680;11.774;3.476;58.822;11.215;-1.759;36.861;-2.039;-15.791;34.927;-1.589;-21.805;21.968;-1.140;-28.452;7.645;-0.643;-24.966;9.161;11.528;-21.016;11.028;26.033;-21.716;9.483;26.442;-17.715;4.902;30.020;-15.313;4.255;30.585;-13.042;3.166;30.977;-11.416;2.887;31.251;-21.546;10.222;26.817;-17.947;6.484;32.067;-14.241;4.854;32.883;-11.602;3.730;33.564;-9.770;2.887;33.904;-21.022;11.165;26.864;-17.011;8.680;33.279;-13.624;6.713;34.476;-10.551;5.407;35.072;-8.693;4.393;35.529;-20.873;12.269;27.052;-16.361;10.941;33.640;-13.232;8.976;34.965;-10.949;7.542;35.824;-9.381;6.288;36.305;-19.022;12.569;28.054;-17.503;14.462;30.998;-16.001;15.221;32.835;-16.293;17.578;34.307;1.450;36.943;-1.698;15.357;34.648;1.356;21.738;21.650;-0.220;28.789;7.283;-1.961;23.184;7.479;9.521;16.563;7.348;23.643;15.946;5.572;24.253;13.272;3.067;29.770;11.771;2.114;32.166;10.021;1.798;33.819;8.701;1.622;34.886;16.176;6.393;24.582;14.427;4.976;30.739;12.128;4.292;34.391;9.631;4.173;36.574;8.011;4.214;37.905;15.893;7.783;24.926;14.982;6.938;31.956;12.789;6.318;36.003;10.561;6.274;38.027;8.796;6.404;39.310;16.172;8.659;24.979;15.172;9.350;32.250;13.404;9.149;35.689;11.725;8.739;37.672;10.169;8.563;39.257;15.768;9.537;25.470;16.615;12.174;28.107;16.858;13.230;31.163;17.833;15.607;32.149;0.000;0.000;0.000;-7.577;-12.228;-1.300;-9.784;-32.936;0.121;-12.380;-57.245;1.789;-11.085;-101.619;-5.917;7.626;-12.393;-0.815;9.120;-33.168;0.649;10.878;-57.556;2.366;10.067;-101.942;-6.655
2522.000;100.880;0.068;7.284;-0.185;0.043;14.143;-0.203;-0.113;26.283;-0.036;-0.466;42.177;-0.305;-0.819;46.332;2.617;-0.554;52.834;3.419;-7.495;56.739;4.444;6.267;57.055;3.778;-3.575;58.567;11.806;2.997;58.717;11.488;-1.728;36.990;-1.975;-15.747;35.200;-1.972;-22.265;22.471;-0.498;-29.469;8.402;1.132;-25.978;9.023;13.512;-22.039;9.825;28.282;-22.834;8.275;28.590;-18.797;3.114;30.996;-16.387;2.436;31.100;-14.118;1.312;30.877;-12.472;1.019;30.837;-22.553;8.953;29.011;-18.665;4.434;33.299;-14.899;2.734;33.032;-12.205;1.565;33.001;-10.338;0.756;32.795;-21.996;9.855;29.167;-17.395;6.454;34.571;-13.925;4.299;34.586;-10.881;2.899;34.154;-8.980;1.881;33.949;-21.725;10.917;29.442;-16.624;8.612;35.219;-13.369;6.360;35.396;-10.956;4.820;35.350;-9.398;3.474;35.187;-19.762;11.068;30.250;-17.865;12.542;33.285;-16.170;13.066;34.993;-16.251;15.277;36.700;1.466;37.068;-1.514;15.214;34.892;2.042;22.272;22.356;0.083;30.072;8.500;-2.082;24.561;7.579;9.452;18.047;6.063;23.602;17.304;4.290;23.940;14.180;1.270;28.907;12.391;0.354;31.076;10.468;0.162;32.558;9.044;0.092;33.495;17.596;5.024;24.399;15.506;2.869;30.194;12.824;1.994;33.526;10.158;1.794;35.516;8.474;1.849;36.765;17.378;6.408;24.950;16.158;4.530;31.701;13.483;3.600;35.358;11.094;3.485;37.169;9.230;3.626;38.301;17.729;7.236;25.151;16.531;6.837;32.355;14.411;6.230;35.530;12.535;5.686;37.343;10.916;5.313;38.828;17.443;7.960;25.782;18.429;10.085;28.749;18.807;10.659;31.849;19.983;12.753;33.193;0.000;0.000;0.000;-7.515;-12.214;-1.717;-9.878;-32.922;0.050;-12.658;-57.231;2.124;-11.185;-101.631;-5.782;7.635;-12.409;-0.369;8.953;-33.199;1.138;10.503;-57.604;2.906;9.983;-101.972;-6.528
2523.000;100.920;0.107;7.318;-0.191;0.064;14.210;-0.192;-0.196;26.409;0.033;-0.528;42.304;-0.234;-1.030;46.420;2.638;-0.815;52.870;3.431;-7.789;56.789;4.125;5.990;57.065;4.186;-4.257;58.539;11.698;2.324;58.672;11.727;-1.703;37.119;-1.974;-15.689;35.388;-2.515;-22.608;22.979;0.118;-30.256;9.264;3.028;-26.576;8.434;15.496;-22.443;7.508;30.389;-23.307;5.991;30.599;-19.581;0.265;31.808;-17.207;-0.503;31.496;-15.005;-1.702;30.925;-13.396;-2.087;30.682;-22.930;6.578;31.078;-19.053;1.220;34.240;-15.403;-0.400;33.126;-12.777;-1.576;32.414;-11.006;-2.395;31.801;-22.330;7.424;31.278;-17.489;2.993;35.588;-14.178;0.753;34.702;-11.371;-0.732;33.625;-9.574;-1.731;32.943;-21.944;8.417;31.654;-16.488;4.973;36.449;-13.344;2.608;35.754;-11.115;0.968;35.074;-9.705;-0.394;34.427;-19.862;8.331;32.283;-17.620;9.300;35.249;-15.756;9.503;36.857;-15.565;11.510;38.792;1.462;37.195;-1.347;14.984;35.162;2.835;22.914;23.251;0.448;31.679;10.086;-2.191;26.274;7.266;9.174;19.898;3.420;23.063;19.218;1.644;23.158;16.312;-2.206;27.598;14.543;-3.299;29.719;12.669;-3.596;31.235;11.274;-3.716;32.210;19.552;2.267;23.737;17.721;-0.937;29.064;15.065;-2.192;32.285;12.438;-2.606;34.296;10.780;-2.745;35.573;19.260;3.460;24.485;18.402;0.441;30.758;15.695;-0.878;34.262;13.264;-1.180;36.005;11.410;-1.189;37.162;19.607;4.249;24.810;18.817;2.619;31.819;16.628;1.435;34.778;14.716;0.597;36.433;13.081;-0.007;37.822;19.400;4.911;25.532;20.523;6.479;28.786;21.111;6.442;31.900;22.245;8.297;33.588;0.000;0.000;0.000;-7.428;-12.178;-2.267;-10.059;-32.859;-0.327;-13.151;-57.136;1.950;-11.293;-101.600;-5.738;7.567;-12.453;0.276;8.636;-33.241;1.858;9.894;-57.645;3.716;9.915;-101.923;-6.471
2524.000;100.960;0.178;7.331;-0.203;0.115;14.239;-0.222;-0.289;26.467;-0.035;-0.607;42.362;-0.309;-1.271;46.463;2.534;-1.103;52.889;3.366;-8.115;56.791;3.644;5.633;57.091;4.570;-5.068;58.502;11.434;1.498;58.645;11.876;-1.680;37.178;-2.117;-15.602;35.470;-3.243;-22.631;23.352;0.491;-30.399;9.958;4.619;-26.604;7.242;16.919;-22.344;4.100;31.632;-23.400;2.685;31.711;-20.559;-3.615;32.006;-18.340;-4.747;31.544;-16.401;-6.236;30.689;-14.896;-6.860;30.311;-22.888;3.143;32.205;-19.677;-3.035;34.457;-16.398;-4.984;32.832;-13.992;-6.413;31.850;-12.380;-7.350;31.011;-22.219;3.852;32.490;-17.783;-1.685;35.859;-14.924;-4.245;34.440;-12.419;-5.946;32.969;-10.866;-7.122;32.022;-21.661;4.726;32.937;-16.453;-0.004;36.816;-13.757;-2.689;35.550;-11.868;-4.537;34.523;-10.713;-5.998;33.631;-19.582;4.306;33.476;-17.028;4.605;36.295;-14.912;4.371;37.688;-14.508;6.060;39.876;1.444;37.255;-1.310;14.700;35.344;3.559;23.412;24.046;0.896;33.040;11.559;-2.048;28.010;6.326;8.763;22.133;-0.451;21.896;21.506;-2.256;21.614;19.120;-7.143;25.220;17.527;-8.678;27.211;15.807;-9.378;28.771;14.511;-9.796;29.799;21.820;-1.745;22.304;20.558;-6.206;26.823;18.212;-8.255;29.844;15.684;-9.189;31.817;14.083;-9.650;33.090;21.579;-0.763;23.311;21.261;-5.104;28.791;18.710;-7.254;31.958;16.362;-8.010;33.673;14.544;-8.308;34.849;21.903;-0.043;23.785;21.631;-3.173;30.245;19.534;-4.993;32.965;17.671;-6.256;34.341;16.007;-7.087;35.570;21.653;0.481;24.592;22.934;1.371;28.084;23.588;0.669;31.207;24.801;2.223;33.127;0.000;0.000;0.000;-7.337;-12.104;-2.876;-10.293;-32.740;-0.999;-13.767;-56.965;1.205;-11.424;-101.551;-5.848;7.368;-12.536;0.992;8.149;-33.318;2.716;9.069;-57.713;4.741;9.864;-101.838;-6.501
