Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
944.000;37.760;0.038;7.193;-0.194;0.045;13.962;-0.467;0.021;25.934;-1.067;-0.395;41.795;-2.110;-0.466;46.033;0.755;-0.242;52.398;1.657;-7.121;56.304;3.030;6.547;56.671;1.299;-2.669;58.495;9.979;3.858;58.670;9.152;-1.824;36.533;-3.361;-15.919;34.497;-1.923;-21.139;21.607;-3.421;-26.909;7.361;-5.077;-22.480;3.578;6.527;-17.541;-0.885;20.100;-18.410;-2.404;20.947;-15.733;-5.136;27.392;-14.272;-5.133;29.483;-13.131;-5.662;31.693;-12.104;-5.536;33.007;-18.324;-1.572;21.073;-16.388;-2.828;28.169;-14.095;-2.917;31.576;-12.569;-2.891;34.085;-11.473;-2.942;35.810;-17.193;-0.492;20.559;-15.846;-0.295;28.588;-14.058;-0.293;32.264;-12.084;-0.264;34.965;-10.918;-0.395;36.786;-17.197;0.545;20.393;-15.214;1.913;28.027;-13.517;2.066;31.513;-11.873;1.914;33.796;-10.643;1.466;35.392;-15.910;0.962;22.053;-14.620;3.968;23.451;-12.704;4.895;25.423;-12.496;7.435;26.569;1.401;36.624;-3.264;15.613;34.193;-1.503;20.853;20.740;-3.680;26.645;5.871;-6.087;21.939;3.305;5.665;16.574;-0.198;19.947;16.283;-2.042;20.756;15.010;-4.578;26.842;14.112;-5.653;29.481;12.657;-6.051;31.371;11.476;-6.235;32.589;16.451;-1.178;21.000;16.149;-2.494;27.444;14.438;-3.090;31.445;12.169;-3.244;33.903;10.693;-3.239;35.392;16.041;0.016;21.352;16.519;-0.253;28.320;14.404;-0.386;32.470;12.332;-0.450;34.674;10.721;-0.275;36.141;16.137;0.929;21.281;16.349;2.397;28.280;14.600;2.920;31.713;12.859;2.904;33.649;11.140;2.905;35.068;15.791;1.813;21.809;16.221;5.005;23.767;16.176;6.120;26.908;15.855;8.658;27.922;0.000;0.000;0.000;-7.652;-12.222;-0.817;-9.538;-33.125;-0.506;-11.752;-57.663;-0.141;-10.414;-101.784;-9.175;7.537;-12.367;-1.632;9.277;-33.265;-1.002;11.319;-57.798;-0.262;10.329;-102.044;-9.972
945.000;37.800;0.035;7.195;-0.196;0.037;13.966;-0.468;-0.002;25.941;-1.061;-0.433;41.802;-2.103;-0.512;46.038;0.765;-0.299;52.397;1.678;-7.180;56.298;3.058;6.489;56.674;1.333;-2.732;58.474;10.013;3.795;58.654;9.190;-1.855;36.539;-3.356;-15.949;34.487;-1.942;-21.181;21.603;-3.453;-26.965;7.364;-5.122;-22.562;3.585;6.492;-17.655;-0.874;20.077;-18.524;-2.392;20.922;-15.876;-5.119;27.375;-14.414;-5.118;29.472;-13.266;-5.646;31.683;-12.252;-5.515;33.005;-18.437;-1.560;21.049;-16.522;-2.823;28.147;-14.233;-2.883;31.564;-12.725;-2.854;34.078;-11.632;-2.901;35.805;-17.319;-0.495;20.536;-15.980;-0.289;28.568;-14.201;-0.267;32.242;-12.222;-0.253;34.943;-11.055;-0.380;36.762;-17.316;0.545;20.369;-15.346;1.923;28.004;-13.643;2.067;31.486;-11.991;1.908;33.768;-10.763;1.459;35.366;-16.029;0.973;22.038;-14.737;3.980;23.433;-12.822;4.897;25.412;-12.614;7.440;26.551;1.370;36.633;-3.254;15.582;34.218;-1.471;20.842;20.771;-3.640;26.657;5.910;-6.037;21.935;3.366;5.712;16.550;-0.109;19.991;16.250;-1.950;20.800;14.941;-4.484;26.881;14.034;-5.546;29.520;12.562;-5.942;31.401;11.381;-6.118;32.619;16.426;-1.087;21.046;16.101;-2.406;27.485;14.368;-2.996;31.481;12.094;-3.127;33.932;10.615;-3.113;35.418;16.020;0.114;21.391;16.486;-0.180;28.362;14.365;-0.308;32.510;12.281;-0.355;34.708;10.667;-0.172;36.170;16.125;1.026;21.322;16.323;2.475;28.327;14.570;3.006;31.753;12.828;2.997;33.682;11.102;3.007;35.092;15.782;1.899;21.843;16.221;5.093;23.814;16.167;6.213;26.949;15.856;8.754;27.958;0.000;0.000;0.000;-7.649;-12.224;-0.821;-9.537;-33.127;-0.491;-11.752;-57.665;-0.104;-10.401;-101.789;-9.110;7.541;-12.367;-1.617;9.280;-33.264;-0.966;11.323;-57.796;-0.203;10.344;-102.046;-9.908
946.000;37.840;0.033;7.197;-0.197;0.027;13.970;-0.468;-0.033;25.950;-1.056;-0.482;41.810;-2.097;-0.569;46.045;0.775;-0.364;52.402;1.699;-7.244;56.301;3.094;6.424;56.678;1.357;-2.789;58.461;10.050;3.738;58.641;9.221;-1.896;36.545;-3.353;-15.988;34.474;-1.955;-21.226;21.594;-3.474;-27.015;7.358;-5.153;-22.639;3.595;6.476;-17.761;-0.844;20.076;-18.630;-2.363;20.923;-16.006;-5.076;27.389;-14.551;-5.067;29.492;-13.398;-5.602;31.703;-12.403;-5.456;33.039;-18.543;-1.530;21.049;-16.659;-2.783;28.153;-14.359;-2.820;31.572;-12.873;-2.794;34.097;-11.782;-2.840;35.827;-17.438;-0.482;20.542;-16.115;-0.246;28.572;-14.351;-0.209;32.250;-12.345;-0.200;34.945;-11.187;-0.323;36.771;-17.429;0.555;20.369;-15.485;1.967;28.006;-13.776;2.104;31.487;-12.122;1.941;33.768;-10.909;1.486;35.376;-16.147;1.014;22.057;-14.853;4.014;23.431;-12.948;4.930;25.426;-12.737;7.482;26.546;1.328;36.644;-3.248;15.541;34.246;-1.449;20.820;20.806;-3.616;26.655;5.951;-6.012;21.928;3.438;5.741;16.535;-0.003;20.024;16.209;-1.840;20.829;14.859;-4.378;26.895;13.936;-5.432;29.535;12.451;-5.817;31.408;11.269;-5.987;32.626;16.397;-0.981;21.078;16.043;-2.325;27.510;14.293;-2.898;31.500;12.009;-3.001;33.941;10.523;-2.972;35.422;16.006;0.231;21.421;16.470;-0.112;28.399;14.352;-0.256;32.548;12.252;-0.270;34.733;10.634;-0.077;36.189;16.126;1.142;21.357;16.339;2.551;28.373;14.605;3.067;31.807;12.873;3.076;33.733;11.133;3.081;35.125;15.815;2.008;21.895;16.250;5.196;23.877;16.182;6.323;27.008;15.872;8.871;28.001;0.000;0.000;0.000;-7.649;-12.224;-0.820;-9.537;-33.125;-0.480;-11.753;-57.662;-0.080;-10.398;-101.788;-9.064;7.541;-12.367;-1.611;9.282;-33.262;-0.942;11.327;-57.792;-0.157;10.355;-102.046;-9.856
947.000;37.880;0.032;7.199;-0.197;0.017;13.974;-0.466;-0.064;25.957;-1.050;-0.531;41.817;-2.082;-0.622;46.051;0.797;-0.418;52.406;1.734;-7.294;56.305;3.146;6.371;56.681;1.393;-2.830;58.448;10.101;3.696;58.628;9.264;-1.938;36.551;-3.341;-16.028;34.466;-1.953;-21.265;21.584;-3.485;-27.053;7.347;-5.179;-22.701;3.613;6.468;-17.853;-0.794;20.086;-18.723;-2.305;20.936;-16.108;-5.008;27.417;-14.648;-4.998;29.522;-13.525;-5.530;31.734;-12.525;-5.380;33.066;-18.643;-1.473;21.062;-16.785;-2.704;28.171;-14.489;-2.737;31.596;-13.015;-2.701;34.129;-11.930;-2.744;35.862;-17.538;-0.435;20.556;-16.252;-0.168;28.585;-14.499;-0.150;32.272;-12.501;-0.115;34.973;-11.351;-0.228;36.804;-17.529;0.603;20.381;-15.622;2.044;28.019;-13.918;2.183;31.507;-12.276;2.028;33.798;-11.078;1.578;35.418;-16.253;1.082;22.086;-14.964;4.076;23.446;-13.068;5.000;25.447;-12.846;7.562;26.539;1.286;36.653;-3.234;15.499;34.266;-1.425;20.792;20.831;-3.599;26.641;5.982;-6.002;21.915;3.509;5.758;16.512;0.113;20.050;16.141;-1.715;20.847;14.755;-4.271;26.890;13.811;-5.324;29.527;12.318;-5.695;31.397;11.136;-5.855;32.616;16.350;-0.862;21.103;15.962;-2.265;27.514;14.220;-2.821;31.504;11.930;-2.912;33.950;10.458;-2.850;35.443;15.989;0.358;21.448;16.451;-0.059;28.427;14.368;-0.230;32.592;12.278;-0.217;34.783;10.656;-0.013;36.233;16.130;1.266;21.392;16.396;2.588;28.424;14.692;3.077;31.882;12.971;3.098;33.814;11.224;3.103;35.197;15.865;2.127;21.956;16.320;5.291;23.972;16.236;6.423;27.076;15.938;8.974;28.064;0.000;0.000;0.000;-7.651;-12.223;-0.820;-9.537;-33.123;-0.468;-11.751;-57.658;-0.056;-10.394;-101.785;-9.021;7.539;-12.368;-1.610;9.283;-33.264;-0.921;11.329;-57.794;-0.113;10.370;-102.045;-9.802
948.000;37.920;0.028;7.199;-0.199;0.009;13.974;-0.468;-0.081;25.957;-1.048;-0.561;41.818;-2.068;-0.655;46.051;0.817;-0.450;52.407;1.768;-7.321;56.310;3.192;6.343;56.676;1.430;-2.849;58.435;10.148;3.676;58.610;9.307;-1.963;36.552;-3.332;-16.051;34.452;-1.948;-21.284;21.570;-3.492;-27.067;7.332;-5.198;-22.734;3.651;6.473;-17.908;-0.695;20.118;-18.775;-2.203;20.964;-16.170;-4.880;27.462;-14.716;-4.865;29.574;-13.617;-5.356;31.799;-12.603;-5.214;33.121;-18.709;-1.369;21.091;-16.872;-2.572;28.207;-14.601;-2.591;31.645;-13.146;-2.535;34.191;-12.056;-2.570;35.921;-17.593;-0.314;20.594;-16.369;-0.048;28.625;-14.611;-0.051;32.316;-12.650;-0.007;35.033;-11.514;-0.124;36.873;-17.597;0.728;20.414;-15.738;2.175;28.054;-14.035;2.324;31.542;-12.435;2.173;33.850;-11.238;1.727;35.472;-16.337;1.196;22.126;-15.029;4.194;23.499;-13.109;5.114;25.472;-12.883;7.688;26.535;1.261;36.656;-3.224;15.477;34.267;-1.404;20.775;20.836;-3.590;26.631;5.991;-6.007;21.916;3.604;5.775;16.506;0.306;20.096;16.051;-1.496;20.874;14.577;-4.102;26.863;13.589;-5.166;29.489;12.114;-5.507;31.374;10.937;-5.629;32.603;16.317;-0.664;21.146;15.866;-2.167;27.509;14.106;-2.704;31.500;11.833;-2.740;33.963;10.384;-2.633;35.475;16.004;0.549;21.492;16.442;0.003;28.468;14.379;-0.207;32.643;12.312;-0.145;34.847;10.692;0.108;36.292;16.189;1.450;21.453;16.531;2.608;28.514;14.845;3.068;31.990;13.113;3.107;33.918;11.361;3.162;35.294;15.974;2.315;22.040;16.515;5.427;24.135;16.409;6.555;27.208;16.189;9.116;28.190;0.000;0.000;0.000;-7.646;-12.227;-0.814;-9.527;-33.125;-0.451;-11.735;-57.658;-0.026;-10.365;-101.789;-8.972;7.544;-12.366;-1.604;9.291;-33.263;-0.904;11.340;-57.794;-0.082;10.395;-102.046;-9.757
949.000;37.960;0.021;7.197;-0.201;-0.004;13.970;-0.473;-0.103;25.949;-1.058;-0.600;41.810;-2.069;-0.698;46.045;0.826;-0.499;52.405;1.793;-7.360;56.321;3.233;6.304;56.657;1.462;-2.878;58.416;10.192;3.647;58.577;9.346;-1.997;36.543;-3.335;-16.084;34.424;-1.955;-21.300;21.535;-3.506;-27.066;7.290;-5.220;-22.736;3.725;6.484;-17.909;-0.481;20.167;-18.750;-2.016;20.993;-16.134;-4.633;27.518;-14.723;-4.589;29.643;-13.637;-5.042;31.888;-12.629;-4.907;33.216;-18.702;-1.181;21.121;-16.890;-2.339;28.251;-14.766;-2.311;31.771;-13.354;-2.222;34.342;-12.292;-2.251;36.090;-17.595;-0.068;20.645;-16.450;0.176;28.692;-14.728;0.192;32.398;-12.815;0.261;35.146;-11.727;0.132;37.015;-17.641;0.977;20.467;-15.866;2.431;28.123;-14.160;2.591;31.606;-12.600;2.461;33.933;-11.375;2.044;35.542;-16.415;1.447;22.199;-15.053;4.443;23.591;-13.092;5.352;25.501;-12.857;7.951;26.499;1.227;36.651;-3.228;15.446;34.263;-1.396;20.760;20.838;-3.591;26.634;6.000;-6.017;21.964;3.801;5.812;16.566;0.715;20.189;15.924;-1.019;20.924;14.213;-3.684;26.816;13.128;-4.746;29.425;11.716;-5.055;31.332;10.555;-5.127;32.580;16.285;-0.236;21.228;15.622;-1.907;27.518;13.883;-2.419;31.524;11.691;-2.330;34.042;10.292;-2.144;35.594;16.093;0.974;21.581;16.405;0.157;28.565;14.405;-0.069;32.767;12.370;0.128;35.004;10.804;0.513;36.480;16.377;1.850;21.577;16.763;2.706;28.688;15.063;3.152;32.160;13.257;3.252;34.045;11.498;3.457;35.398;16.226;2.716;22.220;16.948;5.738;24.415;16.801;6.833;27.491;16.760;9.410;28.454;0.000;0.000;0.000;-7.633;-12.235;-0.807;-9.511;-33.130;-0.436;-11.716;-57.660;-0.002;-10.334;-101.795;-8.926;7.557;-12.359;-1.602;9.308;-33.258;-0.895;11.363;-57.792;-0.065;10.426;-102.049;-9.714
950.000;38.000;0.015;7.193;-0.204;-0.016;13.962;-0.486;-0.126;25.935;-1.095;-0.648;41.795;-2.097;-0.751;46.034;0.808;-0.554;52.398;1.791;-7.385;56.357;3.256;6.278;56.604;1.463;-2.876;58.397;10.214;3.648;58.514;9.358;-2.037;36.527;-3.366;-16.123;34.389;-1.965;-21.321;21.489;-3.514;-27.066;7.230;-5.225;-22.709;3.951;6.535;-17.844;0.075;20.283;-18.508;-1.580;21.027;-15.832;-4.114;27.625;-14.743;-4.085;29.887;-13.857;-4.615;32.208;-13.045;-4.487;33.664;-18.507;-0.746;21.168;-16.764;-1.872;28.327;-15.230;-1.771;32.124;-14.027;-1.655;34.820;-13.140;-1.688;36.663;-17.608;0.459;20.791;-16.508;0.618;28.865;-14.976;0.672;32.647;-13.220;0.835;35.508;-12.240;0.752;37.437;-17.713;1.513;20.633;-16.103;2.954;28.341;-14.373;3.100;31.827;-12.823;3.032;34.165;-11.568;2.706;35.771;-16.513;2.091;22.416;-15.185;5.109;23.861;-13.185;6.009;25.707;-12.976;8.648;26.602;1.187;36.640;-3.259;15.412;34.268;-1.408;20.740;20.847;-3.580;26.629;6.012;-5.981;22.081;4.160;5.931;16.750;1.460;20.407;15.729;-0.105;21.041;13.483;-2.721;26.805;12.409;-3.897;29.356;11.091;-4.247;31.325;10.014;-4.326;32.646;16.225;0.578;21.393;15.092;-1.222;27.593;13.663;-1.927;31.685;11.833;-1.855;34.468;10.681;-1.676;36.211;16.342;1.756;21.787;16.198;0.562;28.793;14.557;0.262;33.142;12.747;0.610;35.551;11.357;1.153;37.148;16.793;2.557;21.837;17.024;2.974;29.050;15.260;3.525;32.491;13.391;3.864;34.314;11.688;4.364;35.662;16.821;3.380;22.649;17.790;6.278;24.959;17.582;7.361;28.034;17.824;9.954;28.922;0.000;0.000;0.000;-7.623;-12.242;-0.801;-9.492;-33.135;-0.427;-11.686;-57.663;0.012;-10.294;-101.800;-8.899;7.567;-12.352;-1.607;9.328;-33.254;-0.895;11.395;-57.791;-0.059;10.465;-102.052;-9.687
951.000;38.040;0.007;7.194;-0.213;-0.035;13.963;-0.507;-0.174;25.935;-1.147;-0.751;41.795;-2.136;-0.858;46.035;0.778;-0.649;52.404;1.776;-7.419;56.455;3.271;6.241;56.515;1.437;-2.862;58.414;10.220;3.661;58.442;9.345;-2.122;36.523;-3.410;-16.202;34.350;-1.989;-21.355;21.399;-3.417;-27.050;7.084;-4.995;-22.622;4.434;6.864;-17.648;1.273;20.741;-17.925;-0.487;21.344;-15.312;-3.015;28.029;-14.921;-3.311;30.432;-14.594;-4.215;32.818;-14.299;-4.326;34.460;-18.046;0.332;21.514;-16.439;-0.846;28.709;-15.797;-0.809;32.742;-15.236;-0.745;35.657;-14.778;-0.800;37.650;-17.576;1.595;21.295;-16.494;1.664;29.394;-15.360;1.760;33.342;-14.025;2.035;36.440;-13.352;2.037;38.498;-17.814;2.650;21.164;-16.395;4.043;28.962;-14.513;4.189;32.393;-12.903;4.236;34.700;-11.630;3.952;36.300;-16.799;3.474;23.042;-15.558;6.537;24.567;-13.535;7.529;26.315;-13.501;10.173;27.220;1.102;36.647;-3.302;15.337;34.338;-1.410;20.693;20.902;-3.404;26.612;6.053;-5.609;22.260;4.746;6.400;17.059;2.682;21.006;15.597;1.529;21.544;12.376;-0.609;27.096;11.145;-1.981;29.390;9.885;-2.569;31.380;8.913;-2.867;32.751;16.257;2.011;21.954;14.281;0.364;28.019;13.048;-0.705;32.054;11.685;-1.057;35.082;10.862;-1.151;37.009;16.681;2.938;22.361;15.795;1.734;29.385;14.679;0.959;33.849;13.270;1.238;36.546;12.266;1.784;38.409;17.316;3.596;22.465;17.218;3.775;29.806;15.432;4.578;33.221;13.658;5.301;35.068;12.180;6.134;36.514;17.679;4.365;23.427;19.031;7.053;25.901;18.847;8.364;28.832;19.718;10.858;29.604;0.000;0.000;0.000;-7.617;-12.247;-0.779;-9.475;-33.137;-0.394;-11.656;-57.659;0.059;-10.261;-101.800;-8.846;7.571;-12.349;-1.610;9.341;-33.249;-0.875;11.419;-57.783;-0.011;10.497;-102.052;-9.635
952.000;38.080;-0.004;7.194;-0.224;-0.066;13.963;-0.526;-0.247;25.935;-1.176;-0.918;41.789;-2.176;-1.031;46.040;0.748;-0.788;52.422;1.755;-7.461;56.620;3.279;6.190;56.380;1.395;-2.836;58.471;10.214;3.683;58.356;9.314;-2.255;36.509;-3.448;-16.322;34.266;-2.019;-21.384;21.197;-3.077;-26.979;6.753;-4.246;-22.491;5.198;7.742;-17.410;3.300;21.801;-17.203;1.579;22.313;-14.408;-0.805;28.955;-14.284;-1.623;31.257;-14.312;-3.038;33.421;-14.395;-3.551;35.010;-17.487;2.352;22.512;-15.813;1.282;29.663;-15.726;1.021;33.721;-15.819;0.811;36.695;-15.842;0.571;38.725;-17.462;3.512;22.413;-16.223;3.713;30.486;-15.608;3.797;34.524;-14.765;4.057;37.811;-14.396;4.037;39.945;-17.868;4.537;22.281;-16.551;6.114;30.062;-14.350;6.490;33.296;-12.614;6.776;35.455;-11.127;6.728;36.887;-17.099;5.650;24.183;-16.048;8.809;25.697;-13.949;9.952;27.245;-13.954;12.529;28.324;0.968;36.652;-3.335;15.216;34.462;-1.371;20.634;20.987;-2.953;26.621;6.093;-4.701;22.477;5.495;7.392;17.459;4.282;22.109;15.781;3.584;22.639;11.734;2.580;28.013;10.145;1.242;29.988;8.759;0.332;31.776;7.745;-0.241;33.023;16.543;3.815;23.087;13.817;2.964;28.997;12.423;1.752;32.905;11.230;0.892;35.910;10.607;0.424;37.857;17.046;4.578;23.445;15.552;3.778;30.463;14.407;2.711;34.843;13.291;2.876;37.663;12.529;3.311;39.665;17.827;5.051;23.572;17.533;5.273;30.983;15.853;6.416;34.365;14.336;7.560;36.231;13.081;8.721;37.661;18.422;5.694;24.680;20.112;8.227;27.091;20.196;9.831;29.855;21.673;12.093;30.379;0.000;0.000;0.000;-7.604;-12.257;-0.749;-9.448;-33.143;-0.323;-11.613;-57.663;0.178;-10.216;-101.812;-8.728;7.583;-12.343;-1.598;9.359;-33.246;-0.798;11.443;-57.785;0.142;10.540;-102.066;-9.518
