Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
4448.000;177.920;0.018;7.305;-0.157;-0.031;14.184;-0.168;-0.200;26.356;-0.012;-0.481;42.249;-0.385;-0.461;46.430;2.749;-0.146;52.826;4.045;-7.066;56.823;4.834;6.710;56.988;4.429;-3.269;58.801;12.222;3.309;58.880;12.028;-1.980;37.057;-1.831;-15.989;35.275;-0.147;-21.503;22.440;-1.370;-27.596;8.253;-2.721;-22.361;6.480;8.988;-16.437;4.307;22.845;-16.566;2.463;23.367;-11.913;-0.153;28.551;-9.910;-0.020;30.089;-7.689;-0.312;31.445;-6.278;-0.147;32.327;-16.636;3.273;23.599;-13.059;1.739;30.044;-9.400;1.829;32.110;-6.658;2.092;33.212;-4.738;2.193;33.909;-16.284;4.735;23.442;-13.093;4.188;30.846;-9.737;3.936;33.232;-6.599;4.145;34.256;-4.518;4.224;34.849;-16.646;5.756;23.535;-13.278;6.625;30.727;-10.316;6.748;33.174;-7.820;6.808;34.519;-5.920;6.549;35.284;-15.268;6.319;24.878;-14.723;9.241;27.007;-13.295;10.492;28.800;-13.619;12.963;30.064;1.247;37.115;-1.783;15.406;34.628;-0.070;21.286;21.245;-1.506;27.784;6.452;-3.092;22.752;5.241;8.686;16.922;3.403;23.136;16.366;1.580;23.803;13.496;-0.848;29.468;11.562;-1.948;31.521;9.489;-2.203;32.759;7.915;-2.240;33.416;16.508;2.440;24.078;14.650;1.144;30.443;11.617;0.378;33.600;8.642;0.319;35.054;6.682;0.490;35.779;16.189;3.733;24.362;14.894;3.315;31.452;12.468;2.570;35.393;9.806;2.594;36.892;7.768;2.847;37.640;16.358;4.639;24.364;14.863;5.874;31.494;12.686;6.020;34.658;10.434;5.842;35.995;8.375;5.843;36.847;15.932;5.551;24.911;15.925;8.679;27.106;14.948;9.933;29.965;14.802;12.471;31.019;0.000;0.000;0.000;-7.651;-12.232;-0.672;-9.854;-32.891;0.397;-12.439;-57.143;1.651;-11.855;-101.464;-6.326;7.533;-12.377;-1.576;9.796;-33.001;-0.439;12.452;-57.211;0.895;12.440;-101.643;-8.028
4449.000;177.960;0.018;7.303;-0.160;-0.031;14.180;-0.174;-0.200;26.349;-0.026;-0.477;42.242;-0.408;-0.456;46.428;2.727;-0.138;52.828;4.022;-7.054;56.831;4.817;6.721;56.986;4.396;-3.248;58.811;12.199;3.330;58.885;11.998;-1.978;37.050;-1.851;-15.985;35.271;-0.167;-21.501;22.435;-1.383;-27.597;8.248;-2.726;-22.361;6.483;8.982;-16.436;4.317;22.837;-16.560;2.477;23.360;-11.900;-0.139;28.542;-9.914;-0.017;30.086;-7.673;-0.303;31.427;-6.260;-0.140;32.307;-16.628;3.288;23.592;-13.048;1.761;30.038;-9.395;1.815;32.106;-6.651;2.098;33.192;-4.724;2.212;33.866;-16.280;4.744;23.436;-13.092;4.194;30.839;-9.718;3.953;33.212;-6.574;4.180;34.229;-4.490;4.239;34.816;-16.645;5.767;23.529;-13.279;6.647;30.717;-10.304;6.762;33.158;-7.802;6.812;34.506;-5.903;6.574;35.281;-15.262;6.328;24.877;-14.716;9.255;27.008;-13.291;10.500;28.807;-13.624;12.980;30.052;1.249;37.107;-1.803;15.410;34.617;-0.089;21.286;21.232;-1.515;27.780;6.438;-3.091;22.745;5.236;8.688;16.914;3.410;23.139;16.358;1.588;23.805;13.480;-0.832;29.476;11.544;-1.938;31.525;9.468;-2.196;32.754;7.890;-2.233;33.401;16.503;2.447;24.080;14.634;1.141;30.440;11.609;0.380;33.602;8.598;0.332;35.022;6.635;0.510;35.739;16.175;3.717;24.368;14.868;3.312;31.450;12.429;2.600;35.380;9.769;2.606;36.880;7.723;2.874;37.600;16.338;4.623;24.367;14.842;5.885;31.494;12.650;6.030;34.642;10.392;5.856;35.966;8.336;5.849;36.825;15.948;5.546;24.931;15.906;8.692;27.103;14.930;9.943;29.978;14.776;12.497;30.991;0.000;0.000;0.000;-7.648;-12.234;-0.669;-9.852;-32.893;0.398;-12.439;-57.145;1.650;-11.856;-101.463;-6.335;7.536;-12.375;-1.573;9.803;-32.999;-0.439;12.464;-57.209;0.892;12.461;-101.641;-8.038
4450.000;178.000;0.018;7.300;-0.163;-0.031;14.174;-0.186;-0.201;26.338;-0.058;-0.476;42.231;-0.451;-0.453;46.423;2.683;-0.130;52.831;3.974;-7.039;56.839;4.796;6.734;56.984;4.310;-3.197;58.826;12.158;3.380;58.896;11.925;-1.977;37.038;-1.890;-15.984;35.261;-0.205;-21.495;22.421;-1.413;-27.587;8.230;-2.749;-22.351;6.479;8.963;-16.427;4.331;22.824;-16.548;2.503;23.357;-11.877;-0.125;28.525;-9.886;-0.011;30.058;-7.666;-0.280;31.406;-6.238;-0.104;32.259;-16.623;3.313;23.592;-13.025;1.777;30.019;-9.370;1.845;32.087;-6.627;2.132;33.168;-4.693;2.221;33.827;-16.261;4.754;23.423;-13.056;4.215;30.809;-9.687;3.986;33.181;-6.531;4.215;34.175;-4.451;4.289;34.773;-16.624;5.776;23.513;-13.258;6.664;30.697;-10.274;6.794;33.133;-7.783;6.858;34.484;-5.879;6.601;35.239;-15.255;6.343;24.847;-14.700;9.273;26.971;-13.268;10.527;28.769;-13.615;12.993;30.035;1.250;37.095;-1.842;15.410;34.604;-0.127;21.273;21.213;-1.536;27.753;6.412;-3.093;22.713;5.217;8.687;16.872;3.401;23.143;16.319;1.584;23.815;13.448;-0.860;29.467;11.488;-1.946;31.517;9.404;-2.180;32.736;7.814;-2.220;33.354;16.469;2.442;24.092;14.574;1.134;30.445;11.524;0.377;33.568;8.487;0.377;34.941;6.512;0.592;35.612;16.125;3.704;24.374;14.821;3.308;31.448;12.317;2.606;35.338;9.647;2.622;36.801;7.587;2.895;37.479;16.287;4.611;24.374;14.795;5.880;31.489;12.565;6.015;34.616;10.302;5.836;35.912;8.234;5.839;36.743;15.898;5.537;24.919;15.892;8.669;27.118;14.901;9.929;29.974;14.779;12.478;31.002;0.000;0.000;0.000;-7.648;-12.234;-0.664;-9.854;-32.888;0.400;-12.442;-57.135;1.649;-11.862;-101.460;-6.351;7.536;-12.376;-1.569;9.801;-32.998;-0.436;12.460;-57.206;0.894;12.451;-101.641;-8.042
4451.000;178.040;0.018;7.296;-0.167;-0.031;14.166;-0.197;-0.201;26.324;-0.089;-0.478;42.217;-0.494;-0.455;46.416;2.639;-0.130;52.835;3.922;-7.033;56.844;4.786;6.736;56.989;4.206;-3.141;58.841;12.118;3.434;58.910;11.841;-1.978;37.022;-1.930;-15.989;35.244;-0.250;-21.488;22.398;-1.445;-27.565;8.200;-2.766;-22.327;6.469;8.947;-16.401;4.342;22.809;-16.523;2.507;23.342;-11.846;-0.078;28.518;-9.834;0.042;30.038;-7.598;-0.234;31.370;-6.173;-0.066;32.228;-16.596;3.317;23.575;-12.990;1.804;30.006;-9.338;1.884;32.069;-6.577;2.189;33.135;-4.639;2.274;33.783;-16.257;4.753;23.409;-13.042;4.240;30.795;-9.663;4.038;33.163;-6.489;4.278;34.132;-4.403;4.378;34.706;-16.622;5.780;23.498;-13.237;6.686;30.682;-10.258;6.803;33.112;-7.768;6.911;34.478;-5.857;6.664;35.220;-15.242;6.370;24.856;-14.691;9.296;26.958;-13.256;10.559;28.744;-13.604;13.031;29.998;1.249;37.079;-1.881;15.404;34.592;-0.170;21.264;21.194;-1.555;27.742;6.386;-3.086;22.684;5.195;8.692;16.819;3.384;23.147;16.266;1.578;23.819;13.395;-0.878;29.462;11.425;-1.977;31.501;9.315;-2.199;32.681;7.722;-2.214;33.291;16.417;2.434;24.099;14.519;1.094;30.436;11.422;0.369;33.529;8.358;0.391;34.845;6.378;0.618;35.497;16.066;3.690;24.376;14.768;3.293;31.449;12.192;2.578;35.292;9.498;2.619;36.713;7.427;2.904;37.351;16.227;4.597;24.376;14.726;5.859;31.477;12.449;6.004;34.573;10.179;5.827;35.844;8.087;5.823;36.613;15.853;5.518;24.921;15.826;8.652;27.115;14.842;9.911;29.954;14.710;12.451;31.003;0.000;0.000;0.000;-7.648;-12.234;-0.661;-9.855;-32.888;0.396;-12.446;-57.133;1.637;-11.869;-101.455;-6.378;7.535;-12.377;-1.565;9.798;-32.998;-0.440;12.454;-57.205;0.881;12.442;-101.637;-8.065
4452.000;178.080;0.018;7.292;-0.169;-0.031;14.158;-0.206;-0.201;26.308;-0.119;-0.471;42.200;-0.544;-0.442;46.411;2.591;-0.106;52.842;3.872;-7.002;56.854;4.782;6.763;56.995;4.096;-3.054;58.863;12.081;3.519;58.931;11.754;-1.974;37.005;-1.972;-15.983;35.230;-0.276;-21.471;22.381;-1.460;-27.536;8.179;-2.768;-22.292;6.474;8.944;-16.360;4.378;22.805;-16.492;2.559;23.351;-11.803;-0.064;28.503;-9.777;0.072;30.027;-7.529;-0.167;31.347;-6.088;0.006;32.178;-16.571;3.367;23.588;-12.936;1.858;30.008;-9.286;1.923;32.067;-6.508;2.254;33.081;-4.563;2.360;33.702;-16.212;4.794;23.406;-12.972;4.293;30.775;-9.587;4.132;33.137;-6.427;4.354;34.078;-4.329;4.469;34.600;-16.579;5.818;23.495;-13.192;6.734;30.671;-10.214;6.880;33.109;-7.722;6.954;34.466;-5.810;6.731;35.213;-15.212;6.403;24.837;-14.655;9.340;26.944;-13.207;10.609;28.733;-13.575;13.084;29.978;1.253;37.061;-1.926;15.411;34.570;-0.224;21.266;21.165;-1.592;27.736;6.348;-3.104;22.659;5.161;8.669;16.769;3.354;23.118;16.205;1.543;23.789;13.333;-0.914;29.429;11.361;-2.008;31.464;9.228;-2.224;32.614;7.628;-2.237;33.207;16.350;2.401;24.068;14.462;1.079;30.414;11.326;0.352;33.469;8.271;0.401;34.763;6.278;0.607;35.385;16.016;3.655;24.349;14.698;3.258;31.410;12.107;2.540;35.245;9.373;2.604;36.612;7.300;2.902;37.239;16.174;4.562;24.348;14.658;5.838;31.443;12.361;5.970;34.519;10.074;5.794;35.767;7.981;5.783;36.532;15.793;5.493;24.889;15.776;8.618;27.084;14.795;9.878;29.973;14.669;12.452;30.937;0.000;0.000;0.000;-7.649;-12.234;-0.660;-9.853;-32.891;0.389;-12.440;-57.140;1.620;-11.861;-101.455;-6.390;7.534;-12.377;-1.568;9.795;-32.997;-0.451;12.449;-57.203;0.860;12.433;-101.633;-8.097
4453.000;178.120;0.018;7.288;-0.170;-0.028;14.150;-0.215;-0.190;26.294;-0.151;-0.448;42.186;-0.591;-0.411;46.407;2.542;-0.064;52.851;3.812;-6.954;56.865;4.752;6.806;57.005;3.983;-2.962;58.894;12.022;3.609;58.961;11.654;-1.957;36.990;-2.012;-15.966;35.224;-0.302;-21.443;22.369;-1.462;-27.497;8.162;-2.744;-22.254;6.494;8.967;-16.325;4.438;22.827;-16.450;2.625;23.380;-11.753;0.001;28.528;-9.751;0.136;30.064;-7.462;-0.086;31.339;-6.008;0.107;32.143;-16.528;3.434;23.616;-12.882;1.928;30.026;-9.243;2.007;32.087;-6.451;2.342;33.067;-4.494;2.473;33.647;-16.182;4.865;23.427;-12.910;4.377;30.787;-9.525;4.231;33.137;-6.349;4.477;34.055;-4.259;4.568;34.614;-16.571;5.897;23.520;-13.144;6.817;30.689;-10.177;6.940;33.141;-7.694;7.039;34.519;-5.798;6.805;35.300;-15.160;6.472;24.867;-14.601;9.409;26.955;-13.164;10.675;28.753;-13.506;13.167;29.971;1.270;37.044;-1.970;15.425;34.544;-0.287;21.272;21.134;-1.642;27.735;6.312;-3.140;22.645;5.115;8.630;16.744;3.296;23.076;16.184;1.483;23.741;13.310;-0.978;29.376;11.318;-2.073;31.406;9.175;-2.274;32.534;7.556;-2.265;33.073;16.334;2.340;24.020;14.417;1.018;30.361;11.281;0.288;33.412;8.179;0.337;34.648;6.188;0.575;35.262;15.979;3.608;24.305;14.644;3.201;31.362;12.060;2.485;35.195;9.296;2.547;36.516;7.222;2.842;37.140;16.142;4.514;24.306;14.621;5.778;31.396;12.300;5.904;34.456;10.018;5.732;35.704;7.920;5.726;36.457;15.737;5.450;24.825;15.747;8.560;27.038;14.766;9.818;29.903;14.631;12.376;30.910;0.000;0.000;0.000;-7.651;-12.233;-0.659;-9.856;-32.889;0.382;-12.444;-57.137;1.603;-11.875;-101.452;-6.432;7.532;-12.377;-1.577;9.792;-32.996;-0.470;12.444;-57.201;0.831;12.421;-101.631;-8.130
4454.000;178.160;0.019;7.285;-0.172;-0.025;14.144;-0.223;-0.183;26.282;-0.173;-0.438;42.174;-0.628;-0.397;46.402;2.501;-0.048;52.855;3.755;-6.935;56.873;4.705;6.823;57.008;3.894;-2.921;58.920;11.957;3.649;58.985;11.570;-1.949;36.977;-2.043;-15.957;35.215;-0.326;-21.423;22.352;-1.459;-27.465;8.135;-2.710;-22.223;6.511;9.006;-16.298;4.510;22.869;-16.421;2.703;23.436;-11.709;0.095;28.596;-9.706;0.247;30.125;-7.359;0.099;31.266;-5.866;0.395;31.958;-16.498;3.512;23.670;-12.869;2.029;30.092;-9.204;2.090;32.143;-6.413;2.470;33.069;-4.439;2.635;33.575;-16.147;5.009;23.444;-12.909;4.482;30.852;-9.518;4.324;33.209;-6.342;4.578;34.143;-4.252;4.683;34.699;-16.556;6.024;23.548;-13.151;6.901;30.755;-10.273;7.046;33.321;-7.872;7.182;34.813;-6.003;6.938;35.655;-15.130;6.547;24.889;-14.560;9.496;26.992;-13.110;10.773;28.773;-13.450;13.263;29.994;1.278;37.030;-2.003;15.431;34.527;-0.333;21.272;21.115;-1.686;27.728;6.291;-3.183;22.636;5.070;8.588;16.724;3.225;23.036;16.182;1.394;23.692;13.292;-1.073;29.318;11.296;-2.171;31.337;9.119;-2.377;32.428;7.501;-2.379;32.970;16.325;2.252;23.972;14.410;0.967;30.337;11.255;0.178;33.352;8.113;0.271;34.516;6.112;0.467;35.116;15.963;3.532;24.267;14.642;3.092;31.318;11.989;2.380;35.119;9.226;2.445;36.412;7.139;2.745;36.986;16.123;4.439;24.272;14.582;5.673;31.352;12.237;5.780;34.395;9.958;5.609;35.624;7.851;5.594;36.348;15.731;5.359;24.794;15.721;8.478;27.002;14.717;9.721;29.874;14.588;12.280;30.877;0.000;0.000;0.000;-7.652;-12.232;-0.655;-9.859;-32.889;0.378;-12.449;-57.138;1.591;-11.890;-101.450;-6.451;7.530;-12.378;-1.581;9.788;-33.000;-0.475;12.439;-57.208;0.823;12.408;-101.634;-8.134
4455.000;178.200;0.020;7.281;-0.174;-0.020;14.138;-0.230;-0.169;26.270;-0.192;-0.425;42.162;-0.656;-0.382;46.399;2.470;-0.030;52.866;3.709;-6.914;56.889;4.661;6.843;57.017;3.824;-2.885;58.956;11.900;3.684;59.017;11.500;-1.938;36.964;-2.067;-15.942;35.211;-0.338;-21.415;22.347;-1.424;-27.464;8.128;-2.625;-22.217;6.570;9.092;-16.287;4.643;22.957;-16.395;2.817;23.518;-11.672;0.289;28.720;-9.738;0.370;30.271;-7.207;0.532;30.956;-5.660;1.123;31.184;-16.468;3.630;23.741;-12.851;2.206;30.196;-9.163;2.332;32.225;-6.312;2.748;32.989;-4.316;2.965;33.373;-16.145;5.140;23.525;-12.898;4.656;30.947;-9.511;4.502;33.334;-6.327;4.796;34.254;-4.247;4.920;34.845;-16.560;6.154;23.629;-13.158;7.069;30.862;-10.465;7.232;33.586;-8.157;7.396;35.222;-6.330;7.226;36.169;-15.124;6.689;24.977;-14.537;9.659;27.065;-13.052;10.942;28.821;-13.411;13.428;30.044;1.289;37.017;-2.030;15.443;34.519;-0.376;21.273;21.103;-1.728;27.716;6.274;-3.221;22.631;4.999;8.550;16.729;3.088;23.000;16.182;1.259;23.653;13.302;-1.250;29.259;11.319;-2.345;31.282;9.118;-2.552;32.343;7.494;-2.551;32.864;16.328;2.115;23.937;14.422;0.790;30.286;11.249;0.003;33.291;8.080;0.103;34.407;6.073;0.312;34.981;15.968;3.372;24.236;14.625;2.930;31.283;11.977;2.135;35.069;9.173;2.258;36.303;7.078;2.550;36.852;16.125;4.279;24.241;14.563;5.495;31.324;12.184;5.570;34.333;9.888;5.410;35.537;7.774;5.375;36.244;15.711;5.225;24.746;15.698;8.318;26.984;14.713;9.547;29.867;14.535;12.105;30.866;0.000;0.000;0.000;-7.650;-12.234;-0.649;-9.856;-32.888;0.388;-12.446;-57.134;1.605;-11.886;-101.446;-6.453;7.532;-12.377;-1.581;9.793;-32.996;-0.474;12.446;-57.202;0.826;12.417;-101.624;-8.141
4456.000;178.240;0.022;7.279;-0.179;-0.018;14.133;-0.240;-0.164;26.263;-0.212;-0.422;42.154;-0.677;-0.375;46.395;2.446;-0.014;52.870;3.670;-6.896;56.896;4.620;6.860;57.020;3.770;-2.861;58.976;11.851;3.708;59.036;11.445;-1.935;36.956;-2.087;-15.935;35.217;-0.344;-21.454;22.357;-1.309;-27.555;8.143;-2.374;-22.259;6.711;9.328;-16.279;4.933;23.182;-16.350;3.088;23.736;-11.535;0.598;28.910;-9.600;0.659;30.472;-7.111;1.379;30.175;-5.870;2.328;29.580;-16.424;3.902;23.953;-12.730;2.530;30.386;-9.055;2.654;32.381;-6.072;3.292;32.567;-4.066;3.645;32.380;-16.150;5.435;23.735;-12.826;5.003;31.146;-9.389;4.990;33.480;-6.200;5.301;34.421;-4.124;5.466;35.016;-16.578;6.435;23.844;-13.115;7.402;31.077;-10.638;7.579;33.976;-8.434;7.787;35.802;-6.709;7.610;36.923;-15.091;6.994;25.192;-14.454;9.984;27.265;-12.863;11.228;29.002;-13.130;13.728;30.222;1.292;37.010;-2.051;15.448;34.519;-0.403;21.267;21.100;-1.756;27.700;6.269;-3.252;22.625;4.883;8.524;16.740;2.834;22.978;16.208;0.976;23.598;13.392;-1.560;29.224;11.364;-2.704;31.209;9.163;-2.893;32.243;7.522;-2.875;32.709;16.343;1.835;23.879;14.457;0.472;30.251;11.246;-0.328;33.215;8.038;-0.282;34.236;6.019;-0.017;34.738;15.986;3.098;24.221;14.639;2.601;31.258;11.966;1.766;35.027;9.119;1.883;36.170;6.999;2.186;36.608;16.133;4.007;24.232;14.564;5.147;31.309;12.148;5.199;34.297;9.801;4.969;35.446;7.696;4.929;36.176;15.714;4.933;24.664;15.661;8.016;27.020;14.681;9.209;29.895;14.464;11.741;30.952;0.000;0.000;0.000;-7.654;-12.231;-0.648;-9.865;-32.886;0.386;-12.459;-57.134;1.599;-11.902;-101.444;-6.461;7.528;-12.380;-1.571;9.779;-32.999;-0.464;12.421;-57.204;0.836;12.381;-101.621;-8.149
