Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
157.000;6.280;-0.006;7.174;-0.191;-0.050;13.928;-0.386;-0.172;25.876;-0.746;-0.591;41.750;-1.554;-0.656;46.028;1.525;-0.232;52.456;2.789;-7.067;56.491;4.006;6.618;56.625;2.370;-2.636;58.804;10.928;3.899;58.868;10.147;-1.988;36.506;-2.913;-16.118;34.404;-1.468;-21.278;21.336;-2.646;-26.981;6.893;-3.948;-22.244;4.844;7.957;-16.871;2.409;21.999;-17.662;0.926;22.678;-14.557;-2.597;28.511;-13.063;-2.952;30.487;-11.815;-3.793;32.464;-10.677;-3.863;33.687;-17.622;1.739;22.911;-15.217;-0.455;29.608;-12.534;-1.256;32.611;-10.732;-1.716;34.929;-9.533;-2.237;36.502;-16.668;2.854;22.569;-14.683;2.060;30.400;-12.475;1.402;33.745;-10.331;1.004;36.278;-9.100;0.582;38.009;-16.703;3.931;22.555;-14.099;4.357;30.152;-11.899;3.868;33.288;-10.213;3.404;35.478;-9.000;2.795;37.033;-15.239;4.119;24.040;-14.018;6.883;26.146;-12.284;7.887;28.177;-12.612;10.403;29.348;1.235;36.600;-2.752;15.395;34.146;-0.519;20.964;20.635;-1.631;27.119;5.703;-2.861;21.870;4.638;8.782;15.916;3.055;23.060;16.023;1.372;24.161;14.123;-0.693;30.341;13.025;-1.967;32.795;11.688;-2.893;34.592;10.660;-3.558;35.780;15.912;2.274;24.261;14.531;1.778;30.743;12.790;1.072;34.733;10.735;0.466;37.299;9.351;0.141;38.841;15.082;3.387;24.232;14.124;4.136;31.361;12.587;3.754;35.746;10.807;3.431;38.169;9.327;3.315;39.773;14.946;4.275;24.029;13.325;6.532;30.916;11.658;7.009;34.419;10.175;6.825;36.541;8.696;6.661;38.201;14.274;5.056;24.399;13.382;8.487;25.874;12.458;10.140;28.534;11.696;12.771;28.801;0.000;0.000;0.000;-7.551;-12.274;-0.970;-9.307;-33.155;-0.175;-11.368;-57.668;0.758;-9.528;-101.883;-7.021;7.655;-12.327;-1.370;9.105;-33.249;-0.158;10.808;-57.809;1.264;9.382;-102.124;-7.739
158.000;6.320;-0.006;7.173;-0.193;-0.048;13.925;-0.387;-0.169;25.872;-0.747;-0.577;41.747;-1.550;-0.636;46.026;1.532;-0.202;52.457;2.797;-7.035;56.495;4.017;6.649;56.624;2.373;-2.599;58.809;10.936;3.936;58.871;10.151;-1.979;36.504;-2.909;-16.111;34.411;-1.456;-21.286;21.353;-2.649;-27.005;6.921;-3.969;-22.282;4.859;7.936;-16.922;2.411;21.978;-17.729;0.910;22.647;-14.634;-2.610;28.475;-13.105;-2.955;30.436;-11.821;-3.771;32.390;-10.634;-3.826;33.566;-17.673;1.722;22.878;-15.285;-0.477;29.585;-12.591;-1.308;32.576;-10.785;-1.783;34.888;-9.626;-2.296;36.493;-16.755;2.820;22.558;-14.732;2.034;30.378;-12.469;1.348;33.673;-10.271;0.961;36.174;-9.021;0.548;37.894;-16.765;3.892;22.540;-14.142;4.348;30.135;-11.939;3.811;33.276;-10.283;3.315;35.459;-9.054;2.731;37.012;-15.294;4.115;24.022;-14.062;6.879;26.134;-12.309;7.875;28.168;-12.653;10.395;29.325;1.244;36.595;-2.750;15.403;34.131;-0.533;20.968;20.619;-1.659;27.118;5.685;-2.903;21.872;4.618;8.742;15.923;3.036;23.022;16.042;1.350;24.127;14.158;-0.687;30.322;13.068;-1.979;32.779;11.734;-2.909;34.573;10.720;-3.562;35.779;15.921;2.251;24.221;14.543;1.795;30.712;12.816;1.069;34.702;10.752;0.463;37.265;9.380;0.139;38.818;15.096;3.323;24.208;14.117;4.133;31.314;12.573;3.749;35.698;10.774;3.420;38.112;9.279;3.302;39.702;14.936;4.205;23.998;13.304;6.525;30.862;11.622;6.978;34.351;10.126;6.799;36.476;8.634;6.635;38.124;14.248;5.029;24.369;13.355;8.450;25.816;12.395;10.117;28.475;11.630;12.750;28.709;0.000;0.000;0.000;-7.553;-12.273;-0.962;-9.317;-33.157;-0.161;-11.387;-57.672;0.779;-9.555;-101.887;-6.986;7.653;-12.328;-1.368;9.100;-33.251;-0.146;10.799;-57.814;1.288;9.358;-102.124;-7.714
159.000;6.360;-0.005;7.172;-0.196;-0.047;13.923;-0.393;-0.165;25.868;-0.756;-0.572;41.743;-1.554;-0.627;46.025;1.533;-0.191;52.460;2.802;-7.017;56.502;4.041;6.663;56.622;2.367;-2.565;58.806;10.952;3.968;58.863;10.153;-1.976;36.501;-2.913;-16.107;34.413;-1.441;-21.292;21.360;-2.631;-27.023;6.933;-3.946;-22.312;4.876;7.964;-16.962;2.436;22.015;-17.783;0.949;22.695;-14.708;-2.577;28.485;-13.057;-2.878;30.411;-11.685;-3.672;32.307;-10.447;-3.716;33.431;-17.738;1.760;22.931;-15.359;-0.467;29.619;-12.634;-1.313;32.587;-10.832;-1.831;34.887;-9.656;-2.332;36.483;-16.766;2.868;22.585;-14.787;2.042;30.403;-12.480;1.373;33.672;-10.299;0.991;36.172;-8.998;0.590;37.856;-16.780;3.928;22.572;-14.196;4.335;30.180;-12.012;3.800;33.317;-10.357;3.316;35.517;-9.147;2.705;37.074;-15.359;4.146;24.077;-14.078;6.900;26.163;-12.298;7.889;28.180;-12.644;10.408;29.340;1.247;36.592;-2.758;15.408;34.127;-0.556;20.986;20.618;-1.678;27.152;5.688;-2.919;21.911;4.625;8.727;15.969;3.050;23.009;16.095;1.397;24.128;14.208;-0.675;30.317;13.143;-1.953;32.777;11.852;-2.889;34.576;10.816;-3.552;35.759;15.980;2.298;24.225;14.604;1.823;30.700;12.864;1.090;34.688;10.818;0.488;37.261;9.448;0.173;38.817;15.124;3.350;24.191;14.155;4.163;31.299;12.582;3.768;35.676;10.737;3.427;38.062;9.248;3.299;39.656;14.964;4.232;23.978;13.317;6.541;30.834;11.616;6.968;34.316;10.091;6.791;36.422;8.595;6.597;38.062;14.303;5.037;24.369;13.354;8.455;25.781;12.361;10.118;28.435;11.596;12.752;28.659;0.000;0.000;0.000;-7.555;-12.273;-0.952;-9.320;-33.156;-0.146;-11.393;-57.670;0.799;-9.563;-101.887;-6.962;7.651;-12.329;-1.367;9.096;-33.251;-0.135;10.793;-57.812;1.311;9.339;-102.125;-7.679
160.000;6.400;-0.004;7.170;-0.196;-0.045;13.919;-0.391;-0.161;25.861;-0.752;-0.560;41.737;-1.547;-0.610;46.021;1.545;-0.167;52.461;2.819;-6.989;56.506;4.076;6.688;56.619;2.372;-2.519;58.802;10.979;4.012;58.856;10.165;-1.968;36.496;-2.906;-16.096;34.418;-1.418;-21.296;21.369;-2.595;-27.042;6.948;-3.896;-22.345;4.914;8.021;-17.013;2.500;22.077;-17.840;1.020;22.762;-14.779;-2.513;28.558;-13.232;-2.784;30.466;-11.548;-3.539;32.235;-10.237;-3.534;33.274;-17.788;1.831;22.997;-15.428;-0.397;29.687;-12.713;-1.240;32.664;-10.884;-1.756;34.941;-9.683;-2.273;36.514;-16.847;2.930;22.650;-14.856;2.116;30.462;-12.535;1.452;33.722;-10.296;1.065;36.191;-9.000;0.657;37.878;-16.861;4.001;22.637;-14.278;4.405;30.252;-12.093;3.865;33.400;-10.438;3.377;35.607;-9.260;2.782;37.194;-15.432;4.236;24.169;-14.090;6.978;26.220;-12.296;7.959;28.220;-12.590;10.515;29.312;1.255;36.584;-2.753;15.416;34.116;-0.565;21.009;20.611;-1.671;27.191;5.684;-2.893;21.955;4.630;8.757;16.021;3.071;23.044;16.196;1.423;24.166;14.299;-0.632;30.375;13.267;-1.916;32.840;11.983;-2.853;34.649;10.955;-3.527;35.831;16.069;2.323;24.258;14.679;1.854;30.743;12.958;1.147;34.737;10.916;0.522;37.320;9.550;0.213;38.881;15.178;3.370;24.225;14.223;4.192;31.332;12.650;3.816;35.716;10.808;3.464;38.102;9.322;3.319;39.697;15.009;4.249;24.009;13.350;6.578;30.851;11.621;7.024;34.339;10.113;6.802;36.445;8.632;6.612;38.100;14.356;5.055;24.405;13.358;8.459;25.791;12.367;10.119;28.421;11.546;12.732;28.683;0.000;0.000;0.000;-7.555;-12.273;-0.949;-9.324;-33.157;-0.133;-11.400;-57.672;0.826;-9.575;-101.889;-6.913;7.650;-12.329;-1.367;9.092;-33.253;-0.121;10.785;-57.816;1.342;9.320;-102.132;-7.634
161.000;6.440;-0.003;7.169;-0.197;-0.040;13.918;-0.392;-0.148;25.858;-0.754;-0.539;41.734;-1.552;-0.585;46.022;1.544;-0.137;52.464;2.824;-6.954;56.516;4.087;6.721;56.616;2.372;-2.477;58.806;10.987;4.053;58.854;10.168;-1.950;36.494;-2.909;-16.081;34.424;-1.415;-21.295;21.378;-2.562;-27.057;6.959;-3.830;-22.371;4.977;8.098;-17.047;2.624;22.167;-17.880;1.112;22.838;-14.872;-2.381;28.655;-13.258;-2.650;30.523;-11.351;-3.311;32.125;-9.940;-3.300;33.023;-17.807;1.925;23.062;-15.499;-0.277;29.788;-12.791;-1.097;32.765;-10.887;-1.624;34.991;-9.642;-2.164;36.520;-16.894;3.058;22.742;-14.915;2.265;30.553;-12.561;1.604;33.781;-10.339;1.173;36.225;-8.966;0.780;37.853;-16.900;4.137;22.725;-14.336;4.545;30.343;-12.153;4.010;33.495;-10.523;3.524;35.712;-9.357;2.883;37.290;-15.492;4.369;24.238;-14.107;7.113;26.277;-12.325;8.091;28.294;-12.582;10.675;29.328;1.273;36.581;-2.758;15.430;34.106;-0.575;21.035;20.603;-1.656;27.231;5.678;-2.851;21.998;4.631;8.803;16.070;3.082;23.098;16.247;1.445;24.228;14.383;-0.602;30.447;13.376;-1.875;32.919;12.101;-2.807;34.732;11.070;-3.477;35.915;16.112;2.345;24.316;14.739;1.904;30.801;13.047;1.207;34.808;11.022;0.588;37.393;9.648;0.274;38.947;15.240;3.354;24.291;14.267;4.221;31.377;12.715;3.876;35.763;10.867;3.505;38.149;9.373;3.351;39.737;15.058;4.229;24.065;13.387;6.617;30.887;11.640;7.042;34.361;10.122;6.828;36.472;8.645;6.631;38.129;14.356;5.054;24.420;13.366;8.474;25.813;12.354;10.136;28.461;11.532;12.754;28.669;0.000;0.000;0.000;-7.555;-12.273;-0.949;-9.329;-33.156;-0.123;-11.410;-57.671;0.847;-9.591;-101.888;-6.883;7.650;-12.330;-1.367;9.088;-33.255;-0.110;10.775;-57.819;1.365;9.299;-102.134;-7.598
162.000;6.480;-0.002;7.168;-0.199;-0.036;13.917;-0.397;-0.135;25.857;-0.762;-0.515;41.733;-1.565;-0.558;46.024;1.532;-0.108;52.468;2.816;-6.920;56.528;4.080;6.755;56.612;2.364;-2.439;58.812;10.980;4.091;58.853;10.160;-1.930;36.493;-2.921;-16.059;34.434;-1.421;-21.288;21.389;-2.533;-27.068;6.971;-3.761;-22.391;5.059;8.176;-17.076;2.795;22.260;-17.920;1.273;22.921;-14.975;-2.217;28.767;-13.365;-2.452;30.667;-11.286;-3.106;32.050;-9.758;-3.048;32.728;-17.842;2.087;23.138;-15.567;-0.070;29.895;-12.873;-0.918;32.894;-10.873;-1.454;35.032;-9.563;-1.980;36.511;-16.938;3.227;22.830;-14.974;2.458;30.649;-12.554;1.786;33.835;-10.298;1.378;36.271;-8.941;0.964;37.908;-16.946;4.306;22.811;-14.388;4.738;30.438;-12.200;4.210;33.589;-10.566;3.747;35.804;-9.425;3.082;37.392;-15.531;4.550;24.328;-14.100;7.299;26.352;-12.291;8.295;28.324;-12.520;10.902;29.302;1.293;36.578;-2.770;15.446;34.101;-0.586;21.065;20.598;-1.642;27.276;5.673;-2.809;22.049;4.627;8.848;16.132;3.079;23.147;16.314;1.452;24.284;14.459;-0.597;30.504;13.453;-1.867;32.976;12.169;-2.813;34.791;11.155;-3.472;35.994;16.181;2.352;24.372;14.824;1.923;30.857;13.121;1.211;34.864;11.073;0.577;37.434;9.707;0.259;38.994;15.294;3.363;24.336;14.341;4.245;31.430;12.791;3.878;35.821;10.941;3.513;38.196;9.400;3.329;39.735;15.114;4.237;24.110;13.433;6.603;30.938;11.695;7.028;34.408;10.167;6.809;36.510;8.669;6.612;38.149;14.440;5.049;24.463;13.408;8.461;25.859;12.402;10.124;28.503;11.550;12.732;28.724;0.000;0.000;0.000;-7.555;-12.273;-0.947;-9.333;-33.158;-0.107;-11.419;-57.674;0.880;-9.599;-101.893;-6.837;7.650;-12.330;-1.360;9.088;-33.254;-0.091;10.775;-57.816;1.400;9.300;-102.133;-7.552
163.000;6.520;-0.000;7.169;-0.203;-0.029;13.918;-0.404;-0.115;25.858;-0.775;-0.484;41.734;-1.579;-0.526;46.026;1.522;-0.070;52.470;2.814;-6.879;56.534;4.080;6.797;56.607;2.369;-2.398;58.806;10.984;4.133;58.841;10.167;-1.902;36.495;-2.935;-16.032;34.448;-1.447;-21.269;21.403;-2.536;-27.058;6.985;-3.741;-22.390;5.153;8.207;-17.075;2.988;22.300;-17.920;1.478;22.952;-15.125;-2.031;28.874;-13.621;-2.372;30.810;-11.327;-2.965;31.793;-9.679;-2.772;31.996;-17.820;2.291;23.164;-15.681;0.155;29.974;-13.101;-0.789;33.065;-10.969;-1.373;35.022;-9.470;-1.937;36.294;-16.925;3.429;22.876;-15.024;2.672;30.696;-12.597;2.009;33.887;-10.318;1.581;36.312;-9.000;1.193;37.986;-16.928;4.507;22.852;-14.433;4.950;30.490;-12.267;4.437;33.657;-10.644;3.956;35.889;-9.496;3.355;37.496;-15.551;4.768;24.400;-14.036;7.494;26.403;-12.177;8.490;28.281;-12.348;11.114;29.227;1.322;36.578;-2.782;15.471;34.088;-0.593;21.108;20.590;-1.622;27.338;5.670;-2.759;22.094;4.587;8.893;16.156;2.998;23.188;16.349;1.369;24.320;14.494;-0.698;30.531;13.477;-1.987;32.994;12.197;-2.931;34.802;11.175;-3.601;35.992;16.211;2.269;24.409;14.836;1.829;30.888;13.110;1.090;34.880;11.048;0.433;37.432;9.657;0.111;38.968;15.319;3.254;24.379;14.332;4.155;31.463;12.778;3.747;35.844;10.872;3.356;38.187;9.320;3.168;39.714;15.123;4.125;24.153;13.417;6.497;30.966;11.651;6.877;34.427;10.096;6.634;36.516;8.601;6.407;38.153;14.414;4.943;24.485;13.374;8.357;25.905;12.370;9.994;28.570;11.457;12.583;28.748;0.000;0.000;0.000;-7.555;-12.273;-0.945;-9.336;-33.155;-0.094;-11.426;-57.668;0.906;-9.602;-101.887;-6.793;7.651;-12.331;-1.348;9.085;-33.255;-0.069;10.770;-57.817;1.432;9.296;-102.133;-7.512
164.000;6.560;0.002;7.167;-0.207;-0.022;13.915;-0.413;-0.099;25.853;-0.793;-0.462;41.729;-1.603;-0.502;46.023;1.500;-0.039;52.466;2.799;-6.843;56.536;4.076;6.832;56.598;2.353;-2.354;58.796;10.978;4.176;58.826;10.156;-1.881;36.490;-2.958;-16.010;34.453;-1.482;-21.245;21.407;-2.555;-27.032;6.987;-3.741;-22.375;5.275;8.220;-17.059;3.254;22.333;-17.911;1.741;22.958;-15.270;-1.792;29.005;-14.014;-2.278;31.002;-11.469;-2.719;31.432;-9.856;-2.389;31.144;-17.784;2.552;23.162;-15.888;0.450;30.046;-13.451;-0.685;33.203;-11.041;-1.294;34.863;-9.350;-1.893;35.844;-16.936;3.694;22.911;-15.118;2.957;30.743;-12.701;2.268;33.941;-10.421;1.815;36.377;-9.121;1.409;38.061;-16.929;4.767;22.879;-14.473;5.235;30.533;-12.355;4.717;33.711;-10.764;4.233;35.970;-9.619;3.575;37.557;-15.583;5.086;24.503;-13.834;7.747;26.413;-11.877;8.686;28.204;-11.912;11.383;28.933;1.342;36.571;-2.803;15.486;34.081;-0.613;21.160;20.588;-1.606;27.432;5.675;-2.704;22.143;4.511;8.929;16.147;2.832;23.204;16.377;1.180;24.327;14.549;-0.915;30.535;13.514;-2.227;32.973;12.207;-3.190;34.756;11.182;-3.857;35.945;16.208;2.075;24.409;14.838;1.606;30.897;13.064;0.810;34.858;10.956;0.105;37.344;9.506;-0.270;38.812;15.322;3.042;24.411;14.268;3.930;31.466;12.669;3.456;35.834;10.668;2.983;38.089;9.066;2.753;39.558;15.101;3.905;24.180;13.282;6.226;30.972;11.437;6.528;34.396;9.824;6.185;36.413;8.291;5.838;37.993;14.343;4.740;24.545;13.212;8.103;25.931;12.135;9.700;28.607;11.137;12.258;28.793;0.000;0.000;0.000;-7.557;-12.272;-0.944;-9.342;-33.157;-0.088;-11.437;-57.674;0.917;-9.616;-101.892;-6.753;7.649;-12.333;-1.338;9.079;-33.257;-0.053;10.758;-57.820;1.456;9.282;-102.135;-7.482
165.000;6.600;0.006;7.166;-0.212;-0.013;13.912;-0.424;-0.077;25.847;-0.815;-0.435;41.722;-1.633;-0.474;46.019;1.477;-0.004;52.461;2.791;-6.798;56.540;4.085;6.873;56.582;2.337;-2.293;58.784;10.982;4.235;58.805;10.147;-1.854;36.483;-2.986;-15.983;34.461;-1.522;-21.215;21.417;-2.594;-26.998;7.001;-3.780;-22.372;5.459;8.207;-17.075;3.648;22.354;-17.920;2.107;22.957;-15.517;-1.429;29.082;-14.363;-1.977;31.143;-11.798;-2.217;30.965;-10.547;-1.655;30.009;-17.753;2.916;23.144;-16.041;0.902;30.102;-13.565;-0.235;33.231;-10.934;-0.820;34.499;-9.047;-1.367;35.067;-16.937;4.128;22.926;-15.210;3.387;30.763;-12.789;2.598;33.935;-10.548;2.125;36.400;-9.267;1.707;38.095;-16.918;5.190;22.889;-14.536;5.655;30.553;-12.432;5.140;33.768;-10.910;4.661;36.058;-9.825;4.006;37.688;-15.593;5.495;24.521;-13.545;8.049;26.362;-11.494;8.907;28.075;-11.302;11.645;28.600;1.369;36.564;-2.830;15.506;34.076;-0.636;21.222;20.590;-1.588;27.540;5.684;-2.641;22.185;4.359;8.965;16.115;2.502;23.216;16.380;0.846;24.329;14.577;-1.347;30.493;13.510;-2.686;32.897;12.113;-3.703;34.606;11.050;-4.405;35.740;16.172;1.733;24.408;14.774;1.205;30.888;12.808;0.299;34.739;10.497;-0.553;36.992;8.916;-0.991;38.299;15.263;2.658;24.425;14.077;3.486;31.445;12.273;2.863;35.709;10.099;2.252;37.765;8.343;1.916;39.023;15.006;3.511;24.191;12.987;5.765;30.925;11.048;5.897;34.297;9.342;5.457;36.215;7.758;4.938;37.694;14.200;4.306;24.539;12.861;7.604;25.910;11.666;9.101;28.592;10.482;11.575;28.816;0.000;0.000;0.000;-7.559;-12.271;-0.940;-9.347;-33.156;-0.076;-11.446;-57.674;0.939;-9.620;-101.895;-6.718;7.647;-12.336;-1.325;9.077;-33.257;-0.030;10.756;-57.817;1.490;9.290;-102.138;-7.437
