Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1840.000;73.600;0.027;7.243;-0.224;-0.050;14.064;-0.306;-0.316;26.136;-0.287;-0.840;42.019;-0.812;-1.030;46.242;2.282;-0.861;52.685;3.507;-7.820;56.609;4.319;5.940;56.954;3.598;-3.891;58.888;11.549;2.679;59.053;11.205;-2.185;36.791;-2.280;-16.210;34.657;-1.204;-21.252;21.566;-2.439;-26.825;7.098;-3.804;-22.791;7.417;8.277;-18.230;7.744;22.535;-18.574;6.159;23.235;-15.411;3.448;29.461;-14.717;2.765;31.723;-14.203;1.583;33.946;-13.852;1.182;35.531;-18.628;6.988;23.395;-16.041;5.752;30.369;-14.615;5.693;34.158;-14.198;5.620;37.071;-13.931;5.511;39.095;-18.207;8.213;23.086;-15.842;8.308;31.101;-14.730;8.153;34.965;-14.026;8.253;38.280;-13.854;8.194;40.438;-18.390;9.294;23.005;-15.718;10.621;30.717;-14.125;10.910;34.249;-13.182;11.069;36.858;-12.419;10.962;38.774;-17.084;9.976;24.554;-16.411;13.015;26.577;-15.266;14.433;28.420;-15.763;17.067;29.207;1.035;36.904;-2.083;15.154;34.779;0.245;20.932;21.405;-1.041;27.318;6.624;-2.463;22.588;6.764;9.402;17.098;6.618;23.958;17.073;5.050;24.928;16.668;2.274;30.918;17.111;0.536;33.171;17.326;-0.855;35.134;17.302;-1.830;36.533;17.234;5.914;25.179;17.203;4.541;31.530;17.569;3.447;35.687;18.384;2.572;38.763;18.855;2.137;40.760;16.644;6.874;25.251;17.496;6.702;32.459;18.697;6.238;36.853;19.605;5.844;39.706;20.213;5.700;41.800;16.642;7.791;25.172;17.039;9.238;32.760;17.786;9.607;36.533;18.720;9.673;38.980;19.445;9.717;41.087;16.109;8.663;25.873;16.462;11.621;28.426;17.097;12.808;31.343;17.322;15.435;32.128;0.000;0.000;0.000;-7.641;-12.224;-0.889;-9.894;-32.967;0.322;-12.538;-57.318;1.744;-11.360;-101.563;-6.046;7.567;-12.405;-1.132;9.341;-33.100;0.356;11.424;-57.394;2.102;10.660;-101.874;-6.833
1841.000;73.640;0.027;7.240;-0.222;-0.049;14.058;-0.307;-0.312;26.125;-0.301;-0.828;42.009;-0.831;-1.011;46.237;2.264;-0.837;52.688;3.486;-7.787;56.623;4.316;5.971;56.946;3.550;-3.832;58.903;11.531;2.738;59.058;11.165;-2.178;36.781;-2.295;-16.203;34.660;-1.202;-21.263;21.576;-2.422;-26.857;7.115;-3.770;-22.822;7.470;8.307;-18.253;7.845;22.563;-18.636;6.292;23.289;-15.439;3.563;29.506;-14.693;2.893;31.767;-14.098;1.723;33.975;-13.706;1.314;35.549;-18.712;7.118;23.456;-16.102;5.875;30.410;-14.706;5.755;34.203;-14.254;5.669;37.116;-13.942;5.540;39.133;-18.230;8.303;23.119;-15.936;8.450;31.123;-14.807;8.328;34.981;-14.064;8.464;38.297;-13.871;8.432;40.454;-18.405;9.381;23.026;-15.797;10.732;30.751;-14.243;11.027;34.279;-13.263;11.190;36.923;-12.635;11.016;38.883;-17.114;10.087;24.610;-16.447;13.121;26.587;-15.283;14.543;28.437;-15.765;17.179;29.227;1.042;36.892;-2.103;15.160;34.761;0.202;20.938;21.385;-1.084;27.325;6.601;-2.506;22.616;6.765;9.368;17.150;6.656;23.937;17.105;5.052;24.896;16.696;2.327;30.921;17.050;0.571;33.178;17.143;-0.833;35.135;17.036;-1.803;36.534;17.247;5.921;25.140;17.260;4.601;31.514;17.558;3.471;35.671;18.258;2.554;38.765;18.661;2.089;40.770;16.690;6.929;25.231;17.576;6.789;32.434;18.764;6.269;36.836;19.581;5.821;39.702;20.114;5.656;41.815;16.693;7.846;25.150;17.119;9.284;32.716;17.883;9.616;36.504;18.746;9.645;38.967;19.406;9.673;41.096;16.164;8.693;25.830;16.464;11.668;28.395;17.049;12.906;31.314;17.246;15.553;32.041;0.000;0.000;0.000;-7.642;-12.224;-0.889;-9.890;-32.971;0.306;-12.529;-57.327;1.710;-11.349;-101.560;-6.111;7.566;-12.403;-1.148;9.345;-33.097;0.318;11.434;-57.390;2.039;10.677;-101.868;-6.899
1842.000;73.680;0.027;7.238;-0.218;-0.047;14.054;-0.304;-0.304;26.117;-0.306;-0.816;42.001;-0.833;-0.993;46.233;2.265;-0.815;52.690;3.484;-7.762;56.630;4.323;5.994;56.945;3.525;-3.789;58.922;11.525;2.780;59.072;11.144;-2.170;36.774;-2.296;-16.191;34.658;-1.187;-21.265;21.576;-2.391;-26.874;7.118;-3.722;-22.844;7.543;8.350;-18.283;8.000;22.602;-18.654;6.437;23.329;-15.350;3.800;29.578;-14.502;3.138;31.768;-13.543;2.059;33.907;-12.878;1.752;35.411;-18.731;7.263;23.491;-16.119;6.068;30.453;-14.678;5.865;34.240;-14.005;5.737;37.115;-13.538;5.584;39.101;-18.268;8.452;23.151;-15.975;8.649;31.139;-14.733;8.629;34.979;-13.876;8.860;38.260;-13.612;8.865;40.409;-18.446;9.528;23.051;-15.839;10.956;30.747;-14.276;11.220;34.292;-13.268;11.401;36.918;-12.620;11.228;38.871;-17.147;10.254;24.631;-16.429;13.298;26.586;-15.218;14.715;28.411;-15.645;17.343;29.259;1.051;36.884;-2.108;15.172;34.745;0.174;20.951;21.371;-1.131;27.338;6.588;-2.573;22.654;6.769;9.318;17.233;6.684;23.902;17.216;5.106;24.890;16.771;2.397;30.942;16.988;0.646;33.217;16.908;-0.738;35.206;16.688;-1.693;36.602;17.363;5.975;25.130;17.360;4.724;31.518;17.555;3.538;35.664;18.045;2.573;38.787;18.318;2.115;40.815;16.733;6.998;25.202;17.663;6.907;32.409;18.715;6.282;36.847;19.356;5.806;39.741;19.727;5.629;41.887;16.745;7.914;25.112;17.216;9.400;32.638;18.018;9.619;36.407;18.747;9.545;38.900;19.220;9.486;41.077;16.219;8.703;25.794;16.341;11.691;28.357;16.818;13.113;31.177;16.722;15.792;31.799;0.000;0.000;0.000;-7.643;-12.223;-0.888;-9.881;-32.971;0.290;-12.508;-57.326;1.674;-11.321;-101.559;-6.173;7.565;-12.402;-1.169;9.354;-33.098;0.276;11.453;-57.394;1.973;10.698;-101.874;-6.961
1843.000;73.720;0.027;7.236;-0.214;-0.045;14.050;-0.303;-0.295;26.109;-0.315;-0.795;41.993;-0.832;-0.963;46.226;2.269;-0.778;52.688;3.488;-7.717;56.638;4.337;6.038;56.935;3.509;-3.726;58.934;11.527;2.843;59.075;11.132;-2.155;36.768;-2.296;-16.177;34.664;-1.169;-21.260;21.584;-2.363;-26.879;7.128;-3.681;-22.876;7.669;8.389;-18.350;8.269;22.647;-18.698;6.685;23.377;-15.190;4.117;29.574;-14.204;3.642;31.711;-12.277;3.049;33.385;-10.989;3.056;34.451;-18.771;7.512;23.539;-16.144;6.324;30.481;-14.445;5.940;34.185;-12.986;5.832;36.752;-11.839;5.682;38.438;-18.346;8.710;23.204;-15.953;8.921;31.140;-14.539;8.956;34.952;-13.549;9.182;38.169;-13.175;9.216;40.302;-18.532;9.783;23.104;-15.850;11.223;30.768;-14.241;11.486;34.290;-13.227;11.625;36.903;-12.510;11.449;38.831;-17.208;10.528;24.659;-16.285;13.592;26.558;-14.769;14.839;28.377;-14.796;17.420;29.448;1.066;36.876;-2.113;15.188;34.711;0.140;20.969;21.348;-1.173;27.358;6.579;-2.626;22.704;6.770;9.294;17.341;6.723;23.910;17.352;5.088;24.915;16.930;2.679;31.121;16.841;1.056;33.536;16.383;-0.207;35.561;15.911;-1.059;36.962;17.459;5.974;25.109;17.620;5.072;31.578;17.471;3.923;35.757;17.409;3.050;38.950;17.294;2.621;41.000;16.823;7.065;25.218;17.824;7.285;32.390;18.512;6.655;36.896;18.437;6.195;39.883;18.290;6.010;42.056;16.823;7.976;25.087;17.366;9.755;32.458;18.077;9.833;36.226;18.463;9.567;38.837;18.741;9.413;41.043;16.301;8.700;25.795;15.499;11.720;28.316;15.069;13.240;31.099;14.112;15.774;31.583;0.000;0.000;0.000;-7.641;-12.224;-0.888;-9.873;-32.970;0.270;-12.493;-57.325;1.629;-11.310;-101.558;-6.240;7.566;-12.400;-1.190;9.361;-33.096;0.235;11.468;-57.392;1.907;10.710;-101.870;-7.029
1844.000;73.760;0.027;7.230;-0.212;-0.045;14.038;-0.302;-0.294;26.088;-0.322;-0.779;41.973;-0.834;-0.932;46.211;2.271;-0.732;52.682;3.488;-7.666;56.637;4.356;6.086;56.923;3.498;-3.657;58.923;11.539;2.910;59.060;11.129;-2.149;36.749;-2.295;-16.173;34.673;-1.126;-21.287;21.609;-2.280;-26.939;7.170;-3.556;-22.972;7.921;8.510;-18.494;8.770;22.784;-18.728;7.086;23.498;-14.777;4.722;29.451;-13.353;4.440;31.373;-10.870;4.975;31.193;-9.696;5.875;30.415;-18.811;7.913;23.656;-15.885;6.792;30.511;-13.220;6.595;33.636;-10.410;6.950;34.680;-8.398;7.093;35.017;-18.497;9.239;23.316;-15.856;9.452;31.176;-14.219;9.493;34.849;-12.836;9.745;37.913;-12.098;9.788;39.949;-18.776;10.277;23.261;-15.931;11.729;30.832;-14.186;11.939;34.308;-13.111;12.034;36.875;-12.248;11.881;38.744;-17.324;11.074;24.825;-15.949;14.061;26.527;-13.791;14.775;28.197;-12.628;16.866;29.641;1.072;36.853;-2.122;15.196;34.664;0.080;21.060;21.343;-1.118;27.542;6.620;-2.441;22.807;6.792;9.467;17.377;6.790;24.063;17.646;5.212;25.226;17.302;3.690;31.760;16.854;2.593;34.444;16.007;1.861;36.614;15.257;1.344;38.056;17.675;6.122;25.301;18.038;6.113;31.824;17.587;5.616;36.143;16.468;5.259;39.248;15.622;5.182;41.166;16.800;7.327;25.346;18.068;8.431;32.345;18.503;8.189;36.942;17.277;7.987;39.745;16.028;7.959;41.539;16.738;8.214;25.108;17.346;10.796;32.013;17.854;11.176;35.773;17.512;11.088;38.352;16.854;11.060;40.482;16.172;8.782;25.890;13.779;11.327;27.825;12.191;12.324;30.373;9.945;13.885;30.670;0.000;0.000;0.000;-7.644;-12.223;-0.883;-9.865;-32.970;0.256;-12.471;-57.325;1.593;-11.290;-101.559;-6.293;7.563;-12.400;-1.211;9.367;-33.096;0.192;11.485;-57.391;1.839;10.731;-101.870;-7.084
1845.000;73.800;0.023;7.225;-0.209;-0.050;14.028;-0.302;-0.301;26.069;-0.337;-0.779;41.954;-0.826;-0.908;46.195;2.286;-0.674;52.676;3.506;-7.598;56.640;4.409;6.152;56.906;3.494;-3.556;58.908;11.580;3.010;59.035;11.143;-2.160;36.734;-2.287;-16.167;34.712;-1.045;-21.470;21.705;-1.951;-27.332;7.328;-2.953;-23.190;8.499;9.037;-18.493;9.835;23.260;-18.453;8.010;23.951;-13.772;6.305;29.360;-11.681;6.607;30.457;-10.379;8.050;28.783;-10.688;9.014;27.452;-18.579;8.835;24.091;-15.123;8.122;30.743;-11.151;8.743;31.940;-8.833;9.757;30.352;-7.869;10.197;28.603;-18.528;10.220;23.808;-15.552;10.680;31.393;-13.143;10.965;34.682;-11.166;11.381;37.416;-9.998;11.508;39.235;-18.898;11.205;23.768;-15.875;13.011;31.090;-13.753;13.350;34.316;-12.387;13.458;36.772;-11.256;13.350;38.496;-17.411;12.261;25.245;-15.827;15.227;26.641;-13.175;15.591;28.080;-10.905;16.509;29.426;1.063;36.836;-2.130;15.184;34.630;0.020;21.325;21.373;-0.731;28.112;6.721;-1.562;23.077;7.041;10.219;17.331;7.323;24.647;17.988;5.935;26.117;17.922;6.124;32.880;17.677;5.990;35.831;16.700;5.905;38.075;15.840;5.789;39.544;17.770;6.811;25.970;18.166;8.493;32.277;18.032;9.475;36.544;16.245;9.648;39.427;14.818;9.790;40.957;16.703;7.934;25.836;17.636;10.857;32.267;18.033;12.005;36.762;16.164;12.052;39.255;14.273;11.886;40.338;16.427;8.696;25.398;16.446;12.688;31.384;16.353;13.932;35.060;15.371;14.074;37.456;14.029;14.060;39.236;15.666;9.102;26.196;12.568;10.825;27.803;10.575;11.649;30.276;7.841;11.945;30.173;0.000;0.000;0.000;-7.642;-12.225;-0.872;-9.847;-32.973;0.261;-12.436;-57.330;1.591;-11.254;-101.561;-6.319;7.564;-12.396;-1.240;9.382;-33.094;0.158;11.515;-57.391;1.799;10.762;-101.869;-7.106
1846.000;73.840;0.020;7.217;-0.213;-0.055;14.014;-0.309;-0.306;26.042;-0.347;-0.766;41.928;-0.854;-0.869;46.182;2.284;-0.611;52.666;3.555;-7.530;56.634;4.490;6.217;56.892;3.535;-3.464;58.879;11.654;3.101;59.002;11.198;-2.162;36.708;-2.300;-16.137;34.785;-0.943;-21.844;21.843;-1.147;-28.151;7.538;-1.374;-23.531;9.572;10.334;-18.205;11.916;24.287;-17.752;10.240;24.959;-12.647;9.018;29.455;-10.441;10.238;29.344;-10.926;11.694;27.284;-12.239;12.194;26.377;-17.975;11.033;25.156;-13.866;10.660;31.181;-9.921;12.136;30.454;-9.629;13.392;27.668;-9.777;14.001;25.721;-18.262;12.308;24.873;-14.485;13.204;31.880;-11.198;13.869;34.144;-8.571;14.580;36.144;-6.786;15.026;37.287;-18.779;13.222;24.901;-15.170;15.445;31.735;-12.262;15.949;34.215;-10.279;16.201;36.204;-8.724;16.174;37.561;-17.308;14.521;26.112;-16.121;17.661;27.459;-13.390;18.476;28.641;-10.752;18.643;29.547;1.062;36.805;-2.161;15.177;34.628;-0.043;21.712;21.481;0.133;28.936;6.950;0.327;23.537;7.894;11.882;17.386;9.027;26.031;18.409;8.104;27.796;17.925;10.094;34.246;17.571;11.158;37.017;16.327;11.637;39.079;15.218;11.808;40.364;17.981;8.820;27.421;17.560;12.197;33.061;16.994;14.340;36.864;14.760;14.722;39.380;13.046;14.696;40.588;16.757;9.634;27.217;16.563;14.179;32.516;16.330;16.567;36.578;14.177;16.649;38.874;12.219;16.096;39.673;16.259;10.128;26.621;15.060;15.344;31.311;14.468;17.356;34.573;13.167;17.585;36.845;11.637;17.485;38.462;15.327;10.538;27.255;11.884;11.494;28.646;9.542;12.110;30.753;6.891;11.382;30.639;0.000;0.000;0.000;-7.639;-12.229;-0.838;-9.830;-32.978;0.318;-12.401;-57.335;1.675;-11.223;-101.566;-6.250;7.566;-12.393;-1.259;9.398;-33.091;0.154;11.548;-57.387;1.812;10.786;-101.877;-7.044
1847.000;73.880;0.018;7.211;-0.218;-0.056;14.002;-0.323;-0.301;26.020;-0.380;-0.727;41.904;-0.983;-0.806;46.186;2.171;-0.533;52.673;3.497;-7.447;56.632;4.497;6.297;56.895;3.504;-3.359;58.793;11.675;3.205;58.919;11.200;-2.143;36.677;-2.389;-16.086;34.911;-0.884;-22.234;22.098;0.136;-29.029;7.937;1.264;-23.737;11.192;12.376;-17.566;14.960;25.684;-16.774;13.523;26.326;-11.153;13.041;29.583;-9.502;14.656;28.571;-11.034;15.843;26.862;-12.671;16.026;26.576;-17.075;14.267;26.594;-12.069;14.620;31.446;-9.110;16.659;29.295;-10.640;17.353;26.657;-11.945;17.444;25.085;-17.572;15.356;26.304;-12.739;17.055;32.262;-9.043;18.281;33.198;-6.084;19.458;34.390;-4.139;20.183;35.010;-18.180;16.203;26.408;-13.733;19.175;32.321;-10.213;20.094;33.735;-7.784;20.695;35.008;-5.932;20.872;35.903;-16.851;17.724;27.232;-16.107;21.098;28.547;-13.472;22.552;29.318;-10.744;22.943;29.778;1.082;36.768;-2.269;15.172;34.654;-0.125;22.167;21.762;1.467;29.899;7.512;3.227;23.931;9.431;14.340;17.117;11.826;27.935;18.206;11.448;29.903;17.022;14.668;35.700;16.211;16.300;38.098;14.695;17.096;39.886;13.506;17.426;41.064;17.688;11.981;29.371;16.346;16.338;34.152;15.189;19.147;37.313;12.815;19.722;39.670;11.142;19.786;40.934;16.370;12.530;29.049;15.022;17.921;33.202;14.175;21.074;36.558;11.997;21.376;38.806;10.122;20.805;39.773;15.819;12.770;28.350;13.487;18.542;31.770;12.440;21.130;34.451;11.050;21.698;36.598;9.476;21.683;38.177;14.813;13.234;28.788;11.193;13.645;30.017;8.715;14.123;31.787;6.249;12.907;31.898;0.000;0.000;0.000;-7.637;-12.233;-0.800;-9.814;-32.987;0.379;-12.370;-57.350;1.763;-11.199;-101.579;-6.173;7.566;-12.391;-1.283;9.412;-33.088;0.146;11.579;-57.385;1.823;10.811;-101.891;-6.947
1848.000;73.920;0.016;7.204;-0.227;-0.052;13.989;-0.346;-0.279;25.996;-0.437;-0.657;41.875;-1.191;-0.715;46.194;1.955;-0.435;52.685;3.293;-7.340;56.633;4.390;6.401;56.898;3.360;-3.228;58.651;11.595;3.334;58.777;11.104;-2.096;36.640;-2.540;-16.007;35.098;-0.871;-22.473;22.551;1.775;-29.620;8.683;4.699;-23.593;13.288;14.870;-16.528;18.663;27.103;-15.475;17.344;27.641;-9.405;17.533;29.606;-8.419;19.076;28.122;-10.392;19.970;26.720;-12.061;19.877;26.673;-15.772;18.084;27.922;-9.965;19.113;31.609;-7.926;21.210;28.565;-10.333;21.438;26.623;-12.068;21.191;25.570;-16.442;19.038;27.741;-10.689;21.613;32.417;-7.012;23.164;32.328;-3.990;24.576;32.843;-2.013;25.445;33.008;-17.076;19.839;27.902;-11.786;23.633;32.566;-8.101;24.862;33.045;-5.498;25.624;33.705;-3.518;25.987;34.160;-15.804;21.632;28.329;-15.225;25.110;29.454;-12.683;26.942;29.749;-9.906;26.848;29.449;1.129;36.721;-2.436;15.171;34.641;-0.156;22.564;22.226;3.134;30.735;8.506;6.771;24.112;11.487;17.242;16.517;15.237;30.033;17.535;15.308;32.134;15.635;19.364;37.137;14.476;21.386;39.036;12.831;22.440;40.579;11.578;22.954;41.617;16.972;15.649;31.499;14.801;20.617;35.277;13.177;23.798;37.813;10.724;24.799;39.892;8.988;25.066;41.038;15.757;16.049;31.159;13.384;21.826;34.022;12.026;25.522;36.570;9.726;26.218;38.608;7.897;25.951;39.774;15.179;16.030;30.442;11.846;21.966;32.447;10.511;24.931;34.582;8.976;25.883;36.529;7.392;26.143;38.075;14.003;16.405;30.624;10.293;16.562;31.672;7.677;16.904;33.272;5.473;15.276;33.520;0.000;0.000;0.000;-7.633;-12.238;-0.763;-9.792;-32.992;0.438;-12.326;-57.355;1.847;-11.153;-101.592;-6.051;7.568;-12.387;-1.298;9.430;-33.083;0.142;11.615;-57.378;1.833;10.857;-101.908;-6.832
