Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3776.000;151.040;0.082;7.205;-0.228;0.103;13.991;-0.396;0.068;25.998;-0.635;0.024;41.883;-1.332;-0.128;46.211;1.797;0.011;52.747;3.060;-6.965;56.638;3.877;6.803;57.018;3.377;-3.151;58.714;11.228;3.423;58.895;10.990;-1.469;36.683;-2.753;-15.450;35.241;-1.975;-20.725;22.399;-3.369;-26.554;8.205;-4.909;-22.386;5.883;7.194;-17.697;3.101;21.403;-17.934;1.338;21.975;-15.268;-1.215;28.526;-14.596;-1.337;30.879;-14.007;-1.935;33.333;-13.609;-1.934;34.957;-18.065;2.155;22.154;-16.429;0.966;29.342;-15.027;1.203;33.196;-13.964;1.487;35.938;-13.194;1.634;37.826;-17.621;3.545;21.960;-16.583;3.370;30.040;-15.005;3.353;33.795;-13.375;3.659;36.714;-12.455;3.701;38.674;-17.961;4.564;21.884;-16.628;5.749;29.728;-14.820;6.061;33.196;-13.741;6.201;35.729;-12.779;6.065;37.551;-17.016;5.201;23.629;-16.826;8.262;25.500;-15.438;9.397;27.451;-15.704;11.748;28.937;1.752;36.701;-2.537;15.787;34.175;-0.179;21.288;20.790;-1.646;27.368;5.997;-3.268;21.774;6.204;8.220;15.330;6.119;22.325;15.026;4.547;23.457;12.871;2.980;29.683;12.042;1.946;32.313;11.048;1.253;34.462;10.301;0.715;35.897;15.119;5.450;23.568;13.589;5.314;29.995;12.263;5.091;34.153;10.932;4.948;37.193;10.047;4.938;39.094;14.581;6.581;23.447;13.684;7.560;30.597;12.828;7.775;35.144;11.690;7.764;37.940;10.768;7.981;39.910;14.635;7.476;23.234;13.370;10.150;30.172;12.195;11.089;33.744;10.941;11.341;36.059;9.755;11.612;37.926;14.126;8.456;23.750;13.985;11.925;25.244;13.192;13.689;27.928;12.982;16.398;28.359;0.000;0.000;0.000;-7.687;-12.184;-1.029;-10.579;-32.868;-0.088;-13.975;-57.148;1.016;-14.407;-101.337;-7.487;7.522;-12.435;-1.096;9.450;-33.060;-0.053;11.712;-57.271;1.171;11.558;-101.630;-8.163
3777.000;151.080;0.082;7.209;-0.230;0.103;13.998;-0.397;0.068;26.011;-0.632;0.015;41.896;-1.333;-0.142;46.219;1.793;-0.015;52.748;3.054;-6.995;56.632;3.871;6.772;57.028;3.373;-3.185;58.711;11.223;3.390;58.900;10.985;-1.475;36.694;-2.752;-15.459;35.237;-1.967;-20.723;22.390;-3.351;-26.542;8.190;-4.881;-22.348;5.887;7.219;-17.628;3.126;21.425;-17.875;1.377;22.003;-15.185;-1.168;28.541;-14.494;-1.283;30.887;-13.867;-1.865;33.342;-13.447;-1.857;34.961;-18.014;2.192;22.185;-16.355;0.996;29.363;-14.926;1.251;33.204;-13.864;1.546;35.948;-13.090;1.710;37.834;-17.550;3.589;21.979;-16.486;3.402;30.058;-14.928;3.379;33.812;-13.281;3.681;36.722;-12.361;3.739;38.681;-17.904;4.599;21.906;-16.539;5.780;29.745;-14.732;6.078;33.200;-13.644;6.229;35.727;-12.673;6.090;37.544;-16.938;5.225;23.650;-16.761;8.272;25.518;-15.384;9.405;27.488;-15.661;11.756;28.974;1.746;36.714;-2.537;15.782;34.199;-0.173;21.300;20.819;-1.635;27.398;6.031;-3.252;21.763;6.231;8.213;15.271;6.136;22.290;14.969;4.565;23.422;12.744;2.988;29.630;11.898;1.942;32.238;10.869;1.231;34.366;10.093;0.685;35.784;15.064;5.467;23.537;13.456;5.324;29.957;12.110;5.074;34.100;10.740;4.913;37.126;9.845;4.895;39.023;14.504;6.622;23.403;13.558;7.569;30.561;12.661;7.744;35.102;11.474;7.717;37.880;10.543;7.938;39.845;14.571;7.516;23.194;13.258;10.147;30.139;12.032;11.049;33.734;10.813;11.314;36.024;9.611;11.557;37.885;14.038;8.465;23.677;13.886;11.940;25.209;13.054;13.698;27.898;12.813;16.408;28.309;0.000;0.000;0.000;-7.687;-12.185;-1.025;-10.580;-32.867;-0.075;-13.977;-57.145;1.040;-14.410;-101.336;-7.452;7.522;-12.436;-1.091;9.449;-33.059;-0.041;11.711;-57.270;1.192;11.554;-101.626;-8.141
3778.000;151.120;0.082;7.210;-0.231;0.103;14.001;-0.399;0.067;26.016;-0.634;0.009;41.901;-1.343;-0.151;46.221;1.777;-0.034;52.743;3.033;-7.019;56.618;3.852;6.748;57.029;3.354;-3.211;58.697;11.206;3.364;58.893;10.968;-1.480;36.698;-2.760;-15.466;35.240;-1.971;-20.725;22.389;-3.346;-26.538;8.186;-4.865;-22.330;5.900;7.235;-17.592;3.161;21.441;-17.833;1.415;22.026;-15.131;-1.114;28.554;-14.430;-1.207;30.899;-13.806;-1.756;33.359;-13.369;-1.730;34.973;-17.970;2.230;22.207;-16.303;1.038;29.380;-14.874;1.289;33.220;-13.825;1.597;35.953;-13.004;1.738;37.821;-17.524;3.628;21.990;-16.437;3.445;30.070;-14.846;3.456;33.812;-13.237;3.733;36.716;-12.274;3.797;38.655;-17.871;4.638;21.918;-16.488;5.824;29.757;-14.666;6.129;33.202;-13.556;6.301;35.719;-12.583;6.150;37.534;-16.879;5.269;23.664;-16.722;8.309;25.531;-15.334;9.440;27.523;-15.626;11.798;28.993;1.741;36.719;-2.545;15.779;34.214;-0.178;21.301;20.835;-1.636;27.405;6.047;-3.247;21.746;6.259;8.205;15.223;6.175;22.269;14.904;4.593;23.388;12.611;3.045;29.600;11.752;2.000;32.190;10.701;1.288;34.307;9.914;0.758;35.725;15.001;5.495;23.500;13.360;5.379;29.923;11.981;5.138;34.056;10.590;4.968;37.069;9.678;4.969;38.958;14.449;6.675;23.373;13.482;7.624;30.531;12.520;7.817;35.058;11.315;7.776;37.826;10.355;7.996;39.777;14.526;7.569;23.166;13.180;10.202;30.114;11.965;11.097;33.689;10.733;11.348;35.983;9.524;11.614;37.836;13.981;8.510;23.637;13.852;11.987;25.170;13.018;13.740;27.845;12.815;16.446;28.302;0.000;0.000;0.000;-7.687;-12.185;-1.023;-10.589;-32.871;-0.064;-13.995;-57.154;1.061;-14.439;-101.338;-7.434;7.522;-12.436;-1.090;9.450;-33.061;-0.036;11.713;-57.272;1.200;11.556;-101.633;-8.137
3779.000;151.160;0.082;7.213;-0.234;0.099;14.005;-0.403;0.050;26.025;-0.639;-0.013;41.908;-1.368;-0.174;46.229;1.747;-0.062;52.744;3.003;-7.051;56.612;3.821;6.716;57.039;3.322;-3.245;58.697;11.174;3.330;58.901;10.936;-1.499;36.703;-2.778;-15.482;35.241;-1.983;-20.736;22.387;-3.340;-26.544;8.179;-4.839;-22.328;5.926;7.261;-17.581;3.229;21.471;-17.813;1.474;22.051;-15.118;-1.031;28.584;-14.410;-1.113;30.939;-13.776;-1.667;33.391;-13.348;-1.634;35.007;-17.947;2.290;22.229;-16.296;1.118;29.404;-14.877;1.368;33.242;-13.795;1.684;35.980;-12.980;1.850;37.848;-17.516;3.675;22.021;-16.426;3.533;30.097;-14.856;3.513;33.846;-13.189;3.863;36.760;-12.310;3.904;38.739;-17.854;4.688;21.944;-16.474;5.915;29.770;-14.646;6.209;33.220;-13.527;6.382;35.745;-12.572;6.260;37.571;-16.881;5.335;23.677;-16.704;8.386;25.553;-15.313;9.521;27.520;-15.584;11.876;29.001;1.721;36.726;-2.563;15.764;34.230;-0.196;21.287;20.847;-1.632;27.391;6.054;-3.221;21.719;6.292;8.226;15.182;6.241;22.282;14.852;4.672;23.411;12.543;3.116;29.610;11.673;2.079;32.200;10.622;1.382;34.315;9.823;0.853;35.727;14.960;5.573;23.525;13.299;5.449;29.932;11.911;5.216;34.066;10.515;5.062;37.074;9.606;5.068;38.965;14.402;6.742;23.387;13.422;7.700;30.542;12.452;7.890;35.063;11.240;7.864;37.823;10.263;8.088;39.765;14.480;7.636;23.181;13.151;10.282;30.113;11.903;11.166;33.694;10.661;11.420;35.972;9.438;11.690;37.815;13.952;8.583;23.655;13.827;12.057;25.176;12.960;13.825;27.859;12.789;16.539;28.283;0.000;0.000;0.000;-7.687;-12.185;-1.019;-10.585;-32.870;-0.056;-13.987;-57.152;1.075;-14.422;-101.342;-7.401;7.522;-12.436;-1.081;9.450;-33.059;-0.025;11.713;-57.269;1.214;11.559;-101.626;-8.117
3780.000;151.200;0.081;7.213;-0.236;0.096;14.006;-0.406;0.042;26.027;-0.642;-0.023;41.910;-1.387;-0.185;46.231;1.723;-0.075;52.744;2.975;-7.062;56.614;3.800;6.704;57.036;3.284;-3.246;58.700;11.147;3.328;58.901;10.901;-1.510;36.703;-2.791;-15.496;35.241;-1.982;-20.756;22.385;-3.323;-26.570;8.176;-4.805;-22.340;5.958;7.294;-17.577;3.302;21.501;-17.826;1.549;22.084;-15.090;-0.947;28.636;-14.396;-1.036;30.974;-13.745;-1.589;33.428;-13.308;-1.553;35.042;-17.966;2.365;22.259;-16.286;1.209;29.447;-14.855;1.472;33.277;-13.757;1.797;36.013;-12.965;1.962;37.892;-17.508;3.772;22.047;-16.416;3.650;30.130;-14.904;3.647;33.889;-13.196;3.981;36.803;-12.320;4.026;38.783;-17.857;4.784;21.971;-16.462;6.000;29.804;-14.641;6.301;33.254;-13.543;6.471;35.772;-12.548;6.360;37.578;-16.904;5.405;23.707;-16.677;8.469;25.570;-15.304;9.595;27.557;-15.539;11.972;29.007;1.711;36.726;-2.577;15.760;34.238;-0.213;21.276;20.848;-1.624;27.373;6.047;-3.183;21.713;6.309;8.267;15.183;6.287;22.328;14.853;4.708;23.453;12.542;3.175;29.662;11.677;2.152;32.250;10.620;1.453;34.368;9.796;0.939;35.771;14.960;5.609;23.563;13.317;5.519;29.983;11.907;5.290;34.113;10.505;5.147;37.119;9.598;5.133;39.010;14.417;6.813;23.427;13.436;7.755;30.595;12.454;7.963;35.107;11.218;7.935;37.857;10.230;8.176;39.791;14.504;7.706;23.222;13.153;10.352;30.173;11.923;11.229;33.734;10.668;11.491;36.007;9.453;11.769;37.855;13.967;8.637;23.700;13.866;12.115;25.223;12.997;13.888;27.902;12.835;16.604;28.314;0.000;0.000;0.000;-7.686;-12.186;-1.015;-10.589;-32.868;-0.047;-13.996;-57.147;1.090;-14.435;-101.343;-7.387;7.523;-12.437;-1.074;9.445;-33.060;-0.011;11.701;-57.270;1.238;11.537;-101.625;-8.078
3781.000;151.240;0.081;7.214;-0.236;0.092;14.008;-0.404;0.029;26.031;-0.633;-0.040;41.913;-1.389;-0.202;46.234;1.716;-0.094;52.744;2.963;-7.078;56.616;3.804;6.688;57.034;3.256;-3.244;58.702;11.142;3.330;58.902;10.880;-1.526;36.705;-2.789;-15.512;35.245;-1.970;-20.781;22.390;-3.297;-26.606;8.181;-4.764;-22.361;5.998;7.335;-17.577;3.386;21.545;-17.822;1.628;22.133;-15.069;-0.863;28.693;-14.334;-0.956;31.025;-13.688;-1.506;33.460;-13.219;-1.470;35.064;-17.956;2.445;22.308;-16.280;1.293;29.488;-14.849;1.577;33.321;-13.749;1.895;36.054;-12.946;2.063;37.927;-17.522;3.857;22.087;-16.413;3.712;30.166;-14.847;3.760;33.913;-13.176;4.090;36.825;-12.269;4.163;38.790;-17.880;4.868;22.010;-16.468;6.082;29.841;-14.644;6.401;33.286;-13.566;6.526;35.821;-12.562;6.440;37.623;-16.902;5.489;23.737;-16.677;8.558;25.607;-15.290;9.673;27.605;-15.505;12.069;29.027;1.694;36.729;-2.576;15.746;34.246;-0.214;21.263;20.854;-1.609;27.361;6.053;-3.151;21.717;6.330;8.310;15.204;6.325;22.385;14.871;4.764;23.514;12.555;3.215;29.719;11.668;2.194;32.311;10.624;1.495;34.423;9.822;0.960;35.831;14.986;5.663;23.627;13.348;5.551;30.041;11.957;5.324;34.164;10.535;5.173;37.173;9.610;5.193;39.055;14.444;6.835;23.496;13.467;7.797;30.655;12.473;7.978;35.165;11.201;7.955;37.903;10.210;8.185;39.838;14.530;7.728;23.288;13.214;10.383;30.220;11.959;11.262;33.798;10.699;11.517;36.074;9.485;11.779;37.924;13.995;8.673;23.746;13.892;12.162;25.287;13.008;13.923;27.953;12.822;16.633;28.393;0.000;0.000;0.000;-7.686;-12.186;-1.012;-10.591;-32.870;-0.036;-14.001;-57.150;1.109;-14.442;-101.346;-7.366;7.523;-12.437;-1.070;9.443;-33.060;-0.008;11.697;-57.269;1.238;11.528;-101.631;-8.083
3782.000;151.280;0.080;7.216;-0.236;0.091;14.012;-0.401;0.028;26.038;-0.619;-0.039;41.920;-1.384;-0.198;46.240;1.717;-0.087;52.748;2.957;-7.067;56.626;3.813;6.698;57.033;3.231;-3.214;58.714;11.140;3.359;58.908;10.863;-1.527;36.711;-2.780;-15.514;35.253;-1.950;-20.798;22.401;-3.261;-26.637;8.195;-4.710;-22.378;6.050;7.387;-17.582;3.483;21.596;-17.820;1.725;22.191;-15.016;-0.762;28.725;-14.262;-0.824;31.054;-13.530;-1.357;33.474;-13.008;-1.322;35.062;-17.952;2.542;22.367;-16.260;1.423;29.536;-14.828;1.670;33.357;-13.688;2.000;36.088;-12.855;2.145;37.950;-17.514;3.934;22.147;-16.375;3.835;30.210;-14.805;3.885;33.956;-13.103;4.211;36.842;-12.164;4.286;38.792;-17.862;4.950;22.065;-16.461;6.186;29.882;-14.615;6.504;33.317;-13.498;6.669;35.834;-12.494;6.549;37.634;-16.794;5.583;23.781;-16.644;8.659;25.644;-15.220;9.785;27.597;-15.440;12.149;29.070;1.694;36.735;-2.570;15.746;34.259;-0.215;21.270;20.867;-1.596;27.375;6.065;-3.123;21.749;6.356;8.343;15.256;6.369;22.426;14.906;4.780;23.546;12.611;3.250;29.763;11.731;2.237;32.352;10.670;1.528;34.452;9.841;1.000;35.846;15.007;5.682;23.654;13.401;5.591;30.086;12.016;5.358;34.208;10.574;5.205;37.212;9.655;5.223;39.097;14.492;6.898;23.530;13.532;7.836;30.699;12.518;8.020;35.204;11.218;7.999;37.930;10.213;8.204;39.860;14.586;7.791;23.325;13.296;10.428;30.255;12.021;11.299;33.842;10.775;11.552;36.110;9.541;11.829;37.945;14.040;8.719;23.807;13.927;12.199;25.335;13.026;13.953;27.987;12.804;16.655;28.458;0.000;0.000;0.000;-7.687;-12.186;-1.008;-10.597;-32.868;-0.032;-14.014;-57.147;1.114;-14.470;-101.340;-7.369;7.522;-12.437;-1.073;9.442;-33.060;-0.013;11.695;-57.269;1.231;11.520;-101.631;-8.091
3783.000;151.320;0.080;7.217;-0.236;0.091;14.014;-0.400;0.027;26.042;-0.615;-0.040;41.923;-1.389;-0.196;46.242;1.706;-0.083;52.746;2.939;-7.058;56.630;3.801;6.706;57.027;3.189;-3.187;58.731;11.116;3.385;58.921;10.823;-1.529;36.714;-2.781;-15.515;35.254;-1.935;-20.811;22.405;-3.234;-26.664;8.204;-4.670;-22.395;6.108;7.430;-17.588;3.602;21.646;-17.824;1.855;22.240;-14.977;-0.658;28.744;-14.145;-0.778;31.037;-13.086;-1.240;33.393;-12.433;-1.176;34.932;-17.965;2.670;22.418;-16.283;1.506;29.575;-14.803;1.720;33.399;-13.462;2.027;36.049;-12.511;2.162;37.854;-17.530;4.045;22.201;-16.368;3.966;30.254;-14.687;4.010;33.960;-12.953;4.352;36.810;-11.952;4.421;38.730;-17.873;5.060;22.119;-16.424;6.321;29.923;-14.563;6.618;33.342;-13.392;6.759;35.849;-12.403;6.607;37.655;-16.764;5.710;23.855;-16.556;8.781;25.703;-15.060;9.860;27.639;-15.117;12.205;29.158;1.692;36.737;-2.573;15.746;34.264;-0.229;21.281;20.874;-1.604;27.399;6.074;-3.125;21.796;6.381;8.356;15.334;6.418;22.459;14.988;4.825;23.572;12.662;3.282;29.776;11.728;2.267;32.350;10.612;1.569;34.417;9.738;1.059;35.790;15.087;5.727;23.681;13.479;5.623;30.110;12.025;5.375;34.212;10.510;5.209;37.183;9.547;5.219;39.046;14.572;6.918;23.574;13.582;7.878;30.722;12.494;8.045;35.216;11.114;8.013;37.896;10.044;8.230;39.790;14.654;7.812;23.366;13.367;10.437;30.285;12.050;11.328;33.860;10.793;11.557;36.130;9.568;11.834;37.971;14.097;8.765;23.839;13.900;12.251;25.359;12.938;13.962;28.014;12.566;16.638;28.536;0.000;0.000;0.000;-7.688;-12.186;-1.003;-10.595;-32.869;-0.026;-14.009;-57.150;1.121;-14.469;-101.343;-7.357;7.521;-12.437;-1.077;9.441;-33.060;-0.015;11.695;-57.270;1.232;11.515;-101.637;-8.068
3784.000;151.360;0.080;7.218;-0.235;0.090;14.016;-0.396;0.027;26.046;-0.605;-0.050;41.928;-1.382;-0.205;46.244;1.713;-0.092;52.744;2.950;-7.065;56.631;3.819;6.697;57.027;3.164;-3.173;58.759;11.115;3.399;58.947;10.802;-1.536;36.717;-2.772;-15.526;35.249;-1.910;-20.820;22.396;-3.209;-26.671;8.191;-4.645;-22.418;6.213;7.478;-17.631;3.867;21.738;-17.889;2.109;22.307;-14.967;-0.495;28.741;-14.073;-0.576;31.017;-12.084;-0.742;32.830;-10.871;-0.443;33.941;-18.019;2.924;22.494;-16.362;1.652;29.635;-14.692;1.637;33.395;-12.629;1.961;35.568;-11.073;2.067;36.891;-17.593;4.315;22.284;-16.370;4.106;30.317;-14.569;4.082;33.978;-12.511;4.376;36.616;-11.309;4.444;38.415;-17.939;5.324;22.218;-16.464;6.500;30.011;-14.559;6.686;33.442;-13.368;6.756;35.924;-12.307;6.501;37.677;-16.843;5.940;23.954;-16.228;8.951;25.844;-14.563;9.825;27.790;-14.097;12.047;29.419;1.685;36.742;-2.566;15.744;34.278;-0.221;21.276;20.887;-1.614;27.391;6.086;-3.153;21.889;6.444;8.379;15.548;6.553;22.553;15.248;4.933;23.650;12.799;3.330;29.789;11.560;2.352;32.285;9.963;1.825;34.068;8.692;1.508;35.161;15.336;5.835;23.765;13.653;5.677;30.176;11.975;5.312;34.194;10.039;5.112;36.909;8.765;5.130;38.575;14.786;6.999;23.681;13.752;7.935;30.792;12.385;8.007;35.229;10.785;7.940;37.791;9.571;8.124;39.600;14.850;7.894;23.475;13.425;10.474;30.376;12.044;11.264;33.905;10.664;11.398;36.155;9.381;11.612;37.964;14.238;8.870;23.957;13.676;12.345;25.472;12.244;13.804;28.159;11.357;16.339;28.760;0.000;0.000;0.000;-7.688;-12.186;-0.999;-10.592;-32.870;-0.021;-14.001;-57.152;1.128;-14.463;-101.347;-7.336;7.521;-12.437;-1.081;9.441;-33.061;-0.017;11.695;-57.271;1.231;11.510;-101.638;-8.055
