Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1500.000;60.000;0.052;7.214;-0.264;0.014;14.007;-0.495;-0.160;26.026;-0.881;-0.355;41.904;-1.698;-0.374;46.215;1.433;-0.012;52.670;2.782;-6.905;56.721;3.520;6.866;56.809;2.967;-3.023;58.908;10.803;3.553;58.950;10.539;-1.847;36.681;-3.034;-15.833;35.024;-1.726;-21.017;22.030;-2.615;-26.746;7.669;-3.598;-22.514;6.861;8.517;-17.821;5.817;22.770;-18.367;4.245;23.714;-15.371;2.214;30.327;-14.546;2.243;32.658;-13.995;1.878;35.133;-13.598;1.982;36.754;-18.278;5.086;23.739;-15.781;4.681;30.839;-13.830;5.187;34.372;-12.630;5.631;37.060;-11.839;5.951;38.918;-17.630;6.342;23.195;-15.356;7.219;31.124;-13.766;7.529;34.827;-12.087;7.952;37.760;-11.265;8.209;39.747;-17.720;7.394;22.973;-14.946;9.448;30.379;-12.940;10.121;33.649;-11.654;10.591;36.088;-10.647;10.706;37.887;-16.349;8.111;24.524;-15.297;11.346;25.760;-13.565;12.499;27.266;-13.387;15.219;27.882;1.378;36.726;-2.915;15.515;34.249;-0.856;21.109;20.767;-2.037;27.291;5.865;-3.343;22.148;6.157;8.366;16.292;6.191;22.717;16.142;4.595;23.890;14.155;2.971;30.149;13.256;1.567;32.597;12.207;0.489;34.523;11.350;-0.227;35.814;16.209;5.503;23.971;14.941;5.487;30.482;13.526;5.175;34.647;11.561;5.013;37.362;10.283;5.031;39.025;15.522;6.633;23.928;14.992;7.850;30.990;13.782;8.127;35.509;11.941;8.214;37.930;10.428;8.393;39.498;15.537;7.518;23.673;14.557;10.553;30.384;13.117;12.020;33.664;11.705;12.562;35.830;10.357;13.051;37.536;14.975;8.529;24.079;14.797;12.071;25.410;14.144;14.138;27.865;14.022;16.885;27.760;0.000;0.000;0.000;-7.688;-12.201;-0.799;-9.858;-32.963;0.113;-12.408;-57.336;1.185;-11.426;-101.484;-6.984;7.515;-12.425;-1.249;9.121;-33.145;-0.050;11.004;-57.469;1.358;9.716;-101.799;-7.721
1501.000;60.040;0.051;7.216;-0.266;0.014;14.010;-0.498;-0.161;26.032;-0.882;-0.361;41.909;-1.714;-0.376;46.221;1.412;-0.007;52.674;2.754;-6.895;56.733;3.502;6.874;56.809;2.912;-2.992;58.930;10.771;3.583;58.967;10.489;-1.852;36.684;-3.044;-15.836;35.026;-1.720;-21.022;22.032;-2.602;-26.753;7.669;-3.577;-22.512;6.869;8.532;-17.813;5.828;22.777;-18.355;4.276;23.734;-15.314;2.290;30.351;-14.461;2.309;32.667;-13.886;1.950;35.135;-13.440;2.059;36.743;-18.278;5.118;23.758;-15.746;4.735;30.849;-13.773;5.277;34.369;-12.563;5.734;37.042;-11.749;6.103;38.882;-17.586;6.412;23.178;-15.375;7.258;31.122;-13.684;7.615;34.790;-12.027;8.075;37.721;-11.193;8.333;39.702;-17.721;7.458;22.968;-14.939;9.517;30.357;-12.908;10.213;33.614;-11.576;10.707;36.030;-10.623;10.806;37.859;-16.364;8.140;24.513;-15.302;11.385;25.714;-13.552;12.555;27.199;-13.378;15.274;27.823;1.373;36.731;-2.927;15.513;34.256;-0.875;21.113;20.774;-2.043;27.302;5.872;-3.334;22.162;6.182;8.374;16.307;6.238;22.727;16.142;4.637;23.897;14.160;3.044;30.176;13.273;1.618;32.609;12.219;0.551;34.538;11.361;-0.165;35.827;16.203;5.545;23.976;14.961;5.545;30.494;13.547;5.217;34.659;11.567;5.065;37.363;10.276;5.085;39.016;15.533;6.694;23.939;15.027;7.903;30.996;13.766;8.158;35.511;11.894;8.249;37.911;10.367;8.424;39.465;15.554;7.579;23.684;14.564;10.601;30.394;13.116;12.058;33.675;11.716;12.603;35.832;10.366;13.084;37.538;14.999;8.575;24.091;14.833;12.108;25.439;14.202;14.175;27.881;14.106;16.924;27.809;0.000;0.000;0.000;-7.689;-12.201;-0.790;-9.859;-32.963;0.128;-12.410;-57.336;1.205;-11.436;-101.485;-6.962;7.514;-12.426;-1.248;9.121;-33.146;-0.040;11.004;-57.470;1.378;9.708;-101.800;-7.688
1502.000;60.080;0.051;7.217;-0.268;0.013;14.012;-0.501;-0.164;26.035;-0.887;-0.359;41.912;-1.734;-0.370;46.225;1.384;0.002;52.676;2.712;-6.878;56.746;3.472;6.890;56.801;2.845;-2.952;58.951;10.726;3.623;58.977;10.427;-1.852;36.686;-3.058;-15.836;35.031;-1.721;-21.031;22.040;-2.599;-26.772;7.681;-3.569;-22.559;6.958;8.546;-17.797;5.865;22.766;-18.367;4.319;23.740;-15.246;2.408;30.361;-14.372;2.435;32.667;-13.755;2.100;35.130;-13.285;2.222;36.730;-18.295;5.162;23.757;-15.712;4.874;30.845;-13.726;5.428;34.358;-12.529;5.937;37.025;-11.678;6.288;38.851;-17.577;6.452;23.165;-15.304;7.397;31.092;-13.636;7.786;34.747;-11.980;8.233;37.674;-11.121;8.505;39.643;-17.718;7.500;22.946;-14.927;9.634;30.305;-12.859;10.341;33.550;-11.550;10.851;35.970;-10.548;10.943;37.773;-16.322;8.208;24.502;-15.277;11.449;25.638;-13.520;12.629;27.132;-13.337;15.358;27.704;1.373;36.731;-2.942;15.514;34.259;-0.898;21.123;20.778;-2.060;27.322;5.878;-3.345;22.186;6.201;8.364;16.337;6.269;22.718;16.171;4.676;23.890;14.170;3.091;30.164;13.282;1.670;32.600;12.226;0.608;34.527;11.353;-0.096;35.813;16.234;5.585;23.971;14.984;5.598;30.483;13.565;5.276;34.646;11.580;5.128;37.351;10.299;5.151;39.011;15.574;6.714;23.931;15.071;7.948;30.984;13.770;8.204;35.492;11.877;8.324;37.879;10.342;8.512;39.423;15.590;7.598;23.675;14.618;10.651;30.380;13.159;12.118;33.662;11.767;12.675;35.813;10.413;13.167;37.514;15.034;8.621;24.087;14.890;12.148;25.418;14.282;14.223;27.871;14.218;16.973;27.789;0.000;0.000;0.000;-7.689;-12.201;-0.784;-9.860;-32.963;0.138;-12.411;-57.335;1.221;-11.443;-101.487;-6.943;7.514;-12.426;-1.247;9.121;-33.146;-0.034;11.005;-57.470;1.390;9.704;-101.804;-7.665
1503.000;60.120;0.051;7.218;-0.269;0.013;14.014;-0.502;-0.165;26.039;-0.889;-0.366;41.915;-1.745;-0.374;46.228;1.366;0.004;52.679;2.682;-6.872;56.753;3.458;6.894;56.801;2.784;-2.920;58.969;10.695;3.653;58.992;10.373;-1.858;36.688;-3.065;-15.843;35.033;-1.722;-21.035;22.042;-2.594;-26.774;7.684;-3.557;-22.548;6.986;8.553;-17.764;5.926;22.767;-18.318;4.394;23.756;-15.164;2.527;30.372;-14.275;2.574;32.672;-13.619;2.246;35.110;-13.087;2.386;36.689;-18.259;5.238;23.774;-15.655;4.973;30.853;-13.677;5.572;34.351;-12.455;6.105;37.009;-11.614;6.461;38.838;-17.547;6.501;23.155;-15.303;7.530;31.070;-13.583;7.926;34.720;-11.899;8.415;37.625;-11.039;8.694;39.593;-17.690;7.556;22.933;-14.919;9.741;30.273;-12.859;10.476;33.501;-11.458;11.022;35.883;-10.500;11.107;37.710;-16.322;8.279;24.485;-15.198;11.533;25.582;-13.403;12.704;27.017;-13.147;15.439;27.531;1.367;36.735;-2.952;15.509;34.270;-0.919;21.125;20.791;-2.083;27.332;5.894;-3.370;22.216;6.235;8.347;16.391;6.326;22.710;16.199;4.734;23.880;14.186;3.152;30.154;13.294;1.745;32.590;12.222;0.685;34.509;11.346;-0.034;35.783;16.271;5.641;23.961;15.025;5.649;30.477;13.608;5.341;34.637;11.625;5.203;37.343;10.347;5.244;39.006;15.629;6.773;23.926;15.121;8.006;30.983;13.805;8.267;35.476;11.914;8.389;37.864;10.379;8.601;39.405;15.655;7.657;23.671;14.717;10.705;30.379;13.261;12.192;33.657;11.885;12.766;35.800;10.507;13.245;37.485;15.122;8.686;24.079;15.000;12.211;25.439;14.443;14.275;27.847;14.403;17.026;27.835;0.000;0.000;0.000;-7.690;-12.201;-0.778;-9.860;-32.963;0.146;-12.412;-57.335;1.231;-11.451;-101.488;-6.923;7.513;-12.426;-1.249;9.121;-33.146;-0.034;11.005;-57.470;1.392;9.699;-101.804;-7.658
1504.000;60.160;0.051;7.218;-0.269;0.012;14.014;-0.503;-0.167;26.039;-0.891;-0.368;41.914;-1.764;-0.373;46.229;1.340;0.010;52.680;2.645;-6.865;56.754;3.436;6.899;56.804;2.725;-2.895;58.976;10.661;3.678;59.000;10.322;-1.862;36.685;-3.077;-15.846;35.033;-1.715;-21.041;22.042;-2.577;-26.783;7.684;-3.529;-22.543;7.020;8.577;-17.750;5.998;22.783;-18.299;4.483;23.791;-15.075;2.653;30.394;-14.110;2.757;32.687;-13.424;2.397;35.100;-12.867;2.560;36.668;-18.255;5.328;23.809;-15.597;5.103;30.863;-13.651;5.736;34.359;-12.425;6.301;37.008;-11.546;6.675;38.817;-17.556;6.562;23.172;-15.312;7.653;31.074;-13.494;8.104;34.692;-11.821;8.557;37.595;-10.932;8.865;39.545;-17.699;7.615;22.939;-14.888;9.876;30.251;-12.775;10.617;33.448;-11.374;11.176;35.820;-10.396;11.239;37.637;-16.322;8.387;24.502;-15.093;11.634;25.505;-13.234;12.784;26.871;-12.889;15.531;27.244;1.363;36.732;-2.966;15.508;34.277;-0.954;21.126;20.798;-2.111;27.336;5.900;-3.389;22.254;6.264;8.342;16.468;6.376;22.719;16.270;4.780;23.882;14.220;3.205;30.152;13.304;1.814;32.601;12.222;0.762;34.507;11.337;0.071;35.792;16.354;5.686;23.966;15.086;5.697;30.489;13.662;5.387;34.641;11.678;5.292;37.343;10.378;5.342;38.988;15.693;6.893;23.918;15.222;8.041;31.008;13.876;8.307;35.486;11.970;8.461;37.860;10.428;8.672;39.394;15.756;7.778;23.672;14.846;10.740;30.404;13.409;12.237;33.668;12.005;12.817;35.822;10.635;13.312;37.509;15.223;8.744;24.095;15.174;12.269;25.459;14.615;14.344;27.919;14.611;17.095;27.856;0.000;0.000;0.000;-7.690;-12.201;-0.775;-9.859;-32.963;0.153;-12.408;-57.336;1.244;-11.449;-101.492;-6.905;7.512;-12.426;-1.255;9.119;-33.149;-0.033;11.003;-57.477;1.401;9.687;-101.811;-7.631
1505.000;60.200;0.051;7.216;-0.271;0.012;14.009;-0.506;-0.167;26.031;-0.896;-0.387;41.905;-1.774;-0.387;46.225;1.324;0.011;52.685;2.609;-6.866;56.752;3.416;6.897;56.815;2.677;-2.883;58.975;10.633;3.689;59.005;10.281;-1.876;36.675;-3.084;-15.862;35.024;-1.694;-21.048;22.041;-2.516;-26.780;7.692;-3.424;-22.560;7.124;8.675;-17.799;6.216;22.874;-18.318;4.708;23.899;-14.931;2.898;30.453;-13.958;3.012;32.731;-13.227;2.672;35.151;-12.660;2.827;36.716;-18.291;5.553;23.919;-15.503;5.359;30.929;-13.544;6.002;34.428;-12.350;6.605;37.084;-11.488;6.993;38.898;-17.583;6.797;23.259;-15.173;7.941;31.126;-13.408;8.387;34.749;-11.714;8.868;37.647;-10.846;9.166;39.609;-17.742;7.836;23.023;-14.848;10.140;30.278;-12.660;10.873;33.439;-11.194;11.420;35.778;-10.158;11.482;37.563;-16.380;8.664;24.590;-14.941;11.900;25.482;-12.926;12.997;26.685;-12.529;15.761;26.803;1.349;36.725;-2.977;15.500;34.291;-0.990;21.122;20.812;-2.124;27.336;5.913;-3.377;22.291;6.276;8.371;16.545;6.388;22.772;16.340;4.772;23.924;14.313;3.208;30.200;13.393;1.814;32.653;12.316;0.759;34.556;11.418;0.073;35.834;16.427;5.678;24.007;15.183;5.692;30.541;13.772;5.383;34.694;11.781;5.276;37.395;10.488;5.333;39.045;15.774;6.892;23.976;15.327;8.026;31.061;13.990;8.285;35.546;12.083;8.430;37.916;10.544;8.652;39.452;15.836;7.778;23.733;14.963;10.733;30.469;13.545;12.198;33.755;12.123;12.764;35.912;10.771;13.260;37.613;15.357;8.751;24.165;15.289;12.271;25.528;14.755;14.324;27.956;14.756;17.076;27.983;0.000;0.000;0.000;-7.690;-12.202;-0.769;-9.854;-32.965;0.162;-12.399;-57.338;1.254;-11.433;-101.496;-6.894;7.512;-12.426;-1.254;9.123;-33.148;-0.031;11.013;-57.475;1.405;9.702;-101.812;-7.622
1506.000;60.240;0.051;7.215;-0.274;0.013;14.008;-0.511;-0.160;26.028;-0.904;-0.388;41.904;-1.769;-0.386;46.222;1.326;0.018;52.689;2.595;-6.860;56.752;3.411;6.901;56.824;2.644;-2.865;58.987;10.617;3.707;59.021;10.252;-1.875;36.673;-3.083;-15.860;35.027;-1.685;-21.096;22.046;-2.272;-26.883;7.698;-2.920;-22.693;7.546;9.146;-18.019;7.124;23.327;-18.344;5.614;24.364;-14.450;3.845;30.691;-13.416;3.897;32.940;-12.624;3.467;35.322;-12.022;3.592;36.877;-18.343;6.460;24.393;-15.009;6.294;31.195;-13.092;6.900;34.718;-11.995;7.454;37.436;-11.246;7.810;39.305;-17.837;7.757;23.701;-14.693;8.887;31.409;-12.921;9.273;35.028;-11.284;9.709;37.954;-10.394;9.977;39.910;-18.041;8.805;23.495;-14.497;11.083;30.512;-12.062;11.756;33.494;-10.368;12.225;35.709;-9.096;12.239;37.336;-16.544;9.712;25.006;-14.680;12.847;25.611;-12.474;13.856;26.522;-11.965;16.598;26.360;1.351;36.725;-2.976;15.502;34.313;-0.989;21.132;20.835;-2.103;27.354;5.939;-3.335;22.334;6.250;8.436;16.611;6.301;22.866;16.426;4.685;24.004;14.442;3.072;30.275;13.527;1.671;32.736;12.437;0.604;34.633;11.544;-0.075;35.919;16.510;5.590;24.093;15.306;5.563;30.634;13.893;5.207;34.788;11.887;5.085;37.475;10.574;5.133;39.110;15.857;6.786;24.080;15.430;7.895;31.165;14.107;8.123;35.657;12.173;8.214;38.013;10.588;8.423;39.504;15.910;7.674;23.842;15.071;10.567;30.607;13.631;11.974;33.912;12.177;12.473;36.052;10.782;12.934;37.727;15.430;8.663;24.288;15.324;12.171;25.675;14.795;14.192;28.160;14.790;16.944;28.166;0.000;0.000;0.000;-7.689;-12.202;-0.769;-9.849;-32.965;0.174;-12.390;-57.339;1.281;-11.407;-101.495;-6.847;7.514;-12.427;-1.242;9.127;-33.147;-0.009;11.019;-57.471;1.438;9.719;-101.812;-7.584
1507.000;60.280;0.056;7.213;-0.277;0.031;14.005;-0.511;-0.112;26.024;-0.889;-0.360;41.900;-1.729;-0.378;46.221;1.374;0.012;52.700;2.650;-6.869;56.758;3.462;6.891;56.841;2.679;-2.867;59.017;10.658;3.704;59.057;10.284;-1.833;36.670;-3.058;-15.819;35.012;-1.721;-21.256;22.031;-1.650;-27.266;7.682;-1.571;-22.965;8.645;10.333;-18.215;9.544;24.401;-18.377;8.070;25.485;-13.478;6.434;31.178;-12.261;6.391;33.326;-11.322;5.853;35.631;-10.627;5.912;37.151;-18.376;8.916;25.490;-13.864;8.908;31.655;-11.726;9.333;35.066;-10.811;9.768;37.844;-10.122;10.016;39.754;-18.041;10.112;24.851;-13.532;11.466;31.814;-11.394;11.725;35.271;-9.673;12.099;38.153;-8.713;12.268;40.087;-18.200;11.168;24.593;-13.342;13.685;30.713;-10.122;14.114;32.932;-7.768;14.393;34.429;-5.978;14.273;35.451;-16.493;12.337;25.780;-14.160;15.263;25.765;-11.683;16.033;26.086;-11.010;18.675;25.471;1.392;36.726;-2.937;15.534;34.351;-0.878;21.178;20.889;-1.994;27.416;6.011;-3.227;22.407;6.190;8.572;16.685;6.088;23.043;16.506;4.427;24.127;14.578;2.674;30.365;13.660;1.254;32.807;12.527;0.188;34.685;11.605;-0.507;35.940;16.577;5.333;24.234;15.413;5.139;30.775;13.901;4.757;34.891;11.798;4.559;37.481;10.408;4.573;39.052;15.939;6.519;24.292;15.527;7.464;31.363;14.087;7.579;35.834;11.988;7.605;38.050;10.290;7.749;39.419;15.982;7.413;24.074;15.112;10.104;30.888;13.528;11.264;34.219;11.919;11.578;36.268;10.379;11.844;37.856;15.456;8.371;24.503;15.284;11.832;26.089;14.642;13.714;28.676;14.460;16.454;28.848;0.000;0.000;0.000;-7.686;-12.203;-0.792;-9.854;-32.963;0.184;-12.403;-57.332;1.330;-11.404;-101.496;-6.759;7.518;-12.428;-1.202;9.123;-33.148;0.058;11.004;-57.472;1.538;9.724;-101.813;-7.489
1508.000;60.320;0.060;7.211;-0.276;0.043;14.001;-0.497;-0.083;26.017;-0.839;-0.331;41.892;-1.690;-0.384;46.224;1.427;-0.036;52.712;2.728;-6.924;56.753;3.567;6.834;56.869;2.748;-2.908;59.006;10.756;3.662;59.062;10.366;-1.792;36.661;-3.027;-15.780;35.052;-1.766;-21.535;22.157;-0.497;-27.897;7.904;0.904;-23.105;10.641;12.215;-17.820;13.672;25.695;-17.869;12.325;26.922;-12.090;11.089;31.839;-10.776;11.053;33.877;-9.678;10.643;36.167;-8.884;10.747;37.635;-17.846;13.165;26.828;-12.244;13.579;32.013;-9.811;14.217;35.161;-8.855;14.848;37.884;-8.126;15.256;39.751;-17.565;14.190;26.226;-11.576;16.089;31.736;-8.786;16.589;34.596;-6.523;17.142;37.048;-5.249;17.501;38.762;-17.668;15.151;25.832;-11.602;18.133;30.345;-7.781;18.126;31.217;-4.934;17.977;31.491;-2.910;17.609;31.668;-15.793;16.519;26.371;-13.086;19.055;25.452;-10.616;19.498;24.970;-9.806;21.902;23.798;1.432;36.719;-2.881;15.548;34.389;-0.697;21.229;20.953;-1.822;27.508;6.103;-3.065;22.491;5.958;8.784;16.721;5.479;23.339;16.640;3.741;24.289;14.792;1.601;30.390;13.816;0.163;32.815;12.540;-0.874;34.624;11.543;-1.515;35.850;16.671;4.642;24.438;15.587;4.044;30.983;13.699;3.458;34.925;11.304;3.156;37.210;9.647;3.060;38.492;16.023;5.702;24.662;15.540;6.353;31.684;13.731;6.077;36.005;11.350;5.916;37.903;9.426;5.884;38.940;15.985;6.606;24.487;14.971;8.871;31.393;13.106;9.491;34.683;11.267;9.425;36.501;9.489;9.313;37.840;15.406;7.585;24.911;14.890;10.842;26.898;14.010;12.280;29.664;13.376;14.869;30.348;0.000;0.000;0.000;-7.680;-12.203;-0.847;-9.867;-32.960;0.168;-12.439;-57.327;1.359;-11.413;-101.499;-6.630;7.527;-12.429;-1.127;9.104;-33.149;0.156;10.954;-57.473;1.663;9.711;-101.813;-7.367
