Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
518.000;20.720;0.033;7.166;-0.148;0.047;13.912;-0.301;0.049;25.848;-0.588;-0.324;41.733;-1.176;-0.380;45.975;1.900;-0.088;52.430;3.079;-6.948;56.430;4.267;6.767;56.608;2.917;-2.661;58.551;11.340;3.888;58.636;10.695;-1.762;36.513;-2.582;-15.868;34.382;-0.941;-20.786;21.176;-1.794;-26.221;6.579;-2.737;-22.205;4.962;9.473;-17.702;3.021;23.837;-18.272;1.382;24.488;-15.376;-1.416;30.846;-14.210;-1.627;33.079;-13.348;-2.325;35.322;-12.538;-2.338;36.786;-18.306;2.208;24.669;-16.383;0.743;31.753;-14.508;0.666;35.398;-12.576;0.703;37.701;-11.223;0.582;39.230;-17.592;3.340;24.427;-16.181;3.265;32.461;-14.649;3.017;36.242;-12.243;2.799;38.596;-10.694;2.606;40.098;-17.704;4.399;24.327;-15.856;5.648;32.082;-13.879;5.641;35.383;-11.893;5.442;37.368;-10.296;5.034;38.612;-16.456;4.960;25.960;-15.708;7.952;27.958;-14.258;9.197;29.982;-14.887;11.637;31.190;1.463;36.593;-2.472;15.652;34.099;-0.357;20.602;20.378;-1.401;26.074;5.212;-2.554;22.191;4.387;9.644;17.885;3.056;24.541;17.738;1.274;25.548;15.986;-0.497;31.876;14.766;-1.360;34.481;13.137;-1.717;36.199;11.820;-1.892;37.269;17.798;2.177;25.674;16.924;1.805;32.277;15.166;1.306;36.291;12.733;1.149;38.602;11.090;1.168;39.905;17.244;3.308;25.875;17.011;4.097;32.905;15.328;4.111;37.275;13.090;4.190;39.347;11.288;4.285;40.581;17.218;4.209;25.685;16.550;6.607;32.508;14.509;7.232;35.762;12.564;7.157;37.463;10.660;7.055;38.617;16.745;5.267;26.145;16.330;8.674;27.722;15.496;10.164;30.575;14.825;12.777;31.119;0.000;0.000;0.000;-7.638;-12.231;-0.814;-9.819;-33.106;-0.043;-12.379;-57.612;0.864;-11.594;-101.844;-6.843;7.548;-12.355;-1.673;9.597;-33.243;-0.603;12.003;-57.765;0.653;11.570;-102.109;-8.357
519.000;20.760;0.035;7.164;-0.153;0.051;13.908;-0.311;0.058;25.840;-0.609;-0.309;41.726;-1.202;-0.361;45.970;1.876;-0.066;52.427;3.058;-6.926;56.427;4.248;6.789;56.605;2.898;-2.638;58.542;11.323;3.911;58.627;10.678;-1.750;36.506;-2.606;-15.856;34.387;-0.957;-20.784;21.184;-1.807;-26.231;6.592;-2.747;-22.198;4.980;9.456;-17.675;3.043;23.812;-18.252;1.387;24.462;-15.320;-1.400;30.816;-14.144;-1.599;33.052;-13.276;-2.304;35.279;-12.446;-2.332;36.730;-18.279;2.215;24.639;-16.328;0.780;31.725;-14.442;0.702;35.369;-12.492;0.748;37.661;-11.134;0.641;39.187;-17.562;3.362;24.404;-16.144;3.297;32.432;-14.560;3.061;36.199;-12.128;2.856;38.533;-10.558;2.662;40.011;-17.679;4.424;24.305;-15.794;5.672;32.047;-13.804;5.673;35.332;-11.798;5.477;37.295;-10.181;5.046;38.505;-16.414;4.986;25.941;-15.671;7.984;27.922;-14.203;9.229;29.930;-14.830;11.663;31.150;1.475;36.584;-2.497;15.664;34.084;-0.387;20.596;20.357;-1.427;26.046;5.185;-2.577;22.175;4.386;9.628;17.878;3.084;24.535;17.731;1.298;25.540;15.989;-0.454;31.872;14.754;-1.287;34.480;13.127;-1.627;36.204;11.813;-1.779;37.281;17.793;2.202;25.663;16.934;1.846;32.271;15.164;1.359;36.284;12.731;1.208;38.590;11.068;1.233;39.868;17.241;3.338;25.869;17.022;4.137;32.893;15.323;4.153;37.260;13.068;4.265;39.314;11.272;4.364;40.555;17.213;4.238;25.679;16.562;6.648;32.496;14.541;7.280;35.760;12.590;7.207;37.454;10.691;7.102;38.615;16.768;5.280;26.100;16.348;8.708;27.716;15.526;10.199;30.558;14.837;12.804;31.117;0.000;0.000;0.000;-7.641;-12.230;-0.809;-9.823;-33.106;-0.035;-12.384;-57.612;0.873;-11.598;-101.843;-6.847;7.546;-12.357;-1.665;9.593;-33.246;-0.596;11.996;-57.768;0.660;11.556;-102.108;-8.364
520.000;20.800;0.036;7.162;-0.156;0.053;13.906;-0.319;0.063;25.836;-0.630;-0.300;41.721;-1.232;-0.349;45.968;1.847;-0.052;52.426;3.030;-6.908;56.429;4.228;6.806;56.600;2.866;-2.614;58.540;11.299;3.935;58.622;10.649;-1.743;36.500;-2.631;-15.846;34.391;-0.970;-20.788;21.193;-1.821;-26.250;6.605;-2.761;-22.217;4.998;9.442;-17.695;3.068;23.799;-18.276;1.437;24.462;-15.314;-1.368;30.797;-14.124;-1.583;33.023;-13.236;-2.281;35.251;-12.413;-2.295;36.707;-18.319;2.262;24.643;-16.317;0.811;31.711;-14.412;0.749;35.342;-12.466;0.799;37.627;-11.092;0.700;39.139;-17.597;3.379;24.391;-16.129;3.333;32.411;-14.479;3.099;36.147;-12.056;2.892;38.469;-10.472;2.696;39.932;-17.702;4.442;24.291;-15.787;5.708;32.019;-13.784;5.710;35.302;-11.786;5.512;37.257;-10.135;5.122;38.434;-16.420;5.020;25.905;-15.677;8.015;27.890;-14.200;9.251;29.914;-14.800;11.706;31.108;1.482;36.578;-2.525;15.672;34.075;-0.422;20.600;20.347;-1.450;26.046;5.174;-2.587;22.183;4.402;9.621;17.899;3.132;24.532;17.745;1.349;25.541;15.996;-0.399;31.876;14.775;-1.225;34.486;13.131;-1.568;36.200;11.807;-1.726;37.264;17.806;2.253;25.663;16.960;1.913;32.274;15.186;1.423;36.285;12.726;1.286;38.568;11.054;1.314;39.834;17.255;3.376;25.876;17.044;4.213;32.890;15.332;4.234;37.246;13.055;4.334;39.283;11.240;4.432;40.496;17.225;4.276;25.682;16.601;6.713;32.493;14.576;7.358;35.753;12.628;7.279;37.451;10.733;7.192;38.620;16.773;5.340;26.099;16.387;8.766;27.704;15.561;10.266;30.546;14.884;12.876;31.095;0.000;0.000;0.000;-7.643;-12.229;-0.802;-9.828;-33.105;-0.028;-12.392;-57.611;0.882;-11.613;-101.855;-6.847;7.543;-12.359;-1.665;9.591;-33.247;-0.593;11.996;-57.767;0.665;11.548;-102.107;-8.367
521.000;20.840;0.036;7.161;-0.160;0.053;13.902;-0.328;0.062;25.829;-0.649;-0.297;41.714;-1.260;-0.343;45.966;1.820;-0.043;52.426;3.005;-6.896;56.435;4.211;6.816;56.596;2.829;-2.590;58.546;11.275;3.959;58.623;10.615;-1.742;36.493;-2.656;-15.847;34.391;-0.994;-20.798;21.197;-1.836;-26.269;6.615;-2.767;-22.252;5.018;9.442;-17.748;3.100;23.806;-18.342;1.466;24.467;-15.390;-1.340;30.808;-14.218;-1.543;33.029;-13.301;-2.256;35.255;-12.465;-2.273;36.703;-18.378;2.292;24.647;-16.385;0.840;31.721;-14.490;0.780;35.356;-12.531;0.824;37.638;-11.162;0.728;39.155;-17.661;3.406;24.399;-16.179;3.363;32.417;-14.555;3.142;36.161;-12.117;2.909;38.471;-10.521;2.722;39.922;-17.759;4.475;24.296;-15.857;5.740;32.030;-13.849;5.734;35.310;-11.838;5.531;37.271;-10.204;5.127;38.466;-16.485;5.040;25.889;-15.727;8.046;27.909;-14.246;9.281;29.916;-14.839;11.732;31.119;1.483;36.570;-2.551;15.672;34.066;-0.455;20.604;20.337;-1.471;26.055;5.163;-2.594;22.199;4.417;9.618;17.921;3.181;24.533;17.769;1.392;25.542;16.043;-0.343;31.887;14.801;-1.209;34.486;13.131;-1.546;36.178;11.792;-1.716;37.221;17.830;2.297;25.659;16.987;1.975;32.277;15.200;1.486;36.286;12.719;1.320;38.555;11.028;1.374;39.795;17.276;3.454;25.869;17.080;4.270;32.893;15.302;4.318;37.218;13.031;4.409;39.245;11.189;4.501;40.417;17.258;4.354;25.675;16.635;6.785;32.483;14.610;7.420;35.747;12.664;7.349;37.451;10.765;7.275;38.616;16.800;5.385;26.102;16.411;8.821;27.695;15.589;10.329;30.530;14.932;12.942;31.088;0.000;0.000;0.000;-7.644;-12.229;-0.793;-9.830;-33.106;-0.016;-12.398;-57.613;0.896;-11.630;-101.854;-6.843;7.542;-12.360;-1.662;9.589;-33.248;-0.591;11.992;-57.768;0.667;11.538;-102.105;-8.363
522.000;20.880;0.036;7.160;-0.163;0.052;13.900;-0.337;0.060;25.826;-0.672;-0.301;41.710;-1.294;-0.346;45.966;1.786;-0.041;52.429;2.972;-6.888;56.444;4.191;6.822;56.594;2.781;-2.565;58.553;11.245;3.981;58.625;10.572;-1.745;36.488;-2.687;-15.846;34.387;-1.017;-20.807;21.195;-1.850;-26.289;6.615;-2.771;-22.298;5.033;9.449;-17.821;3.134;23.826;-18.425;1.496;24.487;-15.485;-1.272;30.845;-14.329;-1.494;33.060;-13.389;-2.214;35.281;-12.543;-2.241;36.723;-18.460;2.322;24.664;-16.512;0.874;31.750;-14.593;0.819;35.384;-12.653;0.854;37.672;-11.285;0.751;39.188;-17.747;3.434;24.433;-16.294;3.413;32.445;-14.657;3.171;36.180;-12.213;2.948;38.482;-10.601;2.758;39.917;-17.842;4.501;24.321;-15.969;5.780;32.060;-13.985;5.765;35.343;-11.980;5.561;37.317;-10.357;5.178;38.535;-16.578;5.084;25.950;-15.792;8.081;27.939;-14.295;9.319;29.931;-14.890;11.782;31.107;1.480;36.566;-2.581;15.670;34.066;-0.490;20.612;20.339;-1.493;26.074;5.166;-2.602;22.224;4.432;9.613;17.957;3.208;24.531;17.803;1.420;25.542;16.085;-0.313;31.893;14.846;-1.204;34.483;13.169;-1.542;36.163;11.810;-1.699;37.183;17.859;2.325;25.658;17.033;2.015;32.280;15.233;1.532;36.289;12.742;1.355;38.539;11.038;1.425;39.760;17.315;3.479;25.866;17.106;4.319;32.887;15.323;4.375;37.209;13.046;4.475;39.226;11.198;4.573;40.390;17.292;4.378;25.670;16.675;6.821;32.472;14.639;7.462;35.738;12.699;7.398;37.445;10.808;7.329;38.622;16.844;5.416;26.087;16.447;8.861;27.680;15.637;10.370;30.503;14.965;12.975;31.080;0.000;0.000;0.000;-7.643;-12.230;-0.787;-9.831;-33.105;-0.003;-12.399;-57.611;0.916;-11.637;-101.851;-6.840;7.542;-12.360;-1.661;9.588;-33.246;-0.588;11.990;-57.765;0.671;11.527;-102.102;-8.359
523.000;20.920;0.035;7.158;-0.168;0.051;13.897;-0.349;0.056;25.820;-0.699;-0.313;41.703;-1.335;-0.356;45.964;1.749;-0.045;52.430;2.943;-6.887;56.451;4.166;6.821;56.588;2.743;-2.556;58.561;11.215;3.990;58.627;10.535;-1.755;36.479;-2.722;-15.855;34.375;-1.046;-20.823;21.183;-1.865;-26.313;6.603;-2.770;-22.349;5.040;9.467;-17.902;3.175;23.863;-18.492;1.536;24.522;-15.559;-1.224;30.894;-14.393;-1.424;33.101;-13.410;-2.142;35.307;-12.564;-2.134;36.749;-18.537;2.362;24.700;-16.617;0.933;31.794;-14.742;0.872;35.430;-12.763;0.907;37.699;-11.377;0.805;39.199;-17.832;3.476;24.457;-16.428;3.475;32.474;-14.798;3.258;36.203;-12.298;3.062;38.469;-10.666;2.896;39.883;-17.943;4.553;24.348;-16.161;5.839;32.083;-14.132;5.832;35.378;-12.137;5.629;37.329;-10.519;5.166;38.526;-16.717;5.126;26.021;-15.715;8.080;27.996;-14.124;9.289;29.906;-14.568;11.823;30.998;1.470;36.558;-2.619;15.660;34.067;-0.529;20.617;20.341;-1.517;26.095;5.171;-2.609;22.254;4.443;9.608;17.992;3.227;24.532;17.854;1.440;25.542;16.165;-0.300;31.896;14.917;-1.210;34.486;13.211;-1.533;36.148;11.837;-1.688;37.148;17.911;2.345;25.658;17.088;2.020;32.284;15.286;1.524;36.290;12.744;1.348;38.487;11.012;1.407;39.667;17.365;3.483;25.871;17.170;4.325;32.889;15.368;4.372;37.213;13.057;4.463;39.197;11.183;4.567;40.316;17.337;4.383;25.675;16.725;6.837;32.473;14.689;7.471;35.742;12.755;7.388;37.447;10.848;7.303;38.599;16.871;5.438;26.105;16.485;8.864;27.696;15.644;10.370;30.517;14.964;12.975;31.087;0.000;0.000;0.000;-7.643;-12.230;-0.776;-9.833;-33.105;0.012;-12.404;-57.611;0.938;-11.649;-101.839;-6.837;7.542;-12.361;-1.659;9.587;-33.245;-0.583;11.987;-57.761;0.680;11.511;-102.100;-8.353
524.000;20.960;0.034;7.158;-0.174;0.047;13.896;-0.362;0.045;25.818;-0.726;-0.337;41.700;-1.377;-0.378;45.966;1.712;-0.057;52.432;2.923;-6.898;56.460;4.133;6.812;56.585;2.725;-2.574;58.576;11.184;3.973;58.636;10.512;-1.776;36.474;-2.758;-15.869;34.372;-1.064;-20.840;21.184;-1.868;-26.335;6.607;-2.757;-22.397;5.089;9.503;-17.979;3.292;23.929;-18.542;1.613;24.571;-15.543;-1.077;30.916;-14.304;-1.209;33.101;-13.249;-1.830;35.301;-12.353;-1.785;36.712;-18.616;2.436;24.755;-16.723;1.031;31.839;-14.784;0.911;35.451;-12.746;0.967;37.666;-11.302;0.853;39.109;-17.929;3.585;24.532;-16.562;3.574;32.523;-14.853;3.387;36.204;-12.368;3.199;38.401;-10.512;3.081;39.511;-18.061;4.655;24.415;-16.378;5.928;32.136;-14.357;5.902;35.434;-12.286;5.686;37.329;-10.627;5.296;38.494;-16.893;5.265;26.135;-15.210;8.016;28.054;-13.265;8.775;29.905;-12.901;11.289;31.070;1.449;36.556;-2.656;15.643;34.079;-0.578;20.623;20.359;-1.547;26.127;5.195;-2.618;22.293;4.445;9.611;18.039;3.205;24.553;17.901;1.403;25.544;16.237;-0.367;31.902;14.985;-1.307;34.465;13.223;-1.620;36.073;11.805;-1.775;37.008;17.944;2.308;25.659;17.176;1.958;32.299;15.206;1.434;36.233;12.520;1.267;38.249;10.712;1.371;39.307;17.412;3.435;25.905;17.203;4.297;32.902;15.339;4.243;37.199;12.905;4.323;39.045;10.973;4.392;40.065;17.370;4.334;25.711;16.758;6.788;32.490;14.660;7.337;35.750;12.745;7.234;37.433;10.817;7.109;38.543;16.888;5.401;26.106;16.443;8.814;27.719;15.567;10.276;30.582;14.794;12.853;31.160;0.000;0.000;0.000;-7.643;-12.231;-0.763;-9.836;-33.104;0.028;-12.409;-57.607;0.957;-11.663;-101.830;-6.828;7.542;-12.362;-1.651;9.584;-33.243;-0.574;11.983;-57.756;0.690;11.498;-102.095;-8.341
525.000;21.000;0.033;7.156;-0.181;0.043;13.893;-0.379;0.035;25.812;-0.765;-0.361;41.694;-1.427;-0.400;45.963;1.673;-0.074;52.425;2.912;-6.919;56.461;4.064;6.800;56.572;2.756;-2.645;58.587;11.143;3.907;58.640;10.518;-1.796;36.465;-2.804;-15.886;34.392;-1.091;-20.857;21.216;-1.829;-26.350;6.652;-2.645;-22.366;5.232;9.620;-17.892;3.567;24.047;-18.462;1.898;24.727;-15.222;-0.682;30.973;-13.790;-0.727;33.051;-12.499;-1.256;35.126;-11.390;-1.078;36.366;-18.599;2.707;24.933;-16.630;1.254;31.945;-14.589;0.997;35.514;-12.441;1.090;37.591;-10.850;0.984;38.871;-17.887;3.812;24.660;-16.613;3.826;32.643;-14.829;3.678;36.321;-12.083;3.549;38.256;-10.164;3.465;39.256;-18.012;4.890;24.527;-16.450;6.242;32.229;-14.456;6.270;35.518;-12.298;6.098;37.332;-10.555;5.711;38.369;-16.806;5.532;26.270;-14.479;7.918;28.058;-12.145;8.038;29.752;-10.955;10.215;31.039;1.429;36.550;-2.704;15.627;34.093;-0.631;20.644;20.381;-1.579;26.189;5.225;-2.625;22.349;4.422;9.617;18.077;3.123;24.588;17.972;1.306;25.539;16.337;-0.628;31.818;15.018;-1.572;34.374;13.117;-1.884;35.821;11.621;-2.007;36.632;18.006;2.211;25.665;17.262;1.727;32.315;14.979;1.144;36.064;12.014;1.001;37.686;10.066;1.141;38.450;17.474;3.308;25.960;17.250;4.088;32.923;15.119;3.905;37.076;12.506;3.854;38.674;10.449;3.887;39.411;17.423;4.209;25.775;16.770;6.560;32.546;14.613;6.974;35.757;12.561;6.733;37.357;10.631;6.495;38.446;16.918;5.234;26.162;16.229;8.595;27.907;15.214;9.873;30.842;14.101;12.257;31.647;0.000;0.000;0.000;-7.643;-12.232;-0.755;-9.839;-33.103;0.041;-12.417;-57.604;0.974;-11.679;-101.842;-6.810;7.542;-12.363;-1.643;9.584;-33.244;-0.561;11.981;-57.757;0.709;11.488;-102.096;-8.329
526.000;21.040;0.033;7.160;-0.192;0.040;13.900;-0.402;0.021;25.824;-0.807;-0.383;41.707;-1.454;-0.426;45.969;1.671;-0.107;52.412;2.974;-6.964;56.467;3.986;6.777;56.545;2.914;-2.808;58.623;11.126;3.754;58.660;10.614;-1.816;36.479;-2.835;-15.902;34.459;-1.104;-20.900;21.282;-1.621;-26.423;6.718;-2.193;-22.206;5.630;10.029;-17.453;4.379;24.410;-17.841;2.565;25.068;-14.188;0.405;31.230;-12.622;0.636;33.135;-10.805;0.431;34.957;-9.586;0.808;36.037;-18.054;3.356;25.279;-16.054;2.027;32.251;-13.977;1.640;35.796;-11.573;1.988;37.574;-9.753;2.194;38.483;-17.472;4.563;25.051;-16.335;4.607;33.012;-14.579;4.362;36.714;-11.630;4.540;38.324;-9.606;4.681;39.083;-17.667;5.632;24.895;-16.395;7.076;32.576;-14.320;7.261;35.819;-11.995;7.303;37.441;-10.136;7.018;38.293;-16.485;6.345;26.690;-13.948;8.456;28.489;-11.599;8.242;30.164;-9.919;10.074;31.440;1.409;36.565;-2.736;15.607;34.127;-0.664;20.689;20.430;-1.586;26.306;5.293;-2.605;22.396;4.363;9.647;18.008;2.926;24.653;18.010;1.096;25.529;16.539;-1.109;31.719;15.114;-2.178;34.157;13.073;-2.468;35.400;11.471;-2.544;35.982;18.018;1.995;25.691;17.390;1.183;32.309;14.661;0.413;35.736;11.478;0.165;36.798;9.426;0.242;37.227;17.363;3.091;26.058;17.281;3.557;32.992;14.850;2.987;36.924;12.051;2.772;38.189;9.893;2.684;38.526;17.294;3.998;25.914;16.630;5.954;32.728;14.388;5.997;35.873;12.291;5.477;37.307;10.308;5.068;38.239;16.756;4.860;26.369;15.569;7.904;28.456;14.372;8.708;31.498;12.824;10.647;32.688;0.000;0.000;0.000;-7.644;-12.232;-0.745;-9.844;-33.102;0.059;-12.427;-57.602;1.003;-11.691;-101.825;-6.779;7.542;-12.367;-1.613;9.575;-33.246;-0.520;11.962;-57.757;0.762;11.466;-102.096;-8.295
