Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
655.000;26.200;0.056;7.184;-0.248;0.105;13.944;-0.564;0.185;25.901;-1.230;-0.128;41.758;-2.363;-0.200;46.049;0.478;0.167;52.485;1.291;-6.587;56.549;2.824;7.005;56.626;0.540;-1.823;58.856;9.524;4.668;58.893;8.433;-1.556;36.497;-3.618;-15.708;34.499;-2.408;-20.835;21.440;-3.343;-26.502;7.006;-4.376;-23.119;5.538;8.024;-19.276;3.803;22.539;-20.003;2.214;23.247;-19.184;0.500;30.376;-18.504;0.939;32.719;-17.776;0.912;35.227;-17.114;1.322;36.706;-20.061;3.057;23.293;-20.374;2.707;30.635;-19.330;3.245;34.565;-18.170;3.674;37.254;-17.231;3.890;39.058;-19.277;4.164;23.054;-20.358;5.273;30.918;-19.568;5.842;34.873;-18.125;6.293;37.892;-17.291;6.468;39.883;-19.342;5.187;22.744;-19.813;7.518;30.335;-18.922;7.768;34.076;-17.727;7.809;36.581;-16.575;7.452;38.257;-18.459;5.859;24.564;-18.102;9.070;26.251;-17.032;10.351;28.754;-17.422;12.636;30.314;1.667;36.572;-3.450;15.821;34.071;-1.188;20.647;20.323;-1.864;25.981;5.127;-2.611;22.574;5.105;9.775;18.803;4.797;24.923;19.063;3.184;25.984;18.918;1.327;32.435;18.625;0.240;35.191;17.676;-0.380;37.333;16.890;-0.810;38.784;19.112;4.090;26.093;19.701;3.666;32.620;19.144;3.111;36.950;17.609;2.707;39.904;16.531;2.596;41.700;18.374;5.209;26.309;19.738;5.996;33.277;19.574;5.747;37.919;18.194;5.512;40.621;16.883;5.512;42.370;18.285;6.107;26.122;19.045;8.435;33.048;18.264;8.690;36.790;16.811;8.357;38.940;15.344;8.028;40.586;17.810;6.933;26.593;17.615;10.360;28.450;17.599;11.743;31.449;16.728;14.216;32.283;0.000;0.000;0.000;-7.646;-12.224;-0.839;-9.586;-33.118;-0.211;-11.863;-57.645;0.527;-10.475;-101.880;-7.773;7.553;-12.384;-1.411;9.246;-33.283;-0.438;11.234;-57.815;0.704;10.300;-102.131;-8.561
656.000;26.240;0.055;7.182;-0.247;0.101;13.941;-0.563;0.177;25.894;-1.231;-0.133;41.751;-2.371;-0.208;46.047;0.471;0.159;52.488;1.284;-6.593;56.555;2.819;7.000;56.626;0.538;-1.829;58.852;9.522;4.661;58.886;8.433;-1.560;36.489;-3.625;-15.713;34.498;-2.433;-20.846;21.443;-3.371;-26.518;7.015;-4.407;-23.155;5.562;7.998;-19.333;3.843;22.519;-20.058;2.250;23.228;-19.266;0.541;30.360;-18.562;0.997;32.710;-17.861;0.952;35.213;-17.193;1.369;36.688;-20.111;3.094;23.272;-20.455;2.761;30.612;-19.403;3.320;34.544;-18.245;3.750;37.228;-17.289;3.967;39.023;-19.327;4.212;23.036;-20.409;5.335;30.894;-19.663;5.910;34.852;-18.204;6.376;37.865;-17.382;6.533;39.862;-19.391;5.236;22.725;-19.888;7.574;30.304;-18.989;7.838;34.052;-17.789;7.876;36.566;-16.678;7.505;38.267;-18.511;5.902;24.550;-18.162;9.117;26.230;-17.076;10.395;28.748;-17.499;12.696;30.277;1.662;36.565;-3.454;15.813;34.064;-1.182;20.646;20.318;-1.828;25.989;5.124;-2.543;22.597;5.155;9.843;18.844;4.913;24.991;19.103;3.305;26.064;18.987;1.486;32.528;18.698;0.401;35.287;17.751;-0.212;37.431;16.973;-0.625;38.892;19.153;4.211;26.170;19.760;3.820;32.699;19.220;3.292;37.028;17.689;2.890;39.988;16.606;2.796;41.781;18.429;5.315;26.378;19.809;6.148;33.335;19.649;5.930;37.981;18.264;5.693;40.686;16.956;5.707;42.437;18.336;6.211;26.186;19.114;8.588;33.101;18.332;8.863;36.838;16.884;8.527;38.994;15.432;8.210;40.655;17.883;7.056;26.659;17.682;10.494;28.500;17.672;11.878;31.506;16.814;14.364;32.317;0.000;0.000;0.000;-7.644;-12.225;-0.848;-9.586;-33.118;-0.223;-11.866;-57.644;0.510;-10.483;-101.878;-7.783;7.556;-12.383;-1.407;9.246;-33.282;-0.438;11.229;-57.814;0.700;10.293;-102.130;-8.571
657.000;26.280;0.053;7.181;-0.245;0.098;13.939;-0.562;0.171;25.891;-1.230;-0.146;41.747;-2.376;-0.224;46.047;0.466;0.143;52.491;1.279;-6.607;56.561;2.814;6.985;56.627;0.530;-1.841;58.859;9.515;4.649;58.891;8.425;-1.569;36.484;-3.630;-15.723;34.488;-2.457;-20.851;21.431;-3.394;-26.519;7.000;-4.429;-23.194;5.575;7.991;-19.417;3.889;22.527;-20.137;2.301;23.238;-19.377;0.598;30.373;-18.679;1.050;32.728;-17.986;1.024;35.231;-17.319;1.444;36.705;-20.192;3.144;23.279;-20.567;2.825;30.618;-19.526;3.399;34.547;-18.371;3.841;37.232;-17.412;4.055;39.025;-19.417;4.259;23.044;-20.542;5.390;30.891;-19.805;5.978;34.852;-18.347;6.460;37.864;-17.531;6.609;39.864;-19.474;5.284;22.733;-20.012;7.637;30.297;-19.124;7.925;34.042;-17.910;7.969;36.572;-16.833;7.607;38.296;-18.627;5.953;24.547;-18.260;9.174;26.236;-17.173;10.455;28.748;-17.605;12.752;30.280;1.653;36.561;-3.455;15.801;34.067;-1.168;20.640;20.323;-1.795;25.988;5.132;-2.487;22.601;5.200;9.898;18.854;5.006;25.048;19.115;3.400;26.127;19.018;1.607;32.593;18.723;0.534;35.356;17.773;-0.069;37.501;16.979;-0.476;38.955;19.161;4.307;26.229;19.779;3.950;32.758;19.231;3.430;37.090;17.695;3.044;40.047;16.608;2.961;41.839;18.434;5.421;26.437;19.832;6.280;33.384;19.654;6.072;38.029;18.272;5.843;40.731;16.954;5.858;42.474;18.341;6.317;26.241;19.117;8.726;33.143;18.349;8.996;36.879;16.904;8.677;39.031;15.447;8.358;40.687;17.878;7.150;26.696;17.691;10.599;28.528;17.672;11.992;31.539;16.844;14.492;32.336;0.000;0.000;0.000;-7.642;-12.226;-0.854;-9.585;-33.117;-0.231;-11.868;-57.642;0.499;-10.485;-101.879;-7.787;7.559;-12.381;-1.407;9.245;-33.279;-0.442;11.223;-57.811;0.691;10.284;-102.127;-8.581
658.000;26.320;0.052;7.180;-0.245;0.095;13.936;-0.562;0.163;25.886;-1.230;-0.161;41.741;-2.381;-0.243;46.045;0.462;0.126;52.495;1.274;-6.624;56.565;2.806;6.968;56.631;0.523;-1.859;58.868;9.506;4.632;58.900;8.416;-1.580;36.477;-3.635;-15.731;34.473;-2.479;-20.853;21.412;-3.406;-26.514;6.977;-4.431;-23.231;5.584;8.001;-19.502;3.936;22.551;-20.224;2.347;23.263;-19.488;0.677;30.411;-18.815;1.098;32.766;-18.111;1.085;35.268;-17.460;1.521;36.746;-20.284;3.190;23.301;-20.679;2.886;30.648;-19.655;3.477;34.579;-18.521;3.930;37.265;-17.573;4.147;39.063;-19.510;4.287;23.077;-20.665;5.439;30.913;-19.936;6.059;34.869;-18.497;6.550;37.882;-17.681;6.719;39.881;-19.557;5.312;22.761;-20.136;7.707;30.312;-19.265;8.010;34.054;-18.072;8.067;36.577;-16.962;7.727;38.284;-18.727;6.015;24.578;-18.364;9.234;26.250;-17.256;10.517;28.751;-17.699;12.800;30.300;1.642;36.556;-3.457;15.789;34.074;-1.153;20.631;20.328;-1.761;25.983;5.135;-2.433;22.579;5.225;9.946;18.811;5.053;25.091;19.078;3.445;26.168;18.960;1.669;32.643;18.663;0.605;35.407;17.710;0.011;37.549;16.907;-0.392;38.999;19.120;4.353;26.270;19.720;4.016;32.807;19.179;3.507;37.134;17.623;3.129;40.088;16.533;3.054;41.878;18.391;5.480;26.477;19.784;6.342;33.420;19.594;6.151;38.070;18.209;5.934;40.770;16.889;5.956;42.512;18.302;6.375;26.279;19.077;8.796;33.172;18.299;9.071;36.913;16.865;8.764;39.062;15.395;8.453;40.708;17.850;7.206;26.735;17.649;10.657;28.552;17.642;12.058;31.568;16.808;14.563;32.343;0.000;0.000;0.000;-7.640;-12.227;-0.856;-9.589;-33.117;-0.233;-11.877;-57.639;0.498;-10.501;-101.876;-7.794;7.560;-12.381;-1.405;9.242;-33.278;-0.440;11.216;-57.809;0.692;10.271;-102.125;-8.584
659.000;26.360;0.052;7.178;-0.246;0.093;13.933;-0.564;0.158;25.879;-1.234;-0.173;41.734;-2.389;-0.259;46.042;0.456;0.108;52.497;1.266;-6.646;56.563;2.793;6.948;56.636;0.519;-1.886;58.871;9.495;4.605;58.906;8.409;-1.589;36.470;-3.642;-15.738;34.459;-2.497;-20.856;21.396;-3.414;-26.512;6.958;-4.427;-23.262;5.590;8.014;-19.571;3.973;22.574;-20.300;2.387;23.286;-19.584;0.727;30.440;-18.904;1.139;32.799;-18.209;1.144;35.303;-17.565;1.583;36.782;-20.363;3.230;23.322;-20.765;2.940;30.671;-19.755;3.547;34.604;-18.638;4.004;37.290;-17.698;4.228;39.093;-19.584;4.319;23.099;-20.757;5.504;30.928;-20.000;6.130;34.880;-18.598;6.639;37.897;-17.777;6.829;39.892;-19.630;5.347;22.781;-20.228;7.760;30.327;-19.357;8.077;34.067;-18.178;8.156;36.581;-17.036;7.835;38.271;-18.803;6.056;24.596;-18.452;9.284;26.265;-17.334;10.565;28.765;-17.778;12.848;30.313;1.633;36.550;-3.462;15.779;34.074;-1.147;20.623;20.328;-1.746;25.976;5.136;-2.409;22.552;5.226;9.967;18.759;5.055;25.108;19.024;3.445;26.184;18.896;1.667;32.656;18.595;0.606;35.422;17.633;0.009;37.563;16.830;-0.400;39.012;19.065;4.353;26.286;19.643;4.017;32.828;19.089;3.513;37.154;17.531;3.121;40.099;16.433;3.046;41.885;18.333;5.487;26.490;19.702;6.342;33.441;19.517;6.150;38.088;18.114;5.943;40.783;16.785;5.957;42.517;18.245;6.382;26.293;19.001;8.789;33.189;18.219;9.091;36.921;16.765;8.757;39.065;15.280;8.447;40.698;17.752;7.205;26.751;17.581;10.655;28.570;17.573;12.060;31.578;16.727;14.563;32.349;0.000;0.000;0.000;-7.640;-12.227;-0.856;-9.593;-33.116;-0.233;-11.886;-57.637;0.499;-10.516;-101.872;-7.802;7.561;-12.381;-1.402;9.239;-33.278;-0.439;11.208;-57.811;0.692;10.255;-102.123;-8.592
660.000;26.400;0.052;7.176;-0.248;0.093;13.930;-0.568;0.157;25.873;-1.244;-0.180;41.728;-2.400;-0.270;46.039;0.446;0.086;52.497;1.257;-6.674;56.556;2.777;6.921;56.645;0.515;-1.923;58.870;9.483;4.569;58.913;8.403;-1.593;36.463;-3.653;-15.742;34.447;-2.514;-20.858;21.383;-3.426;-26.513;6.943;-4.434;-23.277;5.589;8.014;-19.603;3.989;22.582;-20.331;2.398;23.291;-19.630;0.750;30.448;-18.947;1.168;32.810;-18.259;1.169;35.314;-17.623;1.604;36.798;-20.391;3.241;23.327;-20.811;2.964;30.672;-19.810;3.576;34.608;-18.697;4.031;37.300;-17.774;4.254;39.111;-19.614;4.337;23.108;-20.803;5.519;30.933;-20.003;6.163;34.875;-18.597;6.700;37.883;-17.770;6.903;39.874;-19.666;5.363;22.786;-20.268;7.785;30.319;-19.368;8.122;34.057;-18.164;8.199;36.575;-17.058;7.870;38.288;-18.843;6.072;24.596;-18.486;9.303;26.266;-17.376;10.581;28.766;-17.807;12.864;30.319;1.629;36.544;-3.473;15.773;34.071;-1.154;20.620;20.327;-1.753;25.978;5.136;-2.415;22.527;5.209;9.955;18.704;5.018;25.089;18.967;3.418;26.167;18.814;1.615;32.632;18.513;0.547;35.395;17.534;-0.062;37.532;16.730;-0.481;38.977;19.011;4.325;26.269;19.559;3.966;32.811;18.983;3.459;37.134;17.412;3.061;40.070;16.302;2.978;41.848;18.264;5.453;26.468;19.603;6.294;33.434;19.404;6.089;38.076;17.976;5.873;40.758;16.635;5.880;42.484;18.177;6.349;26.272;18.908;8.715;33.178;18.098;9.037;36.905;16.628;8.694;39.040;15.129;8.376;40.658;17.653;7.166;26.743;17.498;10.610;28.558;17.475;12.012;31.560;16.626;14.509;32.345;0.000;0.000;0.000;-7.640;-12.227;-0.853;-9.594;-33.114;-0.232;-11.888;-57.634;0.498;-10.524;-101.870;-7.808;7.561;-12.381;-1.401;9.237;-33.278;-0.438;11.204;-57.809;0.692;10.245;-102.120;-8.599
661.000;26.440;0.052;7.174;-0.249;0.093;13.926;-0.571;0.157;25.866;-1.251;-0.180;41.721;-2.399;-0.271;46.034;0.450;0.083;52.499;1.262;-6.679;56.555;2.779;6.917;56.648;0.524;-1.932;58.870;9.488;4.561;58.914;8.411;-1.593;36.457;-3.655;-15.743;34.438;-2.511;-20.861;21.376;-3.434;-26.518;6.938;-4.454;-23.279;5.593;7.993;-19.602;4.001;22.559;-20.325;2.405;23.264;-19.635;0.760;30.431;-18.979;1.191;32.797;-18.314;1.160;35.303;-17.693;1.581;36.797;-20.382;3.248;23.299;-20.824;2.975;30.641;-19.853;3.598;34.584;-18.741;4.053;37.291;-17.884;4.289;39.133;-19.607;4.346;23.095;-20.802;5.517;30.905;-19.931;6.184;34.827;-18.530;6.738;37.830;-17.713;6.940;39.825;-19.659;5.366;22.771;-20.253;7.813;30.279;-19.266;8.163;34.015;-18.064;8.247;36.543;-17.069;7.910;38.321;-18.848;6.089;24.573;-18.486;9.318;26.232;-17.398;10.600;28.734;-17.812;12.886;30.288;1.629;36.538;-3.475;15.772;34.062;-1.163;20.620;20.317;-1.774;25.979;5.125;-2.449;22.507;5.155;9.915;18.656;4.913;25.041;18.918;3.312;26.117;18.747;1.482;32.577;18.445;0.401;35.333;17.465;-0.218;37.464;16.656;-0.636;38.907;18.961;4.219;26.223;19.497;3.837;32.762;18.899;3.312;37.086;17.316;2.903;40.013;16.197;2.806;41.784;18.212;5.340;26.421;19.526;6.163;33.395;19.302;5.937;38.036;17.857;5.698;40.709;16.505;5.701;42.426;18.123;6.236;26.227;18.831;8.575;33.146;17.999;8.871;36.881;16.544;8.539;39.004;15.032;8.199;40.606;17.615;7.058;26.708;17.425;10.488;28.529;17.388;11.878;31.527;16.529;14.363;32.337;0.000;0.000;0.000;-7.640;-12.227;-0.850;-9.593;-33.114;-0.230;-11.886;-57.632;0.498;-10.523;-101.867;-7.816;7.560;-12.381;-1.402;9.237;-33.276;-0.440;11.206;-57.805;0.689;10.245;-102.113;-8.607
662.000;26.480;0.052;7.171;-0.250;0.093;13.919;-0.573;0.158;25.853;-1.255;-0.186;41.709;-2.394;-0.271;46.023;0.454;0.097;52.493;1.258;-6.668;56.543;2.778;6.928;56.649;0.520;-1.922;58.861;9.486;4.570;58.911;8.408;-1.598;36.445;-3.652;-15.749;34.424;-2.487;-20.864;21.371;-3.416;-26.518;6.944;-4.443;-23.251;5.655;7.995;-19.536;4.123;22.557;-20.230;2.541;23.235;-19.708;0.834;30.418;-19.334;1.228;32.839;-18.994;1.140;35.401;-18.595;1.510;36.983;-20.288;3.385;23.272;-20.858;3.106;30.600;-20.234;3.735;34.607;-19.363;4.230;37.397;-18.715;4.509;39.316;-19.543;4.469;23.130;-20.758;5.611;30.891;-19.765;6.266;34.774;-18.509;6.807;37.841;-17.830;7.009;39.888;-19.588;5.495;22.804;-20.160;7.946;30.296;-18.790;8.162;33.965;-17.686;8.251;36.514;-16.831;7.908;38.362;-18.819;6.236;24.567;-18.515;9.490;26.202;-17.469;10.789;28.704;-17.906;13.099;30.213;1.624;36.527;-3.474;15.771;34.053;-1.176;20.632;20.309;-1.808;26.005;5.118;-2.506;22.512;5.072;9.855;18.636;4.738;24.978;18.894;3.112;26.041;18.720;1.242;32.490;18.406;0.140;35.232;17.419;-0.494;37.354;16.608;-0.923;38.792;18.926;4.020;26.150;19.465;3.606;32.690;18.825;3.049;37.008;17.218;2.616;39.911;16.079;2.488;41.668;18.189;5.142;26.365;19.475;5.941;33.342;19.217;5.673;37.980;17.738;5.389;40.634;16.350;5.374;42.322;18.094;6.038;26.177;18.764;8.351;33.110;17.918;8.595;36.843;16.462;8.241;38.957;14.936;7.855;40.535;17.597;6.860;26.634;17.360;10.276;28.512;17.315;11.652;31.507;16.420;14.117;32.342;0.000;0.000;0.000;-7.640;-12.228;-0.846;-9.590;-33.114;-0.231;-11.879;-57.632;0.491;-10.515;-101.867;-7.827;7.560;-12.381;-1.401;9.241;-33.276;-0.441;11.215;-57.804;0.686;10.259;-102.112;-8.612
663.000;26.520;0.051;7.170;-0.254;0.094;13.917;-0.578;0.163;25.850;-1.257;-0.191;41.707;-2.366;-0.262;46.013;0.477;0.144;52.483;1.256;-6.623;56.530;2.776;6.973;56.642;0.517;-1.878;58.850;9.484;4.615;58.903;8.405;-1.602;36.444;-3.632;-15.750;34.442;-2.419;-20.873;21.399;-3.288;-26.535;6.983;-4.249;-23.191;5.929;8.168;-19.358;4.664;22.727;-19.964;3.130;23.345;-20.113;1.247;30.478;-20.400;1.502;32.931;-20.884;1.261;35.453;-21.073;1.511;37.095;-20.036;3.971;23.393;-21.075;3.597;30.643;-21.200;4.132;34.680;-21.091;4.610;37.598;-20.975;4.858;39.624;-19.449;4.959;23.381;-20.840;6.058;31.017;-19.896;6.644;34.893;-19.105;7.129;38.124;-18.802;7.313;40.260;-19.452;5.988;23.063;-20.187;8.424;30.433;-18.092;8.401;33.790;-16.804;8.438;36.240;-15.856;8.054;38.033;-18.784;6.874;24.724;-18.643;10.184;26.277;-17.706;11.503;28.800;-18.226;13.897;30.143;1.620;36.528;-3.457;15.778;34.061;-1.183;20.691;20.331;-1.850;26.121;5.157;-2.587;22.591;4.952;9.779;18.670;4.430;24.914;18.937;2.768;25.933;18.774;0.793;32.340;18.428;-0.350;35.061;17.380;-1.022;37.149;16.541;-1.476;38.564;18.945;3.674;26.056;19.496;3.159;32.597;18.703;2.520;36.881;16.923;2.035;39.671;15.675;1.846;41.346;18.215;4.768;26.326;19.452;5.518;33.286;19.006;5.131;37.902;17.369;4.787;40.452;15.835;4.715;42.008;18.092;5.663;26.153;18.681;7.913;33.086;17.743;8.056;36.792;16.233;7.611;38.853;14.666;7.160;40.373;17.561;6.476;26.567;17.305;9.826;28.586;17.310;11.158;31.598;16.377;13.592;32.478;0.000;0.000;0.000;-7.638;-12.230;-0.837;-9.583;-33.117;-0.227;-11.867;-57.635;0.489;-10.501;-101.871;-7.828;7.563;-12.381;-1.391;9.247;-33.276;-0.432;11.224;-57.806;0.693;10.272;-102.115;-8.609
