Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
70.000;2.800;0.030;7.248;-0.321;-0.021;14.076;-0.493;-0.212;26.163;-0.633;-0.555;42.051;-1.166;-0.600;46.309;1.952;-0.295;52.795;3.179;-7.142;56.712;4.681;6.534;57.016;2.995;-2.688;58.601;11.716;3.843;58.747;10.911;-2.004;36.838;-2.589;-15.957;34.971;-1.117;-21.196;21.960;-2.146;-26.986;7.581;-3.285;-21.538;6.605;8.367;-15.339;5.450;22.085;-16.178;4.063;23.028;-13.187;1.685;29.508;-11.791;1.565;31.558;-10.470;0.904;33.627;-9.363;0.905;34.880;-16.046;4.898;23.062;-13.784;4.243;30.141;-11.566;4.132;33.616;-9.336;3.995;35.593;-7.751;3.786;36.869;-15.076;5.968;22.529;-13.077;6.731;30.339;-10.896;6.849;33.819;-8.353;6.726;36.081;-6.839;6.638;37.627;-15.068;7.018;22.284;-12.329;8.867;29.601;-10.105;8.893;32.752;-8.236;8.672;34.848;-6.762;8.204;36.217;-13.542;7.366;23.788;-11.823;10.264;25.184;-9.902;10.968;26.806;-8.995;13.422;27.787;1.221;36.911;-2.481;15.329;34.544;-0.567;21.200;21.175;-2.033;27.690;6.398;-3.652;22.312;5.240;7.969;16.132;3.511;22.193;15.791;1.776;23.108;13.997;-0.599;29.163;13.114;-2.017;31.655;11.817;-2.865;33.528;10.774;-3.398;34.768;15.908;2.654;23.333;14.875;1.688;29.771;13.303;0.861;33.803;11.104;0.566;36.308;9.653;0.475;37.820;15.421;3.857;23.442;15.054;3.888;30.639;13.642;3.355;35.061;11.663;3.188;37.346;10.019;3.238;38.785;15.509;4.770;23.353;14.854;6.441;30.550;13.615;6.763;34.197;12.177;6.646;36.369;10.696;6.618;38.034;15.072;5.670;23.903;15.197;8.964;25.740;14.447;10.317;28.701;14.171;12.886;29.648;0.000;0.000;0.000;-7.647;-12.237;-0.624;-9.722;-32.965;0.935;-12.158;-57.299;2.766;-10.941;-101.489;-5.269;7.557;-12.416;-1.070;9.280;-33.086;0.652;11.303;-57.351;2.674;10.450;-101.771;-6.329
71.000;2.840;0.030;7.250;-0.321;-0.022;14.079;-0.495;-0.216;26.169;-0.638;-0.560;42.056;-1.184;-0.607;46.315;1.928;-0.304;52.799;3.147;-7.154;56.713;4.645;6.522;57.024;2.961;-2.702;58.611;11.680;3.828;58.760;10.875;-2.009;36.842;-2.603;-15.959;34.975;-1.134;-21.201;21.967;-2.152;-26.995;7.589;-3.277;-21.540;6.619;8.371;-15.336;5.470;22.084;-16.161;4.084;23.029;-13.169;1.718;29.512;-11.775;1.578;31.560;-10.436;0.939;33.633;-9.355;0.916;34.909;-16.024;4.918;23.062;-13.785;4.266;30.139;-11.560;4.171;33.615;-9.327;4.029;35.597;-7.740;3.826;36.871;-15.064;6.003;22.523;-13.054;6.753;30.333;-10.873;6.874;33.815;-8.333;6.751;36.076;-6.824;6.674;37.628;-15.069;7.052;22.282;-12.312;8.879;29.601;-10.094;8.914;32.746;-8.193;8.707;34.824;-6.754;8.220;36.223;-13.541;7.376;23.759;-11.813;10.285;25.164;-9.862;10.989;26.786;-8.992;13.452;27.778;1.216;36.916;-2.495;15.328;34.549;-0.574;21.200;21.179;-2.031;27.691;6.401;-3.640;22.306;5.248;7.978;16.114;3.527;22.198;15.782;1.782;23.107;13.973;-0.577;29.174;13.099;-1.998;31.662;11.798;-2.847;33.534;10.756;-3.373;34.778;15.896;2.662;23.329;14.846;1.709;29.778;13.278;0.889;33.805;11.080;0.602;36.314;9.630;0.502;37.827;15.405;3.881;23.448;15.044;3.919;30.647;13.624;3.384;35.068;11.652;3.217;37.356;9.991;3.268;38.776;15.493;4.794;23.360;14.841;6.479;30.551;13.596;6.796;34.200;12.155;6.675;36.370;10.671;6.647;38.032;15.053;5.687;23.911;15.174;8.978;25.743;14.431;10.336;28.724;14.136;12.916;29.633;0.000;0.000;0.000;-7.649;-12.236;-0.624;-9.726;-32.964;0.936;-12.164;-57.297;2.768;-10.950;-101.473;-5.266;7.555;-12.418;-1.070;9.276;-33.085;0.652;11.297;-57.347;2.674;10.440;-101.769;-6.330
72.000;2.880;0.030;7.249;-0.321;-0.023;14.079;-0.496;-0.219;26.168;-0.645;-0.560;42.055;-1.207;-0.607;46.314;1.898;-0.306;52.797;3.107;-7.157;56.710;4.602;6.519;57.024;2.921;-2.708;58.613;11.636;3.823;58.762;10.834;-2.010;36.840;-2.620;-15.963;34.978;-1.150;-21.206;21.970;-2.158;-27.000;7.593;-3.273;-21.545;6.630;8.376;-15.338;5.491;22.089;-16.174;4.109;23.039;-13.191;1.759;29.524;-11.773;1.614;31.573;-10.447;0.953;33.645;-9.359;0.939;34.915;-16.040;4.944;23.072;-13.785;4.283;30.145;-11.562;4.207;33.626;-9.317;4.074;35.603;-7.744;3.867;36.894;-15.064;5.994;22.527;-13.066;6.784;30.340;-10.881;6.892;33.827;-8.335;6.777;36.084;-6.833;6.698;37.641;-15.070;7.037;22.289;-12.321;8.914;29.603;-10.095;8.940;32.753;-8.195;8.726;34.832;-6.725;8.287;36.215;-13.535;7.402;23.782;-11.819;10.304;25.176;-9.890;11.024;26.776;-8.994;13.467;27.793;1.215;36.913;-2.512;15.327;34.551;-0.590;21.208;21.182;-2.032;27.708;6.405;-3.625;22.319;5.256;7.993;16.125;3.537;22.211;15.782;1.789;23.122;13.982;-0.559;29.188;13.105;-1.979;31.681;11.806;-2.826;33.554;10.767;-3.362;34.797;15.888;2.670;23.342;14.853;1.724;29.794;13.293;0.903;33.825;11.089;0.621;36.327;9.639;0.521;37.840;15.414;3.903;23.458;15.051;3.924;30.658;13.627;3.404;35.081;11.649;3.240;37.367;9.991;3.284;38.790;15.506;4.815;23.370;14.834;6.494;30.568;13.606;6.812;34.215;12.155;6.690;36.380;10.665;6.656;38.038;15.056;5.706;23.930;15.186;8.995;25.755;14.436;10.353;28.733;14.132;12.933;29.640;0.000;0.000;0.000;-7.649;-12.235;-0.624;-9.724;-32.966;0.937;-12.158;-57.302;2.769;-10.941;-101.480;-5.255;7.554;-12.418;-1.070;9.278;-33.087;0.654;11.302;-57.351;2.678;10.450;-101.774;-6.320
73.000;2.920;0.030;7.251;-0.322;-0.024;14.081;-0.498;-0.224;26.172;-0.649;-0.564;42.059;-1.224;-0.611;46.318;1.875;-0.308;52.799;3.077;-7.158;56.714;4.570;6.518;57.023;2.890;-2.709;58.616;11.605;3.822;58.764;10.802;-2.014;36.843;-2.634;-15.967;34.989;-1.161;-21.212;21.982;-2.160;-27.009;7.605;-3.263;-21.553;6.648;8.386;-15.344;5.517;22.100;-16.176;4.146;23.053;-13.203;1.797;29.539;-11.799;1.644;31.582;-10.459;0.996;33.657;-9.368;0.996;34.925;-16.043;4.981;23.088;-13.780;4.314;30.160;-11.575;4.262;33.641;-9.341;4.132;35.620;-7.749;3.957;36.891;-15.058;6.034;22.544;-13.058;6.811;30.352;-10.890;6.941;33.831;-8.333;6.839;36.081;-6.851;6.742;37.657;-15.053;7.080;22.296;-12.313;8.949;29.605;-10.109;8.979;32.754;-8.201;8.771;34.835;-6.765;8.279;36.234;-13.547;7.422;23.780;-11.836;10.335;25.180;-9.873;11.039;26.801;-9.003;13.505;27.784;1.211;36.916;-2.525;15.326;34.555;-0.601;21.210;21.186;-2.031;27.714;6.410;-3.611;22.323;5.266;8.005;16.128;3.554;22.224;15.791;1.811;23.134;13.986;-0.546;29.194;13.110;-1.954;31.691;11.812;-2.804;33.569;10.780;-3.351;34.812;15.902;2.691;23.355;14.850;1.736;29.803;13.283;0.919;33.832;11.084;0.631;36.336;9.647;0.521;37.860;15.420;3.910;23.470;15.042;3.945;30.668;13.619;3.450;35.089;11.648;3.264;37.373;9.991;3.308;38.798;15.508;4.822;23.381;14.847;6.506;30.572;13.587;6.828;34.226;12.155;6.721;36.393;10.669;6.685;38.053;15.076;5.717;23.961;15.185;9.013;25.765;14.422;10.373;28.731;14.146;12.949;29.658;0.000;0.000;0.000;-7.650;-12.235;-0.624;-9.724;-32.966;0.935;-12.158;-57.301;2.766;-10.944;-101.495;-5.247;7.554;-12.418;-1.069;9.278;-33.087;0.655;11.302;-57.351;2.679;10.447;-101.774;-6.318
74.000;2.960;0.030;7.251;-0.323;-0.025;14.082;-0.500;-0.229;26.174;-0.652;-0.568;42.060;-1.242;-0.614;46.320;1.852;-0.310;52.799;3.050;-7.160;56.715;4.539;6.516;57.024;2.858;-2.710;58.627;11.570;3.821;58.774;10.767;-2.018;36.843;-2.647;-15.971;34.992;-1.173;-21.223;21.984;-2.156;-27.028;7.607;-3.242;-21.565;6.662;8.407;-15.348;5.540;22.122;-16.170;4.171;23.074;-13.211;1.825;29.555;-11.755;1.647;31.603;-10.458;1.042;33.679;-9.367;1.032;34.946;-16.039;5.006;23.107;-13.778;4.378;30.177;-11.587;4.304;33.660;-9.343;4.182;35.633;-7.755;4.009;36.910;-15.072;6.066;22.559;-13.074;6.857;30.364;-10.885;6.979;33.850;-8.337;6.887;36.093;-6.853;6.800;37.668;-15.070;7.111;22.310;-12.296;8.990;29.613;-10.105;9.018;32.766;-8.205;8.810;34.851;-6.757;8.329;36.243;-13.549;7.457;23.806;-11.828;10.366;25.202;-9.884;11.073;26.812;-9.002;13.534;27.798;1.207;36.916;-2.538;15.323;34.557;-0.613;21.208;21.186;-2.032;27.713;6.408;-3.601;22.321;5.274;8.017;16.124;3.573;22.237;15.786;1.829;23.150;13.988;-0.521;29.214;13.110;-1.935;31.717;11.814;-2.788;33.582;10.784;-3.310;34.838;15.893;2.710;23.371;14.852;1.753;29.816;13.302;0.957;33.855;11.090;0.660;36.358;9.649;0.558;37.879;15.422;3.928;23.482;15.042;3.983;30.687;13.633;3.459;35.108;11.652;3.290;37.390;9.998;3.336;38.818;15.510;4.840;23.392;14.845;6.533;30.583;13.592;6.856;34.236;12.161;6.747;36.401;10.662;6.719;38.051;15.077;5.733;23.952;15.182;9.036;25.771;14.419;10.394;28.753;14.146;12.979;29.655;0.000;0.000;0.000;-7.650;-12.235;-0.623;-9.724;-32.966;0.935;-12.159;-57.303;2.765;-10.943;-101.480;-5.257;7.554;-12.418;-1.069;9.278;-33.087;0.655;11.301;-57.351;2.679;10.445;-101.776;-6.317
75.000;3.000;0.030;7.253;-0.323;-0.027;14.085;-0.501;-0.236;26.178;-0.655;-0.576;42.064;-1.259;-0.622;46.326;1.830;-0.317;52.803;3.021;-7.165;56.723;4.510;6.511;57.024;2.826;-2.714;58.636;11.540;3.817;58.780;10.736;-2.026;36.845;-2.659;-15.977;34.996;-1.183;-21.233;21.988;-2.150;-27.042;7.612;-3.218;-21.575;6.676;8.431;-15.350;5.571;22.145;-16.186;4.197;23.097;-13.237;1.873;29.586;-11.811;1.718;31.633;-10.500;1.095;33.716;-9.378;1.091;34.956;-16.054;5.032;23.127;-13.812;4.406;30.205;-11.608;4.360;33.683;-9.348;4.243;35.654;-7.774;4.039;36.943;-15.059;6.101;22.579;-13.101;6.898;30.390;-10.924;7.030;33.876;-8.354;6.945;36.112;-6.884;6.848;37.699;-15.072;7.140;22.331;-12.350;9.040;29.634;-10.162;9.073;32.799;-8.240;8.866;34.871;-6.785;8.429;36.270;-13.562;7.480;23.815;-11.848;10.401;25.219;-9.863;11.103;26.798;-9.020;13.561;27.827;1.199;36.919;-2.551;15.314;34.566;-0.623;21.203;21.194;-2.025;27.711;6.415;-3.574;22.312;5.282;8.041;16.104;3.586;22.260;15.769;1.840;23.165;13.954;-0.509;29.238;13.080;-1.926;31.729;11.783;-2.777;33.600;10.749;-3.325;34.842;15.877;2.720;23.386;14.827;1.763;29.836;13.255;0.950;33.867;11.053;0.660;36.368;9.606;0.556;37.883;15.391;3.931;23.509;15.013;3.986;30.704;13.589;3.469;35.122;11.615;3.290;37.403;9.950;3.336;38.818;15.475;4.844;23.419;14.811;6.543;30.602;13.542;6.847;34.253;12.103;6.744;36.418;10.610;6.712;38.072;15.047;5.743;23.973;15.143;9.042;25.792;14.379;10.394;28.774;14.094;12.974;29.689;0.000;0.000;0.000;-7.650;-12.235;-0.623;-9.724;-32.967;0.934;-12.159;-57.304;2.762;-10.942;-101.481;-5.263;7.554;-12.418;-1.068;9.278;-33.088;0.656;11.301;-57.352;2.679;10.444;-101.775;-6.317
76.000;3.040;0.030;7.252;-0.323;-0.028;14.084;-0.502;-0.238;26.177;-0.658;-0.582;42.061;-1.282;-0.630;46.324;1.800;-0.329;52.798;2.983;-7.179;56.717;4.468;6.497;57.022;2.784;-2.728;58.638;11.496;3.803;58.783;10.692;-2.031;36.841;-2.675;-15.984;34.993;-1.192;-21.245;21.987;-2.154;-27.059;7.613;-3.217;-21.579;6.688;8.430;-15.339;5.597;22.135;-16.193;4.199;23.092;-13.294;1.970;29.620;-11.836;1.868;31.667;-10.443;1.279;33.700;-9.289;1.302;34.910;-16.057;5.034;23.110;-13.907;4.514;30.227;-11.672;4.485;33.699;-9.427;4.373;35.654;-7.799;4.242;36.884;-15.038;6.098;22.581;-13.203;7.051;30.378;-11.038;7.172;33.870;-8.485;7.056;36.100;-6.947;6.988;37.623;-15.031;7.143;22.308;-12.470;9.161;29.601;-10.257;9.247;32.768;-8.392;9.054;34.876;-6.961;8.597;36.292;-13.560;7.499;23.797;-11.848;10.428;25.184;-9.880;11.129;26.808;-9.022;13.596;27.802;1.194;36.915;-2.567;15.312;34.572;-0.641;21.206;21.200;-2.021;27.720;6.420;-3.545;22.305;5.271;8.068;16.082;3.557;22.285;15.747;1.815;23.186;13.943;-0.561;29.234;13.056;-1.971;31.738;11.756;-2.842;33.592;10.702;-3.374;34.823;15.851;2.696;23.410;14.793;1.714;29.852;13.205;0.883;33.870;10.991;0.584;36.361;9.528;0.475;37.861;15.368;3.877;23.542;14.964;3.934;30.727;13.528;3.403;35.135;11.546;3.221;37.408;9.868;3.244;38.809;15.443;4.790;23.452;14.752;6.489;30.628;13.466;6.776;34.273;11.995;6.643;36.415;10.486;6.598;38.055;14.993;5.708;23.989;15.069;9.000;25.847;14.275;10.328;28.834;13.943;12.901;29.753;0.000;0.000;0.000;-7.649;-12.235;-0.624;-9.724;-32.968;0.937;-12.160;-57.306;2.769;-10.944;-101.502;-5.245;7.554;-12.418;-1.067;9.278;-33.089;0.657;11.302;-57.355;2.680;10.444;-101.778;-6.316
77.000;3.080;0.030;7.253;-0.323;-0.025;14.086;-0.503;-0.230;26.181;-0.663;-0.576;42.065;-1.303;-0.621;46.327;1.775;-0.318;52.796;2.955;-7.169;56.716;4.428;6.507;57.022;2.752;-2.724;58.651;11.456;3.808;58.797;10.656;-2.024;36.843;-2.691;-15.980;34.996;-1.194;-21.242;21.992;-2.142;-27.059;7.618;-3.191;-21.550;6.724;8.446;-15.248;5.685;22.127;-16.135;4.231;23.066;-13.548;2.201;29.761;-12.135;2.165;31.820;-10.199;1.646;33.438;-8.787;1.757;34.327;-15.989;5.065;23.062;-14.149;4.765;30.279;-11.981;4.722;33.783;-9.570;4.593;35.552;-7.806;4.400;36.567;-14.972;6.223;22.561;-13.522;7.303;30.418;-11.431;7.385;33.958;-8.816;7.203;36.116;-7.235;7.088;37.592;-15.003;7.268;22.270;-12.764;9.422;29.610;-10.777;9.587;32.890;-8.910;9.447;35.030;-7.502;9.049;36.487;-13.556;7.625;23.863;-11.863;10.547;25.194;-9.965;11.218;26.911;-8.962;13.626;27.914;1.201;36.917;-2.583;15.326;34.590;-0.672;21.228;21.220;-2.032;27.751;6.442;-3.535;22.306;5.249;8.075;16.034;3.484;22.294;15.724;1.718;23.161;13.940;-0.753;29.169;13.038;-2.188;31.661;11.743;-3.076;33.493;10.678;-3.613;34.713;15.818;2.598;23.393;14.745;1.552;29.834;13.143;0.636;33.819;10.904;0.293;36.281;9.425;0.167;37.763;15.306;3.766;23.566;14.900;3.729;30.723;13.446;3.137;35.116;11.437;2.901;37.373;9.750;2.890;38.761;15.378;4.680;23.483;14.647;6.284;30.665;13.297;6.470;34.300;11.823;6.308;36.421;10.311;6.200;38.055;14.864;5.582;24.014;14.801;8.814;26.016;13.880;10.034;28.995;13.443;12.552;30.014;0.000;0.000;0.000;-7.650;-12.235;-0.621;-9.724;-32.969;0.938;-12.160;-57.309;2.767;-10.951;-101.503;-5.239;7.554;-12.418;-1.070;9.279;-33.091;0.658;11.304;-57.360;2.686;10.442;-101.786;-6.302
78.000;3.120;0.030;7.256;-0.324;-0.022;14.092;-0.508;-0.217;26.191;-0.681;-0.576;42.074;-1.336;-0.618;46.337;1.746;-0.297;52.798;2.945;-7.152;56.725;4.383;6.529;57.022;2.739;-2.723;58.694;11.412;3.810;58.836;10.627;-2.019;36.849;-2.719;-15.978;35.027;-1.213;-21.197;22.020;-2.063;-26.965;7.645;-3.003;-21.355;6.859;8.614;-14.848;5.978;22.255;-15.878;4.623;23.119;-14.331;2.827;30.127;-13.134;2.768;32.282;-10.614;2.452;32.842;-8.969;2.601;32.581;-15.700;5.450;23.102;-14.978;5.409;30.480;-12.857;5.169;33.995;-10.055;4.797;35.080;-8.070;4.340;35.254;-14.604;6.536;22.692;-14.237;7.941;30.555;-12.379;7.794;34.243;-9.563;7.211;36.032;-7.737;6.725;37.090;-14.582;7.551;22.352;-13.372;10.063;29.749;-11.907;10.371;33.296;-10.411;10.214;35.668;-9.167;9.767;37.254;-13.304;7.914;24.045;-11.631;10.848;25.576;-9.879;11.419;27.451;-8.739;13.585;28.799;1.206;36.927;-2.611;15.339;34.633;-0.702;21.264;21.286;-2.060;27.813;6.533;-3.561;22.290;5.150;8.025;15.906;3.178;22.231;15.725;1.357;23.037;14.071;-1.313;28.999;13.192;-2.822;31.438;11.885;-3.810;33.228;10.849;-4.424;34.436;15.758;2.238;23.279;14.762;1.018;29.717;13.085;-0.043;33.642;10.770;-0.606;36.008;9.253;-0.843;37.437;15.194;3.341;23.517;14.737;3.195;30.638;13.297;2.412;35.009;11.241;1.994;37.205;9.528;1.868;38.556;15.194;4.260;23.446;14.304;5.713;30.633;12.910;5.716;34.241;11.408;5.346;36.328;9.865;5.082;37.914;14.596;5.126;24.023;14.048;8.213;26.225;12.976;9.076;29.301;12.018;11.380;30.462;0.000;0.000;0.000;-7.649;-12.235;-0.625;-9.715;-32.971;0.931;-12.140;-57.313;2.757;-10.914;-101.508;-5.254;7.554;-12.417;-1.075;9.288;-33.091;0.650;11.323;-57.361;2.674;10.477;-101.783;-6.322
