Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1320.000;52.800;0.038;7.193;-0.238;-0.003;13.966;-0.466;-0.171;25.948;-0.869;-0.391;41.831;-1.575;-0.374;46.172;1.643;0.027;52.682;3.098;-6.921;56.688;3.492;6.860;56.883;3.466;-3.339;59.047;10.875;3.242;59.140;10.863;-1.891;36.615;-2.931;-15.846;34.966;-1.433;-21.112;22.080;-2.762;-26.933;7.838;-4.231;-22.371;5.228;7.672;-17.238;2.105;21.666;-17.761;0.436;22.301;-14.737;-2.496;28.533;-13.854;-2.532;30.808;-13.021;-3.143;33.158;-12.382;-3.107;34.703;-17.776;1.260;22.495;-15.450;-0.286;29.450;-13.639;-0.325;33.045;-12.540;-0.266;35.807;-11.743;-0.279;37.690;-17.092;2.556;22.197;-15.254;2.191;30.161;-13.473;1.910;33.802;-11.711;1.832;36.702;-10.829;1.705;38.676;-17.267;3.626;22.161;-14.915;4.513;29.811;-12.794;4.465;33.066;-11.273;4.424;35.419;-10.091;4.117;37.084;-15.916;4.069;23.799;-15.099;7.013;25.659;-13.411;7.844;27.480;-13.234;10.253;28.885;1.336;36.664;-2.844;15.475;34.158;-1.014;21.289;20.749;-2.339;27.716;5.928;-3.804;21.884;4.633;7.632;15.183;2.751;21.643;15.068;1.040;22.610;12.884;-1.457;28.523;11.962;-3.046;30.807;10.883;-4.251;32.639;10.016;-5.083;33.849;15.074;1.930;22.818;13.493;0.933;29.151;11.852;-0.017;33.106;10.153;-0.691;35.899;9.064;-1.044;37.657;14.338;3.048;22.827;13.314;3.223;29.974;12.096;2.745;34.412;10.703;2.389;37.082;9.677;2.270;39.007;14.311;3.960;22.703;12.712;5.768;29.778;11.117;6.151;33.315;10.206;6.189;35.782;9.405;6.270;37.860;13.786;4.811;23.225;13.260;8.108;25.006;12.423;9.687;27.706;12.053;12.377;28.149;0.000;0.000;0.000;-7.668;-12.213;-0.805;-9.704;-32.980;0.021;-12.097;-57.358;0.991;-10.870;-101.478;-7.232;7.532;-12.403;-1.360;9.276;-33.120;-0.233;11.323;-57.439;1.090;10.256;-101.793;-7.944
1321.000;52.840;0.040;7.194;-0.244;0.001;13.966;-0.475;-0.163;25.949;-0.886;-0.378;41.833;-1.592;-0.354;46.173;1.629;0.062;52.683;3.089;-6.883;56.694;3.488;6.899;56.878;3.460;-3.298;59.042;10.873;3.283;59.130;10.859;-1.880;36.617;-2.947;-15.831;34.988;-1.436;-21.100;22.107;-2.747;-26.923;7.870;-4.197;-22.364;5.279;7.713;-17.227;2.185;21.719;-17.772;0.482;22.341;-14.704;-2.448;28.565;-13.552;-2.551;30.777;-12.527;-3.093;33.020;-11.671;-3.087;34.457;-17.769;1.307;22.528;-15.519;-0.244;29.510;-13.615;-0.328;33.076;-12.260;-0.337;35.725;-11.263;-0.407;37.509;-17.080;2.635;22.259;-15.286;2.251;30.226;-13.465;1.891;33.833;-11.422;1.731;36.544;-10.309;1.562;38.393;-17.250;3.710;22.221;-14.956;4.589;29.866;-12.838;4.455;33.114;-11.211;4.303;35.396;-9.937;3.969;36.986;-15.902;4.119;23.876;-14.960;7.029;25.752;-13.241;7.806;27.553;-12.968;10.230;28.915;1.346;36.665;-2.861;15.487;34.151;-1.040;21.293;20.737;-2.351;27.711;5.911;-3.799;21.890;4.607;7.646;15.200;2.717;21.671;15.088;1.002;22.630;12.906;-1.510;28.535;11.966;-3.102;30.819;10.856;-4.311;32.628;9.968;-5.143;33.823;15.087;1.892;22.840;13.492;0.895;29.180;11.830;-0.079;33.115;10.082;-0.766;35.867;8.953;-1.121;37.599;14.350;3.000;22.854;13.329;3.174;29.999;12.068;2.679;34.430;10.627;2.305;37.065;9.527;2.180;38.949;14.318;3.912;22.732;12.726;5.708;29.814;11.186;6.087;33.367;10.192;6.093;35.797;9.302;6.134;37.840;13.717;4.765;23.226;13.265;8.058;25.041;12.385;9.632;27.747;12.028;12.324;28.187;0.000;0.000;0.000;-7.668;-12.214;-0.794;-9.700;-32.982;0.044;-12.089;-57.362;1.027;-10.858;-101.478;-7.200;7.532;-12.404;-1.352;9.280;-33.118;-0.218;11.333;-57.434;1.114;10.269;-101.788;-7.925
1322.000;52.880;0.040;7.193;-0.251;0.005;13.966;-0.487;-0.151;25.948;-0.906;-0.365;41.832;-1.603;-0.336;46.170;1.618;0.090;52.678;3.079;-6.854;56.690;3.483;6.927;56.871;3.459;-3.271;59.025;10.873;3.310;59.111;10.861;-1.868;36.617;-2.962;-15.812;35.016;-1.436;-21.123;22.148;-2.636;-26.992;7.927;-3.963;-22.393;5.468;7.971;-17.188;2.540;22.014;-17.797;0.878;22.633;-14.860;-2.103;28.848;-13.483;-2.298;30.884;-11.526;-2.712;32.500;-10.114;-2.616;33.391;-17.794;1.704;22.816;-15.820;0.098;29.838;-13.677;-0.274;33.300;-11.376;-0.415;35.276;-9.774;-0.655;36.525;-17.031;3.039;22.553;-15.575;2.662;30.547;-13.619;2.097;34.109;-11.153;1.817;36.373;-9.553;1.541;37.806;-17.216;4.106;22.506;-15.135;4.991;30.171;-13.094;4.699;33.409;-11.271;4.406;35.544;-9.851;3.917;36.961;-15.826;4.386;24.160;-14.628;7.210;26.149;-12.823;7.813;27.949;-12.314;10.244;29.230;1.358;36.664;-2.877;15.504;34.158;-1.061;21.301;20.734;-2.356;27.708;5.898;-3.788;21.906;4.558;7.671;15.226;2.623;21.719;15.119;0.867;22.642;12.961;-1.660;28.536;11.961;-3.240;30.824;10.730;-4.449;32.562;9.766;-5.248;33.720;15.107;1.758;22.846;13.540;0.761;29.220;11.784;-0.263;33.107;9.796;-0.952;35.685;8.514;-1.321;37.303;14.390;2.905;22.901;13.365;3.039;30.047;11.994;2.443;34.452;10.296;2.030;36.925;8.986;1.870;38.667;14.358;3.818;22.787;12.804;5.553;29.871;11.255;5.890;33.425;10.088;5.747;35.789;9.013;5.672;37.740;13.801;4.661;23.310;13.210;7.929;25.143;12.294;9.434;27.886;11.843;12.110;28.342;0.000;0.000;0.000;-7.669;-12.214;-0.780;-9.709;-32.981;0.072;-12.107;-57.358;1.073;-10.883;-101.477;-7.153;7.531;-12.406;-1.337;9.274;-33.120;-0.185;11.321;-57.436;1.166;10.249;-101.793;-7.862
1323.000;52.920;0.045;7.191;-0.257;0.019;13.962;-0.500;-0.113;25.940;-0.932;-0.314;41.825;-1.620;-0.285;46.162;1.612;0.137;52.667;3.095;-6.809;56.674;3.498;6.972;56.863;3.497;-3.240;58.992;10.900;3.341;59.082;10.899;-1.821;36.612;-2.981;-15.754;35.034;-1.457;-21.212;22.183;-2.324;-27.245;7.978;-3.282;-22.573;5.894;8.690;-17.264;3.446;22.780;-17.958;1.769;23.427;-15.242;-1.013;29.813;-13.860;-1.264;31.848;-11.334;-1.361;32.458;-9.728;-0.908;32.358;-17.908;2.602;23.564;-16.183;1.267;30.726;-13.762;0.610;33.981;-10.946;0.547;35.022;-8.926;0.391;35.303;-17.069;3.968;23.315;-15.892;3.868;31.322;-13.890;3.298;34.864;-10.932;2.866;36.413;-8.911;2.561;37.130;-17.238;5.024;23.217;-15.414;6.195;30.832;-13.371;5.923;34.059;-11.299;5.530;35.962;-9.679;4.975;37.114;-15.920;5.272;24.852;-14.346;8.028;26.815;-12.477;8.519;28.567;-11.748;10.956;29.724;1.406;36.657;-2.896;15.547;34.160;-1.083;21.319;20.727;-2.369;27.698;5.879;-3.790;21.943;4.448;7.704;15.305;2.404;21.806;15.222;0.606;22.678;13.089;-2.021;28.525;11.871;-3.643;30.714;10.390;-4.708;32.321;9.235;-5.419;33.356;15.176;1.494;22.893;13.688;0.378;29.276;11.593;-0.758;32.981;9.079;-1.465;35.089;7.458;-1.816;36.373;14.460;2.674;22.998;13.372;2.633;30.124;11.700;1.819;34.381;9.543;1.338;36.462;7.816;1.102;37.780;14.429;3.590;22.904;12.789;5.121;29.992;11.154;5.244;33.495;9.736;4.942;35.663;8.379;4.674;37.410;13.773;4.364;23.411;13.069;7.537;25.394;12.026;8.857;28.220;11.383;11.468;28.806;0.000;0.000;0.000;-7.672;-12.212;-0.780;-9.717;-32.977;0.088;-12.121;-57.354;1.107;-10.897;-101.483;-7.083;7.528;-12.410;-1.319;9.268;-33.123;-0.154;11.310;-57.438;1.213;10.240;-101.794;-7.820
1324.000;52.960;0.048;7.189;-0.264;0.034;13.957;-0.516;-0.065;25.931;-0.966;-0.240;41.815;-1.669;-0.214;46.156;1.575;0.191;52.656;3.090;-6.758;56.659;3.493;7.024;56.851;3.532;-3.210;58.942;10.916;3.371;59.033;10.935;-1.755;36.603;-3.025;-15.676;35.080;-1.496;-21.339;22.246;-1.784;-27.597;8.062;-2.101;-22.877;6.689;9.941;-17.495;5.093;24.110;-18.220;3.443;24.845;-15.867;1.188;31.542;-14.573;0.998;33.668;-12.005;1.194;33.473;-10.729;1.758;32.551;-18.121;4.281;24.906;-16.738;3.596;32.234;-14.245;3.243;35.451;-11.234;3.254;35.676;-9.277;3.209;35.084;-17.319;5.635;24.613;-16.342;6.210;32.572;-14.057;5.798;35.975;-10.834;5.315;36.713;-8.699;4.961;36.637;-17.445;6.676;24.417;-15.793;8.444;31.932;-13.791;8.307;35.127;-11.462;7.893;36.679;-9.625;7.299;37.413;-16.191;7.013;26.080;-14.351;9.728;27.888;-12.461;10.191;29.608;-11.499;12.616;30.610;1.472;36.643;-2.939;15.600;34.150;-1.113;21.353;20.712;-2.363;27.711;5.858;-3.745;21.993;4.166;7.765;15.390;1.811;21.892;15.353;-0.026;22.693;13.171;-2.855;28.424;11.761;-4.475;30.523;10.026;-5.458;31.903;8.679;-6.094;32.734;15.276;0.854;22.927;13.714;-0.514;29.278;11.133;-1.782;32.644;8.249;-2.558;34.162;6.395;-2.902;35.080;14.519;2.018;23.090;13.340;1.728;30.159;11.252;0.675;34.189;8.767;0.073;35.859;6.814;-0.216;36.796;14.466;2.935;23.027;12.723;4.193;30.134;11.167;4.101;33.640;9.671;3.662;35.727;8.217;3.270;37.370;13.742;3.659;23.510;12.910;6.698;25.673;11.795;7.807;28.525;11.032;10.333;29.306;0.000;0.000;0.000;-7.668;-12.214;-0.788;-9.719;-32.978;0.095;-12.131;-57.352;1.133;-10.895;-101.484;-7.017;7.534;-12.410;-1.287;9.264;-33.121;-0.108;11.295;-57.436;1.277;10.234;-101.796;-7.743
1325.000;53.000;0.056;7.187;-0.268;0.050;13.953;-0.527;-0.035;25.924;-0.993;-0.171;41.807;-1.720;-0.146;46.153;1.526;0.233;52.649;3.057;-6.719;56.648;3.457;7.062;56.842;3.560;-3.205;58.878;10.912;3.376;58.971;10.961;-1.699;36.597;-3.069;-15.608;35.164;-1.528;-21.491;22.386;-1.020;-27.994;8.262;-0.459;-23.220;7.993;11.622;-17.734;7.718;25.841;-18.534;6.154;26.673;-16.647;4.529;33.621;-15.296;4.509;35.745;-12.912;4.751;34.868;-12.358;5.291;33.385;-18.412;6.991;26.658;-17.492;6.946;34.067;-14.852;6.871;37.161;-11.886;6.812;36.516;-10.308;6.637;35.228;-17.591;8.255;26.332;-17.011;9.586;34.117;-14.450;9.322;37.388;-11.153;8.581;37.153;-9.250;8.077;36.252;-17.639;9.287;26.025;-16.366;11.739;33.351;-14.458;11.737;36.546;-11.888;11.166;37.553;-9.967;10.423;37.690;-16.448;9.715;27.678;-14.507;12.422;29.392;-12.661;12.866;31.227;-11.527;15.242;32.162;1.528;36.629;-2.984;15.641;34.106;-1.126;21.398;20.665;-2.338;27.761;5.808;-3.678;22.037;3.683;7.785;15.434;0.811;21.848;15.444;-1.105;22.559;13.266;-4.131;28.204;11.741;-5.818;30.169;9.886;-6.797;31.386;8.465;-7.425;32.092;15.327;-0.233;22.809;13.732;-1.812;29.152;10.958;-3.336;32.255;7.946;-4.180;33.453;5.989;-4.532;34.119;14.546;0.923;23.051;13.323;0.383;30.099;11.193;-0.890;34.031;8.663;-1.680;35.569;6.674;-2.036;36.403;14.462;1.839;23.015;12.664;2.789;30.148;11.175;2.584;33.678;9.685;2.010;35.731;8.205;1.520;37.324;13.715;2.545;23.517;12.687;5.467;25.779;11.474;6.413;28.669;10.543;8.849;29.547;0.000;0.000;0.000;-7.678;-12.207;-0.802;-9.733;-32.970;0.097;-12.150;-57.344;1.152;-10.906;-101.487;-6.919;7.525;-12.417;-1.264;9.247;-33.125;-0.066;11.269;-57.434;1.341;10.220;-101.800;-7.650
1326.000;53.040;0.056;7.184;-0.281;0.063;13.948;-0.546;0.018;25.914;-1.018;-0.064;41.798;-1.750;-0.044;46.139;1.498;0.296;52.621;3.042;-6.673;56.595;3.410;7.106;56.836;3.622;-3.225;58.795;10.905;3.355;58.910;11.006;-1.610;36.593;-3.096;-15.508;35.282;-1.529;-21.675;22.672;0.029;-28.491;8.734;1.750;-23.572;10.044;13.656;-17.860;11.654;27.683;-18.812;10.231;28.653;-17.442;9.400;35.723;-15.810;9.567;37.568;-14.054;9.696;35.861;-14.348;9.915;34.230;-18.614;11.046;28.543;-18.220;11.987;35.880;-15.074;11.853;38.424;-12.688;11.387;36.604;-12.116;11.186;34.651;-17.697;12.228;28.130;-17.514;14.493;35.530;-14.742;14.276;38.490;-11.868;13.115;37.400;-10.977;12.385;35.566;-17.654;13.170;27.694;-16.776;16.565;34.591;-14.780;16.632;37.643;-12.169;15.607;37.701;-10.558;14.559;36.947;-16.612;13.855;29.250;-14.420;16.500;30.816;-12.657;16.912;32.664;-11.303;19.225;33.456;1.617;36.613;-3.012;15.708;34.068;-1.132;21.445;20.618;-2.323;27.787;5.753;-3.639;22.092;3.005;7.761;15.528;-0.612;21.741;15.626;-2.559;22.362;13.552;-5.888;27.864;12.075;-7.693;29.754;10.154;-8.694;30.849;8.685;-9.338;31.431;15.471;-1.703;22.644;13.943;-3.613;28.907;11.128;-5.293;31.891;8.061;-6.279;32.834;6.062;-6.696;33.313;14.643;-0.704;22.965;13.393;-1.466;29.928;11.239;-2.965;33.771;8.696;-3.903;35.170;6.670;-4.395;35.827;14.484;0.203;22.949;12.600;0.905;30.063;11.013;0.403;33.501;9.410;-0.368;35.419;7.837;-1.053;36.842;13.621;0.894;23.470;12.224;3.575;25.862;10.737;4.138;28.727;9.380;6.253;29.849;0.000;0.000;0.000;-7.664;-12.216;-0.796;-9.734;-32.979;0.112;-12.167;-57.353;1.178;-10.917;-101.509;-6.814;7.540;-12.413;-1.219;9.248;-33.127;-0.006;11.252;-57.444;1.417;10.205;-101.817;-7.542
1327.000;53.080;0.061;7.184;-0.286;0.085;13.947;-0.557;0.082;25.914;-1.036;0.046;41.796;-1.794;0.053;46.138;1.462;0.327;52.606;3.042;-6.676;56.523;3.355;7.097;56.868;3.734;-3.335;58.696;10.906;3.242;58.860;11.087;-1.516;36.594;-3.131;-15.388;35.473;-1.523;-21.935;23.253;1.408;-29.170;9.746;4.649;-23.968;13.139;15.954;-17.884;17.202;29.298;-19.002;16.179;30.459;-18.345;16.579;37.332;-16.213;16.683;38.625;-15.313;16.393;36.410;-16.386;16.505;35.132;-18.686;16.927;30.222;-18.673;19.193;37.020;-15.170;18.677;38.782;-14.013;17.607;36.238;-14.580;17.282;34.300;-17.765;17.778;29.754;-17.590;21.492;36.102;-14.491;20.845;38.720;-12.607;19.101;36.670;-12.748;18.202;34.705;-17.495;18.533;29.146;-16.510;23.259;34.960;-14.192;23.034;37.644;-12.255;21.268;36.772;-11.508;19.857;35.462;-16.420;19.510;30.330;-13.957;22.175;31.575;-12.259;22.829;33.373;-10.557;25.031;33.627;1.711;36.605;-3.048;15.779;34.059;-1.157;21.452;20.585;-2.290;27.723;5.693;-3.542;22.127;2.075;7.749;15.681;-2.595;21.593;15.967;-4.558;22.075;14.113;-8.321;27.351;12.704;-10.302;29.113;10.789;-11.456;30.052;9.308;-12.160;30.522;15.747;-3.731;22.397;14.276;-6.112;28.519;11.478;-8.172;31.252;8.379;-9.401;31.838;6.388;-9.980;32.158;14.831;-2.848;22.813;13.548;-4.093;29.648;11.200;-6.007;33.175;8.611;-7.235;34.218;6.557;-7.887;34.581;14.585;-1.961;22.845;12.474;-1.859;29.901;10.691;-2.826;33.099;8.987;-3.956;34.694;7.322;-4.906;35.830;13.630;-1.420;23.368;11.733;0.724;25.991;10.102;0.715;28.835;8.372;2.423;30.123;0.000;0.000;0.000;-7.663;-12.216;-0.804;-9.745;-32.977;0.131;-12.193;-57.348;1.228;-10.940;-101.516;-6.693;7.542;-12.414;-1.191;9.235;-33.126;0.054;11.221;-57.441;1.514;10.183;-101.824;-7.415
1328.000;53.120;0.069;7.184;-0.291;0.105;13.947;-0.572;0.132;25.912;-1.078;0.160;41.791;-1.918;0.142;46.140;1.345;0.303;52.584;2.981;-6.746;56.421;3.236;7.014;56.908;3.842;-3.551;58.521;10.870;3.020;58.753;11.160;-1.424;36.588;-3.228;-15.228;35.738;-1.604;-22.183;24.242;3.063;-29.869;11.537;8.221;-24.263;17.191;18.303;-17.647;23.929;30.191;-18.910;23.513;31.371;-19.156;25.356;37.402;-16.856;25.202;38.439;-16.490;24.402;36.189;-17.791;24.562;35.151;-18.477;24.148;31.019;-19.023;27.906;36.618;-15.538;26.743;38.209;-15.307;25.275;35.681;-16.015;24.794;33.823;-17.620;24.637;30.544;-17.560;29.729;35.301;-14.607;28.595;37.881;-13.468;26.217;35.943;-14.086;25.281;34.090;-17.066;25.162;29.777;-15.973;31.022;34.067;-13.821;30.555;36.803;-12.645;28.189;35.744;-12.392;26.461;34.643;-15.934;26.208;30.741;-13.310;28.851;31.685;-11.743;29.790;33.556;-9.777;31.761;33.317;1.803;36.586;-3.147;15.843;34.014;-1.209;21.426;20.497;-2.198;27.596;5.557;-3.291;22.176;0.806;7.748;15.946;-5.240;21.272;16.437;-7.149;21.573;14.912;-11.597;26.352;13.670;-13.869;27.914;11.826;-15.261;28.660;10.401;-16.136;28.999;16.144;-6.383;21.976;14.783;-9.580;27.726;12.075;-12.151;30.087;9.110;-13.699;30.367;7.172;-14.496;30.448;15.067;-5.699;22.466;13.795;-7.814;29.011;11.388;-10.305;32.080;8.829;-11.816;32.719;6.826;-12.689;32.763;14.739;-4.846;22.581;12.498;-5.725;29.456;10.506;-7.289;32.296;8.798;-8.836;33.496;7.160;-10.096;34.331;13.755;-4.482;23.057;11.540;-3.064;25.951;9.899;-3.638;28.742;7.947;-2.418;30.250;0.000;0.000;0.000;-7.668;-12.212;-0.829;-9.767;-32.976;0.132;-12.235;-57.351;1.261;-10.980;-101.528;-6.577;7.539;-12.419;-1.156;9.212;-33.131;0.107;11.177;-57.444;1.590;10.148;-101.840;-7.298
