Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1300.000;52.000;-0.155;7.786;-0.592;-0.243;15.091;0.785;-0.329;27.992;5.670;-0.757;43.853;6.707;-0.610;47.815;9.888;-0.299;54.371;10.876;-7.094;58.453;12.158;6.632;58.425;10.913;-2.825;60.239;19.333;3.730;60.226;18.739;-2.290;38.788;4.893;-16.207;36.685;6.874;-21.076;23.828;4.795;-26.458;9.617;2.496;-21.449;8.910;14.205;-15.802;8.013;27.883;-16.210;6.429;28.987;-13.613;5.835;36.000;-12.693;6.565;38.146;-11.692;7.009;40.585;-11.097;7.516;42.063;-16.274;7.269;28.910;-14.768;8.216;36.129;-12.899;9.542;39.559;-11.620;10.630;42.009;-10.741;11.292;43.732;-15.485;8.512;28.262;-14.836;10.697;36.006;-13.301;11.894;39.589;-11.623;13.180;42.269;-10.723;13.916;44.096;-15.764;9.454;27.855;-14.674;12.850;35.005;-13.242;14.203;38.338;-11.854;15.082;40.639;-10.769;15.395;42.368;-14.790;10.510;29.451;-14.352;13.933;30.087;-12.795;15.428;31.840;-12.548;18.106;32.595;0.934;38.883;4.775;15.076;36.555;5.401;20.512;23.331;2.737;26.521;8.715;-0.208;22.649;9.487;11.838;18.306;10.132;26.599;18.185;8.464;27.858;17.322;7.785;34.549;16.410;7.358;37.354;14.600;7.341;39.224;13.438;7.540;40.458;18.244;9.376;27.829;18.387;10.104;34.455;17.136;10.303;38.683;14.942;10.658;41.184;13.388;10.999;42.551;17.823;10.765;27.827;18.643;12.398;34.744;17.498;12.938;39.269;15.440;13.279;41.512;13.772;13.745;42.845;17.876;11.634;27.528;18.374;14.884;34.120;17.496;15.906;37.727;16.013;16.063;39.855;14.484;16.301;41.459;17.559;12.555;27.930;17.881;16.180;29.045;17.811;18.230;31.674;17.942;20.965;31.952;0.000;0.000;0.000;-7.324;-12.361;1.472;-9.326;-21.216;21.419;-11.677;-31.611;44.835;-12.393;-66.532;16.506;7.818;-12.300;0.023;12.766;-22.058;19.817;18.574;-33.514;43.054;15.078;-67.243;13.380
1301.000;52.040;-0.153;7.789;-0.591;-0.240;15.096;0.786;-0.324;28.001;5.670;-0.751;43.862;6.702;-0.604;47.821;9.879;-0.295;54.373;10.863;-7.092;58.452;12.147;6.634;58.430;10.896;-2.820;60.242;19.319;3.735;60.232;18.722;-2.285;38.797;4.890;-16.203;36.698;6.866;-21.069;23.841;4.791;-26.448;9.630;2.497;-21.449;8.927;14.206;-15.810;8.039;27.886;-16.222;6.464;28.992;-13.623;5.869;36.002;-12.723;6.607;38.148;-11.712;7.034;40.584;-11.101;7.545;42.055;-16.287;7.304;28.916;-14.773;8.254;36.126;-12.903;9.569;39.563;-11.628;10.666;42.008;-10.751;11.325;43.734;-15.492;8.540;28.262;-14.840;10.731;36.005;-13.306;11.929;39.587;-11.635;13.210;42.270;-10.733;13.962;44.090;-15.770;9.483;27.856;-14.685;12.881;35.005;-13.246;14.238;38.339;-11.873;15.116;40.645;-10.788;15.441;42.371;-14.798;10.529;29.443;-14.362;13.960;30.083;-12.801;15.452;31.844;-12.551;18.131;32.597;0.940;38.891;4.772;15.080;36.566;5.398;20.527;23.346;2.731;26.546;8.734;-0.216;22.673;9.501;11.832;18.327;10.142;26.595;18.198;8.472;27.855;17.334;7.782;34.543;16.436;7.357;37.346;14.624;7.330;39.211;13.456;7.536;40.437;18.256;9.384;27.827;18.399;10.092;34.451;17.167;10.305;38.681;14.956;10.658;41.179;13.408;10.988;42.556;17.848;10.783;27.818;18.662;12.390;34.743;17.518;12.944;39.266;15.459;13.284;41.502;13.786;13.736;42.833;17.905;11.652;27.519;18.391;14.913;34.114;17.522;15.905;37.720;16.029;16.061;39.852;14.498;16.309;41.452;17.584;12.562;27.925;17.900;16.188;29.037;17.842;18.232;31.679;17.957;20.967;31.959;0.000;0.000;0.000;-7.327;-12.360;1.467;-9.328;-21.217;21.412;-11.679;-31.614;44.826;-12.404;-66.530;16.494;7.815;-12.302;0.019;12.760;-22.062;19.811;18.564;-33.519;43.045;15.064;-67.244;13.369
1302.000;52.080;-0.153;7.791;-0.589;-0.240;15.099;0.790;-0.324;28.007;5.675;-0.753;43.868;6.703;-0.609;47.825;9.874;-0.306;54.372;10.851;-7.104;58.448;12.135;6.621;58.433;10.883;-2.833;60.240;19.307;3.722;60.233;18.710;-2.286;38.802;4.892;-16.204;36.702;6.869;-21.071;23.845;4.797;-26.450;9.634;2.506;-21.448;8.936;14.215;-15.806;8.050;27.894;-16.213;6.472;28.998;-13.621;5.880;36.014;-12.734;6.608;38.159;-11.714;7.049;40.603;-11.124;7.550;42.085;-16.277;7.312;28.920;-14.770;8.265;36.139;-12.907;9.581;39.578;-11.644;10.691;42.021;-10.772;11.352;43.749;-15.501;8.541;28.276;-14.849;10.748;36.011;-13.333;11.949;39.597;-11.684;13.230;42.291;-10.787;13.981;44.113;-15.766;9.488;27.866;-14.689;12.905;35.008;-13.251;14.252;38.345;-11.910;15.124;40.661;-10.812;15.447;42.380;-14.789;10.546;29.453;-14.360;13.972;30.090;-12.808;15.467;31.845;-12.558;18.142;32.613;0.938;38.897;4.774;15.079;36.577;5.401;20.537;23.361;2.732;26.569;8.755;-0.218;22.699;9.515;11.831;18.359;10.146;26.593;18.228;8.484;27.855;17.367;7.784;34.539;16.463;7.350;37.345;14.642;7.331;39.211;13.479;7.531;40.443;18.290;9.396;27.829;18.435;10.092;34.450;17.205;10.308;38.686;14.971;10.659;41.177;13.435;10.992;42.565;17.878;10.777;27.819;18.691;12.383;34.744;17.551;12.933;39.268;15.494;13.284;41.506;13.821;13.740;42.836;17.932;11.646;27.521;18.424;14.896;34.119;17.565;15.906;37.717;16.055;16.070;39.853;14.528;16.314;41.458;17.576;12.562;27.919;17.940;16.188;29.046;17.874;18.235;31.678;18.009;20.968;31.964;0.000;0.000;0.000;-7.327;-12.361;1.463;-9.327;-21.217;21.411;-11.677;-31.613;44.828;-12.401;-66.533;16.497;7.815;-12.302;0.014;12.761;-22.061;19.808;18.567;-33.517;43.043;15.071;-67.245;13.368
1303.000;52.120;-0.153;7.793;-0.587;-0.239;15.103;0.794;-0.322;28.012;5.680;-0.753;43.874;6.706;-0.609;47.828;9.872;-0.310;54.372;10.841;-7.111;58.446;12.120;6.615;58.436;10.872;-2.842;60.245;19.292;3.713;60.240;18.696;-2.286;38.807;4.896;-16.204;36.710;6.874;-21.073;23.854;4.802;-26.455;9.644;2.512;-21.450;8.951;14.220;-15.804;8.071;27.899;-16.214;6.503;29.004;-13.623;5.900;36.017;-12.713;6.650;38.164;-11.706;7.068;40.610;-11.130;7.576;42.095;-16.281;7.343;28.928;-14.761;8.289;36.141;-12.898;9.605;39.582;-11.654;10.713;42.027;-10.781;11.382;43.752;-15.500;8.562;28.283;-14.834;10.772;36.017;-13.316;11.973;39.598;-11.676;13.249;42.295;-10.779;13.997;44.118;-15.765;9.508;27.872;-14.672;12.930;35.015;-13.226;14.264;38.344;-11.891;15.134;40.668;-10.798;15.451;42.391;-14.760;10.575;29.468;-14.355;13.988;30.092;-12.811;15.491;31.849;-12.558;18.166;32.615;0.939;38.902;4.778;15.080;36.586;5.400;20.547;23.375;2.729;26.590;8.773;-0.224;22.727;9.531;11.827;18.396;10.159;26.592;18.267;8.496;27.852;17.416;7.810;34.539;16.505;7.365;37.343;14.684;7.342;39.211;13.523;7.543;40.445;18.332;9.407;27.825;18.480;10.099;34.449;17.233;10.312;38.678;15.021;10.672;41.176;13.482;11.005;42.562;17.913;10.795;27.817;18.733;12.399;34.744;17.594;12.940;39.266;15.553;13.295;41.510;13.864;13.746;42.822;17.971;11.665;27.519;18.478;14.897;34.118;17.620;15.920;37.721;16.112;16.076;39.857;14.583;16.313;41.461;17.661;12.577;27.932;17.998;16.197;29.047;17.940;18.240;31.672;18.076;20.973;31.970;0.000;0.000;0.000;-7.327;-12.361;1.458;-9.327;-21.216;21.408;-11.676;-31.611;44.827;-12.401;-66.533;16.497;7.815;-12.302;0.010;12.761;-22.060;19.804;18.567;-33.515;43.041;15.073;-67.244;13.368
1304.000;52.160;-0.152;7.795;-0.584;-0.239;15.106;0.797;-0.322;28.017;5.684;-0.753;43.879;6.705;-0.610;47.831;9.867;-0.316;54.370;10.832;-7.116;58.444;12.110;6.610;58.434;10.863;-2.848;60.244;19.282;3.706;60.240;18.687;-2.285;38.812;4.897;-16.201;36.717;6.876;-21.077;23.863;4.806;-26.467;9.656;2.517;-21.456;8.966;14.221;-15.802;8.091;27.896;-16.211;6.513;29.001;-13.621;5.925;36.010;-12.716;6.662;38.156;-11.695;7.084;40.611;-11.125;7.588;42.100;-16.274;7.353;28.924;-14.758;8.299;36.136;-12.888;9.615;39.582;-11.644;10.723;42.025;-10.756;11.385;43.745;-15.499;8.579;28.279;-14.830;10.790;36.013;-13.312;11.987;39.599;-11.668;13.254;42.297;-10.766;14.014;44.113;-15.764;9.527;27.869;-14.655;12.945;35.012;-13.198;14.277;38.339;-11.864;15.153;40.661;-10.791;15.468;42.397;-14.737;10.596;29.470;-14.366;14.016;30.097;-12.809;15.512;31.847;-12.563;18.190;32.605;0.939;38.907;4.778;15.082;36.591;5.403;20.555;23.382;2.730;26.604;8.783;-0.223;22.744;9.542;11.828;18.414;10.170;26.593;18.273;8.510;27.854;17.433;7.812;34.537;16.513;7.375;37.341;14.697;7.357;39.211;13.533;7.553;40.443;18.340;9.422;27.829;18.497;10.104;34.450;17.273;10.321;38.685;15.035;10.682;41.168;13.490;11.019;42.547;17.939;10.808;27.816;18.761;12.405;34.747;17.615;12.950;39.266;15.563;13.300;41.504;13.879;13.759;42.820;18.000;11.678;27.518;18.508;14.919;34.120;17.653;15.926;37.725;16.146;16.079;39.860;14.611;16.312;41.458;17.683;12.577;27.914;18.027;16.207;29.056;17.976;18.248;31.681;18.120;20.978;31.994;0.000;0.000;0.000;-7.328;-12.361;1.453;-9.327;-21.220;21.401;-11.676;-31.620;44.817;-12.405;-66.539;16.489;7.814;-12.303;0.005;12.760;-22.064;19.799;18.566;-33.522;43.036;15.072;-67.249;13.359
1305.000;52.200;-0.151;7.797;-0.582;-0.237;15.110;0.800;-0.318;28.023;5.687;-0.748;43.886;6.704;-0.605;47.836;9.862;-0.310;54.371;10.823;-7.110;58.445;12.107;6.615;58.436;10.848;-2.835;60.246;19.275;3.719;60.242;18.674;-2.280;38.818;4.897;-16.197;36.726;6.879;-21.082;23.874;4.808;-26.480;9.669;2.518;-21.457;8.986;14.218;-15.789;8.118;27.889;-16.198;6.545;28.995;-13.581;5.951;35.999;-12.696;6.685;38.142;-11.664;7.121;40.591;-11.091;7.622;42.080;-16.265;7.385;28.918;-14.734;8.324;36.131;-12.852;9.656;39.559;-11.600;10.755;42.003;-10.707;11.424;43.717;-15.492;8.610;28.270;-14.808;10.810;36.004;-13.254;12.015;39.578;-11.633;13.289;42.279;-10.732;14.053;44.094;-15.765;9.555;27.862;-14.640;12.985;34.989;-13.171;14.303;38.323;-11.834;15.175;40.645;-10.762;15.489;42.381;-14.715;10.627;29.464;-14.352;14.037;30.076;-12.796;15.542;31.831;-12.547;18.219;32.589;0.944;38.913;4.778;15.086;36.599;5.398;20.568;23.393;2.729;26.627;8.797;-0.221;22.762;9.554;11.830;18.424;10.183;26.595;18.278;8.530;27.856;17.441;7.834;34.533;16.497;7.384;37.335;14.688;7.360;39.204;13.522;7.559;40.433;18.350;9.441;27.833;18.501;10.105;34.451;17.249;10.306;38.677;15.016;10.677;41.166;13.470;11.020;42.543;17.945;10.826;27.817;18.768;12.402;34.749;17.609;12.937;39.269;15.550;13.292;41.505;13.875;13.752;42.832;18.008;11.696;27.521;18.518;14.912;34.126;17.660;15.929;37.731;16.153;16.074;39.864;14.614;16.314;41.458;17.691;12.590;27.917;18.031;16.219;29.060;17.982;18.256;31.705;18.115;20.989;31.991;0.000;0.000;0.000;-7.329;-12.361;1.448;-9.329;-21.223;21.393;-11.677;-31.625;44.806;-12.410;-66.541;16.474;7.813;-12.303;0.000;12.758;-22.068;19.791;18.562;-33.530;43.023;15.067;-67.248;13.342
1306.000;52.240;-0.151;7.799;-0.579;-0.236;15.112;0.803;-0.315;28.027;5.687;-0.743;43.889;6.697;-0.599;47.838;9.853;-0.303;54.370;10.813;-7.100;58.445;12.108;6.623;58.434;10.820;-2.810;60.250;19.266;3.743;60.245;18.651;-2.277;38.821;4.893;-16.192;36.733;6.882;-21.089;23.886;4.815;-26.502;9.686;2.531;-21.464;9.021;14.224;-15.780;8.173;27.889;-16.183;6.600;28.995;-13.543;6.002;35.992;-12.636;6.745;38.133;-11.614;7.185;40.569;-11.001;7.680;42.044;-16.250;7.440;28.919;-14.690;8.380;36.126;-12.782;9.708;39.546;-11.497;10.802;41.980;-10.612;11.466;43.700;-15.472;8.678;28.268;-14.771;10.870;36.002;-13.182;12.070;39.562;-11.531;13.345;42.248;-10.628;14.090;44.070;-15.753;9.619;27.863;-14.599;13.036;34.991;-13.098;14.357;38.311;-11.769;15.233;40.626;-10.686;15.557;42.354;-14.751;10.678;29.448;-14.339;14.104;30.086;-12.793;15.605;31.828;-12.543;18.285;32.579;0.947;38.916;4.773;15.089;36.602;5.392;20.577;23.396;2.727;26.643;8.799;-0.217;22.767;9.566;11.827;18.416;10.207;26.586;18.282;8.539;27.841;17.412;7.850;34.526;16.478;7.403;37.326;14.663;7.380;39.191;13.500;7.581;40.422;18.348;9.450;27.817;18.480;10.135;34.444;17.206;10.355;38.666;14.990;10.697;41.159;13.446;11.033;42.539;17.934;10.846;27.811;18.734;12.425;34.743;17.591;12.974;39.260;15.535;13.324;41.498;13.863;13.780;42.829;17.998;11.715;27.515;18.484;14.949;34.125;17.645;15.947;37.722;16.135;16.107;39.862;14.611;16.351;41.470;17.668;12.624;27.925;18.018;16.245;29.053;17.953;18.292;31.692;18.119;21.024;31.979;0.000;0.000;0.000;-7.331;-12.361;1.442;-9.332;-21.223;21.388;-11.683;-31.627;44.804;-12.420;-66.540;16.469;7.811;-12.305;-0.005;12.758;-22.070;19.787;18.564;-33.533;43.021;15.066;-67.255;13.339
1307.000;52.280;-0.150;7.802;-0.578;-0.235;15.119;0.804;-0.313;28.038;5.687;-0.740;43.901;6.695;-0.595;47.844;9.843;-0.301;54.365;10.801;-7.088;58.447;12.127;6.628;58.422;10.777;-2.764;60.249;19.265;3.786;60.237;18.621;-2.275;38.833;4.892;-16.190;36.743;6.895;-21.108;23.905;4.830;-26.545;9.715;2.547;-21.477;9.131;14.220;-15.757;8.378;27.865;-16.127;6.806;28.975;-13.420;6.214;35.945;-12.503;6.932;38.082;-11.474;7.387;40.504;-10.833;7.882;41.967;-16.206;7.646;28.904;-14.625;8.566;36.099;-12.680;9.895;39.508;-11.391;10.990;41.939;-10.486;11.656;43.648;-15.409;8.920;28.237;-14.698;11.065;35.989;-13.095;12.261;39.545;-11.452;13.550;42.228;-10.561;14.294;44.056;-15.731;9.857;27.844;-14.587;13.218;34.992;-13.037;14.548;38.295;-11.709;15.430;40.617;-10.647;15.761;42.357;-14.685;10.888;29.420;-14.401;14.332;30.076;-12.837;15.843;31.809;-12.639;18.534;32.534;0.949;38.927;4.771;15.092;36.612;5.386;20.593;23.410;2.725;26.673;8.818;-0.216;22.782;9.626;11.811;18.414;10.310;26.547;18.233;8.680;27.805;17.277;7.941;34.469;16.291;7.451;37.249;14.470;7.408;39.094;13.292;7.605;40.313;18.323;9.590;27.792;18.394;10.179;34.405;17.135;10.423;38.637;14.944;10.779;41.144;13.422;11.121;42.546;17.926;10.983;27.749;18.667;12.498;34.729;17.572;13.043;39.261;15.543;13.412;41.518;13.901;13.894;42.878;18.014;11.853;27.460;18.467;15.018;34.114;17.619;16.052;37.727;16.168;16.248;39.892;14.690;16.527;41.537;17.684;12.741;27.896;18.061;16.353;29.049;17.986;18.389;31.667;18.150;21.121;31.951;0.000;0.000;0.000;-7.332;-12.360;1.438;-9.334;-21.222;21.387;-11.686;-31.624;44.806;-12.419;-66.542;16.473;7.810;-12.305;-0.008;12.762;-22.071;19.782;18.574;-33.535;43.014;15.073;-67.257;13.331
1308.000;52.320;-0.150;7.807;-0.581;-0.237;15.128;0.802;-0.324;28.056;5.689;-0.755;43.918;6.701;-0.610;47.848;9.841;-0.317;54.347;10.796;-7.096;58.428;12.165;6.610;58.406;10.717;-2.722;60.240;19.270;3.824;60.230;18.579;-2.290;38.850;4.898;-16.198;36.753;6.936;-21.174;23.944;4.856;-26.673;9.787;2.558;-21.544;9.497;14.175;-15.772;9.072;27.767;-15.930;7.457;28.843;-12.825;6.874;35.656;-11.878;7.537;37.818;-10.823;7.934;40.228;-10.163;8.402;41.691;-16.077;8.289;28.806;-14.146;9.119;35.952;-12.337;10.489;39.400;-11.151;11.596;41.893;-10.321;12.268;43.637;-15.485;9.680;28.104;-14.444;11.614;35.935;-12.877;12.825;39.517;-11.394;14.200;42.247;-10.585;14.948;44.111;-15.908;10.600;27.771;-14.587;13.811;35.005;-13.058;15.226;38.296;-11.815;16.229;40.650;-10.904;16.651;42.454;-14.838;11.654;29.355;-14.842;15.090;30.158;-13.355;16.696;31.817;-13.473;19.388;32.557;0.934;38.945;4.775;15.078;36.634;5.387;20.663;23.463;2.724;26.836;8.907;-0.219;22.917;9.870;11.740;18.501;10.704;26.385;18.128;9.143;27.623;16.407;8.134;34.098;15.005;7.253;36.577;13.282;6.774;38.443;12.182;6.655;39.742;18.309;10.038;27.666;17.804;10.383;34.261;16.714;10.441;38.535;14.802;10.789;41.268;13.481;11.122;42.862;17.994;11.441;27.519;18.250;12.686;34.705;17.717;13.205;39.329;16.143;13.641;41.916;14.844;14.218;43.576;18.185;12.305;27.265;18.342;15.294;34.164;17.765;16.481;37.822;16.786;16.914;40.207;15.762;17.406;42.124;17.857;13.226;27.820;18.390;16.806;29.050;18.259;18.859;31.590;18.672;21.575;31.742;0.000;0.000;0.000;-7.334;-12.359;1.443;-9.342;-21.227;21.386;-11.700;-31.637;44.799;-12.420;-66.552;16.464;7.808;-12.306;-0.004;12.761;-22.078;19.783;18.574;-33.550;43.010;15.062;-67.264;13.319
