Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3747.000;149.880;0.025;7.191;-0.160;0.019;13.961;-0.323;-0.029;25.939;-0.625;-0.428;41.820;-1.304;-0.460;46.046;1.717;-0.064;52.458;2.831;-6.888;56.424;4.310;6.794;56.632;2.662;-2.441;58.291;11.355;4.092;58.390;10.568;-1.853;36.589;-2.684;-15.982;34.441;-1.254;-20.910;21.350;-2.565;-26.357;6.881;-4.015;-22.430;5.150;8.167;-18.036;3.051;22.415;-18.618;1.436;23.228;-16.487;-0.522;30.173;-15.528;-0.478;32.520;-14.689;-0.951;34.841;-13.879;-0.789;36.295;-18.661;2.279;23.287;-17.582;1.890;30.649;-16.089;2.410;34.447;-14.479;2.872;36.907;-13.267;3.086;38.540;-17.896;3.554;22.884;-17.437;4.494;30.979;-16.113;4.915;34.789;-14.371;5.195;37.655;-13.328;5.399;39.541;-18.096;4.571;22.636;-17.161;6.741;30.313;-15.801;7.367;33.857;-14.226;7.583;36.195;-12.925;7.437;37.791;-17.021;5.254;24.359;-16.423;8.512;25.834;-14.981;9.829;27.890;-15.346;12.314;29.115;1.371;36.675;-2.566;15.573;34.202;-0.517;20.853;20.652;-2.152;26.688;5.675;-3.958;22.271;4.420;8.047;17.270;2.579;22.712;17.434;0.889;23.733;16.571;-1.293;30.044;15.745;-2.469;32.681;14.450;-3.232;34.574;13.409;-3.720;35.834;17.421;1.790;23.888;17.223;1.098;30.453;15.923;0.249;34.580;13.942;-0.314;37.224;12.592;-0.563;38.809;16.646;2.902;24.027;17.100;3.382;31.181;16.019;2.817;35.699;14.171;2.398;38.076;12.587;2.246;39.574;16.555;3.806;23.879;16.516;5.867;31.026;16.056;6.282;34.834;15.146;6.080;37.268;14.141;5.943;39.252;16.019;4.580;24.357;15.805;7.892;26.277;15.909;9.498;29.068;15.566;12.197;29.480;0.000;0.000;0.000;-7.631;-12.236;-0.818;-9.787;-33.093;-0.187;-12.315;-57.578;0.551;-11.528;-101.759;-7.769;7.558;-12.355;-1.628;9.497;-33.193;-0.630;11.777;-57.655;0.540;11.111;-102.064;-8.537
3748.000;149.920;0.025;7.191;-0.160;0.019;13.961;-0.321;-0.029;25.939;-0.618;-0.427;41.820;-1.297;-0.458;46.046;1.724;-0.060;52.458;2.837;-6.885;56.423;4.318;6.797;56.633;2.668;-2.437;58.289;11.363;4.097;58.389;10.575;-1.853;36.590;-2.677;-15.979;34.443;-1.245;-20.909;21.353;-2.555;-26.357;6.885;-4.003;-22.428;5.154;8.180;-18.033;3.055;22.428;-18.618;1.444;23.241;-16.473;-0.506;30.193;-15.515;-0.482;32.530;-14.658;-0.934;34.859;-13.873;-0.779;36.328;-18.664;2.287;23.301;-17.568;1.900;30.664;-16.086;2.397;34.460;-14.442;2.880;36.917;-13.263;3.048;38.579;-17.889;3.557;22.900;-17.426;4.482;30.993;-16.095;4.933;34.793;-14.360;5.183;37.660;-13.308;5.392;39.541;-18.086;4.573;22.651;-17.151;6.743;30.328;-15.780;7.365;33.867;-14.213;7.590;36.204;-12.918;7.408;37.801;-17.023;5.263;24.378;-16.418;8.515;25.850;-14.969;9.839;27.897;-15.328;12.321;29.129;1.372;36.676;-2.559;15.576;34.201;-0.513;20.855;20.650;-2.146;26.691;5.673;-3.951;22.274;4.420;8.056;17.274;2.582;22.723;17.425;0.887;23.741;16.575;-1.278;30.061;15.750;-2.458;32.699;14.449;-3.226;34.584;13.445;-3.699;35.881;17.408;1.787;23.895;17.228;1.103;30.465;15.931;0.274;34.592;13.962;-0.299;37.236;12.612;-0.553;38.821;16.655;2.889;24.043;17.118;3.385;31.185;16.030;2.824;35.708;14.173;2.417;38.088;12.595;2.265;39.592;16.559;3.793;23.894;16.524;5.889;31.034;16.068;6.294;34.842;15.164;6.095;37.271;14.145;5.957;39.248;16.025;4.590;24.381;15.818;7.900;26.292;15.958;9.497;29.030;15.610;12.181;29.527;0.000;0.000;0.000;-7.631;-12.236;-0.815;-9.787;-33.094;-0.179;-12.315;-57.580;0.564;-11.526;-101.757;-7.760;7.558;-12.355;-1.626;9.497;-33.192;-0.624;11.777;-57.652;0.551;11.110;-102.065;-8.518
3749.000;149.960;0.025;7.193;-0.160;0.018;13.964;-0.319;-0.031;25.944;-0.609;-0.428;41.825;-1.294;-0.458;46.049;1.724;-0.064;52.455;2.840;-6.888;56.416;4.332;6.792;56.631;2.666;-2.432;58.278;11.373;4.100;58.381;10.577;-1.856;36.594;-2.671;-15.986;34.449;-1.226;-20.921;21.358;-2.522;-26.376;6.890;-3.954;-22.427;5.163;8.223;-18.009;3.072;22.463;-18.595;1.454;23.283;-16.442;-0.471;30.221;-15.437;-0.410;32.559;-14.553;-0.858;34.876;-13.756;-0.694;36.337;-18.639;2.297;23.342;-17.531;1.928;30.701;-16.030;2.437;34.490;-14.407;2.911;36.942;-13.189;3.111;38.573;-17.886;3.553;22.938;-17.418;4.486;31.018;-16.035;4.961;34.811;-14.246;5.246;37.664;-13.200;5.446;39.550;-18.076;4.567;22.689;-17.115;6.766;30.353;-15.737;7.388;33.896;-14.165;7.612;36.224;-12.853;7.446;37.809;-17.016;5.272;24.395;-16.395;8.533;25.870;-14.934;9.852;27.938;-15.285;12.349;29.141;1.369;36.680;-2.556;15.572;34.212;-0.516;20.863;20.662;-2.137;26.710;5.685;-3.930;22.299;4.443;8.082;17.304;2.622;22.757;17.465;0.918;23.770;16.609;-1.241;30.088;15.767;-2.412;32.732;14.486;-3.178;34.611;13.460;-3.654;35.888;17.449;1.819;23.923;17.263;1.145;30.494;15.936;0.312;34.613;13.961;-0.247;37.253;12.602;-0.519;38.827;16.672;2.926;24.083;17.152;3.433;31.216;16.047;2.869;35.730;14.181;2.468;38.101;12.603;2.315;39.605;16.577;3.829;23.933;16.558;5.921;31.059;16.097;6.330;34.870;15.184;6.132;37.299;14.165;5.996;39.276;16.064;4.624;24.407;15.848;7.936;26.313;15.984;9.537;29.060;15.631;12.222;29.544;0.000;0.000;0.000;-7.632;-12.236;-0.808;-9.788;-33.094;-0.167;-12.316;-57.581;0.582;-11.533;-101.754;-7.734;7.557;-12.355;-1.629;9.497;-33.193;-0.623;11.778;-57.655;0.558;11.104;-102.068;-8.499
3750.000;150.000;0.023;7.193;-0.160;0.015;13.965;-0.318;-0.039;25.946;-0.606;-0.436;41.827;-1.304;-0.461;46.051;1.713;-0.065;52.456;2.828;-6.885;56.417;4.337;6.792;56.630;2.645;-2.415;58.270;11.371;4.116;58.372;10.563;-1.865;36.595;-2.674;-15.990;34.455;-1.207;-20.944;21.367;-2.480;-26.419;6.901;-3.887;-22.439;5.182;8.280;-17.983;3.104;22.514;-18.584;1.491;23.336;-16.385;-0.444;30.267;-15.377;-0.367;32.598;-14.471;-0.820;34.900;-13.639;-0.637;36.339;-18.628;2.334;23.396;-17.495;1.956;30.748;-15.966;2.470;34.528;-14.335;2.924;36.973;-13.114;3.118;38.602;-17.844;3.608;22.977;-17.346;4.535;31.066;-15.967;4.995;34.852;-14.205;5.271;37.693;-13.078;5.486;39.529;-18.040;4.631;22.728;-17.070;6.809;30.392;-15.688;7.422;33.934;-14.112;7.627;36.263;-12.787;7.453;37.838;-16.960;5.306;24.442;-16.344;8.558;25.914;-14.890;9.864;27.994;-15.225;12.372;29.178;1.359;36.680;-2.563;15.567;34.213;-0.540;20.866;20.662;-2.148;26.722;5.685;-3.925;22.323;4.457;8.091;17.345;2.649;22.770;17.503;0.953;23.791;16.665;-1.197;30.110;15.815;-2.367;32.753;14.524;-3.129;34.639;13.505;-3.608;35.921;17.486;1.854;23.943;17.304;1.187;30.516;15.990;0.359;34.638;13.997;-0.201;37.271;12.639;-0.457;38.849;16.724;2.954;24.095;17.197;3.473;31.231;16.101;2.916;35.753;14.237;2.522;38.123;12.661;2.368;39.629;16.624;3.857;23.945;16.592;5.969;31.081;16.154;6.385;34.878;15.241;6.185;37.311;14.222;6.042;39.288;16.147;4.661;24.406;15.887;7.970;26.329;16.029;9.579;29.078;15.645;12.264;29.541;0.000;0.000;0.000;-7.630;-12.237;-0.802;-9.785;-33.096;-0.158;-12.311;-57.584;0.593;-11.533;-101.758;-7.722;7.558;-12.354;-1.634;9.499;-33.194;-0.626;11.781;-57.659;0.557;11.101;-102.074;-8.492
3751.000;150.040;0.023;7.194;-0.160;0.011;13.968;-0.317;-0.047;25.951;-0.602;-0.439;41.831;-1.314;-0.458;46.056;1.698;-0.058;52.457;2.809;-6.872;56.421;4.332;6.801;56.627;2.616;-2.389;58.268;11.360;4.141;58.366;10.540;-1.873;36.598;-2.678;-15.996;34.469;-1.185;-20.964;21.384;-2.431;-26.455;6.921;-3.809;-22.447;5.212;8.353;-17.957;3.147;22.580;-18.543;1.520;23.404;-16.353;-0.397;30.325;-15.312;-0.325;32.635;-14.343;-0.768;34.936;-13.506;-0.586;36.372;-18.579;2.363;23.461;-17.447;2.002;30.815;-15.858;2.499;34.578;-14.196;2.967;37.003;-12.958;3.163;38.619;-17.814;3.645;23.046;-17.249;4.589;31.126;-15.870;5.013;34.897;-14.016;5.302;37.689;-12.858;5.518;39.507;-18.012;4.661;22.796;-17.011;6.845;30.451;-15.631;7.442;33.992;-14.006;7.672;36.300;-12.672;7.491;37.865;-16.928;5.344;24.498;-16.305;8.601;25.969;-14.842;9.909;28.028;-15.159;12.412;29.230;1.352;36.682;-2.572;15.561;34.212;-0.569;20.867;20.661;-2.170;26.732;5.685;-3.940;22.346;4.466;8.084;17.381;2.672;22.773;17.549;0.947;23.782;16.704;-1.179;30.115;15.865;-2.353;32.755;14.571;-3.100;34.644;13.554;-3.575;35.928;17.521;1.849;23.929;17.362;1.210;30.517;16.031;0.390;34.641;14.058;-0.174;37.276;12.700;-0.446;38.851;16.747;2.984;24.099;17.241;3.497;31.232;16.150;2.944;35.755;14.286;2.551;38.125;12.721;2.393;39.643;16.651;3.887;23.948;16.648;5.980;31.077;16.186;6.394;34.887;15.281;6.202;37.317;14.275;6.070;39.301;16.165;4.683;24.414;15.914;7.994;26.325;16.046;9.601;29.096;15.662;12.291;29.530;0.000;0.000;0.000;-7.631;-12.237;-0.796;-9.782;-33.098;-0.152;-12.305;-57.586;0.599;-11.523;-101.758;-7.717;7.557;-12.354;-1.640;9.499;-33.194;-0.629;11.783;-57.657;0.558;11.096;-102.078;-8.486
3752.000;150.080;0.021;7.195;-0.160;0.010;13.970;-0.316;-0.048;25.955;-0.599;-0.442;41.834;-1.322;-0.456;46.059;1.683;-0.051;52.458;2.782;-6.862;56.424;4.315;6.809;56.627;2.578;-2.368;58.272;11.335;4.161;58.368;10.506;-1.877;36.600;-2.680;-16.000;34.476;-1.158;-20.980;21.391;-2.378;-26.484;6.928;-3.726;-22.447;5.230;8.427;-17.919;3.181;22.645;-18.513;1.576;23.475;-16.298;-0.323;30.396;-15.241;-0.255;32.710;-14.268;-0.686;34.990;-13.416;-0.473;36.413;-18.560;2.418;23.534;-17.390;2.061;30.882;-15.816;2.562;34.641;-14.146;3.040;37.065;-12.926;3.228;38.696;-17.786;3.673;23.111;-17.227;4.635;31.180;-15.842;5.102;34.954;-13.986;5.416;37.754;-12.859;5.654;39.588;-17.966;4.700;22.857;-16.966;6.898;30.513;-15.594;7.508;34.052;-13.987;7.755;36.360;-12.661;7.607;37.935;-16.890;5.378;24.566;-16.261;8.643;26.012;-14.798;9.953;28.082;-15.122;12.460;29.274;1.348;36.685;-2.578;15.558;34.216;-0.594;20.871;20.667;-2.191;26.744;5.692;-3.955;22.374;4.482;8.076;17.432;2.698;22.773;17.608;0.988;23.788;16.772;-1.141;30.119;15.936;-2.321;32.759;14.637;-3.068;34.649;13.604;-3.543;35.921;17.586;1.889;23.936;17.409;1.233;30.519;16.096;0.411;34.642;14.107;-0.154;37.281;12.755;-0.400;38.866;16.804;3.014;24.097;17.288;3.532;31.232;16.206;2.967;35.753;14.347;2.582;38.129;12.768;2.418;39.631;16.708;3.917;23.947;16.702;6.013;31.079;16.261;6.420;34.884;15.344;6.236;37.319;14.353;6.106;39.311;16.209;4.705;24.411;15.961;8.022;26.321;16.128;9.611;29.019;15.768;12.280;29.584;0.000;0.000;0.000;-7.628;-12.239;-0.789;-9.778;-33.100;-0.146;-12.299;-57.588;0.605;-11.519;-101.760;-7.712;7.558;-12.352;-1.647;9.508;-33.194;-0.634;11.800;-57.660;0.555;11.118;-102.080;-8.482
3753.000;150.120;0.021;7.197;-0.157;0.010;13.972;-0.309;-0.047;25.960;-0.586;-0.437;41.839;-1.313;-0.446;46.063;1.687;-0.038;52.462;2.777;-6.844;56.435;4.315;6.825;56.625;2.559;-2.339;58.286;11.328;4.189;58.376;10.489;-1.875;36.605;-2.667;-15.997;34.488;-1.133;-20.981;21.402;-2.337;-26.490;6.939;-3.667;-22.438;5.253;8.481;-17.896;3.213;22.692;-18.488;1.607;23.527;-16.267;-0.283;30.447;-15.196;-0.206;32.749;-14.198;-0.613;35.030;-13.339;-0.386;36.447;-18.537;2.450;23.582;-17.356;2.105;30.932;-15.754;2.638;34.674;-14.040;3.101;37.084;-12.828;3.280;38.721;-17.769;3.695;23.164;-17.193;4.679;31.224;-15.758;5.145;34.992;-13.877;5.456;37.770;-12.739;5.673;39.600;-17.948;4.719;22.911;-16.932;6.937;30.557;-15.550;7.551;34.089;-13.955;7.783;36.405;-12.613;7.621;37.965;-16.848;5.415;24.596;-16.239;8.687;26.057;-14.744;10.001;28.116;-15.085;12.501;29.316;1.350;36.689;-2.570;15.561;34.217;-0.602;20.867;20.666;-2.205;26.733;5.688;-3.976;22.379;4.481;8.059;17.454;2.702;22.761;17.622;0.996;23.781;16.799;-1.141;30.112;15.981;-2.314;32.748;14.677;-3.058;34.654;13.660;-3.536;35.937;17.600;1.898;23.930;17.450;1.245;30.509;16.144;0.433;34.638;14.168;-0.140;37.280;12.815;-0.383;38.864;16.834;3.029;24.080;17.336;3.537;31.220;16.266;2.976;35.746;14.419;2.595;38.134;12.847;2.445;39.645;16.744;3.933;23.928;16.741;6.033;31.070;16.311;6.434;34.877;15.399;6.240;37.317;14.419;6.115;39.315;16.192;4.712;24.393;16.004;8.025;26.317;16.157;9.630;29.055;15.808;12.314;29.547;0.000;0.000;0.000;-7.628;-12.239;-0.788;-9.776;-33.100;-0.144;-12.294;-57.590;0.607;-11.516;-101.762;-7.712;7.558;-12.351;-1.658;9.512;-33.193;-0.639;11.811;-57.660;0.557;11.128;-102.085;-8.468
3754.000;150.160;0.021;7.198;-0.154;0.011;13.975;-0.303;-0.045;25.965;-0.575;-0.434;41.844;-1.304;-0.440;46.066;1.692;-0.028;52.462;2.775;-6.832;56.437;4.320;6.835;56.624;2.546;-2.317;58.291;11.326;4.210;58.380;10.479;-1.874;36.610;-2.657;-15.993;34.496;-1.114;-20.980;21.410;-2.306;-26.493;6.947;-3.623;-22.430;5.270;8.522;-17.874;3.245;22.732;-18.473;1.657;23.570;-16.243;-0.252;30.481;-15.156;-0.143;32.784;-14.138;-0.563;35.063;-13.263;-0.339;36.470;-18.533;2.499;23.628;-17.341;2.141;30.968;-15.712;2.681;34.712;-14.032;3.148;37.125;-12.793;3.360;38.738;-17.720;3.759;23.187;-17.210;4.711;31.264;-15.737;5.193;35.026;-13.835;5.518;37.788;-12.698;5.738;39.618;-17.934;4.771;22.938;-16.916;6.970;30.588;-15.558;7.611;34.122;-13.949;7.841;36.443;-12.619;7.702;38.017;-16.844;5.440;24.636;-16.208;8.711;26.085;-14.735;10.021;28.151;-15.061;12.527;29.342;1.351;36.693;-2.562;15.563;34.222;-0.611;20.863;20.671;-2.229;26.720;5.693;-4.018;22.384;4.481;8.024;17.483;2.696;22.732;17.656;0.985;23.747;16.826;-1.149;30.079;15.995;-2.314;32.728;14.719;-3.067;34.620;13.692;-3.543;35.897;17.639;1.887;23.894;17.480;1.237;30.480;16.182;0.416;34.608;14.214;-0.143;37.251;12.860;-0.411;38.830;16.873;3.006;24.055;17.377;3.535;31.194;16.301;2.963;35.715;14.449;2.583;38.099;12.875;2.420;39.606;16.778;3.909;23.903;16.768;6.023;31.054;16.348;6.430;34.856;15.457;6.233;37.287;14.457;6.100;39.274;16.230;4.704;24.372;16.039;8.021;26.290;16.202;9.621;29.038;15.828;12.304;29.522;0.000;0.000;0.000;-7.628;-12.239;-0.787;-9.774;-33.101;-0.149;-12.289;-57.591;0.597;-11.514;-101.763;-7.722;7.557;-12.350;-1.669;9.515;-33.194;-0.651;11.817;-57.663;0.544;11.133;-102.086;-8.484
3755.000;150.200;0.021;7.198;-0.151;0.012;13.975;-0.298;-0.039;25.965;-0.565;-0.424;41.845;-1.295;-0.425;46.067;1.701;-0.008;52.462;2.782;-6.807;56.443;4.333;6.858;56.619;2.546;-2.284;58.295;11.333;4.242;58.379;10.480;-1.867;36.611;-2.646;-15.988;34.501;-1.092;-20.978;21.415;-2.282;-26.494;6.952;-3.596;-22.422;5.277;8.547;-17.854;3.253;22.757;-18.451;1.666;23.592;-16.208;-0.229;30.507;-15.115;-0.135;32.794;-14.060;-0.544;35.068;-13.180;-0.307;36.470;-18.510;2.508;23.650;-17.313;2.167;30.986;-15.667;2.709;34.723;-13.950;3.152;37.123;-12.728;3.362;38.750;-17.698;3.758;23.218;-17.169;4.720;31.281;-15.691;5.201;35.035;-13.794;5.495;37.786;-12.581;5.741;39.563;-17.891;4.774;22.965;-16.889;6.992;30.599;-15.537;7.611;34.140;-13.939;7.848;36.457;-12.591;7.676;38.011;-16.795;5.462;24.681;-16.185;8.722;26.100;-14.690;10.041;28.156;-15.022;12.542;29.357;1.359;36.694;-2.554;15.571;34.218;-0.613;20.863;20.665;-2.241;26.713;5.686;-4.041;22.387;4.472;8.004;17.495;2.682;22.717;17.672;0.972;23.731;16.845;-1.166;30.062;16.015;-2.335;32.711;14.737;-3.090;34.600;13.709;-3.569;35.874;17.655;1.874;23.881;17.499;1.214;30.466;16.199;0.385;34.588;14.222;-0.175;37.231;12.863;-0.421;38.810;16.884;2.987;24.043;17.402;3.511;31.183;16.324;2.914;35.699;14.459;2.550;38.080;12.890;2.393;39.593;16.788;3.890;23.892;16.802;6.015;31.029;16.392;6.391;34.834;15.489;6.209;37.273;14.490;6.087;39.262;16.257;4.694;24.377;16.066;8.004;26.278;16.217;9.599;29.027;15.882;12.284;29.524;0.000;0.000;0.000;-7.628;-12.239;-0.787;-9.772;-33.101;-0.155;-12.286;-57.592;0.583;-11.515;-101.764;-7.734;7.557;-12.349;-1.679;9.517;-33.194;-0.665;11.822;-57.663;0.525;11.137;-102.088;-8.501
