Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
703.000;28.120;-0.069;7.237;-0.101;-0.211;14.050;-0.163;-0.560;26.102;-0.233;-1.074;41.992;-0.501;-0.992;46.164;2.601;-0.510;52.603;3.766;-7.386;56.532;5.089;6.279;56.870;3.326;-2.921;58.834;11.993;3.604;58.995;11.151;-2.520;36.788;-1.957;-16.438;34.683;-0.235;-21.546;21.789;-1.994;-27.192;7.537;-3.938;-22.018;5.500;7.725;-16.179;3.038;21.399;-16.553;1.377;22.256;-13.525;-0.443;28.871;-12.551;-0.122;31.121;-11.619;-0.290;33.517;-10.934;-0.014;35.017;-16.624;2.217;22.326;-14.397;1.852;29.456;-12.440;2.583;32.918;-11.280;3.260;35.556;-10.439;3.636;37.382;-15.989;3.528;21.856;-14.421;4.418;29.725;-12.283;4.920;33.109;-10.519;5.619;35.905;-9.608;5.980;37.836;-16.254;4.544;21.650;-14.273;6.707;29.063;-12.125;7.299;32.284;-10.717;7.730;34.671;-9.624;7.804;36.421;-15.053;5.264;23.217;-14.394;8.521;24.580;-12.777;9.738;26.388;-12.414;12.355;27.297;0.706;36.892;-1.956;14.936;34.620;-0.675;20.185;21.238;-3.061;25.987;6.448;-5.697;21.379;6.591;6.199;16.117;6.439;20.763;15.892;4.813;21.861;14.982;3.015;28.284;14.861;1.756;30.890;14.468;0.797;33.120;14.098;0.143;34.651;16.078;5.700;21.982;15.936;5.352;28.543;15.622;5.074;32.867;14.928;4.962;36.108;14.434;5.024;38.145;15.632;6.883;22.058;16.342;7.633;29.128;16.266;8.263;33.722;15.706;8.617;36.655;15.270;8.988;38.764;15.739;7.774;21.851;16.080;10.294;28.835;15.510;11.781;32.382;14.992;12.539;34.844;14.397;13.190;36.891;15.291;8.702;22.396;15.772;12.034;24.277;16.089;13.700;27.083;16.450;16.405;27.438;0.000;0.000;0.000;-7.533;-12.305;-0.666;-9.242;-33.076;-0.142;-11.248;-57.460;0.473;-9.506;-101.530;-8.121;7.626;-12.270;-1.922;9.992;-32.981;-0.990;12.770;-57.295;0.103;12.512;-101.842;-8.890
704.000;28.160;-0.064;7.236;-0.104;-0.196;14.047;-0.173;-0.521;26.098;-0.260;-1.005;41.989;-0.539;-0.917;46.165;2.565;-0.417;52.606;3.733;-7.286;56.550;5.051;6.382;56.856;3.303;-2.823;58.837;11.961;3.704;58.984;11.127;-2.458;36.786;-1.994;-16.384;34.711;-0.293;-21.509;21.822;-2.046;-27.175;7.577;-3.983;-22.027;5.546;7.695;-16.220;3.092;21.384;-16.598;1.405;22.237;-13.583;-0.367;28.865;-12.603;-0.047;31.094;-11.616;-0.171;33.487;-10.907;0.111;34.976;-16.658;2.246;22.300;-14.487;1.902;29.444;-12.518;2.636;32.911;-11.358;3.317;35.553;-10.529;3.690;37.384;-16.043;3.552;21.847;-14.480;4.507;29.708;-12.356;5.024;33.087;-10.607;5.695;35.907;-9.706;6.067;37.841;-16.297;4.572;21.631;-14.328;6.751;29.049;-12.187;7.376;32.281;-10.803;7.777;34.678;-9.725;7.865;36.437;-15.070;5.291;23.177;-14.421;8.567;24.569;-12.818;9.780;26.373;-12.433;12.390;27.294;0.768;36.885;-1.988;14.991;34.584;-0.684;20.223;21.190;-3.047;26.005;6.386;-5.658;21.380;6.568;6.230;16.103;6.455;20.783;15.869;4.826;21.885;14.937;3.042;28.320;14.825;1.802;30.923;14.440;0.865;33.153;14.049;0.233;34.688;16.050;5.715;22.001;15.911;5.396;28.567;15.579;5.132;32.892;14.885;5.032;36.132;14.397;5.092;38.171;15.624;6.909;22.077;16.312;7.678;29.146;16.222;8.321;33.730;15.646;8.697;36.671;15.208;9.088;38.776;15.731;7.799;21.867;16.047;10.338;28.850;15.448;11.842;32.394;14.938;12.597;34.839;14.327;13.263;36.876;15.278;8.734;22.437;15.748;12.065;24.297;16.041;13.745;27.088;16.423;16.448;27.435;0.000;0.000;0.000;-7.537;-12.302;-0.675;-9.251;-33.069;-0.153;-11.263;-57.448;0.460;-9.520;-101.526;-8.134;7.624;-12.274;-1.906;9.984;-32.984;-0.982;12.754;-57.295;0.103;12.492;-101.834;-8.901
705.000;28.200;-0.059;7.235;-0.108;-0.183;14.045;-0.185;-0.490;26.094;-0.287;-0.952;41.985;-0.577;-0.863;46.165;2.527;-0.354;52.606;3.698;-7.216;56.565;5.008;6.455;56.843;3.277;-2.756;58.842;11.924;3.772;58.975;11.097;-2.410;36.784;-2.031;-16.340;34.735;-0.350;-21.478;21.852;-2.097;-27.156;7.612;-4.028;-22.044;5.593;7.666;-16.277;3.154;21.376;-16.674;1.481;22.236;-13.648;-0.287;28.866;-12.632;0.045;31.076;-11.574;-0.047;33.447;-10.834;0.269;34.913;-16.739;2.322;22.302;-14.557;1.982;29.433;-12.589;2.711;32.902;-11.417;3.384;35.543;-10.579;3.772;37.368;-16.073;3.637;21.834;-14.594;4.551;29.706;-12.465;5.115;33.082;-10.708;5.765;35.887;-9.780;6.128;37.810;-16.337;4.646;21.620;-14.425;6.825;29.039;-12.317;7.432;32.281;-10.893;7.876;34.673;-9.854;7.945;36.456;-15.138;5.369;23.190;-14.468;8.629;24.558;-12.853;9.837;26.356;-12.462;12.449;27.269;0.816;36.878;-2.020;15.035;34.556;-0.695;20.251;21.153;-3.040;26.017;6.340;-5.632;21.390;6.547;6.255;16.108;6.463;20.808;15.876;4.844;21.911;14.941;3.064;28.331;14.809;1.822;30.953;14.398;0.875;33.179;14.010;0.226;34.709;16.061;5.731;22.028;15.890;5.408;28.593;15.547;5.155;32.910;14.819;5.047;36.152;14.314;5.120;38.186;15.627;6.914;22.101;16.293;7.694;29.172;16.175;8.340;33.759;15.588;8.727;36.677;15.117;9.102;38.778;15.733;7.804;21.891;16.046;10.349;28.867;15.425;11.851;32.408;14.925;12.631;34.841;14.274;13.281;36.871;15.282;8.737;22.446;15.746;12.071;24.317;16.055;13.745;27.095;16.420;16.447;27.471;0.000;0.000;0.000;-7.543;-12.298;-0.682;-9.266;-33.068;-0.159;-11.288;-57.450;0.455;-9.551;-101.524;-8.144;7.621;-12.279;-1.889;9.965;-32.993;-0.972;12.718;-57.310;0.104;12.466;-101.832;-8.913
706.000;28.240;-0.054;7.233;-0.112;-0.171;14.041;-0.193;-0.462;26.087;-0.308;-0.904;41.978;-0.609;-0.815;46.162;2.497;-0.298;52.605;3.669;-7.159;56.569;4.970;6.514;56.836;3.257;-2.708;58.843;11.892;3.822;58.971;11.074;-2.366;36.778;-2.062;-16.301;34.749;-0.401;-21.450;21.868;-2.141;-27.140;7.630;-4.065;-22.064;5.625;7.648;-16.339;3.207;21.379;-16.750;1.564;22.248;-13.735;-0.202;28.883;-12.657;0.165;31.081;-11.525;0.067;33.399;-10.708;0.416;34.816;-16.826;2.403;22.319;-14.675;2.031;29.455;-12.661;2.770;32.911;-11.462;3.428;35.536;-10.611;3.811;37.356;-16.143;3.671;21.846;-14.673;4.601;29.712;-12.573;5.161;33.100;-10.783;5.809;35.915;-9.856;6.194;37.834;-16.399;4.676;21.626;-14.505;6.878;29.047;-12.381;7.494;32.289;-10.998;7.913;34.695;-9.938;7.980;36.466;-15.208;5.420;23.203;-14.504;8.678;24.567;-12.883;9.879;26.349;-12.457;12.493;27.239;0.860;36.868;-2.046;15.073;34.531;-0.698;20.279;21.121;-3.027;26.034;6.300;-5.600;21.399;6.511;6.281;16.104;6.437;20.830;15.855;4.815;21.936;14.910;3.033;28.359;14.761;1.768;30.957;14.345;0.846;33.197;13.947;0.212;34.730;16.037;5.703;22.054;15.869;5.374;28.617;15.487;5.126;32.936;14.762;5.010;36.166;14.236;5.077;38.195;15.612;6.898;22.122;16.283;7.659;29.193;16.123;8.286;33.787;15.507;8.690;36.701;15.020;9.071;38.798;15.724;7.788;21.913;16.018;10.305;28.900;15.405;11.832;32.414;14.875;12.598;34.865;14.231;13.245;36.898;15.277;8.709;22.471;15.747;12.037;24.353;16.041;13.722;27.129;16.389;16.430;27.472;0.000;0.000;0.000;-7.547;-12.295;-0.689;-9.278;-33.066;-0.164;-11.310;-57.448;0.454;-9.579;-101.523;-8.142;7.618;-12.283;-1.873;9.958;-32.991;-0.956;12.704;-57.301;0.120;12.434;-101.832;-8.915
707.000;28.280;-0.050;7.231;-0.115;-0.160;14.039;-0.204;-0.434;26.082;-0.338;-0.861;41.974;-0.645;-0.771;46.160;2.462;-0.249;52.605;3.640;-7.105;56.578;4.935;6.569;56.827;3.231;-2.655;58.848;11.859;3.875;58.967;11.045;-2.326;36.774;-2.098;-16.265;34.759;-0.454;-21.427;21.883;-2.184;-27.131;7.652;-4.096;-22.078;5.659;7.631;-16.378;3.257;21.377;-16.790;1.571;22.237;-13.791;-0.156;28.878;-12.619;0.245;31.044;-11.386;0.209;33.293;-10.450;0.581;34.628;-16.849;2.412;22.299;-14.762;2.077;29.461;-12.709;2.806;32.902;-11.467;3.463;35.497;-10.550;3.859;37.282;-16.191;3.703;21.850;-14.762;4.680;29.716;-12.627;5.215;33.087;-10.845;5.830;35.895;-9.867;6.184;37.794;-16.437;4.707;21.626;-14.572;6.932;29.048;-12.466;7.551;32.288;-11.106;7.980;34.692;-10.060;7.990;36.472;-15.245;5.459;23.202;-14.512;8.720;24.583;-12.872;9.900;26.405;-12.414;12.547;27.174;0.901;36.862;-2.079;15.110;34.512;-0.711;20.310;21.097;-3.027;26.058;6.271;-5.587;21.417;6.484;6.293;16.116;6.412;20.842;15.868;4.775;21.942;14.909;2.996;28.357;14.743;1.759;30.972;14.300;0.814;33.201;13.901;0.173;34.731;16.046;5.664;22.058;15.871;5.346;28.623;15.491;5.065;32.942;14.674;4.975;36.167;14.134;5.038;38.192;15.629;6.860;22.134;16.274;7.638;29.202;16.100;8.274;33.795;15.448;8.665;36.706;14.950;9.051;38.799;15.736;7.750;21.925;16.011;10.309;28.893;15.398;11.804;32.412;14.866;12.584;34.860;14.186;13.217;36.886;15.297;8.683;22.473;15.727;12.013;24.352;16.041;13.696;27.135;16.353;16.407;27.486;0.000;0.000;0.000;-7.550;-12.293;-0.696;-9.287;-33.063;-0.170;-11.327;-57.444;0.447;-9.603;-101.526;-8.148;7.616;-12.285;-1.864;9.945;-32.999;-0.954;12.679;-57.316;0.115;12.414;-101.830;-8.923
708.000;28.320;-0.047;7.230;-0.119;-0.152;14.037;-0.216;-0.415;26.079;-0.367;-0.832;41.970;-0.684;-0.742;46.159;2.425;-0.215;52.602;3.609;-7.069;56.581;4.901;6.607;56.818;3.207;-2.622;58.845;11.829;3.908;58.958;11.020;-2.299;36.771;-2.135;-16.239;34.769;-0.501;-21.417;21.899;-2.226;-27.141;7.674;-4.133;-22.104;5.712;7.609;-16.416;3.356;21.374;-16.849;1.679;22.228;-13.896;-0.091;28.858;-12.662;0.350;30.991;-11.174;0.397;33.066;-9.995;0.833;34.169;-16.911;2.520;22.294;-14.905;2.178;29.456;-12.860;2.823;32.925;-11.356;3.409;35.420;-10.295;3.767;37.130;-16.201;3.843;21.838;-14.862;4.752;29.727;-12.784;5.238;33.132;-10.889;5.767;35.850;-9.709;6.067;37.640;-16.461;4.843;21.621;-14.684;7.014;29.059;-12.569;7.648;32.289;-11.177;8.098;34.679;-10.094;8.149;36.437;-15.344;5.545;23.230;-14.364;8.784;24.630;-12.646;9.898;26.387;-12.025;12.542;27.044;0.927;36.856;-2.113;15.131;34.501;-0.740;20.327;21.081;-3.043;26.071;6.249;-5.589;21.439;6.451;6.299;16.148;6.374;20.860;15.904;4.719;21.946;14.911;2.928;28.363;14.713;1.678;30.967;14.218;0.761;33.201;13.788;0.134;34.729;16.070;5.610;22.064;15.893;5.298;28.634;15.416;4.989;32.947;14.483;4.886;36.137;13.852;4.939;38.137;15.655;6.809;22.159;16.262;7.568;29.229;16.012;8.176;33.815;15.270;8.549;36.712;14.679;8.934;38.781;15.758;7.700;21.951;16.000;10.256;28.910;15.306;11.728;32.432;14.714;12.464;34.892;14.053;13.101;36.923;15.328;8.628;22.492;15.720;11.966;24.383;16.001;13.644;27.173;16.277;16.360;27.519;0.000;0.000;0.000;-7.555;-12.290;-0.696;-9.300;-33.060;-0.173;-11.349;-57.441;0.441;-9.641;-101.524;-8.156;7.613;-12.289;-1.852;9.938;-32.994;-0.948;12.667;-57.300;0.114;12.376;-101.829;-8.930
709.000;28.360;-0.045;7.228;-0.122;-0.145;14.033;-0.227;-0.395;26.071;-0.400;-0.812;41.963;-0.724;-0.719;46.152;2.388;-0.186;52.593;3.581;-7.039;56.572;4.876;6.637;56.808;3.181;-2.590;58.831;11.805;3.941;58.944;10.995;-2.279;36.763;-2.173;-16.216;34.785;-0.537;-21.417;21.930;-2.245;-27.165;7.721;-4.132;-22.122;5.841;7.623;-16.418;3.592;21.403;-16.889;1.910;22.218;-14.174;-0.074;28.893;-12.972;0.215;31.043;-10.803;0.235;32.524;-9.355;0.682;33.230;-16.900;2.753;22.283;-15.172;2.308;29.512;-13.159;2.725;33.056;-10.848;3.093;34.971;-9.197;3.266;36.165;-16.237;4.133;21.860;-15.056;4.900;29.807;-12.860;5.147;33.260;-10.402;5.428;35.551;-8.874;5.563;37.080;-16.484;5.149;21.648;-14.740;7.228;29.138;-12.688;7.940;32.367;-11.289;8.449;34.737;-10.244;8.498;36.517;-15.269;5.766;23.379;-13.874;8.859;24.778;-11.964;9.799;26.462;-11.046;12.388;26.976;0.947;36.848;-2.151;15.153;34.499;-0.785;20.340;21.073;-3.077;26.074;6.234;-5.611;21.485;6.400;6.306;16.245;6.283;20.911;15.996;4.569;21.952;14.933;2.741;28.340;14.587;1.487;30.946;13.888;0.595;33.128;13.314;0.006;34.623;16.134;5.465;22.073;15.904;5.128;28.680;15.166;4.752;32.948;13.830;4.630;35.987;12.915;4.695;37.874;15.737;6.670;22.232;16.259;7.390;29.285;15.689;7.897;33.868;14.557;8.200;36.647;13.641;8.518;38.606;15.824;7.564;22.032;15.966;10.052;28.990;15.143;11.434;32.544;14.399;12.123;34.936;13.600;12.692;36.937;15.396;8.522;22.584;15.651;11.841;24.501;15.786;13.457;27.325;15.886;16.161;27.826;0.000;0.000;0.000;-7.555;-12.290;-0.703;-9.308;-33.060;-0.181;-11.367;-57.441;0.433;-9.669;-101.525;-8.160;7.614;-12.290;-1.845;9.923;-33.001;-0.945;12.634;-57.315;0.110;12.332;-101.829;-8.931
710.000;28.400;-0.043;7.226;-0.127;-0.139;14.028;-0.244;-0.381;26.061;-0.447;-0.788;41.953;-0.783;-0.692;46.145;2.338;-0.152;52.582;3.556;-7.006;56.557;4.858;6.668;56.801;3.153;-2.554;58.816;11.784;3.976;58.932;10.970;-2.259;36.752;-2.228;-16.189;34.847;-0.593;-21.441;22.016;-2.163;-27.246;7.835;-3.899;-22.142;6.155;7.853;-16.306;4.190;21.657;-16.916;2.496;22.397;-14.648;0.080;29.078;-13.420;-0.074;31.223;-10.827;0.122;31.346;-9.422;0.692;30.641;-16.824;3.333;22.474;-15.511;2.521;29.791;-13.000;2.321;33.036;-9.947;2.441;33.157;-8.005;2.410;32.517;-16.096;4.779;22.136;-15.163;5.158;30.120;-12.725;4.971;33.429;-9.504;4.696;34.388;-7.378;4.422;34.694;-16.309;5.809;21.950;-14.772;7.624;29.518;-12.981;8.350;32.919;-11.817;8.897;35.393;-10.924;8.998;37.251;-15.160;6.284;23.718;-13.050;9.010;25.300;-11.044;9.635;26.907;-9.761;12.103;27.172;0.968;36.836;-2.206;15.172;34.490;-0.848;20.357;21.062;-3.138;26.088;6.221;-5.670;21.586;6.299;6.302;16.433;6.095;21.003;16.217;4.308;21.952;15.009;2.282;28.230;14.295;1.057;30.831;13.140;0.294;32.848;12.242;-0.219;34.205;16.313;5.205;22.098;15.946;4.615;28.697;14.562;4.117;32.825;12.459;3.938;35.413;11.056;3.935;36.972;15.879;6.390;22.360;16.166;6.900;29.395;14.857;7.092;33.861;13.075;7.167;36.304;11.598;7.329;37.906;15.934;7.293;22.191;15.759;9.554;29.179;14.551;10.653;32.690;13.357;11.007;34.998;12.228;11.329;36.893;15.466;8.217;22.725;15.188;11.465;24.866;14.788;12.772;27.881;14.205;15.275;28.863;0.000;0.000;0.000;-7.555;-12.289;-0.708;-9.318;-33.058;-0.186;-11.387;-57.439;0.426;-9.700;-101.526;-8.161;7.614;-12.291;-1.833;9.918;-32.996;-0.935;12.622;-57.301;0.120;12.318;-101.828;-8.930
711.000;28.440;-0.038;7.223;-0.137;-0.128;14.023;-0.268;-0.357;26.052;-0.500;-0.735;41.944;-0.857;-0.640;46.143;2.290;-0.114;52.569;3.577;-6.970;56.544;4.873;6.702;56.792;3.153;-2.512;58.827;11.788;4.017;58.946;10.967;-2.215;36.745;-2.295;-16.130;34.927;-0.708;-21.511;22.120;-1.907;-27.458;7.966;-3.233;-22.227;6.770;8.524;-16.195;5.390;22.382;-16.969;3.733;23.097;-14.892;1.023;29.641;-13.499;0.647;31.632;-11.366;1.119;30.423;-11.061;1.806;28.929;-16.779;4.554;23.171;-15.460;3.548;30.484;-11.991;2.885;32.642;-9.693;3.119;30.589;-9.271;3.291;28.595;-16.056;5.855;22.902;-14.875;6.196;30.710;-11.680;5.371;33.259;-8.494;4.777;32.290;-6.696;4.279;31.192;-16.089;6.919;22.714;-14.439;8.647;30.264;-13.003;9.572;33.758;-12.223;10.367;36.350;-11.766;10.620;38.347;-14.821;7.389;24.409;-12.029;9.556;26.047;-9.809;9.748;27.465;-8.022;11.896;27.496;1.012;36.822;-2.273;15.200;34.473;-0.921;20.404;21.048;-3.188;26.156;6.210;-5.695;21.703;6.018;6.342;16.589;5.483;21.154;16.533;3.643;21.955;15.155;1.177;28.006;14.017;-0.087;30.479;12.450;-0.793;32.185;11.213;-1.242;33.270;16.519;4.536;22.149;15.915;3.527;28.732;13.669;2.646;32.403;10.869;2.206;34.231;9.051;2.112;35.272;16.007;5.572;22.552;15.790;5.770;29.531;13.672;5.350;33.648;11.259;5.038;35.464;9.339;4.896;36.498;15.932;6.483;22.438;15.135;8.311;29.431;13.305;8.786;32.811;11.639;8.639;34.820;10.102;8.539;36.431;15.325;7.369;22.938;14.261;10.274;25.417;13.271;11.040;28.531;11.897;13.011;29.873;0.000;0.000;0.000;-7.560;-12.286;-0.709;-9.333;-33.054;-0.186;-11.414;-57.434;0.429;-9.733;-101.527;-8.135;7.612;-12.297;-1.801;9.899;-33.007;-0.901;12.584;-57.318;0.156;12.274;-101.828;-8.903
